ѝ	i
абдикираща	ˌabd̪iˈkʲirəʃt̪ə
абдикиращата	ˌabd̪iˈkʲirəʃt̪ət̪ə
абдикиращи	ˌabd̪iˈkʲirəʃt̪i
абдикиращите	ˌabd̪iˈkʲirəʃt̪it̪ɛ
абдикиращия	ˌabd̪iˈkʲirəʃt̪ijə
абдикиращият	ˌabd̪iˈkʲirəʃt̪ijət̪
абдикиращо	ˌabd̪iˈkʲirəʃt̪o
абдикиращото	ˌabd̪iˈkʲirəʃt̪ot̪o
абдоминален	əbdomiˈnalɛn
абдоминална	ˌabd̪omiˈnaɫnə
абдоминалната	ˌabd̪omiˈnaɫnət̪ə
абдоминални	ˌabd̪omiˈnaɫni
абдоминалний	abdɔmiˈnalnij
абдоминалните	ˌabd̪omiˈnaɫnit̪ɛ
абдоминалния	ˌabd̪omiˈnaɫnijə
абдоминалният	ˌabd̪omiˈnaɫnijət̪
абдоминално	ˌabd̪omiˈnaɫno
абдоминалното	ˌabd̪omiˈnaɫnot̪o
абдукции	ˌabˈd̪uktsi.i
абдукциите	ˌabˈd̪uktsi.it̪ɛ
абдукцийо	ˌabˈd̪ukt͡sijɔ
абдукция	abˈdukt͡sijə
абдукцията	ˌabˈd̪uktsijət̪ə
аберации	ˌabɛˈɾatsi.i
аберациите	ˌabɛˈɾatsi.it̪ɛ
аберацийо	ˌabɛˈɾat͡sijɔ
аберация	abɛˈrat͡sijə
аберацията	ˌabɛˈɾatsijət̪ə
аби	əˈbi
абисинец	əbiˈsinɛts
абисинеца	ˌabiˈsinɛtsə
абисинецо	ˌabiˈsinɛt͡sɔ
абисинецът	ˌabiˈsinɛtsət̪
абисинка	abiˈsiŋkə
абисинката	ˌabiˈsiŋkət̪ə
абисинки	ˌabiˈsiŋkʲi
абисинките	ˌabiˈsiŋkʲit̪ɛ
абисинко	ˌabiˈsiŋkɔ
абисинска	ˌabiˈsinskə
абисинската	ˌabiˈsinskət̪ə
абисински	əbiˈsinski
абисинский	abiˈsinskij
абисинските	ˌabiˈsinskʲit̪ɛ
абисинския	ˌabiˈsinskʲijə
абисинският	ˌabiˈsinskʲijət̪
абисинско	ˌabiˈsinsko
абисинското	ˌabiˈsinskot̪o
абисинци	ˌabiˈsint͡si
абисинците	ˌabiˈsint͡sit̪ɛ
абите	əˈbit̪ɛ
абитуриент	əbituriˈɛnt
абитуриента	ˌabit̪uɾiˈɛnt̪ə
абитуриенте	ˌabit̪uɾiˈɛnt̪ɛ
абитуриенти	ˌabit̪uɾiˈɛnt̪i
абитуриентите	ˌabit̪uɾiˈɛnt̪it̪ɛ
абитуриентка	ˌabit̪uriˈɛnt̪kə
абитуриентката	ˌabit̪uɾiˈɛnt̪kət̪ə
абитуриентки	ˌabit̪uɾiˈɛnt̪kʲi
абитуриентко	ˌabit̪uɾiˈɛnt̪ko
абитуриентска	ˌabit̪uɾiˈɛnskə
абитуриентската	ˌabit̪uɾiˈɛnskət̪ə
абитуриентски	əbituriˈɛnski
абитуриентский	abituriˈɛntskij
абитуриентските	ˌabit̪uɾiˈɛnskʲit̪ɛ
абитуриентския	ˌabit̪uɾiˈɛnskʲijə
абитуриентският	ˌabit̪uɾiˈɛnskʲijət̪
абитуриентско	ˌabit̪uɾiˈɛnsko
абитуриентското	ˌabit̪uɾiˈɛnskot̪o
абитуриентът	ˌabit̪uɾiˈɛnt̪ət̪
аблактации	ˌabɫəkˈt̪atsi.i
аблактациите	ˌabɫəkˈt̪atsi.it̪ɛ
аблактацийо	ˌabɫəkˈt̪at͡sijo
аблактация	ˌabɫəkˈt̪at͡sijə
аблактацията	ˌabɫəkˈt̪atsijət̪ə
або	ˈabo
абонамент	əbonəmˈɛnt
абонаментен	əbonəˈmɛntɛn
абонаментна	ˌabonəˈmɛnt̪nə
абонаментната	ˌabonəˈmɛnt̪nət̪ə
абонаментни	ˌabonəˈmɛnt̪ni
абонаментните	ˌabonəˈmɛnt̪nit̪ɛ
абонаментния	ˌabonəˈmɛnt̪nijə
абонаментният	ˌabonəˈmɛnt̪nijət̪
абонаментно	ˌabonəˈmɛnt̪no
абонаментното	ˌabonəˈmɛnt̪not̪o
абонат	ˌaboˈnat̪
абоната	ˌaboˈnat̪ə
абонате	ˌaboˈnat̪ɛ
абонати	ˌaboˈnat̪i
абонатите	ˌaboˈnat̪it̪ɛ
абонатът	ˌaboˈnat̪ət̪
абонирам	əboˈnirəm
абониране	ˌaboˈniɾənɛ
абонирането	ˌaboˈniɾənɛt̪o
абонирания	ˌaboˈniɾənijə
абониранията	ˌaboˈniɾənijət̪ə
абориген	ˌaboɾiˈɡʲɛn
аборигена	ˌaboɾiˈɡʲɛnə
аборигене	ˌaboɾiˈɡʲɛnɛ
аборигени	ˌaboɾiˈɡʲɛni
аборигените	ˌaboɾiˈɡʲɛnit̪ɛ
аборигенка	ˌaboɾiˈɡʲɛŋkə
аборигенката	ˌaboɾiˈɡʲɛŋkət̪ə
аборигенки	ˌaboɾiˈɡʲɛŋkʲi
аборигенките	ˌaboɾiˈɡʲɛŋkʲit̪ɛ
аборигенко	ˌaboɾiˈɡʲɛŋkɔ
аборигенска	ˌaboɾiˈɡʲɛnskə
аборигенската	ˌaboɾiˈɡʲɛnskət̪ə
аборигенски	ˌaboriˈɡʲɛnski
аборигенский	abɔriˈɡɛnskij
аборигенските	ˌaboɾiˈɡɛnskʲit̪ɛ
аборигенския	ˌaboɾiˈɡɛnskʲijə
аборигенският	ˌaboɾiˈɡɛnskʲijət̪
аборигенско	ˌaboɾiˈɡʲɛnsko
аборигенското	ˌaboɾiˈɡʲɛnskot̪o
аборигенче	ˌaboɾiˈɡʲɛntʃɛ
аборигенчета	ˌaboɾiˈɡʲɛntʃɛt̪ə
аборигенчетата	ˌaboɾiˈɡʲɛntʃɛt̪ət̪ə
аборигенчето	ˌaboɾiˈɡʲɛntʃɛt̪o
аборигенът	ˌaboɾiˈɡʲɛnət̪
абортиране	ˌaborˈt̪iɾənɛ
абортирането	ˌaborˈt̪iɾənɛt̪o
абортирания	ˌaborˈt̪iɾənijə
абортиранията	ˌaborˈt̪iɾənijət̪ə
абразивен	əbrəˈzivɛn
абразивна	ˌabrəˈzivnə
абразивната	ˌabrəˈzivnət̪ə
абразивни	ˌabrəˈzivni
абразивните	ˌabrəˈzivnit̪ɛ
абразивния	ˌabrəˈzivnijə
абразивният	ˌabrəˈzivnijət̪
абразивно	ˌabrəˈzivno
абразивното	ˌabrəˈzivnot̪o
абразии	ˌabˈrazi.i
абразиите	ˌabˈrazi.it̪ɛ
абразийо	ˌabˈrazijɔ
абразия	ˌabˈrazijə
абразията	ˌabˈrazijət̪ə
абревиатура	ˌabrɛviəˈt̪uɾə
абревиатурата	ˌabrɛviəˈt̪uɾət̪ə
абревиатури	ˌabrɛviəˈt̪uɾi
абревиатурите	ˌabrɛviəˈt̪uɾit̪ɛ
абревиатуро	ˌabrɛviəˈt̪uɾɔ
абсолвент	ˌapsoɫˈvɛnt̪
абсолвента	ˌapsoɫˈvɛnt̪ə
абсолвенте	ˌapsoɫˈvɛnt̪ɛ
абсолвенти	ˌapsoɫˈvɛnt̪i
абсолвентите	ˌapsoɫˈvɛnt̪it̪ɛ
абсолвентка	ˌapsoɫˈvɛnt̪kə
абсолвентката	ˌapsoɫˈvɛnt̪kət̪ə
абсолвентки	ˌapsoɫˈvɛnt̪kʲi
абсолвентките	ˌapsoɫˈvɛnt̪kʲit̪ɛ
абсолвентко	ˌapsoɫˈvɛnt̪kɔ
абсолвентска	ˌapsoɫˈvɛnskə
абсолвентската	ˌapsoɫˈvɛnskət̪ə
абсолвентски	ˌapsoɫˈvɛnskʲi
абсолвентските	ˌapsoɫˈvɛnskʲit̪ɛ
абсолвентския	ˌapsoɫˈvɛnskʲijə
абсолвентският	ˌapsoɫˈvɛnskʲijət̪
абсолвентско	ˌapsoɫˈvɛnsko
абсолвентското	ˌapsoɫˈvɛnskot̪o
абсолвентът	ˌapsoɫˈvɛnt̪ət̪
абсолютен	apsɔˈlʲutɛn
абсолютизиране	ˌapsolʲut̪iˈziɾənɛ
абсолютизирането	ˌapsolʲut̪iˈziɾənɛt̪o
абсолютизирания	ˌapsolʲut̪iˈziɾənijə
абсолютизиранията	ˌapsolʲut̪iˈziɾənijət̪ə
абсолютна	ˌapsoˈlʲut̪nə
абсолютната	ˌapsoˈlʲut̪nət̪ə
абсолютни	ˌapsoˈlʲut̪ni
абсолютните	ˌapsoˈlʲut̪nit̪ɛ
абсолютния	ˌapsoˈlʲut̪nijə
абсолютният	ˌapsoˈlʲut̪nijət̪
абсолютно	ˌapsɔˈlʲutnɔ
абсолютност	əpsoˈlʲutnost
абсолютното	ˌapsoˈlʲut̪not̪o
абсорбира	ˌapsorˈbirə
абсорбирай	ˌapsorˈbirəj
абсорбирайки	ˌapsorˈbirəjkʲi
абсорбирайте	ˌapsorˈbirəjt̪ɛ
абсорбирал	ˌapsorˈbirəɫ
абсорбирала	ˌapsorˈbirəɫə
абсорбиралата	ˌapsorˈbirəɫət̪ə
абсорбирали	ˌapsorˈbirəli
абсорбиралите	ˌapsorˈbirəlit̪ɛ
абсорбиралия	ˌapsorˈbirəlijə
абсорбиралият	ˌapsorˈbirəlijət̪
абсорбирало	ˌapsorˈbirəɫo
абсорбиралото	ˌapsorˈbirəɫot̪o
абсорбирам	əpsorˈbirəm
абсорбираме	ˌapsorˈbirəmɛ
абсорбиран	ˌapsorˈbirən
абсорбирана	ˌapsorˈbirənə
абсорбираната	ˌapsorˈbirənət̪ə
абсорбиране	əpsorˈbirənɛ
абсорбиранета	ˌapsorˈbirənɛt̪ə
абсорбиранетата	ˌapsorˈbirənɛt̪ət̪ə
абсорбирани	ˌapsorˈbirəni
абсорбираните	ˌapsorˈbirənit̪ɛ
абсорбирания	ˌapsorˈbirənijə
абсорбираният	ˌapsorˈbirənijət̪
абсорбирано	ˌapsorˈbirəno
абсорбираното	ˌapsorˈbirənot̪o
абсорбират	ˌapsorˈbirət̪
абсорбирате	ˌapsorˈbirət̪ɛ
абсорбирах	ˌapsorˈbirəx
абсорбираха	ˌapsorˈbirəxə
абсорбирахме	ˌapsorˈbirəxmɛ
абсорбирахте	ˌapsorˈbirəxt̪ɛ
абсорбираш	ˌapsorˈbirəʃ
абсорбираше	ˌapsorˈbirəʃɛ
абсорбиращ	ˌapsorˈbirəʃt̪
абсорбираща	ˌapsorˈbirəʃt̪ə
абсорбиращата	ˌapsorˈbirəʃt̪ət̪ə
абсорбиращи	ˌapsorˈbirəʃt̪i
абсорбиращите	ˌapsorˈbirəʃt̪it̪ɛ
абсорбиращия	ˌapsorˈbirəʃt̪ijə
абсорбиращият	ˌapsorˈbirəʃt̪ijət̪
абсорбиращо	ˌapsorˈbirəʃt̪o
абсорбиращото	ˌapsorˈbirəʃt̪ot̪o
абсорбция	apˈsɔrpt͡sija
абстрактен	əpsˈtraktɛn
абстрактна	ˌapsˈt̪raknə
абстрактната	ˌapsˈt̪raknət̪ə
абстрактни	ˌapsˈt̪rakni
абстрактните	ˌapsˈt̪raknit̪ɛ
абстрактния	ˌapsˈt̪raknijə
абстрактният	ˌapsˈt̪raknijət̪
абстрактно	ˌapsˈt̪rakt̪no
абстрактното	ˌapsˈt̪raknot̪o
абстракция	apsˈtrakt͡sijə
абсурден	əpˈsurdɛn
абсурдна	ˌapˈsurd̪nə
абсурдната	ˌapˈsurd̪nət̪ə
абсурдни	ˌapˈsurd̪ni
абсурдните	ˌapˈsurd̪nit̪ɛ
абсурдния	ˌapˈsurd̪nijə
абсурдният	ˌapˈsurd̪nijət̪
абсурдно	ˌapˈsurd̪no
абсурдност	əpˈsurdnost
абсурдното	ˌapˈsurd̪not̪o
абсциса	əpsˈt͡sisə
абхазка	ˌapˈxaskə
абхазката	ˌapˈxaskət̪ə
абхазки	ˌapˈxaskʲi
абхазките	ˌapˈxaskʲit̪ɛ
абхазкия	ˌapˈxaskʲijə
абхазкият	ˌapˈxaskʲijət̪
абхазко	ˌapˈxasko
абхазкото	ˌapˈxaskot̪o
авангарден	əvənˈɡardɛn
авангардна	ˌavənˈɡard̪nə
авангардната	ˌavənˈɡard̪nət̪ə
авангардни	ˌavənˈɡard̪ni
авангардните	ˌavənˈɡard̪nit̪ɛ
авангардния	ˌavənˈɡard̪nijə
авангардният	ˌavənˈɡard̪nijət̪
авангардно	ˌavənˈɡard̪no
авангардното	ˌavənˈɡard̪not̪o
аванпост	əˈvanˈpɔst
аванс	əˈvans
авансира	ˌavənˈsiɾə
авансирай	ˌavənˈsiɾəj
авансирайки	ˌavənˈsiɾəjkʲi
авансирайте	ˌavənˈsiɾəjt̪ɛ
авансирал	ˌavənˈsiɾəɫ
авансирала	ˌavənˈsiɾəɫə
авансиралата	ˌavənˈsiɾəɫət̪ə
авансирали	ˌavənˈsiɾəli
авансиралите	ˌavənˈsiɾəlit̪ɛ
авансиралия	ˌavənˈsiɾəlijə
авансиралият	ˌavənˈsiɾəlijət̪
авансирало	ˌavənˈsiɾəɫo
авансиралото	ˌavənˈsiɾəɫot̪o
авансирам	ˌavənˈsiɾəm
авансираме	ˌavənˈsiɾəmɛ
авансиран	ˌavənˈsiɾən
авансирана	ˌavənˈsiɾənə
авансираната	ˌavənˈsiɾənət̪ə
авансиране	ˌavənˈsiɾənɛ
авансиранета	ˌavənˈsiɾənɛt̪ə
авансиранетата	ˌavənˈsiɾənɛt̪ət̪ə
авансирането	ˌavənˈsiɾənɛt̪o
авансирани	ˌavənˈsiɾəni
авансираните	ˌavənˈsiɾənit̪ɛ
авансирания	ˌavənˈsiɾənijə
авансираният	ˌavənˈsiɾənijət̪
авансиранията	ˌavənˈsiɾənijət̪ə
авансирано	ˌavənˈsiɾəno
авансираното	ˌavənˈsiɾənot̪o
авансират	ˌavənˈsiɾət̪
авансирате	ˌavənˈsiɾət̪ɛ
авансирах	ˌavənˈsiɾəx
авансираха	ˌavənˈsiɾəxə
авансирахме	ˌavənˈsiɾəxmɛ
авансирахте	ˌavənˈsiɾəxt̪ɛ
авансираш	ˌavənˈsiɾəʃ
авансираше	ˌavənˈsiɾəʃɛ
авансиращ	ˌavənˈsiɾəʃt̪
авансираща	ˌavənˈsiɾəʃt̪ə
авансиращата	ˌavənˈsiɾəʃt̪ət̪ə
авансиращи	ˌavənˈsiɾəʃt̪i
авансиращите	ˌavənˈsiɾəʃt̪it̪ɛ
авансиращия	ˌavənˈsiɾəʃt̪ijə
авансиращият	ˌavənˈsiɾəʃt̪ijət̪
авансиращо	ˌavənˈsiɾəʃt̪o
авансиращото	ˌavənˈsiɾəʃt̪ot̪o
авансов	əˈvansof
авансова	ˌaˈvansovə
авансовата	ˌaˈvansovət̪ə
авансови	ˌaˈvansovi
авансовите	ˌaˈvansovit̪ɛ
авансовия	ˌaˈvansovijə
авансовият	ˌaˈvansovijət̪
авансово	ˌaˈvansovo
авансовото	ˌaˈvansovot̪o
авансцена	əˌvansˈt͡sɛnə
авантюра	avənˈtʲurə
авантюрист	ɐvɐntjuˈrist
авантюристичен	əvəntʲurisˈtitʃɛn
авантюристична	ˌavəntʲuɾisˈt̪itʃnə
авантюристичната	ˌavəntʲuɾisˈt̪itʃnət̪ə
авантюристични	ˌavəntʲuɾisˈt̪itʃni
авантюристичните	ˌavəntʲuɾisˈt̪itʃnit̪ɛ
авантюристичния	ˌavəntʲuɾisˈt̪itʃnijə
авантюристичният	ˌavəntʲuɾisˈt̪itʃnijət̪
авантюристично	ˌavəntʲuɾisˈt̪itʃno
авантюристичното	ˌavəntʲuɾisˈt̪itʃnot̪o
авантюристка	ɐvɐntjuˈristkɐ
авар	əˈvar
авариен	ˌavəˈriɛn
аварийна	ˌavəˈrijnə
аварийната	ˌavəˈrijnət̪ə
аварийни	ˌavəˈrijni
аварийните	ˌavəˈrijnit̪ɛ
аварийния	ˌavəˈrijnijə
аварийният	ˌavəˈrijnijət̪
аварийно	ˌavəˈrijno
аварийното	ˌavəˈrijnot̪o
аварин	əˈvarin
авария	əˈvarijə
аварка	əˈvarkə
аварска	ˌaˈvarskə
аварската	ˌaˈvarskət̪ə
аварски	ˌaˈvarskʲi
аварските	ˌaˈvarskʲit̪ɛ
аварския	ˌaˈvarskʲijə
аварският	ˌaˈvarskʲijət̪
аварско	ˌaˈvarsko
аварското	ˌaˈvarskot̪o
авгиев	ˌavˈɡʲiɛf
авгиева	ˌavˈɡʲiɛvə
авгиевата	ˌavˈɡʲiɛvət̪ə
авгиеви	ˌavˈɡʲiɛvi
авгиевите	ˌavˈɡʲiɛvit̪ɛ
авгиевия	ˌavˈɡʲiɛvijə
авгиевият	ˌavˈɡʲiɛvijət̪
авгиево	ˌavˈɡʲiɛvo
авгиевото	ˌavˈɡʲiɛvot̪o
август	ˈav.ɡust
августейша	ˌavɡusˈt̪ɛjʃə
августейшата	ˌavɡusˈt̪ɛjʃət̪ə
августейши	ˌavɡusˈt̪ɛjʃi
августейшите	ˌavɡusˈt̪ɛjʃit̪ɛ
августейшия	ˌavɡusˈt̪ɛjʃijə
августейшият	ˌavɡusˈt̪ɛjʃijət̪
августейшо	ˌavɡusˈt̪ɛjʃo
августейшото	ˌavɡusˈt̪ɛjʃot̪o
августовска	ˈavɡust̪ofskə
августовската	ˈavɡust̪ofskət̪ə
августовски	ˈavɡust̪ofskʲi
августовските	ˈavɡust̪ofskʲit̪ɛ
августовския	ˈavɡust̪ofskʲijə
августовският	ˈavɡust̪ofskʲijət̪
августовско	ˈavɡust̪ofsko
августовското	ˈavɡust̪ofskot̪o
авеню	əvɛnʲu
авиатор	əviˈator
авиаторка	əviˈatorkə
авиаторска	ˌaviˈat̪orskə
авиаторската	ˌaviˈat̪orskət̪ə
авиаторски	ˌaviˈat̪orskʲi
авиаторските	ˌaviˈat̪orskʲit̪ɛ
авиаторския	ˌaviˈat̪orskʲijə
авиаторският	ˌaviˈat̪orskʲijət̪
авиаторско	ˌaviˈat̪orsko
авиаторското	ˌaviˈat̪orskot̪o
авиационен	ˌaviət͡siˈɔnɛn
авиационна	ˌaviətsiˈɔnːə
авиационната	ˌaviətsiˈɔnːət̪ə
авиационни	ˌaviətsiˈɔnːi
авиационните	ˌaviətsiˈɔnːit̪ɛ
авиационния	ˌaviətsiˈɔnːijə
авиационният	ˌaviətsiˈɔnːijət̪
авиационно	ˌaviətsiˈɔnːo
авиационното	ˌaviətsiˈɔnːot̪o
авиобомба	avioˈbɔmbə
авион	əviˈɔn
авиони	aviˈɔni
авиотакси	ˈaviotəˈksi
авлига	əvˈliɡə
австралиец	əfstrəˈliɛt͡s
австралийка	əfstrəˈlijkə
австриец	əfsˈtriɛt͡s
австрийка	əfsˈtrijkə
Австрия	ˈafst̪rijə
автентичен	ˌaft̪ɛnˈt̪itʃɛn
автентична	ˌaft̪ɛnˈt̪itʃnə
автентичната	ˌaft̪ɛnˈt̪itʃnət̪ə
автентични	ˌaft̪ɛnˈt̪itʃni
автентичните	ˌaft̪ɛnˈt̪itʃnit̪ɛ
автентичния	ˌaft̪ɛnˈt̪itʃnijə
автентичният	ˌaft̪ɛnˈt̪itʃnijət̪
автентично	ˌaft̪ɛnˈt̪itʃno
автентичност	əftɛnˈtitʃnost
автентичното	ˌaft̪ɛnˈt̪itʃnot̪o
автобаза	ˌaftɔˈbazə
автоблокировка	ˈaftoblokʲiˈrɔfkə
автогара	ˌaftɔˈɡarə
автогол	ˈaftoˈɡɔl
автодрезина	ˌaftɔdrɛˈzinə
автоколона	ˌaftɔkuˈlɔnə
автомагистрала	ˈaftoməɡʲisˈtralə
автомат	əftoˈmat
автоматичен	aftɔmaˈtitʃen
автомобилостроене	əftomobilostroˈɛnɛ
автомобилче	əftomoˈbiltʃɛ
автомотриса	ˌaftomuˈtrisə
автономен	ˌaft̪oˈnɔmɛn
автономия	əftoˈnɔmijə
автономна	ˌaft̪oˈnɔmnə
автономната	ˌaft̪oˈnɔmnət̪ə
автономни	ˌaft̪oˈnɔmni
автономните	ˌaft̪oˈnɔmnit̪ɛ
автономния	ˌaft̪oˈnɔmnijə
автономният	ˌaft̪oˈnɔmnijət̪
автономно	ˌaft̪oˈnɔmno
автономното	ˌaft̪oˈnɔmnot̪o
автор	ˈaftor
авторитет	əftoriˈtɛt
авторитетен	ˌaft̪oɾiˈt̪ɛt̪ɛn
авторитетна	ˌaft̪oɾiˈt̪ɛt̪nə
авторитетната	ˌaft̪oɾiˈt̪ɛt̪nət̪ə
авторитетни	ˌaft̪oɾiˈt̪ɛt̪ni
авторитетните	ˌaft̪oɾiˈt̪ɛt̪nit̪ɛ
авторитетния	ˌaft̪oɾiˈt̪ɛt̪nijə
авторитетният	ˌaft̪oɾiˈt̪ɛt̪nijət̪
авторитетно	ˌaft̪oɾiˈt̪ɛt̪no
авторитетност	əftoriˈtɛtnost
авторитетното	ˌaft̪oɾiˈt̪ɛt̪not̪o
авторка	ˈaftorkə
авторски	ˈaftorskʲi
авторство	ˈaftorstvo
автостоп	ˈaftoˈstɔp
автострада	ˌaftuˈstradə
ага	əˈɡa
агент	əˈɡʲɛnt
агентин	əˈɡʲɛntin
агентка	əˈɡʲɛntkə
агенция	əˈɡʲɛntsijə
агитатор	əɡʲiˈtator
агитаторка	əɡʲiˈtatorkə
агитационен	ˌaɡʲit̪ətsiˈɔnɛn
агитация	ˌaɡʲiˈt̪atsijə
агитка	əˈɡʲitkə
агитпропчик	əˈɡʲitˈprɔptʃik
агитпункт	əˈɡʲitˈpuŋkt
агиттабло	əˈɡʲittəbˈlɔ
агне	ˈaɡnɛ
агнец	əɡˈnɛts
агностик	əɡnoˈstik
агностичка	əɡnoˈstitʃkə
агония	ɐˈɡonɪə
агора	əˈɡɔrə
агрегат	əɡrɛˈɡat
агресивен	əɡrɛˈsivɛn
агресивност	əɡrɛˈsivnost
агресия	əˈɡrɛsijə
агресор	əˈɡrɛsor
агресорка	əˈɡrɛsorkə
агробиолог	ˈaɡrobioˈlɔk
агробиоложка	ˈaɡrobioˈlɔʃkə
агроном	əɡroˈnɔm
агрономка	əɡroˈnɔmkə
агрономство	əɡroˈnɔmstvo
агротехник	ɐɡrotɛxˈnik
агротехничка	əɡrotɛxˈnitʃkə
агрохимик	ˈaɡroxʲiˈmik
агрохимичка	ˈaɡroxʲiˈmitʃkə
ад	at
адамов	əˈdamof
адаптация	ədəpˈtatsijə
адвентист	ədvɛnˈtist
адвентистка	ədvɛnˈtistkə
адвокат	ədvoˈkat
адвокатка	ədvoˈkatkə
адекватен	ədɛˈkvatɛn
адекватност	ədɛˈkvatnost
администратор	ədminisˈtrator
администраторка	adminiˈstratorkə
администрация	ədminiˈstratsijə
адмирал	ədmiˈral
адрес	əˈdrɛs
адресира	ˌad̪rɛˈsiɾə
адресирай	ˌad̪rɛˈsiɾəj
адресирайки	ˌad̪rɛˈsiɾəjkʲi
адресирайте	ˌad̪rɛˈsiɾəjt̪ɛ
адресирал	ˌad̪rɛˈsiɾəɫ
адресирала	ˌad̪rɛˈsiɾəɫə
адресиралата	ˌad̪rɛˈsiɾəɫət̪ə
адресирали	ˌad̪rɛˈsiɾəli
адресиралите	ˌad̪rɛˈsiɾəlit̪ɛ
адресиралия	ˌad̪rɛˈsiɾəlijə
адресиралият	ˌad̪rɛˈsiɾəlijət̪
адресирало	ˌad̪rɛˈsiɾəɫo
адресиралото	ˌad̪rɛˈsiɾəɫot̪o
адресирам	ədrɛˈsirəm
адресираме	ˌad̪rɛˈsiɾəmɛ
адресиран	ˌad̪rɛˈsiɾən
адресирана	ˌad̪rɛˈsiɾənə
адресираната	ˌad̪rɛˈsiɾənət̪ə
адресиране	ˌad̪rɛˈsiɾənɛ
