абдулла	ɑbduɫːɑ
ағай	ɑʁɑj
ағас	ɑʁɑs
ағиҙел	äʁɪ̈͜iðɪ̞l
ағым	ɑʁɯ̞m
ағыу	ɑʁɯ̞w
ағыш	ɑʁɯ̞ʂ
аҙан	ɑðɑn
аҙаш	ɑðɑʂ
аҙаҡ	ɑðɑq
аҙаҡҡы	ɑðɑqːɯː
аҙна	ɑðnɑ
аҙналыҡ	ɑðnɑɫɯ̞q
аҙым	ɑðɯ̞m
аҙыҡ	ɑðɯ̞q
аҙған	ɑðʁɑn
аҡ	ɑq
аҡбур	ɑqbur
аҡбуҙ	ɑqbuð
аҡбуҙат	ɑqbuðɑt
аҡлан	ɑqɫɑn
аҡрын	ɑqrɯ̞n
аҡрын	ɑqɯ̞rɯ̞n
аҡса	ɑqsɑ
аҡсарлаҡ	ɑqsɑrɫɑq
аҡш	ɑqɯ̞ʂ
аҡыл	ɑqɯ̞ɫ
аҡыллы	ɑqɯ̞ɫːɯ̞
аҡҡош	ɑqːʊ̞ʂ
аҡһаҡ	ɑqhɑq
аҡһаҡал	ɑqhɑqɑɫ
аң	ɑŋ
аҫтыртын	ɑθtɯ̞rtɯ̞n
аҫҡа	ɑθqɑ
бабай	bɑβɑj
бай	bɑj
байлыҡ	bɑjɫɯ̞q
байрам	bɑjrɑm
байрамбикә	bäjrämbʲikæ
байрас	bɑjrɑs
байраҡ	bɑjrɑq
байтал	bɑjtɑɫ
байтаҡ	bɑjtɑq
бал	bɑɫ
бала	bɑɫɑ
балан	bɑɫɑn
балауыҙ	bɑɫɑwɯ̞ð
балаҡ	bɑɫɑq
балаҫ	bɑɫɑθ
балдаҡ	bɑɫdɑq
балсыҡ	bɑɫsɯ̞q
балта	bɑɫtɑ
балтырған	bɑɫtɯ̞rʁɑn
балыҡ	bɑɫɯ̞q
балыҡ	bɑɫɯ̞q
балыҡсы	bɑɫɯ̞qsɯ̞
балға	bɑɫʁɑ
баныу	bɑnɯ̞w
бар	bɑr
барабан	bäräbän
барабансы	bäräbänsɯ̞
бармаҡ	bɑrmɑq
барыбер	bɑrɯ̞βɯ̞r
бата	bɑtɑ
батмус	bɑtmus
батша	bɑtʂɑ
батыр	bɑtɯ̞r
батырлыҡ	bɑtɯ̞rɫɯ̞q
батҡаҡ	bɑtqɑq
бау	bɑw
бауыр	bɑwɯ̞r
бауырһаҡ	bɑwɯ̞rhɑq
баш	bɑʂ
башаҡ	bɑʂɑq
башватҡыс	bɑʂwɑtqɯ̞s
башватҡыс	bɑʂwɑtqɯ̞s
башланғыс	bɑʂɫɑŋɢɯ̞s
башлыҡ	bɑʂɫɯ̞q
башмаҡ	bɑʂmɑq
башҡа	bɑʂqɑ
башҡала	bɑʂqɑɫɑ
башҡорт	bɑʂqʊ̞rt
башҡортостан	bɑʂqʊ̞rtʊ̞stɑn
баған	bɑʁɑn
бағана	bɑʁɑnɑ
баҙар	bɑðɑr
баҡа	bɑqɑ
баҡса	bɑqsɑ
баҡсасы	bɑqsɑsɯ̞
баҡтиһәң	bɑqtʲihæŋ
баҡыр	bɑqɯ̞r
баҡһаң	bɑqhɑŋ
баҫма	bɑθmɑ
баҫым	bɑθɯ̞m
баҫыу	bɑθɯ̞w
баҫҡыс	bɑθqɯ̞s
бей	bɪ̞j
бейек	bɪ̞jɪ̞k
бейеүсе	bɪ̞jɪ̞wsɪ̞
бейә	bɪ̞jæ
бейәләй	bɪ̞jælæj
белгес	bɪ̞lɡɪ̞s
белем	bɪ̞lɪ̞m
беләҙек	bɪ̞læðɪ̞k
бер	bɪ̞r
бергә	bɪ̞rɡæ
берҙәм	bɪ̞rðæm
берәмек	bɪ̞ræmɪ̞k
берәү	bɪ̞ræw
бесәй	bɪ̞sæj
бесән	bɪ̞sæn
бет	bɪ̞t
бетеү	bɪ̞tɪ̞w
беҙ	bɪ̞ð
беҙгә	bɪ̞ðɡæ
беҙҙе	bɪ̞ðːɪ̞
беҙҙең	bɪ̞ðːɪ̞ŋ
беҙҙә	bɪ̞ðːæ
беҙҙән	bɪ̞ðːæn
бик	bʲik
бикбулат	bʲikbuɫät
бикле	bʲiklɪ̞
бикте	bʲiktɪ̞
бикә	bʲikæ
бил	bʲil
билдә	bildæ
билдәләмә	bildælæmæ
бисмилла	bʲismʲiɫä
бит	bʲit
бит	βit
бит	bʲit
биш	bʲiʃ
бишек	biʃɪ̞k
биҙ	bʲið
биҙрә	bʲiðræ
биҙәк	bʲiðæk
бойондороҡһоҙ	bʊ̞jʊ̞ndʊ̞rʊ̞qhʊ̞ð
бойондороҡһоҙлоҡ	bʊ̞jʊ̞ndʊ̞rʊ̞qhʊ̞ðɫʊ̞q
бойороҡ	bʊ̞jʊ̞rʊ̞q
бойоҡ	bʊ̞jʊ̞q
бойҙай	bʊ̞jðɑj
болан	bʊ̞ɫɑn
болон	bʊ̞ɫʊ̞n
борон	bʊ̞rʊ̞n
боронғо	bʊ̞rʊ̞ŋɢʊ̞
борос	bʊ̞rʊ̞s
борсаҡ	bʊ̞rsɑq
борғаҡ	bʊ̞rʁɑq
борғо	bʊ̞rʁʊ̞
бот	bʊ̞t
ботаҡ	bʊ̞tɑq
бохара	bʊ̞χɑrɑ
боҙ	bʊ̞ð
боҙбармаҡ	bʊ̞ðbɑrmɑq
боҙлауыҡ	bʊ̞ðɫɑwɯ̞q
боҙоҡ	bʊ̞ðʊ̞q
боҫ	bʊ̞θ
буйынса	bujɯ̞nsɑ
буйҙаҡ	bujðɑq
булараҡ	buɫɑrɑq
булат	buɫät
бур	bur
бура	burɑ
буран	burɑn
буранка	buränkä
бураҙна	burɑðnɑ
бурыс	burɯ̞s
бурһыҡ	burhɯ̞q
бурһыҡ	burɦɯ̞q
бутҡа	butqɑ
буш	buʂ
буға	buʁɑ
буҡ	buq
буҫаға	buθɑʁɑ
буҫтау	buθtɑw
быйма	bɯ̞jmɑ
был	bɯ̞ɫ
былау	bɯ̞ɫɑw
былбыл	bɯ̞ɫbɯ̞ɫ
былтыр	bɯ̞ɫtɯ̞r
бырау	bɯ̞rɑw
бысаҡ	bɯ̞sɑq
бысраҡ	bɯ̞srɑq
бысҡы	bɯ̞sqɯ̞
быу	bɯ̞w
быуа	bɯ̞wɑ
быуай	bɯ̞wɑj
быуат	bɯ̞wɑt
быяла	bɯ̞jɑɫɑ
бығау	bɯ̞ʁɑw
быҙау	bɯ̞ðɑw
бүкән	bʏkæn
бүләк	bʏlæk
бүре	bʏrɪ̞
бүрек	bʏrɪ̞k
бүрәнә	bʏrænæ
бүтән	bʏtæn
бүҙәнә	bʏðænæ
бәйге	bæjɡɪ̞
бәйләнеш	bæjlænɪ̞ʃ
бәйләүес	bæjlæwɪ̞s
бәйғәмбәр	bæjʁæmbær
бәке	bækɪ̞
бәлки	bælkʲi
бәлә	bælæ
бәләкәй	bælækæj
бәндә	bændæ
бәпембә	bæpɪ̞mbæ
бәпес	bæpɪ̞s
бәпкә	bæpkæ
бәпәй	bæpæj
бәрҙе	bærðɪ̞
бәрәкәт	bærækæt
бәрәс	bæræs
бәрәңге	bæræŋɡɪ̞
бәхет	bæχɪ̞t
бәхәс	bæχæs
бәшмәк	bæʃmæk
бәүел	bæwɪ̞l
бөгөн	bʏ̞ɡʏ̞n
бөжәк	bʏ̞ʒæk
бөйө	bʏ̞jʏ̞
бөйөк	bʏ̞jʏ̞k
бөйөр	bʏ̞jʏ̞r
бөркөт	bʏ̞rkʏ̞t
бөрлөгән	bʏ̞rlʏ̞ɡæn
бөрсә	bʏ̞rsæ
бөртөк	bʏ̞rtʏ̞k
бөрө	bʏ̞rʏ̞
бөтә	bʏ̞tæ
бөтөн	bʏ̞tʏ̞n
бөтөн	bʏ̞tʏ̞n
бөтөнләй	bʏ̞tʏ̞nlæj
бөҙрә	bʏ̞ðræ
вазифа	wäzʲïfä
ватан	wɑtɑn
ваҡ	waq
ваҡиға	wäqɯ̽͜ɪ̈ʁä
ваҡыт	wɑqɯ̞t
ваҡытында	wɑqɯ̞tɯ̞ndɑ
википедия	vʲikʲpʲedʲijä
вилдан	vʲildän
вилдан	wi̠ɫdɑn
выждан	wɯ̞ʐdɑn
вәғәҙә	wæʁæðæ
гармун	ɡärmun
гармунсы	ɡärmunsɯ̞
гел	ɡɪ̞l
германия	ɡʲirmänʲijä
гонаһ	ɡʊ̞nɑχ
гонаһ	ʁʊ̞nɑχ
гонаһ	ɢʊ̞nɑχ
гонаһ	ɡʊ̞nɑh
граждан	ɡräʐdän
греция	ɡrʲet͜sɨ̞jä
гүзәл	ɡʏzæl
гүзәл	ɡʏzæl
гүр	ɡʏr
гәзит	ɡæzʲit
гәрәбә	ɡæræbæ
гәрәбә	ɡæræβæ
гәүһәр	ɡæwhær
гәүһәр	ɡæwhær
гөбөргәйел	ɡʏ̞βʏ̞rɡæjɪ̞l
гөл	ɡʏ̞l
гөлбаныу	ɡʏ̞lbänɯ̞w
гөлйемеш	ɡʏ̞ljɪ̞mɪ̞ʃ
гөлназ	ɡʏlnäz
даими	dɑimʲi
даирә	däi̯ræ
дала	dɑɫɑ
дана	dɑnɑ
дарыу	dɑrɯ̞w
дарыухана	dɑrɯ̞wχɑnɑ
дауа	dɑwɑ
дауам	dɑwɑm
дауахана	dɑwɑχɑnɑ
дауыл	dɑwɯ̞ɫ
дауыт	dɑwɯ̞t
даян	dɑjɑn
даға	dɑʁɑ
дағстан	dɑʁɯ̞̆stɑn
дебет	dɪ̞βɪ̞t
дилбегә	dʲilbɪ̞ɡæ
дилбегә	dʲilβɪ̞ɣæ
дим	dʲim
дин	dʲin
диуана	dʲiwɑnɑ
диуар	dʲiwär
диңгеҙ	dʲiŋɡɪ̞ð
донъя	dʊ̞njɑ
дошман	dʊ̞ʂmɑn
доға	dʊ̞ʁɑ
дуңғыҙ	duŋɢɯ̞ð
дуҫ	duθ
дуҫлыҡ	duθɫɯ̞q
дым	dɯ̞m
дымлылыҡ	dɯ̞mɫɯ̞ɫɯ̞q
дүрт	dʏrt
дүшәмбе	dʏʃæmbɪ̞
дәрес	dærɪ̞s
дәрәжә	dæræʒæ
дәфтәр	dæftær
дәғүә	dæʁwæ
дәүер	dæwɪ̞r
дәүләт	dæwlæt
дөгө	dʏ̞ɡʏ̞
дөйә	dʏ̞jæ
дөйөм	dʏ̞jʏ̞m
дөрөҫ	dʏ̞rʏ̞θ
егет	jɪ̞ɡɪ̞t
егәр	jɪ̞ɡær
егәрле	jɪ̞ɡærlɪ̞
елек	jɪ̞lɪ̞k
елем	jɪlɪ̞m
елен	jɪ̞lɪ̞n
елкә	jɪ̞lkæ
елкән	jɪ̞lkæn
еләк	jɪ̞læk
емеш	jɪ̞mɪ̞ʃ
емтек	jɪ̞mtɪ̞k
енәйәт	jɪ̞næjæt
ер	jɪ̞r
ер	jɪ̞r
ерек	jɪ̞rɪ̞k
етди	jɪ̞dʲːi
ете	jɪ̞tɪ̞
етегән	jɪ̞tɪ̞ɡæn
етем	jɪ̞tɪ̞m
етәксе	jɪ̞tæksɪ̞
етәр	jɪ̞tær
еҙ	jɪ̞ð
еҙнә	jɪ̞ðnæ
ең	jɪ̞ŋ
еңгә	jɪ̞ŋɡæ
еңел	jɪŋɪ̞l
еңеүсе	jɪ̞ŋɪ̞wsɪ̞
еҫ	jɪ̞θ
еүеш	jɪ̞wɪ̞ʃ
журнал	ʐurnäɫ
заман	zɑmɑn
замана	zɑmɑnɑ
заһир	zɑhïr
зифа	zʲïfä
зифа	zʲïfä
зыян	zɯ̞jɑn
зыярат	zɯ̞jɑrɑt
зәйнәб	zæjnæp
зәйнәп	zæjnæp
зәйтүнә	zæjtʏnæ
зәңгәр	zæŋɡær
зөлфиә	zʏ̞lfʲiʲæ
зөлхизә	zʏ̞lχɨ̯͜izæ
зөләйха	zʏ̞læjχa
зөләйха	zʏ̞læjχæ
зөләйхә	zʏ̞læjχæ
зөфәр	zʏ̞fær
зөһрә	zʏ̞hræ
иблис	iblʲis
ибраһим	i̠brɑhi̠m
иген	iɡɪ̞n
игеҙәк	iɡɪ̞ðæk
игеҙәктәр	iɡɪ̞ðæktær
игәү	iɡæw
ижад	i̠ʐät
ижек	iʒɪ̞k
изге	izɡɪ̞
ике	ikɪ̞
икенде	ikɪ̞ndɪ̞
икмәк	ikmæk
ил	il
илдар	ildär
илнур	ilnur
ильяс	iljäs
иләк	ilæk
иләү	ilæw
имза	ïmzɑ
имза	ïmzä
имсәк	imsæk
имтихан	i̠mtʲi̠χän
имшеү	imʃɪ̞w
имән	imæn
инсан	ïnsän
интернет	intɨrnɛt
интернет	intɤrnɛt
инша	i̠nʂä
иншалла	ïnʂäɫːä
инәй	inæj
ипләп	iplæp
иптәш	iptæʃ
ир	irĕ
ир	ir̥
ирек	irɪ̞k
ирекле	irɪ̞klɪ̞
ирекмән	irɪ̞kmæn
ирен	irɪ̞n
иркә	irkæ
ирлән	irlæn
ирмәк	irmæk
иртә	irtæ
иртәнсәк	irtænsak
исем	isɪ̞m
исемлек	isɪ̞mlɪ̞k
искәндәр	iskændær
искәндәриә	iskændærijæ
ислам	i̠sɫɑm
исмаһам	ïsmähäm
исрафил	ïsrɑfʲïɫ
итек	itɪ̞k
итәк	itæk
ихтилал	ïχtʲïɫɑɫ
ишек	iʃɪ̞k
ишкәк	iʃkæk
ишәк	iʃæk
иғлан	ïʁɫɑn
иғтибар	iχtibär
иғтибар	iχtibɑr
иҙел	iðɪ̞l
иҙән	iðæn
иҡтисад	i̠qtʲi̠sät
иҫ	iθ
иҫерек	iθɪ̞rɪ̞k
иҫке	iθkɪ̞
иҫкәртмә	iθkærtmæ
иҫән	iθæn
иҫәп	iθæp
йома	jʊ̞mɑ
йомабай	jʊ̞mɑbɑj
йомабикә	jʊ̞mɑbʲikæ
йомарт	jʊ̞mɑrt
йомағара	jụmɑɣɑrɑ
йомаҡ	jʊ̞mɑq
йомортҡа	jʊ̞mʊ̞rtqɑ
йомош	jʊ̞mʊ̞ʂ
йомран	jʊ̞mrɑn
йомро	jʊ̞mrʊ̞
йомшаҡ	jʊ̞mʂɑq
йомғаҡ	jʊ̞mʁɑq
йондоҙ	jʊ̞ndʊ̞ð
йондоҙнамә	jʊ̞ndʊ̞ðnämæ
йорт	jʊ̞rt
йосоп	jʊ̞sʊ̞p
йоғошло	jʊ̞ʁʊ̞ʂɫʊ̞
йоҙаҡ	jʊ̞ðɑ̹q
йоҙроҡ	jʊ̞ðrʊq
йоҡа	jʊ̞qɑ
йоҡо	jʊ̞qʊ̞
йыл	jɯ̞ɫ
йылан	jɯ̞ɫɑn
йылъяҙма	jɯ̞ɫjɑðmɑ
йылы	jɯ̞ɫɯ̞
йылымыс	jɯ̞ɫɯ̞mɯ̞s
йылға	jɯ̞ɫʁɑ
йыназа	jɯ̞nɑzɑ
йыр	jɯ̞r
йыраҡ	jɯ̞rɑq
йырсы	jɯ̞rsɯ̞
йыртҡыс	jɯ̞rtqɯ̞s
йыуа	jɯ̞wɑ
йыуан	jɯ̞wɑn
йыуаса	jɯ̞wɑsɑ
йыш	jɯ̞ʂ
йыһан	jɯ̞hɑn
йүгән	jʏɡæn
йүкә	jʏkæ
йүнәлеш	jʏnælɪ̞ʃ
йүргәк	jʏrɡæk
йүтәл	jʏtæl
йә	jæ
йәй	jæj
йәйғор	jæjʁʊ̞r
йәйә	jæjæ
йәйәү	jæjæw
йәки	jækʲi
йәкшәмбе	jækʃæmbɪ̞
йәл	jæl
йәмил	jæmʲil
йәмилә	jæmʲilæ
йән	jæn
йәннәт	jænːæt
йәнһүрәт	jænhʏræt
йәнә	jænæ
йәрминкә	jærmʲinkæ
йәрәхәт	jæræχæt
йәтим	jætʲim
йәш	jæʃ
йәш	jæʃ
йәш	jæʃ
йәшел	jæʃɪ̞l
йәшелсә	jæʃɪ̞lsæ
йәшен	jæʃɪ̞n
йәшник	jæʃnʲik
йәштәр	jæʃtær
йәшәйеш	jæʃæjɪ̞ʃ
йәғни	jæʁnʲi
йәғни	jæʁnʲi
йәүҙәт	jæwðæt
йәһүд	jæhʏt
йәһәннәм	jæhænːæm
йөк	jʏ̞k
йөкмәтке	jʏ̞kmætkɪ̞
йөн	jʏ̞n
йөрәк	jʏ̞ræk
йөҙ	jʏ̞ð
йөҙтүбән	jʏ̞ðtʏbæn
йөҙтүбән	jʏ̞ðtʏβæn
йөҙөк	jʏ̞ðʏ̞k
карап	käräp
каруан	kärwän
каса	kasa
кафыр	käfɪ̈r
кафыр	kæfɪ̞r
квартал	kvärtäɫ
квартал	kvärtäɫ
кг	kʲiɫäɡräm
кг	kʲiɫä
кейем	kɪ̞jɪ̞m
кейеҙ	kɪ̞jɪ̞ð
кейәү	kɪ̞jæw
келәм	kɪ̞læm
кем	kɪ̞m
кендек	kɪ̞ndɪ̞k
кер	kɪ̞r
керпек	kɪ̞rpɪ̞k
кесаҙна	kɪ̞säðnä
кесерткән	kɪ̞sɪ̞rtkæn
кескәй	kɪ̞skæj
кеше	kɪ̞ʃɪ̞
кешелек	kɪ̞ʃɪ̞lɪ̞k
кеҫә	kɪ̞θæ
кеҫәртке	kɪ̞θærtkɪ̞
киев	kʲijɨ̞f
киле	kʲilɪ̞
килен	kʲilɪ̞n
килеш	kilɪ̞ʃ̟
килмешәк	kʲilmɪ̞ʃæk
килограмм	kʲiɫäɡräm
киләсәк	kʲilæsæk
киләһе	kʲilæhɪ̞
кимереүсе	kʲimɪ̞rɪ̞wsɪ̞
кимәл	kʲimæl
киндер	kʲindɪ̞r
кинәт	kʲinæt
кирбес	kʲirbɪ̞s
кире	kʲirɪ̞
киреһенсә	kʲirɪ̞hɪ̞nsæ
кис	kʲis
кисеү	kʲisɪ̞w
кисә	kʲisæ
китапхана	kʲitäpχänä
кишер	kʲiʃɪ̞r
киң	kʲiŋ
киңлек	kʲiŋlɪ̞k
кукуруз	kukuruz
күбек	kʏβɪ̞k
күбәләк	kʏβælæk
күгәрсен	kʏɡærsɪ̞n
күгәүен	kʏɡæwɪ̞n
күк	kʏk
күкәй	kʏkæj
күл	kʏl
күлдәк	kʏldæk
күләгә	kʏlæɡæ
күләм	kʏlæm
күләүек	kʏlæwɪ̞k
күмер	kʏmɪ̞r
күп	kʏp
күпер	kʏpɪ̞r
күпме	kʏpmɪ̞
күпселек	kʏpsɪ̞lɪ̞k
күпселек	kʏpsɪ̞lɪ̞k
күрек	kʏrɪ̞k
күренеш	kʏrɪ̞nɪ̞ʃ
күркә	kʏrkæ
күрше	kʏrʃɪ̞
күскен	kʏskɪ̞n
күстәнәс	kʏstænæs
күсәр	kʏsær
күт	kʏt
күҙлек	kʏðlɪ̞k
күҙәнәк	kʏðænæk
күңел	kʏŋɪ̞l
күңелле	kʏŋɪ̞lːɪ̞
күңелһеҙ	kʏŋɪ̞hɪ̞ð
күңелһеҙ	kʏŋɪ̞ɦɪ̞ð
кәбеҫтә	kæbɪ̞θtæ
кәбеҫтә	kæβɪ̞θtæ
кәбән	kæb̪æn
кәбән	kæβæn
кәзә	kæzæ
кәйеф	kæjɪ̞f
кәкре	kækrɪ̞
кәкре	kækɪ̞rɪ̞
кәкүк	kækʏk
кәләш	kælæʃ
кәм	kæm
кәмендә	kæmɪ̞ndæ
кәмә	kæmæ
кәнфит	kænfʲit
кәрт	kært
кәрәк	kæræk
кәсер	kæsɪ̞r
кәстрүл	kæstrʏl
кәштә	kæʃtæ
кәшәнә	kæʃænæ
кәңәш	kæŋæʃ
кәңәшмә	kæŋæʃmæ
кәңәшсе	kæŋæʃsɪ̞
кәүҙә	kæwðæ
көй	kʏ̞j
көйә	kʏ̞jæ
көйәнтә	kʏ̞jæntæ
көкөрт	kʏ̞kʏ̞rt
көмбәҙ	kʏ̞mbæð
көмөш	kʏ̞mʏ̞ʃ
көнбайыш	kʏ̞nbɑjɯ̞ʂ
көнбағыш	kʏ̞nbɑʁɯ̞ʂ
көндәлек	kʏ̞ndælɪ̞k
көнкүреш	kʏ̞nkʏrɪ̞ʃ
көнсығыш	kʏ̞nsɯ̞ʁɯ̞ʂ
көньяҡ	kʏ̞njɑq
көрсөк	kʏ̞rsʏ̞k
көрт	kʏ̞rt
көртмәле	kʏ̞rtmælɪ̞
көрәк	kʏ̞ræk
көрән	kʏ̞ræn
көрәш	kʏ̞ræ̹ʃ
көс	kʏ̞s
көслө	kʏ̞slʏ̞
көстө	kʏ̞stʏ̞
көсөк	kʏ̞sʏ̞k
көтмәгәндә	kʏ̞tmæɡændæ
көҙ	kʏ̞ð
көҙгө	kʏ̞ðɡʏ̞
ләйсән	læjsæn
мажара	mɑʒɑrɑ
маймыл	mɑjmɯ̞ɫ
майҙан	mɑjðɑn
майҙансыҡ	mɑjðɑnsɯ̞q
мамыҡ	mɑmɯ̞q
матбуғат	mɑtbuʁɑt
матдә	mädːæ
матдә	mædːæ
матур	mɑtur
махсус	mɑχsus
машина	mäʂɯ̞nä
машина	mäʃinä
маҡсат	mɑqsɑt
маҡтансыҡ	mɑqtɑnsɯ̞q
маңдай	mɑŋdɑj
маңлай	mɑŋɫɑj
маңҡа	mɑŋqɑ
мейе	mɪ̞jɪ̞
мейес	mɪ̞jɪ̞s
мендәр	mɪ̞ndær
менәүрә	mɪ̞næwræ
мең	mɪ̞ŋ
милләт	mʲilːæt
милләтсе	mʲilːætsɪ̞
милләтсел	mʲilːætsɪ̞l
миләш	mʲilæʃ
миләүшә	mʲilæwʃæ
миләүшә	mʲilæwʃæ
мин	mʲin
миндек	mʲindɪ̞k
миндә	mʲindæ
мине	mʲinɪ̞
минең	mʲinɪ̞ŋ
министр	mʲinʲistɯ̞r
министрлыҡ	mʲinʲistɯ̞rɫɯ̞q
минут	mʲinut
минән	mʲinæn
мираҫ	mʲirɑθ
миҙал	mʲiðäɫ
миҙгел	mʲiðɡɪ̞l
миң	mʲiŋ
миңә	mʲiŋæ
миҫал	mʲi̠θɑɫ
морон	mʊ̞rʊ̞n
мосолман	mʊ̞sʊ̞ɫmɑn
мотлаҡ	mʊ̞tɫɑq
моғайын	mʊ̞ʁɑjɯ̞n
моң	mʊ̞ŋ
муйыл	mujɯ̞ɫ
муйын	mujɯ̞n
мулла	muɫɑ
мунса	munsɑ
муса	musɑ
мыжыҡ	mɯ̞ʐɯ̞q
мыйыҡ	mɯ̞jɯ̞q
мылтыҡ	mɯ̞ɫtɯ̞q
мырҙа	mɯ̞rðɑ
мысыр	mɯ̞sɯ̞r
мышар	mɯ̞ʂɑr
мышы	mɯ̞ʂɯ̞
мүк	mʏk
мәжүси	mæʒʏsʲi
мәжүсилек	mæʒʏsʲilɪ̞k
мәйет	mæjɪ̞t
мәккә	mækːæ
мәктәп	mæktæp
мәмерйә	mæmɪ̞rjæ
мәней	mænɪ̞j
мәнфәғәт	mænfæʁæt
мәргән	mærɡæn
мәрйен	mærjɪ̞n
мәрйәм	mærjæm
мәрмәр	mærmær
мәртәбә	mærtæβæ
мәрхүм	mærχʏm
мәсет	mæsɪ̞t
мәскәү	mæskæw
мәсьәлә	mæsælæ
мәсьәлә	mæsʔælæ
мәхмүт	mæχmʏt
мәшәҡәт	mæʃæqæt
мәғлүмәт	mæʁlʏmæt
мәғәнә	mæʁænæ
мәҙинә	mæðinæ
мәҙрәсә	mæðræsæ
мәҙәниәт	mæðænʲiʲæt
мәҡәл	mæqæl
мәҡәлә	mæqælæ
мәңге	mæŋɡɪ̞
мәңгелек	mæŋɡɪ̞lɪ̞k
мәңгелек	mæŋɡɪ̞lɪ̞k
мәҫәл	mæθæl
мәҫәлән	mæθælæn
мөгөҙ	mʏ̞ɡʏ̞ð
мөйөш	m̟̞jʏ̞ʃ
мөмкин	mʏ̞mkʲin
мөмкин	mʏ̞mkʲin
мөмкинлек	mʏ̞mkʲinlɪ̞k
мөмкинселек	mʏ̞mkʲinsɪ̞lɪ̞k
мөмкинселек	mʏ̞mkʲinsɪ̞lɪ̞k
мөрйә	mʏ̞rjæ
мөртәт	mʏ̞rtæt
мөхит	mʏ̞χɨ̯͜it
мөхәббәт	mʏ̞χæbːæt
мөхәммәт	mʏχæmːæt
мөхәррир	mʏ̞χærʲːir
мөхәрририәт	mʏ̞χærʲːirʲiʲæt
мөьмин	mʏ̞ʔmin
мөғжизә	mʏ̞ʁʒizæ
мөғжизә	mʏ̞ʁʑizæ
мөһим	mʏ̞him
намаҙ	nɑmɑð
намаҙлыҡ	nɑmɑðɫɯ̞q
намыҫ	nɑmɯ̞θ
насар	nɑsɑr
науруз	nɑwruz
науруз	nɑwrɯ̞z
наҙан	nɑðɑn
нигеҙ	nʲiɡɪ̞ð
нимә	nʲimæ
ниндәй	nʲindæj
ниндәй	nʲindæj
нисбәт	nʲisbæt
нисек	nʲisɪ̞k
нисә	nʲisæ
нисәнсе	nʲisænsɪ̞
ниғмәт	nʲiʁmæt
ниғмәтулла	nʲiʁmætuɫːä
ниһәйәт	nʲihæjæt
ниәт	nʲiʲæt
ниәт	nɪ̞jæt
норма	no̞rmä
нур	nur
нух	nuχ
нәжибә	næʑiβæ
