abhag	afak
ceud	kʰʲiat̪
ceudamh	kʰʲeːt̪əv
ceum	kʰʲeːm
cha	xa
chaidh	xaɪ
chaidreach	xatʲɾʲəx
chaneil	χanjel
cheana	çɛnə
chirce	çiɾ̥cə
chuala	xuələ
ciall	kʰʲiaɫ̪
ciallach	kʰʲiəl̪ˠəx
ciar	kʰiaɾ
cinn	kʲʰiːɲ
cinnte	kʰʲĩːɲtʲə
cinnteach	kʰʲĩːɲtʲəx
cìoch	kʰʲiəx
cipean	kʰʲiʰpʰan
cìr	kʰʲiːɾʲ
ciùil	kʰʲuːl
ciùin	kʰʲuːɲ
ciùrr	kʰʲuːrˠ
ciùrradh	kʰʲuːrˠəɣ
clach	kl̪ˠax
clann	kʰl̪ˠaun̪ˠ
cliath	kliə
cliùiteach	kʰluːhtʲəx
cluinneadh	kɫ̪ɯɲəɣ
cnàmh	kʰɾãːv
cnàmhlach	kʰrˠãːvl̪ˠəx
cneap	krɛʰp
cneasda	kʰʲrʲes̪t̪ə
cneasta	krʲes̪t̪ə
cnèatag	kʰɾiaʰt̪ʰak
cnoc	kɾɔ̃ʰk
cnòthan	kɾɔːən
cobhan	kʰoan
còig	kʰoːkʲ
coileach	kʰɤləx
coille	kʰɤʎə
coimheach	kɔ̃jəx
coinneach	koinʲax
coinneamh	kʰɤɲəv
coinnlear	kɤ̃ĩɲʎɛr
coire	kʰɔɾʲə
coire	kʰɤɾʲə
colainn	kɔl̪ˠəɲ
colaiste	kʰɔɫ̪ɪʃtʲə
colann	kɔl̪ˠən̪ˠ
coltas	kɔɫtəs
coma	komə
comann	kʰomən̪ˠ
comannach	kʰomən̪ˠəx
comasach	kʰoməs̪əx
comhairle	kʰɔ̃ərˠʎə
connsachail	kʰɔ̃ũn̪ˠs̪əxal
connspaideach	kʰɔ̃ũn̪ˠs̪pɪtʲəx
còrr	kʰɔːrˠ
cosgais	kosɡɪʃ
cothromach	kʰɔrˠəməx
craicte	kʰrɛçdʲə
crann	kraun̪ˠ
craosach	kʰɾɯːs̪əx
crè	kʰrɛː
creag	kʰɾek
creagan	kʰɾekən
crìoch	kʰɾiːx
croch	kʰɾɔx
cruinn	kʰruɪɲ
crùn	kruːn
cù	kuː
cuaigear	kʰuəkʲəɾ
cuan	kʰuan
cuilean	kʰulan
cuileann	kʰulən̪ˠ
cuimhne	kʰuiɲə
cuimhneachadh	kʰuiɲəxəɣ
cuimris	kɯmɯrʲɪʃ
cuine	kʰuɲə
cuing	kʰɯ̃ĩŋʲkʲ
cuip	kʰuiʰp
cuir	kʰuɾʲ
cuireadh	kʰuɾʲəɣ
cùis	kʰuːʃ
cùiseach	kʰuːʃəx
cùl	kʰuːɫ̪
cultarach	kʰul̪ˠt̪əɾəx
cum	kʰuːm
cùm	kʰuːm
cumhachd	kʰũəxɡ
cumhachdach	kʰũəxɡəx
cupa	kʰuʰpʰə
d'	d̊
d'	d̊ʲ
dachaigh	daxɪ
dadamach	dadəməx
dàimheach	daivəx
dàn	d̥aːn
dàrna	daːrˠn̪ˠə
dàrnach	daːrˠn̪ˠəx
de	tʲe
dè	tʲeː
deagh	tʲoː
dealg	tʲal̪ˠak
dèan	tʲian
dearg	tʲɛrɛk
dearrs	tʲaːrˠs̪
dearrsach	tʲaːrˠsəx
dearrsadh	t̪ʲaːrˠs̪əɣ
deàrsadh	t̪ʲaːrˠs̪əɣ
deas	t͡ʃɛs
deich	tʲeç
deicheach	dʲeçəx
dèine	d͡ʒʲɛːɲʲə
dèine	tʲeːnə
deirdre	tʲɛrtɾə
deirdre	tʲɛʈɾə
deoch	tʲɔx
deoghail	tʲoal
deònach	tʲɔːnəx
deur	d̥ʲiaɾ
dhà	ɣaː
dhachaigh	ɣaxɪ
dhìol	ʝiəɫ̪
dhìth	ʝiː
dhomh	ɣɔː
dhuibh	ɣɯiv
dia	tʲia
dian	t͡ʃian
dìbhe	tʲivə
dìcheall	tʲiːçəɫ̪
dìlleachd	tʲiːʎəxɡ
dìlleachdach	tʲiːʎəxɡəx
dìlleachdan	tʲiːʎəxɡan
dìlleachdanachd	tʲiːʎəxɡanəxɡ
dìlleachdas	tʲiːʎəxɡəs̪
diog	dʲik
dìoghaltach	tʲiəəl̪ˠt̪ʰəx
dìol	tʃiːlˠ
diù	tʲuː
diùid	tʲuːtʲ
dòchas	t̪ɔːxəs
dòchasach	t̪ɔːxəs̪əx
doilleir	dɔɪʎɛr
doilleir	dɔʎɛr
doimhne	t̪ɤĩnə
doimhneachd	t̪ɔiɲəxk
doirbh	d̪̊ɤrʲɤv
doirbh	t̪ɤɾʲɤv
dòmhnall	t̪oːnaɫ
dòmhnall	t̪oːvnaɫ
dòmhnall	t̪ɔ̃ːəɫ̪
dona	t̪ɔnə
donn	t̪ɔun̪ˠ
donnchadh	t̪ɔn̪ˠɔxəɣ
doras	t̪ɔɾəs̪
dòrnan	t̪ɔːɾnan
dorra	t̪ɔrˠə
drabasda	t̪ɾapəs̪t̪ə
drabasdach	t̪ɾapəs̪t̪əx
drabasdachd	t̪rˠapas̪t̪axk
dragh	t̪ɾɤɣ
dranndan	t̪ɾãũn̪ˠt̪an
dranndanach	t̪ɾãũn̪ˠtanəx
draoidheachd	drɯɪʲaxk
droigheann	t̪ɾɔjən̪ˠ
drùidhteach	druːdʲəx
druim	t̪ɾɯim
drùis	t̪ɾuːʃ
drùiseach	t̪ɾuːʃax
drùisealachd	t̪rˠuːʃɛl̪ˠaxk
drùiseantachd	t̪rˠuːʃən̪t̪ʰaxk
drùisear	t̪rˠuːʃɛrˠ
drùisearachd	t̪rˠuːʃɛrˠaxk
drùiseil	truːʃɛl
drùisire	t̪rˠuːʃiɾə
duais	t̪uəʃ
dualchasach	tuəl̪ˠxəs̪əx
dubh	t̪ʊv
dubh	t̪uːv
dubh	t̪uː
dubh	t̪u
duilleach	dɯʎəx
dùin	t̪uːɲ
duine	t̪ɯɲə
dùisg	t̪uːʃkʲ
dùn	t̪uːn
each	ɛx
each	jax
eadar	ed̪̊əɾ
eadar	et̪əɾ
eadh	ɤɣ
eala	ɛlˠa
ealasaid	ɛɫ̪əs̪ətʲ
eallach	jaɫ̪əx
earrach	jarˠəx
earrann	ɛrˠən̪ˠ
earrann	jarˠən̪ˠ
eile	elə
eiridinn	eɾɪtʲɪɲ
eiridnich	erʲɪdʲnɪç
eisimeileachd	eʃɪmələxɡ
èist	eːʃd̥ʲ
eithne	ɛnʲə
eòghan	joːan
eòghan	joːən
eòin	jɔːɲ
eòin	jɔːnʲ
eòlas	jɔːɫ̪əs̪
eudail	eːt̪al
facal	faxkəɫ
faclair	faxklˠ̪əɾʲ
fada	fat̪ə
fàg	faːk
faiceallach	façkʲəl̪ˠəx
fàilte	faːltʃə
faing	faiŋʲkʲ
falbh	faʟav
faod	fɯːt̪
faoileag	fɯːlak
faoin	fɯːɲ
faramach	farəməx
farsaing	faɾs̪ɪŋʲɡʲ
fastaidh	fasdɪ
fathan	fahan
feabhas	fjoəs
feabhasach	fjoəsəx
feadh	fjɤɣ
feamainn	femɪɲ
fear	fɛɾ
fearachas	fɛrəxəs
fearail	fɛral
fearchar	fɛrɛxər
fearchar	fɛraxər
fearghas	fɛrɛɣəs
feàrna	fjaːɾnə
feàrr	fjaːrˠ
fèill	feːʎ
féill	feːʎ
feis	feʃ
fèis	feːʃ
feòl	fjɔːɫ̪
feum	feːm
feumach	feːməx
feur	fiəɾ
fhear	ɛɾ
fheis	eʃ
fheur	iəɾ
fhios	is̪
fiar	fjiəɾ
figh	fi
figheadair	fiət̪ɛɾʲ
fill	fiːʎ
fionnar	fjun̪ˠəɾ
fionntach	fjuːn̪ˠt̪ʰəx
fìor	fiːɾ
fios	fɪs
fios	fis̪
fiùghantach	fjuːənt̪əx
fiughar	fjuəɾ
fiùran	fjuːran
fleadh	flɤɣ
fliuch	flux
foghain	foɪɲ
foghar	foər
fogharach	foəɾəx
fòghnaidh	foːnɪ
foighidneach	fɤjɪdʲnəx
fois	foʃ
follais	fɔɫ̪ɪʃ
follaiseach	fɔl̪ˠɪʃəx
fonn	fɔun̪ˠ
fosgail	fɔskal
freagair	frʲekɪrʲ
freasdalach	fɾʲes̪t̪əl̪ˠəx
freasdalachd	fɾʲes̪t̪əl̪ˠəxɡ
freumh	fɾʲɪəv
fuar	fuəɾ
fuin	fuɲ
fuineadair	fuɲədɛrʲ
fuineall	fuɲəl̪ˠ
fuirich	fuɾʲɪç
fulang	fuɫ̪əŋɡ
gach	kax
gad	kat̪
gàd	ɡaːd
gadhar	kɤər
gafann	kafənˠ̪
gàidheal	kɛːəɫ̪
gàidhlig	kaːlɪkʲ
gal	kal̪ˠ
galla	kaɫ̪ə
gaoisid	ɡɯːʃid͡ʒ
gaol	kɯːɫ̪
gaothach	kɯːəx
gasda	kas̪t̪ə
geal	kʲaɫ̪
geall	kʲaul̪ˠ
gealladh	kʲaɫ̪əɣ
geamhradh	kʲɛuɾəɣ
geamhradh	kʲɛuɾəɣ
geàrr	kʲaːrˠ
geas	kʲes
geasachd	kʲɛsaxk
gèill	kʲeːʎ
gheall	jaul̪ˠ
ghille	ʝiʎə
ghlais	ɣl̪ˠaʃ
gile	kʲilə
gille	kʲiʎə
gimleid	kimilatʲ
gin	ɡʲin
gionach	kʲinəx
glacadh	kl̪ˠaxkəɣ
glais	kl̪ˠaʃ
glaodh	kl̪ˠɯː
glas	klas
glaschu	kɫ̪as̪xu
glè	ɡlɛː
glé	kleː
glòir	kɫ̪ɔːɾʲ
gnè	krɛː
gob	kop
gobhar	ɡoəɾ
goibhle	kəilə
goibhnean	kəinən
goid	kɤtʲ
goirid	kɤɾʲɪtʲ
goirt	kɔrt͡ʃʲ
goistidh	ɡɔʃdʲɪ
gòrach	ɡɔːrəx
gorm	kɔrɔ̃m
gràdh	kraːɣ
greim	kɾeim
grìbhean	cɾiːvan
griogair	ɡ̊ɾʲiɡ̊ɪɾʲ
gu	ku
guib	kɤp
gunna	ɡʊnə
hallo	haɫoː
hearach	hɛɾəx
iarla	iərˠl̪ˠə
iarraidh	iərˠɪ
iasgaich	iəskɪç
imlich	imilɪç
innis	ĩːʃ
ìoc	iəxk
ioghnadh	iənəɣ
iomadh	iməɣ
iomall	iməl̪ˠ
iomradh	imiɾəɣ
ionnsaich	jũːn̪ˠsɪç
ith	iç
iubhar	juəɾ
lachan	ɫ̪axan
ladhran	ɫ̪ɤːɾan
lagh	ɫ̪ɤɣ
laghail	ɫ̪ɤɣal
làimh	ɫ̪aiv
lainnir	ɫ̪aɲɪɾʲ
làireach	l̪ˠaːɾʲəx
làn	lɑːn
laogh	ɫ̪ɯːɣ
làthair	ɫ̪aːɪɾʲ
làthaireach	l̪ˠaːɪɾʲəx
le	lʲɛ
le	le
leabaidh	ʎepɪ
leac	ʎɛxk
lean	ʎɛn
leannan	ʎɛn̪ˠan
leatromach	ʎɛht̪ɾəməx
leig	ʎekʲ
leithid	ʎeɪtʲ
leitir	ʎehtʲɪɾʲ
leòmhann	ʎɔːən̪ˠ
leòsan	ɫ̪ʲɔːsan
leotha	ʎoə
leth	ʎe
leum	ʎeːm
liath	ʎiə
lice	ʎiʰkʰʲə
lionn	ʎuːn̪ˠ
lionntachd	ʎuːn̪ˠt̪ʰəxk
lios	ʎis̪
litir	ʎiʰtʲɪɾʲ
lobhte	l̪ˠɔvtə
loch	ɫ̪ɔx
lochan	ɫ̪ɔxan
lochlannach	l̪ˠɔxl̪ˠən̪ˠəx
loisgean	lˠɔʃkʲan
luach	l̪ˠuəx
lùbach	l̪ˠuːpəx
luchag	ɫ̪uxak
luchd	ɫ̪uxk
luinneag	l̪ˠɯɲak
lùnastal	l̪ˠuːnəs̪t̪əl̪ˠ
macgriogair	maxɡ̊ɾʲiɡ̊ɪɾʲ
maide	matʲə
maighdean	məitʲən
maighdeann	məitʲən
màiri	maːɪri
maise	maʃə
maiseach	maʃʲax
màla	maːɫ̪ə
mall	mauɫ
màmag	maːmak
mamaidh	mami
maoidh	mɤj
maoin	mɯːnʲ
maol	mɯːɫ̪
marbh	maɾav
marc	marxk
màthair	maːhəɾʲ
màthair	meːɾʲ
meall	mjauɫ̪
mearanach	mɛranax
measg	mesk
measgaichte	meskɪçtʲə
meòg	mjɔːk
meòir	mjɔːɾʲ
mhac	vaxk
mhàiri	vaːɪri
mhàthair	vaːhəɾʲ
mheall	vjauɫ̪
mhealladh	vjaɫ̪əɣ
mhil	vjil
mholainn	vɔɫ̪ɪɲ
mil	mjil
milis	milɪʃ
mill	miːʎ
mìltean	miːltʰʲən
min	mjin
mìn	miːn
mìos	miəs̪
mire	mʲiɾʲə
mocheirigh	mɔxərʲɪ
mochthrath	mɔxra
modh	mɔɣ
modhail	mɔɣal
mol	mol
molta	mɔɫ̪t̪ʰə
monadh	mɔnəɣ
mòrail	mɔːral
motha	moə
mucan	muʰkən
muinntir	mwiɲtʰʲɪɾʲ
mult	mul̪ˠt̪ˠ
mura	muɾə
mùrn	muːɾn
mustais	musdaʃ
nàbaidh	n̪ˠaːpi
nach	nax
nàdarrach	n̪ˠaːt̪ərˠəx
naidheachd	nɛəxɡ
nàireach	n̪ˠaːɾʲəx
nàiseantach	n̪ˠaːʃən̪ˠt̪əx
naoi	nɯːi
nàrach	n̪ˠaːɾəx
neach	n̠ʲax
nead	ɲet
neart	ɲɛɾʃt̪
neul	ɲiaɫ̪
nigh	ɲiː
nighean	ɲiːan̪ˠ
nigheann	ɲiːan̪ˠ
nighneag	ɲiːnak
nis	niʃ
norrag	n̪ˠɔrˠak
obair	opəɾʲ
obrachadh	obrəxəɣ
obraich	oprɪç
ochd	ɔxk
odhar	oər
oidhche	ɤ̃ĩçə
oighre	ɤiɾʲə
oighrig	ɤiɾic
oillt	əiʎʲtʰʲ
oilthigh	ɤlhɪ
oir	ɔir
òir	ɔːɾʲ
oisinn	oiʃən
òran	ɔːran
orm	ɔɾɔm
ort	ɔrˠst
pàipear	pʰɛːʰpʰəɾ
pàirtidh	pʰaːrˠʃtʲi
peadar	pʰet̪əɾ
peall	pʰjaul̪ˠ
peann	pʰjaun̪ˠ
peasair	pʰɛs̪ɪɾʲ
peileag	pʰelaɡ̊
peinnsean	pʰeiɲʃan
phàisde	faːʃtʰʲə
phàiste	faːʃtʰʲə
pheann	fjaun̪ˠ
pheasair	fɛs̪ɪɾʲ
pheata	fɛʰt̪ə
phiuthar	fjuəɾ
phost	fɔs̪t̪
piuthar	pʰjuəɾ
pòca	pɔːxkə
pòs	pʰɔːs
pòsaidh	pʰɔːs̪ɪ
post	pʰɔs̪t̪
prionnsa	prʲũːn̪ˠsə
pròis	prɔːʃ
pròiseil	prɔːʃɛl
put	pʰuʰt̪
raibeart	rˠapəɾʂʈ
ràith	rˠaːj
ràmh	rˠaːv
raon	rˠɯːn
reachd	rˠɛxk
rèidh	rˠeːj
rèite	rˠeːʰtʲə
rèiteach	rˠeːhtʲəx
rèiteachadh	rˠeːhtʲəxəɣ
rèitich	rˠeːhtʲɪç
reòth	rˠɔː
reul	rˠeːɫ̪
riabhach	rˠiəvəx
riamh	riəv
rìbhinn	rˠiːvɪɲ
ridireach	rˠitʲɪɾʲəx
rinn	rˠiːɲ
riochdaich	rˠixkɪç
rionnag	rʲuːnak
ròb	ʀɔːb
robh	roː
roghnaich	rˠoːnɪç
roid	rˠɔtʲ
ròmanach	rˠɔːmənəx
ròn	rɔːn
ruadh	ruəɣ
rug	rˠuk
rùn	rˠuːn
rùraich	rˠuːɾɪç
sàbh	s̪aːv
saighdear	sɤitʲəɾ
sàil	s̪aːl
salach	saɫ̪əx
salainn	sal̪ˠəɲ
salann	sal̪ˠən̪ˠ
samhain	saũiɲ
samhradh	sauɾəɣ
samhradh	s̪auɾəɣ
saoghal	s̪ɯːəɫ̪
saoil	sɯːl
sàr	s̪aːɾ
sàraich	s̪aːɾɪç
sasainn	sasəɲ
sè	ʃɛː
seachain	ʃɛxɪn
seachainn	ʃɛxɪɲ
seachd	ʃɛxk
seadh	ʃɤɣ
seagh	ʃɤɣ
sealg	ʃaɫ̪ak
sean	ʃɛn
seanair	ʃɛnɑr
seanchais	ʃɛnəxəʃ
seanchas	ʃɛnəxəs̪
seang	ʃɛŋk
seanmhair	ʃɛnəvɛɾʲ
seanmhairean	ʃɛnəvɛɾʲən
seanmhar	ʃɛnəvəɾ
seiceach	ʃeçkʲəx
seiche	ʃeçə
seicich	ʃeçkʲɪç
seilcheag	ʃeləçak
sèimh	ʃɛːv
sèimheachadh	ʃɛːvəxəɣ
seinneadair	ʃeɲət̪ɪɾʲ
seo	ʃɔ
seòl	ʃɔːɫ̪
seòladh	ʃɔːɫ̪əɣ
seonag	ʃonak
seonaid	ʃʲonɛd͡ʒ
seumas	ʃeːməs̪
seun	ʃian
sgap	sɡahb
sgeulachd	skiələxk
sgian	s̪kʲian
sgiathach	skʲiəhəx
sgillinn	skʲiʎɪɲ
sgimilear	skʲimiləɾʲ
sgimilearachd	skʲimiləɾəxk
sgiomalaireachd	skʲimiɫəɾʲəxk
sgoilear	s̪kɔlɛɾ
sgrùdaich	sɡruːdɪç
shalach	haɫ̪əx
shean	hɛn
sheòladh	hjɔːɫ̪əɣ
shìl	hiːl
shiùcair	hjuːxkɪɾʲ
shoilleir	hɤʎɪɾʲ
sìl	ʃiːl
sìle	ʃiːlʲə
sine	ʃinə
sìne	ʃiːnʲə
sìneag	ʃiːnʲak
sinn	ʃiɲ
sionnach	ʃun̪ˠəx
siubhal	ʃuəɫ̪
siùcair	ʃuːxkɪɾʲ
siùcar	ʃuːxkər
siùrsach	ʃuːɾs̪əx
slàinte	slaːnt͡ʃə
sleagh	ʃʎɤɣ
sleamhainn	ʃʎɛ̃vɪɲ
sleamhainn	ʃʎɛ̃ũ̯ɪɲ
sloc	sɫ̪ɔxk
slòighre	s̪ɫ̪ɤiɾʲə
smid	smitʲ
snaidhm	s̪naim
snas	s̪n̪ˠas̪
snàthad	s̪naːhət̪
soilleir	sɤʎɪɾʲ
sorcha	s̪ɔɾɔxə
sorcha	s̪ɔɾɔxə
sponsair	sbɔnsɛrʲ
sponsairich	sbɔnsɛrʲɪç
sporan	spɔran
sràc	s̪t̪ɾaːʰk
sràid	srɑːt͡ʃ
srath	s̪t̪ɾa
sreap	strɛhp
sròn	s̪t̪ɾɔːn
stais	sdaʃ
strì	s̪t̪ɾiː
suidhe	s̪ɯiə
sùil	s̪uːl
sunndach	s̪uːn̪ˠt̪ˠəx
sùnndach	s̪uːn̪ˠt̪ˠəx
t	tiː
tachd	taxɡ
tagair	tʰakɪrʲ
tagh	tʰɤɣ
taghairm	tɤɾʲɤm
taigh	tʰɤj
taobh	t̪ʰɯːv
tasdan	t̪ʰas̪t̪an
teachd	tʲɛxɡ
teaghlach	tʃʰɤːɫ̪əx
teanga	tʰʲɛŋɡə
teannta	t̪ʃʰaun̪ˠt̪ʰə
teine	tʰʲenə
teth	tʃʰeh
tha	ha
tha	haː
thaigh	hɤj
thàinig	haːnɪkʲ
theaghlach	hjɤːɫ̪əx
their	heːr
thig	hikʲ
thinn	hiːɲ
thiugh	hju
thòn	hɔːn
thu	hu
thu	u
tighearna	t͡ʃiarnə
tilg	tʃʰilikʲ
till	tʰʲiːʎ
tìm	tʰʲiːm
tinn	tʲĩːɲ
tinneas	tʰʲiɲəs̪
tiodhlaic	tʰʲiəɫ̪ɪʰkʰʲ
tioram	tʃʰiɾəm
tiugh	tʰʲu
tobar	t̪ʰopəɾ
togair	toɡɪrʲ
toil	t̪ʰɔl
toinn	tʰɤiɲ
tolltach	t̪ʰɔuɫ̪t̪ʰəx
tom	t̪ʰɔum
tòn	tʰɔːn
tòrr	t̪ʰɔːrˠ
treun	t̪ʰɾʲeːn
troich	trɔç
truime	t̪ʰɾɯmjə
tu	t̪u
tuagh	t̪ʰuəɣ
tuath	t̪ʰuə
tuilleadh	t̪ʰɯʎəɣ
tuit	t̪ʰuʰtʰʲ
tumadh	t̪ʰuməɣ
turas	t̪ʰuɾəs̪
uachdaran	uəxkərən
uaine	uəɲə
uan	uən
uathachas	uəhəxəs
ugan	ukan
ugh	u
uicipeid	uçkʲɪpetʲ
uill	wil
uill	wɛl
uill	wəl
uilleam	ɯʎəm
ùire	uːɾʲə
uiseag	ɪʃʲak
uiseag	ɯʃak
uisge	ɯʃkʲə
urras	urˠəs̪
