ігла	jiɣɫa
бабёр	babʲor
баваўняны	bavau̯nʲanɨ
бавоўна	bavou̯na
багаты	baɣatɨ
багацце	baɣat͡sʲːe
баграны	baɣranɨ
балота	baɫota
барада	barada
барадаты	baradatɨ
баразна	barazna
баран	baran
бародаўка	barodau̯ka
бацька	bat͡sʲka
бачыць	bat͡ʂɨt͡sʲ
бегаць	bʲeɣat͡sʲ
бедната	bʲednata
бедны	bʲednɨ
бездань	bʲezdanʲ
безназоўны	bʲeznazou̯nɨ
беларусь	bʲeɫarusʲ
белы	bʲeɫɨ
бераг	bʲerax
бервяно	bʲervʲano
бессмяротны	bʲesʲːmʲarotnɨ
бесстаронні	bʲesːtaronʲːi
блізкі	blʲiskʲi
благі	bɫaɣʲi
блакітны	bɫakʲitnɨ
блыха	bɫɨxa
боль	bolʲ
большасць	bolʲʂasʲt͡sʲ
борзды	borzdɨ
брахня	braxnʲa
брацтва	brat͡stva
браць	brat͡sʲ
брудны	brudnɨ
брыво	brɨvo
брыдкі	brɨtkʲi
брытва	brɨtva
будаванне	budavanʲːe
будаваць	budavat͡sʲ
будучы	budut͡ʂɨ
будучыня	budut͡ʂɨnʲa
будынак	budɨnak
буйны	bujnɨ
булава	buɫava
бульба	bulʲba
бурак	burak
бусел	busʲeɫ
бутэлька	butelʲka
бык	bɨk
быстры	bɨstrɨ
быстрыня	bɨstrɨnʲa
быць	bɨt͡sʲ
бядро	bʲadro
бязглузды	bʲazɡɫuzdɨ
бяроза	bʲaroza
бярэмя	bʲaremʲa
бяспечны	bʲasʲpʲet͡ʂnɨ
відовішча	vʲidovʲiʂt͡ʂa
вільготны	vʲilʲɣotnɨ
вінавальны	vʲinavalʲnɨ
вінаваты	vʲinavatɨ
віншаваць	vʲinʂavat͡sʲ
вітаць	vʲitat͡sʲ
віхура	vʲixura
ваўкалак	vau̯kaɫak
вавёрка	vavʲorka
вада	vada
вадаспад	vadaspat
вадзіць	vad͡zʲit͡sʲ
важны	vaʐnɨ
валакно	vaɫakno
ванітаваць	vanʲitavat͡sʲ
вандроўны	vandrou̯nɨ
вантроба	vantroba
вараны	varanɨ
вараны	varanɨ
варатар	varatar
варожы	varoʐɨ
варона	varona
ведаць	vʲedat͡sʲ
вейка	vʲejka
велічыня	vʲelʲit͡ʂɨnʲa
вера	vʲera
верабей	vʲerabʲej
верагодны	vʲeraɣodnɨ
верад	vʲerat
верацяно	vʲerat͡sʲano
верны	vʲernɨ
верталёт	vʲertalʲot
верыць	vʲerɨt͡sʲ
ветлівы	vʲetlʲivɨ
вечар	vʲet͡ʂar
вечны	vʲet͡ʂnɨ
воўк	vou̯k
воўна	vou̯na
воблака	vobɫaka
вобласць	vobɫasʲt͡sʲ
вобраз	vobras
водарасць	vodarasʲt͡sʲ
вожык	voʐɨk
возера	vozʲera
вока	voka
волава	voɫava
волас	voɫas
вораг	vorax
воран	voran
восень	vosʲenʲ
воск	vosk
востраў	vostrau̯
востры	vostrɨ
вось	vosʲ
воцат	vot͡sat
вош	voʂ
вугал	vuɣaɫ
вугаль	vuɣalʲ
вугольчык	vuɣolʲt͡ʂɨk
вугор	vuɣor
вуда	vuda
вуж	vuʂ
вуздэчка	vuzdet͡ʂka
вузел	vuzʲeɫ
вузкі	vuskʲi
вуліца	vulʲit͡sa
вулей	vulʲej
вусік	vusʲik
вусень	vusʲenʲ
вусны	vusnɨ
вустрыца	vustrɨt͡sa
вуха	vuxa
вушны	vuʂnɨ
выбачайце	vɨbat͡ʂajt͡sʲe
выбачыць	vɨbat͡ʂɨt͡sʲ
выдатны	vɨdatnɨ
выкапень	vɨkapʲenʲ
выклічнік	vɨklʲit͡ʂnʲik
выключаць	vɨklʲut͡ʂat͡sʲ
вымавіць	vɨmavʲit͡sʲ
вынік	vɨnʲik
вынаходства	vɨnaxotstva
вынятак	vɨnʲatak
вынятак	vɨnʲatak
вынятковы	vɨnʲatkovɨ
выпрабаванне	vɨprabavanʲːe
выраз	vɨras
выразны	vɨraznɨ
высокі	vɨsokʲi
вядома	vʲadoma
вядомы	vʲadomɨ
вядро	vʲadro
вязаць	vʲazat͡sʲ
вязень	vʲazʲenʲ
вялізны	vʲalʲiznɨ
вялікі	vʲalʲikʲi
вялікдзень	vʲalʲiɡd͡zʲenʲ
вярба	vʲarba
вярблюд	vʲarblʲut
вяроўка	vʲarou̯ka
вясёлка	vʲasʲoɫka
вяселле	vʲasʲelʲːe
вясёлы	vʲasʲoɫɨ
вясло	vʲasɫo
вясна	vʲasna
вячаслаў	vʲat͡ʂasɫau̯
гідкі	ɣʲitkʲi
гаваркі	ɣavarkʲi
гаварлівы	ɣavarlʲivɨ
гаварыць	ɣavarɨt͡sʲ
гадзіна	ɣad͡zʲina
гадзіннік	ɣad͡zʲinʲːik
галіна	ɣalʲina
галіна	ɣalʲina
галава	ɣaɫava
галёнка	ɣalʲonka
галоўка	ɣaɫou̯ka
галоўны	ɣaɫou̯nɨ
галодны	ɣaɫodnɨ
гальштук	ɣalʲʂtuk
ганарлівы	ɣanarlʲivɨ
гарбуз	ɣarbus
гарох	ɣarox
гарэць	ɣaret͡sʲ
гаспадарка	ɣaspadarka
гатовы	ɣatovɨ
гвалтаваць	ɣvaɫtavat͡sʲ
гвозд	ɣvost
гладкі	ɣɫatkʲi
глупства	ɣɫupstva
глухі	ɣɫuxʲi
глыбокі	ɣɫɨbokʲi
гнілы	ɣnʲiɫɨ
гняздо	ɣnʲazdo
годнасць	ɣodnasʲt͡sʲ
годны	ɣodnɨ
гожы	ɣoʐɨ
голад	ɣoɫat
голас	ɣoɫas
голасны	ɣoɫasnɨ
голуб	ɣoɫup
голы	ɣoɫɨ
гонар	ɣonar
горад	ɣorat
горды	ɣordɨ
горкі	ɣorkʲi
горла	ɣorɫa
горшы	ɣorʂɨ
госць	ɣosʲt͡sʲ
грамадзянін	ɣramad͡zʲanʲin
грамадзянства	ɣramad͡zʲanstva
грамадства	ɣramatstva
граніца	ɣranʲit͡sa
гранічны	ɣranʲit͡ʂnɨ
грубы	ɣrubɨ
груша	ɣruʂa
грэх	ɣrex
гумарыст	ɣumarɨst
густы	ɣustɨ
гучны	ɣut͡ʂnɨ
даўгата	dau̯ɣata
даўні	dau̯nʲi
даўніна	dau̯nʲina
давальны	davalʲnɨ
далёкі	dalʲokʲi
далоў	daɫou̯
далонь	daɫonʲ
дапамога	dapamoɣa
дапытлівы	dapɨtlʲivɨ
дарагі	daraɣʲi
дарослы	darosɫɨ
дарэчы	daret͡ʂɨ
дастаткова	dastatkova
дастатковы	dastatkovɨ
дачка	dat͡ʂka
два	dva
двор	dvor
дзіўны	d͡zʲiu̯nɨ
дзікі	d͡zʲikʲi
дзевер	d͡zʲevʲer
дзёгаць	d͡zʲoɣat͡sʲ
дзед	d͡zʲet
дзеепрыметнік	d͡zʲejeprɨmʲetnʲik
дзейнік	d͡zʲejnʲik
дзейнічаць	d͡zʲejnʲit͡ʂat͡sʲ
дзень	d͡zʲenʲ
дзесьці	d͡zʲesʲt͡sʲi
дзесяцігоддзе	d͡zʲesʲat͡sʲiɣod͡zʲːe
дзеяслоў	d͡zʲejasɫou̯
дзеяць	d͡zʲejat͡sʲ
дзюба	d͡zʲuba
дзядзька	d͡zʲat͡sʲka
дзякаваць	d͡zʲakavat͡sʲ
дзякуй	d͡zʲakuj
дзяржава	d͡zʲarʐava
дзяцінства	d͡zʲat͡sʲinstva
дзяцел	d͡zʲat͡sʲeɫ
дно	dno
доўг	dou̯x
доўгі	dou̯ɣʲi
добры	dobrɨ
дождж	doʂt͡ʂ
долата	doɫata
дошка	doʂka
драбіны	drabʲinɨ
драпаць	drapat͡sʲ
дробны	drobnɨ
дрожджы	droʐd͡ʐɨ
другі	druɣʲi
дрэва	dreva
дрэнны	drenːɨ
дуб	dup
дурны	durnɨ
дух	dux
душа	duʂa
душны	duʂnɨ
дым	dɨm
дэндрахраналогія	dendraxranaɫoɣʲija
еўропа	jeu̯ropa
ён	jon
есці	jesʲt͡sʲi
жаба	ʐaba
жабрак	ʐabrak
жадаць	ʐadat͡sʲ
жаласны	ʐaɫasnɨ
жалеза	ʐalʲeza
жалоба	ʐaɫoba
жаніх	ʐanʲix
жаноцкі	ʐanot͡skʲi
жаночы	ʐanot͡ʂɨ
жанчына	ʐant͡ʂɨna
жарабец	ʐarabʲet͡s
жарало	ʐaraɫo
жахлівы	ʐaxlʲivɨ
жнівень	ʐnʲivʲenʲ
жніво	ʐnʲivo
жоўты	ʐou̯tɨ
жолаб	ʐoɫap
жолуд	ʐoɫut
жонка	ʐonka
жорсткі	ʐorstkʲi
жывы	ʐɨvɨ
жыла	ʐɨɫa
жыта	ʐɨta
жыццё	ʐɨt͡sʲːo
жэрабя	ʐerabʲa
зіма	zʲima
заўжды	zau̯ʐdɨ
заўзяты	zau̯zʲatɨ
заўсёды	zau̯sʲodɨ
заўтра	zau̯tra
заахвоціць	zaaxvot͡sʲit͡sʲ
забараніць	zabaranʲit͡sʲ
забарона	zabarona
забойства	zabojstva
зайздрасць	zajzdrasʲt͡sʲ
займеннік	zajmʲenʲːik
закон	zakon
залаты	zaɫatɨ
залежны	zalʲeʐnɨ
заложнік	zaɫoʐnʲik
заложны	zaɫoʐnɨ
залоза	zaɫoza
замак	zamak
замежны	zamʲeʐnɨ
замест	zamʲest
запавет	zapavʲet
запальнічка	zapalʲnʲit͡ʂka
запэўніць	zapeu̯nʲit͡sʲ
запясце	zapʲasʲt͡sʲe
засада	zasada
затым	zatɨm
захад	zaxat
заходні	zaxodnʲi
заяц	zajat͡s
збіраць	zʲbʲirat͡sʲ
збежнасць	zʲbʲeʐnasʲt͡sʲ
звычай	zvɨt͡ʂaj
звычайны	zvɨt͡ʂajnɨ
згвалтаваць	zɡvaɫtavat͡sʲ
здароўе	zdarou̯je
здаровы	zdarovɨ
здрада	zdrada
зерне	zʲernʲe
злодзей	zɫod͡zʲej
злучнік	zɫut͡ʂnʲik
злы	zɫɨ
змрок	zmrok
змрочны	zmrot͡ʂnɨ
змяя	zʲmʲaja
знічка	zʲnʲit͡ʂka
знадворны	znadvornɨ
знак	znak
значыць	znat͡ʂɨt͡sʲ
значэнне	znat͡ʂenʲːe
зноў	znou̯
золата	zoɫata
зорка	zorka
зрок	zrok
зычны	zɨt͡ʂnɨ
зялёны	zʲalʲonɨ
зямля	zʲamlʲa
кій	kʲij
кінжал	kʲinʐaɫ
кісларод	kʲisɫarot
кіслы	kʲisɫɨ
кіт	kʲit
кішка	kʲiʂka
каўтун	kau̯tun
каб	kap
кабета	kabʲeta
кабура	kabura
кабыла	kabɨɫa
кавадла	kavadɫa
казаць	kazat͡sʲ
калаўрот	kaɫau̯rot
калена	kalʲena
калёсы	kalʲosɨ
калодзеж	kaɫod͡zʲeʂ
калоць	kaɫot͡sʲ
калчан	kaɫt͡ʂan
калыска	kaɫɨska
каляды	kalʲadɨ
камар	kamar
капыт	kapɨt
кара	kara
кара	kara
карлік	karlʲik
кароткі	karotkʲi
карчма	kart͡ʂma
карыснасць	karɨsnasʲt͡sʲ
карысны	karɨsnɨ
карычневы	karɨt͡ʂnʲevɨ
каса	kasa
кат	kat
катаваць	katavat͡sʲ
каханне	kaxanʲːe
кацёл	kat͡sʲoɫ
качка	kat͡ʂka
качканос	kat͡ʂkanos
каштоўны	kaʂtou̯nɨ
кашуля	kaʂulʲa
кватэра	kvatera
кепскі	kʲepskʲi
клікаць	klʲikat͡sʲ
клічнік	klʲit͡ʂnʲik
кніга	knʲiɣa
князь	knʲasʲ
кожны	koʐnɨ
кола	koɫa
колас	koɫas
колер	kolʲer
колькі	kolʲkʲi
колькасць	kolʲkasʲt͡sʲ
корань	koranʲ
коска	koska
косць	kosʲt͡sʲ
кошка	koʂka
край	kraj
крама	krama
краявід	krajavʲit
кропка	kropka
крот	krot
круглы	kruɣɫɨ
круты	krutɨ
крывы	krɨvɨ
крыло	krɨɫo
крэпасць	krepasʲt͡sʲ
крэпкі	krepkʲi
крэсла	kresɫa
ксёндз	ksʲont͡s
куды	kudɨ
кудысьці	kudɨsʲt͡sʲi
кулак	kuɫak
кусаць	kusat͡sʲ
кут	kut
ліса	lʲisa
ліст	lʲist
лічба	lʲid͡ʐba
лічыць	lʲit͡ʂɨt͡sʲ
лавіць	ɫavʲit͡sʲ
ладдзя	ɫad͡zʲːa
ланцуг	ɫant͡sux
ласка	ɫaska
ласось	ɫasosʲ
лебедзь	lʲebʲet͡sʲ
лебядзіны	lʲebʲad͡zʲinɨ
лёгкі	lʲoxkʲi
лёд	lʲot
лепшы	lʲepʂɨ
лёс	lʲos
лес	lʲes
лета	lʲeta
лоб	ɫop
локаць	ɫokat͡sʲ
лук	ɫuk
лыжка	ɫɨʂka
лысы	ɫɨsɨ
лытка	ɫɨtka
любоў	lʲubou̯
людзі	lʲud͡zʲi
люстэрка	lʲusterka
ляжаць	lʲaʐat͡sʲ
лянівы	lʲanʲivɨ
міжнародны	mʲiʐnarodnɨ
мілімэтар	mʲilʲimetar
мілы	mʲiɫɨ
мінулае	mʲinuɫaje
мінулы	mʲinuɫɨ
маўклівы	mau̯klʲivɨ
маўчаць	mau̯t͡ʂat͡sʲ
магіла	maɣʲiɫa
магній	maɣnʲij
магутны	maɣutnɨ
магчы	maxt͡ʂɨ
магчымасць	maxt͡ʂɨmasʲt͡sʲ
магчымы	maxt͡ʂɨmɨ
маз	mas
макрыца	makrɨt͡sa
малітва	malʲitva
малады	maɫadɨ
малако	maɫako
маланка	maɫanka
маленькі	malʲenʲkʲi
малпа	maɫpa
малы	maɫɨ
мароз	maros
марудны	marudnɨ
масла	masɫa
мастак	mastak
мастацтва	mastat͡stva
медзь	mʲet͡sʲ
меншасць	mʲenʂasʲt͡sʲ
мёртвы	mʲortvɨ
месны	mʲesnɨ
места	mʲesta
месца	mʲest͡sa
месяц	mʲesʲat͡s
млын	mɫɨn
многа	mnoɣa
множны	mnoʐnɨ
мова	mova
мовазнаўства	movaznau̯stva
мозг	mosk
мокры	mokrɨ
моладзь	moɫat͡sʲ
молат	moɫat
морак	morak
мост	most
моц	mot͡s
моцны	mot͡snɨ
мсціслаў	msʲt͡sʲisɫau̯
мудры	mudrɨ
муж	muʂ
мужнасць	muʐnasʲt͡sʲ
мужчына	muʂt͡ʂɨna
муляр	mulʲar
мурашнік	muraʂnʲik
мыш	mɨʂ
мэтар	metar
мядзведзь	mʲad͡zʲvʲet͡sʲ
мяжа	mʲaʐa
мяккі	mʲakʲːi
мярэжа	mʲareʐa
мяса	mʲasa
мятла	mʲatɫa
нідзе	nʲid͡zʲe
нізкі	nʲiskʲi
ніколі	nʲikolʲi
нікуды	nʲikudɨ
ніхто	nʲixto
нішто	nʲiʂto
наўмысны	nau̯mɨsnɨ
навука	navuka
нагі	naɣʲi
нага	naɣa
нагарода	naɣaroda
надзейны	nad͡zʲejnɨ
надзея	nad͡zʲeja
наздра	nazdra
назоўнік	nazou̯nʲik
назоўны	nazou̯nɨ
найгоршы	najɣorʂɨ
найлепшы	najlʲepʂɨ
намер	namʲer
напарстак	naparstak
напрыклад	naprɨkɫat
напэўна	napeu̯na
нара	nara
нарада	narada
нарадзіць	narad͡zʲit͡sʲ
народ	narot
народны	narodnɨ
насарог	nasarox
насенне	nasʲenʲːe
настаўнік	nastau̯nʲik
наступства	nastupstva
натоўп	natou̯p
нашчадак	naʂt͡ʂadak
наяўны	najau̯nɨ
не	nʲe
не	nʲa
неабвержны	nʲeabvʲerʐnɨ
неабходны	nʲeapxodnɨ
неадкладны	nʲeatkɫadnɨ
неба	nʲeba
небяспека	nʲebʲasʲpʲeka
небяспечны	nʲebʲasʲpʲet͡ʂnɨ
недастатковы	nʲedastatkovɨ
недахоп	nʲedaxop
незалежнасць	nʲezalʲeʐnasʲt͡sʲ
незалежны	nʲezalʲeʐnɨ
незвычайны	nʲezvɨt͡ʂajnɨ
ненадзейны	nʲenad͡zʲejnɨ
непазбежны	nʲepazʲbʲeʐnɨ
непаслушэнства	nʲepasɫuʂenstva
непасрэдны	nʲepasrednɨ
непасціжны	nʲepasʲt͡sʲiʐnɨ
нетапыр	nʲetapɨr
нехта	nʲexta
нецярплівы	nʲet͡sʲarplʲivɨ
нешта	nʲeʂta
нож	noʂ
нораў	norau̯
ноч	not͡ʂ
нырка	nɨrka
нюх	nʲux
нюхаць	nʲuxat͡sʲ
нявінны	nʲavʲinːɨ
нядзеля	nʲad͡zʲelʲa
нязграбны	nʲazɡrabnɨ
нямы	nʲamɨ
нячутны	nʲat͡ʂutnɨ
няшмат	nʲaʂmat
півоня	pʲivonʲa
піла	pʲiɫa
паўвостраў	pau̯vostrau̯
паўднёвы	pau̯dnʲovɨ
паўночны	pau̯not͡ʂnɨ
пабачэнне	pabat͡ʂenʲːe
павінен	pavʲinʲen
павека	pavʲeka
паветра	pavʲetra
паводзіны	pavod͡zʲinɨ
павольны	pavolʲnɨ
павук	pavuk
павуціна	pavut͡sʲina
пагарда	paɣarda
пагарджаць	paɣard͡ʐat͡sʲ
пагардлівы	paɣardlʲivɨ
пагорак	paɣorak
пад	pat
падарожжа	padaroʐːa
падарунак	padarunak
падбародак	padbarodak
падзейнічаць	pad͡zʲejnʲit͡ʂat͡sʲ
падзея	pad͡zʲeja
падлетак	padlʲetak
падлога	padɫoɣa
падпаха	patpaxa
падсітак	pat͡sʲsʲitak
пажар	paʐar
пажарышча	paʐarɨʂt͡ʂa
пазногаць	paznoɣat͡sʲ
пазычыць	pazɨt͡ʂɨt͡sʲ
пакорлівы	pakorlʲivɨ
пакуль	pakulʲ
пакупнік	pakupnʲik
паласа	paɫasa
палатно	paɫatno
палахлівы	paɫaxlʲivɨ
палена	palʲena
палец	palʲet͡s
палова	paɫova
палон	paɫon
пальчатка	palʲt͡ʂatka
паляўніцтвазнаўства	palʲau̯nʲit͡stvaznau̯stva
паляўнічы	palʲau̯nʲit͡ʂɨ
паляваць	palʲavat͡sʲ
паміж	pamʲiʂ
памылка	pamɨɫka
памяць	pamʲat͡sʲ
панядзелак	panʲad͡zʲeɫak
параўнанне	parau̯nanʲːe
параўнаць	parau̯nat͡sʲ
паражэнне	paraʐenʲːe
парог	parox
парожні	paroʐnʲi
пасведчанне	pasʲvʲetː͡ʂanʲːe
паслухмяны	pasɫuxmʲanɨ
паслушны	pasɫuʂnɨ
паслушэнства	pasɫuʂenstva
патрабаваць	patrabavat͡sʲ
патыліца	patɨlʲit͡sa
пах	pax
пахнуць	paxnut͡sʲ
пацук	pat͡suk
пачварны	pat͡ʂvarnɨ
пачуццё	pat͡ʂut͡sʲːo
пачуць	pat͡ʂut͡sʲ
пенсільванія	pʲensʲilʲvanʲija
пень	pʲenʲ
перавага	pʲeravaɣa
перад	pʲerat
пераклад	pʲerakɫat
перакладчык	pʲerakɫatː͡ʂɨk
перамога	pʲeramoɣa
перац	pʲerat͡s
печ	pʲet͡ʂ
печань	pʲet͡ʂanʲ
плакаць	pɫakat͡sʲ
плаціна	pɫat͡sʲina
плоскі	pɫoskʲi
плошча	pɫoʂt͡ʂa
плуг	pɫux
поўдзень	pou̯d͡zʲenʲ
поўнач	pou̯nat͡ʂ
поўны	pou̯nɨ
пол	poɫ
полаз	poɫas
поле	polʲe
полы	poɫɨ
полымны	poɫɨmnɨ
полымя	poɫɨmʲa
помста	pomsta
попел	popʲeɫ
попельніца	popʲelʲnʲit͡sa
порах	porax
поспех	pospʲex
пот	pot
пояс	pojas
праўда	prau̯da
праўдашукальнік	prau̯daʂukalʲnʲik
прабачэнне	prabat͡ʂenʲːe
праблема	prablʲema
правіла	pravʲiɫa
правільны	pravʲilʲnɨ
права	prava
правапіс	pravapʲis
прадзед	prad͡zʲet
пража	praʐa
празрысты	prazrɨstɨ
прамень	pramʲenʲ
прамы	pramɨ
праніклівы	pranʲiklʲivɨ
прасіць	prasʲit͡sʲ
праца	prat͡sa
працаўнік	prat͡sau̯nʲik
працаваць	prat͡savat͡sʲ
працоўны	prat͡sou̯nɨ
продак	prodak
проса	prosa
просты	prostɨ
пруткі	prutkʲi
пры	prɨ
прывід	prɨvʲit
прывітанне	prɨvʲitanʲːe
прывітаць	prɨvʲitat͡sʲ
прыгажосць	prɨɣaʐosʲt͡sʲ
прыгажун	prɨɣaʐun
прыгожы	prɨɣoʐɨ
прыдатны	prɨdatnɨ
прыказка	prɨkaska
прыклад	prɨkɫat
прыклад	prɨkɫat
прыметнік	prɨmʲetnʲik
прыназоўнік	prɨnazou̯nʲik
прырода	prɨroda
прыродны	prɨrodnɨ
прыслоўе	prɨsɫou̯je
прысутнасць	prɨsutnasʲt͡sʲ
прысутны	prɨsutnɨ
прысяга	prɨsʲaɣa
прытулак	prɨtuɫak
прычына	prɨt͡ʂɨna
прыяцель	prɨjat͡sʲelʲ
прэстыжны	prestɨʐnɨ
пуга	puɣa
пудзіла	pud͡zʲiɫa
пурпурны	purpurnɨ
пусты	pustɨ
пустыня	pustɨnʲa
пчала	pt͡ʂaɫa
пшаніца	pʂanʲit͡sa
пыл	pɨɫ
пыласос	pɨɫasos
пытальнік	pɨtalʲnʲik
пытаць	pɨtat͡sʲ
пэўны	peu̯nɨ
пярдзець	pʲard͡zʲet͡sʲ
пярсцёнак	pʲarsʲt͡sʲonak
пярэсты	pʲarestɨ
пясок	pʲasok
пятка	pʲatka
пятля	pʲatlʲa
пячаць	pʲat͡ʂat͡sʲ
пячоначны	pʲat͡ʂonat͡ʂnɨ
пячора	pʲat͡ʂora
пяшчота	pʲaʂt͡ʂota
рабіць	rabʲit͡sʲ
рабро	rabro
радасны	radasnɨ
радасць	radasʲt͡sʲ
радзіма	rad͡zʲima
радзіна	rad͡zʲina
радыё	radɨjo
размаўляць	razmau̯lʲat͡sʲ
размова	razmova
разумець	razumʲet͡sʲ
разумны	razumnɨ
рака	raka
раптоўны	raptou̯nɨ
расамаха	rasamaxa
раскоша	raskoʂa
расчараваць	raʂt͡ʂaravat͡sʲ
роў	rou̯
роўнабочны	rou̯nabot͡ʂnɨ
роўны	rou̯nɨ
род	rot
родны	rodnɨ
розны	roznɨ
розум	rozum
рот	rot
ружовы	ruʐovɨ
рыба	rɨba
рыдлёўка	rɨdlʲou̯ka
рыла	rɨɫa
рысь	rɨsʲ
рыць	rɨt͡sʲ
рэдкі	retkʲi
рэшата	reʂata
сіні	sʲinʲi
сіта	sʲita
сабор	sabor
салавей	saɫavʲej
салодкі	saɫotkʲi
салома	saɫoma
самастрэл	samastreɫ
сапраўднае	saprau̯dnaje
сапраўдны	saprau̯dnɨ
сапраўды	saprau̯dɨ
сарамлівы	saramlʲivɨ
сарока	saroka
сачавіца	sat͡ʂavʲit͡sa
свінец	sʲvʲinʲet͡s
свісток	sʲvʲistok
світанне	sʲvʲitanʲːe
свабода	svaboda
свабодны	svabodnɨ
сведка	sʲvʲetka
свежы	sʲvʲeʐɨ
свёкар	sʲvʲokar
светлы	sʲvʲetɫɨ
свечка	sʲvʲet͡ʂka
свякроў	sʲvʲakrou̯
свякруха	sʲvʲakruxa
святар	sʲvʲatar
святы	sʲvʲatɨ
селязёнка	sʲelʲazʲonka
сёмы	sʲomɨ
семя	sʲemʲa
сена	sʲena
сёння	sʲonʲːa
серабро	sʲerabro
серада	sʲerada
сківіца	skʲivʲit͡sa
скланенне	skɫanʲenʲːe
скорасць	skorasʲt͡sʲ
скупы	skupɨ
скура	skura
слабы	sɫabɨ
слава	sɫava
сланечнік	sɫanʲet͡ʂnʲik
слесар	sʲlʲesar
слоўнік	sɫou̯nʲik
слоўны	sɫou̯nɨ
слова	sɫova
слушнасць	sɫuʂnasʲt͡sʲ
сляза	sʲlʲaza
сляпы	sʲlʲapɨ
смактаць	smaktat͡sʲ
смелы	sʲmʲeɫɨ
смецце	sʲmʲet͡sʲːe
смоўж	smou̯ʂ
снег	sʲnʲex
снежань	sʲnʲeʐanʲ
сокал	sokaɫ
солад	soɫat
сон	son
сонца	sont͡sa
сорам	soram
спіна	sʲpʲina
спаборніцтва	spabornʲit͡stva
спадзявацца	spad͡zʲavat͡sːa
спазніцца	spazʲnʲit͡sːa
спакой	spakoj
спакойны	spakojnɨ
спякотны	sʲpʲakotnɨ
срэбра	srebra
ссаць	sːat͡sʲ
стагоддзе	staɣod͡zʲːe
сталіца	stalʲit͡sa
стамеска	stamʲeska
станіслаў	stanʲisɫau̯
старана	starana
стары	starɨ
ствол	stvoɫ
стол	stoɫ
стораж	storaʂ
страўнік	strau̯nʲik
страла	straɫa
страляць	stralʲat͡sʲ
стрэл	streɫ
стрэліць	strelʲit͡sʲ
стрэльба	strelʲba
ступень	stupʲenʲ
суддзя	sud͡zʲːa
сумленны	sumlʲenːɨ
сумны	sumnɨ
супрацоўніцтва	suprat͡sou̯nʲit͡stva
супраць	suprat͡sʲ
сусед	susʲet
сухі	suxʲi
сучасны	sut͡ʂasnɨ
сціплы	sʲt͡sʲipɫɨ
сцябло	sʲt͡sʲabɫo
сцяг	sʲt͡sʲax
сцягно	sʲt͡sʲaɣno
сцяна	sʲt͡sʲana
сэрца	sert͡sa
сябар	sʲabar
сягоння	sʲaɣonʲːa
сядло	sʲadɫo
сярдзіты	sʲard͡zʲitɨ
сярод	sʲarot
сярэбраны	sʲarebranɨ
сястра	sʲastra
сятчатка	sʲatː͡ʂatka
тавар	tavar
таварыш	tavarɨʂ
тады	tadɨ
танны	tanːɨ
таямніца	tajamnʲit͡sa
твар	tvar
творны	tvornɨ
ткацтва	tkat͡stva
тлусты	tɫustɨ
тоўсты	tou̯stɨ
той	toj
