інквілін	inkvilin
трепанація	trɛpɑnɑt͡sijɑ
три	trɪ
туалет	tuɑlɛt
тютюн	tʲutʲun
учень	ut͡ʃɛnʲ
фонтан	fɔntɑn
хворіти	xvɔritɪ
хвороба	xworɔbɑ
хоробрість	xɔrɔbristʲ
хтивий	xtɪvɪj
цілковито	t͡sʲilkovɪto
цілком	t͡sʲilkɔm
церква	t͡sɛrkvɑ
чотири	t͡ʃotɪrɪ̞
чума	t͡ʃumɑ
щастя	ʃt͡ʃɑstʲɑ
яєчко	jɑjɛt͡ʃkɔ
яків	jɑkiu̯
якість	jɑkistʲ
