אבא	ʔɛbɑʔ
טורא	tˤurɑʔ
טחלא	tˤħɑlɑ
טיגריס	tˤiɡris
טינא	tˤinɑʔ
טלא	tˤalɑʔ
טללא	tˤɛlɑlɑʔ
טלם	tˤlæm
טלניתא	tˤɛlɑnitɑʔ
טננא	tˤnɑnɑʔ
טפרא	tˤɛprɑʔ
טרפא	tˤarpɑʔ
יבישא	jæbiʃaʔ
יבישתא	jæbiʃtaʔ
יבשא	jabʃɑʔ
יבשתא	jabʃtɑʔ
יגרא	jaɡrɑʔ
יהוד	jɛhud
יהודא	jehudɑʔ
יוחנן	joħanɑn
יומנא	jawmɑnɑʔ
יון	jæwan
יונא	jawnɑʔ
יורדנן	jurdnan
יחטא	jaħtˤɑʔ
ילידותא	jelidutɑʔ
ימא	jamɑʔ
ימא	jɑmeʔ
ימינא	jamminɑʔ
יסמין	jasmin
יעקוב	jaʕqob
יציפא	jæsˤipaʔ
יציפותא	jasˤiputɑʔ
יציפתא	jæsˤiptaʔ
יקדא	jaqdɑʔ
יקדתא	jɑqɛdtɑʔ
יקידא	jæqidaʔ
יקידתא	jæqidtaʔ
יקירא	jæqiraʔ
יקירותא	jaqirutɑʔ
יקירתא	jæqirtaʔ
יקרא	jaqrɑʔ
ירורא	jɑrorɑʔ
ירחא	jarħɑʔ
ירק	jɛrɪq
ירקא	jarqɑʔ
ירת	jɛrɪt
ירתא	jɑrtɑʔ
ירתותא	jɑrtutɑʔ
ירתתא	jɑrttɑʔ
ישוע	jeʃuʕ
ישפה	jaʃpeh
ית	jɑt
יתא	jɑtɑʔ
יתירא	jætiraʔ
יתירתא	jætirtaʔ
כא	kɑʔ
כבדא	kabdɑʔ
כבריתא	kɛbritɑʔ
כבשא	kɛbʃɑʔ
כהנותא	kɑhnutɑʔ
כובא	kubɑʔ
כודנא	kɑwdnɑʔ
כודנתא	kodantɑʔ
כוכבא	koːkəbɑʔ
כוכבונא	kawkbonɑʔ
כורהנא	kurhɑnɑʔ
כותא	kawtɑʔ
כי	kaj
כיסא	kisɑʔ
ככא	kɑkɑʔ
כל	kul
כלבא	kalbɑʔ
כלבתא	kalbtɑʔ
כליא	kɪljaʔ
כלילא	klilɑʔ
כליתא	klitaʔ
כמא	kmɑʔ
כמונא	kamunɑʔ
כנישא	kniʃaʔ
כנישתא	kniʃtaʔ
כנפא	kɛnpɑʔ
כנפא	knɑpɑʔ
כנשא	kɛnʃɑʔ
כסא	kɑsɑʔ
כסא	ksɑʔ
כפא	kapːaː
כפא	kapɑ
כפורא	kɑporɑʔ
כפורתא	kɑportɑʔ
כפינא	kpinaʔ
כפינתא	kpintaʔ
כפנא	kapnɑʔ
כפרא	kafrɑ
כפרא	kfɑrɑ
כרז	kræz
כרטיסא	kartˤisɑʔ
כריא	kɪrjaʔ
כריהא	krihaʔ
כריהתא	krihtaʔ
כריסטינותא	kristˤjanutaʔ
כריתא	kritaʔ
כרכא	karkɑʔ
כרכא	kɛrkɑʔ
כרכא	krɑkɑʔ
כרסא	karsɑʔ
כרעא	karʕɑʔ
כרעא	krɑʕɑʔ
כרתא	krɑtɑʔ
כרתא	kɑrtɑʔ
כרתא	kartɑʔ
כתבא	ktɑbɑʔ
כתבונא	ktɑbonɑʔ
כתבתא	ktɑbtɑʔ
כתיבא	ktibaʔ
כתיבתא	ktibtaʔ
כתנא	kɛtɑnɑʔ
כתפא	katpɑʔ
ל־	l-
לבונתא	lbuntɑʔ
לבושא	lbuʃɑʔ
לבנתא	lbɛntɑʔ
לגיונא	leɡjonɑʔ
לגינא	ləɡinɑʔ
להל	lhal
לוזא	luzɑʔ
לוחא	luħɑʔ
לויתן	lɛwjɑtɑn
לוקא	luqɑʔ
לות	lwɑt
לחוד	lħud
לחשא	lħɑʃɑʔ
ליא	lajɑʔ
לילא	lajleʔ
לישא	lajʃɑʔ
לישא	ljɑʃɑʔ
לכא	lkɑʔ
לכסיקון	lɛksiqon
למא	lmɑʔ
לסטא	lɛstˤɑʔ
לסטיא	lɛstˤɑjɑʔ
לעזא	lɛʕzɑʔ
לעיסא	lʕisaʔ
לעיסתא	lʕistaʔ
לעסא	lɑʕsɑʔ
לקנא	lɛqnɑʔ
לשנא	lɛʃɑnɑʔ
מא	mɑʔ
מאמרא	meʔmrɑʔ
מאנא	mɑʔnɑʔ
מבועא	mabuʕɑʔ
מגדלא	maɡdlɑʔ
מגלתא	maɡaltɑʔ
מגלתא	mɡaltɑʔ
מדבחא	madbħɑʔ
מדברא	madbrɑʔ
מדברנותא	madbrɑnutɑʔ
מדין	mɑdejn
מדנחא	madnħɑʔ
מדעא	madʕɑʔ
מהירא	mhiraʔ
מהירתא	mhirtaʔ
מובלא	mawblɑʔ
מוהבתא	mawhabtɑʔ
מוחא	muħɑʔ
מולדא	mawlɑdɑʔ
מומא	mumɑʔ
מון	mon
מורא	murɑʔ
מושא	moʃeʔ
מותא	mawtɑʔ
מותבא	mawtbɑʔ
מזתא	mɛztɑʔ
מחזיתא	maħzitɑʔ
מחטא	mħatˤɑʔ
מחר	mħɑr
מחשבתא	maħʃabtɑʔ
מטללא	matˤllɑʔ
מטלתא	mtˤaltɑʔ
מטרא	mɛtˤrɑʔ
מיתא	mitaʔ
מיתתא	mittaʔ
מכיכא	mækikaʔ
מכיכתא	mækiktaʔ
מלא	mɛleʔ
מלא	mlɑʔ
מלחא	mɛlħɑ
מלחא	malːɑħɑ
מליחא	mæliħaʔ
מליחתא	mæliħtaʔ
מלכא	malkɑ
מלכתא	malktɑʔ
מלפנא	malpɑnɑʔ
מלפניתא	malpɑnitɑʔ
מלתא	mɛltɑʔ
ממללא	mamllɑʔ
מנא	mɛneʔ
מנא	mɑnɑʔ
מנא	mnɑʔ
מנינא	mɛnjɑnɑʔ
מנרתא	mnɑrtɑʔ
מנתא	mnɑtɑʔ
מנתא	mɛntɑʔ
מסאתא	masaʔtɑʔ
מסכנא	mɪskɛnaʔ
מסכנותא	mɛskɛnutɑʔ
מסכנתא	mɪskɛntaʔ
מסנא	msɑnɑʔ
מספרא	masprɑʔ
מעיא	maʕjɑʔ
מעינא	mʕinɑʔ
מעלא	maʕlɑʔ
מעלתא	maʕaltɑʔ
מערבא	maʕrbɑʔ
מפקתא	mapaqtɑʔ
מציעא	msˤiʕaʔ
מציעתא	msˤiʕtaʔ
מצעתא	msˤaʕtɑʔ
מצרין	mɪsˤrɪjn
מרא	mɑrɑʔ
מרא	mrɑʔ
מרגניתא	marɡɑnitɑʔ
מרומא	mrawmɑʔ
מריא	mɑrjɑʔ
מריא	mɑrajɑʔ
מרים	marjam
מרירא	mæriraʔ
מרירתא	mærirtaʔ
מרעא	marʕɑʔ
מרעיתא	marʕitɑʔ
מרעתא	mæræʕtaʔ
מרקוס	marqos
מררתא	mrɑrtɑʔ
מרתא	mɑrtɑʔ
מרתא	mɛrtɑʔ
משבא	maʃbɑʔ
משח	məʃɑħ
משחא	mɛʃħɑʔ
משיחא	məʃiħɑʔ
משיחתא	mʃiħtaʔ
מתא	mɑtɑʔ
מתי	mataj
מתלא	matlɑʔ
מתקולתא	matqultɑʔ
נביתא	nbitɑʔ
נגרא	naɡɑrɑʔ
נהירא	næhiraʔ
נהירתא	næhirtaʔ
נהרא	nahrɑʔ
נוהרא	nuhrɑʔ
נוהרא	nuhɑrɑʔ
נוח	nuħ
נונא	nunɑʔ
נונא	nuneʔ
נוסא	nawsɑʔ
נורא	nurɑʔ
נורא	nawrɑʔ
נושקתא	nuʃaqtɑʔ
נחירא	nħirɑʔ
נחלא	naħlɑʔ
נחשא	nħɑʃɑʔ
נחשא	nɛħʃɑʔ
נחשא	nɑħʃɑʔ
נחשא	naħɑʃɑʔ
ניחא	njɑħɑʔ
ניחתא	njɑħtɑʔ
נילוס	nelos
נינוא	ninwɛʔ
נישא	niʃɑʔ
נכלא	nɛklɑʔ
נמוסא	nɑmosɑʔ
נמרא	nɛmrɑʔ
נמרתא	nmartɑʔ
ננעא	nɑnʕɑʔ
נסיונא	nɛsjonɑʔ
נענע	naʕnaʕ
נפטא	nɑptˤɑʔ
נפשא	napʃɑʔ
נצב	nsˤæb
נצרת	nasˤræt
נקבתא	nɛqbtɑʔ
נקיא	nɛqjɑʔ
נרגא	nɑrɡɑʔ
נרקיס	narqis
נשקא	nʃɑqɑʔ
נשרא	nɛʃrɑʔ
סאמא	seʔmɑʔ
סברא	savrɑ
סברא	sɛvrɑ
סברא	svɑrɑ
סברא	svɑrɑ
סגיאא	sæɡiʔaʔ
סגיאתא	sæɡiʔtaʔ
סדינא	sɛdjɑnɑʔ
סדנא	nunɑʔ
סדרא	sɛdrɑʔ
סהדא	sɑhdɑʔ
סהדותא	sɑhdutɑʔ
סהדתא	sɑhɛdtɑʔ
סהרא	sahrɑʔ
סודרא	sudɑrɑʔ
סוכא	sawkɑʔ
סוכלא	sukɑlɑʔ
סוסיא	susjɑʔ
סוסתא	sustɑʔ
סופא	sawpɑʔ
סוריא	suriaʔ
סטנא	sɑtˤɑnɑʔ
סיפא	sajpɑʔ
סכא	sɑkɑʔ
סכא	sɛkeʔ
סכא	skʔ
סכינא	sakinɑʔ
סכלא	saklɑʔ
סכלא	skɑlɑʔ
סכלתא	skaltɑʔ
סכתא	sɛktɑʔ
סמא	samɑʔ
סניא	sanjɑʔ
סניתא	sænitaʔ
ססא	sɑsɑʔ
סערא	saʕrɑʔ
סערא	sʕɑrɑʔ
ספינתא	spintɑʔ
ספיקא	spiqaʔ
ספיקתא	spiqtaʔ
ספנא	sapɑnɑʔ
ספתא	sɛptɑʔ
סקא	saqɑʔ
סרא	sarɑʔ
סרטא	sɛrtˤɑʔ
סרטא	srɑtˤɑʔ
סרטנא	sartˤɑnɑʔ
סריקתא	sriqtaʔ
סתוא	satwɑʔ
עבד	ʕbæd
עבדא	ʕabdɑʔ
עבדא	ʕbɑdɑʔ
עבדותא	ʕabdutɑʔ
עבידא	ʕbidaʔ
עבידתא	ʕbidtaʔ
עד	ʕad
עדמא	ʕdamɑʔ
עדנא	ʕɛdɑnɑʔ
עדתא	ʕedtɑʔ
עובא	ʕubɑʔ
עוד	ʕoð
עוזא	ʕuzɑʔ
עוירא	ʕwiraʔ
עוירתא	ʕwirtaʔ
עולא	ʕulɑʔ
עולא	ʕawlɑʔ
עולא	ʕawɑlɑʔ
עולתא	ʕæwaltaʔ
עומקא	ʕumqɑʔ
עוקברתא	ʕuqbartɑʔ
עורבא	ʕurbɑʔ
עותרא	ʕutrɑʔ
עזא	ʕɛzɑʔ
עזיזא	ʕæzizaʔ
עזיזתא	ʕæziztaʔ
עזקתא	ʕɛzqtɑʔ
עטלא	ʕætˤlaʔ
עטלתא	ʕætˤltaʔ
עטמא	ʕatˤmɑʔ
עטרא	ʕɛtˤrɑʔ
עינא	ʕajnɑ
עינא	ʕejnɑ
עיקא	ʕiqaʔ
עיקתא	ʕiqtaʔ
על	ʕal
עליא	ʕɪlajaʔ
עליתא	ʕɛlitɑʔ
עליתא	ʕɛlɑjtɑʔ
עלתא	ʕɛltɑʔ
עלתא	ʕlɑtɑʔ
עם	ʕam
עמא	ʕamɑʔ
עמודא	ʕamudɑʔ
עמיקא	ʕæmiqaʔ
עמיקתא	ʕæmiqtaʔ
עמירא	ʕmirɑʔ
עממא	ʕammeʔ
עמתא	ʕamtɑʔ
עננא	ʕnɑnɑʔ
עסבא	ʕɛsbɑʔ
עסקא	ʕæsqaʔ
עסקתא	ʕæsqtaʔ
עפרא	ʕaprɑʔ
עקבא	ʕɛqbɑʔ
עקבתא	ʕɛqbɑtɑʔ
עקרא	ʕaqrɑʔ
עקרא	ʕaqɑrɑʔ
עקרא	ʕqɑrɑʔ
עקרא	ʕɛqrɑʔ
עקרא	ʕɛqɑrɑʔ
עקרבא	ʕɛqarbɑʔ
עקרתא	ʕqærtaʔ
ערא	ʕarɑʔ
ערא	ʕɑrɑʔ
ערא	ʕrɑʔ
ערבא	ʕarbɑʔ
ערבא	ʕarɑbɑʔ
ערבא	ʕɛrbɑʔ
ערבא	ʕrɑbɑʔ
ערבא	ʕarbeʔ
ערבתא	ʕarɑbtɑʔ
ערבתא	ʕarbtɑʔ
ערובתא	ʕaruvtɑʔ
ערסא	ʕarsɑʔ
ערפלא	ʕarpɛlɑʔ
עשינא	ʕæʃinaʔ
עשינתא	ʕæʃintaʔ
עתידא	ʕtidaʔ
עתידתא	ʕtidtaʔ
עתיקותא	ʕatiqutɑʔ
עתיקתא	ʕætiqtaʔ
עתירא	ʕætiraʔ
עתירותא	ʕatirutɑʔ
עתירתא	ʕætirtaʔ
פאתא	paʔtɑʔ
פגרא	paɡrɑʔ
פדנא	padɑnɑʔ
פולוס	pawlos
פומא	pumɑʔ
פטקא	pɛtˤqɑʔ
פילתא	piltɑʔ
פינכא	pinkɑʔ
פיסא	pjɑsɑʔ
פלגא	pɛlɡɑʔ
פלגא	plɑɡɑʔ
פלגא	plaɡɑʔ
פלחא	pɑlħɑʔ
פלחא	palɑħɑʔ
פלחתא	pɑlħtɑʔ
פלחתא	palɑħtɑʔ
פלסטין	pælɛstˤin
פלפלא	pɛlplɑʔ
פנטקוסטא	pɛntˤɪqostˤɛʔ
פסוקא	pɑsoqɑʔ
פעלא	pʕɑlɑʔ
פעלא	pɑʕlɑʔ
פעלתא	pɑʕltɑʔ
פערא	pɛʕrɑʔ
פקעא	pɛqʕɑʔ
פקעא	paqʕɑʔ
פרצופא	parsˤopɑʔ
פשיטא	pʃitˤaʔ
פשיטתא	pʃitˤtaʔ
פשירא	pʃiraʔ
פשירתא	pʃirtaʔ
פשכא	pɛʃkɑʔ
פתורא	pɑturɑ
פתחא	ptɑħɑʔ
פתיחא	ptiħaʔ
פתיחתא	ptiħtaʔ
פתילא	ptiːlaːʔ
פתילתא	ptiːltaːʔ
פתלא	ptɑlɑʔ
צאתא	sˤɑʔtɑʔ
צבינא	sˤɛbjɑnɑʔ
צבעא	sˤɛbʕɑʔ
צבעא	sˤbɑʕɑʔ
צבעא	sˤabɑʕɑʔ
צומא	sˤawmɑʔ
צורא	sˤawrɑ
צורתא	sˤurtɑʔ
ציד	sˤejd
צידא	sˤajdɑʔ
צידא	sˤajɑdɑʔ
צירא	sˤajrɑʔ
צירא	sˤɑjrɑʔ
צירא	sˤajɑrɑʔ
צלותא	sˤlotɑʔ
צליבא	sˤlibɑʔ
צפרא	sˤaprɑʔ
צפרא	sˤɛprɑʔ
צפתא	sˤɛptɑʔ
קבורא	qburɑʔ
קבורא	qɑburɑʔ
קבורתא	qburtɑʔ
קבירא	qbiraʔ
קבירתא	qbirtaʔ
קברא	qabrɑʔ
קדלא	qdɑlɑʔ
קדמיא	qædmajaʔ
קדמיתא	qædmajtaʔ
קהוא	qahwɑʔ
קודשא	qudʃɑʔ
קומתא	qawmtɑʔ
קופא	qopɑʔ
קופדא	qupdɑʔ
