abad	ɑbɑd
açılış	ɑt͡sɯlɯʃ
açılmaq	ɑt͡ʃɯɫmɑχ
açılmaq	ɑt͡sɯɫmɑχ
açıq	ɑt͡ʃɯχ
açıq	ɑt͡sɯχ
açmaq	ɑt͡ʃmɑχ
açmaq	ɑt͡smɑχ
ağac	ɑɣɑd͡ʒ
ağac	ɑɣɑd͡z
ağac	ɑɣɑʃ
ağacdələn	ɑɣɑdʒdælæn
ağı	ɑɣɯ
ağıllı	ɑɣɯɫːɯ
ağız	ɑɣɯz
ağlabatmaz	ɑɣɫɑbaɯtmɑz
ağlamaq	ɑɣlɑmɑχ
ağlasığmaz	ɑɣɫasɯɣmɑz
ağqoval	ɑɣɡovɑɫ
ağrı	ɑɣrɯ
ağrımaq	ɑɣrɯmɑχ
ağrısız	ɑɣrɯsɯz
aş	ɑʃ
aşpaz	ɑʃpɑz
baba	bɑbɑ
bacanaq	bɑd͡ʒɑnɑχ
bacanaq	bɑd͡zɑnɑχ
bacanaq	bɑʒɑnɑχ
bacarmaq	bɑd͡ʒɑrmɑχ
bacarmaq	bɑd͡zɑrmɑχ
bacı	bɑd͡ʒɯ
bacı	bɑd͡zɯ
bacı	bɑʒɯ
badımcan	bɑdɯmd͡ʒɑn
badımcan	bɑdɯmd͡zɑn
baha	baha
bahadır	bɑhɑdɯr
bahalı	bɑhɑɫɯ
bahar	bɑhɑr
bahar	bɑhɑr̥
bal	bɑɫ
bala	bɑɫɑ
balaban	bɑɫɑbɑn
balaca	bɑɫɑd͡ʒɑ
balaca	bɑɫɑd͡zɑ
balalayka	bɑɫɑɫɑjkɑ
baldız	bɑɫdɯz
balıqçı	bɑlɯχt͡ʃɯ
balıqçı	bɑlɯχt͡sɯ
balış	bɑɫɯʃ
balışüzü	bɑɫɯʃyzy
baltalamaq	bɑltɑlɑmɑχ
bandaj	bɑndɑʒ
barı	bɑrɯ
barmaq	bɑrmɑɣ
barmaqlamaq	bɑrmɑɣlɑmɑχ
basdırmaq	bɑsdɯrmɑχ
basılmaz	bɑsɯɫmɑz
basmaq	bɑsmɑχ
bataq	bɑtɑχ
baxmaq	bɑχmɑχ
baxmayaraq	bɑχmɑjɑrɑχ
baxmayaraq	bɑχmɯjɑrɑχ
bayaq	bɑjɑχ
bayraq	bɑjrɑχ
bazarlıq	bɑzɑrɫɯχ
bağana	bɑɣɑnɑ
bağban	bɑːbɑn
bağırmaq	bɑɣɯrmɑχ
bağışlamaq	bɑɣɯʃɫɑmɑχ
bağışlamaq	bɑɣɯʃtɑmɑχ
bağlamaq	bɑɣɫɑmɑχ
bağlı	bɑɣlɯ
baş	bɑʃ
başlanğıc	bɑʃɫɑnɣɯd͡ʒ
başlanğıc	bɑʃɫɑnɣɯd͡z
başlanğıc	bɑʃtɑnɣɯd͡ʒ
başlanğıc	bɑʃtɑnɣɯd͡z
başçı	bɑʃt͡ʃɯ
başçı	bɑʃt͡sɯ
belibağlı	belibɑɣɫɯ
belə	belæ
beynəlxalq	bejnælχɑlɡ
beynəlxalq	bejnælχɑlχ
beynəlxalq	bejnɑɫχɑlɡ
beynəlxalq	bejnɑɫχɑlχ
beyin	bejin
beyin	bein
bezmək	bezmæk
bezmək	bezmæj
beşinci	beʃind͡ʒi
bıçaq	bɯt͡ʃɑχ
bıçaq	pɯt͡ʃɑχ
bıçaq	pɯt͡sɑχ
bolluq	boɫːuχ
boran	borrɑn
borc	bord͡ʒ
borc	bord͡z
boyamaq	bojɑmɑχ
boyaqotu	bojɑɣotu
bozbaş	bozbɑʃ
boğaz	boɣɑz
boş	boʃ
boşanmaq	boʃɑmːɑχ
boşqab	boʃɡɑb
boşqab	boʃɡɑb̥
brilyant	bɾɪljɑnt
budaq	budɑχ
bugün	buɡyn
bugün	byɡyn
bugün	byjyn
bulamaq	bʊɫɑmɑχ
bulanıq	bulɑnɯχ
bulanlıq	buɫɑnɫɯχ
bulanlıq	buɫɑnːɯχ
burada	burɑdɑ
buraxmaq	burɑxmɑχ
burda	buɾdɑ
burun	burun
burğac	burɣɑd͡ʒ
burğac	burɣɑd͡z
buynuz	bujnuz
buyurmaq	bujurmɑχ
böhran	bœhrɑn
böyürtkən	bœjyɾtkæn
bülbül	bylbyl
bütöv	py̥tœv
bütün	py̥tyn
bibi	bibi
bibər	bibæɾ
bilmək	bilmæk
bilmək	bilmæj
bilmək	bilmej
bilmək	bilmɑχ
bioloji	bioloʒɯ
bir	bir
biraz	birɑz
birgə	birɡæ
birlikdə	birlikdæ
birlikdə	birliktæ
birləşdirmək	birlæʃdirmæj
birləşdirmək	birːæʃdirmæj
birləşmək	birlæʃmæj
birləşmək	birːæʃmæj
birinci	birind͡ʒi
birinci	birind͡zi
birinci	birimd͡zi
bit	bit
bitmək	bitmæk
bitmək	bitmæj
bitmək	bitmej
bitmək	bitmɑχ
bitişik	bitiʃik
biçin	bit͡ʃin
bişmək	piʃmæk
bişmək	biʃmæk
bişmək	piʃmej
bişmək	piʃmɑχ
bişirmək	piʃirmæk
bişirmək	biʃirmæk
bişirmək	piʃirmej
bişirmək	piʃirmɑχ
bədbin	bædbin
bədən	bædæn
bəlkə	bælkæ
bəlkə	bælkæm
bəlkə	bærkæ
bənna	bænːɑ
bənövşə	bænœvʃæ
bənövşəyi	bænœvʃæji
bənək	bænæj
bənək	bænæç
bərabər	bærɑbær
bərbər	bærbæɾ
bərbər	bærbæɾ̥
bərk	bærk
bərkdən	bærkdæn
bərkdən	bærktæn
bərpa	bærpɑ
bətn	bætn̩
bəz	bæz
bəzi	bæzi
bəzi	bæːzi
bəzən	bæːzæn
camaat	d͡ʒɑmɑɑt
camaat	d͡zɑmɑɑt
camaat	d͡ʒɑmɑhɑt
camaat	d͡zɑmɑhɑt
casus	d͡ʒɑːsus
casus	d͡zɑːsus
cavab	d͡ʒɑvɑb
cavab	d͡zɑvɑb
cavablandırmaq	d͡ʒɑvɑbɫɑndɯrmɑχ
cavablandırmaq	d͡zɑvɑbɫɑndɯrmɑχ
cavan	d͡ʒɑvɑn
cavan	d͡zɑvɑn
cavanlıq	d͡ʒɑvɑnɫɯχ
cavanlıq	d͡zɑvɑnɫɯχ
cırıq	d͡ʒɯrɯχ
cırıq	d͡zɯrɯχ
cırmaq	d͡ʒɯrmɑχ
cırmaq	d͡zɯrmɑχ
cığal	d͡ʒɯɣɑɫ
cümlə	d͡ʒymlæ
cümlə	d͡zymlæ
ciddi	d͡ʒidːi
cinsi	d͡ʒinsi
cinsi	d͡zinsi
cəmiyyət	d͡ʒæmijæt
cəmiyyət	d͡zæmijæt
cəza	d͡ʒæzɑ
cəza	d͡zæzɑ
cəzalandırıcı	d͡ʒæzɑɫɑndɯrɯd͡ʒɯ
cəzalandırıcı	d͡zæzɑɫɑndɯrɯd͡zɯ
cəzalandırmaq	d͡ʒæzɑɫɑndɯrmɑχ
cəzalandırmaq	d͡zæzɑɫɑndɯrmɑχ
cəzalanmaq	d͡ʒæzɑɫɑnmɑχ
cəzalanmaq	d͡zæzɑɫɑnmɑχ
dad	dɑd
dad	dɑːd
dadı	dɑdɯ
daha	dɑhɑ
dalbadal	dɑɫbɑdɑɫ
dalğa	dɑɫɣɑ
damar	dɑmɑr
danışdırmaq	dɑnɯʃdɯr
danışıq	dɑnɯʃɯχ
danışmaq	danɯʃmɑχ
danmaq	dɑnmɑχ
danmaq	dɑmːɑχ
danimarkalı	dɑnimɑrkɑlɯ
dar	dɑr
daramaq	dɑrɑmɑχ
daraq	dɑrɑχ
darılmaq	dɑrɯɫmɑχ
dartmaq	dɑrtmɑχ
darvaza	dɑrvɑzɑ
dava	dɑvɑ
davamçı	dɑvɑmt͡ʃɯ
davamçı	dɑvɑmt͡sɯ
davar	dɑvɑr
dayamaq	dajɑmɑχ
dayanacaq	dɑjɑnɑd͡ʒɑχ
dayandırmaq	dɑjɑndɯrmɑχ
dayanmaq	dajɑnmɑχ
dayanmaq	dajɑmːɑχ
dayı	dɑjɯ
daz	dɑz
dağılmaq	dɑɣɯɫmɑχ
dağıntı	dɑɣɯntɯ
devirmək	devirmæk
devirmək	devirmæj
deşik	deʃij
deşik	deʃiç
dırnaq	dɯrnɑχ
dığa	dɯɣɑ
dolamac	doɫɑmɑd͡z
dolu	doɫu
dondurma	dondurmɑ
donuz	donuz
doqquz	doɡɡuz
doqquzuncu	doɡɡuzund͡ʒu
dost	dost
dostluq	dostɫuχ
doxsanıncı	doxsɑnɯnd͡ʒɯ
doğramaq	doɣrɑmɑχ
doğrudan	doɣrudɑn
doğrudan	doɣurdɑn
duman	dumɑn
durmaq	durmɑχ
durna	durnɑ
duymaq	dujmɑχ
duyğu	dujɣu
dönmək	dœnmæk
dönmək	dœnmæj
dönmək	dœmːæk
dönmək	dœmːæj
dönər	dœnær
dönərxana	dœnærχɑnɑ
dördüncü	døɾdynd͡ʒy
dövlət	dœvlæt
dövlət	devlæt
dövr	dœvr
döymək	dœjmæk
döymək	dœjmæj
döymək	dœɡmæk
döymək	dœɡmej
döymək	dœjmɑχ
döyüş	dœjyʃ
dözmək	dœzmæk
dözmək	dœzmæj
dözülməz	dœzylmæz
dözümlü	dœzymly
dözümlülük	dœzymlylyk
dözümlülük	dœzymlylyj
dözümsüz	dœzymsyz
dözümsüzlük	dœzymsyzlyk
dözümsüzlük	dœzymsyzlyj
döşək	dœʃæk
döşək	dœʃæj
döşəkağı	dœʃæjɑɣɯ
dükan	dykan
dükan	tykan
dükan	dyt͡ʃan
dükan	tyt͡ʃan
dülgər	dylɡæɾ
dünyəvi	dynjæːvi
dünən	dynæn
düyü	dyjy
düz	dyzʲ
düzgün	dyzɡyn
düzəlmək	dyzælmæk
düzəlmək	dyzælmæj
düzəlmək	dyzælmej
düzəlmək	dyzælmɑχ
düzəltmək	dyzæltmæk
düzəltmək	dyzæltmæj
düzəltmək	dyzæltmej
düzəltmək	dyzætmɑχ
düşmək	dyʃmæk
düşmək	tyʃmæk
düşünmək	dyʃymːæj
düşünmək	dyʃymːɑχ
diktor	diktor
dil	dil
dilçi	dilt͡ʃi
dilçi	dilt͡si
dincəlmək	dind͡ʒælmæk
dincəlmək	dind͡zælmæk
dincəlmək	dind͡ʒælmæj
dincəlmək	dind͡zælmæj
dinləmək	dinlæmæk
dinləmək	dinlæmæj
dinləmək	dinlæmej
dinləmək	dinlæmɑχ
dinozavr	dinɔʐɑːvɾ
diqqət	diɡːæt
dirçəliş	dirt͡ʃæliʃ
dirçəliş	dirt͡sæliʃ
diş	diʃ
dişləmək	diʃtæmæk
dişləmək	diʃtæmæj
dişləmək	diʃtæmɑχ
dəftər	dæftær
dəfə	dæfæ
dəli	dæli
dəlixana	dæliχɑnɑ
dəmiryol	dæmirjoɫ
dəmirçi	dæmirt͡ʃi
dəmirçi	dæmirt͡si
dənə	dænæ
dəqiqə	dæɡiɡæ
dəqiqə	dæɡiːɡæ
dəqiqə	dæːɡæ
dəqiqə	dæɡːæ
dəqiqə	dɑɣɑ
dərhal	dærhɑɫ
dərman	dærmɑn
dərs	dærs
dəri	dæri
dərin	dærin
dərinlik	dærinlij
dəstək	dæstæj
dəstək	dæstæç
dəymək	dæjmæk
dəymək	dæjmæj
dəymək	dæjmɑχ
dəyməz	dæjmæz
dəyirman	dæjirmɑn
dəyişdirmək	dæjiʃdirmæk
dəyişdirmək	dæjiʃdirmæj
dəyişdirmək	dæjiʃtirmæk
dəyişdirmək	dæjiʃtirmæj
dəyişmək	dæjiʃmæk
dəyişmək	dæjiʃmæj
dəyə	dæjæ
dəyər	dæjær
elə	elæ
etimoloji	etimoloʒɯ
etiraf	eːtirɑf
etiraz	eːtirɑz
ev	ev
evlənmək	evlæmːæk
evlənmək	evlæmːæj
fahişə	fɑhiʃæ
fahişəlik	fɑhiʃælik
fahişəxana	fɑhiʃæχɑnɑ
ferma	fermɑ
fırtına	fɯɾtɯnɑ
fonoloji	fonoloʒɯ
futbolçu	futboɫtʃu
fikirləşmək	fikirlæʃmæj
fikirləşmək	fikirːæʃmæj
film	film
fit	fit
fəaliyyət	fæɑlijæt
fəhlə	fæhlæ
fəlsəfə	fælsæfæ
fəsil	fæsil
gec	ɡed͡ʒæ
gec	ɡed͡ʒæ
geniş	ɡeniʃ
geniş	d͡ʒeniʃ
geri	ɡeri
getmək	ɡetmæk
getmək	ɡetmæj
getmək	d͡ʒetmɑχ
geymək	ɡejmæk
geymək	ɡejmæj
geymək	d̟͡ʒiːmɑχ
geyinmək	ɡejinmæk
geyinmək	ɡejinmæj
geyinmək	d̟͡ʒiːnmɑχ
göbələk	ɡœbælæk
göbələk	ɡœbælæj
göl	ɡœl
göl	d͡ʒœl
göndərmək	ɡœndærmæk
göndərmək	ɡœndærmæj
görmək	ɡœrmæk
görmək	ɡœrmæj
görüş	ɡœryʃ
görə	ɡœræ
görə	d͡ʒœræ
göstərmək	ɡœstærmæk
göstərmək	ɡœstærmæj
göstərmək	ɡœstærmɑχ
göstəriş	ɡœstæriʃ
göt	ɡœt
götvərən	ɡœtværæn
götvərənlik	ɡœtværænlik
götvərənlik	ɡœtværænlij
gövdə	ɡœvdæ
göy	ɡœj
göyərçin	ɡɶjært͡ʃin
gözləmək	ɡœzlæmæk
gözləmək	ɡœzdæmæk
gözləmək	ɡœzdæmej
gözləmək	ɡœzdæmɑχ
gözlənti	ɡœzlænti
gözlənilməz	ɡœzlænilmæz
gözüaçıq	ɡœzyɑt͡ʃɯχ
gözüaçıq	ɡœzyɑt͡sɯχ
gözəl	ɡœzæl
gözəl	d͡ʒœzæl
güc	ɟ͡ʝyd͡ʒ
güc	ɟ͡ʝyd͡z
güllə	ɡylːæ
güllələmək	ɡylːælæmæk
güllələmək	ɡylːælæmæj
güllələmək	ɡylːælæmɑχ
gülmək	ɡylmæk
gülüş	ɡylyʃ
gün	ɡyn
gün	d͡ʒyn
gündəlik	ɡyndælik
gündəlik	d͡ʒyndælik
gündəlik	ɡyndælij
gündəlik	d͡ʒyndælij
günorta	ɡynortɑ
günəbaxan	ɡynæbɑxɑn
günəş	ɡʲynæʃ
gürcü	ɡyrd͡ʒy
gürcü	d͡ʒyrd͡zy
gürcüstan	ɡʲyɾd͡ʒystɑn
gürcüstan	d͡ʒyɾd͡zystɑn
güvənmək	ɡyvæmːæj
gic	ɡid͡ʒ
gic	ɡid͡z
girmək	ɡʲiɾmæk
girmək	ɡʲiɾmej
girmək	d͡ʒirmɑχ
giriş	ɡiriʃ
gizləmək	ɡizlæmæk
gizləmək	ɡizdæmæk
gizlənmək	ɡizlænmæk
gizlənmək	ɡizdænmæk
gizlənmək	ɡizlænmæj
gizlənmək	ɡizdænmæj
gizlətmək	ɡizlætmæk
gizlətmək	ɡizdætmæk
gizlətmək	ɡizlætmæj
gizlətmək	ɡizdætmæj
gəlmə	ɡælmæ
gəlin	ɡælin
gəlin	ɡælin
gəmi	ɡæmi
gəmi	d͡ʒæmi
gəmirmək	ɡæmirmæj
gəmirici	ɡæmirid͡zi
gənc	ɡænd͡ʒ
gənc	ɡænd͡z
gərək	ɡæræj
gərəkmək	ɡærækmæk
gəzdirmək	ɡæzdirmæk
gəzdirmək	ɡæzdirmæj
gəzdirmək	ɡæzdirmej
gəzdirmək	d͡ʒæzdirmɑχ
gəzmək	ɡæzmæk
gəzmək	ɡæzmæj
gəzmək	ɡæzmej
gəzmək	d͡ʒæzmɑχ
hadisə	hɑˑdisæ
halbuki	hɑɫbuki
hamı	hɑmːɯ
hamısı	hɑmːɯsɯ
hamısı	hɑmsɯ
hamilə	hɑmilæ
hanı	hɑnɯ
hansı	hɑnsɯ
haqqında	hɑkːɯndɑ
haqqında	hɑɢːɯndɑ
hara	hɑrɑ
hara	hɑrɑ
harada	hɑrɑda
haraya	hɑrɑjɑ
harda	hɑrda
hava	hɑvɑ
heykəltəraş	hejkæltærɑʃ
heç	het͡ʃ
heç	het͡s
homoseksuallıq	homoseksuaɫːɯχ
hoppanmaq	hopːɑmːɑχ
hörmətli	hœrmætli
hörümçək	hœrymt͡ʃæk
hörümçək	hœrymt͡ʃæj
hüceyrə	hyd͡ʒejræ
hündür	hyndyr
hündür	hyndyr̥
hüquq	hyɡuɡ
hüquq	hyɡuɡ̊
həkim	hækim
həmdilli	hæmdilːi
həmkar	hæmkʲɑr
həmsöhbət	hæmsœhbæt
həmsöhbət	hæmsœhb̥æt
həmsöhbət	hæmsœjbæt
həmsöhbət	hæmsœːbæt
həmişə	hæmiʃæ
həmişə	hæmːiʃæ
həqarət	hæɡɑːræt
həqiqi	hæɡiːɡi
hər	hær
hər	hær̥
hərbçi	hærbt͡ʃi
hərbçi	hærbt͡si
hərbi	hærbi
hərəkət	hærækæt
həyat	hæjɑːt
həzm	hæzm
həştərxan	hæʃtærχɑn
jasmin	ʒɑsmin
jurnalist	ʒurnalist
kamança	t͡ʃɑmɑnt͡sɑ
karp	kɑrp
katib	kʲɑːtib
katib	t͡ʃaːtib
katib	kʲɑːtɯb
katib	t͡ʃaːtɯb
katibə	kʲɑːtibæ
katibə	t͡ʃaːtibæ
kağız	kʲɑɣɯz
kağız	t͡ʃɑɣɯz
keçmək	ket͡ʃmæk
keçmək	ket͡ʃmæj
keçmək	ket͡ʃmej
keçmək	ɡeʃmɑx
keçi	kʲet͡ʃi
keçi	t͡ʃet͡si
kobud	kʲobud
kobud	t͡ʃobud
kor	kʲor
köhnə	kœhnæ
köhnə	kœjnæ
kök	kœk
kölgə	kœlɡæ
kömür	kœmyr
kömür	t͡ʃʂœmyr
kömək	kœmæk
kömək	kœmæj
kömək	kœmæt͡ʃ
könül	kœnyl
köpük	kœpyk
köpük	kœpyj
körpü	kœrpy
kösöv	kœsœv
kösöv	t͡ʃœsœv
köynək	kɶjnæk
köçmək	kœt͡ʃmæk
köşək	kœʃæk
köşək	kœʃæj
kürəkən	kyrækæn
küsmək	kysmæk
küsmək	kysmæj
küçə	kyt͡ʃæ
küçə	kyt͡sæ
ki	ki
ki	kin
kilsə	kilsæ
kim	kim
kimdənsə	kimdænsæ
kimdəsə	kimdæsæ
kimsə	kimsæ
kimsədə	kimsædæ
kimsədən	kimsædæn
kimsəni	kimsæni
kimsənin	kimsænin
kimsəyə	kimsæjæ
kimya	kimja
kimya	t͡ʃimja
kimyaçı	kimjat͡ʃɯ
kimyaçı	t͡ʃimjat͡sɯ
kimyəvi	kimjæːvi
kimyəvi	t͡ʃimjæːvi
kimi	kimi
kimi	t͡ʃimi
kiminsə	kiminsæ
kimisə	kimisæ
kiməsə	kimæsæ
kirli	kirli
kirpi	kirpi
kirpik	kirpik
kirpik	kirpij
kirpik	kirpiç
kitabxana	kitɑbχɑnɑ
kitabxanaçı	kitɑbχɑnɑt͡ʃi
kitabxanaçı	kitɑbχɑnɑt͡si
kiçik	kit͡ʃik
kiçik	kit͡sit͡ʃ
kişibaz	kiʃibɑz
kişibazlıq	kiʃibɑzɫɯχ
kəfgir	kæfɡir
kəlbətin	kælbætin
kənd	kænd
kənd	kænd
kənd	kæt
kənd	t͡ʃ̟æt
kəpənək	kæpænæk
kərtənkələ	kærtænkælæ
kərə	kæræ
kəsdirmək	kæsd̥irmæk
kəsdirmək	kæsd̥irmæj
kəsdirmək	t͡ʃæsd̥irmɑχ
kəsmək	kæsmæk
kəsmək	kæsmæj
kəsmək	kæsmej
kəsmək	t͡ʃæsmɑχ
kəsilmək	kæsilmæk
kəsilmək	kæsilmæj
kəsilmək	kæsilmej
kəsilmək	t͡ʃæsilmɑχ
lahiyə	ɫɑːhijæ
lakin	laːkin
layihə	ɫɑːjihæ
lazım	ɫɑɑzɯm
lazım	ɫɑzɯm
lazımsız	ɫɑzɯmsɯz
lövbər	lœvbær
lütfən	lytfæn
ləzgi	læzɡi
mahnı	mɑhnɯ
makedoniya	mɑkʲʰedonijɑ
makedoniya	mɑt͡ʃedonijɑ
mal	mɑɫ
masa	mɑsɑ
matç	mɑtt͡ʃ
mehrab	mɛhɾɑb
memar	memɑr
memar	meːmɑr
meydan	mejdɑn
meyvə	mɛjvæ
mıx	mɯχ
molekul	molekuɫ
morfoloji	morfoloʒɯ
musiqi	muˑsiɡi
musiqiçi	muˑsiɡit͡ʃi
musiqiçi	muˑsiɡit͡si
muxtar	muχtɑr
muştuluq	muʃtuluχ
muştuluqçu	muʃtuɫuχt͡ʃu
muştuluqçu	muʃtuɫuχt͡su
möcüzə	mœːd͡ʒyzæ
mübarizə	mybɑːrizæ
mübarizə	mubɑːrizæ
müddət	mydːæt
müharibə	myhɑribæ
mühəndis	myhændis
müjdə	myʒdæ
müjdə	myd͡ʒdæ
müjdəçi	myʒdæt͡ʃi
müjdəçi	myʒdæt͡si
mükafat	mykʲɑːfɑt
münaqişə	mynɑːɡiʃæ
münaqişə	mynɑːɢiʃæ
müqayisə	myɡɑːjisæ
müqəddəs	myɡædːæs
müqəssir	myɢæsːiɾ̥
müsabiqə	mysɑːbiɡæ
müstəqillik	mystæɡillik
müstəqillik	mystæɡillij
müştəri	myʃtæri
müəllif	myælːif
müəllif	mʷælːif
müəllim	myælːim
müəllimə	myælːimæ
müəzzəm	myæzːæm
milad	miɫɑd
min	min
minbər	minbær
minmək	minmæk
minmək	mimːæk
minmək	minmej
minmək	minmɑχ
minnətdar	minːætdɑr
mismar	mismɑɾ
mişar	miʃɑr
mişar	mɯʃɑr
məcazi	mæd͡ʒɑːzi
məcazi	mæd͡zɑːzi
məclis	mæd͡ʒlis
məclis	mæd͡zlis
mədrəsə	mædræsæ
məfhum	mæfhum
məhşur	mæhʃur
məhəlli	mæhælːi
məktub	mæktub
məktub	mæhtub
məktəb	mæktæb
məktəb	mæçtæb
mələfə	mælæfæ
məmur	mæmur
məmur	mæːmur
məna	mæːnɑ
mənasız	mæːnɑsɯz
mənfəət	mænfææt
mənzərə	mænzæɾæ
mənimsəmə	mænimsæmæk
mənimsəmək	mænimsæmæk
mənimsəmək	mænimsæmæj
mərasim	mærɑːsim
mərkəzi	mærkæzi
məsafə	mæsɑːfæ
məsləhət	mæslæhæt
məsələn	mæsælæn
məxəz	mæχæz
məzuniyyət	mæzunijæt
namaz	nɑmɑz
namə	nɑːmæ
natamamlıq	nɑtɑmɑmɫɯχ
natamamlıq	nɑtɑmɑnɫɯχ
natəmiz	nɑːtæmiz
nazir	nɑːzir
nazir	nɑːzir̥
nazirlik	nɑːzirlik
nazirlik	nɑːzirlij
necə	ned͡ʒæ
necə	ned͡zæ
neynəmək	nejnæmæk
neynəmək	nejnæmæj
neyçün	nejt͡ʃyn
neçiyədir	net͡ʃjædir
neçiyədir	net͡sjædir
nökər	nœkær
nömrə	nœmræ
nöqtə	nœktæ
nikbin	nikbin
niyyət	nijːæt
niyə	nijæ
nəcib	næd͡ʒib
nəcib	næd͡zib
nəfər	næfær
nəfəs	næfæs
nənə	nænæ
nəsə	næsæ
nətər	nætær
nəvə	nævæ
nəyəsə	næjæsæ
ocaq	od͡ʒɑχ
ocaq	od͡zɑχ
ocaqlıq	od͡ʒɑɣɫɯχ
ocaqlıq	od͡zɑɣɫɯχ
olay	oɫɑj
oldu	oɫdu
olsun	oɫsun
olsun	osːun
onuncu	onund͡ʒu
onurğa	onurɣɑ
orada	orɑdɑ
ordu	ordu
orta	ortɑ
otaq	ɔtɑɡ
otaqda	otɑɣdɑ
oturacaq	oturɑd͡ʒɑχ
oturacaq	oturɑd͡zɑχ
oturmaq	oturmɑχ
otuz	otuz
otuzuncu	otuzund͡ʒu
ov	ov
ovuc	ovud͡ʒ
ovuc	ovud͡z
ovuc	oud͡z
ovçu	ovt͡ʃu
ovçu	ovt͡ʃɯ
ovçu	ovt͡su
ovçu	ovt͡sɯ
oxumaq	oχumaχ
oxutmaq	oχumɑχ
oxşamaq	oχʃɑmɑχ
oxşar	oχʃɑr
oxşarlıq	oχʃɑrlɯχ
oyanış	ojɑnɯʃ
oynamaq	ojnɑmɑχ
oyun	ojun
oğru	oɣru
oğul	oɣuɫ
oğurlamaq	oɣurːɑmɑχ
palçıq	pɑɫt͡ʃɯχ
palçıq	pɑɫt͡sɯχ
partlamaq	pɑrtːɑmɑχ
partlatmaq	pɑrtːɑtmɑχ
partlayış	pɑrtːɑjɯʃ
paytaxt	pɑjtɑχt
pendir	pendir
pendir	pendir̥
penis	pɛnis
petux	petuχ
planet	pɫɑnet
polkovnik	pɑɫkovnik
polis	polis
populyar	populjɑɾ
portuqal	poɾtuɡɑl
pota	potɑ
pozmaq	pozmɑχ
poçtalyon	pot͡ʃtɑljon
premyera	premjera
proqramçı	proɡrɑmt͡ʃɯ
proqramçı	proɡrɑmt͡sɯ
psixoterapiya	psixɔtɛɾɑpijɑ
pul	pul
pis	pis
pəncərə	pænd͡ʒæræ
pəncərə	pænd͡zæræ
