!kung	kʌŋ
!kung	ǃkʌŋ
abasia	əbeɪʒiə
abasia	əbeɪziə
abasic	eɪbeɪsɪk
abask	əbæsk
abask	əbɑːsk
abassi	əbɑsi
abastardize	eɪbæstɚdaɪz
abatable	əbeɪtəbəl
abate	əbeɪt
abate	əbeɪt
abatement	əbeɪtmənt
abater	əbeɪtɚ
abates	əbeɪts
abatic	əbætɪk
abating	əbeɪtɪŋ
abatis	æbətiː
abatis	æbəti
abatis	æbətɪs
abatised	æbətɪst
abatised	æbətid
abatised	æbətɪst
abatised	əbætid
abatised	əbætɪst
abatises	æbətəsəz
abatjour	ɑbɑʒʊɚ
abatjour	ɑbɑʒʊɹ
abator	əbeɪtə
abator	əbeɪtɚ
abatsons	ɑbɑsɔ̃
abatsons	ɑbɑsɔ̃z
abattis	əbætɪs
abattoir	æbətwɑːɹ
abattoir	æbətwɑɹ
abattoir	æbətwɑ
abature	æbətjʊɹ
abatvoix	ɑbɑvwɑ
abaxial	æbæksiəl
abaxial	æbæksiəl
abay	əbeɪ
abaya	əbeɪjə
abaza	əbɑːzə
abaza	əbɑzə
abb	æb
abba	æbə
abba	æbɑ
abba	æbə
abba	æbɑ
abba	æbə
abba	æbɑ
abba	æbə
abba	æbɑ
abbacy	æbəsi
abbadid	æbədəd
abbadid	æbədid
abbasi	əbɑsi
abbasid	əbæsəd
abbasid	æbəsəd
abbasid	əbɑsəd
abbatial	əbeɪʃl̩
abbatial	æbeɪʃl̩
abbe	æbeɪ
abbe	æbeɪ
abbé	æbeɪ
abbé	æbeɪ
abbes	æbeɪz
abbes	əbeɪz
abbess	æbɪs
abbess	æbɛs
abbess	æbɪs
abbess	æbɛs
abbeville	æbivɪl
abbevillian	æbəvɪliən
abbevillian	æbvɪliən
abbevillian	æbviliən
abbevillian	æbviljən
abbevillian	æbəviljən
abbey	æbi
abbeys	æbiz
abbot	æbət
abbot	æbət
abbots	æbəts
abbozzo	əbɔtsoʊ
abbreviate	əbɹiːvieɪt
abbreviate	əbɹivieɪt
abbreviate	əbɹiviət
abbreviate	əbɹivieɪt
abbreviate	əbɹivieɪt
abbreviated	əbɹiːvieɪtɪd
abbreviated	əbɹivieɪtɪd
abbreviation	əbɹiːvieɪʃən
abbreviation	əbɹivieɪʃn̩
abbreviator	əbɹiːvieɪtə
abbreviator	-ɛɪtə
abbreviator	əbɹivieɪtəɹ
abbreviatory	əbɹiviətɔɹi
abbreviature	əbɹiviət͡ʃʊɹ
abby	æbi
abcde	æbsədiː
abcoulomb	æbkulɑm
abdabs	æbdæbz
abderian	æbdɪɹiən
abderian	æbdɛɹiən
abderian	æbdɪɹiən
abderite	æbdəɹaɪt
abderitism	æbdəɹɪtɪzm̩
abdest	ɑbdɛst
abdicable	æbdəkəbəl
abdicant	æbdɪkn̩t
abdicate	æbdɪkeɪt
abdicated	æbdɪkeɪtɪd
abdication	æbdəkeɪʃən
abdication	æbdəkeɪʃən
abdicative	æbdəkeɪtɪv
abdicative	æbdəkətɪv
abdicator	æbdəkeitɚ
abdicator	æbdəkeitə
abditive	æbdɪtɪv
abditory	æbdɪtɹi
abditory	æbdɪtəɹi
abdomen	æbdəmən
abdomen	æbdəʊmən
abdomen	æbdəmən
abdomen	æbdoʊmən
abdomina	æbdɑmənə
abdominal	æbdɒmənl̩
abdominal	əbdɒmənl̩
abdominal	æbdɑmənl̩
abdominal	əbdɑmənl̩
abdominalgia	æbdɑmɪnæld͡ʒiə
abdominally	æbdɑmɪnəli
abdominocardiac	æbdɑmɪnoʊkɑɹdiæk
abdominocentesis	æbdɑmɪnoʊsɜntisəs
abdominocystic	æbdɑmɪnoʊsɪstɪk
abdominogenital	æbdɑmɪnoʊd͡ʒɛnɪtl̩
abdominohysterectomy	æbdɑmɪnoʊhɪstɚɹɛktəmi
abdominohysterotomy	æbdɑmɪnoʊhɪstɚɹɑtəmi
abdominoperineal	æbdɑmɪnoʊpɛɹənil̩
abdominoplasty	æbdɑmɪnoʊplæsti
abdominoscopy	æbdɑmɪnɑskəpi
abdominoscrotal	æbdɑmɪnoʊskɹoʊtl̩
abdominothoracic	æbdɑmɪnoʊθɔɹæsɪk
abdominothoracic	æbdɑmɪnoʊθoʊɹæsɪk
abdominous	æbdɒmənəs
abdominous	æbdɑmənəs
abdominouterotomy	æbdɑmɪnoʊjutɚɑtəmi
abdominovaginal	æbdɑmɪnoʊvæd͡ʒɪnl̩
abduce	əbdjuːs
abduce	æbdus
abduce	æbdjus
abduce	əbdus
abduce	əbdjus
abducens	æbdusɛnz
abducens	æbdjusɛnz
abducent	æbdusənt
abducent	æbdjusənt
abducentes	æbdʊsɛntiz
abducentes	æbdjʊsɛntiz
abduct	æbdʌkt
abduct	æbdəkt
abducted	æbdʌktɪd
abductee	æbdʌktiː
abductee	æbdʌkti
abductee	æbdəkti
abduction	əbdʌkʃn̩
abduction	æbdʌkʃn̩
abduction	æbdəkʃn̩
abduction	əbdəkʃn̩
abduction	eɪbiːdʌkʃn̩
abductive	æbdʌktɪv
abductive	æbdəktɪv
abductively	æbdʌktɪvli
abductively	æbdəktɪvli
abductor	æbdʌktɚ
abductor	æbdʌktə
abductores	æbdəktɔɹiz
abductores	æbdəktɔiz
abdul	ɑbdʊl
abdullah	ɑbdʊlɑ
abe	eɪb
abe	əbi
abeam	əbiːm
abeam	əbim
abear	əbɛː
abear	əbɛɚ
abear	əbɛɹ
abearance	əbɜɹəns
abearing	əbɛɹɪŋ
abec	eɪbɛk
abecedaria	eɪbisidæɹiə
abecedarian	eɪbiːsiːdɛːɹɪən
abecedarian	eɪbisidɛɹiən
abecedarian	eɪbisidæɹiən
abecedarian	eɪbisidæɹiən
abecedarium	eɪbisidæɹiəm
abecedarius	eɪbisidæɹiəs
abecedary	eɪbiːsiːdəɹi
abecedary	eɪbisidɚi
abecedary	eɪbisidəɹi
abed	əbɛd
abed	əbɛd
abednego	əbɛdnɪɡoʊ
abeigh	əbiːx
abeigh	əbeɪx
abeigh	əbix
abeigh	əbeɪx
abel	eɪbl̩
abelard	æbəlɑɹd
abele	əbiːl
abele	əbeɪl
abele	eɪbl̩
abele	əbil
abele	əbeɪl
abele	eɪbl̩
abelian	əbiliən
abelian	əbiljən
abelite	eɪbəlaɪt
abelmosk	eɪbəlmɒsk
abelmosk	eɪblmɒsk
abelmosk	eɪbəlmɑsk
abelmosk	eɪblmɑsk
abelmusk	eɪbəlməsk
abeltree	eɪbəltɹi
abelungu	abəlʊŋɡuː
abembryonic	æbɛmbɹiɑnɪk
abembryonic	æbɛmbɹiɑnɪk
abenaki	æbənæki
abenaki	ɑbənɑki
abend	æbɛnd
abend	əbɛnd
abendmusik	ɑbəntmuzik
abeng	æbɛŋ
abenlen	əbɛnlɛn
abenteric	æbɛntɛɹɪk
abeokuta	ɑbeɪoʊkutə
aberdavine	æbədəvaɪn
aberdavine	æbɚdəvaɪn
aberdeen	æbəɹdiːn
aberdeen	æbɚdin
aberdeen	æbɚdin
aberdeenshire	æbɚdinʃaɪɚ
aberdeenshire	æbɚdinʃɚ
aberdevine	æbədəvaɪn
aberdevine	æbɚdəvaɪn
aberdonian	æbɚdoʊnjən
aberdonian	æbədoʊnjən
aberdonian	æbɚdoʊniən
aberdonian	æbədoʊniən
aberduvine	æbədəvaɪn
aberduvine	æbɚdəvaɪn
aberr	əbɜɹ
aberrance	æbɛɹn̩s
aberrance	æbɛɹn̩ts
aberrancy	æbɛɹn̩si
aberrancy	æbɛɹn̩sɪ
aberrant	əbɛɹn̩t
aberrant	æbəɹn̩t
aberrant	əbɛɹn̩t
aberrant	æbəɹn̩t
aberrantly	æbɛɹn̩tli
aberrate	æbəɹeɪt
aberration	æbəɹeɪʃn̩
aberrational	æbəɹeɪʃənl̩
aberrational	æbəɹeɪʃnl̩
aberrative	æbəɹeɪdɪv
abertawe	æbɚtaʊwi
aberystwyth	æbəɹɪstwɪθ
aberystwyth	abɛɹəstwɪθ
abessive	æbɛsɪv
abessive	æbɛsɪv
abet	əbɛt
abetalipoproteinemia	eɪbeɪtəlɪpoʊpɹoʊtinimiə
abetment	əbɛtmənt
abets	əbɛts
abettal	əbɛtl̩
abettance	əbɛtn̩ts
abetted	əbɛtɪd
abetter	əbɛtɚ
abetter	əbɛte
abetting	əbɛtɪŋ
abettor	əbɛtə
abettor	əbɛtɚ
abettor	-te
abettor	-ɾɚ
abevacuation	æbivækjueɪʃn̩
abeyance	əbeɪənts
abeyance	əbeɪəns
abeyancy	əbeɪəntsi
abeyant	əbeɪənt
abgesang	ɑpɡəzɑŋ
abhinaya	əbɪnəjə
abhiseka	əbiʃeɪkə
abhisheka	ʌbɪʃeɪkə
abhisheka	əbɪʃeɪkə
abhor	əbhɔːɹ
abhor	æbhɔɹ
abhor	əbhɔɹ
abhorred	æbhɔɹd
abhorrence	əbhɒɹn̩s
abhorrence	əbhɒɹn̩ts
abhorrence	əbhɔɹn̩s
abhorrence	əbhɔɹn̩ts
abhorrence	əbhɑɹn̩s
abhorrence	əbhɑɹn̩ts
abhorrent	æbhɒɹənt
abhorrent	əbhɒɹənt
abhorrent	æbhɔɹənt
abhorrent	æbhɑɹənt
abhorrently	æbhɔɹəntli
abhorrently	æbhɑɹəntli
abhorrer	əbhɔːɹə
abhorrer	æbhɔɹɚ
abhorrers	æbhɔːɹɚ
abhorrible	æbhɑɹɪbl̩
abhorrible	æbhɔɹɪbl̩
abhorring	æbhɔɹɪŋ
abib	ɑviv
abib	eɪbɪb
abib	ɑbib
abidance	əbaɪdn̩s
abidance	əbaɪdn̩ts
abidden	əbɪdn̩
abide	əbaɪd
abide	əbaɪd
abided	əbaɪdəd
abided	əbaɪdəd
abider	əbɑɪdɚ
abides	əbaɪds
abides	əbaɪds
abidest	əbaɪdɪst
abiding	əbaɪdɪŋ
abidingly	əbaɪdɪŋli
abidingness	əbaɪdɪŋnəs
abidjan	æbɪdʒɑn
abidjan	æbədʒɑn
abidjan	æbədʒɑn
abier	əbɪəɹ
abies	eɪbiiz
abies	æbiiz
abietate	æbiəteɪt
abietene	æbiətin
abietic	æbiɛtɪk
abigail	abɪɡeɪl
abigail	abɪɡeɪl
abigail	æbəɡeɪl
abilene	æbɪliːniː
abilene	æbɪliːn
abilene	æbɪliːn
ability	əbɪləti
ability	əbɪlɪti
abilla	əbijə
abilla	əbiə
abimelech	əbɪməlɛk
abingdon	æbɪŋdn̩
abington	æbɪŋtən
abiogenesis	eɪbaɪəʊdʒɛnəsɪs
abiogenesis	-baɪə-
abiogenesis	-biːə-
abiogenesis	-biːoʊ-
abiogenesis	-nɪ-
abiogenesis	eɪbaioʊdʒɛnəsɪs
abiogenetic	eɪbaioʊdʒɛnətɪk
abiogenetical	eɪbaioʊdʒɛnətəkəl
abiogenetically	eɪbaioʊdʒɛnətəkəli
abiogenetically	eɪbaioʊdʒɛnətəkli
abiogenic	eɪbaɪoʊd͡ʒɛnɪk
abiogenic	eɪbaɪəd͡ʒɛnɪk
abiogenically	eɪbaɪoʊd͡ʒɛnɪkli
abiogenically	eɪbaɪəd͡ʒɛnɪkli
abiogenically	eɪbaɪoʊd͡ʒɛnɪkəli
abiogenically	eɪbaɪəd͡ʒɛnɪkəli
abiogenist	eɪbaiɑdʒɛnəst
abiogenous	æbiɑd͡ʒənəs
abiological	eɪbaɪəlɑdʒɪkl̩
abiological	eɪbaɪəlɑdʒəkl̩
abiosis	eɪbioʊsɪs
abiotic	eɪbaɪɑtɪk
abiotically	eɪbaɪɑtɪkli
abiotrophy	eɪbaɪɑtɹəfi
abiotrophy	æbiɑtɹəfi
abipón	æbəpɑn
abipón	æbəpɑn
abipones	æbəpoʊniz
abiraterone	æbɪɹætəɹoʊn
abiraterone	æbɪɹætəɹəʊn
abirritant	æbɪɹɪtn̩t
abirritate	æbɪɹɪteɪt
abirritation	æbɪɹɪteɪʃn̩
abirritative	æbɪɹɪteɪtɪv
abitibi	æbətɪbi
abitibi	æbətɪbɪ
abitur	æbitʊəɹ
abitur	æbɪtʊəɹ
abitur	æbitʊɹ
abitur	æbɪtʊɹ
abiturient	æbituɹiɛnt
abiuret	eɪbijəɹɛt
abject	æbd͡ʒɛkt
abject	æbd͡ʒɛkt
abjectedness	æbd͡ʒɛktədnəs
abjection	æbd͡ʒɛkʃn̩
abjective	æbd͡ʒɛtɪv
abjective	æbd͡ʒɛtɪv
abjectly	abd͡ʒɛktli
abjectly	abd͡ʒɛktli
abjectly	æbd͡ʒɛktli
abjectly	æbd͡ʒɛkli
abjectness	æbd͡ʒɛktnəs
abjoint	æbd͡ʒɔɪnt
abjoint	æbd͡ʒɔɪnt
abjudge	æbd͡ʒəd͡ʒ
abjudge	æbd͡ʒʌd͡ʒ
abjugate	æbdʒəɡeɪt
abjunction	æbd͡ʒʌŋkʃən
abjuration	æbd͡ʒʊɹeɪʃn̩
abjuration	æbd͡ʒəɹeɪʃn̩
abjuration	æbd͡ʒʊɹɹeɪʃn̩
abjuratory	æbd͡ʒʊɹətɔɹi
abjure	æbdʒʊɹ
abjured	əbdʒʊəd
abjurer	æbd͡ʒʊɹɚ
abjures	əbdʒʊəz
abjuring	əbdʒʊɹɪŋ
abkar	ɑbkɑɹ
abkari	ɑbkɑɹi
abkhas	æbkɑs
abkhaz	ɑbkɑz
abkhaz	æbkɑz
abkhaz	æbkæz
abkhazia	æbkeɪʒiə
abkhazia	æbkeɪʒə
abkhazia	æbkeɪziə
abkhazia	æbkɑʒiə
abkhazia	æbkɑziə
abkhazian	æbkeɪziən
abkhazian	æbkeɪʒən
abkhazian	æbkeɪʒiən
abkhazian	æbkɑʒiən
abkhazian	æbkɑziən
ablactation	æblækteɪʃn̩
ablare	əblɛɹ
ablastemic	eɪblæstimɪk
ablastemic	eɪblæstɛmɪk
ablastemic	eɪblæstimɪk
ablastemic	eɪblæstɛmɪk
ablastin	əblæstən
ablastous	eɪblæstəs
ablastous	eɪblæstəs
ablate	əbleɪt
ablatio	æbleɪʃioʊ
ablation	əbleɪʃn̩
ablation	æbleɪʃn̩
ablatival	æblətaɪvl̩
ablative	æblətɪv
ablative	əbleɪtɪv
ablatively	æblətaɪvli
ablativity	ablətɪvɪti
ablator	æbleɪdɚ
ablator	æbleɪdə
ablaut	ɑblaʊt
ablaut	ɑplaʊt
ablaut	æblaʊt
ablaze	əbleɪz
able	eɪbl̩
able	eɪbəl
abled	eɪbl̩d
ableeze	əbliz
ablegate	æbləɡeɪt
ablegate	æbləɡət
ableism	eɪbəlɪzm̩
ableist	eɪbəlɪst
ableness	eɪbl̩nəs
ablepharia	æbl̩feɪɹiə
ablepharon	æblɛfəɹɑn
ablepharous	æblɜfəɹʌs
ablephary	æblɛfəɹi
ablepsia	əblɛpsiə
abler	eɪblɚ
abler	eɪbəlɚ
ablest	eɪbləst
ablest	eɪbələst
abligation	ɑbləɡeɪʃən
ablings	eɪblɪnz
ablins	eɪblɪnz
abloom	əbluːm
ablow	əbloʊ
abluent	æblun̩t
ablush	əblʌʃ
ablute	əbluːt
ablute	əblut
ablution	əbluːʃn̩
ablution	əbluʃn̩
ablutionary	əbluʃənɛɹi
ably	eɪbli
ably	eɪbəli
abmho	æbmoʊ
abmigration	æbmaɪɡɹeɪʃən
abmigration	æbmaɪɡɹeɪʃən
abnegate	æbnɪɡeɪt
abnegate	æbniɡeɪt
abnegate	æbnɪɡeɪt
abnegation	æbnɪɡɘɪʃn̩
abnegation	æbniɡɘɪʃn̩
abnegator	æbnɪɡeɪtɚ
abnegator	æbniɡeɪtɚ
abner	æbnɚ
abnet	æbnət
abnormal	æbnɔɹml̩
abnormal	əbnɔɹml̩
abnormalcy	æbnɔɹml̩si
abnormalcy	əbnɔɹml̩si
abnormalism	æbnɔɹml̩ɪzm̩
abnormality	æbnɔɹmæləti
abnormality	æbnɔɹmælɪti
abnormality	æbnɚmæləti
abnormality	æbnɚmælɪti
abnormalize	æbnɔɹməlaɪz
abnormally	æbnɔɹməli
abnormalness	æbnɔɹml̩nəs
abnormity	æbnɔɹmɪti
abnormous	æbnɔɹməs
abnormous	əbnɔɹməs
abo	æbəʉ
abo	æbəʊ
abo	æboʊ
aboard	əbɔːd
aboard	əbɔɹd
abob	əbɑb
abocclusion	æboʊkluʒn̩
abode	əbəʊd
abode	əboʊd
abodement	əboʊdmn̩t
aboding	əboʊdɪŋ
abogado	æbəɡɑdoʊ
abohm	æboʊm
aboideau	ɑbwɑdoʊ
aboideaux	ɑbwɑdoʊ
aboil	əbɔɪl
aboil	əbɔɪl̩
aboiteau	ɑbwɑtoʊ
aboiteaux	ɑbwɑtoʊ
abolish	əbɒlɪʃ
abolish	əbɑlɪʃ
abolish	əbɑləʃ
abolishable	əbɑlɪʃəbl̩
abolishable	əbɑləʃəbl̩
abolisher	əbɑlɪʃɚ
abolisher	əbɑləʃɚ
abolishment	əbɑlɪʃmənt
abolition	æbəlɪʃn̩
abolitionary	æbəlɪʃənɛɹi
abolitiondom	æbəlɪʃn̩dəm
abolitionism	æbəlɪʃənɪzm̩
abolitionist	æbəlɪʃn̩ɪst
abolitionist	æbəlɪʃn̩ɪst
abolitionist	æbəlɪʃn̩əst
abolitionists	æbəlɪʃn̩ɪsts
abolitionize	æbəlɪʃn̩aɪz
aboma	əboʊmə
abomasal	æboʊmeɪsəl
abomasal	æbəmeɪsəl
abomasi	æboʊmeɪsi
abomasi	æboʊmeɪsaɪ
abomasum	æboʊmeɪsəm
abomasus	æboʊmeɪsəs
abomey	æbəmeɪ
abomey	əboʊmi
abominable	əbɑmənəbl̩
abominable	əbɑmnəbl̩
abominable	ɘbɔmɘnɘbɯ
abominableness	əbɑmənəbl̩nəs
abominableness	əbɑmnəbl̩nəs
abominably	əbɑmənəbli
abominably	əbɑmnəbli
abominate	əbɒmənəɪt
abominate	əbɒmɪnəɪt
abominate	əbɒmənəɪt
abominate	əbɒmɪnəɪt
abominate	əbɒmənət
abomination	əbɑməneɪʃn̩
abomination	əbɑmɪneɪʃn̩
abominationly	əbɑməneɪʃn̩li
abominationly	əbɑmɪneɪʃn̩li
abominator	əbɑməneɪtɚ
abominator	əbɑmɪneɪtɚ
abongo	əbɑŋɡoʊ
abonné	æbɔne
abonnement	æbɔnmɑ̃
abonnements	æbɔnmɑ̃
abood	əbuːd
aboon	əbun
aboon	əbʏn
aboospore	æboʊəspɔɹ
abor	ɑbɔɹ
abor	ɑbɔɚ
aborad	æboɹæd
aboral	æbɔːɹl̩
aboral	æbɔɹl̩
aborally	æbɔːɹəli
aborally	æbɔɹəli
abord	əbɔːd
abord	əbɔɹd
abordage	əbɔːɹdɪd͡ʒ
abordage	əbɔɹdɪd͡ʒ
aborigen	æbɔɹəd͡ʒən
aboriginal	æbəɹɪd͡ʒn̩l̩
aboriginal	æbəɹɪd͡ʒɪnl̩
aboriginal	æbəɹɪd͡ʒn̩l̩
aboriginal	æbəɹɪd͡ʒɪnl̩
aboriginality	æbəɹɪd͡ʒənæləti
aboriginality	æbəɹɪd͡ʒɪnæləti
aboriginally	æbəɹɪd͡ʒn̩əli
aboriginally	æbəɹɪd͡ʒɪnəli
aborigine	æbəɹɪdʒəni
aborigine	æbəɹɪdʒɪni
aborigine	æbəɹɪdʒɪni
aborning	əbɔɹnɪŋ
abort	əbɔːt
abort	əbɔɹt
abortee	əbɔːɹti
abortee	əbɔɹti
aborticide	əbɔɹtɪsaɪd
aborticide	əbɔɹtəsaɪd
abortifacient	əbɔɹtəfeɪʃn̩t
abortifacient	əbɔɹtɪfeɪʃn̩t
abortin	əbɔɹtn̩
abortion	əbɔɹʃn̩
abortional	əbɔɹʃn̩l̩
abortionist	əbɔɹʃənɪst
abortive	əbɔɹtɪv
abortive	əbɔːtɪv
abortively	əbɔɹtɪvli
abortiveness	əbɔɹtɪvnəs
abortogenic	əbɔɹtəd͡ʒɛnɪk
abortoria	æbɔɹtɔɹiə
abortorium	æbɔɹtɔɹiəm
abortorium	æbɔɹtɔːɹiəm
abortoriums	æbɔɹtɔəɹiəmz
abortus	əbɔɹtəs
abought	əbɔt
aboukir	ɑbukɪɹ
aboukir	æbukɪɹ
aboukir	əbukɚ
aboulia	əbuliə
aboulia	eɪbuliə
aboulic	əbulɪk
aboulic	eɪbulɪk
aboulic	eɪbulɪk
aboulomania	eɪbjuləmeɪniə
aboulomania	eɪbuləmeɪniə
aboulomania	eɪbuloʊmeɪniə
abound	əbaʊnd
abound	əbaʊnd
abounder	əbaʊndɚ
abounder	əbaʊndɚ
about	əbaʊt
about	əbʌʊt
about	əbɛʊt
aboutness	əbaʊtnəs
abouts	əbaʊts
above	əbʌv
above	əbʌv
abox	əbɑks
abozzi	əbɔtsoʊ
abozzo	əbɔtsi
abra	æbɹə
abra	ɑːbɹə
abracadabra	abɹəkədabɹə
abracadabra	æbɹəkədæbɹə
abrachia	əbɹeɪkiə
abrachiocephalia	əbɹeɪkioʊsɛfeɪliə
abradant	əbɹeɪdn̩t
abrade	əbɹeɪd
abrade	əbɹeɪd
abrader	əbɹeɪdɚ
abraham	eɪbɹəhæm
abraham	ɑːbɹəhæm
abraham	eɪbɹəhæm
abraham	eɪbɹəhəm
abrahamic	eɪbɹəhæmɪk
abrahamic	eɪbɹəhæmɪk
abrahamman	eɪbɹəhæmmæn
abrahamman	eɪbɹəhəmæn
abrahamman	eɪbɹəmæn
abraid	əbɹeɪd
abram	eɪbɹəm
abramman	eɪbɹəmmæn
abrams	eɪbɹəmz
abranchial	eɪbɹæŋkil̩
abranchialism	eɪbɹæŋkil̩ɪzm̩
abranchiata	eɪbɹæŋkiɑtə
abranchiata	eɪbɹæŋkieɪtə
abranchiate	eɪbɹæŋkiɪt
abranchiate	eɪbɹæŋkieɪt
abranchious	eɪbɹæŋkiəs
abrase	əbɹeɪz
abraser	əbɹeɪzɚ
abraser	əbɹeɪzə
abrash	ɑbɹəʃ
abrash	ɑbɹɑʃ
abrasiometer	əbɹeɪziɑmətɚ
abrasion	əbɹeɪʒn̩
abrasional	əbɹeɪʒn̩l̩
abrasive	əbɹeɪsɪv
abrasive	əbɹeɪzɪv
abrasively	əbɹeɪsɪvli
abraum	ɑpɹaʊm
abraxas	əbɹæksəs
abrazo	əbɹɑsoʊ
abrazo	ɑbɹɑsoʊ
abrazo	əbɹɑzoʊ
abrazo	æbɹæθo
abreact	æbɹiækt
abreaction	æbɹiækʃn̩
abreactive	æbɹiæktɪv
abreast	əbɹɛst
abréch	aːbʀəɕ
abreed	əbɹid
abrenounce	æbɹinaʊnts
abrenunciation	æbɹinʌnsieɪʃn̩
abri	əbɹiː
abri	ɑːbɹiː
abri	əbɹi
abri	ɑbɹi
