अ	ə
अग्निपरीक्षा	əɡnɪpəɾiːkʃɑː
अग्निशस्त्र	əɡniːʃəst̪ɾ
अग्निशामक	əɡnɪʃɑːmək
अग्न्याशय	əɡnjɑːʃəj
अग्रज	əɡɾəd͡ʒ
अग्रवाल	əɡɾʋɑːl
अग्रिम	əɡɾɪm
अचंभा	ət͡ʃəmbʱɑː
अचकन	ət͡ʃkən
अचर	ət͡ʃəɾ
अचरज	ət͡ʃɾəd͡ʒ
अचानक	ət͡ʃɑːnək
अचूक	ət͡ʃuːk
अचेत	ət͡ʃeːt̪
अच्छा	ət͡ʃt͡ʃʰɑː
अच्छापन	ət͡ʃːɑpən
अछना	ət͡ʃʰnɑː
अछूत	ət͡ʃʰuːt̪
अछूता	ət͡ʃʰuːt̪ɑː
अजगर	əd͡ʒɡəɾ
अजनबियत	əd͡ʒnəbiːjət̪
अजब	əd͡ʒəb
अजमेर	əd͡ʒmeːɾ
अजमोद	əd͡ʒmoːd̪
अजवाइन	əd͡ʒʋɑːɪn
अज़दहा	əzd̪əɦɑː
अज़रबैजान	əzəɾbɛːd͡ʒɑːn
अज़ान	əzɑːn
अज़ाब	əzɑːb
अज़ीज़	əziːz
अज़ीम	əziːm
अजान	əd͡ʒɑːn
अजायबघर	əd͡ʒɑːjəbɡʱəɾ
अजिल्द	əd͡ʒɪld̪
अजी	əd͡ʒiː
अजीब	əd͡ʒiːb
अजीर्ण	əd͡ʒiːɾn
अजूबा	əd͡ʒuːbɑː
अजेंडा	əd͡ʒeːnɖɑː
अज्ञात	əɡjaːt̪
अज्ञानपन	əɡjɑːnpən
अटक	əʈək
अटकना	əʈəknɑː
अटकलपच्चू	əʈkəlpət͡ʃt͡ʃuː
अटकाना	əʈkɑːnɑː
अटकाव	əʈkɑːʋ
अटपटा	əʈpəʈɑː
अटल	əʈəl
अटारी	əʈɑːɾiː
अटूट	əʈuːʈ
अटैची	əʈɛːt͡ʃiː
अट्ठा	əʈʈʰɑː
अट्ठाईस	əʈʈʰɑːiːs
अट्ठानवे	əʈʈʰɑːnʋeː
अट्ठावन	əʈʈʰɑːʋən
अट्ठासी	əʈʈʰɑːsiː
अठन्नी	əʈʰənniː
अठपहिया	əʈʰpəɦiːjɑː
अठपहिया	əʈʰpəiːjɑː
अठहत्तर	əʈʰɦət̪t̪əɾ
अठारह	əʈʰɑːɾəʱ
अड़ंगा	əɽəŋɡɑː
अड़चन	əɽt͡ʃən
अड़तालीस	əɽt̪ɑːliːs
अड़तीस	əɽt̪iːs
अड़ना	əɽnɑː
अड़सठ	əɽsəʈʰ
अड़ाना	əɽɑːnɑː
अड़ियल	əɽiːjəl
अडिग	əɖɪɡ
अणु	ənuː
अतः	ət̪əʰ
अतएव	ət̪ə‿eːʋ
अतएव	ət̪ə‿eːʋə
अति	ət̪iː
अतिवाद	ət̪ɪʋɑːd̪
अतिवादी	ət̪ɪʋɑːd̪iː
अतिशयोक्ति	ət̪ɪʃjoːkt̪iː
अतिसंवेदनशील	ət̪ɪsəmʋeːd̪ənʃiːl
अतिसार	ət̪ɪsɑːɾ
अतीत	ət̪iːt̪
अतुल्य	ət̪ʊlj
अत्फ़ाल	ət̪fɑːl
अत्यंत	ət̪jənt̪
अत्याचार	ət̪jɑːt͡ʃɑːɾ
अत्याचारी	ət̪jɑːt͡ʃɑːɾiː
अत्यावश्यक	ət̪jɑːʋəʃjək
अत्युत्तम	ət̪jʊt̪t̪əm
अथक	ət̪ʰək
अथाह	ət̪ʰɑːʱ
अदब	əd̪əb
अदरक	əd̪ɾək
अदा	əd̪ɑː
अदाकार	əd̪ɑːkɑːɾ
अदालती	əd̪ɑːlət̪iː
अदावत	əd̪ɑːʋət̪
अद्यतन	əd̪jət̪ən
अधिकतम	əd̪ʱɪkt̪əm
अधिकता	əd̪ʱɪkt̪ɑː
अधिकार	əd̪ʱɪkɑːɾ
अधिकृत	əd̪ʱɪkɾɪt̪
अधिनायक	əd̪ʱɪnɑːjək
अधिनियम	əd̪ʱɪniːjəm
अधिभार	əd̪ʱɪbʱɑːɾ
अधिमास	əd̪ʱɪmɑːs
अधिलाभ	əd̪ʱɪlɑːbʱ
अधिवक्ता	əd̪ʱɪʋəkt̪ɑː
अधिवार्षिकी	əd̪ʱɪʋɑːɾʃɪkiː
अधिवेशन	əd̪ʱɪʋeːʃən
अधिसूचना	əd̪ʱɪsuːt͡ʃnɑː
अधीक्षक	əd̪ʱiːkʃək
अधीक्षण	əd̪ʱiːkʃən
अधीन	əd̪ʱiːn
अधीनता	əd̪ʱiːnt̪ɑː
अधीर	əd̪ʱiːɾ
अधीरता	əd̪ʱiːɾt̪ɑː
अधीश	əd̪ʱiːʃ
अधूरा	əd̪ʱuːɾɑː
अधेड़	əd̪ʱeːɽ
अधोहस्ताक्षरी	əd̪ʱoːɦəst̪ɑːkʃəɾiː
अध्यक्षता	əd̪ʱjəkʃt̪ɑː
अध्ययन	əd̪ʱjəjən
अध्ययन	əd̪ʱjən
अध्यादेश	əd̪ʱjɑːd̪eːʃ
अध्यापक	əd̪ʱjɑːpək
अनंतपुर	ənənt̪pʊɾ
अनकहा	ənkəɦɑː
अनगढ़	ənɡəɽʱ
अनगिनत	ənɡɪnət̪
अनचाहा	ənt͡ʃɑːɦɑː
अनजाना	ənd͡ʒɑːnɑː
अनजाने	ənd͡ʒɑːneː
अनपच	ənpət͡ʃ
अनपढ़	ənpəɽʱ
अनब्याहा	ənbjɑːɦɑː
अनमना	ənmənɑː
अनमोल	ənmoːl
अनर्थ	ənəɾt̪ʰ
अनशन	ənʃən
अनसुना	ənsʊnɑː
अनस्तित्व	ənəst̪ɪt̪ʋ
अनहोनी	ənɦoːniː
अनाचार	ənɑːt͡ʃɑːɾ
अनाज	ənɑːd͡ʒ
अनाड़ी	ənɑːɽiː
अनातोली	ənɑːt̪oːliː
अनाथालय	ənɑːt̪ʰɑːləj
अनाधिकारिक	ənɑːd̪ʱɪkɑːɾɪk
अनामिका	ənɑːmɪkɑː
अनार	ən̪aːr
अनारदाना	ənɑːɾd̪ɑːnɑː
अनिच्छा	ənɪt͡ʃt͡ʃʰɑː
अनिद्रा	ənɪd̪ɾɑː
अनियंत्रित	əniːjənt̪ɾɪt̪
अनियमित	əniːjəmɪt̪
अनियमितता	əniːjəmɪt̪t̪ɑː
अनिवार्य	ənɪʋɑːɾj
अनिवार्यतः	ənɪʋɑːɾjət̪əʰ
अनिश्चित	ənɪʃt͡ʃɪt̪
अनिश्चितता	ənɪʃt͡ʃɪt̪t̪ɑː
अनुकूल	ənʊkuːl
अनुकूलन	ənʊkuːlən
अनुगृहीत	ənʊɡɾɪɦiːt̪
अनुचित	ənʊt͡ʃɪt̪
अनुज्ञप्ति	ənʊɡjəpt̪iː
अनुदान	ənʊd̪ɑːn
अनुनय	ənʊnəj
अनुनाद	ənʊnɑːd̪
अनुनासिक	ənʊnɑːsɪk
अनुनासिकता	ənʊnɑːsɪkt̪ɑː
अनुपजाऊ	ənʊpd͡ʒɑːuː
अनुपयोगी	ənʊpjoːɡiː
अनुपस्थित	ənuːpəst̪ʰɪt̪
अनुपस्थिति	ənʊpəst̪ʰɪt̪iː
अनुपात	ənʊpɑːt̪
अनुपूरक	ənʊpuːɾək
अनुप्रयुक्त	ənʊpɾəjʊkt̪
अनुप्रास	ənʊpɾɑːs
अनुभवी	ənʊbʱəʋiː
अनुभूति	ənʊbʱuːt̪iː
अनुमानतः	ənʊmɑːnt̪əʰ
अनुमानित	ənʊmɑːnɪt̪
अनुमोदन	ən̪ʊmod̪ən̪
अनुयायी	ənʊjɑːjiː
अनुरक्षण	ənʊɾəkʃən
अनुरूप	ənʊɾuːp
अनुरोध	ənʊɾoːd̪ʱ
अनुवांशिक	ənʊʋɑːnʃɪk
अनुवांशिकी	ənʊʋɑːnʃɪkiː
अनुवाद	ənʊʋɑːd̪
अनुवादित	ənʊʋɑːd̪ɪt̪
अनुशासन	ənʊʃɑːsən
अनुशासित	ənʊʃɑːsɪt̪
अनुशीलन	ənʊʃiːlən
अनुष्ठान	ənʊʃʈʰɑːn
अनुसंधान	ənʊsənd̪ʱɑːn
अनुसरण	ənʊsəɾən
अनुस्वार	ənʊsʋɑːɾ
अनूठा	ənuːʈʰɑː
अनूदित	ənuːd̪ɪt̪
अनेक	əneːk
अनेकता	əneːkt̪ɑː
अनेकानेक	əneːkɑːneːk
अनौपचारिक	ənɔːpt͡ʃɑːɾɪk
अन्दर	ənd̪əɾ
अन्न	ənn
अन्य	ənj
अन्यथा	ənjət̪ʰɑː
अन्याय	ənjɑːj
अन्यायपूर्ण	ənjɑːjpuːɾn
अन्यायी	ənjɑːjiː
अपकार	əpkɑːɾ
अपकीर्ति	əpkiːɾt̪iː
अपक्व	əpəkʋə
अपतट	əpt̪əʈ
अपत्य	əpət̪j
अपदेश	əpd̪eːʃ
अपना	əpnɑː
अपमान	əpmɑːn
अपमानजनक	əpmɑːnd͡ʒənək
अपमानित	əpmɑːnɪt̪
अपयश	əpjəʃ
अपराध	əpɾɑːd̪ʱ
अपराधी	əpɾɑːd̪ʱiː
अपरिचित	əpəɾɪt͡ʃɪt̪
अपरिपक्व	əpɾɪpəkʋ
अपरिमेय	əpəɾɪmeːj
अपरिरुद्ध	əpəɾɪɾʊd̪d̪ʱ
अपर्याप्त	əpəɾjɑːpt̪
अपलक	əpələk
अपवाद	əpʋɑːd̪
अपवित्र	əpəʋɪt̪ɾ
अपव्यय	əpʋjəj
अपशकुन	əpʃəkʊn
अपसामान्य	əpsɑːmɑːnj
अपहरण	əpʰəɾən
अपहर्ता	əpʰəɾt̪ɑː
अपितु	əpɪt̪uː
अपुष्ट	əpʊʃʈ
अपूर्ण	əpuːɾn
अपूर्व	əpuːɾʋə
अपेक्षा	əpeːkʃɑː
अपेक्षाकृत	əpeːkʃɑːkɾɪt̪
अपेक्षित	əpeːkʃɪt̪
अपॉइंटमेंट	əpɔːɪnʈmeːnʈ
अप्रकट	əpɾəkəʈ
अप्रकाशित	əpɾəkɑːʃɪt̪
अप्रचलित	əpɾət͡ʃəlɪt̪
अप्रत्यक्ष	əpɾət̪jəkʃ
अप्रत्याशित	əpɾət̪jɑːʃɪt̪
अप्रसन्न	əpɾəsənn
अप्रिय	əpɾɪj
अप्रैल	əpɾɛːl
अप्सरा	əpsəɾɑː
अफरना	əpʰəɾnɑː
अफ़वाह	əfʋɑːʱ
अफ़सर	əfsəɾ
अफ़साना	əfsɑːnɑː
अफ़सोसजनक	əfsoːsd͡ʒənək
अफ़ीम	əfiːm
अफ़ीमची	əfiːmt͡ʃiː
अफ़्ग़ानिस्तान	əfɡɑːnɪst̪ɑːn
अफ़्ग़ानिस्तान	əfɣɑːnɪst̪ɑːn
अफ़्रीका	əfɾiːkɑː
अफ़्लातून	əflɑːt̪uːn
अफ़्साना	əfsɑːnɑː
अबटाबाद	əbʈɑːbɑːd̪
अबाबील	əbɑːbiːl
अबिचल	əbɪt͡ʃəl
अबिवात्त	əbɪʋɑːt̪t̪
अबीर	əbiːɾ
अबोध	əboːd̪ʱ
अब्बा	əbbɑː
अब्र	əbɾ
अब्रू	əbɾuː
अभागा	əbʱɑːɡɑː
अभाव	əbʱɑːʋ
अभिकलित्र	əbʱɪkəlɪt̪ɾ
अभिकारक	əbʱɪkɑːɾək
अभिक्रिया	əbʱɪkɾiːjɑː
अभिगम	əbʱɪɡəm
अभिदृश्यक	əbʱɪd̪ɾɪʃjək
अभिनय	əbʱɪnəj
अभिनेता	əbʱɪneːt̪ɑː
अभिनेत्री	əbʱɪneːt̪ɾiː
अभिप्राय	əbʱɪpɾɑːj
अभिभावक	əbʱɪbʱɑːʋək
अभिभूत	əbʱɪbʱuːt̪
अभिमानी	əbʱɪmɑːniː
अभियंता	əbʱiːjənt̪ɑː
अभियंत्रिकी	əbʱiːjənt̪ɾɪkiː
अभियांत्रिकी	əbʱiːjɑːnt̪ɾɪkiː
अभियान	əbʱiːjɑːn
अभियुक्त	əbʱijʊkt̪
अभियोक्ता	əbʱiːjoːkt̪ɑː
अभियोग	əbʱiːjoːɡ
अभियोजक	əbʱiːjoːd͡ʒək
अभिरुचि	əbʱɪɾʊt͡ʃiː
अभिलाषा	əbʱɪlɑːʃɑː
अभिवादन	əbʱɪʋɑːd̪ən
अभिव्यक्त	əbʱɪʋjəkt̪
अभिव्यक्ति	əbʱɪʋjəkt̪iː
अभी	əbʱiː
अभूतपूर्व	əbʱuːt̪puːɾʋ
अभ्यस्त	əbʱjəst̪
अभ्यागत	əbʱjɑːɡət̪
अभ्यास	əbʱjɑːs
अभ्यासक्रम	əbʱjɑːskɾəm
अभ्यासवश	əbʱjɑːsʋəʃ
अभ्रक	əbʱɾək
अमचूर	əmt͡ʃuːɾ
अमन	əmən
अमरावती	əmɾɑːʋət̪iː
अमरीका	əmɾiːkɑː
अमरूद	əmɾuːd̪
अमल	əməl
अमानत	əmɑːnət̪
अमानती	əmɑːnət̪iː
अमान्य	əmɑːnj
अमावस	əmɑːʋəs
अमाशय	əmɑːʃəj
अमिट	əmɪʈ
अमीर	əmiːɾ
अमीरी	əmiːɾiː
अमुक	əmʊk
अमूल्य	əmuːlj
अमेरिका	əmeːɾɪkɑː
अमेरिकी	əmeːɾɪkiː
अमोघ	əmoːɡʱ
अम्बर	əmbəɾ
अम्मा	əmmɑː
अम्माँ	əmmɑ̃ː
अम्मी	əmmiː
अम्ल	əml
अम्लता	əmlt̪ɑː
अम्लता	əmlət̪ɑː
अम्लपित्त	əmlpɪt̪t̪
अम्लपित्त	əmləpɪt̪t̪
अम्लीय	əmliːj
अयस्	əjəs
अयस्क	əjəsk
अयोग्यता	əjoːɡjət̪ɑː
अयोध्या	əjoːd̪ʱjɑː
अरंडी	əɾənɖiː
अरक्तता	əɾəkt̪t̪ɑː
अरगनी	əɾəɡniː
अरथी	əɾt̪ʰiː
अरदली	əɾd̪əliː
अरब	əɾəb
अरबिंद	əɾbɪnd̪
अरमान	əɾmɑːn
अरविंद	əɾʋɪnd̪
अरस्तु	əɾəst̪uː
अरिहंत	əɾɪɦənt̪
अरुचि	əɾʊt͡ʃiː
अरुणोदय	əɾʊnoːd̪əj
अरे	əɾeː
अर्क़	əɾk
अर्क़	əɾq
अर्ज़	əɾz
अर्ज़ी	əɾziː
अर्जुन	əɾd͡ʒʊn
अर्जेंटीना	əɾd͡ʒeːnʈiːnɑː
अर्थ	əɾt̪ʰ
अर्थपूर्ण	əɾt̪ʰəpuːɾn
अर्थमिति	əɾt̪ʰəmɪt̪iː
अर्थव्यवस्था	əɾt̪ʰəʋjəʋəst̪ʰɑː
अर्थशास्त्री	əɾt̪ʰəʃɑːst̪ɾiː
अर्थात	əɾt̪ʰɑːt̪
अर्ध	əɾd̪ʱ
अर्धतत्सम	əɾd̪ʱət̪ət̪səm
अर्पित	əɾpɪt̪
अलंकार	ələŋkɑːɾ
अलकतरा	əlkət̪ɾɑː
अलगाव	əlɡɑːʋ
अलगाववाद	əlɡɑːʋʋɑːd̪
अलगाववादी	əlɡɑːʋʋɑːd̪iː
अलम	ələm
अलमारी	əlmɑːɾiː
अलविदा	əlʋɪd̪ɑː
अलादीन	əlɑːd̪iːn
अलापना	əlɑːpnɑː
अलाव	əlɑːʋ
अलीगढ़	əliːɡəɽʱ
अल्जीरिया	əld͡ʒiːɾiːjɑː
अल्पकारी	əlpəkɑːɾiː
अल्पसंख्यक	əlpsəŋkʰjək
अल्फ़ाज़	əlfɑːz
अल्बानिया	əlbɑːniːjɑː
अल्लाह	əllɑːʱ
अवकलज	əʋkələd͡ʒ
अवकलन	əʋkələn
अवकलनीय	əʋkələniːj
अवक्षेपण	əʋkʃeːpən
अवगुण	əʋɡʊn
अवज्ञा	əʋəɡjɑː
अवतल	əʋt̪əl
अवतार	əʋt̪ɑːɾ
अवध	əʋəd̪ʱ
अवधारण	əʋd̪ʱɑːɾən
अवधारणा	əʋd̪ʱɑːɾnɑː
अवधी	əʋd̪ʱiː
अवधी	əʋəd̪ʱiː
अवपंक	əʋpəŋk
अवयव	əʋjəʋ
अवलोकन	əʋloːkən
अवशोषण	əʋʃoːʃən
अवशोषित	əʋʃoːʃɪt̪
अवश्य	əʋəʃj
अवसर	əʋsəɾ
अवहट्ठ	əʋɦəʈʈʰ
अवहेलना	əʋɦeːlnɑː
अवाई	əʋɑːiː
अवाम	əʋɑːm
अवार्ड	əʋɑːɾɖ
अविकारी	əʋɪkɑːɾiː
अविचल	əʋɪt͡ʃəl
अविनय	əʋɪnəj
अविलंब	əʋɪləmb
अविवाहित	əʋɪʋɑːɦɪt̪
अव्यक्त	əʋjəkt̪
अव्वल	əʋʋəl
अशक्त	əʃəkt̪
अशरफ़ी	əʃəɾfiː
अशिष्ट	əʃɪʃʈ
अशुभ	əʃʊbʱ
अश्लील	əʃliːl
अश्व	əʃʋ
अश्वमेध	əʃʋəmeːd̪ʱ
अश्विनी	əʃʋɪniː
अष्टकोण	əʃʈkoːn
अष्टभुज	əʃʈbʱʊd͡ʒ
असंगत	əsəŋɡət̪
असंतुष्ट	əsənt̪ʊʃʈ
असंभव	əsəmbʱəʋ
असंभावित	əsəmbʱɑːʋɪt̪
असंवेदनशील	əsəmʋeːd̪ənʃiːl
असंवैधानिक	əsəmʋɛːd̪ʱɑːnɪk
असत्य	əsət̪j
असत्याभास	əsət̪jɑːbʱɑːs
असफल	əsəpʰəl
असम	əsəm
असमंजस	əsəməɲd͡ʒəs
असमीकरण	əsəmiːkɾən
असर	əsəɾ
असलियत	əsliːjət̪
असली	əsliː
असहमति	əsɛːʱmət̪iː
असहयोग	əsəʱjoːɡ
असहाय	əsɦɑːj
असहिष्णु	əsəɦɪʃnuː
असहिष्णुता	əsəɦɪʃnʊt̪ɑː
असाधारण	əsɑːd̪ʱɑːɾən
असुंदर	əsʊnd̪əɾ
असुरक्षित	əsʊɾəkʃɪt̪
असुविधा	əsʊʋɪd̪ʱɑː
असैनिक	əsɛːnɪk
अस्तबल	əst̪əbəl
अस्तित्व	əst̪ɪt̪ʋ
अस्थमा	əst̪ʰəmɑː
अस्थायी	əst̪ʰɑːjiː
अस्थि	əst̪ʰiː
अस्थिपंजर	əst̪ʰɪpəɲd͡ʒəɾ
अस्पताल	əspət̪ɑːl
अस्पृश्य	əspɾɪʃjə
अस्मिता	əsmɪt̪ɑː
अस्सी	əssiː
अहं	ɛːʱm
अहंकार	eːɦeːŋkɑːɾ
अहबाब	ɛːʱbɑːb
अहम	ɛːʱm
अहमियत	ɛːʱmiːjət̪
अहाता	əɦɑːt̪ɑː
अहिच्छत्र	əɦɪt͡ʃt͡ʃʰət̪ɾ
अहिनाह	əɦɪnɑːʱ
अहिभृत्	əɦɪbʱɾɪt̪
अहिर्बुश्न	əɦɪɾbʊʃn
अहिवात	əɦɪʋɑːt̪
अहिवाद	əɦɪʋɑːd̪
अहेरन	əɦeːɾən
आ	aː
आ	a
आ	ɑː
आँख	ɑ̃ːkʰ
आँगन	ɑ̃ːɡən
आँच	ɑ̃ːt͡ʃ
आँसू	ɑ̃ːsuː
आंकड़ा	ɑːŋkɽɑː
आंगन	ɑːŋɡən
आंतरिक	ɑːnt̪ɾɪk
आंदोलन	ɑːnd̪oːlən
आंवला	ɑ̃ːʋlɑː
आंशिक	ɑːnʃɪk
आइंदा	ɑːɪnd̪ɑː
आइज़ोल	ɑːɪzoːl
आइसक्रीम	ɑːɪskɾiːm
आइसलैंड	ɑːɪslɛːnɖ
आइस्ड	ɑːɪsɖ
आई	ɑːiː
आईला	ɑːiːlɑː
आक	ɑːk
आकर्षक	ɑːkəɾʃək
आकर्षण	ɑːkəɾʃən
आकर्षित	ɑːkəɾʃɪt̪
आकर्षी	ɑːkəɾʃiː
आकलन	ɑːkələn
आकस्मिक	ɑːkəsmɪk
आकांक्षा	ɑːkɑːŋkʃɑː
आकांक्षी	ɑːkɑːŋkʃiː
आकार	ɑːkɑːɾ
आकाश	ɑːkɑːʃ
आकाशवाणी	ɑːkɑːʃʋɑːniː
आकृति	ɑːkɾɪt̪iː
आक्रमण	ɑːkɾəmən
आक्रमणकारी	ɑːkɾəmənkɑːɾiː
आक्रामक	ɑːkɾɑːmək
आक्रामकता	ɑːkɾɑːməkt̪ɑː
आक्रोश	ɑːkɾoːʃ
आख़िर	ɑːkʰɪɾ
आख़िर	ɑːxɪɾ
आख़िरकार	ɑːkʰɪɾkɑːɾ
आख़िरकार	ɑːxɪɾkɑːɾ
आख़िरी	ɑːkʰɾiː
आख़िरी	ɑːxɾiː
आख़िरी	ɑːkʰɪɾiː
आख़िरी	ɑːxɪɾiː
आग	ɑːɡ
आगज़नी	aːɡzəniː
आगमन	ɑːɡəmən
आग़ाज़	ɑːɡɑːz
आग़ाज़	ɑːɣɑːz
आग़ोश	ɑːɡoːʃ
आग़ोश	ɑːɣoːʃ
आगाह	ɑːɡɑːʱ
आगाही	ɑːɡɑːɦiː
आगे	ɑːɡeː
आग्नेय	ɑːɡneːj
आग्नेयास्त्र	ɑːɡneːjɑːst̪ɾ
आग्रह	ɑːɡɾəʱ
आघ	ɑːɡʱ
आघात	ɑːɡʱɑːt̪
आघातपूर्ण	ɑːɡʱɑːt̪puːɾn
आचरण	ɑːt͡ʃəɾən
आछा	ɑːt͡ʃʰɑː
आज	ɑːd͡ʒ
आज़माना	ɑːzmɑːnɑː
आज़र्बैजान	ɑːzəɾbɛːd͡ʒɑːn
आज़ाद	ɑːzɑːd̪
आज्ञा	ɑːɡjɑː
आठ	ɑːʈʰ
आठवां	ɑːʈʰʋɑ̃ː
आडंबर	ɑːɖəmbəɾ
आडवाणी	ɑːɖʋɑːniː
आड़	ɑːɽ
आड़ू	ɑːɽuː
आण्विक	ɑːnʋɪk
आतंकमय	ɑːt̪əŋkməj
आतंकित	ɑːt̪əŋkɪt̪
आतमीयता	ɑːt̪miːjət̪ɑː
आतिशबाज़ी	ɑːt̪ɪʃbɑːziː
आतिशबाजी	ɑːt̪ɪʃbɑːd͡ʒiː
आतुर	ɑːt̪ʊɾ
आत्मकथा	ɑːt̪məkət̪ʰɑː
आत्मघात	ɑːt̪məɡʱɑːt̪
आत्मघाती	ɑːt̪məɡʱɑːt̪iː
आत्मविश्वास	ɑːt̪məʋɪʃʋɑːs
आत्मसमर्पण	ɑːt̪msəməɾpən
आत्मसात	ɑːt̪məsɑːt̪
आत्मसात्	ɑːt̪məsɑːt̪
