ёл	jɔɮ
булаацалдах	pʊɮaːt͡saɮtax
булга	pʊɮəɢ
булчирхай	pʊɮt͡ɕʰərxai
бурхан	pʊrxaŋ
буу	pʊː
буудал	pʊːtaɮ
бууз	pʊːt͡s
бууралтах	pʊːrəɮtʰəx
бух	pʊx
буян	pʊjaŋ
бэрс	pers
бэх	pex
бээжин	peːt͡ʃiŋ
бяруу	pʲarʊ
бясалгал	pʲasəɮɢəɮ
бясалгах	pʲasəɮɢəx
бүжигчин	put͡ɕəɡt͡ɕʰəŋ
бүйлс	puiɮs
бүрхүүл	purxuɮ
бүс	pus
бүх	pux
бөднө	potən
бөс	pɵs
бөө	poː
бөөлжих	poːɮt͡ɕəx
бөөс	poːs
ваар	w̜aːr
вагон	w̜aɡɔŋ
вакцин	w̜akʰt͡siŋ
ван	waŋ
википедиа	w̜ikʰipʰetia
вирус	w̜irʊs
вьетнам	w̜etʰnam
гавал	ɢawəɮ
гадил	ɢatʲəɮ
газарч	ɢat͡sərt͡ʃʰ
гал	ɢaɮ
галт	ɢaɮtʰ
галуу	ɢaɮʊ
ганжин	ɢant͡ɕəŋ
ганц	ɢant͡sʰ
гар	ɢar
гарал	ɡaraɮ
гарах	ɢarəx
гарчиг	ɢart͡ɕʰəɡ
гатлах	ɢatʰɮəx
герман	ɡermaŋ
герман	ɡermaŋ
гоймон	ɢɔiməŋ
голланд	ɡɔɮant
грек	ɡerekʰ
гуйх	ɢʊix
гулууз	ɢʊɮʊt͡s
гурав	ɢʊrəw
гурил	ɢʊrʲəɮ
гутаах	ɢʊtʰax
гутал	ɢʊtʰəɮ
гэдэс	ɡitis
гэлэн	ɡiɮəŋ
гэлэнмаа	ɡiɮəmma
гэмших	ɡimʃəx
гэр	ɡir
гэргий	ɡirɡiː
гэрэл	ɡiriɮ
гүзээлзгэнэ	ɡut͡seɮd͡zɡən
гүнж	ɡunt͡ɕ
гүрвэл	ɡurw̜iɮ
гүүр	ɡuːr
даваа	tawa
давс	taws
дайгдах	taiɡtəx
дайн	taiŋ
дайсан	taisaŋ
дайх	taix
далавч	taɮaw̜t͡ʃʰ
далай	taɮai
дани	tan
данс	tans
дарангуйлагч	taraŋɡʊiɮaɡt͡ʃʰ
дарс	tars
дарь	tarʲ
дасах	tasəx
дасгал	tasɢəɮ
дахин	taxʲəŋ
динозавр	tinɔt͡saw̜r
догшин	tɔɡʃəŋ
долоо	tɔɮɔː
долоох	tɔɮɔx
дорно	tɔrn
доромжлох	tɔrɔmt͡ʃɮɔx
дотор	tɔtʰər
дох	tɔx
дохих	tɔxʲəx
дудран	tʊtrəŋ
дун	tʊŋ
дурдах	tʊrtəx
дуудлага	tʊːtɮəɢ
дуулга	duɮɢa
дуулгавар	tʊːɮɢəwər
дуурь	tʊːrʲ
дуучин	tʊːt͡ɕʰəŋ
дэвтэр	tiw̜tʰir
дэвшил	tiwʃəɮ
дэвшилт	tiwʃəɮtʰ
дэвших	tiwʃəx
дэл	tiɮ
дэлгүүр	tiɮɡuːr
дэлхий	tiɮxiː
дэлэн	teɮəŋ
дэлүү	teɮu
дэнлүү	tenɮu
дэрс	tirs
дээл	teːɮ
дээр	teːr
дүнгэр	tuŋɡər
дөрөв	torəw
евровидение	jew̜rɔw̜itenie
египет	eɡiftʰ
ер	jer
ерөнхийлөгч	jorəŋxiɮəɡt͡ɕʰ
еэвэн	jeːwəŋ
жаал	t͡ɕaːɮ
жад	t͡ɕat
желон	d͡ʒelɔŋ
женев	dʒɛnɛf
жигнэмэг	t͡ɕiɡnəməɡ
жигүүр	t͡ʃiɡuːr
жижүүр	t͡ɕit͡ɕur
жимс	t͡ɕims
жор	t͡ɕɔr
жорлон	t͡ɕɔrɮəŋ
жууцай	t͡ɕʊːt͡sʰai
заан	t͡saːŋ
заар	t͡saːr
заах	t͡saːx
завод	t͡saw̜ɔt
завь	t͡sawʲ
заг	t͡saɡ
загас	t͡saɢəs
зайдуу	t͡saitʊ
залах	t͡saɮəx
залбирал	t͡saɮpiraɮ
залгамал	t͡saɮɢəməɮ
залгах	t͡saɮɢəx
залгуур	t͡saɮɢʊr
залуу	t͡saɮʊ
залуур	t͡saɮʊr
зам	t͡sam
замбага	t͡sampəɢ
зан	t͡saŋ
занах	t͡sanəx
зангилаа	t͡saŋɡʲəɮa
зангуу	t͡saŋɢʊ
зарим	t͡sarʲəm
заримдаа	t͡sarʲəmta
зарлал	t͡sarɮaɮ
зарц	t͡sart͡s
засаг	t͡sasəɡ
зах	t͡sax
зовлон	t͡sɔwɮəŋ
зогсох	t͡sɔɡsəx
золбин	t͡sɔɮʲpʲəŋ
золгох	t͡sɔɮɢəx
зориг	t͡sɔrʲəɡ
зориглох	t͡sɔrʲəɡɮəx
зоригоор	t͡sɔrʲəɡɔr
зоригт	t͡sɔrʲəɡtʰ
зорилго	t͡sɔrʲəɮəɢ
зорилт	t͡sɔrʲəɮtʰ
зоримгой	t͡sɔrʲəmɢɔi
зоримог	t͡sɔrʲəməɡ
зориуд	t͡sɔrʲʊt
зориулах	t͡sɔrʲʊɮəx
зорих	t͡sɔrʲəx
зочин	t͡sɔt͡ʃʰiŋ
зугтах	t͡sʊɡtʰəx
зузаан	t͡sʊt͡saŋ
зул	t͡sʊɮ
зулзага	t͡sʊɮt͡səɢ
зун	t͡sʊŋ
зураач	t͡sʊraːt͡ʃʰ
зураг	t͡sʊraɡ
зурагт	t͡sʊrəɡtʰ
зурвас	t͡sʊrwəs
зуух	t͡sʊːx
зэвсэг	t͡siwsəɡ
зэрлэг	t͡serɮəɡ
зэрэг	t͡sirəɡ
зэс	t͡sis
зээр	t͡seːr
зээргэнэ	t͡seːrɡən
зүй	t͡sui
зүйр	t͡suir
зүйрлэл	t͡suirɮəɮ
зүйрлэх	t͡suirɮəx
зүс	t͡sus
зүү	t͡suː
зүүд	t͡suːt
зүүдлэх	t͡suːtɮəx
зүүн	t͡suːŋ
зөвлөгөө	t͡sowɮəɡo
зөвшөөрөх	t͡sowʃorəx
зөрүүдлэх	t͡sorutɮəx
ивээл	iweːɮ
идэх	itəx
израиль	it͡sraiɮʲ
илд	iɮt
иллэг	iɮɮiɡ
имрэх	imrəx
индонез	intɔnet͡s
индүү	intuː
инээмсэглэх	ineːmsiɡɮix
иран	iraŋ
ирвэс	irwəs
ирц	irt͡sʰ
ирэх	irəx
ирээдүй	iretui
исланд	isɮant
испани	ispʰan
итали	itʰaɮ
ихэр	ixər
календарь	kaɮendarʲ
канад	kʰanat
каучук	kʰaʊt͡ʃʰʊkʰ
кино	kʰinɔ
кинотеатр	kʰinɔtʰeatʰr
компьютер	kʰɔmpʰjʊtʰər
кофе	kʰɔf
лийр	ɮiːr
лхагва	ɬawəɡ
лхас	ɬas
маажих	maːt͡ɕəx
магтаал	maɡtʰaɮ
магтаал	maxtaɮ
магтах	maxtă
мал	maɮ
малайз	maɮait͡s
малгай	maɮɢai
маллах	maɮɮəx
малчин	maɮt͡ɕʰəŋ
манан	manəŋ
манж	mant͡ɕ
мануул	manʊɮ
массаж	masat͡ʃ
мастурбаци	məstʊrbat͡sɨ
мах	max
махийх	maxʲix
махчин	maxt͡ɕʰəŋ
маш	maʃ
машин	maʃiŋ
мексик	mekʰsikʰ
металл	metʰaɮ
минут	minʊtʰ
мисир	misir
могой	mɔɢɔi
мод	mɔt
модоч	mɔtət͡ɕʰ
мойл	mɔiɮ
молтогчин	mɔɮtʰəɣt͡ɕən
монгол	mɔŋɢəɮ
монгол	mɔŋɢəɮ
морилох	mɔrʲɮəx
морь	mɔrʲ
москва	mɔskʰw̜a
мотоцикл	mɔtʰɔt͡sikʰɮ
муж	mʊt͡ɕ
мусульман	mʊsʊɮʲmaŋ
муу	mõː
мушгирах	mʊʃɡʲərəx
мэдэрхэх	mitərxəx
мэдэх	mitəx
мэдээ	miteː
мэдээлэл	miteɮəɮ
мэлхий	miɮxi
мэндлэх	mintɮix
мэндчилгээ	mintt͡ʃʰiɮɡeː
мэргэжил	mirəɡt͡ɕəɮ
мэргэжилтэн	mirəɡt͡ɕəɮtʰəŋ
мэс	mis
мэт	mitʰ
мэхээр	mixer
мөн	moŋ
мөнгө	moŋɡ
мөнх	moŋx
мөр	mor
мөрөвч	morəwt͡ɕʰ
мөрөөдөл	morotəɮ
мөс	mos
мөчир	mot͡ɕʰər
надад	natət
най	nai
найдах	naitəx
найз	nait͡s
наймалж	naimaɮt͡ʃ
найтаах	naitʰax
нам	nam
намар	namar
намтар	namtʰər
нарийн	narʲiŋ
непал	nepʰaɮ
нидерланд	niterɮant
нийгэм	niːɡim
нийтгэх	niːtʰɡex
нил	niɮ
ноён	nɔjəŋ
норвеги	nɔrw̜eɡ
нохой	nɔxɔi
нугалам	nʊɢɮəm
нурам	nʊrəm
нуур	nʊːr
нууц	nʊːt͡s
нь	ni̯
нэг	niɡ
нэр	nir
нэхмэл	nixməɮ
нээлттэй	neːɮtʰtʰe
нээх	neːx
нялх	nʲaɮx
нүдүүр	nutur
нөгөө	nəɡo
нөлөө	noɮo
нөхөр	nɵxɵr
нөөц	noːt͡sʰ
нөөцлөх	noːt͡sʰɮəx
оёдол	ɔjtəɮ
овьёос	ɔwjɔs
огих	ɔɡʲəx
оготор	ɔɢtʰər
огурцы	oɡərt͡sʰi
одоо	ɔtɔ
озох	ɔt͡sɔx
ойлгох	ɔiɮɢəx
оймс	oims
олон	ɔɮəŋ
омог	ɔməɡ
онгоц	ɔŋɢət͡sʰ
онигоо	ɔnʲɢɔ
оноо	ɔnɔ
онь	ɔnʲ
оньс	ɔnʲs
оочир	ɔːt͡ɕʰər
опер	ɔpʰer
ор	ɔr
орой	ɔrɔi
оройвч	ɔrɔiwt͡ɕʰ
ором	ɔrəm
орон	ɔrəŋ
орос	ɔrɔs
орос	ɔrɔs
орох	ɔrəx
орчуулах	ɔrt͡ʃʰʊːɮax
орчуулга	ɔrt͡ʃʰʊːɮɡ
оффис	ɔffis
охин	ɔxiŋ
очих	ɔt͡ɕʰəx
оюутан	ɔjʊtʰəŋ
пальто	pʰaɮʲtʰɔ
парламент	pʰarɮamentʰ
паспорт	pʰaspʰərtʰ
пигүүж	pʰiɡut͡ɕ
пиджак	pʰitt͡ʃakʰ
пийшин	pʰiːʃəŋ
подвоолк	pʰɔtw̜ɔːɮkʰ
польш	pʰɔɮʲʃ
португал	pʰɔrtʰʊɡaɮ
програм	pʰrɔɡram
пуужин	pʰʊːt͡ɕəŋ
размер	rat͡smer
резин	ret͡siŋ
резин	irt͡seːŋ
рубль	rʊpɮʲ
саатал	saːtʰəɮ
саваа	sawa
савар	sawər
сайд	sait
сайн	sɛ̃ːŋ
сайхан	saixaŋ
салах	saɮəx
салхи	saɮʲxʲ
сам	sam
самбар	sampər
сампин	sampʰiŋ
сан	saŋ
санах	sanəx
сансар	sansər
сар	sar
сарлаг	sarɮəɡ
сармис	sarmʲəs
соёл	sɔjəɮ
соёо	sɔjɔː
сойз	sɔit͡s
солих	sɔɮʲəx
солонго	sɔɮəŋɢ
солонгос	sɔɮɔŋɡəs
сонгох	sɔŋɢəx
сонгууль	sɔŋɢʊɮʲ
сонин	sɔniŋ
сонирхол	sɔnʲərxəɮ
сонсох	sɔnsəx
сорих	sɔrʲəx
судар	sʊtər
сул	soɬ
сум	sʊm
суралцах	sʊraɮt͡sax
сурах	sʊrəx
сурвалж	sʊrwəɮt͡ɕ
сургах	sʊrɡax
сургууль	sʊrɢʊɮʲ
суух	sʊːx
сэжиг	sit͡ɕəɡ
сэлэх	seɮəx
сэрэх	serəx
сэтгэл	sitʰɡəɮ
сэтгүүл	setʰɡuɮ
сүмс	sums
сүрчиг	surt͡ʃʰik
сүрэг	surəɡ
сүү	suː
сүүдэр	suːtər
таах	tʰaːx
тав	tʰaw
тавих	tʰawʲəx
тавхай	tʰawxai
тайван	tʰaiw̜aŋ
тайланд	tʰaiɮant
такси	tʰakʰsi
талбай	tʰaɮpai
тамах	tʰaməx
тамга	tʰaməɢ
танц	tʰant͡sʰ
тарвага	tʰarwəɢ
тархах	tʰarxəx
тархи	tʰarʲxʲ
татах	tʰatʰəx
татвар	tʰatʰw̜ər
тахиа	tʰaxʲa
таяг	tʰajəɡ
тб	tʰɪrpʊm
театр	tʰeatʰr
тегеран	tɪɡɪrɑŋ
телевиз	tʰeɮew̜it͡s
телевизор	tʰeɮew̜it͡sɔr
телефон	tʰeɮefɔŋ
тив	tʰiw̜
товч	tʰɔwt͡ɕʰ
тоглоом	tʰɔɡɮɔːm
тогос	tʰɔɢəs
тогтоол	tʰɔɡtʰɔɮ
тогтоомж	tʰɔɡtʰɔmt͡ɕ
тогтоох	tʰɔɡtʰɔx
тойруу	tʰɔirʊ
толгой	tʰɔɮɢɔi
толь	tʰɔɮʲ
том	tʰɔm
томох	tʰɔməx
томсох	tʰɔmsəx
тоормос	tʰɔːrməs
тор	tʰɔr
торго	tʰɔrəɢ
тос	tʰɔs
трактор	tʰrakʰtʰər
трамвай	tʰramw̜ai
тулуй	tʰʊɮʊi
тунадас	tʰʊntəs
туршлага	tʰʊrʃɮəɢ
тусламж	tʰʊsɮəmt͡ɕ
туулай	tʰʊːɮai
тухай	tʰʊxai
тухайд	tʰʊxait
тухайн	tʰʊxaiŋ
тэвнэ	tʰiwən
тэвэр	tʰiwər
тэг	tʰiɡ
тэмцэх	tʰimt͡six
тэмцээн	tʰimt͡seːŋ
тэмээ	tʰime
тэнгис	tʰiŋɡəs
тэнгэр	tʰiŋɡir
тэр	tʰir
тэрс	tʰirs
тэрэг	tʰirəɡ
тэс	tʰis
түймэр	tʰuimər
түлхэх	tuɮxəx
түлэгдэлт	tʰuɮəɡtəɮtʰ
түүх	tʰuːx
төвөд	tʰɵwtə
төгрөг	tʰɵɡrəɡ
төстэй	tʰostʰe
уг	ʊɡ
удган	ʊtɢəŋ
удирдамж	ʊtirtamt͡ʃ
украин	ʊkʰraiŋ
улаан	ʊɮaːŋ
улаанбаатар	ʊɮaːmpaːtʰər
улаанцав	ʊɮant͡sʰəw
уламжлалт	ʊɮəmt͡ɕɮəɮtʰ
улиас	ʊɮʲas
унах	ʊnəx
унгах	ʊŋɡax
унших	ʊnʃəx
урвах	ʊrwəx
урлаг	ʊrɮaɡ
уруул	ʊrʊɮ
ус	ʊs
утаа	ʊtʰa
утас	ʊtʰəs
утга	ʊtʰəɢ
уу	ʊː
уул	ʊːɮ
уур	ʊːr
уурга	ʊːrəɢ
уурхай	ʊːrxai
уух	ʊːx
уучлаарай	ʊːt͡ʃʰɮaːrai
уушги	ʊːʃəɡʲ
файл	faiɮ
факс	fakʰs
факсдах	fakʰstax
ферм	ferm
фильм	fiɮʲm
финланд	finɮant
финлянд	finɮjant
франц	frant͡s
франц	frant͡s
футболк	fʊtʰpɔɮkʰ
хаалга	xaːɮəɢ
хаан	xaːŋ
хаана	xaːn
хаах	xaːx
хавар	xaw̜ər
хавирга	xawʲrəɢ
хавч	xawt͡ɕʰ
хавчих	xawt͡ɕʰəx
хаг	xaɡ
хага	xaɢ
хагарах	xaɢrəx
хад	xat
хадаас	xataːs
хадаг	xatəɡ
хадуур	xatʊr
хазаар	xat͡sar
хазах	xat͡səx
хайлмаг	xaiɮməɡ
хайнаг	xainəɡ
хайр	xair
хайрлах	xairɮəx
хайх	xaix
хайч	xait͡ɕʰ
хайчлах	xait͡ɕʰɮəx
халаад	xaɮat
хамгаалах	xamɡaːɮax
хамт	xamtʰ
ханз	xant͡s
харайх	xaraix
харваа	xarwa
харваач	xarwat͡ɕʰ
харгана	xarɢən
харин	xarʲəŋ
хариу	xarʲʊ
хатмал	xatʰməɮ
хахууль	xaxʊɮʲ
хаялах	xajɮəx
хаях	xajəx
хдхв	xeːteːxeːweː
хиам	xʲaːm
хижээл	xit͡ɕeɮ
хий	xiː
хиймэл	xiːməɮ
хийх	xiːx
хил	xiɮ
хирс	xirs
хоёр	xɔjər
хог	xɔɡ
хойг	xɔiɡ
хол	χɔɬ
холбоо	xɔɮpɔ
холтос	xɔɮtʰəs
хонь	xɔnʲ
хоол	xɔːɮ
хорвоо	xɔrwɔ
хордох	xɔrtəx
хорсох	xɔrsəx
хос	xɔs
хотын	xɔtʰiŋ
хошного	xɔʃnəɢ
хуанли	xʊaŋɮi
хуваарь	xʊw̜aːrʲ
хувсьгал	xuvəsxɑɮ
хувцас	xʊwt͡sʰəs
хувь	xʊwʲ
хугацаа	xʊɢt͡sʰa
худал	xʊtəɮ
худалдах	xʊtəɮtəx
худалч	xʊtəɮt͡ɕʰ
хударга	xʊtrəɢ
хуй	xʊi
хулгана	xʊɮɢən
хулхи	xʊɮxʲ
хумс	xʊms
хун	xʊn
хураамж	xʊraːmt͡ʃ
хурал	xʊrəɮ
хурга	xʊrəɢ
хурим	xʊrʲəm
хуруу	xʊrʊ
хуруувч	xʊrʊwt͡ɕʰ
хурхирах	xʊrʲxʲərəx
хусах	xʊsəx
хутга	xʊtʰəɢ
хуудас	xʊːtas
хууль	xʊːɮʲ
хуурах	xʊːrəx
хуурга	xʊːrəɢ
хуушуур	xʊːʃʊr
хэбид	xipit
хэдэрлэх	xetərɮəx
хэзээ	xit͡seː
хэлэх	xiɮəx
хэм	xim
хэмжээ	ximt͡ɕe
хэн	xiŋ
хэрэг	xirəɡ
хэрэг	kereɡ
хэрэглэгдэх	xirəɡɮəɡtə
хэрэглэгдэхүүн	xiriɡɮiɡtixuːŋ
хэрэглэл	xirəɡɮəɮ
хэрэглэх	xirəɡɮəx
хэрэглэх	kereɡlexʉ
хэрэглээ	xirəɡɮe
хэрэглүүр	xirəɡɮur
хэрэгтэй	xirəɡtʰe
хэрүүл	xiruɮ
хэтэвч	xetʰəwt͡ɕʰ
хэхрэх	xixrix
хээр	xeːr
хязгаар	xʲat͡sɢar
хялгас	xʲaɮʁas
хяргах	xʲarɢəx
хятад	xjatʰat
хятад	xjatʰat
хүзүү	xut͡su
хүмүүн	xumuŋ
хүнд	xunt
хүнс	xuns
хүнцэл	xunt͡siɮ
хүрз	xurts
хүрхрээ	xurxre
хүрэл	xurəɮ
хүрэлзгэнэ	xurəɮt͡sɡən
хүрэх	xurəx
хүсэх	xusəx
хүч	xut͡ɕʰ
хүү	xuː
хүүхэд	xuːxət
хүүхэлдэй	xuːxəɮte
хөвүүн	xɵw̜uːŋ
хөгжим	xɵɡt͡ʃim
хөгжимчин	xoɡt͡ɕəmt͡ɕʰəŋ
хөдлөх	xotɮəx
хөмрүүлэх	xomruɮəx
хөмрөх	xomrəx
хөмүүн	xomuŋ
хөнжил	xɵnt͡ɕəɮ
хөнөг	xonəɡ
хөргүүр	xɵrɡuːr
хөргөгч	xɵrɡɵɡt͡ʃʰ
хөрс	xors
хөрш	xorʃ
хөрөө	xoro
хөхүүр	xoxur
хөхөх	xɵxəx
хөөмий	xoːmij
хөөрөг	xoːrəɡ
цаасан	t͡sʰaːsəŋ
цавуу	t͡sʰawʊ
цагаан	t͡saɢaːŋ
цаглабар	t͡saɡɮapar
цадиг	t͡sʰatʲəɡ
цай	t͡sai
цайллага	t͡sʰaiɮɮəɢ
цайр	t͡sʰair
цамц	t͡samt͡s
цангах	t͡sʰaŋɢəx
царс	t͡sʰars
цас	t͡sʰas
цирк	t͡sirkʰ
цогц	t͡sʰɔɡt͡sʰ
цогцос	t͡sʰɔɡt͡sʰəs
цонх	t͡sɔŋx
цохих	t͡sʰɔxʲəx
цуйван	t͡sʰʊiwəŋ
цус	t͡sʰʊs
цэвэрлэх	t͡sʰewərɮəx
цэг	t͡siɡ
цэрэг	t͡sʰerəɡ
цүүц	t͡sʰuːt͡sʰ
цөл	t͡sʰoɮ
цөцгий	t͡sʰot͡sʰɡi
цөөн	t͡sʰoːŋ
чавхдас	t͡ɕʰawxtəs
чагнаал	t͡ɕʰaɡnaɮ
чек	t͡ʃʰekʰ
чемодан	t͡ʃʰemtaŋ
чийг	t͡ɕʰiːɡ
чийдэн	t͡ɕʰiːtəŋ
чингис	t͡ɕʰiŋɡəs
чинжүү	t͡ʃʰint͡ʃuː
чих	t͡ɕʰix
чухаг	t͡ɕʰʊxəɡ
чухал	t͡ɕʰʊxəɮ
чөмөг	t͡ɕʰoməɡ
шаазгай	ʃaːt͡sɢai
шаардах	ʃaːrtəx
шаардлага	ʃaːrtɮəɢ
шавар	ʃawər
шал	ʃaɮ
шалбархай	ʃaɮparxai
шалгалт	ʃaɮɢəɮtʰ
шалгах	ʃaɮɢəx
шалгуур	ʃaɮɢʊr
шанаа	ʃana
шанд	ʃant
шанз	ʃant͡s
шар	ʃar
шатаах	ʃatʰax
шатар	ʃatʰər
шахах	ʃaxəx
швед	ʃw̜et
шивнэх	ʃiwnəx
шивээс	ʃiwes
шийдвэр	ʃiːtwər
шийжүү	ʃiːt͡ɕu
шил	ʃiɮ
шилбэ	ʃiɮp
шилүүс	ʃiɮus
шингэн	ʃiŋɡəŋ
шинэ	ʃin
шинэлэг	ʃinɮəɡ
ширээ	ʃire
шодой	ʃɔtɔi
шоколад	ʃɔkʰɮat
шонхор	ʃɔŋxɔr
шоо	ʃɔː
шоргоолж	ʃɔrɡɔːɮt͡ʃ
шорлог	ʃɔrɮəɡ
шороо	ʃɔrɔː
шпагетти	ʃpʰaɡetʰtʰ
шувуу	ʃʊwʊ
шугам	ʃʊɢəm
шулуун	ʃʊɮʊŋ
шуудан	ʃʊːtaŋ
шээх	ʃeːx
шүд	ʃud
шүлс	ʃuɮs
шүүдэр	ʃuːtər
шүүр	ʃuːr
шүүрдэх	ʃuːrtix
шүүс	ʃuːs
шүүслэг	ʃuːsɮəɡ
шүүслэх	ʃuːsɮəx
шөнө	ʃɵn
эв	iw
эвэр	ewər
эзэн	it͡səŋ
экзистэнциализм	ɛqzistɛntsjɑlizm
элэг	iɮəɡ
эм	im
эмнэлэг	imnəɮəɡ
эмчилгээ	emt͡ɕʰəɮɡe
эмэгтэй	eməɡtʰe
эмээ	eme
эмээл	imeɮ
энэ	in
энэтхэг	initʰxiɡ
эр	ir
эрзээн	irt͡seːŋ
эрх	irx
эрхийвч	irxiwt͡ɕʰ
эрхтэн	irxtʰiŋ
эрхүү	erxuː
эрч	irt͡ɕʰ
эрүү	eru
эсгий	isɡi
эх	ix
эхлэх	exɮəx
эхнэр	ixnir
ээмэг	eːmik
юм	jʊm
юм	jʊm
юмдүүжин	jʊmtuːt͡ʃiŋ
юмсан	jʊmsaŋ
юу	jʊː
явдал	jawtəɮ
явц	jawt͡sʰ
явцуу	jawt͡sʰʊ
ямаа	jama
ямар	jamər
янжуур	jaŋt͡ɕʊr
янз	jant͡s
япон	japʰɔn
ятга	jatʰəɢ
ятуу	jatʰʊ
үг	uɡ
үгийн	uɡiŋ
үдэш	utiʃ
үе	uj
үзэх	ut͡səx
үзүүр	ut͡sur
үйл	uiɮ
үйлдвэр	uiɮtwər
үйлдвэржих	uiɮtwərt͡ɕəx
үйлдвэрлэл	uiɮtwərɮəɮ
үйлдвэрлэх	uiɮtwərɮəx
үйлдвэрчин	uiɮtwərt͡ɕʰəŋ
үйлдэл	uiɮtəɮ
үйлдэх	uiɮtəx
үйлчилгээ	uɮt͡ʃʰiɮɡeː
үйлчлэх	uiɮt͡ɕʰɮəx
үйлчлүүлэгч	uiɮt͡ʃʰɮuːɮiɡt͡ʃʰ
үлээх	uɮex
үндэс	untəs
үндэсний	untisniː
үндэстэн	untəstəŋ
үнс	uns
үнсэх	unsix
үнэ	un
үнэн	unəŋ
үнээ	une
үр	ur
үсрэх	usrix
үтрэм	utʰrəm
үтрээ	utʰre
үхэр	uxər
үүргэвч	uːrɡiw̜t͡ʃʰ
өвдөг	owtəɡ
өвс	ows
өвөл	ɵw̜ɵɮ
өглөө	ɵɡɮoː
өгөх	oɡəx
өд	ot
өдөр	ɵtər
өлмий	oɮmi
өлсгөлөн	oɮsɡəɮəŋ
өлсөх	oɮsəx
өмд	ɵmt
өмнө	ɵmn
өмсөх	omsəx
өнгө	ɵŋɡ
өнчин	ont͡ɕʰəŋ
өр	ɵr
өргөн	ɵrɡəŋ
өрсөлдөгч	ɵrsɵɮtɵɡt͡ʃʰ
өрөм	orəm
өтгөн	otʰɡəŋ
өчүүхэн	ot͡ɕʰuxəŋ
өөлд	oːɮtə
өөр	oːr
өөрчлөлт	oːrt͡ɕʰɮəɮtʰ
өөрчлөх	oːrt͡ɕʰɮəx
өөх	oːx
өөхлөг	oːxɮəɡ
өөш	oːʃ
ᠪᠠᠭᠠᠲᠤᠷ	baːtər
ᠪᠤᠤᠽ	bʊːt͡s
ᠫᠦ᠋ᠲ᠋ᠯᠧᠷ	putʰɮir
ᠬᠠᠭᠠᠨ	xɑːn
ᠰᠤᠮᠤ	sʊm
ᠱᠠᠹᠠ	ʃafa
ᠵᠡᠭᠦᠨᠭᠠᠷ	d͡ʒuːnɡar
