aalenian	aːlenian
atrage	atradʒe
atroce	atrot͡ʃe
atrocitate	atrot͡ʃitate
atrocitatea	atrot͡ʃitate̯a
atrocități	atrot͡ʃitət͡sʲ
atrocității	atrotʃitətsiː
atrocitățile	atrot͡ʃitət͡sile
atrocităților	atrot͡ʃitət͡silor
ață	at͡sə
ați	at͡sʲ
audacie	audat͡ʃie
autoritate	autoritate
avansa	avansa
avansat	avansat
avansă	avansə
avantaj	avantaʒ
avantaje	avantaʒe
avem	avem
aveți	avetsʲ
avid	avid
azer	azer
azeră	azerə
azerbaidjan	azerbajd͡ʒan
azere	azere
azeri	azerʲ
ăla	əla
ăsta	əsta
ăsteia	əsteja
ăștia	əʃtja
â	ɨdina
baba	baba
babă	babə
babe	babe
baia	baja
baie	baje
balcanic	balkanik
balcoane	balko̯ane
baligă	baliɡə
baltă	baltə
baltic	baltik
banița	banʲt͡sa
bardou	bardow
basma	basma
băiat	bəjat
băiețaș	bəjɛtsaʃ
băiețași	bəjet͡saʃʲ
băiețașii	bəjetsaʃiː
băiețașilor	bəjetsaʃilor
băiețașul	bəjet͡saʃul
băiețașul	bəjet͡saʃu
băiețașului	bəjet͡saʃuluj
băieței	bəjet͡sej
băiețeii	bəjetseji
băiețeilor	bəjetsejlor
băiețel	bəjɛtsɛl
băiețelul	bəjet͡selul
băiețelul	bəjet͡selu
băiețelului	bəjet͡seluluj
bănescu	bɘnesku
bănui	bənui
bărbatul	bərbatul
bărbatul	bərbatu
bărbatului	bərbatuluj
bărbații	bərbat͡siː
bărbaților	bərbat͡silor
bărbătesc	bərbətesk
bărbătește	bərbəteʃte
bărbie	bərbie
bea	be̯a
beam	bʲam
beat	be̯at
beata	be̯ata
beau	bʲæw
bei	bej
beijing	bejʒiŋ
beijing	bejʒiŋɡ
bem	bem
bengalez	beŋɡalez
beniamin	benjamin
beregată	bereɡatə
beregate	bereɡate
beri	berʲ
bestial	bestial
bestialitate	bestialitate
bețiv	bet͡siv
bibescu	bibesku
biblioteca	biblioteka
bibliotecă	bibliotekə
bineînțeles	bineɨntseles
biofizică	biofizikə
biofizician	biofizit͡ʃjan
biserică	biserikə
bloca	bloka
boală	bwalə
boașe	bo̯aʃe
boașele	bo̯aʃele
boașelor	bo̯aʃeloɾ
boemia	boemia
bogat	boɡat
bogdan	boɡdan
bogdan	boɡdan
boi	boj
boli	bolʲ
bolnăvicios	bolnəvit͡ʃjos
bondar	bondar
borî	borɨ
boș	boʃ
boșul	boʃul
boșul	boʃu
boșului	boʃuluj
botez	botez
boteza	boteza
botezuri	botezurʲ
brazilia	brazilia
brazilian	brazilian
brâncă	brɨnkə
bruia	bruja
brunei	brunej
buc	buk
buca	buka
bucă	bukə
buci	butʃʲ
bucile	butʃilɛ
bulbuca	bulbuka
bulgar	bulɡar
bulgară	bulɡarə
bulgăresc	bulɡəresk
bulgărește	bulɡəreʃte
bumbac	bumbak
buna	buna
bună	bunə
bune	bune
bunic	bunik
burete	burete
busolă	busolə
buzărnescu	buzərnesku
buzunar	buzunar
cadavre	kadavre
cadavrele	kadavrele
cadavrelor	kadavrelor
cadavru	kadavru
cadavrul	kadavrul
cadavrul	kadavru
cadavrului	kadavruluj
cadă	kadə
caldarâm	kaldarɨm
calitate	calitate
cambodgia	kambod͡ʒia
canada	kanada
canadian	kanadian
canale	kanale
cană	kanə
caos	kaos
capabilitate	capabilitate
capacitate	kapatʃitate
capăt	kapət
capete	kapete
capitula	kapitula
capul	kapul
capul	kapu
caracter	karakter
caraghios	karaɡjos
cartă	kartə
carte	karte
cartilaj	kartilaʒ
cartof	kartof
cartofi	kartofʲ
casă	kasə
castron	kastɾon
catalan	katalan
catalană	katalanə
catalane	katalane
catalani	katalanʲ
catalonia	katalonia
cataloniei	kataloniej
catarg	katarɡ
cazan	kazan
cazi	kazʲ
că	kə
căcat	kəkat
cădea	kəde̯a
călătoare	kələto̯are
călătorea	kələtorja
călătoreai	kələtorjaj
călătoream	kələtorjam
călătorească	kələtorjaskə
călătoreați	kələtorjatsʲ
călătoreau	kələtorjaw
călătoresc	kələtoresk
călătorește	kələtoreʃte
călătorești	kələtoreʃtʲ
călători	kələtori
călători	kələtorʲ
călători	kələtorʲ
călătorie	kələtorie
călătorii	kələtoriː
călătorim	kələtorim
călătorind	kələtorind
călătoriră	kələtorirə
călătorirăm	kələtorirəm
călătorirăți	kələtorirətsʲ
călătorise	kələtorise
călătorisem	kələtorisem
călătoriseră	kələtoriserə
călătoriserăm	kələtoriserəm
călătoriserăți	kələtoriserətsʲ
călătoriseși	kələtoriseʃʲ
călătoriși	kələtoriʃʲ
călătorit	kələtorit
călătorita	kələtorita
călătorită	kələtoritə
călătorite	kələtorite
călătoritei	kələtoritej
călătoritele	kələtoritele
călătoritelor	kələtoritelor
călătoritul	kələtoritul
călătoritul	kələtoritu
călătoritului	kələtorituluj
călătoriți	kələtorit͡sʲ
călătoriții	kələtorit͡siː
călătoriților	kələtorit͡silor
călinescu	kəlinesku
căprioară	kəprio̯arə
căprior	kəprior
cărtărescu	kərtəresku
cărticică	kɘ̯ʳtit͡ʃikə
cărți	kərt͡sʲ
cătălin	kətəlin
către	kətɾe
cățea	kətse̯a
câmpina	kɨ̯mpina
când	kɨnd
cânt	kɨnt
cânta	kɨnta
cântată	kɨntatə
cântărețe	kɨntəret͡se
cântăreței	kɨntəret͡sej
cântărețelor	kɨntəret͡selor
cântăreți	kɨntəret͡sʲ
cântăreților	kɨntəret͡silor
cântărețului	kɨntəret͡suluj
cântând	kɨntɨnd
cânți	kɨnt͡sʲ
câștig	kɨʃtiɡ
câștiga	kɨʃtiɡa
câștigat	kɨʃtiɡat
câștigați	kɨʃtiɡat͡sʲ
câștigă	kɨʃtiɡə
câștigăm	kɨʃtiɡəm
câștige	kɨʃtid͡ʒe
câștigi	kɨʃtid͡ʒʲ
ce	t͡ʃe
ceai	tʃaj
ceaușescu	t͡ʃe̯auʃesku
ceh	t͡ʃex
cehă	t͡ʃehə
cel	tʃel
central	t͡ʃentral
centrală	t͡ʃentɾalə
centrale	t͡ʃentɾale
cenzura	t͡ʃenzura
cenzura	t͡ʃenzura
cenzurai	t͡ʃenzuraj
cenzuram	t͡ʃenzuram
cenzurară	t͡ʃenzurarə
cenzurarăm	t͡ʃenzurarəm
cenzurarăți	t͡ʃenzurarətsʲ
cenzurase	t͡ʃenzurase
cenzurasem	t͡ʃenzurasem
cenzuraseră	t͡ʃenzuraserə
cenzuraserăm	t͡ʃenzuraserəm
cenzuraserăți	t͡ʃenzuraserətsʲ
cenzuraseși	t͡ʃenzuraseʃʲ
cenzurași	t͡ʃenzuraʃʲ
cenzurat	t͡ʃenzurat
cenzurați	t͡ʃenzurat͡sʲ
cenzurau	t͡ʃenzuraw
cenzură	t͡ʃenzurə
cenzurăm	t͡ʃenzurəm
cenzurând	t͡ʃenzurɨnd
cenzurează	t͡ʃenzurjazə
cenzurez	t͡ʃenzurez
cenzureze	t͡ʃenzureze
cenzurezi	t͡ʃenzurezʲ
cer	t͡ʃer
cerbice	tʃerbitʃe
cere	t͡ʃere
cerea	t͡ʃerʲæ
cerere	t͡ʃerere
ceri	tʃerʲ
cerneală	tʃerne̯alə
cerui	t͡ʃeruj
ceruse	t͡ʃeruse
cetățean	t͡ʃetət͡se̯an
cetățeană	t͡ʃetət͡se̯anə
cetățeancă	t͡ʃetət͡se̯ankə
cetățence	t͡ʃetət͡sent͡ʃe
cetățene	t͡ʃetət͡sene
cetățeni	t͡ʃetət͡senʲ
ceva	t͡ʃeva
chei	kej
cheie	keje
chelner	kelner
chestii	kestij
chestii	kestiː
chilot	kilot͡sʲ
chin	cin
chișinău	kiʃinəu̯
cicatrice	t͡ʃikatrit͡ʃe
cilibia	tʃilibia
ciocolată	t͡ʃjokolatə
cioculescu	tʃokulesku
cirac	t͡ʃirak
circumcide	t͡ʃirkumt͡ʃide
circumcis	tʃirkumtʃis
circumcise	t͡ʃirkumt͡ʃise
citea	tʃitja
citeai	tʃitjaj
citeam	tʃitjam
citească	tʃitjaskə
citeați	tʃitjatsʲ
citeau	tʃitjaw
citesc	tʃitesk
citește	tʃiteʃte
citești	tʃiteʃtʲ
citi	tʃiti
citii	tʃitiː
citim	tʃitim
citind	tʃitind
citiră	tʃitirə
citirăm	tʃitirəm
citirăți	tʃitirətsʲ
citise	tʃitise
citisem	tʃitisem
citiseră	tʃitiserə
citiserăm	tʃitiserəm
citiserăți	tʃitiserətsʲ
citiseși	tʃitiseʃʲ
citiși	tʃitiʃʲ
citit	tʃitit
citita	t͡ʃitita
citită	t͡ʃititə
citite	t͡ʃitite
cititei	t͡ʃititej
cititele	t͡ʃititele
cititelor	t͡ʃititelor
cititul	t͡ʃititul
cititul	t͡ʃititu
cititului	t͡ʃitituluj
citiți	t͡ʃitit͡sʲ
citiții	t͡ʃitit͡siː
citiților	t͡ʃitit͡silor
ciudat	t͡ʃudat
clar	klar
clara	klara
clare	klare
clădea	klədja
clădeai	klədjaj
clădeam	klədjam
clădească	klədjaskə
clădeați	klədjatsʲ
clădeau	klədjaw
clădesc	klədesk
clădește	klədeʃte
clădești	klədeʃtʲ
clădi	klədi
clădii	klədiː
clădim	klədim
clădind	klədind
clădiră	klədirə
clădirăm	klədirəm
clădirăți	klədirətsʲ
clădire	klədire
clădise	klədise
clădisem	klədisem
clădiseră	klədiserə
clădiserăm	klədiserəm
clădiserăți	klədiserətsʲ
clădiseși	klədiseʃʲ
clădiși	klədiʃʲ
clădit	klədit
clădita	klədita
clădită	kləditə
clădite	klədite
clăditei	kləditej
clăditele	kləditele
clăditelor	kləditelor
clăditul	kləditul
clăditul	kləditu
clăditului	klədituluj
clădiți	klədit͡sʲ
clădiții	klədit͡siː
clădiților	klədit͡silor
coadă	kʷadə
coaie	kʷaje
coapsă	kʷapsə
coapse	ko̯apse
coardă	ko̯ardə
coastă	kwastə
cocori	kokorʲ
cocoș	kokoʃ
coi	koj
coiot	kojot
colan	kolan
coleg	koleɡ
comoară	komo̯arə
complex	kompleks
complexe	komplekse
complexitate	kompleksitate
complexități	compleksitət͡sʲ
comport	komport
comporta	komporta
comun	komun
comunitate	komunitate
conduce	kondut͡ʃe
conformitate	conformitate
coniac	konjak
conjuncție	konʒunkt͡sie
consoană	konswanə
constantinescu	konstantinesku
constituționalitate	constitut͡sionalitate
continuat	kontinwat
contrazis	kontrazis
contribuție	kontribut͡sie
controla	kontrola
controlai	kontrolaj
controlam	kontrolam
controlară	kontrolarə
controlarăm	kontrolarəm
controlarăți	kontrolarətsʲ
controlase	kontrolase
controlasem	kontrolasem
controlaseră	kontrolaserə
controlaserăm	kontrolaserəm
controlaserăți	kontrolaserətsʲ
controlaseși	kontrolaseʃʲ
controlași	kontrolaʃʲ
controlat	kontrolat
controlau	kontrolaw
controlă	kontrolə
controlăm	kontroləm
controlând	kontrolɨnd
controlează	kontroljazə
controlez	kontrolez
controleze	kontroleze
controlezi	kontrolezʲ
convinse	konvinse
copia	kopia
copii	kopij
copiii	kopiji
copiilor	kopijlor
copilă	kopilə
copilărește	kopiləreʃte
copilul	kopilul
copilul	kopilu
copilului	kopiluluj
copleși	kopleʃi
copleșitoare	kopleʃito̯are
copleșitoarea	kopleʃito̯are̯a
copleșitoarei	kopleʃito̯arej
copleșitoarele	kopleʃito̯arele
copleșitoarelor	kopleʃito̯arelor
copleșitor	kopleʃitor
copleșitori	kopleʃitorʲ
copleșitorii	kopleʃitoriː
copleșitorilor	kopleʃitorilor
copleșitorul	kopleʃitorul
copleșitorul	kopleʃitoru
copleșitorului	kopleʃitoruluj
coreea	koreja
coreean	koree̯an
coreei	koreːj
corn	korn
cosmin	kosmin
cosmina	cosmina
costescu	kostesku
coșmar	koʃmaɾ
cotidian	kotidian
crăciun	kɾət͡ʃun
creai	kreaj
cream	kream
creangă	kɾe̯aŋɡə
creară	krearə
crearăm	krearəm
crearăți	krearətsʲ
crease	krease
creasem	kreasem
creaseră	kreaserə
creaserăm	kreaserəm
creaserăți	kreaserətsʲ
creaseși	kreaseʃʲ
creași	kreaʃʲ
creat	kreat
creativitate	kreativitate
creați	kreat͡sʲ
creau	kreaw
creă	kreə
creăm	kreəm
creând	kreɨnd
cred	krɛd
crede	krede
credință	kredintsə
creează	kree̯azə
creez	kreez
creeze	kreeze
creezi	kreezʲ
creștin	kreʃtin
crezi	krezʲ
crezut	crezut
criminal	kriminal
crizantemă	krizantemə
croația	kroat͡sia
croi	kroi
crucifica	krut͡ʃifika
crunt	krunt
culoare	kulo̯are
culoarea	kulo̯are̯a
culorile	kulorile
cultura	kultura
cultură	kulturə
culturi	kulturʲ
culturii	kulturiː
culturile	kulturile
culturilor	kulturilor
cum	kum
cumnat	kumnat
cumnată	kumnatə
cumnate	kumnate
cumnați	kumnat͡sʲ
cumva	kumva
cunoscu	kunosku
curului	kuruluj
cururi	kururʲ
cururilor	kururilor
curvă	kurvə
curve	kurve
cușer	kuʃer
cuțit	kut͡sit
cuvânt	kuvɨnt
cuvântul	kuvɨntul
cuvântul	kuvɨntu
cuvântului	kuvɨntuluj
cuvinte	kuvinte
cuvintele	kuvintele
cuvintelor	kuvintelor
dac	dak
dacă	dakə
dace	dat͡ʃe
daci	dat͡ʃʲ
dai	daj
danez	danez
daneză	danezə
daneze	daneze
danezi	danezʲ
dansa	dansa
dansat	dansat
dap	dap
dap	dap̚
dau	dau
dă	də
dănuț	dənut͡s
dătător	dətətor
dea	dʲæ
decât	dekɨt
deci	det͡ʃʲ
deja	deʒa
delicioasă	delit͡ʃjo̯asə
delicioase	delit͡ʃjo̯ase
delicios	delit͡ʃjos
delicioși	delit͡ʃjoʃʲ
delimitai	delimitaj
delimitam	delimitam
delimitară	delimitarə
delimitarăm	delimitarəm
delimitarăți	delimitarətsʲ
delimitase	delimitase
delimitasem	delimitasem
delimitaseră	delimitaserə
delimitaserăm	delimitaserəm
delimitaserăți	delimitaserətsʲ
delimitaseși	delimitaseʃʲ
delimitași	delimitaʃʲ
delimitat	delimitat
delimitați	delimitat͡sʲ
delimitau	delimitaw
delimită	delimitə
delimităm	delimitəm
delimitând	delimitɨnd
delimitează	delimitjazə
delimitez	delimitez
delimiteze	delimiteze
delimitezi	delimitezʲ
delir	delir
delira	delira
delirai	deliraj
deliram	deliram
delirant	delirant
delirante	delirante
delirară	delirarə
delirarăm	delirarəm
delirarăți	delirarət͡sʲ
delirase	deliraj
delirasem	delirasem
deliraseră	deliraserə
deliraserăm	deliraserəm
deliraserăți	deliraserət͡sʲ
deliraseși	deliraseʃʲ
delirași	deliraʃʲ
delirat	delirat
delirați	delirat͡sʲ
delirau	deliraw
deliră	delirə
delirăm	delirəm
delirând	delirɨnd
delirează	delire̯azə
delirez	delirez
delireze	delireze
delirezi	delirezʲ
delirul	delirul
delirul	deliru
delirului	deliruluj
deliruri	delirurʲ
delirurile	delirurile
delirurilor	delirurilor
demnitate	demnitate
democratic	demokratik
demon	demon
demoni	demonʲ
deranjai	deranʒaj
deranjam	deranʒam
deranjară	deranʒarə
deranjarăm	deranʒarəm
deranjarăți	deranʒarətsʲ
deranjase	deranʒase
deranjasem	deranʒasem
deranjaseră	deranʒaserə
deranjaserăm	deranʒaserəm
deranjaserăți	deranʒaserətsʲ
deranjaseși	deranʒaseʃʲ
deranjași	deranʒaʃʲ
deranjat	deranʒat
deranjată	deranʒatə
deranjate	deranʒate
deranjați	deranʒat͡sʲ
deranjau	deranʒaw
deranjă	deranʒə
deranjăm	deranʒəm
deranjând	deranʒɨnd
deranjează	deranʒjazə
deranjez	deranʒez
deranjeze	deranʒeze
deranjezi	deranʒezʲ
descărca	deskərka
deschide	deskide
deschis	deskis
descoperire	dɛskopɛrirɛ
descrie	deskrije
desigur	desiɡur
despre	despre
deștept	deʃtept
deștepta	deʃtepta
deveni	deveni
dezavantaj	dezavantaʒ
dezavantaja	dezavantaʒa
dezavantajos	dezavantaʒos
dezbrăca	dezbrəka
dezbrăcat	dezbrəkat
dezbrăcând	dezbrəkɨnd
dezechilibru	dezekilibru
dezgust	dezɡust
dezgusta	dezɡusta
diaconescu	diakonesku
dicționare	dikt͡sionare
dicționarele	dikt͡sionarele
dicționarelor	dikt͡sionarelor
dicționarul	dikt͡sionarul
dicționarul	dikt͡sionaru
dicționarului	dikt͡sionaruluj
dimineți	diminetsʲ
dimineții	diminetsiː
diminețile	diminetsile
dimineților	diminetsilor
dincolo	dinkolo
dinte	dinte
dintre	dintre
dinți	dint͡sʲ
discret	diskret
discreta	diskreta
discrete	diskrete
discreție	diskret͡sie
discuție	diskutsiɛ
disponibil	disponibil
disponibilitate	disponibilitate
distra	distra
distractiv	distraktiv
distracție	distrakt͡sie
distrai	distraj
distram	distram
distrară	distrarə
distrarăm	distrarəm
distrarăți	distrarətsʲ
distrase	distrase
distrasem	distrasem
distraseră	distraserə
distraserăm	distraserəm
distraserăți	distraserətsʲ
distraseși	distraseʃʲ
distrași	distraʃʲ
distrat	distrat
distrau	distraw
distră	distrə
distrăm	distrəm
distrând	distrɨnd
distrează	distrjazə
distrez	distrez
distreze	distreze
distrezi	distrezʲ
diurn	diurn
dobrescu	dobresku
domn	domn
donație	donat͡sie
dorin	dorin
dorina	dorina
dorința	dorint͡sa
dorință	dorint͡sə
dorințe	dorint͡se
dorinței	dorint͡sej
dorințele	dorint͡sele
dorințelor	dorint͡selor
dorm	dorm
dormi	dormi
dormim	dormim
dovedi	dovedi
drag	draɡ
dragostea	draɡoste̯a
drăgălaș	drəɡəlaʃ
drăgulescu	drəɡulesku
drăguț	drəɡut͡s
dreaptă	dre̯aptə
drept	drept
drepturi	drepturʲ
drumuri	drumurʲ
du	du
duce	dut͡ʃe
dumitrescu	dumitresku
dumneavoastră	dumne̯avo̯astrə
dumnezeu	dumnezew
dunăre	dunəre
dunărea	dunəre̯a
după	dupə
dus	dus
dușmănea	duʃmənja
dușmăneai	duʃmənjaj
dușmăneam	duʃmənjam
dușmănească	duʃmənjaskə
dușmăneați	duʃmənjatsʲ
dușmăneau	duʃmənjaw
dușmănesc	duʃmənesk
dușmănește	duʃməneʃte
dușmănești	duʃməneʃtʲ
dușmăni	duʃməni
dușmănii	duʃməniː
dușmănim	duʃmənim
dușmănind	duʃmənind
dușmăniră	duʃmənirə
dușmănirăm	duʃmənirəm
dușmănirăți	duʃmənirətsʲ
dușmănise	duʃmənise
dușmănisem	duʃmənisem
dușmăniseră	duʃməniserə
dușmăniserăm	duʃməniserəm
dușmăniserăți	duʃməniserətsʲ
dușmăniseși	duʃməniseʃʲ
dușmăniși	duʃməniʃʲ
dușmănit	duʃmənit
dușmănita	duʃmənita
dușmănită	duʃmənitə
dușmănite	duʃmənite
dușmănitei	duʃmənitej
dușmănitele	duʃmənitele
dușmănitelor	duʃmənitelor
dușmănitul	duʃmənitul
dușmănitul	duʃmənitu
dușmănitului	duʃmənituluj
dușmăniți	duʃmənit͡sʲ
dușmăniții	duʃmənit͡siː
dușmăniților	duʃmənit͡silor
ecosistem	ekosistem
ejacula	eʒakula
ejaculai	eʒakulaj
ejaculam	eʒakulam
ejaculară	eʒakularə
ejacularăm	eʒakularəm
ejacularăți	eʒakularətsʲ
ejaculare	eʒakulare
ejaculase	eʒakulase
ejaculasem	eʒakulasem
ejaculaseră	eʒakulaserə
ejaculaserăm	eʒakulaserəm
ejaculaserăți	eʒakulaserətsʲ
ejaculaseși	eʒakulaseʃʲ
ejaculași	eʒakulaʃʲ
ejaculat	eʒakulat
ejaculator	eʒakulator
ejaculați	eʒakulat͡sʲ
ejaculație	eʒakulat͡sie
ejaculau	eʒakulaw
ejaculă	eʒakulə
ejaculăm	eʒakuləm
ejaculând	eʒakulɨnd
ejaculează	eʒakuljazə
ejaculez	eʒakulez
ejaculeze	eʒakuleze
ejaculezi	eʒakulezʲ
elasticitate	elastit͡ʃitate
electroconductibilitate	elektrokonduktibilitate
elemozină	elemozinə
eligibilitate	elid͡ʒibilitate
elimina	elimina
eliminat	eliminat
elimini	eliminʲ
elizee	elizeː
elizeele	elizeːle
elizeelor	elizeːlor
elizeu	elizew
elizeul	elizewl
elizeul	elizew
elizeului	elizewluj
elogiu	elod͡ʒiw
elveția	elvet͡sia
emil	emil
enigmatic	eniɡmatik
enigmatica	eniɡmatika
enigmatică	eniɡmatikə
enigmatice	eniɡmatit͡ʃe
enigmatici	eniɡmatit͡ʃʲ
epistolă	epistolə
epocă	epokə
era	jera
erai	eraj
