abak	áːbak
cigara	t͡siɡáːra
cigareta	t͡siɡaréːta
ciklon	t͡siklóːn
cilj	t͡síːl
cimet	t͡sìːmɛt
cimet	t͡síːmɛt
cink	t͡síːnk
ciper	t͡sìːpər
cirilica	t͡siríːlit͡sa
cirkonij	t͡sirkòːnij
citre	t͡síːtrɛ
cokla	t͡sóːkla
cona	t͡sóːna
crkljati	t͡sərkljàːti
cula	t͡sùːla
cvek	t͡sʋɛ́k
cvesti	t͡sʋə̀sti
cvesti	t͡sʋəstí
cvesti	t͡sʋɛ̀ːsti
cvet	t͡sʋéːt
cveten	t͡sʋéːtən
cvetje	t͡sʋèːtjɛ
cviliti	t͡sʋìːliti
cvrček	t͡sʋə́rt͡ʃək
cvreti	t͡sʋrèːti
č	t͡ʃ
čad	t͡ʃáːt
čaj	t͡ʃáːj
čakati	t͡ʃàːkati
čao	t͡ʃáːɔ
čaplja	t͡ʃáːplja
čarovnica	t͡ʃarɔ́ːʋnit͡sa
čarovnik	t͡ʃarɔ́ːʋnik
čas	t͡ʃás
časnik	t͡ʃáːsnik
časopis	t͡ʃasɔpíːs
čast	t͡ʃáːst
čaša	t͡ʃàːʃa
če	t͡ʃɛ
čebela	t͡ʃɛbéːla
čebela	t͡ʃəbéːla
čebula	t͡ʃɛbùːla
čebula	t͡ʃəbùːla
čefur	t͡ʃɛfùːr
čefur	t͡ʃɛfùːr
čeh	t͡ʃéːx
čehinja	t͡ʃéːxinja
ček	t͡ʃéːk
čelo	t͡ʃɛ̀ːlɔ
čelo	t͡ʃéːlɔ
čembalo	t͡ʃéːmbalɔ
čeprav	t͡ʃɛpráʋ
česen	t͡ʃɛ̀ːsən
česmina	t͡ʃɛsmìːna
češčina	t͡ʃéːʃt͡ʃina
češka	t͡ʃéːʃka
češki	t͡ʃéːʃki
češko	t͡ʃéːʃkɔ
češkoslovaška	t͡ʃéːʃkɔslɔʋáːʃka
češnja	t͡ʃéːʃnja
češplja	t͡ʃéːʃplja
četrtek	t͡ʃɛtə̀rtək
četrtinka	t͡ʃɛtərtíːnka
čevelj	t͡ʃéːʋəl
čevljekljun	t͡ʃéːʋljɛkljúːn
čifut	t͡ʃìːfut
čigar	t͡ʃíːɡar
čigav	t͡ʃiɡàːʋ
čile	t͡ʃíːlɛ
čipka	t͡ʃíːpka
čist	t͡ʃíːst
čistiti	t͡ʃìːstiti
čistota	t͡ʃistɔ̀ːta
čitati	t͡ʃìːtati
čitati	t͡ʃíːtati
čivava	t͡ʃiʋáːʋa
član	t͡ʃláːn
članek	t͡ʃláːnək
človek	t͡ʃlɔ̀ːʋɛk
človeški	t͡ʃlɔʋèːʃki
čmrlj	t͡ʃmə̀rl
čokolada	t͡ʃɔkɔláːda
čoln	t͡ʃɔ́ːʋn
čopič	t͡ʃóːpit͡ʃ
čopič	t͡ʃɔ́ːpit͡ʃ
črevce	t͡ʃrèːʋt͡sɛ
črevo	t͡ʃrɛʋóː
čriček	t͡ʃríːt͡ʃək
črka	t͡ʃə̀rka
črkovati	t͡ʃərkɔʋàːti
črn	t͡ʃə̀rn
črnilo	t͡ʃərnìːlɔ
črnogorski	t͡ʃərnɔɡóːrski
črv	t͡ʃə́rʋ
čustven	t͡ʃúːstʋən
čustvo	t͡ʃúːstʋɔ
čut	t͡ʃúːt
čuti	t͡ʃùːti
čutiti	t͡ʃutìːti
čutiti	t͡ʃutíːti
čutiti	t͡ʃùːtiti
da	dá
dajalec	dajáːlət͡s
dajalnik	dajáːlnik
dajati	dajàːti
daleč	dàːlɛt͡ʃ
dalek	dáːlɛk
dalija	dàːlija
dalj	dál
daljšati	dáːlʃati
daljši	dáːlʃi
dama	dàːma
damask	damáːsk
damjak	dáːmjak
dan	dáːn
dan	dàːn
dandanes	dáːndàːnəs
danec	dáːnət͡s
danes	dàːnəs
danka	dáːnka
danska	dáːnska
danski	dáːnski
dansko	dáːnskɔ
danščina	dáːnʃt͡ʃina
dar	dáːr
darilo	darìːlɔ
darovati	darɔʋàːti
datelj	dàːtəl
dati	dàːti
dativ	dáːtiʋ
datum	dàːtum
datum	dáːtum
davek	dàːʋək
debel	dɛ̀ːbɛʋ
debelejši	dɛbɛlɛ́ːjʃi
deber	dəbə́r
deber	dèːbər
deber	déːbər
deblo	dɛ̀ːblɔ
december	dɛt͡sɛ̀ːmbər
deček	déːt͡ʃək
ded	déːt
ded	dɛ́t
dedovati	dɛdɔʋàːti
dedovati	dèːdɔʋati
dedovati	déːdɔʋati
dejanje	dɛjáːnjɛ
dejati	dɛjàːti
dejaven	dɛjàːʋən
dejaven	dɛjáːʋən
dejavnejši	dɛjàːʋnɛjʃi
dejavnejši	dɛjáːʋnɛjʃi
dejavnost	dɛjàːʋnɔst
dejavnost	dɛjáːʋnɔst
dekle	dɛklɛ́
del	dèːl
del	déːl
del	dèːʋ
del	déːʋ
delati	dèːlati
delavec	dèːlaʋət͡s
deležnik	dɛléːʒnik
delfin	dɛlfíːn
delo	dèːlɔ
demiurg	dɛmijúːrk
demokracija	dɛmɔkrat͡síːja
denar	dɛnàːr
denarnica	dɛnáːrnit͡sa
dendrokronologija	dɛndrɔkrɔnɔlɔɡìːja
depresija	dɛprɛsíːja
deset	dɛséːt
desetarka	dɛsɛtàːrka
desetletje	dɛsɛtléːtjɛ
desetnica	dɛséːtnit͡sa
deska	də̀ska
deska	dəská
detel	dèːtəl
deti	dèːti
deva	déːʋa
deverbativen	dɛʋɛrbatíːʋən
devet	dɛʋéːt
devetdeset	dɛʋéːddɛsɛt
devetnajst	dɛʋéːtnajst
devetnajst	dɛʋɛtnàːjst
devica	dɛʋìːt͡sa
dež	də́ʃ
dežela	dɛʒɛ̀ːla
deževati	dəʒɛʋàːti
dežnik	dəʒnìːk
diamant	dijamàːnt
diamant	dijamáːnt
diamanten	diamáːntən
dihati	dìːxati
dihur	dixùːr
dihur	dixúːr
dijak	dijàːk
dim	dím
dimlje	dìːmljɛ
dimlje	díːmljɛ
dimnik	díːmnik
dinozaver	dinɔzàːʋər
dirigent	diriɡɛ́nt
dirka	díːrka
diskriminacija	diskriminàːt͡sija
disprozij	dispròːzij
diti	dìːti
divizija	diʋizíːja
divjak	dìːʋjak
divji	dìːʋji
dlaka	dlàːka
dlan	dláːn
dleto	dlèːtɔ
dnevnik	dnéːʋnik
dno	dnɔ́
do	dɔ
dob	dóːp
doba	dɔ̀ːba
dober	dòːbər
dobiti	dɔbìːti
dobiti	dɔbíːti
dobro	dɔ̀ːbrɔ
dobrodošel	dɔbrɔdɔ̀ːʃəʋ
dogajati	dɔɡàːjati
dogajati	dɔɡáːjati
dogodek	dɔɡóːdək
dogovor	dɔɡɔ́ːʋɔr
dojenček	dɔjɛ̀ːnt͡ʃək
dojilja	dɔjìːlja
dokler	dɔklɛ́r
dokler	dóːklɛr
dokler	dɔ́klɛr
dol	dɔ̀ːl
dol	dóːʋ
dol	dɔ́ːʋ
dolg	dɔ́ːʋk
dolg	dɔ́ːʋk
dolgočasen	dɔʋɡɔt͡ʃàːsən
dolgočasnejši	dɔlɡɔt͡ʃàːsnɛjʃi
dolgovaloven	dɔʋɡɔʋalɔ́ːʋən
dolina	dɔlìːna
dolžina	dɔʋʒìːna
dom	dóːm
doma	dɔmáː
domišljija	dɔmiʃljíːja
domov	dɔmɔ̀ːʋ
domov	dɔmɔ́ːʋ
domovina	dɔmɔʋìːna
donava	dóːnaʋa
dopoldan	dɔpɔ́ːʋdan
dotakniti	dɔtaknìːti
dotakniti	dɔtakníːti
dotakniti	dɔtàːkniti
dovolj	dɔʋɔ́l
dovoljenje	dɔʋɔljɛ̀ːnjɛ
dovršen	dɔʋə́rʃən
doživeti	dɔʒiʋèːti
drag	dráːk
drago	dráːɡɔ
dragulj	draɡùːl
dragulj	draɡúːl
dražji	dráːʒji
drek	drɛ́k
dren	drɛ́n
dreti	drèːti
drevo	drɛʋóː
drka	də́rka
drkaj	də́rkaj
drkajmo	də́rkajmɔ
drkajo	də́rkajɔ
drkajta	də́rkajta
drkajte	də́rkajtɛ
drkajva	də́rkajʋa
drkam	də́rkam
drkamo	də́rkamɔ
drkanje	də́rkanjɛ
drkaš	də́rkaʃ
drkata	də́rkata
drkate	də́rkatɛ
drkati	də́rkati
drkava	də́rkaʋa
droben	drɔ̀ːbən
drobiž	drɔbìːʃ
drobnjak	drɔbnjàːk
drog	dróːk
dromedar	drɔmɛdàːr
dromlja	dróːmlja
drozd	dróːst
drozg	dróːsk
drseti	dərsèːti
drug	drúːk
drugi	drùːɡi
drugi	drúːɡi
drugoten	druɡɔ̀ːtən
družba	drúːʒba
družina	druʒìːna
drva	də̀rʋa
drva	dərʋá
država	dərʒáːʋa
ducat	dùːt͡sat
ducat	dúːt͡sat
duda	dúːda
duda	dùːda
duda	dúːda
dude	dùːdɛ
dude	dúːdɛ
duh	dúːx
dunaj	dùːnaj
dunajski	dùːnajski
duša	dùːʃa
dušik	duʃíːk
dva	dʋáː
dvajset	dʋáːjsɛt
dvanajst	dʋanáːjst
dve	dʋéː
dvigniti	dʋìːɡniti
dvojček	dʋòːjt͡ʃək
dvojček	dʋóːjt͡ʃək
dvojina	dʋɔjìːna
dvojka	dʋóːjka
dvom	dʋóːm
dvom	dʋɔ́m
dvomiti	dʋòːmiti
dvomiti	dʋóːmiti
dvomiti	dʋɔmìːti
dvomiti	dʋɔmíːti
dvopičje	dʋóːpíːt͡ʃjɛ
dvovidski	dʋóːʋíːtski
dvoživka	dʋɔʒíːʋka
džamija	d͡ʒàːmija
džez	d͡ʒéːs
džihad	d͡ʒixáːt
džihad	d͡ʒíːxat
džungla	d͡ʒúːnɡla
eden	ɛ̀ːdən
ednina	ɛdnìːna
edvard	éːdʋart
egipt	ɛɡíːpt
ejakulacija	ɛjakulàːt͡sija
ekologija	ɛkɔlɔɡíːja
ekonomija	ɛkɔnɔmíːja
ekonomist	ɛkɔnɔmíːst
ekosistem	éːkɔsistéːm
eksodus	éːksɔdus
elektromagnetski	ɛléːktrɔmaɡnéːtski
elektron	ɛlɛktròːn
elektron	ɛléːktrɔn
en	ɛ́n
ena	ɛ̀ːna
enačaj	ɛnat͡ʃáːj
enačba	ɛnáːd͡ʒba
enaindvajset	ɛ̀ːnaindʋáːjsɛt
enaindvajset	ɛ́ːnaindʋáːjsɛt
enajst	ɛnàːjst
enakonočje	ɛnakɔnóːt͡ʃjɛ
energija	ɛnɛrɡíːja
enkrat	ɛ̀ːnkrat
enkrat	ɛnkrát
enkrat	ɛ̀ːnkrat
enota	ɛnɔ̀ːta
entomologija	ɛntɔmɔlɔɡíːja
epicenter	ɛpit͡sèːntər
epicenter	ɛpit͡séːntər
epicenter	ɛpit͡sɛ̀ːntər
epicenter	ɛpit͡sɛ́ːntər
epir	ɛpíːr
epistemologija	ɛpistɛmɔlɔɡìːja
erbij	ɛ̀ːrbij
erekcija	ɛrèːkt͡sija
erik	ɛ́ːrik
eritreja	ɛritrɛ́ːja
erotičen	ɛròːtit͡ʃən
eržen	ɛrʒéːn
esej	ɛsɛ́ːj
estonec	ɛstóːnət͡s
estonija	ɛstòːnija
estonka	ɛstóːnka
estonski	ɛstóːnski
estonsko	ɛstóːnskɔ
estonščina	ɛstóːnʃt͡ʃina
etimologija	ɛtimɔlɔɡíːja
etiopija	ɛtijòːpija
evo	éːʋɔ
evo	ɛ́ʋɔ
evropa	ɛʋróːpa
evropij	ɛʋròːpij
fagot	faɡóːt
fakulteta	fakultéːta
falzet	falzéːt
fant	fánt
fazan	fazáːn
februar	féːbruar
felicijan	fɛlit͡sijáːn
feniks	féːniks
fermij	fɛ̀ːrmij
figa	fìːɡa
file	filéː
filipini	filipíːni
filozof	filɔzóːf
fin	fíːn
finec	fíːnət͡s
finka	fíːnka
finska	fíːnska
finski	fíːnski
finsko	fíːnskɔ
finščina	fíːnʃt͡ʃina
fizika	fìːzika
fižol	fiʒɔ́ʋ
flavta	fláːʋta
fluor	flúːɔr
fonetika	fɔnèːtika
fosfor	fóːsfɔr
fotograf	fɔtɔɡráːf
fotografija	fɔtɔɡrafíːja
franc	fránt͡s
francij	fràːnt͡sij
francija	fràːnt͡sija
francoski	frant͡sóːski
francosko	frant͡sóːskɔ
francoščina	frant͡sóːʃt͡ʃina
francoz	frant͡sóːs
francozinja	frant͡sóːzinja
frekvenca	frɛkʋéːnt͡sa
friz	fríːs
fukajoč	fukajòːt͡ʃ
fukajoč	fukajóːt͡ʃ
fukati	fúːkati
funt	fúːnt
gadolinij	ɡadɔlìːnij
galeb	ɡaléːp
galicija	ɡalìːt͡sija
galij	ɡàːlij
gambija	ɡàːmbija
gams	ɡàːms
gams	ɡáms
gana	ɡáːna
gaziti	ɡàːziti
gejzir	ɡɛjzìːr
gejzir	ɡɛjzíːr
general	ɡɛnɛráːl
genij	ɡèːnij
genitiv	ɡéːnitiʋ
genocid	ɡɛnɔt͡síːt
geodezija	ɡɛɔdɛzíːja
geografija	ɡɛɔɡrafíːja
geologija	ɡɛɔlɔɡíːja
gepard	ɡéːpart
germanij	ɡɛrmàːnij
geslo	ɡɛ̀ːslɔ
gibanje	ɡìːbanjɛ
gimnazija	ɡimnàːzija
gladilka	ɡladíːlka
glagol	ɡlàːɡɔl
glagolica	ɡlaɡóːlit͡sa
glagolnik	ɡlàːɡɔlnik
glagolski	ɡlàːɡɔlski
glas	ɡláːs
glasba	ɡláːzba
glasben	ɡláːzbɛn
glasbenik	ɡláːzbɛnik
glasen	ɡlàːsən
glasnejši	ɡlasnɛ́ːjʃi
glasoslovje	ɡlasɔslɔ́ːʋjɛ
glava	ɡlàːʋa
glaven	ɡlàːʋən
glaven	ɡláːʋən
glavnik	ɡlaʋnìːk
gledati	ɡlèːdati
gleženj	ɡlèːʒən
glina	ɡlìːna
globlji	ɡlóːblji
globok	ɡlɔbɔ́k
glodalec	ɡlɔdáːlət͡s
glog	ɡlɔ́k
glog	ɡlóːk
gluh	ɡlúːx
glup	ɡlúːp
glušji	ɡlúːʃji
gnati	ɡnàːti
gnesti	ɡnɛ̀ːsti
gnil	ɡníːʋ
gniti	ɡnìːti
gnoj	ɡnóːj
gnosticizem	ɡnɔstit͡sìːzəm
gnostičen	ɡnòːstit͡ʃən
goba	ɡòːba
god	ɡóːt
godba	ɡóːdba
gol	ɡɔ́ʋ
gol	ɡɔ́ːʋ
gol	ɡóːl
golob	ɡɔlóːp
golobica	ɡɔlɔbìːt͡sa
golobrad	ɡɔlɔbráːt
golobrad	ɡɔlɔbrát
golt	ɡɔ́ːʋt
gonoreja	ɡɔnɔrɛ́ːja
gor	ɡɔ̀ːr
gora	ɡɔ̀ːra
gorčica	ɡɔrt͡ʃìːt͡sa
gorčica	ɡóːrt͡ʃit͡sa
goreti	ɡɔrèːti
gorica	ɡɔrìːt͡sa
gorica	ɡɔrìːt͡sa
gorivo	ɡɔrìːʋɔ
gos	ɡóːs
gosenica	ɡɔséːnit͡sa
gospa	ɡɔspàː
gospod	ɡɔspóːt
gospodar	ɡɔspɔdàːr
gospodična	ɡɔspɔdíːt͡ʃna
gost	ɡɔ́st
gost	ɡóːst
gosti	ɡòːsti
gostitelj	ɡɔstíːtɛl
govedina	ɡɔʋéːdina
govedo	ɡɔʋéːdɔ
govno	ɡɔ̀ːʋnɔ
govor	ɡɔ́ːʋɔr
govorec	ɡɔʋóːrət͡s
govoriti	ɡɔʋɔrìːti
govoriti	ɡɔʋɔríːti
gozd	ɡɔ́st
gozd	ɡóːst
gozdarstvo	ɡɔzdáːrstʋɔ
grablje	ɡràːbljɛ
grad	ɡráːt
gradec	ɡráːdət͡s
grah	ɡráx
granica	ɡráːnit͡sa
grapa	ɡràːpa
gravitacija	ɡraʋitàːt͡sija
gravitacijski	ɡraʋitat͡síːjski
grb	ɡə́rp
grba	ɡə̀rba
grča	ɡə̀rt͡ʃa
grčija	ɡə́rt͡ʃija
grd	ɡə́rt
grebsti	ɡrɛ̀ːpsti
gregorič	ɡrèːɡɔrit͡ʃ
greh	ɡrèːx
grenak	ɡrɛnáːk
grenek	ɡrɛ̀ːnək
grenivka	ɡrɛníːʋka
grenlandija	ɡréːnláːndija
grešiti	ɡrɛʃìːti
grešiti	ɡrɛʃíːti
greti	ɡrèːti
gripa	ɡrìːpa
gristi	ɡrìːsti
griva	ɡrìːʋa
griža	ɡríːʒa
grji	ɡə́rji
grk	ɡə́rk
grkinja	ɡə́rkinja
grlica	ɡə̀rlit͡sa
grlo	ɡə̀rlɔ
grm	ɡə́rm
grob	ɡrɔ́p
grof	ɡrɔ́f
grofica	ɡrɔfìːt͡sa
grofija	ɡrɔfíːja
grom	ɡrɔ́m
gros	ɡróː
grozdje	ɡròːzdjɛ
groziti	ɡrɔzìːti
groziti	ɡrɔzíːti
grozljiv	ɡrɔzljìːʋ
grozljivejši	ɡrɔzljìːʋɛjʃi
grozljivka	ɡrɔzljíːʋka
grščina	ɡə́rʃt͡ʃina
grši	ɡə́rʃi
grški	ɡə́rʃki
