ँ	ə̃
प्रयोगात्मक	pɾəjoːɡɑt̪mək
प्रयोगात्मक	pɾəjoːɡɑt̪mək
प्रवीण	prəʋiɳ
प्रवीणता	prəʋiɳt̪a
प्रसाद	pɾəsɑːd̪
प्रामाणिक	praːmaːnɪk
फलो	pʰəlo
फलों	pʰəlõ
फूलो	pʰulo
फूलों	pʰulõ
फैलना	pʰɛlnaː
बजे	bəd͡ʒe
बनाऊंगी	bənɑũːŋɡiː
बर्खा	bəɾkʰa
बहन	bʱɛːn
बहस	bʱɛːs
बहस	bɛɦs
बहादुर	bɑɦɑːd̪ʊɾ
बहुत	bɔhɔt̪
बहुभाषीय	bəɦubʱɑːʂijə
बादल	bɑːdəl
बुद्धिमान	bʊdːʱɪmaːn
बोलने	bolne
बोलिए	bolɪe
बोलो	bolo
भक्तो	bʱəkt̪o
भक्तों	bʱəkt̪õ
भयावह	bʱəjaːʋəɦ
भला	bʱəla
भली	bʱəli
भाषाविज्ञान	bʱaːʃaːʋɪɡjaːn̪
भूत	bʱuːt̪
भोजन	bʱodʒən
मदिरा	məd̪ɪraː
मलना	məlna
मस्ती	məst̪iː
महानगर	mɑ̟ɦɑ̟ːnəɡəɾ
महासागर	məɦɑsɑɡər
मानवविज्ञान	maːnəvɪɡjaːn
मानवशास्त्र	maːnəvʃaːstrə
मार्ग	maːrɡ
मिस	mɪs
मुखमैथुन	mʊkʰmɛt̪ʰʊn
मुखाभिगम	mʊkʰaːbʱɪɡəm
मैं	məɪ̯
मैथुन	mɛtʰʊn
यह	jeː
यह	jəɦə
यादाश्त	jaːd̪aːʃt̪
रत्न	ɾət̪ən̪
रस्म	ɾəsəm
रस्म	ɾəsm
रहा	rəɦä
रही	rəɦi
रहे	rəɦe
रीत	ɾit̪
रुत	ɾʊt̪
लड़की	ləɽkiː
लाजवर्द	l̪ɑːd͡ʒʋəɾd̪
लिख	lɪkʰ
लिखता	lɪkʰta
लिखती	lɪkʰti
लिखते	lɪkʰte
लिखा	lɪkʰa
लिखिए	lɪkʰie
लिखी	lɪkʰi
लिखे	lɪkʰe
लिखो	lɪkʰo
वचन	ʋətʃən
वासना	ʋaːsn̪aː
विकिपीडिया	wɪkɪpiːɖɪjaː
विद्या	ʋɪd̪jaː
विधर्म	ʋɪd̪ʱəɾm
विश्वास	ʋɪʃʋɑːs
विश्वास	bɪʃʋɑːs
वेश्यावृत्ति	ʋeːʃjaːʋrɪtːi
वैद्य	ʋɛːd̪jə
व्यक्ति	ʋjəkt̪i
व्यक्तिक	ʋjəkt̪ɪk
व्यक्तिगत	ʋjəkt̪iɡət̪
व्यभिचार	ʋjəbʱɪtʃaːr
शरीरो	ʃəriro
शरीरों	ʃərirõ
शवयात्रा	ʃəʋjɑːt̪ɾɑ
शादी	ʃaːd̪iː
शानदार	ʃɑːn̪d̪ɑːɾ
शालीनता	ʃalint̪a
शालीनतापूर्वक	ʃalint̪apurʋək
शासन	ʃaːsən
शाह	ʃɑː
शिश्नो	ʃɪʃn̪o
शिश्नों	ʃɪʃn̪õ
शीशा	ʃiːʃə
शुभ	ʃʊbʱ
श्यान	ʃjaːn̪
श्यानता	ʃjaːn̪t̪aː
श्वेत	ʃʋeːt̪
संक्षय	səŋkʃəj
संतरा	sən̪t̪ɾɑ
संभोग	sə̃mbʱoɡ
सदस्य	səd̪əsjə
समझदार	səmədʒʱd̪aːr
समस्या	səməsjaː
समाजवाद	səmaːdʒʋaːd̪
समुदाय	səmʊd̪ɛ
समोसा	səmoːsɑː
सहचर	sɛɦt͡ʃɑɾ
सहज	sɛʱɛd͡ʒ
साम्यवाद	saːmjəʋaːd̪
साम्राज्य	sɑːmrɑːd͡ʒjə
सुगंध	sʊɡənd̪ʱ
सुलभ	sʊlabʱ
सूंघना	sũɡʱna
सूचना	suːtʃn̪ɑː
सूचनात्मक	suːtʃn̪aːt̪mək
सैकंड	sɛkə̃ɳɖ
सैकण्ड	sɛkəɳɖ
सोचना	sotʃn̪aː
स्तंभन	stə̃mbʱə̃n
स्वभाव	swəbʱɑ̟ːʋ
स्वास्थ्य	sʋaːst̪ʰjə
हत्या	ɦət̪jaː
हिमपात	ɦɪmpɑt
हिमालय	ɦɪmɑːləj
हिमालय	ɦɪmɑːlɛ
हो	ɦo
हों	ɦõ
