aadje	aːcə
meerderheidsbelang	mɪːrdərhɛi̯tsbəlɑŋ
meerderheidsbelang	mɪːrdərɦɛːtsbəlɑŋ
meerkat	mɪːrkɑt
meermin	mɪːrmɪn
meesmuilen	meːzmœy̯lən
meesmuilen	meːsmœy̯lən
melk	mɛɫk
melk	mɛlək
metselaar	mɛtsəlaːr
meutte	mɘtɘ
mier	miːr
mier	miɻ
mietje	micə
moer	muːr
muur	myːr
naatje	naːcə
nam	nɑm
natuur	naːtyːr
natuurijs	-tyːr-
natuurkunde	-tyːr-
natuurlijk	naːtyːrlək
natuurwetenschap	-tyːr-
nauw	nɔu
nauw	nʌu̯
navolging	naːvɔlxɪŋ
neer	nɪːr
negorij	neːɣoːrɛi
neukfeest	nøːkfeːst
nevelvlek	neːvəɫvlɛk
niel	nil
nier	niːr
noot	noːt
noot	noʊ̯t
oei	ui̯
oliebol	oʊ̯libɔl
oliebol	oːlibɔl
omleiden	ɔmlɛidən
omlopen	ɔmloːpən
omrijden	ɔmrɛidən
omringen	ʔɔmrɪŋən
omstandig	ɔmstɑndəx
omver	ɔmvɛr
oncoloog	ɔnkoʊ̯loʊ̯x
oncoloog	ɔnkoːloːx
oncoloog	ɔnkoːloːʝ
oncoloog	ɔnkoʊ̯loʊ̯x
oncoloog	ɔnkoːloːx
oncoloog	ɔnkoːloːʝ
onwaardig	ɔnʋaːrdəx
oost	oːst
oost	oʊ̯st
oosten	oːstən
oosten	oʊ̯stən
opdonderen	ɔbdɔndərən
overijssel	oːvərɛi̯səɫ
overlopen	oːvərloːpən
overstroming	oːvərstroːmɪŋ
overstroming	oʊ̯vərstroʊ̯mɪŋ
palermo	palɛrmoː
palermo	palɛrmoʊ̯
pandjesjas	pɑncəsjɑs
parttime	pɑːɹtɑi̯m
paspoort	pɑspʊːrt
pauw	pɑu̯
pauw	pʌu̯
peer	pɪːr
pericarp	pɪːrikɑrp
peritoneum	pɪːritoːneːʏm
peritoneum	pɪːritoʊ̯nejʏm
peritonitis	pɪːritoːnitɪs
peritonitis	pɪːritoʊ̯nitɪs
persoon	pərsoʊ̯n
persoon	pɛrsoʊ̯n
persoon	pərsoːn
pijpen	pɛipən
planetarium	planetaːriʏm
ploeggenootje	-cə
ploeggenootjes	-cə
poentje	puncə
poëtaster	poːweːtɑstər
poffertje	pɔfərcə
polen	poːlən
polen	poʊ̯lən
prinsheerlijk	prɪnsɦɪːrlək
pterosauriër	ptɪːroːsɑu̯riər
pterosauriër	ptɪːroʊ̯sɑu̯riər
pterosaurus	ptɪːroːsɑu̯rʏs
pterosaurus	ptɪːroʊ̯sɑu̯rʏs
puffertje	pʏfərcə
putjesschepper	pʏcəsxɛpər
puur	pyːr
ramp	ɹæmp
ransomware	ɹɛnsəmwɛːɹ
repareren	reːpɐrɪːrən
rijs	rɛːs
rijs	rɛ̞i̯s
rijs	rɛ̞ɪ̯s
rijs	raɪ̯s
roer	ruːr
roeren	ruːrən
rondje	rɔntçə
rondje	rɔɲcçə
rondje	ro-
rotje	rɔcə
rotjeknor	rɔcəknɔr
rukbeer	rʏkbɪːr
ruud	ryt
saffiaantje	sɑfiaːncə
scheerkwast	sxɪːrkʋɑst
scheet	sxeːt
scheet	sxei̯t
scheetje	sxeːcə
schelden	sxɛɫdən
schiereiland	sxiːrɛːlɑnt
schiereiland	sxiːrɛɪ̯lɑnt
schiereiland	sxiːræɪ̯lɑnt
schoon	sxoːn
schoon	sxoʊ̯n
schoonmaken	sxoʊ̯nmaːkən
schoonmaker	sxoːnmaːkər
schoonmaker	sxoʊ̯nmaːkər
schrijf	sxrɛif
schuren	sxyːrən
schuur	sxyːr
serum	sɪːrʏm
shredden	ʃɹɛdən
shredder	ʃɹɛdər
sieren	siːrən
simpel	sɪmpəl
sjaal	ʃaːl
slotjes	slɔcəs
slovenië	sloʊ̯veɪ̯nijə
slovenië	sloʊ̯feɪ̯nijə
slowakije	sloːʋaːkɛːjə
slowakije	sloʊ̯ʋaːkɛi̯jə
slowakije	sloʊ̯ʋaːkæɪ̯jə
smartphone	smɑɹtfoːn
smartphone	smɑɹtfoʊ̯n
smatje	smɑcə
smeerenburg	smɪːrənbɵrx
smoothie	smuːði
smoothie	smuːdi
smoothie	smuːθi
smoothie	smuːti
sneeuwwitje	sneːu̯ʋɪcə
speerhaai	spɪːrɦaːi̯
speler	speːlər
speler	speɪ̯lər
speler	speːlər
speler	speɪ̯lər
speurtocht	spʏːrtɔxt
spier	spiːr
spoliëren	spoːlijeːrən
spraakzaam	spraːkzaːm
springveer	sprɪŋvɪːr
steeds	steːts
stereotyperen	stɪːreːoːtipɪːrən
stereotyperen	stɪːrɪːoʊ̯tipɪːrən
stierf	stirf
stoeltjeslift	stulcəslɪft
stofberg	stɔfbɛɹχ
stoker	stoːkər
stoker	stoʊ̯kər
stoornis	stɔːrnɪs
straks	strɑks
stroop	stroːp
stroop	stroʊ̯p
stroopwafel	stroʊ̯pʋaːfəl
structuur	strʏktyːr
studeerkamer	stydɪːrkaːmər
sturen	styːrən
surfen	sʏrfən
tapir	taːpir
tatoeage	tatuaːʒə
teammaatje	-cə
teammaatjes	-cəs
teerzand	tɪːrzɑnt
tegendeel	teːɣəndeːl
telluur	tɛlyːr
temperatuur	tɛmpəraːtyːr
tepel	teːpəl
tepel	tei̯pəl
theems	teːms
theems	teɪ̯ms
toekomst	tukɔmst
toekomstig	tukɔmstɪx
toer	tuːr
toerisme	turɪsmə
toon	toːn
toon	toʊ̯n
tree	treː
turkije	tʏrkɛːjə
turkije	tʏrkɛi̯jə
tutoyeren	tytʋajɪːrən
tweeëndertig	tʋeːjəndɛrtəx
tweeëntwintig	tʋeːjəntʋɪntəx
tweetalig	tʋeːtaːləx
tweetallig	tʋeːtɑləx
uitje	œytjə
uitspraak	œy̯tspraːk
uitspraak	ʌy̯tspraːk
uitspraak	œːtspraːk
uitspraakwoordenboek	œy̯tspraˑkʋʊːrdəmbuk
uitspraakwoordenboeken	œy̯tspraːkʋʊːrdəmbukən
uitspraakwoordenboekje	œy̯tspraːkʋʊːrdəmbukjə
uitspraakwoordenboekjes	œy̯tspraːkʋʊːrdəmbukjəs
uitvoeren	œytfuːrən
uren	yːrən
uur	yːr
vaag	vaːx
vaatwasser	vaːtʋɑsər
valg	vɑlx
vandaag	fɑndaːx
vandaag	fəndaːx
vandaag	vɑndaːç
vandaag	vəndaːç
vandaag	fandaːx
veer	vɪːr
veertiende	vɪːrtində
veiligheid	vɛi̯ləxhɛi̯t
veneroloog	veːnɪːroːloːx
veneroloog	vei̯nɪːroʊ̯loʊ̯x
veroorzaken	vərʊːrzaːkən
verpleegster	vərpleːxstər
verpleegster	vərpleɪ̯xstər
verpleger	vərpleːɣər
verpleger	vərpleɪ̯ɣər
verpleger	vərpleɪ̯xər
vertaalwoordenboek	vərtaːɫʋʊːrdəmbuk
vertaalwoordenboeken	vərtaːɫʋʊːrdəmbukən
vertaalwoordenboekje	vərtaːɫʋʊːrdəmbukjə
vertaalwoordenboekjes	vərtaːɫʋʊːrdəmbukjəs
vertier	vərtiːr
vervoer	vərvuːr
verwelken	vərʋɛɫkən
verwelken	vərʋɛləkən
verwennen	vərʋɛnən
vetleer	vɛtlɪːr
vier	viːr
vier	viər
vierde	viːrdə
vieren	viːrən
viering	viːrɪŋ
vieringtoren	viːr-
vijfde	vɛi̯vdə
vindt	vɪnt
virtuoos	vɪrtyɥoːs
vlammetje	vlɑməcə
vloeistof	vlui̯stɔf
vloeistof	flui̯stɔf
vloer	vluːr
voering	vuːrɪŋ
voetbal	vutbɑl
voetbal	vudbɑl
vogel	voʊ̯χɔɫ
vonden	vɔndən
voogd	voːxt
voor	vʊːr
voorbeeld	voːrbeːlt
voorbeeld	vʊːrbeːlt
voorbeeldig	vʊːrbeːldəx
vooroordeel	vʊːrʊːrdeːɫ
voorste	vɔːrstə
vormenleer	vɔrmənlɪːr
vormleer	vɔrmlɪːr
vrijheid	vrɛːɦɛːt
vulgair	vʏlxɛːr
vulgair	vʏlʝɛːr
vuren	vyːrən
vuur	vyːr
vuvuzela	vuvuzeːlaː
waardig	ʋaːrdəx
wambuis	ʋɑmbœy̯s
wanneer	ʋɑnɪər
wanneer	βɑneːr
wanneer	ʋɑnɪər
wanneer	βɑneːr
wasbeer	ʋɑzbɪːr
waterfiets	β̞aːtərfits
waterfiets	ʋaːtərfits
waterloo	β̞aːtərloː
waterloo	ʋaːtərloʊ̯
watt	ʋɒt
watt	ʋɑt
wederwraak	ʋei̯dərvraːk
wederwraak	β̞eːdərvraːk
weer	weːr
weer	β̞eːr
weer	ʋɪːr
weer	ʋɪːɹ
weerpluim	ʋɪːrplœy̯m
weerpluim	β̞ɪːrplœːm
weerstand	wɪːrstɑnt
weerwraak	ʋɪːrvraːk
wend	ʋɛnt
wenen	ʋeɪ̯nən
wenen	ʋeːnən
wierp	ʋirp
wijsheid	ʋɛi̯sɦɛi̯t
wijsheid	ʋæi̯sɦæi̯t
wijsheid	ʋai̯sɦai̯t
wijsheid	wɛi̯sɦɛi̯t
wijsheid	β̞ɛi̯sɦɛi̯t
wijsheid	wɛːsɦɛːt
wijsheid	β̞ɛːsɦɛːt
wikipedia	-dijaː
windhoek	ʋɪntɦuk
woord	ʋʊːrt
woordenboek	ʋʊːrdənbuk
woordenboeken	ʋʊːrdəmbukən
woordenboekje	ʋʊːrdəmbukjə
woordenboekjes	ʋʊːrdəmbukjəs
wreed	vreːt
xerofyt	ksɪːroːfit
xerofyt	ksɪːroʊ̯fit
zakdoek	zɑɡduk
zakdoek	zɑkduk
zeebeer	zeːbɪːr
zeebeer	zei̯bɪːr
zeebeer	sei̯bɪːr
zeekoe	sei̯ku
zegevieren	-viːrən
zenuwachtigheid	zenywɑxtəxhɛi̯t
zesde	zɛzdə
zone	zɔːnə
zonnebaden	zɔnəbaːdən
zoroaster	zoːroʊ̯ɑstər
zuiderzee	zœy̯dərzeː
zuigfeest	zœyxfeːst
zuur	zyːr
zuur	zyər
zweer	zʋɪːr
zwierf	zʋirf
zwijntjesjager	zʋɛi̯ncəsjaːɣər
zwijntjesjager	sʋɛi̯ncəsjaːxər
