.f	ʔɛf
fgn	fɛɡɛn
fk	fɛk
fn	fɛn
fnḏ	fɛnɛd͡ʒ
fnḫw	fɛnɛxuː
fnṯ	fincuw
fnṯ	fintuw
fnṯ	fintaʔ
fnṯ	fent
fnṯ	fincuw
fnṯ	fintuw
fnṯ	fintaʔ
fnṯ	fent
fnṯ	fɛnɛt͡ʃ
ftft	fɛtfɛt
fḫ	fɛx
fꜣj	fɑi
gbb	kʼuːbab
gbb	kʼuːbab
gbb	kʼeːβ
gbb	kʼuːbab
gbb	kʼuːbab
gbb	kʼeːβ
gbb	ɡɛbɛb
gbtjw	ɡɛbtiuː
gbꜣ	ɡɛbɑ
gm	ɡɛm
gmgm	ɡɛmɡɛm
gmj	kʼiːmit
gmj	kʼiːmiʔ
gmj	kʼiːmə
gmj	kʼiːmit
gmj	kʼiːmiʔ
gmj	kʼiːmə
gmj	ɡɛmi
gmt	ɡɛmɛt
gmḥ	ɡɛmɛħ
gmḥt	ɡɛmħɛt
gnn	ɡɛnɛn
gnẖ	ɡɛnɛç
gp	ɡɛp
gr	kʼaːɾ
gr	kʼaːʔ
gr	kʼoːʔ
gr	kʼaːɾ
gr	kʼaːʔ
gr	kʼoːʔ
gr	ɡɛr
grg	ɡɛrɛɡ
grgt	kʼaɾuːkʼVt
grgt	kʼaɾuːkʼVʔ
grgt	kʼəɾeːkʼə
grgt	kʼaɾuːkʼVt
grgt	kʼaɾuːkʼVʔ
grgt	kʼəɾeːkʼə
grgt	ɡɛrɡɛt
grt	ɡɛrɛt
grw	ɡɛruː
grw	ɡɛruː
grḥ	ɡɛrɛħ
grḥ	kʼaːɾaħ
grḥ	kʼaːɾaħ
grḥ	kʼoːɾəħ
grḥ	kʼaːɾaħ
grḥ	kʼaːɾaħ
grḥ	kʼoːɾəħ
grḥ	ɡɛrɛħ
gs	ɡɛs
gstj	kʼastVj
gstj	kʼastVj
gstj	kʼast
gstj	kʼastVj
gstj	kʼastVj
gstj	kʼast
gstj	ɡɛsti
gsꜣ	ɡɛsɑ
gwš	ɡuːʃ
gḥs	kʼaħas
gḥs	kʼaħas
gḥs	kʼəħas
gḥs	kʼaħas
gḥs	kʼaħas
gḥs	kʼəħas
gḥs	ɡɛħɛs
gꜣw	ɡɑuː
gꜣš	ɡɑʃ
hbhb	hɛbhɛb
hbj	hibjaw
hbj	hijbaw
hbj	hiːbəʔ
hbj	hiːp
hbj	hɛbi
hbnj	hɛbni
hj	hi
hkr	hɛkɛr
hmhmt	hɛmhɛmɛt
hndwꜣy	hɛnduːɑiː
hnw	hiːnaw
hnw	hiːnaw
hnw	hiːnəʔ
hnw	hiːn
hnw	hiːnaw
hnw	hiːnaw
hnw	hiːnəʔ
hnw	hiːn
hnw	hɛnuː
hnw	hɛnuː
hnw	hɛnuː
hnw	hɛnuː
hrm	hɛrɛm
hrw	haɾwuw
hrw	haʔwuw
hrw	haʔw
hrw	haɾwuw
hrw	haɾuww
hrw	haʔwuw
hrw	haɾuww
hrw	haʔw
hrw	həɾøww
hrw	hɛruː
hy	hiː
hꜣ	hɑ
hꜣb	hɑb
hꜣj	hɑi
hꜣw	hɑuː
j	i
j.	i
jb	jib
jb	jib
jb	ʔep
jb	jib
jb	jib
jb	ʔep
jb	ib
jb	ib
jbhyt	ibhiːt
jbj	jiːbit
jbj	jiːbiʔ
jbj	ʔiːβə
jbj	jiːbit
jbj	jiːbiʔ
jbj	ʔiːβə
jbj	ibi
jbr	ibɛr
jbt	jiːbat
jbt	jiːbaʔ
jbt	ʔiːβə
jbt	jiːbat
jbt	jiːbaʔ
jbt	ʔiːβə
jbt	ibɛt
jbḥ	ibɛħ
jbḥ	ibɛħ
jbꜣ	ibɑ
jd	id
jdb	idɛb
jdbwj	idɛbuːi
jdj	idi
jdmj	jVtʼuːmVj
jdmj	jVtʼuːmVj
jdmj	ʔətʼeːm
jdmj	jVtʼuːmVj
jdmj	jVtʼuːmVj
jdmj	ʔətʼeːm
jdmj	idmi
jdr	idɛr
jdw	iduː
jdyt	idiːt
jf	if
jfd	ifɛd
jfd	ifɛd
jfdnw	ifɛdnuː
jfdw	jaftʼaw
jfdw	jaftʼaw
jfdw	ʔəftʼaw
jfdw	ʔəftʼaw
jfdw	jaftʼaw
jfdw	jaftʼaw
jfdw	ʔəftʼaw
jfdw	ʔəftʼaw
jfdw	ifɛduː
jhm	ihɛm
jj	iʔi
jj.tj	iʔiʔti
jjwj	iʔiuːi
jkm	ikɛm
jkn	ikɛn
jky	ikiː
jm	im
jmj	jamij
jmj	jamij
jmj	ʔəmeʔ
jmj	jamij
jmj	jamij
jmj	ʔəmeʔ
jmj	imi
jmj	jiːmit
jmj	jiːmiʔ
jmj	ʔiːma
jmj	ʔiːmə
jmj	jiːmit
jmj	jiːmiʔ
jmj	ʔiːma
jmj	ʔiːmə
jmjtw	imituː
jmn	imɛn
jmn	jamaːnuw
jmn	jamaːnuw
jmn	ʔamaːnəʔ
jmn	ʔamoːn
jmn	jamaːnuw
jmn	jamaːnuw
jmn	ʔamaːnəʔ
jmn	ʔamoːn
jmn	jaːmin
jmn	jaːmin
jmn	joːmən
jmn	jaːmin
jmn	jaːmin
jmn	joːmən
jmn	imɛn
jmnt	jamnat
jmnt	jamnaʔ
jmnt	jamnə
jmnt	jamnat
jmnt	jamnaʔ
jmnt	jamnə
jmnt	imɛnɛt
jmnt	imɛnɛt
jmntj	jamintij
jmntj	jamintij
jmntj	ʔəment
jmntj	jamintij
jmntj	jamintij
jmntj	ʔəment
jmntj	imɛnti
jmntt	jamintit
jmntt	jamintiʔ
jmntt	ʔamentə
jmntt	jamintit
jmntt	jamintiʔ
jmntt	ʔamentə
jmntt	imɛnɛtɛt
jmr	imɛr
jmstj	imsɛti
jmw	imuː
jmy	imiː
jmḏr	imd͡ʒɛr
jmḥt	imħɛt
jmꜣ	imɑ
jmꜣḫ	imɑx
jmꜣḫw	imɑxuː
jn	in
jn	in
jnb	inɛb
jnd	inɛd
jnj	jiːnit
jnj	jiːniʔ
jnj	ʔiːnə
jnj	jiːnit
jnj	jiːniʔ
jnj	ʔiːnə
jnj	ini
jnjwbꜣ	iniuːbɑ
jnk	janak
jnk	janak
jnk	ʔanak
jnk	janak
jnk	janak
jnk	ʔanak
jnk	inɛk
jnm	inɛm
jnn	janan
jnn	janan
jnn	ʔanan
jnn	janan
jnn	janan
jnn	ʔanan
jnn	inɛn
jnpw	janaːpaw
jnpw	janaːpaw
jnpw	ʔanaːpəʔ
jnpw	ʔanoːp
jnpw	janaːpaw
jnpw	janaːpaw
jnpw	ʔanaːpəʔ
jnpw	ʔanoːp
jnpw	inɛpuː
jnq	inɛk
jnr	jaːnaɾ
jnr	jaːnaʔ
jnr	ʔoːnə
jnr	jaːnaɾ
jnr	jaːnaʔ
jnr	ʔoːnə
jnr	inɛr
jnst	insɛt
jnt	inɛt
jntjrwywꜣšꜣ	intiruːiːuːɑʃɑ
jnw	inuː
jnḥ	inɛħ
jnꜥ	inɑː
jp	ip
jpf	ipɛf
jpn	ipɛn
jpt	ipɛt
jpt	ʔapat
jptf	iptɛf
jptn	iptɛn
jptw	iptuː
jpw	ipuː
jpwj	ipuːi
jqr	ikɛr
jr	ir
jrj	jiːɾit
jrj	jiːɾiʔ
jrj	ʔiːɾa
jrj	ʔiːɾə
jrj	jiːɾit
jrj	jiːɾiʔ
jrj	ʔiːɾa
jrj	ʔiːɾə
jrj	iri
jrp	juːɾap
jrp	juːɾap
jrp	ʔeːɾəp
jrp	juːɾap
jrp	juːɾap
jrp	ʔeːɾəp
jrp	irɛp
jrsjrnꜣt	irsirɛnɑt
jrt	jiːɾat
jrt	jiːɾaʔ
jrt	ʔiːɾə
jrt	jiːɾat
jrt	jiːɾaʔ
jrt	ʔiːɾə
jrt	irɛt
jrw	iruː
jrwrꜣ	iruːrɑ
jry	iriː
jrṯt	jVɾaːcat
jrṯt	jVɾaːtaʔ
jrṯt	ʔəɾoːtə
jrṯt	jVɾaːcat
jrṯt	jVɾaːtaʔ
jrṯt	ʔəɾoːtə
jrṯt	irt͡ʃɛt
js	is
jspt	ispɛt
jspt	jaspVt
jspt	jaspVʔ
jspt	ʔaspə
jspt	jaspVt
jspt	jaspVʔ
jspt	ʔaspə
jspt	ispɛt
jsqꜣrnj	iskɑrɛni
jsqꜣrwnj	iskɑruːni
jsr	isɛr
jsry	isriː
jst	isɛt
jsw	jiːsuw
jsw	jiːsuw
jsw	ʔiːs
jsw	jiːsuw
jsw	jiːsuw
jsw	ʔiːs
jsw	isuː
jswr	isuːr
jsṯ	isɛt͡ʃ
jt	jaːtij
jt	jaːtij
jt	joːt
jt	jaːtij
jt	jatjaw
jt	jaːtij
jt	jatjaw
jt	joːt
jt	jatʔ
jt	it
jtj	iti
jtmw	itɛmuː
jtn	jaːtin
jtn	jaːtin
jtn	jaːtəj
jtn	joːtəj
jtn	jaːtin
jtn	jaːtin
jtn	jaːtəj
jtn	joːtəj
jtn	itɛn
jtn	itɛn
jtnw	itɛnuː
jtrt	itrɛt
jtrw	jatɾaw
jtrw	jaʔɾaw
jtrw	jaʔɾ
jtrw	jatɾaw
jtrw	jaʔɾaw
jtrw	jaʔɾ
jtrw	itɛruː
jty	itiː
jtḥ	itɛħ
jw	iuː
jwd	iuːd
jwdnb	iuːdnɛb
jwf	iuːf
jwj	iuːi
jwjt	iuːit
jwms	iuːmɛs
jwn	jawin
jwn	jawin
jwn	ʔawen
jwn	jawin
jwn	jawin
jwn	ʔawin
jwn	ʔawen
jwn	iuːn
jwn	iuːn
jwnj	iuːni
jwntj	iuːnɛti
jwnw	iuːnuː
jwnyt	iuːniːt
jwr	iuːr
jwsw	iuːsuː
jwt	iuːt
jwtj	iuːti
jwtt	iuːtɛt
jwwj	iuːʔuːi
jwyt	iuːiːt
jwḥ	iuːħ
jwꜣ	iuːɑ
jwꜥ	iuːɑː
jwꜥt	iuːɑːt
jwꜥw	iuːɑːuː
jyt	iʔiːt
jz	iz
jzft	jazaːfat
jzft	ʔasaːfaʔ
jzft	ʔasoːfə
jzft	jazaːfat
jzft	ʔasaːfaʔ
jzft	ʔasoːfə
jzft	izfɛt
jzftj	izfɛti
jzkn	izkɛn
jzr	jazɾVw
jzr	jasɾVw
jzr	ʔasɾ
jzr	jazɾVw
jzr	jasɾVw
jzr	ʔasɾ
jzr	izɛr
jzwt	izuːt
jšdt	iʃɛdɛt
jšst	iʃɛsɛt
jšš	iʃɛʃ
jḥ	jaħij
jḥ	jaħij
jḥ	ʔəħeʔ
jḥ	jaħij
jḥ	jaħiww
jḥ	jaħij
jḥ	jaħiww
jḥ	ʔəħeʔ
jḥ	ʔəħeww
jḥ	iħ
jḥw	jaħaːwaw
jḥw	jaħaːwaw
jḥw	ʔəħoːw
jḥw	jaħaːwaw
jḥw	jaħaːwaw
jḥw	ʔəħoːw
jḥw	iħuː
jḫ	jaχ
jḫ	jaχ
jḫ	ʔaχ
jḫ	jaχ
jḫ	jaχ
jḫ	ʔaχ
jḫ	ix
jḫmt	ixmɛt
jḫt	ixɛt
jḫḫw	ixɛxuː
jṯj	it͡ʃi
jꜣbj	iɑbi
jꜣbt	jaʀbat
jꜣbt	jaʀbaʔ
jꜣbt	joːβə
jꜣbt	jaʀbat
jꜣbt	jaʀbaʔ
jꜣbt	joːβə
jꜣbt	iɑbɛt
jꜣbtt	iɑbɛtɛt
jꜣdw	iɑduː
jꜣjw	iɑiuː
jꜣkb	iɑkɛb
jꜣkbyt	iɑkɛbiːt
jꜣmw	iɑmuː
jꜣqt	juʀqʼat
jꜣqt	juʀqʼaʔ
jꜣqt	ʔeːqʼə
jꜣqt	juʀqʼat
jꜣqt	juʀqʼaʔ
jꜣqt	ʔeːqʼə
jꜣqt	iɑkɛt
jꜣr	iɑr
jꜣrrt	jaʀlaljat
jꜣrrt	jaʀlaljaʔ
jꜣrrt	ʔalalʔə
jꜣrrt	jaʀlaljat
jꜣrrt	jaʀlaljaʔ
jꜣrrt	ʔalalʔə
jꜣrrt	iɑrɛrɛt
jꜣrw	iɑruː
jꜣt	iɑt
jꜣtjw	iɑtiuː
jꜣtjw	iɑtiuː
jꜣw	jaʀaw
jꜣw	jaʀaw
jꜣw	ʔaw
jꜣw	jaʀaw
jꜣw	jaʀaw
jꜣw	ʔaw
jꜣw	iɑuː
jꜣwj	iɑuːi
jꜣwt	iɑuːt
jꜣḫw	iɑxuː
jꜣꜣ	iɑʔɑ
jꜣꜣt	iɑʔɑt
jꜥf	iɑːf
jꜥj	iɑːi
jꜥn	iɑːn
jꜥnt	iɑːnɛt
jꜥnw	iɑːnuː
jꜥr	iɑːr
jꜥrt	iɑːrɛt
jꜥḥ	jaʕaħ
jꜥḥ	jaʕaħ
jꜥḥ	ʔəjaħ
jꜥḥ	jaʕaħ
jꜥḥ	jaʕaħ
jꜥḥ	ʔəjaħ
jꜥḥ	iɑːħ
jꜥꜣ	iɑːʔɑ
kbn	kaban
kbn	kaban
kbn	kəβan
kbn	kaban
kbn	kaban
kbn	kəβan
kbn	kɛbɛn
kftjw	kɛftiuː
kftyw	kɛftiːuː
kj	ki
kkw	kɛkuː
km	kaːm
km	kaːm
km	koːm
km	kaːm
km	kaːm
km	koːm
km	kuːmaw
km	kuːmaw
km	keːm
km	kuːmaw
km	kuːmaw
km	keːm
km	kɛm
kmbjṯt	kɛmbit͡ʃɛt
kmt	kuːmat
kmt	kuːmaʔ
kmt	keːmə
kmt	kuːmat
kmt	kuːmaʔ
kmt	keːmə
kmt	kɛmɛt
kmyt	kɛmiːt
kns	kɛnɛs
knꜥnw	kɛnɑːnuː
ksj	kɛsi
ksw	kɛsuː
ktt	kɛtɛt
kw	kuː
ky	kiː
kš	kɛʃ
kꜣhs	kɑhɛs
kꜣj	kɑi
kꜣm	kaʀnVw
kꜣm	kaʀm
kꜣm	koːm
kꜣm	kaʀnVw
kꜣm	kaʀm
kꜣm	koːm
kꜣm	kɑm
kꜣmn	kɑmɛn
kꜣmw	kaʀmiw
kꜣmw	kaʀmiw
kꜣmw	kəmew
kꜣmw	kaʀmiw
kꜣmw	kaʀmiw
kꜣmw	kəmew
kꜣmw	kɑmuː
kꜣnꜥnꜥ	kɑnɑːnɑː
kꜣpw	kɑpuː
kꜣs	kɑs
kꜣt	kɑt
kꜣš	kɑʃ
m	ma
m	mə
m	m̩
m	ma
m	mə
m	m̩
m	ɛm
mds	mɛdɛs
mdt	maːtʼat
mdt	maːtʼaʔ
mdt	moːtʼə
mdt	maːtʼat
mdt	maːtʼaʔ
mdt	moːtʼə
mdt	mətʼət
mdt	mɛdɛt
mdw	maːtʼaw
mdw	maːtʼaw
mdw	moːtʼ
mdw	maːtʼaw
mdw	matʼuww
mdw	maːtʼaw
mdw	matʼuww
mdw	moːtʼ
mdw	mətʼøww
mdw	mɛduː
mdwj	mɛduːi
mfkꜣt	mɛfkɑt
mhj	mɛhi
mj	mi
mjgꜣdn	miɡɑdɛn
mjktj	mikti
mjn	min
mjnb	minɛb
mjnj	mini
mjnt	minɛt
mjt	mit
mjtj	miti
mjtt	mitɛt
mjtw	mituː
mjw	miʀjuw
mjw	miuː
mjw	miuː
mjwj	miuːi
mjzt	mizɛt
mjḫꜣt	mixɑt
mkj	mɛki
mkt	mɛkɛt
mm	mɛm
mmj	mɛmi
mn	maːn
mn	maːn
mn	moːn
mn	maːn
mn	maːn
mn	moːn
mn	mɛn
mn	mɛn
mnhz	mɛnhɛz
mnj	manij
mnj	manij
mnj	maneʔ
mnj	məne
mnj	manij
mnj	manij
mnj	maneʔ
mnj	məne
mnj	mɛni
mnjw	mɛniuː
mnmnt	mɛnmɛnɛt
mnt	mɛnɛt
mnty	mVnaːtij
mnty	mVnaːtij
mnty	mənoːt
mnty	mVnaːtij
mnty	mVnaːtij
mnty	mənoːt
mnty	mɛntiː
mnw	mɛnuː
mnwt	mɛnuːt
mnyt	mɛniːt
mnḏ	manacʼ
mnḏ	manatʼ
mnḏ	mənatʼ
mnḏ	manacʼ
mnḏ	manatʼ
mnḏ	mənatʼ
mnḏ	mɛnɛd͡ʒ
mnḏt	mɛnd͡ʒɛt
mnḫ	mɛnɛx
mnḫt	mɛnxɛt
mnṯw	mɛnt͡ʃuː
mnṯw	montuː
mr	mɛr
mr	maːɾ
mr	maːɾ
mr	moːɾ
mr	maːɾ
mr	maːɾ
mr	moːɾ
mrj	miɾjit
mrj	miʔjiʔ
mrj	meʔ
mrj	miɾjit
mrj	miʔjiʔ
mrj	meʔ
mrj	mɛri
mrkbt	mɛrkɛbɛt
mrrt	mɛrɛrɛt
mrt	mɛrɛt
mrt	mɛrɛt
mrw	muːɾaw
mrw	muːɾaw
mrw	meːɾ
mrw	muːɾaw
mrw	muːɾaw
mrw	meːɾ
mrw	mɛruː
mrwryt	mɛruːriːt
mrwt	mɛruːt
mrwt	mɛruːt
mry	maɾiː
mry	maɾiː
mry	məɾiː
mry	maɾiː
mry	maɾiː
mry	məɾiː
mry	mɛriː
mryt	maɾaːjat
mryt	maɾaːjaʔ
mryt	məɾoːʔə
mryt	maɾaːjat
mryt	maɾaːjaʔ
mryt	məɾoːʔə
mryt	mɛriːt
mrḥt	mVɾiħjat
mrḥt	mVɾiħjaʔ
mrḥt	məɾeħʔə
mrḥt	mVɾiħjat
mrḥt	mVɾiħjaʔ
mrḥt	məɾeħʔə
mrḥt	mɛrħɛt
ms	mis
ms	mis
ms	mes
ms	mis
ms	mis
ms	mes
ms	mɛs
msdmt	mɛsdɛmɛt
msdw	mascʼiw
msdw	mastʼiw
msdw	mastʼ
msdw	mascʼiw
msdw	mastʼiw
msdw	mastʼ
msdw	mɛsɛduː
msj	miːsit
msj	miːsiʔ
msj	miːsə
msj	miːsit
msj	miːsiʔ
msj	miːsə
msj	mɛsi
msjꜣt	mɛsiɑt
msktt	mɛsɛktɛt
mskꜣ	mɛskɑ
msqt	mɛskɛt
mswt	masaːwat
mswt	masaːwaʔ
mswt	məsoːwə
mswt	masaːwat
mswt	masaːwaʔ
mswt	məsoːwə
mswt	mɛsuːt
msyt	mɛsiːt
msḏj	miscʼit
msḏj	mistʼiʔ
msḏj	mestʼə
msḏj	miscʼit
msḏj	mistʼiʔ
msḏj	mestʼə
msḏj	mɛsɛd͡ʒi
msḏr	mascʼaɾ
msḏr	mastʼaʔ
msḏr	mastʼə
msḏr	mascʼaɾ
msḏr	mastʼaʔ
msḏr	mastʼə
msḏr	mɛsd͡ʒɛr
msḥ	mɛsɛħ
msḫn	mɛsxɛn
msꜣḏt	mɛsɑd͡ʒɛt
mt	mɛt
mtj	mɛti
mtr	mɛtɛr
mtrt	mitɾat
mtrt	miʔɾaʔ
mtrt	meʔɾə
mtrt	mitɾat
mtrt	miʔɾaʔ
mtrt	meʔɾə
mtrt	mɛtrɛt
mtt	muːtat
mtt	muːtat
mtt	meːtə
mtt	muːtat
mtt	muːtat
mtt	meːtə
mtt	mɛtɛt
mtwt	mɛtuːt
mw	maw
mw	maw
mw	maw
mw	maw
mw	maw
mw	maw
mw	muː
mwjbw	muːibuː
mwt	miʔwat
mwt	miʔwaʔ
mwt	meʔwə
mwt	miʔwat
mwt	miʔwaʔ
mwt	meʔwə
mwt	muːt
mwt	maːwat
mwt	maːwaʔ
mwt	moːw
mwt	maːwat
mwt	maːwaʔ
mwt	moːw
mwt	muːt
mwt	muːt
mww	muːʔuː
my	miː
mz	mɛz
mzwr	mɛzuːr
mzḥ	mVzaħ
mzḥ	mVsaħ
mzḥ	məsaħ
mzḥ	mVzaħ
mzḥ	mVsaħ
mzḥ	məsaħ
mzḥ	mɛzɛħ
mšrw	mɛʃruː
mšw	mɛʃuː
mšꜥ	mɛʃɑː
mšꜥ	maʃʕaj
mšꜥ	maʃʕaj
mšꜥ	maʕʃə
mšꜥ	maʃʕaj
mšꜥ	maʃʕaj
mšꜥ	maʕʃə
mšꜥ	mɛʃɑː
mḏrj	mɛd͡ʒɛri
mḏw	muːcʼaw
mḏw	muːtʼaw
mḏw	muːtʼəʔ
mḏw	meːtʼ
mḏw	muːcʼaw
mḏw	muːtʼaw
mḏw	muːtʼəʔ
mḏw	meːtʼ
mḏw	mɛd͡ʒuː
mḏwtj	mucʼawaːtaj
mḏwtj	mutʼawaːtaj
mḏwtj	mətʼəwoːt
mḏwtj	mucʼawaːtaj
mḏwtj	mutʼawaːtaj
mḏwtj	mətʼəwoːt
mḏwtj	mɛd͡ʒuːti
mḏḥ	mɛd͡ʒɛħ
mḏꜣt	mɛd͡ʒɑt
mḏꜣy	mɛd͡ʒɑiː
mḥ	mɛħ
mḥj	mɛħi
mḥsḥs	mɛħɛsħɛs
mḥt	mɛħɛt
mḥtj	mɛħti
mḥtjw	mɛħtiuː
mḥtt	mɛħtɛt
mḥw	mɛħuː
mḥyt	maħiːjVt
mḥyt	maħiːjVʔ
