aaron	aːaron
abiectio	abjɛktioː
abiecto	abjɛktoː
abiegnus	abieːŋnʊs
abierimus	abiɛrɪmʊs
abierimus	abiɛriːmʊs
abieris	abiɛrɪs
abieris	abiɛriːs
abieritis	abiɛrɪtɪs
abieritis	abiɛriːtɪs
abietarius	abiɛtaːriʊs
abietifolius	abiɛtɪfɔliʊs
abietinus	abiɛtɪnʊs
abiga	abɪɡa
abigeator	abɪɡeaːtɔr
abigeatus	abɪɡeaːtʊs
abigeus	abɪɡeʊs
abigo	abɪɡoː
abilitas	abɪlɪtaːs
abitio	abɪtioː
abitus	abɪtʊs
abiudicandus	abjuːdɪkandʊs
abiudicativus	abjuːdɪkaːtiːwʊs
abiudico	abjuːdɪkoː
abiugo	abjʊɡoː
abiungo	abjʊŋɡoː
abjicio	abjɪkioː
abjudicativus	abjʊdɪkaːtiːwʊs
abjudico	abjuːdɪkoː
abjugo	abjʊɡoː
abjungo	abjʊŋɡoː
ablacto	abɫaktoː
ablacuo	abɫakʊoː
ablaqueatio	abɫakᶣeaːtioː
ablaqueo	abɫakᶣeoː
ablatio	abɫaːtioː
ablativa	abɫaːtiːwa
ablativa	abɫaːtiːwaː
ablativas	abɫaːtiːwaːs
ablative	abɫaːtiːwɛ
ablativi	abɫaːtiːwiː
ablativo	abɫaːtiːwoː
ablativos	abɫaːtiːwoːs
ablativus	abɫaːtiːwʊs
ablator	abɫaːtɔr
ablegatio	abɫeːɡaːtioː
ablego	abɫeːɡoː
ablepsia	abɫɛpsia
abligurio	ablɪɡuːrioː
abligurrio	ablɪɡʊrrioː
abligurritio	ablɪɡʊrriːtioː
abligurritor	ablɪɡʊrriːtɔr
abloco	abɫɔkoː
abludo	abɫuːdoː
abluo	abɫʊoː
ablutio	abɫuːtioː
ablutio	abluːt͡sio
ablutor	abɫuːtɔr
abluturus	abɫuːtuːrʊs
abluvio	abɫʊwioː
abluvium	abɫʊwiʊ̃
abmatertera	abmaːtɛrtɛra
abnatatum	abnataːtʊ̃
abnataturus	abnataːtuːrʊs
abnegatio	abnɛɡaːtioː
abnegativus	abnɛɡaːtiːwʊs
abnegator	abnɛɡaːtɔr
abnego	abnɛɡoː
abnoctatum	abnɔktaːtʊ̃
abnoctaturus	abnɔktaːtuːrʊs
abnocto	abnɔktoː
abnormis	abnoːrmɪs
abnueo	abnʊeoː
abnuitio	abnʊɪtioː
abnumero	abnʊmɛroː
abnuo	abnʊoː
abnutatum	abnuːtaːtʊ̃
abnutaturus	abnuːtaːtuːrʊs
abnutivus	abnuːtiːwʊs
abobriga	abɔbriːɡa
abodiacum	abɔdiakʊ̃
abolani	abɔɫaːniː
aboleo	abɔɫeoː
abolesco	abɔɫeːskoː
abolitio	abɔlɪtioː
abolitor	abɔlɪtɔr
abolla	abɔlla
abomasum	abɔmaːsʊ̃
abominabilis	aboːmɪnaːbɪlɪs
abominamentum	aboːmɪnaːmɛntʊ̃
abominandus	aboːmɪnandʊs
abominatio	aboːmɪnaːtioː
abomino	aboːmɪnoː
abominosus	aboːmɪnoːsʊs
aborigineus	abɔriːɡɪneʊs
aboriginus	abɔrɪɡɪnʊs
aborior	abɔriɔr
aborsus	abɔrsʊs
abortas	abɔrtaːs
abortaturus	abɔrtaːtuːrʊs
abortio	abɔrtioː
abortivum	abɔrtiːwʊ̃
abortivus	abɔrtiːwʊs
aborto	abɔrtoː
abortus	abɔrtʊs
abraham	aːbraam
abram	abrã
abrelictus	abrɛlɪktʊs
abrenuntiatum	abrɛnʊntiaːtʊ̃
abrenuntiaturus	abrɛnʊntiaːtuːrʊs
abrenuntio	abrɛnuːntioː
abrincatui	abrɪŋkatʊiː
abripio	abrɪpioː
abrocomes	abrɔkɔmeːs
abrogate	abrɔɡaːtɛ
abrogatio	abrɔɡaːtioː
abrogo	abrɔɡoː
abronius	abroːniʊs
abrotanifolius	abrɔtanɪfɔliʊs
abrumpo	abrʊmpoː
abruptio	abrʊptioː
absarus	apsarʊs
abscindo	apskɪndoː
abscissa	apskɪssa
abscissio	apskɪssioː
abscisus	apskiːsʊs
abscondeo	apskɔndeoː
absconditus	apskɔndɪtʊs
abscondo	apskɔndoː
absconsus	apskõːsʊs
absens	apsẽːs
absentia	apsɛntia
absentivus	apsɛntiːwʊs
absentivus	apsentiːvus
absento	apsɛntoː
absidatus	apsiːdaːtʊs
absilio	apsɪlioː
absimilis	apsɪmɪlɪs
absinthiatus	apsɪntʰiaːtʊs
absinthifolius	apsɪntʰɪfɔliʊs
absinthites	apsɪntʰiːteːs
absinthium	apsɪntʰiʊ̃
absisto	apsɪstoː
absitus	apsɪtʊs
absocer	apsɔkɛr
absoluo	apsɔɫʊoː
absolutio	apsɔɫuːtioː
absolutorius	apsɔɫuːtoːriʊs
absolutus	apsɔɫuːtʊs
absolvens	apsɔɫwẽːs
absolvo	apsɔɫwoː
absono	apsɔnoː
absonus	apsɔnʊs
absorbeo	apsɔrbeoː
absorptio	apsɔrptioː
absortus	apsɔrtʊs
abspello	apspɛlloː
absporto	apspɔrtoː
absque	apskᶣɛ
abstemius	apsteːmiʊs
abstergeo	apstɛrɡeoː
absterreo	apstɛrreoː
abstinax	apstɪnaːks
abstineo	apstɪneoː
abstractus	apstraktʊs
abstrusus	apstruːsʊs
abstuli	apstʊliː
absum	apsʊ̃
absurdus	apsʊrdʊs
absus	apsʊs
absynthites	apsʏntʰiːteːs
abudius	abʊdiʊs
abuio	aːbʊjjoː
abujo	aːbʊjjoː
abundanter	abʊndantɛr
abundantia	abʊndantia
abundatio	abʊndaːtioː
abundatum	abʊndaːtʊ̃
abundaturus	abʊndaːtuːrʊs
abundiflorus	abʊndɪfɫɔrʊs
abundo	abʊndoː
abundus	abʊndʊs
aburius	abʊriʊs
abusina	abʊsɪna
abusivus	abuːsiːwʊs
abusor	abuːsɔr
abutor	abuːtɔr
abydus	abyːdʊs
abyla	abʏɫa
abyssalis	abʏssaːlɪs
abyssicolus	abʏssɪkɔɫʊs
abyssinicus	abʏssɪnɪkʊs
abyssus	abʏssʊs
abzoae	abzɔae̯
acacesium	akakeːsiʊ̃
acaciifolius	akakiɪfɔliʊs
acaciiformis	akaːkiɪfoːrmɪs
academicus	akadeːmɪkʊs
acalandrus	akaɫandrʊs
acalephe	akaɫeːpʰeː
acalyphaceus	akalʏpʰaːkeʊs
acampsis	akampsɪs
acanthicarpus	akantʰɪkarpʊs
acanthifolius	akantʰɪfɔliʊs
acanthinus	akantʰɪnʊs
acanthius	akantʰiʊs
acanthocarpus	akantʰɔkarpʊs
acanthocladus	akantʰɔkɫadʊs
acanthocomus	akantʰɔkɔmʊs
acanthodontus	akantʰɔdɔntʊs
acanthonotus	akantʰɔnɔtʊs
acanthophorus	akantʰɔpʰɔrʊs
acanthophyllus	akantʰɔpʰʏllʊs
acanthopodius	akantʰɔpɔdiʊs
acanthus	akantʰʊs
acaricus	akarɪkʊs
acascomarci	akaskɔmarkiː
acaulis	akau̯lɪs
acaustus	akau̯stʊs
accadicus	akkadɪkʊs
accanare	akkanaːrɛ
accanite	akkanɪtɛ
accanito	akkanɪtoː
accapito	akkapɪtoː
acceleratio	akkɛɫɛraːtioː
acceleratrix	akkɛɫɛraːtriːks
accelero	akkɛɫɛroː
accendo	akkɛndoː
accenseo	akkẽːseoː
accensibilis	akkẽːsɪbɪlɪs
accentor	akkɛntɔr
accentus	akkɛntʊs
accepta	akkɛpta
acceptabilis	akkɛptaːbɪlɪs
acceptio	akkɛptioː
accepto	akkɛptoː
accersio	akkɛrsioː
accerso	akkɛrsoː
accessibilis	akkɛssɪbɪlɪs
accessito	akkɛssɪtoː
accessorius	akkɛssoːriʊs
accidens	akkɪdẽːs
accidens	akkiːdẽːs
accidenta	akkɪdɛnta
accidentia	akkɪdɛntia
accidento	akkɪdɛntoː
accidentum	akkɪdɛntʊ̃
accidere	akkɪdɛrɛ
accidere	akkɪdeːrɛ
accidere	akkiːdɛrɛ
accido	akkɪdoː
accingo	akkɪŋɡoː
accino	akkɪnoː
accipiens	akkɪpiẽːs
accipio	akkɪpioː
accipio	att͡ʃiːpio
accipiter	akkɪpɪtɛr
accipiter	att͡ʃiːpiter
accipitrina	akkɪpɪtriːna
accipitro	akkɪpɪtroː
accisi	akkɪsiː
accius	akkiʊs
acclamo	akkɫaːmoː
acclaro	akkɫaːroː
acclinis	akkliːnɪs
acclivis	akkliːwɪs
accola	akkɔɫa
accoleius	akkɔɫeːiʊs
accommodatus	akkɔmmɔdaːtʊs
accommodo	akkɔmmɔdoː
acconcilio	akkɔŋkɪliɔ
acconcilio	akkont͡ʃiːlio
accorporo	akkɔrpɔroː
accretus	akkreːtʊs
accua	akkʊa
accubitatio	akkʊbɪtaːtioː
accubito	akkʊbɪtoː
accubitus	akkʊbɪtʊs
accubitus	akkʊbɪtuːs
accubo	akkʊboː
accumbere	akkʊmbɛrɛ
accumbere	akkʊmbeːrɛ
accumbo	akkʊmboː
accumulatio	akkʊmʊɫaːtioː
accumulo	akkʊmʊɫoː
accuratus	akkuːraːtʊs
accurro	akkʊrroː
accusabilis	akkuːsaːbɪlɪs
accusativus	akkuːsaːtiːwʊs
accusator	akkuːsaːtɔr
accusatorius	akkuːsaːtoːriʊs
accusatus	akkuːsaːtʊs
accusito	akkuːsɪtoː
acephalus	akɛpʰaɫʊs
acer	aːkɛr
acer	akɛr
aceratus	akɛraːtʊs
acerbate	akɛrbaːtɛ
acerbe	akɛrbeː
acerbe	akɛrbɛ
acerbitas	akɛrbɪtaːs
acerbo	akɛrboː
acerbus	akɛrbʊs
acere	akeːrɛ
acere	akɛrɛ
aceriflorus	akɛrɪfɫɔrʊs
acerifolius	akɛrɪfɔliʊs
acerinus	akɛrɪnʊs
aceriphyllus	akɛrɪpʰʏllʊs
acernus	akɛrnʊs
acerosus	akɛroːsʊs
acerra	akɛrra
acerrae	akɛrrae̯
acerronius	akɛrroːniʊs
acerus	akeːrʊs
acervalis	akɛrwaːlɪs
acervo	akɛrwoː
acervus	akɛrwʊs
acesines	akɛsiːneːs
acesinus	akɛsiːnʊs
acetabularis	akeːtaːbʊɫaːrɪs
acetabuliformis	akeːtaːbʊlɪfoːrmɪs
acetabulosus	akeːtaːbʊɫoːsʊs
acetabulum	akeːtaːbʊɫʊ̃
acetosus	akeːtoːsʊs
acetoxidans	akɛtɔksɪdãːs
acetum	akeːtʊ̃
achaemenis	akʰae̯mɛnɪs
acharis	akʰarɪs
achates	akaːtes
achatinus	akʰaːtiːnʊs
achelous	akʰɛɫoːʊs
achenum	akʰɛnʊ̃
acheron	akʰɛroːn
acheronensis	akʰɛrɔnẽːsɪs
acheronteus	akʰɛrɔnteːʊs
acherunticus	akʰɛrʊntɪkʊs
achilles	akʰɪlleːs
achillinus	akʰɪlliːnʊs
achillinus	akilliːnus
aciarium	akiaːriʊ̃
aciarium	at͡ʃiaːrium
acicula	akɪkʊɫa
acicula	at͡ʃiːkula
acicularifolius	akɪkʊɫarɪfɔliʊs
acicularis	akɪkʊɫaːrɪs
aciculatus	akɪkʊɫaːtʊs
aciculifer	akɪkʊlɪfɛr
aciculinus	akɪkʊlɪnʊs
acidinus	akɪdiːnʊs
acido	akɪdoː
acidominimus	akɪdɔmɪnɪmʊs
acidovorans	akɪdɔwɔrãːs
acidulus	akɪdʊɫʊs
acidus	akɪdʊs
acies	aːt͡ʃies
acilius	akiːliʊs
acimincum	akɪmɪŋkʊ̃
acinaceus	akiːnakeʊs
acinacifolius	akɪnakɪfɔliʊs
acinaciformis	akiːnakɪfoːrmɪs
acinasis	akɪnasɪs
acinifolius	akɪnɪfɔliʊs
acinippo	akɪnɪppoː
acinosus	akɪnoːsʊs
acinus	akɪnʊs
acipenser	akɪpẽːsɛr
acis	akɪs
aclydas	aːklʏdas
aclyde	aːklʏdɛ
aclydes	aːklʏdeːs
aclydis	aːklʏdɪs
aclys	aːklʏs
acmodontus	akmɔdɔntʊs
acnua	aknʊa
acoetis	akoe̯tɪs
acollis	akɔllɪs
acolythus	akɔlʏtʰʊs
acolythus	akoːlitus
acona	akɔna
aconitifolius	akɔnɪtɪfɔliʊs
aconitum	akɔniːtʊ̃
aconitus	akɔniːtʊs
acontius	akɔntiʊs
acontizo	akɔntɪzoː
acoris	akɔrɪs
acornis	akɔrnɪs
acoros	akɔrɔs
acorum	akɔrʊ̃
acorus	akɔrʊs
acquiesco	akkᶣieːskoː
acquiro	akkᶣiːroː
acraeus	akrae̯ʊs
acranthus	akrantʰʊs
acridens	aːkrɪdẽːs
acridentatus	aːkrɪdɛntaːtʊs
acrillae	akrɪllae̯
acrimonia	aːkrɪmoːnia
acrimoniosus	aːkrɪmoːnioːsʊs
acrisepalus	aːkrɪsɛpaɫʊs
acrisius	akrɪsiʊs
acritas	aːkrɪtaːs
acriter	aːkrɪtɛr
acritudo	aːkrɪtuːdoː
acroama	akrɔaːma
acroanthus	akrɔantʰʊs
acrobracteatus	akrɔbrakteaːtʊs
acrocarpus	akrɔkarpʊs
acroceraunia	akrɔkɛrau̯nia
acroconus	akrɔkoːnʊs
acrocorium	akrɔkɔriʊ̃
acrodontus	akrɔdɔntʊs
acroglossus	akrɔɡɫoːssʊs
acrolasius	akrɔɫasiʊs
acrolepis	akrɔɫɛpɪs
acronematicus	akrɔneːmatɪkʊs
acroscopicus	akrɔskɔpɪkʊs
acrotrichus	akrɔtrɪkʰʊs
acrozymus	akroːzyːmʊs
acrufolius	akrʊfɔliʊs
acte	aːktɛ
actinacanthus	aktɪnakantʰʊs
actinium	aktiːniʊ̃
actinium	aktiːnium
actinocarpus	aktɪnɔkarpʊs
actinopetalus	aktiːnɔpɛtaɫʊs
actinophyllus	aktɪnɔpʰʏllʊs
actito	aːktɪtoː
activitas	aːktiːwɪtaːs
activus	aːktiːwʊs
actor	aːktɔr
actorius	aktoːriʊs
actualis	aːktʊaːlɪs
actualis	aktuaːlis
actualis	aktʷales
actuarius	aːktʊaːriʊs
actum	aːktʊ̃
actuo	aːktʊoː
actuosus	aːktʊoːsʊs
actus	aːktʊs
acula	akʊɫa
aculeaticarpus	akʊɫeatɪkarpʊs
aculeatiflorus	akʊɫeatɪfɫɔrʊs
aculeatus	akuːɫeaːtʊs
aculeolatus	akʊɫeɔɫaːtʊs
aculeus	akʊɫeʊs
aculeus	akuːleus
aculos	akʊɫɔs
acumen	akuːmɛn
acuminatifolius	akʊmɪnatɪfɔliʊs
acumino	akuːmɪnoː
acuminosus	akuːmɪnoːsʊs
acuo	akʊoː
acupedius	akuːpɛdiʊs
acus	akʊs
acutalis	akuːtaːlɪs
acutangulus	akuːtaŋɡʊɫʊs
acutatus	akuːtaːtʊs
acuticarpus	akuːtɪkarpʊs
acutidens	akuːtɪdẽːs
acutidentatus	akuːtɪdɛntaːtʊs
acutiflorus	akuːtɪfɫoːrʊs
acutifolius	akuːtɪfɔliʊs
acutiformis	akuːtɪfoːrmɪs
acutiglumis	akuːtɪɡɫuːmɪs
acutiglumus	akuːtɪɡɫuːmʊs
acutilobus	akuːtɪɫɔbʊs
acutipennis	akuːtɪpɛnnɪs
acutipetalus	akuːtɪpɛtaɫʊs
acutirostris	akuːtɪroːstrɪs
acutisepalus	akuːtɪseːpaɫʊs
acutisquamatus	akuːtɪskʷaːmaːtʊs
acutisquamosus	akuːtɪskʷaːmoːsʊs
acutius	akuːtiʊs
acutivalvis	akuːtɪwaɫwɪs
acutri	akʊtriː
acutus	akuːtʊs
adactus	adaːktʊs
adaequatus	adae̯kʷaːtʊs
adaestuatum	adae̯stʊaːtʊ̃
adaestuaturus	adae̯stʊaːtuːrʊs
adaestuo	adae̯stʊoː
adaggero	adaɡɡɛroː
adagium	adaɡiʊ̃
adalligo	adallɪɡoː
adam	aːdam
adamantinus	adamantɪnʊs
adambulatum	adambʊɫaːtʊ̃
adambulaturus	adambʊɫaːtuːrʊs
adambulo	adambʊɫoː
adamicus	adamɪkʊs
adamus	aːdaːmʊs
adamus	adaːmus
adanensis	adanẽːsɪs
adaperio	adapɛrioː
adaptabilis	adaptaːbɪlɪs
adaquo	aːdakwo
adaquo	aðakʷo
adbello	adbɛlloː
adbibo	adbɪboː
adbrevio	adbrɛwioː
adcelero	adkɛɫɛroː
adclamo	adkɫaːmoː
adclaro	adkɫaːroː
adcommodo	adkɔmmɔdoː
adcorporo	adkɔrpɔroː
adcubo	adkʊboː
adcumbo	adkʊmboː
adcumulo	adkʊmʊɫoː
adcurro	adkʊrroː
addecet	addɛkɛt
addecimo	addɛkɪmoː
addenseo	addẽːseoː
addenso	addẽːsoː
addictio	addɪktioː
addictor	addɪktɔr
addictus	addɪktʊs
addigito	addɪɡɪtoː
addisco	addɪskoː
additio	addɪtioː
addoceo	addɔkeoː
addormio	addɔrmioː
addua	addʊa
addubito	addʊbɪtoː
adducere	adduːkɛrɛ
adductor	addʊktɔr
adductus	addʊktʊs
adedo	adɛdoː
adelphis	adɛɫpʰɪs
adenanthus	adɛnantʰʊs
adendros	adɛndrɔs
adenensis	adɛnẽːsɪs
adeps	adɛps
adequitatum	adɛkᶣɪtaːtʊ̃
adequitaturus	adɛkᶣɪtaːtuːrʊs
adequito	adɛkᶣɪtoː
aderro	adɛrroː
adespota	adɛspɔta
adespota	adɛspɔta
adespota	adɛspɔtaː
adespoti	adɛspɔtiː
adespotis	adɛspɔtiːs
adespoto	adɛspɔtoː
adespotorum	adɛspɔtoːrʊ̃
adespotos	adɛspɔtɔs
adespotos	adɛspɔtoːs
adespotus	adɛspɔtʊs
adesurio	adeːsʊrioː
adfecte	adfɛkteː
adfectiose	adfɛktiɔseː
adfectiosus	adfɛktioːsʊs
adfectivus	adfɛktiːwʊs
adfecto	adfɛktoː
adfector	adfɛktɔr
adfectuose	adfɛktʊoːseː
adfectuosus	adfɛktʊoːsʊs
adfectus	adfɛktʊs
adfero	adfɛroː
adferre	adfɛrrɛ
adficio	adfɪkioː
adfiguro	adfɪɡuːroː
adfingo	adfɪŋɡoː
adfinis	adfiːnɪs
adfirmo	adfɪrmoː
adflecto	adfɫɛktoː
adfleo	adfɫeoː
adflictus	adfliːktʊs
adflo	adfɫoː
adfluo	adfɫʊoː
adfodio	adfɔdioː
adfor	adfɔr
adformido	adfɔrmiːdoː
adfrico	adfrɪkoː
adfulgeo	adfʊɫɡeoː
adfundo	adfʊndoː
adgavisurus	adɡaːwiːsuːrʊs
adgavisus	adɡaːwiːsʊs
adgenero	adɡɛnɛroː
adgeniculor	adɡɛnɪkʊɫɔr
adgero	adɡɛroː
adglomero	adɡɫɔmɛroː
adglutino	adɡɫuːtɪnoː
adgnosco	adŋnoːskoː
adgrego	adɡrɛɡoː
adguberno	adɡʊbɛrnoː
adhaerens	adhae̯rẽːs
adhaesurus	adhae̯suːrʊs
adhalo	adhaːɫoː
adhamans	adhaːmãːs
adherbal	adhɛrbaɫ
adhibeo	adhɪbeoː
adhibeo	adiːbeo
adhinnio	adhɪnnioː
adhospito	adhɔspɪtoː
adiacens	adjakẽːs
adiaculatus	adjakʊɫaːtʊs
adiantum	adiantʊ̃
adiaphoros	adiapʰɔrɔs
adicio	adjɪkioː
adiecticius	adjɛktiːkiʊs
adiectivalis	adjɛktiːwaːlɪs
adiectivum	adjɛktiːwʊ̃
adiectivus	adjɛktiːwʊs
adiectum	adjɛktʊ̃
adienus	adieːnʊs
adierimus	adiɛrɪmʊs
adierimus	adiɛriːmʊs
adieris	adiɛrɪs
adieris	adiɛriːs
adieritis	adiɛrɪtɪs
adieritis	adiɛriːtɪs
adigo	adɪɡoː
adimo	adɪmoː
adimpleo	adɪmpɫeoː
adinspecto	adĩːspɛktoː
adinvenio	adɪnwɛnioː
adinventio	adɪnwɛntioː
adipatus	adɪpaːtʊs
adipiscor	adɪpiːskɔr
adiposus	adɪpoːsʊs
adipsos	adɪpsɔs
adit	adɪt
aditatum	adɪtaːtʊ̃
aditus	adɪtʊs
adiudicatio	adjuːdɪkaːtioː
adiudicatio	adjudikaːt͡sio
adiudico	adjuːdɪkoː
adiuero	adjʊɛroː
adiugo	adjʊɡoː
adiunctivus	adjʊŋktiːwʊs
adiunctus	adjʊŋktʊs
adiungo	adjʊŋɡoː
adiuratorius	adjuːraːtoːriʊs
adiutabilis	adjuːtaːbɪlɪs
adiuvo	adjʊwoː
adjacens	adjakẽːs
adjaculatus	adjakʊɫaːtʊs
adjecticius	adjɛktiːkiʊs
adjectivalis	adjɛktiːwaːlɪs
adjectivus	adjɛktiːwʊs
adjicio	adjɪkioː
adjuero	adjʊɛroː
adjugo	adjʊɡoː
adjunctivus	adjuːŋktiːwʊs
adjungo	adjʊŋɡoː
adjuratorius	adjuːraːtoːriʊs
adjutabilis	adjuːtaːbɪlɪs
adjutor	adjuːtɔr
adjuvo	adjʊwoː
adlaboro	adɫaboːroː
adlapsus	adɫaːpsʊs
adlatro	adɫaːtroː
adlaudo	adɫau̯doː
adlevio	adɫɛwioː
adlevo	adɫɛwoː
adlevo	adɫeːwoː
adlicefactum	adlɪkɛfaktʊ̃
adlicefacturus	adlɪkɛfaktuːrʊs
adlicio	adlɪkioː
adligo	adlɪɡoː
adlino	adlɪnoː
adloquor	adɫɔkʷɔr
adluceo	adɫuːkeoː
adludio	adɫuːdioː
adludo	adɫuːdoː
adluo	adɫʊoː
admetior	admeːtiɔr
admetus	admeːtʊs
admigro	admɪɡroː
adminiculabundus	admɪnɪkʊɫaːbʊndʊs
adminiculo	admɪnɪkʊɫoː
adminiculum	admɪnɪkʊɫʊ̃
administer	admɪnɪstɛr
administra	admɪnɪstra
administranto	admɪnɪstrantoː
administratio	admɪnɪstraːtioː
administrator	admɪnɪstraːtɔr
administratorius	admɪnɪstraːtoːriʊs
administro	admɪnɪstroː
admirabilis	admiːraːbɪlɪs
admirabilitas	admiːraːbɪlɪtaːs
admirabiliter	admiːraːbɪlɪtɛr
admirabiliter	admirabiːliter
admirandus	admiːrandʊs
admiror	admiːrɔr
admisceo	admɪskeoː
admissarius	admɪssaːriʊs
admissor	admɪssɔr
admissorum	admɪssoːrʊ̃
admittatur	admɪttaːtʊr
admitto	admɪttoː
admixtus	admɪkstʊs
admoderor	admɔdɛrɔr
admodulaturus	admɔdʊɫaːtuːr
admodulor	admɔdʊɫɔr
admoneo	admɔneoː
admonitorium	admɔnɪtoːriʊ̃
admordeo	admɔrdeoː
admoveo	admɔweoː
admoves	admɔweːs
admurmuratum	admʊrmʊraːtʊ̃
admurmuro	admʊrmʊroː
admurmuror	admʊrmʊrɔr
admutilo	admʊtɪɫoː
adnatatum	adnataːtʊ̃
adnavigatum	adnaːwɪɡaːtʊ̃
adnavigo	adnaːwɪɡoː
adnecto	adnɛktoː
adnicto	adnɪktoː
adnihilo	adnɪhɪɫoː
adnitor	adniːtɔr
adnoto	adnɔtoː
adnubilo	adnuːbɪɫoː
adnumero	adnʊmɛroː
adnuo	adnʊoː
adnutatum	adnuːtaːtʊ̃
adolenda	adɔɫɛnda
adoleo	adɔɫeoː
adolescente	adɔɫeːskɛntɛ
adolesco	adɔɫeːskoː
adonidium	adoːnɪdiʊ̃
adonis	adoːnɪs
adonium	adoːniʊ̃
adoperio	adɔpɛrioː
adopinor	adɔpiːnɔr
adoptio	adɔptioː
adoptivus	adɔptiːwʊs
adopto	adɔptoː
ador	adɔr
adorator	adoːraːtɔr
adordino	adoːrdɪnoː
adore	adɔrɛ
adore	adoːrɛ
adorem	adoːrɛ̃
adorem	adɔrɛ̃
adorem	adoːrɛ̃
adores	adɔreːs
adoreus	adoːreʊs
adori	adɔriː
adoribus	adɔrɪbʊs
adoribus	adoːrɪbʊs
adorior	adɔriɔr
adoris	adɔrɪs
adoris	adoːrɪs
adorum	adɔrʊ̃
adorum	adoːrʊ̃
adosculor	adoːskʊɫɔr
adpello	adpɛlloː
adpendo	adpɛndoː
adpertineo	adpɛrtɪneoː
adpetenter	adpɛtɛntɛr
adpetentia	adpɛtɛntia
adpetibilis	adpɛtiːbɪlɪs
adpetisso	adpɛtɪssoː
adpetitio	adpɛtiːtioː
adpetitor	adpɛtiːtɔr
adpetitus	adpɛtiːtʊs
adpeto	adpɛtoː
adplaudo	adpɫau̯doː
adplausi	adpɫau̯siː
adplausus	adpɫau̯sʊs
adplico	adplɪkoː
adploro	adpɫoːroː
adplumbo	adpɫʊmboː
adporto	adpɔrtoː
adpositio	adpɔsɪtioː
adprecor	adprɛkɔr
adprehendo	adprɛhɛndoː
adpretio	adprɛtioː
adprimo	adprɪmoː
adprobo	adprɔboː
adpropero	adprɔpɛroː
adpropinquo	adprɔpɪŋkʷoː
adpropio	adprɔpioː
adproximo	adprɔksɪmoː
adpugno	adpʊŋnoː
adque	adkᶣɛ
adquiesco	adkᶣieːskoː
adquiro	adkᶣiːroː
adramyttium	adramʏttiʊ̃
adranum	adraːnʊ̃
adremigo	adreːmɪɡoː
adrianam	adriaːnã
adrianarum	adriaːnaːrʊ̃
adriane	adriaːnɛ
adrianorum	adriaːnoːrʊ̃
adrianum	adriaːnʊ̃
adrianus	adriaːnʊs
adripio	adrɪpioː
adrogo	adrɔɡoː
adryas	aːdrʏas
adscendo	atskɛndoː
adsector	atsɛktɔr
adsellor	atsɛllɔr
adsentio	atsɛntioː
adsentior	atsɛntiɔr
adsentor	atsɛntɔr
