abort	ɑbɔʈː
kull	kʰʉl̺ː
kullet	kʰǿːɽɛt
kvantefysikk	kʋɑntəfʏʷsɪk
kvass	kʋɑs
kveld	kʋel
kvelerslange	kʰʋe̞ːləʁʃlɑŋə
kvernstein	kʰʋɛʁnstæin
kvige	kʰʋiːɡə
kvinnebevegelse	kʰʋɪnəbəʋe̞ːɡəlsə
kvinnesak	kʰʋɪnəsɑːk
kviskre	kʋɪskɾə
landevei	lɑnəʋæɪ
landflyktig	lɑnflʏktɪ
landsens	lɑnsəns
landsette	lɑnsɛtə
landsforræder	lɑnsfɔraːdər
landsforvisning	lɑnsfɔʁviːsnɪŋ
landskamp	lɑnskʰɑmp
landssvik	lɑnssʋiːk
landstryker	lɑnstrʏːkər
landtunge	lɑntʰʊŋə
landtur	lɑntʰʉːʁ
landvinning	lɑnʋɪnɪŋ
lapp	lɑp
lathans	lɑːthɑns
laurbærkrans	læʉʁbæːʁkʰʁɑns
lavkonjunktur	lɑːʋkɔnjʊŋktʰʉːʁ
leder	lêːdə̌ɾ
lediggang	le̞ːdɪɡɑŋ
legebehandling	le̞ːɡəbəhɑnlɪŋ
legekunst	le̞ːɡəkʰʉnst
legestanden	le̞ːɡəstɑnən
lobbyvirksomhet	lɔbɪʋɪɾksɔmhɛt
lunde	lʉndə
lundehund	lʉndəhʉn
lyge	lyʷːɡə
lykke	lʏʷkə
lyng	lʏʷŋ
lys	l̺yːs
lysbryter	lyʷːsbɾyʷːtəɾ
lyse	lŷːsɛ̝
lysere	lŷːsæɾɛ̝
lysest	l̺ýːsɑst
lyseste	lŷːsɑstɛ̝
lyst	l̺ʏsːt
lysømfintlighet	lyʷːsœʷmfiːntliheːt
lære	læːɾə
mamma	mɑmːa
mandolin	mɑndʊliːn
matematikk	mɑtəmɑtɪk
matpakke	maːtpɑkkə
mave	maːʋə
mesterverk	mɛstəɾʋæɾk
middagshvil	mɪdɑɡsviːl
middagskvil	mɪdɑkskvːil
middelalderlitteratur	mɪdəlɑldəɭɪtəɾɑtʉʷːɾ
middelalderlitteratur	mɪdl̩ɑldəɭɪtɾɑtʉʷːɾ
modig	muːdɪ
motgift	muʷːtjɪft
muse	mʉʷseː
musling	mʉʷʂlɪŋ
musé	mʉʷseː
målføre	moːlføːɾə
målløs	mɔːlløˀs
mørk	mœɾ̥k
mørke	mœ̂ɾ̥kɛ̝
mørkere	mœ̂ɾ̥kæɾɛ̝
mørkest	mœ́ɾ̥kɑst
mørkeste	mœ̂ɾ̥kɑstɛ̝
mørkt	mœʈː
møy	møʏ̯
navnedag	nɑʋnədaːɡ
nettvett	nɛtʋɛt
noen	nuʷːən
nordnorsk	nuːɳɔʂk
nudisme	nʉdɪsmə
nysgjerrigper	nʏʂæɾɪpeːɾ
omsorgsfull	ʊmsɔɾɡsfʉl
ondskap	ʊnːskaːp
onomatopoetikon	ʊnʊmɑtʊpʊeːtɪkɔn
ordstilling	uʷːʂtɪllɪŋ
ormepadde	ɔɾməpɑddə
panserneshorn	pɑnsəɾneːshuʷɳ
pantergaupe	pɑntəɾɡæʉ̯ːpə
penger	²pʰɛŋːəɾ
pennestrøk	pʰɛnstrø̽ːk
perpleks	pəʁpʰlɛks
person	pæʂʂuʷːn
pilleskrukketroll	pɪlləskɾʊʷkkətɾɔʷl
pissoar	pɪsʊɑːʁ
pjolter	pʰjɔltər
plate	plaːtə
pleiebarn	pʰlæɪəbɑʁn
pleiebror	pʰlæɪəbʁuːʁ
plenumsmøte	pʰle̞ːnʉmsmø̽ːtə
plett	pʰlɛt
plettfri	pʰlɛtfʁiː
plevritt	pləʋʁɪt
pliktforsømmelse	pʰlɪktfɔʁsœməlsə
pliktfølelse	pʰlɪktfø̽ːləlsə
pliktmessig	pʰlɪktmɛsɪ
plikttroskap	pʰlɪkttʰʁuːskɑːp
plir	pʰliːʁ
plogfår	pʰlo̞ːɡfo̞ːʁ
plombere	plɔmbe̞ːʁə
plommetre	pʰlɔmətʁe̞ː
pludder	pʰlʉdər
plugg	pʰlʉɡ
plump	pʰlʉmp
plysj	pʰlʏʃ
pløse	pʰlø̽ːsə
pløset	pʰlø̽ːsətə
podekvist	pʰuːdəkʋɪst
podium	pʰuːdɪʉm
poetisk	pʊe̞ːtɪsk
pokalkamp	pʊkʰɑːlkʰɑmp
polemikk	pʊləmɪk
polfarer	pʰuːlfɑːrər
poliklinikk	pʊlɪklɪnɪk
poliomyelitt	pʊlɪʊmʏəlɪt
polise	pʊliːsə
politihund	pʊlɪtʰiːhʉn
politikammer	pʊlɪtʰiːkʰɑmər
politirassia	pʊlɪtʰiːʁɑsɪɑ
politur	pʊlɪtʉːʁ
polstjerne	puːlʃtæʁnə
polstre	pʰɔlstʁə
polygami	pʊlʏɡɑmiː
polypp	pʊlʏp
polyteisme	pʊlʏtəɪsmə
pomade	pʊmɑːdə
pondus	pʰɔndʉs
postgang	pʰɔstɡɑŋ
posthus	pʰɔsthʉːs
postmann	pʰɔstmɑn
postulat	pɔstʉlɑːt
posør	pʊsø̽ːʁ
primær	pɾɪmæːɾ
pult	pʉʷlt
pult	pʉʷːlt
pussemiddel	pʰʉsəmɪdl̩
pussig	pʰʉsɪ
putekrig	pʰʉːtəkʰʁiːɡ
pyjamas	pʏʃɑːmɑs
pyntesyk	pʰʏntəsʏːk
pyramideformet	pʏʁɑmiːdəfɔʁmət
pyromani	pʏʁʊmɑniː
pytagoreisk	pʏtɑɡʊʁe̞ːɪsk
pæleverk	pʰæːləʋæʁk
pøbelherredømme	pʰø̽ːbl̩hæʁədœmə
pølle	pʰœlə
pølsesnakk	pʰœlsəsnɑk
pønske	pʰœnskə
reindrift	ɾæɪ̯ndɾɪft
reklame	ɾɛklaːmə
respitt	ʁəspɪt
resymere	ʁəsʏme̞ːʁə
revehi	ɾeːʋəhiː
rime	ɾiːmə
rollebesetning	ʁɔləbəsɛtnɪŋ
rollebytte	ʁɔləbʏtə
romfarer	ɾʊmfaːɾəɾ
romvesen	ɾʊmʋeːsən
romvesen	ɾʊmʋeːsn̩
rød	ɾøː
røde	ɾø̂ːɛ̝
rødere	ɾø̂ːæɾɛ̝
rødest	ɾǿːɑst
rødeste	ɾø̂ːɑstɛ̝
rødgaupe	ɾøʷːɡæʉ̯ːpə
rødrev	ɾøʷːɾeːʋ
rødt	ɾœtː
sandbunn	sɑnbʉn
sandtak	sɑntʰɑːk
sang	sɑŋ
selle	sɛllə
sidesyn	siːdəsyʷːn
sikksakk	sɪksɑk
sild	sɪlː
sirka	sɪɾkɑ
sitron	sitɾùːn
sitron	sitɾûːn
sitron	sitɾuːn
sitron	sitʁûːn
sjølmord	ʂøʷːlmʊɖ
skapning	skaːpnɪŋ
skjegg	ʂɛɡ
skoleball	skuːləbɑl
skolebok	skuːləbuːk
skolemester	skuːləmɛstəʁ
skolestyrer	skuːləstʏːʁəʁ
skoletime	skuːlətʰiːmə
skotøy	skuːtʰœʏ
skotøybutikk	skuːtʰœʏbʉtʰɪk
skovl	skɔʋl
skral	skʁɑːl
skrall	skʁɑl
skramle	skʁɑmlə
skramme	skʁɑmə
skremmebilde	skʁɛməbɪldə
skremsel	skʁɛmsl̩
skrense	skʁɛnsə
skreppekar	skʁɛpəkʰɑːʁ
skriftefar	skʁɪftəfɑːʁ
skrikerunge	skʁiːkəʁʊŋə
skrinn	skʁɪn
skriveblokk	skʁiːʋəblɔk
skrivning	skʁiːʋnɪŋ
skrothaug	skʁuːthæʉɡ
skrott	skʁɔt
skrubbsulten	skʁʉbsʉltn̩
skrubbsår	skʁʉbso̞ːʁ
skrukke	skʁʊkə
skrulling	skʁʉlɪŋ
skuddår	skʉddoːɾ
skyss	ʂʏs
skøyte	ʂœʏ̯ʷtə
slagkraft	ʃlɑːkkʰʁɑft
smalhans	smɑːlhɑns
smellfeit	smɛlfæɪt
snile	sniːlə
sol	suːɽ
solbær	suːlbæːɾ
spanjol	spɑnjuʷːl
spisebestikk	spiːsəbəstɪk
språkforsking	spɾoʷːkfɔʂkɪŋ
språkforskning	spɾoʷːkfɔʂknɪŋ
steinbit	stæɪ̯nbiːt
stepperev	stɛpəɾeːʋ
stikkontakt	stɪkkʊntɑkt
strandflate	stɾɑnflaːtə
stripehyene	stɾiːpəhyeːnə
styrthjelm	stʏʁtjɛlm
støvel	stœʷʋəl
svalbardrein	svaːlbɑɖɾæɪ̯n
svalbardrein	svaːlbɑɾɾæɪ̯n
svart	sʋɑʈʰː
svarte	sʋɑ̂ʈ̚ʈɛ̝
svartere	sʋɑ̂ʈ̚ʈæɾɛ̝
svartest	sʋɑ́ʈ̚ʈɑst
svarteste	sʋɑ̂ʈ̚ʈɑstɛ̝
sykkel	sʏʷkel
syklus	syʷːklʉʷs
tegne	tɛɪ̯nə
teleportere	tɛlləpʊ‿ʈeːɾə
teservise	tʰe̞ːsɛʁʋiːsə
tilveiebringe	tɪlʋæɪəbʁɪŋə
tispe	tɪspə
torden	tʊɖən
torden	tʊɖɳ̩
tosk	tɔsk
trekkspill	tɾɛkspɪl
treklang	tʰʁe̞ːkʰlɑŋ
trekløver	tʰʁe̞ːkʰlø̽ːʋəʁ
trelast	tʰʁe̞ːlɑst
trelldom	tʰʁɛldɔm
trillebår	tɾɪlləboʷːɾ
triumvirat	tʁɪʉmʋɪʁɑːt
troll	tɾɔl
trost	tɾɔst
tåre	toːɾə
udyr	ʉʷːdyʷːɾ
ungkar	ʊŋkaːɾ
valgfusk	ʋɑlɡfʉsk
vanvøre	ʋɑːnʋø̽ːrə
varlig	ʋɑːʁlɪ
vasallstat	ʋɑsɑlstɑːt
vaskebjørn	ʋɑskəbjøʷːɳ
vassavkjølt	ʋɑsɑʋçøːlt
vassblemme	ʋɑsblɛmmə
vassdrag	vɑsdɾaːɡ
vasse	ʋɑsə
vassmelon	ʋɑsmɛluːn
venstrekjøring	ʋɛnstʁəçø̽ːʁɪŋ
verktøy	ʋæɾktœʏ̯
verktøy	ʋæʈœʏ̯
verktøy	ʋæɾktœʏ̯
verktøy	ʋæʈœʏ̯
vern	ʋæɾn
vern	ʋæɳ
verre	ʋɛ̝̂ɾɾɛ̝
verst	ʋɛ̝ʂːʈ
verste	ʋɛ̝̂ʂːʈɛ̝
vinterdvale	ʋɪntəʁdʋɑːlə
visestubb	ʋiːsəstʉb
viskelær	ʋɪskəlæːɾ
vond	ʋʊnː
vonde	ʋʊ̂nnɛ̝
vondere	ʋʊ̂nnæɾɛ̝
vondest	ʋʊ́nnɑst
vondeste	ʋʊ̂nnɑstɛ̝
vondt	ʋʊnːt
vott	ʋɔt
ånd	ɔnd
ørkenrev	œʷɾkənɾeːʋ
ørten	²ʔœʈ‿ən
ørten	²ʔœʈ‿ɳ̩
