a	ˈɒ
abigél	ˈɒbiɡeːl
abiogén	ˈɒbiʲoɡeːn
ablak	ˈɒblɒk
ablaka	ˈɒblɒkɒ
ablakai	ˈɒblɒkɒʲi
ablakaid	ˈɒblɒkɒʲid
ablakaik	ˈɒblɒkɒʲik
ablakaim	ˈɒblɒkɒʲim
ablakaink	ˈɒblɒkɒʲiŋk
ablakaitok	ˈɒblɒkɒʲitok
ablakán	ˈɒblɒkaːn
ablakát	ˈɒblɒkaːt
ablakba	ˈɒblɒɡbɒ
ablakban	ˈɒblɒɡbɒn
ablakból	ˈɒblɒɡboːl
ablakcsa	ˈɒblɒkt͡ʃɒ
ablakdeszka	ˈɒblɒɡdɛskɒ
ablakdeszkák	ˈɒblɒɡdɛskaːk
ablakdeszkákat	ˈɒblɒɡdɛskaːkɒt
ablakdeszkát	ˈɒblɒɡdɛskaːt
ablakért	ˈɒblɒkeːrt
ablakhoz	ˈɒblɒkhoz
ablakig	ˈɒblɒkiɡ
ablakká	ˈɒblɒkːaː
ablakkal	ˈɒblɒkːɒl
ablakként	ˈɒblɒkːeːnt
ablaknak	ˈɒblɒknɒk
ablaknál	ˈɒblɒknaːl
ablakod	ˈɒblɒkod
ablakok	ˈɒblɒkok
ablakokat	ˈɒblɒkokɒt
ablakokba	ˈɒblɒkoɡbɒ
ablakokban	ˈɒblɒkoɡbɒn
ablakokból	ˈɒblɒkoɡboːl
ablakokért	ˈɒblɒkokeːrt
ablakokhoz	ˈɒblɒkokhoz
ablakokig	ˈɒblɒkokiɡ
ablakokká	ˈɒblɒkokːaː
ablakokkal	ˈɒblɒkokːɒl
ablakokként	ˈɒblɒkokːeːnt
ablakoknak	ˈɒblɒkoknɒk
ablakoknál	ˈɒblɒkoknaːl
ablakokon	ˈɒblɒkokon
ablakokra	ˈɒblɒkokrɒ
ablakokról	ˈɒblɒkokroːl
ablakoktól	ˈɒblɒkoktoːl
ablakom	ˈɒblɒkom
ablakomat	ˈɒblɒkomɒt
ablakomba	ˈɒblɒkombɒ
ablakomban	ˈɒblɒkombɒn
ablakomig	ˈɒblɒkomiɡ
ablakommal	ˈɒblɒkomːɒl
ablakomnak	ˈɒblɒkomnɒk
ablakomon	ˈɒblɒkomon
ablakon	ˈɒblɒkon
ablakot	ˈɒblɒkot
ablakotok	ˈɒblɒkotok
ablakpárkány	ˈɒblɒkpaːrkaːɲ
ablakpárkánya	ˈɒblɒkpaːrkaːɲɒ
ablakpárkányai	ˈɒblɒkpaːrkaːɲɒʲi
ablakpárkányaid	ˈɒblɒkpaːrkaːɲɒʲid
ablakpárkányaik	ˈɒblɒkpaːrkaːɲɒʲik
ablakpárkányaim	ˈɒblɒkpaːrkaːɲɒʲim
ablakpárkányaink	ˈɒblɒkpaːrkaːɲɒʲiŋk
ablakpárkányaitok	ˈɒblɒkpaːrkaːɲɒʲitok
ablakpárkánynak	ˈɒblɒkpaːrkaːɲnɒk
ablakpárkányod	ˈɒblɒkpaːrkaːɲod
ablakpárkányok	ˈɒblɒkpaːrkaːɲok
ablakpárkányokat	ˈɒblɒkpaːrkaːɲokɒt
ablakpárkányoknak	ˈɒblɒkpaːrkaːɲoknɒk
ablakpárkányom	ˈɒblɒkpaːrkaːɲom
ablakpárkányotok	ˈɒblɒkpaːrkaːɲotok
ablakpárkányt	ˈɒblɒkpaːrkaːɲt
ablakpárkányuk	ˈɒblɒkpaːrkaːɲuk
ablakpárkányunk	ˈɒblɒkpaːrkaːɲuŋk
ablakra	ˈɒblɒkrɒ
ablakról	ˈɒblɒkroːl
ablaktalan	ˈɒblɒktɒlɒn
ablaktalanság	ˈɒblɒktɒlɒnʃaːɡ
ablaktól	ˈɒblɒktoːl
ablaktörlő	ˈɒblɒktørløː
ablaktörlők	ˈɒblɒktørløːk
ablaktörlőket	ˈɒblɒktørløːkɛt
ablaktörlőt	ˈɒblɒktørløːt
ablakuk	ˈɒblɒkuk
ablakunk	ˈɒblɒkuŋk
ablaküveg	ˈɒblɒkyvɛɡ
ablaküvegek	ˈɒblɒkyvɛɡɛk
abnormális	ˈɒbnormaːliʃ
abortál	ˈɒbortaːl
abortálás	ˈɒbortaːlaːʃ
abortusz	ˈɒbortus
abortuszok	ˈɒbortusok
abortuszokat	ˈɒbortusokɒt
abortuszt	ˈɒbortust
ábra	ˈaːbrɒ
ábráért	ˈaːbraːʲeːrt
ábrahám	ˈaːbrɒɦaːm
ábrahámot	ˈaːbrɒɦaːmot
abrak	ˈɒbrɒk
ábrák	ˈaːbraːk
ábrákat	ˈaːbraːkɒt
ábrákért	ˈaːbraːkeːrt
ábrákkal	ˈaːbraːkːɒl
ábráknak	ˈaːbraːknɒk
abrakok	ˈɒbrɒkok
abrakon	ˈɒbrɒkon
ábrákon	ˈaːbraːkon
abrakot	ˈɒbrɒkot
ábrán	ˈaːbraːn
ábrának	ˈaːbraːnɒk
ábránd	ˈaːbraːnd
ábrándok	ˈaːbraːndok
ábrándokat	ˈaːbraːndokɒt
ábrándot	ˈaːbraːndot
ábrándozik	ˈaːbraːndozik
ábrándvilág	ˈaːbraːndvilaːɡ
ábrándvilágok	ˈaːbraːndvilaːɡok
ábrándvilágot	ˈaːbraːndvilaːɡot
ábrát	ˈaːbraːt
ábrával	ˈaːbraːvɒl
ábráz	ˈaːbraːz
ábrázat	ˈaːbraːzɒt
ábrázatok	ˈaːbraːzɒtok
ábrázatot	ˈaːbraːzɒtot
ábrázol	ˈaːbraːzol
ábrázolás	ˈaːbraːzolaːʃ
ábrázoló	ˈaːbraːzoloː
ábris	ˈaːbriʃ
abroncs	ˈɒbront͡ʃ
abroncsok	ˈɒbront͡ʃok
abroncsokat	ˈɒbront͡ʃokɒt
abroncsot	ˈɒbront͡ʃot
abrosz	ˈɒbros
abrosza	ˈɒbrosɒ
abroszai	ˈɒbrosɒʲi
abroszaid	ˈɒbrosɒʲid
abroszaik	ˈɒbrosɒʲik
abroszaim	ˈɒbrosɒʲim
abroszaink	ˈɒbrosɒʲiŋk
abroszaitok	ˈɒbrosɒʲitok
abroszod	ˈɒbrosod
abroszok	ˈɒbrosok
abroszokat	ˈɒbrosokɒt
abroszom	ˈɒbrosom
abroszotok	ˈɒbrosotok
abroszt	ˈɒbrost
abroszuk	ˈɒbrosuk
abroszunk	ˈɒbrosuŋk
abszint	ˈɒpsint
abszintok	ˈɒpsintok
abszolút	ˈɒpsoluːt
abszolutórium	ˈɒpsolutoːriʲum
abszolutóriumok	ˈɒpsolutoːriʲumok
abszorpció	ˈɒpsorpt͡siʲoː
abszorpciók	ˈɒpsorpt͡siʲoːk
absztinencia	ˈɒpstinɛnt͡siʲɒ
absztinenciák	ˈɒpstinɛnt͡siʲaːk
absztrakció	ˈɒpstrɒkt͡siʲoː
absztrakciók	ˈɒpstrɒkt͡siʲoːk
absztrakt	ˈɒpstrɒkt
absztraktabb	ˈɒpstrɒktɒbː
absztraktok	ˈɒpstrɒktok
absztraktság	ˈɒpstrɒktʃaːɡ
absztraktságok	ˈɒpstrɒktʃaːɡok
abszurd	ˈɒpsurd
abszurdabb	ˈɒpsurdɒbː
abszurditás	ˈɒpsurditaːʃ
abszurditások	ˈɒpsurditaːʃok
abszurdum	ˈɒpsurdum
abszurdumok	ˈɒpsurdumok
abu-dzabi	ˈɒbud͡zɒbi
acél	ˈɒt͡seːl
acélgyártás	ˈɒt͡seːlɟaːrtaːʃ
acélipar	ˈɒt͡seːlipɒr
acélkék	ˈɒt͡seːlkeːk
acéllemez	ˈɒt͡seːlːɛmɛz
acéllemezek	ˈɒt͡seːlːɛmɛzɛk
acélok	ˈɒt͡seːlok
acetaldehid	ˈɒt͡sɛtɒldɛɦid
acetilén	ˈɒt͡sɛtileːn
aceton	ˈɒt͡sɛton
acetonba	ˈɒt͡sɛtombɒ
acetonban	ˈɒt͡sɛtombɒn
acetonból	ˈɒt͡sɛtomboːl
acetonért	ˈɒt͡sɛtoneːrt
acetonhoz	ˈɒt͡sɛtonɦoz
acetonig	ˈɒt͡sɛtoniɡ
acetonja	ˈɒt͡sɛtoɲːɒ
acetonjai	ˈɒt͡sɛtoɲːɒʲi
acetonjaid	ˈɒt͡sɛtoɲːɒʲid
acetonjaik	ˈɒt͡sɛtoɲːɒʲik
acetonjaim	ˈɒt͡sɛtoɲːɒʲim
acetonjaink	ˈɒt͡sɛtoɲːɒʲiŋk
acetonjaitok	ˈɒt͡sɛtoɲːɒʲitok
acetonjuk	ˈɒt͡sɛtoɲːuk
acetonként	ˈɒt͡sɛtoŋkeːnt
acetonná	ˈɒt͡sɛtonːaː
acetonnak	ˈɒt͡sɛtonːɒk
acetonnal	ˈɒt͡sɛtonːɒl
acetonnál	ˈɒt͡sɛtonːaːl
acetonod	ˈɒt͡sɛtonod
acetonok	ˈɒt͡sɛtonok
acetonokat	ˈɒt͡sɛtonokɒt
acetonokba	ˈɒt͡sɛtonoɡbɒ
acetonokban	ˈɒt͡sɛtonoɡbɒn
acetonokból	ˈɒt͡sɛtonoɡboːl
acetonokért	ˈɒt͡sɛtonokeːrt
acetonokhoz	ˈɒt͡sɛtonokhoz
acetonokig	ˈɒt͡sɛtonokiɡ
acetonokká	ˈɒt͡sɛtonokːaː
acetonokkal	ˈɒt͡sɛtonokːɒl
acetonokként	ˈɒt͡sɛtonokːeːnt
acetonoknak	ˈɒt͡sɛtonoknɒk
acetonoknál	ˈɒt͡sɛtonoknaːl
acetonokon	ˈɒt͡sɛtonokon
acetonokra	ˈɒt͡sɛtonokrɒ
acetonokról	ˈɒt͡sɛtonokroːl
acetonoktól	ˈɒt͡sɛtonoktoːl
acetonom	ˈɒt͡sɛtonom
acetonon	ˈɒt͡sɛtonon
acetonotok	ˈɒt͡sɛtonotok
acetonra	ˈɒt͡sɛtonrɒ
acetonról	ˈɒt͡sɛtonroːl
acetont	ˈɒt͡sɛtont
acetontól	ˈɒt͡sɛtontoːl
acetonunk	ˈɒt͡sɛtonuŋk
aciditás	ˈɒt͡siditaːʃ
aciditások	ˈɒt͡siditaːʃok
ács	ˈaːt͡ʃ
ácsból	ˈaːd͡ʒboːl
ácsi	ˈaːt͡ʃi
ácsok	ˈaːt͡ʃok
ácsorog	ˈaːt͡ʃoroɡ
ad	ˈɒd
ád	ˈaːd
adag	ˈɒdɒɡ
adagok	ˈɒdɒɡok
adagol	ˈɒdɒɡol
ádám	ˈaːdaːm
ádámcsutka	ˈaːdaːmt͡ʃutkɒ
ádámcsutkák	ˈaːdaːmt͡ʃutkaːk
ádámkosztüm	ˈaːdaːmkostym
adaptáció	ˈɒdɒptaːt͡siʲoː
adaptációk	ˈɒdɒptaːt͡siʲoːk
adás	ˈɒdaːʃ
adása	ˈɒdaːʃɒ
adások	ˈɒdaːʃok
adat	ˈɒdɒt
adata	ˈɒdɒtɒ
adatai	ˈɒdɒtɒʲi
adatainak	ˈɒdɒtɒʲinɒk
adatait	ˈɒdɒtɒʲit
adatállomány	ˈɒdɒtaːlːomaːɲ
adatállományok	ˈɒdɒtaːlːomaːɲok
adatátvitel	ˈɒdɒtaːtvitɛl
adatátviteli	ˈɒdɒtaːtvitɛli
adatba	ˈɒdɒdbɒ
adatban	ˈɒdɒdbɒn
adatbázis	ˈɒdɒdbaːziʃ
adatbázisban	ˈɒdɒdbaːziʒbɒn
adatbázisok	ˈɒdɒdbaːziʃok
adatbázisokban	ˈɒdɒdbaːziʃoɡbɒn
adatbázisunk	ˈɒdɒdbaːziʃuŋk
adatbázisunkban	ˈɒdɒdbaːziʃuŋɡbɒn
adatból	ˈɒdɒdboːl
adatért	ˈɒdɒteːrt
adatfeldolgozás	ˈɒdɒtfɛldolɡozaːʃ
adatfeldolgozások	ˈɒdɒtfɛldolɡozaːʃok
adathoz	ˈɒdɒthoz
adatig	ˈɒdɒtiɡ
adatként	ˈɒdɒtkeːnt
adatlap	ˈɒdɒtlɒp
adatlapjai	ˈɒdɒtlɒpjɒʲi
adatlapok	ˈɒdɒtlɒpok
adatnak	ˈɒdɒtnɒk
adatnál	ˈɒdɒtnaːl
adatok	ˈɒdɒtok
adatokat	ˈɒdɒtokɒt
adatokba	ˈɒdɒtoɡbɒ
adatokban	ˈɒdɒtoɡbɒn
adatokból	ˈɒdɒtoɡboːl
adatokért	ˈɒdɒtokeːrt
adatokhoz	ˈɒdɒtokhoz
adatokig	ˈɒdɒtokiɡ
adatokká	ˈɒdɒtokːaː
adatokkal	ˈɒdɒtokːɒl
adatokként	ˈɒdɒtokːeːnt
adatoknak	ˈɒdɒtoknɒk
adatoknál	ˈɒdɒtoknaːl
adatokon	ˈɒdɒtokon
adatokra	ˈɒdɒtokrɒ
adatokról	ˈɒdɒtokroːl
adatoktól	ˈɒdɒtoktoːl
adatom	ˈɒdɒtom
adaton	ˈɒdɒton
adatot	ˈɒdɒtot
adatra	ˈɒdɒtrɒ
adatról	ˈɒdɒtroːl
adattá	ˈɒdɒtːaː
adattal	ˈɒdɒtːɒl
adattípus	ˈɒdɒtːiːpuʃ
adattípusok	ˈɒdɒtːiːpuʃok
adattól	ˈɒdɒtːoːl
adatvédelem	ˈɒdɒtveːdɛlɛm
ádáz	ˈaːdaːz
ádázabb	ˈaːdaːzɒbː
add	ˈɒdː
addig	ˈɒdːiɡ
addig-addig	ˈɒdːiɡɒdːiɡ
addigi	ˈɒdːiɡi
addiktológus	ˈɒdːiktoloːɡuʃ
addiktológusok	ˈɒdːiktoloːɡuʃok
adekvát	ˈɒdɛkvaːt
adekvátabb	ˈɒdɛkvaːtɒbː
adhat	ˈɒthɒt
adhatok	ˈɒthɒtok
adhatsz	ˈɒthɒt͡sː
ádi	ˈaːdi
adiabatikus	ˈɒdiʲɒbɒtikuʃ
ádika	ˈaːdikɒ
adj	ˈɒɟː
adja	ˈɒɟːɒ
adjak	ˈɒɟːɒk
adják	ˈɒɟːaːk
adjanak	ˈɒɟːɒnɒk
adjatok	ˈɒɟːɒtok
adjátok	ˈɒɟːaːtok
adjon	ˈɒɟːon
adjuk	ˈɒɟːuk
adjunk	ˈɒɟːuŋk
admin	ˈɒdmin
adminisztráció	ˈɒdministraːt͡siʲoː
adminisztrációk	ˈɒdministraːt͡siʲoːk
adminisztrációs	ˈɒdministraːt͡siʲoːʃ
adminisztrál	ˈɒdministraːl
adminisztratív	ˈɒdministrɒtiːv
adminisztrátor	ˈɒdministraːtor
adminisztrátora	ˈɒdministraːtorɒ
adminisztrátorát	ˈɒdministraːtoraːt
adminisztrátorával	ˈɒdministraːtoraːvɒl
adminisztrátornak	ˈɒdministraːtornɒk
adminisztrátorok	ˈɒdministraːtorok
adminisztrátorokat	ˈɒdministraːtorokɒt
adminisztrátorokkal	ˈɒdministraːtorokːɒl
adminisztrátorral	ˈɒdministraːtorːɒl
adminisztrátort	ˈɒdministraːtort
adminisztrátortól	ˈɒdministraːtortoːl
adminok	ˈɒdminok
admirális	ˈɒdmiraːliʃ
admirálisért	ˈɒdmiraːliʃeːrt
admirálisig	ˈɒdmiraːliʃiɡ
admirálisként	ˈɒdmiraːliʃkeːnt
admirálisnak	ˈɒdmiraːliʃnɒk
admirálisok	ˈɒdmiraːliʃok
admirálisokat	ˈɒdmiraːliʃokɒt
admirálisokért	ˈɒdmiraːliʃokeːrt
admirálisokig	ˈɒdmiraːliʃokiɡ
admirálisokká	ˈɒdmiraːliʃokːaː
admirálisokkal	ˈɒdmiraːliʃokːɒl
admirálisokként	ˈɒdmiraːliʃokːeːnt
admirálisoknak	ˈɒdmiraːliʃoknɒk
admirálissá	ˈɒdmiraːliʃːaː
admirálissal	ˈɒdmiraːliʃːɒl
admirálist	ˈɒdmiraːliʃt
admittancia	ˈɒdmitːɒnt͡siʲɒ
admittanciák	ˈɒdmitːɒnt͡siʲaːk
adna	ˈɒdnɒ
adná	ˈɒdnaː
adnád	ˈɒdnaːd
adnak	ˈɒdnɒk
adnák	ˈɒdnaːk
adnál	ˈɒdnaːl
adnának	ˈɒdnaːnɒk
adnánk	ˈɒdnaːŋk
adnátok	ˈɒdnaːtok
adnék	ˈɒdneːk
adni	ˈɒdni
adó	ˈɒdoː
adóba	ˈɒdoːbɒ
adóban	ˈɒdoːbɒn
adóbevallás	ˈɒdoːbɛvɒlːaːʃ
adóbevallások	ˈɒdoːbɛvɒlːaːʃok
adóbevallásokat	ˈɒdoːbɛvɒlːaːʃokɒt
adóbevallást	ˈɒdoːbɛvɒlːaːʃt
adóból	ˈɒdoːboːl
adócsalás	ˈɒdoːt͡ʃɒlaːʃ
adócsalások	ˈɒdoːt͡ʃɒlaːʃok
adócsalásokat	ˈɒdoːt͡ʃɒlaːʃokɒt
adócsalást	ˈɒdoːt͡ʃɒlaːʃt
adócsökkentés	ˈɒdoːt͡ʃøkːɛnteːʃ
adócsökkentések	ˈɒdoːt͡ʃøkːɛnteːʃɛk
adod	ˈɒdod
adód	ˈɒdoːd
adódik	ˈɒdoːdik
adóért	ˈɒdoːʲeːrt
adófizető	ˈɒdoːfizɛtøː
adóhatóság	ˈɒdoːɦɒtoːʃaːɡ
adóhoz	ˈɒdoːɦoz
adói	ˈɒdoːʲi
adóid	ˈɒdoːʲid
adóig	ˈɒdoːʲiɡ
adóik	ˈɒdoːʲik
adóim	ˈɒdoːʲim
adóink	ˈɒdoːʲiŋk
adóitok	ˈɒdoːʲitok
adója	ˈɒdoːjɒ
adójuk	ˈɒdoːjuk
adok	ˈɒdok
adók	ˈɒdoːk
adókat	ˈɒdoːkɒt
adókba	ˈɒdoːɡbɒ
adókban	ˈɒdoːɡbɒn
adókból	ˈɒdoːɡboːl
adókedvezmény	ˈɒdoːkɛdvɛzmeːɲ
adóként	ˈɒdoːkeːnt
adókért	ˈɒdoːkeːrt
adókhoz	ˈɒdoːkhoz
adókig	ˈɒdoːkiɡ
adókká	ˈɒdoːkːaː
adókkal	ˈɒdoːkːɒl
adókként	ˈɒdoːkːeːnt
adóknak	ˈɒdoːknɒk
adóknál	ˈɒdoːknaːl
adókon	ˈɒdoːkon
adókra	ˈɒdoːkrɒ
adókról	ˈɒdoːkroːl
adóktól	ˈɒdoːktoːl
adókulcs	ˈɒdoːkult͡ʃ
adókulcsok	ˈɒdoːkult͡ʃok
adolf	ˈɒdolf
adom	ˈɒdom
adóm	ˈɒdoːm
adománnyá	ˈɒdomaːɲːaː
adománnyal	ˈɒdomaːɲːɒl
adomány	ˈɒdomaːɲ
adománya	ˈɒdomaːɲɒ
adományai	ˈɒdomaːɲɒʲi
adományaid	ˈɒdomaːɲɒʲid
adományaik	ˈɒdomaːɲɒʲik
adományaim	ˈɒdomaːɲɒʲim
adományaink	ˈɒdomaːɲɒʲiŋk
adományaitok	ˈɒdomaːɲɒʲitok
adományba	ˈɒdomaːɲbɒ
adományban	ˈɒdomaːɲbɒn
adományból	ˈɒdomaːɲboːl
adományért	ˈɒdomaːɲeːrt
adományhoz	ˈɒdomaːɲɦoz
adományig	ˈɒdomaːɲiɡ
adományként	ˈɒdomaːɲkeːnt
adománynak	ˈɒdomaːɲnɒk
adománynál	ˈɒdomaːɲnaːl
adományod	ˈɒdomaːɲod
adományok	ˈɒdomaːɲok
adományokat	ˈɒdomaːɲokɒt
adományokba	ˈɒdomaːɲoɡbɒ
adományokban	ˈɒdomaːɲoɡbɒn
adományokból	ˈɒdomaːɲoɡboːl
adományokért	ˈɒdomaːɲokeːrt
adományokhoz	ˈɒdomaːɲokhoz
adományokig	ˈɒdomaːɲokiɡ
adományokká	ˈɒdomaːɲokːaː
adományokkal	ˈɒdomaːɲokːɒl
adományokként	ˈɒdomaːɲokːeːnt
adományoknak	ˈɒdomaːɲoknɒk
adományoknál	ˈɒdomaːɲoknaːl
adományokon	ˈɒdomaːɲokon
adományokra	ˈɒdomaːɲokrɒ
adományokról	ˈɒdomaːɲokroːl
adományoktól	ˈɒdomaːɲoktoːl
adományom	ˈɒdomaːɲom
adományon	ˈɒdomaːɲon
adományotok	ˈɒdomaːɲotok
adományoz	ˈɒdomaːɲoz
adományozás	ˈɒdomaːɲozaːʃ
adományozások	ˈɒdomaːɲozaːʃok
adományozta	ˈɒdomaːɲostɒ
adományra	ˈɒdomaːɲrɒ
adományról	ˈɒdomaːɲroːl
adományt	ˈɒdomaːɲt
adománytól	ˈɒdomaːɲtoːl
adományuk	ˈɒdomaːɲuk
adományul	ˈɒdomaːɲul
adományunk	ˈɒdomaːɲuŋk
adómentes	ˈɒdoːmɛntɛʃ
adómentesség	ˈɒdoːmɛntɛʃːeːɡ
adómentességek	ˈɒdoːmɛntɛʃːeːɡɛk
adón	ˈɒdoːn
adónak	ˈɒdoːnɒk
adónál	ˈɒdoːnaːl
adónk	ˈɒdoːŋk
adóparadicsom	ˈɒdoːpɒrɒdit͡ʃom
adóparadicsomok	ˈɒdoːpɒrɒdit͡ʃomok
adoptál	ˈɒdoptaːl
adoptálás	ˈɒdoptaːlaːʃ
adoptálások	ˈɒdoptaːlaːʃok
adóra	ˈɒdoːrɒ
adorján	ˈɒdorjaːn
adóról	ˈɒdoːroːl
adós	ˈɒdoːʃ
adósok	ˈɒdoːʃok
adósság	ˈɒdoːʃːaːɡ
adósságok	ˈɒdoːʃːaːɡok
adószedő	ˈɒdoːsɛdøː
adószedők	ˈɒdoːsɛdøːk
adót	ˈɒdoːt
adótok	ˈɒdoːtok
adótól	ˈɒdoːtoːl
adott	ˈɒdotː
adottá	ˈɒdotːaː
adottak	ˈɒdotːɒk
adottakat	ˈɒdotːɒkɒt
adottakba	ˈɒdotːɒɡbɒ
adottakban	ˈɒdotːɒɡbɒn
adottakból	ˈɒdotːɒɡboːl
adottakért	ˈɒdotːɒkeːrt
adottakhoz	ˈɒdotːɒkhoz
adottakig	ˈɒdotːɒkiɡ
adottakká	ˈɒdotːɒkːaː
adottakkal	ˈɒdotːɒkːɒl
adottakként	ˈɒdotːɒkːeːnt
adottaknak	ˈɒdotːɒknɒk
adottaknál	ˈɒdotːɒknaːl
adottakon	ˈɒdotːɒkon
adottakra	ˈɒdotːɒkrɒ
adottakról	ˈɒdotːɒkroːl
adottaktól	ˈɒdotːɒktoːl
adottal	ˈɒdotːɒl
adottat	ˈɒdotːɒt
adottba	ˈɒdodbɒ
adottban	ˈɒdodbɒn
adottból	ˈɒdodboːl
adottért	ˈɒdotːeːrt
adotthoz	ˈɒdothoz
adottig	ˈɒdotːiɡ
adottként	ˈɒdotkeːnt
adottnak	ˈɒdotnɒk
adottnál	ˈɒdotnaːl
adottól	ˈɒdotːoːl
adotton	ˈɒdotːon
adottra	ˈɒdotrɒ
adottról	ˈɒdotroːl
adottság	ˈɒdotʃaːɡ
adottságok	ˈɒdotʃaːɡok
adóvá	ˈɒdoːvaː
adóval	ˈɒdoːvɒl
adózás	ˈɒdoːzaːʃ
adózik	ˈɒdoːzik
adózó	ˈɒdoːzoː
adózók	ˈɒdoːzoːk
adrienn	ˈɒdriʲɛnː
adsz	ˈɒt͡sː
adszorpció	ˈɒtsorpt͡siʲoː
adszorpciók	ˈɒtsorpt͡siʲoːk
adta	ˈɒtːɒ
adtak	ˈɒtːɒk
adták	ˈɒtːaːk
adtál	ˈɒtːaːl
adtam	ˈɒtːɒm
adtok	ˈɒtːok
adtunk	ˈɒtːuŋk
adu	ˈɒdu
aduba	ˈɒdubɒ
aduban	ˈɒdubɒn
aduból	ˈɒduboːl
adud	ˈɒdud
aduért	ˈɒduʲeːrt
aduhoz	ˈɒduɦoz
adui	ˈɒduʲi
aduid	ˈɒduʲid
aduig	ˈɒduʲiɡ
aduik	ˈɒduʲik
aduim	ˈɒduʲim
aduink	ˈɒduʲiŋk
aduitok	ˈɒduʲitok
aduja	ˈɒdujɒ
adujuk	ˈɒdujuk
aduk	ˈɒduk
adukat	ˈɒdukɒt
adukba	ˈɒduɡbɒ
adukban	ˈɒduɡbɒn
adukból	ˈɒduɡboːl
aduként	ˈɒdukeːnt
adukért	ˈɒdukeːrt
adukhoz	ˈɒdukhoz
adukig	ˈɒdukiɡ
adukká	ˈɒdukːaː
adukkal	ˈɒdukːɒl
adukként	ˈɒdukːeːnt
aduknak	ˈɒduknɒk
aduknál	ˈɒduknaːl
adukon	ˈɒdukon
adukra	ˈɒdukrɒ
adukról	ˈɒdukroːl
aduktól	ˈɒduktoːl
adum	ˈɒdum
adun	ˈɒdun
adunak	ˈɒdunɒk
adunál	ˈɒdunaːl
adunk	ˈɒduŋk
adura	ˈɒdurɒ
aduról	ˈɒduroːl
adut	ˈɒdut
adutok	ˈɒdutok
adutól	ˈɒdutoːl
aduvá	ˈɒduvaː
aduval	ˈɒduvɒl
adva	ˈɒdvɒ
ady	ˈɒdi
aerobik	ˈɒɛrobik
aeroszol	ˈɒɛrosol
áfa	ˈaːfɒ
áfák	ˈaːfaːk
afféle	ˈɒfːeːlɛ
affixum	ˈɒfːiksum
affixumok	ˈɒfːiksumok
afgán	ˈɒvɡaːn
afganisztán	ˈɒvɡɒnistaːn
afganisztáni	ˈɒvɡɒnistaːni
afgánok	ˈɒvɡaːnok
áfium	ˈaːfiʲum
áfiumok	ˈaːfiʲumok
áfonya	ˈaːfoɲɒ
áfonyák	ˈaːfoɲaːk
aforizma	ˈɒforizmɒ
aforizmák	ˈɒforizmaːk
afrika	ˈɒfrikɒ
afrika-kutató	ˈɒfrikɒkutɒtoː
