アイアイ	ai-ai
カノン	kanon
カバディ	kabadi
カフェイン	kafein
カプサイシン	kapusaishin
カプセル	kapuseru
カメレオン	kamereon
カヤック	kayakku
カラカス	karakasu
カラカル	karakaru
カラクン	karakun
カラメル	karameru
カリウム	kariumu
カリオペー	kariopē
カリグラ	karigura
カリフォルニア	kariforunia
カリホルニウム	karihoruniumu
カルカッタ	karukatta
カリカット	karikatto
カルシウム	karushiumu
カルタ	karuta
カルテル	karuteru
カロライナ	karoraina
カンカイ	kankai
カンザス	kanzasu
カンジダ	kanjida
カントン	kanton
カンブリア	kanburia
キオスク	kiosuku
キス	kisu
キセノン	kisenon
キックボール	kikkubōru
キッパ	kippa
キッパー	kippā
キプロス	kipurosu
キマイラ	kimaira
キムチ	kimuchi
キムリック	kimurikku
キメラ	kimera
キャバクラ	kyabakura
キャビア	kyabia
キャベツ	kyabetsu
キャラバン	kyaraban
キャラメル	kyarameru
キャロル	kyaroru
キャン	kyan
キャンディ	kyandi
キャンバス	kyanbasu
キャンパス	kyanpasu
キャンプ	kyanpu
キャンペーン	kyanpēn
キュビスム	kyubisumu
キュリウム	kyuriumu
カンビュセス	kanbyusesu
キュロス	kyurosu
キリスト	kirisuto
キリバス	kiribasu
キルギス	kirugisu
キルギスタン	kirugisutan
キルト	kiruto
キロ	kiro-
キログラム	kiroguramu
キング	kingu
キングスタウン	kingusutaun
キンシャサ	kinshasa
クピードー	kupīdō
クサイ	kusai
クラリネット	kurarinetto
クラブ	kurabu
クラミジア	kuramijia
クリケット	kuriketto
クリス	kurisu
クリスタ	kurisuta
クリストフォロス	kurisutoforosu
クリスマス	kurisumasu
クレイオス	kureiosu
クレオパトラ	kureopatora
クレッシェンド	kuresshendo
クロケット	kuroketto
クロノス	kuronosu
クロロフィル	kurorofiru
クロワッサン	kurowassan
ケアン	kean
ケアンズ	keanzu
ケイ	kei
ケイト	keito
ケチャップ	kechappu
ケベック	kebekku
ケルビン	kerubin
ケルベルス	keruberusu
ケルベロス	keruberosu
ケルン	kerun
ケロ	kero
ケンタウルス	kentaurusu
ケンタウロス	kentaurosu
ケンブリッジ	kenburijji
コ	ko
コイオス	koiosu
コウモリ	kōmori
コサイン	kosain
コセカント	kosekanto
コソアド	kosoado
コタンジェント	kotanjento
コディアック	kodiakku
コニャック	konyakku
コネチカット	konechikatto
コブラ	kobura
コペルニシウム	koperunishiumu
コミック	komikku
コミンテルン	kominterun
コム	komu
コモロ	komoro
コラット	koratto
コラボ	korabo
コリントス	korintosu
コルカタ	korukata
コルク	koruku
コレラ	korera
コロッセオ	korosseo
コロラド	kororado
コロン	koron
コロンバス	koronbasu
コロンビア	koronbia
コンゴ	kongo
コンゴ・キンシャサ	kongo-kinshasa
コンゴ・ブラザヴィル	kongo-burazaviru
コンシエルジュ	konshieruju
コンツェルン	kontserun
コンテ	konte
コンデンサ	kondensa
コントラバス	kontorabasu
コンドーム	kondōmu
コンバーチブル	konbāchiburu
コンパス	konpasu
コンプレックス	konpurekkusu
コンマ	konma
サイエントロジー	saientorojī
サイキック	saikikku
サイクロイド	saikuroido
サイクロプス	saikuropusu
サイス	saisu
サイバネティックス	saibanetikkusu
サイベリアン	saiberian
サイボーグ	saibōgu
サイン	sain
サウサンプトン	sausanputon
サウンドトラック	saundotorakku
サオラ	saora
サクラメント	sakuramento
サスカチュワン	sasukachuwan
サタン	satan
サック	sakku
サテュロス	satyurosu
サディスト	sadisuto
サディズム	sadizumu
サド	sado
サファイア	safaia
サボン	sabon
サマリウム	samariumu
サムエル	samueru
サムネ	samune
サムネイル	samuneiru
サモア	samoa
サラ	sara
サラサ	sarasa
サラダ	sarada
サラマンダー	saramandā
サラミ	sarami
サルサ	sarusa
サルデーニャ	sarudēnya
サンクトペテルブルク	sankuto-peteruburuku
サングラス	sangurasu
サンタ	santa
サンティアゴ	santiago
サンデー	sandē
サンドイッチ	sandoitchi
サンドイッチマン	sandoitchiman
サンドバッグ	sandobaggu
サンノゼ	sannoze
サンバー	sanbā
シアトル	shiatoru
シイ	shī
シヴァ	shiva
シェアウェア	sheawea
シェイクスピア	sheikusupia
シェラン	sheran
シカゴ	shikago
シカレイヨウ	shikareiyō
シガー	shigā
シガレット	shigaretto
シクラメン	shikuramen
シグマ	shiguma
シシャモ	shishamo
シチリア	shichiria
シックス	shikkusu
シップ	shippu
シナプス	shinapusu
シモン	shimon
シャイ	shai
シャイアン	shaian
シャツ	shatsu
シャベル	shaberu
シャボン	shabon
シャム	shamu
シャンデリア	shanderia
シャンパーニュ	shanpānyu
シャンパン	shanpan
シャンペーン	shanpēn
シャンペン	shanpen
シャガ	shaga
シュナウザー	shunauzā
シュニッツェル	shunittseru
シュルレアリスム	shururearisumu
シュレッダー	shureddā
ショットガン	shottogan
シラクサ	shirakusa
シルエット	shiruetto
シルフ	shirufu
シロカモシカ	shirokamoshika
シロップ	shiroppu
シンガプーラ	shingapūra
シンク	shinku
シンシナティ	shinshinati
シンセ	shinse
シンセサイザー	shinsesaizā
シンドバッド	shindobaddo
シンバル	shinbaru
スイス	suisu
スカイダイビング	sukaidaibingu
スカウト	sukauto
スカラベ	sukarabe
スカンク	sukanku
スキャンダル	sukyandaru
スキレット	sukiretto
スキン	sukin
スクラップ	sukurappu
スクリプト	sukuriputo
スコットランド	sukottorando
スコップ	sukoppu
スコピエ	sukopie
スズラン	suzuran
スタイル	sutairu
スタジオ	sutajio
スダチ	sudachi
スタント	sutanto
スタントマン	sutantoman
ステゴサウルス	sutegosaurusu
ストッキング	sutokkingu
ストックホルム	sutokkuhorumu
スパイウェア	supaiwea
スパゲッティ	supagetti
スパゲティ	supageti
スパンキング	supankingu
スピーチ	supīchi
スフィンクス	sufinkusu
スプリング	supuringu
スペイン	supein
スペード	supēdo
スペクトル	supekutoru
スペシャル	supesharu
スポイト	supoito
スライム	suraimu
スラム	suramu
スリッパ	surippa
スリップ	surippu
スロバキア	surobakia
スワジランド	suwajirando
スウォンジー	suwonjī
セ	se
セイシェル	seisheru
セイラム	seiramu
セカント	sekanto
セカンド	sekando
セクハラ	sekuhara
セト	seto
セブン	sebun
セミコロン	semikoron
セム	semu
セメント	semento
セリフ	serifu
セル	seru
セルロイド	seruroido
セレブリティ	sereburiti
セロハン	serohan
センチ	senchi-
セントルイス	sentoruisu
ソウル	souru
ソクラテス	sokuratesu
ソネット	sonetto
ソファ	sofa
ソフト	sofuto
ソフトウェア	sofutowea
ソフトカバー	sofutokabā
ソフトボール	sofutobōru
ソマリ	somari
ソマリア	somaria
ソマリランド	somarirando
ソング	songu
ソンブレロ	sonburero
タイ	tai
タイゴン	taigon
タイトル	taitoru
タイプフェイス	taipufeisu
タイポグラフィ	taipogurafi
タウ	tau
タウオン	tauon
タコス	takosu
タスマニア	tasumania
タダイ	tadai
タッチダウン	tatchidaun
タッチパッド	tatchipaddo
タバコ	tabako
タフネス	tafunesu
タマリン	tamarin
タラップ	tarappu
タレイア	tareia
タレス	taresu
タンジェント	tanjento
タンタル	tantaru
タンタロス	tantarosu
タンバリン	tanbarin
タンブリン	tanburin
タンポン	tanpon
チアガール	chiagāru
チアミン	chiamin
チェ	che
チェアリフト	chearifuto
チェコ	cheko
チェコスロバキア	chekosurobakia
チェス	chesu
チェロ	chero
チェンジ	chenji
チケット	chiketto
チタン	chitan
チフス	chifusu
チベット	chibetto
チャウダー	chaudā
チャクラ	chakura
チャクラム	chakuramu
チャラチャラ	charachara
チャリンコ	charinko
チュチュ	chuchu
チョウセントラ	chōsentora
チルダ	chiruda
チワワ	chiwawa
チンチラ	chinchira
チンパンジー	chinpanjī
ツバキ	tsubaki
ツンデレ	tsundere
ティケット	tiketto
ティラノサウルス	tiranosaurusu
ティラミス	tiramisu
テキサス	tekisasu
テキスト	tekisuto
テキストブック	tekisutobukku
テコンドー	tekondō
テスラ	tesura
テッサリア	tessaria
テニス	tenisu
テネシン	teneshin
テミス	temisu
テモテ	temote
テリア	teria
テレビ	terebi
テレポート	terepōto
テロリスト	terorisuto
テン	ten
ト	to
トッケイ	tokkei
トバゴ	tobago
トピカ	topika
トマス	tomasu
トライアスロン	toraiasuron
トラウマ	torauma
トラスト	torasuto
トラックパッド	torakkupaddo
トラヤヌス	torayanusu
トランクス	torankusu
トランジスタ	toranjisuta
トランシルヴァニア	toranshiruvania
トランス	toransu
トランプ	toranpu
トリウム	toriumu
トリケラトプス	torikeratopusu
トリチウム	torichiumu
トリニダ	torinida
トリニダード	torinidādo
トリニトロトルエン	torinitorotoruen
トリノ	torino
トルエン	toruen
トルコ	toruko
トレイ	torei
トレントン	torenton
トロイア	toroia
トロント	toronto
トロンボーン	toronbōn
トング	tongu
ナイジェリア	naijeria
ナイジャ	naija
ナイチンゲール	naichingēru
ナイト	naito
ナイン	nain
ナサ	nasa
ナタナエル	natanaeru
ナタン	natan
ナチズム	nachizumu
ナッシュビル	nasshubiru
ナット	natto
ナツメ	natsume
ナトリウム	natoriumu
ナノテク	nanoteku
ナノテクノロジー	nanotekunorojī
ナポリ	napori
ナポリタン	naporitan
ナルキッソス	narukissosu
ナルシシズム	narushishizumu
ナルシスト	narushisuto
ナレッジ	narejji
ノレッジ	norejji
ニ	ni
ニアメ	niame
ニオブ	niobu
ニオベー	niobē
ニッケル	nikkeru
ニヒリズム	nihirizumu
ニホニウム	nihoniumu
ニンテンドー	nintendō
ネイビス	neibisu
ネイプルズ	neipuruzu
ネクトン	nekuton
ネグリジェ	negurije
ネックレス	nekkuresu
ネット	netto
ネバダ	nebada
ネブラスカ	neburasuka
ネプツニウム	neputsuniumu
ネメシス	nemeshisu
ノア	noa
ノストラダムス	nosutoradamusu
ノリッチ	noritchi
ハ	ha
ハイエナ	haiena
ハイカラ	haikara
ハイチ	haichi
ハイドラ	haidora
ハイパーテキスト	haipātekisuto
ハイパーリンク	haipārinku
ハズバンド	hazubando
ハッシウム	hasshiumu
ハフニウム	hafuniumu
ハム	hamu
ハリスバーグ	harisubāgu
ハレム	haremu
ハロウィン	harowin
ハワイ	hawai
ハンガー	hangā
ハングル	hanguru
ハンドボール	handobōru
ハンバーガー	hanbāgā
ハンバーグ	hanbāgu
ハンブルク	hanburuku
ヒイラギ	hiiragi
ヒイラギモチ	hiiragimochi
ヒポクラテス	hipokuratesu
ヒマラヤ	himaraya
ヒマラヤン	himarayan
ヒロイン	hiroin
ファ	fa
ファイ	fai
ファイブ	faibu
ファウヌス	faunusu
ファシズム	fashizumu
ファストバック	fasutobakku
ファッキン	fakkin
ファック	fakku
ファッション	fasshon
ファラオ	farao
ファラド	farado
ファルセット	farusetto
ファミコン	famikon
フィアンセ	fianse
フィギュア	figyua
フィクション	fikushon
フィラデルフィア	firaderufia
フィリポ	firipo
フィレンツェ	firentse
フィンランド	finrando
フィル	firu
フェニキア	fenikia
フェニックス	fenikkusu
フェネック	fenekku
フェミニスト	feminisuto
フェミニズム	feminizumu
フェルト	feruto
フェルミ	ferumi
フェルミウム	ferumiumu
フェルミオン	ferumion
フェレット	feretto
フェンシング	fenshingu
フェンリル	fenriru
フェチ	fechi
フォアボール	foa-bōru
フォルダ	foruda
フォンデュ	fondyu
フォトショ	fotosho
フクシア	fukushia
フット	futto
フットボール	futtobōru
フライパン	furaipan
フライング	furaingu
フラッシュ	furasshu
フラミンゴ	furamingo
フラメンコ	furamenko
フランキ	furanki
フランケンシュタイン	furankenshutain
フランシウム	furanshiumu
フランス	furansu
フランドル	furandoru
フリッグ	furiggu
フリント	furinto
フレズノ	furezuno
フロッピー	furoppī
フロリダ	furorida
ヘ	he
ヘアピン	heapin
ヘッドセット	heddosetto
ヘッドフォン	heddofon
ヘリウム	heriumu
ヘルクレス	herukuresu
ヘルシンキ	herushinki
ヘルス	herusu
ヘルツ	herutsu
ヘルペス	herupesu
ヘレナ	herena
ヘレン	heren
ヘロイン	heroin
ヘンゼル	henzeru
ホ	ho
ホキ	hoki
ホステス	hosutesu
ホスト	hosuto
ホッチキス	hotchikisu
ホテル	hoteru
ホニアラ	honiara
ホノルル	honoruru
ホバークラフト	hobākurafuto
ホモサピエンス	homosapiensu
ホラント	horanto
ホルモン	horumon
ホルン	horun
マイク	maiku
マイクロフォン	maikurofon
マイクログラム	maikuroguramu
ミリグラム	miriguramu
マイトネリウム	maitoneriumu
マカオ	makao
マカロニ	makaroni
マクド	makudo
マクドナルド	makudonarudo
マグマ	maguma
マケドニア	makedonia
マザーボード	mazābōdo
マシュマロ	mashumaro
マジェンタ	majenta
マジュロ	majuro
マスカラ	masukara
マスク	masuku
マゼンタ	mazenta
マゾ	mazo
マゾヒスト	mazohisuto
マゾヒズム	mazohizumu
マタイ	matai
マック	makku
マッハ	mahha
マティア	matia
マディソン	madison
マドリッド	madoriddo
マニエリスム	manierisumu
マニトバ	manitoba
マヌカン	manukan
マネキン	manekin
ママ	mama
マラソン	marason
マラトン	maraton
マラリア	mararia
マリア	maria
マリネ	marine
マリモ	marimo
マルコ	maruko
マンガ	manga
マンガン	mangan
マンクス	mankusu
マンゴスチン	mangosuchin
マンティコア	mantikoa
マント	manto
マンモス	manmosu
ミクロネシア	mikuroneshia
ミケランジェロ	mikeranjero
ミサ	misa
ミシガン	mishigan
ミシシッピ	mishishippi
ミシン	mishin
ミストレス	misutoresu
ミズーリ	mizūri
ミズガルズ	mizugaruzu
ミダース	midāsu
ミニマリズム	minimarizumu
ミネアポリス	mineaporisu
ミネソタ	minesota
ミネルウァ	mineruwa
ミュンヘン	myunhen
ミョルニル	myoruniru
ミラノ	mirano
ミロス	mirosu
ミント	minto
ムスリム	musurimu
ムックリ	mukkuri
メイド	meido
メイン	mein
メインボード	meinbōdo
メキシコ	mekishiko
メソポタミア	mesopotamia
メヒコ	mehiko
メモリ	memori
メルクリウス	merukuriusu
メルボルン	meruborun
メロンパン	meronpan
メンス	mensu
メンデレビウム	menderebiumu
モア	moa
モズ	mozu
モスク	mosuku
モスクワ	mosukuwa
モスコビウム	mosukobiumu
モダニズム	modanizumu
モップ	moppu
モトクロス	motokurosu
モノクル	monokuru
モバゲー	mobagē
モルディブ	morudibu
モルモット	morumotto
モンゴル	mongoru
モンタナ	montana
モントセラト	montoserato
モントピリア	montopiria
モンハン	monhan
モンペリエ	monperie
モンレアル	monrearu
ヤク	yaku
ヤコブ	yakobu
ヤブサメ	yabusame
ヤペテ	yapete
ヤムスクロ	yamusukuro
ヤムルカ	yamuruka
ヤンデレ	yandere
ユウロピウム	yūropiumu
ユタ	yuta
ユダ	yuda
ユダヤ	yudaya
ユプシロン	yupushiron
ユミル	yumiru
ヨアキム	yoakimu
ヨエル	yoeru
ヨット	yotto
ヨハネ	yohane
ヨルムンガンド	yorumungando
ライガー	raigā
ライス	raisu
ライト	raito
ライバル	raibaru
ライマ	raima
ライム	raimu
ラオス	raosu
ラクセンバーグ	rakusenbāgu
ラクロス	rakurosu
ラグーン	ragūn
ラグドール	ragudōru
ラグナロク	ragunaroku
ラグビー	ragubī
ラケット	raketto
ラザニア	razania
ラザロ	razaro
ラジアン	rajian
ラジウム	rajiumu
ラタトゥイユ	ratatuiyu
ラップトップ	rapputoppu
ラトビア	ratobia
ラファエロ	rafaero
ラブ	rabu
ラブラドール	raburadōru
ラプンツェル	rapuntseru
ラペル	raperu
ラムセス	ramusesu
ラムダ	ramuda
ランシング	ranshingu
ランプ	ranpu
リヴァプール	rivapūru
リカオン	rikaon
リザード	rizādo
リザードマン	rizādoman
リゾット	rizotto
リチウム	richiumu
リッチモンド	ritchimondo
リップスティック	rippusutikku
リヒテンシュタイン	rihitenshutain
リフト	rifuto
リボフラビン	ribofurabin
リボルバー	riborubā
リマ	rima
リムジン	rimujin
リムリック	rimurikku
リモコン	rimokon
リャマ	ryama
リュクサンブール	ryukusanbūru
リラックス	rirakkusu
リリック	ririkku
リロングウェ	rironguwe
リンクス	rinkusu
リンパ	rinpa
ルイジアナ	ruijiana
ルカ	ruka
ルクス	rukusu
ルクセンブルク	rukusenburuku
ルシヘル	rushiheru
ルックス	rukkusu
ルネサンス	runesansu
ルビ	rubi
ルビー	rubī
ルビジウム	rubijiumu
レア	rea
レオポルドヴィル	reoporudoviru
レシピ	reshipi
レストラン	resutoran
レスリング	resuringu
レズビアン	rezubian
レタス	retasu
レダ	reda
レッド	reddo
レディング	redingu
レディ	redi
レニウム	reniumu
レバノン	rebanon
レファレンダム	refarendamu
レフト	refuto
レプトン	reputon
レミング	remingu
レモン	remon
レンジ	renji
レンチ	renchi
レントゲニウム	rentogeniumu
レントゲン	rentogen
ロ	ro
ロキ	roki
ロケット	roketto
ロサンゼルス	rosanzerusu
ロシア	roshia
ロドス	rodosu
ロビイスト	robiisuto
ロボット	robotto
ロリ	rori
ロリコン	rorikon
ロンドン	rondon
ロンバルディア	ronbarudia
ワイ	wai
ワイシャツ	waishatsu
ワイバーン	waibān
ワイフ	waifu
ワクチン	wakuchin
ワシントン	washinton
ワット	watto
ワッフル	waffuru
ワルシャワ	warushawa
ワンダフル	wandafuru
ヸタミン	vitamin
アーカイブ	ākaibu
アーカンソー	ākansō
アーガイル	āgairu
アーキオロジー	ākiorojī
アーキテクチャ	ākitekucha
アーキビスト	ākibisuto
アーク	āku
アークコサイン	ākukosain
アークコタンジェント	ākukotanjento
アークサイン	ākusain
アークタンジェント	ākutanjento
アーグラ	āgura
アーケード	ākēdo
アーサー	āsā
アース	āsu
アースガルズ	āsugaruzu
アースガルド	āsugarudo
アーチ	āchi
アーチェリー	ācherī
アーティキュレーション	ātikyurēshon
アーティスト	ātisuto
アーティストインレジデンス	ātisutoinrejidensu
アーティチョーク	ātichōku
アーティファクト	ātifakuto
アート	āto
アードウルフ	ādourufu
アーバーダーン	ābādān
アーフェンピンシャー	āfenpinshā
アーヘン	āhen
アームチェア	āmuchea
アーメン	āmen
アーモンド	āmondo
アーユルヴェーダ	āyuruvēda
アール	āru
アーンミーヤ	ānmīya
アイ	ai
アイオーン	aiōn
アイオロス	aiorosu
アイカ	aika
アイキャッチ	aikyatchi
アイザウル	aizauru
アイシャドー	aishadō
アイス	aisu
アイスプラント	aisupuranto
アイソーポス	aisōposu
アイツ	aitsu
アイテール	aitēru
アイテル	aiteru
アイデア	aidea
アイディア	aidia
アイデンティティ	aidentiti
アイドル	aidoru
アイヌ	ainu
アイフォーン	aifōn
アイフォン	aifon
アイホン	aihon
アイマス	aimasu
アイマスク	aimasuku
アイマック	aimakku
アイマラ	aimara
アイランド	airando
アイロニー	aironī
アウシュビッツ	aushubittsu
アウト	auto
アウトソーシング	autosōshingu
アウトバーン	autobān
アウフヘーベン	aufuhēben
アウローラ	aurōra
アウロラ	aurora
アエロフロート	aerofurōto
アオウミガメ	aoumigame
アオカケス	aokakesu
アオギリ	aogiri
アオサ	aosa
アオサギ	aosagi
アオザイ	aozai
アオザメ	aozame
アオテアロア	aotearoa
アオメン	aomen
アオリスト	aorisuto
アカ	aka
アカアシクロトキ	akaashikurotoki
アカウミガメ	akaumigame
アカウント	akaunto
アカオオカミ	akaōkami
アカギツネ	akagitsune
アカゲザル	akagezaru
アカシカ	akashika
アカシャ	akasha
アカシヤ	akashiya
アカシュモクザメ	akashumokuzame
アカデミー	akademī
アカニシ	akanishi
アカミミガメ	akamimigame
アガパンサス	agapansasu
アガメムノーン	agamemunōn
アガメムノン	agamemunon
アガルタラ	agarutara
アキ	aki
アキズ	akizu
アキツ	akitsu
アキテーヌ	akitēnu
アキバ	akiba
アキンボ	akinbo
アクアウオーキング	akuauōkingu
アクアサイズ	akuasaizu
アクアビクス	akuabikusu
アクアマリン	akuamarin
アクアリウム	akuariumu
アクキー	akukī
アクシオン	akushion
アクシスジカ	akushisu-jika
アクシデント	akushidento
アクション	akushon
アクセサリー	akusesarī
アクセス	akusesu
アクセル	akuseru
アクセント	akusento
アクチニウム	akuchiniumu
アクチニド	akuchinido
アクメ	akume
アクラ	akura
アクリジン	akurijin
アクリル	akuriru
アクリルアミド	akuriruamido
アクロニム	akuronimu
アクロポリス	akuroporisu
アグー	agū
アグレッシブ	aguresshibu
アケローン	akerōn
アゲハ	ageha
アゲハチョウ	agehachō
アコーディオン	akōdion
アコーデオン	akōdeon
アコギ	akogi
アサイン	asain
アサガオ	asagao
アサミ	asami
アサリ	asari
アザゼル	azazeru
アザラシ	azarashi
アザワド	azawado
アザーン	azān
アシカ	ashika
アシガバート	ashigabāto
アシスト	ashisuto
アシドーシス	ashidōshisu
アシル	ashiru
アジサイ	ajisai
アジサシ	ajisashi
アジスアベバ	ajisuabeba
アジト	ajito
アスガルズ	asugaruzu
アスガルト	asugaruto
アスガルド	asugarudo
アスガード	asugādo
アスタチン	asutachin
アスタナ	asutana
アステカ	asuteka
アステリスク	asuterisuku
アストラハン	asutorahan
アストレア	asutorea
アストロターフ	asutorotāfu
アスナロ	asunaro
アスパラギン	asuparagin
アスファルト	asufaruto
アスベスト	asubesuto
アスペ	asupe
アスペルギルス	asuperugirusu
アスマラ	asumara
アスラ	asura
アスンシオン	asunshion
アズキ	azuki
アズレン	azuren
アセスメント	asesumento
アセタール	asetāru
アセチルコリン	asechirukorin
アセチレン	asechiren
アセティシズム	asetishizumu
アセトン	aseton
アセナフテン	asenafuten
アセビ	asebi
アセンブラ	asenbura
アゼチジン	azechijin
アゼルバイジャン	azerubaijan
アソシエイト	asoshieito
アゾール	azōru
アタッシェ	atasshe
アタリ	atari
アダプタ	adaputa
アダプター	adaputā
アダルト	adaruto
アックス	akkusu
アットホーム	attohōmu
アッバース	abbāsu
アッパー	appā
アップクォーク	appukwōku
アップグレード	appugurēdo
アップテンポ	apputenpo
アップデート	appudēto
アップル	appuru
アップロード	appurōdo
アッラー	arrā
アッラーフ	arrāfu
アテーナー	atēnā
アテナ	atena
アテナイ	atenai
アテレコ	atereko
アテローム	aterōmu
アディゲ	adige
アディダス	adidasu
アデニン	adenin
アデュー	adyū
アデレード	aderēdo
アデン	aden
アト	ato-
アトキンソン	atokinson
アトランティス	atorantisu
アトリ	atori
アトリエ	atorie
アドバイス	adobaisu
アドベンチャー	adobenchā
アドベンチュア	adobenchua
アドボ	adobo
アドリブ	adoribu
アドルフ	adorufu
アドレス	adoresu
アドレスバー	adoresubā
アドレナリン	adorenarin
アナ	ana
アナーキスト	anākisuto
アナーキズム	anākizumu
アナウサギ	anausagi
アナウンサー	anaunsā
アナウンス	anaunsu
アナグマ	anaguma
アナグラム	anaguramu
アナコンダ	anakonda
アナゴ	anago
アナテマ	anatema
