アイアイ	ai-ai
クロロフィル	kurorofiru
ケアンズ	keanzu
ケイ	kei
ケチャップ	kechappu
ケルビン	kerubin
ケルベルス	keruberusu
ケルベロス	keruberosu
ケロ	kero
ケンタウルス	kentaurusu
ケンタウロス	kentaurosu
ケンブリッジ	kenburijji
コ	ko
コウモリ	kōmori
コセカント	kosekanto
コタンジェント	kotanjento
コディアック	kodiakku
コニャック	konyakku
コネチカット	konechikatto
コペルニシウム	koperunishiumu
コミック	komikku
コミンテルン	kominterun
コモロ	komoro
コラット	koratto
コラボ	korabo
コルカタ	korukata
コルク	koruku
コロラド	kororado
コロン	koron
コロンバス	koronbasu
コンゴ	kongo
コンゴ・キンシャサ	kongo-kinshasa
コンゴ・ブラザヴィル	kongo-burazaviru
コンテ	konte
コンデンサ	kondensa
コンドーム	kondōmu
コンバーチブル	konbāchiburu
コンプレックス	konpurekkusu
コンマ	konma
サイエントロジー	saientorojī
サイキック	saikikku
サイクロイド	saikuroido
サイクロプス	saikuropusu
サイボーグ	saibōgu
サイン	sain
サウンドトラック	saundotorakku
サオラ	saora
サクラメント	sakuramento
サタン	satan
サック	sakku
サテュロス	satyurosu
サディズム	sadizumu
サファイア	safaia
サボン	sabon
サマリウム	samariumu
サムエル	samueru
サムネ	samune
サモア	samoa
サラ	sara
サラサ	sarasa
サラマンダー	saramandā
サラミ	sarami
サルサ	sarusa
サルデーニャ	sarudēnya
サンクトペテルブルク	sankuto-peteruburuku
サングラス	sangurasu
サンティアゴ	santiago
サンデー	sandē
サンドイッチマン	sandoitchiman
サンドバッグ	sandobaggu
サンノゼ	sannoze
サンバー	sanbā
シアトル	shiatoru
シイ	shī
シェアウェア	sheawea
シェイクスピア	sheikusupia
シェラン	sheran
シカレイヨウ	shikareiyō
シガー	shigā
シガレット	shigaretto
シクラメン	shikuramen
シシャモ	shishamo
シチリア	shichiria
シックス	shikkusu
シップ	shippu
シャイアン	shaian
シャツ	shatsu
シャベル	shaberu
シャボン	shabon
シャム	shamu
シャンパーニュ	shanpānyu
シャンペーン	shanpēn
シャンペン	shanpen
シャガ	shaga
シュナウザー	shunauzā
シュニッツェル	shunittseru
シュルレアリスム	shururearisumu
シュレッダー	shureddā
ショットガン	shottogan
シラクサ	shirakusa
シルエット	shiruetto
シルフ	shirufu
シロカモシカ	shirokamoshika
シロップ	shiroppu
シンガプーラ	shingapūra
シンク	shinku
シンセ	shinse
シンセサイザー	shinsesaizā
シンバル	shinbaru
スイス	suisu
スカイダイビング	sukaidaibingu
スカウト	sukauto
スカラベ	sukarabe
スカンク	sukanku
スキャンダル	sukyandaru
スキレット	sukiretto
スクリプト	sukuriputo
スコットランド	sukottorando
スズラン	suzuran
スタイル	sutairu
スタジオ	sutajio
スダチ	sudachi
スタント	sutanto
スタントマン	sutantoman
ステゴサウルス	sutegosaurusu
ストッキング	sutokkingu
ストックホルム	sutokkuhorumu
スパイウェア	supaiwea
スパゲッティ	supagetti
スパゲティ	supageti
スパンキング	supankingu
スピーチ	supīchi
スフィンクス	sufinkusu
スプリング	supuringu
スペード	supēdo
スペクトル	supekutoru
スポイト	supoito
スライム	suraimu
スラム	suramu
スリッパ	surippa
スリップ	surippu
スロバキア	surobakia
スワジランド	suwajirando
セ	se
セイシェル	seisheru
セカント	sekanto
セクハラ	sekuhara
セト	seto
セブン	sebun
セミコロン	semikoron
セム	semu
セリフ	serifu
セル	seru
セルロイド	seruroido
セレブリティ	sereburiti
ソウル	souru
ソクラテス	sokuratesu
ソネット	sonetto
ソファ	sofa
ソフト	sofuto
ソフトウェア	sofutowea
ソフトカバー	sofutokabā
ソフトボール	sofutobōru
ソマリ	somari
ソマリア	somaria
ソマリランド	somarirando
ソング	songu
ソンブレロ	sonburero
タイ	tai
タイゴン	taigon
タイポグラフィ	taipogurafi
タウ	tau
タウオン	tauon
タコス	takosu
タスマニア	tasumania
タッチダウン	tatchidaun
タッチパッド	tatchipaddo
タバコ	tabako
タフネス	tafunesu
タマリン	tamarin
タラップ	tarappu
タレイア	tareia
タレス	taresu
タンジェント	tanjento
タンタル	tantaru
タンバリン	tanbarin
タンブリン	tanburin
タンポン	tanpon
チアガール	chiagāru
チアミン	chiamin
チェ	che
チェアリフト	chearifuto
チェコ	cheko
チェコスロバキア	chekosurobakia
チェス	chesu
チェロ	chero
チェンジ	chenji
チケット	chiketto
チタン	chitan
チフス	chifusu
チベット	chibetto
チャウダー	chaudā
チャクラ	chakura
チャクラム	chakuramu
チャラチャラ	charachara
チャリンコ	charinko
チュチュ	chuchu
チョウセントラ	chōsentora
チルダ	chiruda
チワワ	chiwawa
チンチラ	chinchira
チンパンジー	chinpanjī
ツバキ	tsubaki
ツンデレ	tsundere
ティケット	tiketto
ティラノサウルス	tiranosaurusu
ティラミス	tiramisu
テキサス	tekisasu
テキスト	tekisuto
テキストブック	tekisutobukku
テコンドー	tekondō
テスラ	tesura
テッサリア	tessaria
テニス	tenisu
テネシン	teneshin
テミス	temisu
テモテ	temote
テリア	teria
テレビ	terebi
テレポート	terepōto
テロリスト	terorisuto
テン	ten
ト	to
トッケイ	tokkei
トバゴ	tobago
トピカ	topika
トライアスロン	toraiasuron
トラウマ	torauma
トラスト	torasuto
トラックパッド	torakkupaddo
トランジスタ	toranjisuta
トランシルヴァニア	toranshiruvania
トランス	toransu
トランプ	toranpu
トリウム	toriumu
トリケラトプス	torikeratopusu
トリチウム	torichiumu
トリニダ	torinida
トリニダード	torinidādo
トリニトロトルエン	torinitorotoruen
トリノ	torino
トルエン	toruen
トルコ	toruko
トレイ	torei
トロント	toronto
トロンボーン	toronbōn
トング	tongu
ナイジェリア	naijeria
ナイチンゲール	naichingēru
ナイト	naito
ナタナエル	natanaeru
ナチズム	nachizumu
ナット	natto
ナトリウム	natoriumu
ナノテク	nanoteku
ナノテクノロジー	nanotekunorojī
ナルシスト	narushisuto
ナレッジ	narejji
ニ	ni
ニアメ	niame
ニオブ	niobu
ニッケル	nikkeru
ニヒリズム	nihirizumu
ネイビス	neibisu
ネックレス	nekkuresu
ネット	netto
ネバダ	nebada
ネプツニウム	neputsuniumu
ネメシス	nemeshisu
ノア	noa
ノストラダムス	nosutoradamusu
ノリッチ	noritchi
ハ	ha
ハイエナ	haiena
ハイチ	haichi
ハイドラ	haidora
ハイパーテキスト	haipātekisuto
ハイパーリンク	haipārinku
ハズバンド	hazubando
ハッシウム	hasshiumu
ハフニウム	hafuniumu
ハム	hamu
ハリスバーグ	harisubāgu
ハレム	haremu
ハロウィン	harowin
ハンドボール	handobōru
ハンバーグ	hanbāgu
ヒイラギモチ	hiiragimochi
ヒポクラテス	hipokuratesu
ヒマラヤ	himaraya
ヒマラヤン	himarayan
ヒロイン	hiroin
ファ	fa
ファイ	fai
ファイブ	faibu
ファウヌス	faunusu
ファシズム	fashizumu
ファストバック	fasutobakku
ファッキン	fakkin
ファック	fakku
ファッション	fasshon
ファラオ	farao
ファルセット	farusetto
ファミコン	famikon
フィアンセ	fianse
フィクション	fikushon
フィリポ	firipo
フィレンツェ	firentse
フィル	firu
フェニキア	fenikia
フェニックス	fenikkusu
フェネック	fenekku
フェミニズム	feminizumu
フェルト	feruto
フェルミウム	ferumiumu
フォアボール	foa-bōru
フォルダ	foruda
フォンデュ	fondyu
フォトショ	fotosho
フットボール	futtobōru
フライパン	furaipan
フライング	furaingu
フラッシュ	furasshu
フラミンゴ	furamingo
フラメンコ	furamenko
フランキ	furanki
フランシウム	furanshiumu
フランドル	furandoru
フリッグ	furiggu
フリント	furinto
フレズノ	furezuno
ヘッドセット	heddosetto
ヘッドフォン	heddofon
ヘリウム	heriumu
ヘルクレス	herukuresu
ヘルシンキ	herushinki
ヘルス	herusu
ヘルツ	herutsu
ヘルペス	herupesu
ヘレナ	herena
ヘレン	heren
ヘロイン	heroin
ヘンゼル	henzeru
ホ	ho
ホキ	hoki
ホステス	hosutesu
ホニアラ	honiara
ホノルル	honoruru
ホバークラフト	hobākurafuto
ホラント	horanto
ホルン	horun
マイク	maiku
マイクロフォン	maikurofon
マイクログラム	maikuroguramu
ミリグラム	miriguramu
マカオ	makao
マカロニ	makaroni
マクド	makudo
マクドナルド	makudonarudo
マグマ	maguma
マケドニア	makedonia
マザーボード	mazābōdo
マシュマロ	mashumaro
マジェンタ	majenta
マジュロ	majuro
マスカラ	masukara
マスク	masuku
マゼンタ	mazenta
マゾヒズム	mazohizumu
マタイ	matai
マッハ	mahha
マティア	matia
マディソン	madison
マドリッド	madoriddo
マニエリスム	manierisumu
マヌカン	manukan
マネキン	manekin
マラソン	marason
マラトン	maraton
マラリア	mararia
マリネ	marine
マリモ	marimo
マンガ	manga
マンゴスチン	mangosuchin
マンティコア	mantikoa
マント	manto
マンモス	manmosu
ミクロネシア	mikuroneshia
ミシガン	mishigan
ミストレス	misutoresu
ミズーリ	mizūri
ミダース	midāsu
ミニマリズム	minimarizumu
ミネアポリス	mineaporisu
ムスリム	musurimu
ムックリ	mukkuri
メイド	meido
メイン	mein
メヒコ	mehiko
メモリ	memori
メルボルン	meruborun
メロンパン	meronpan
メンス	mensu
メンデレビウム	menderebiumu
モア	moa
モズ	mozu
モスク	mosuku
モスクワ	mosukuwa
モダニズム	modanizumu
モップ	moppu
モトクロス	motokurosu
モノクル	monokuru
モバゲー	mobagē
モルディブ	morudibu
モンゴル	mongoru
モントセラト	montoserato
モントピリア	montopiria
モンハン	monhan
モンペリエ	monperie
モンレアル	monrearu
ヤク	yaku
ヤコブ	yakobu
ヤブサメ	yabusame
ヤペテ	yapete
ヤムスクロ	yamusukuro
ヤムルカ	yamuruka
ユウロピウム	yūropiumu
ユタ	yuta
ユダ	yuda
ユダヤ	yudaya
ユプシロン	yupushiron
ユミル	yumiru
ヨアキム	yoakimu
ヨエル	yoeru
ヨット	yotto
ヨハネ	yohane
ヨルムンガンド	yorumungando
ライガー	raigā
ライス	raisu
ライト	raito
ライバル	raibaru
ライマ	raima
ライム	raimu
ラオス	raosu
ラクセンバーグ	rakusenbāgu
ラクロス	rakurosu
ラグーン	ragūn
ラグドール	ragudōru
ラグナロク	ragunaroku
ラケット	raketto
ラザニア	razania
ラザロ	razaro
ラジアン	rajian
ラジウム	rajiumu
ラタトゥイユ	ratatuiyu
ラトビア	ratobia
ラファエロ	rafaero
ラブ	rabu
ラブラドール	raburadōru
ラプンツェル	rapuntseru
ラペル	raperu
ラムセス	ramusesu
ラムダ	ramuda
ランシング	ranshingu
ランプ	ranpu
リヴァプール	rivapūru
リカオン	rikaon
リザード	rizādo
リザードマン	rizādoman
リゾット	rizotto
リチウム	richiumu
リッチモンド	ritchimondo
リップスティック	rippusutikku
リヒテンシュタイン	rihitenshutain
リフト	rifuto
リボフラビン	ribofurabin
リマ	rima
リムジン	rimujin
リムリック	rimurikku
リモコン	rimokon
リャマ	ryama
リュクサンブール	ryukusanbūru
リラックス	rirakkusu
リリック	ririkku
リロングウェ	rironguwe
リンクス	rinkusu
ルカ	ruka
ルクス	rukusu
ルクセンブルク	rukusenburuku
ルシヘル	rushiheru
ルックス	rukkusu
ルネサンス	runesansu
ルビ	rubi
ルビー	rubī
ルビジウム	rubijiumu
レオポルドヴィル	reoporudoviru
レシピ	reshipi
レストラン	resutoran
レスリング	resuringu
レズビアン	rezubian
レダ	reda
レディング	redingu
レディ	redi
レニウム	reniumu
レバノン	rebanon
レファレンダム	refarendamu
レフト	refuto
レプトン	reputon
レミング	remingu
レモン	remon
レンジ	renji
レンチ	renchi
レントゲニウム	rentogeniumu
ロ	ro
ロキ	roki
ロシア	roshia
ロドス	rodosu
ロビイスト	robiisuto
ロボット	robotto
ロリコン	rorikon
ロンドン	rondon
ワイ	wai
ワイシャツ	waishatsu
ワイフ	waifu
ワクチン	wakuchin
ワシントン	washinton
ワット	watto
ワルシャワ	warushawa
ワンダフル	wandafuru
ヸタミン	vitamin
アーガイル	āgairu
アーキオロジー	ākiorojī
アーキビスト	ākibisuto
アーク	āku
アークコサイン	ākukosain
アークコタンジェント	ākukotanjento
アークサイン	ākusain
アーグラ	āgura
アーケード	ākēdo
アーサー	āsā
アース	āsu
アースガルド	āsugarudo
アーチ	āchi
アーチェリー	ācherī
アーティキュレーション	ātikyurēshon
アーティスト	ātisuto
アーティストインレジデンス	ātisutoinrejidensu
アーティチョーク	ātichōku
アーティファクト	ātifakuto
アート	āto
アードウルフ	ādourufu
アーバーダーン	ābādān
アーフェンピンシャー	āfenpinshā
アーヘン	āhen
アームチェア	āmuchea
アーメン	āmen
アーモンド	āmondo
アーユルヴェーダ	āyuruvēda
アール	āru
アーンミーヤ	ānmīya
アイ	ai
アイオーン	aiōn
アイオロス	aiorosu
アイカ	aika
アイキャッチ	aikyatchi
アイザウル	aizauru
アイシャドー	aishadō
アイス	aisu
アイソーポス	aisōposu
アイツ	aitsu
アイテール	aitēru
アイテル	aiteru
アイディア	aidia
アイデンティティ	aidentiti
アイフォーン	aifōn
アイフォン	aifon
アイホン	aihon
アイマス	aimasu
アイマスク	aimasuku
アイマック	aimakku
アイマラ	aimara
アイランド	airando
アウシュビッツ	aushubittsu
アウト	auto
アウトバーン	autobān
アウフヘーベン	aufuhēben
アウロラ	aurora
アエロフロート	aerofurōto
アオギリ	aogiri
アオザメ	aozame
アオテアロア	aotearoa
アオリスト	aorisuto
アカウント	akaunto
アカオオカミ	akaōkami
アカギツネ	akagitsune
アカシカ	akashika
アカシャ	akasha
アカニシ	akanishi
アガメムノーン	agamemunōn
アガメムノン	agamemunon
アキ	aki
アキズ	akizu
アキバ	akiba
アキンボ	akinbo
アクアウオーキング	akuauōkingu
アクアサイズ	akuasaizu
アクアビクス	akuabikusu
アクアマリン	akuamarin
アクアリウム	akuariumu
アクキー	akukī
アクシスジカ	akushisu-jika
アクシデント	akushidento
アクセサリー	akusesarī
アクセス	akusesu
アクセル	akuseru
アクセント	akusento
アクチニウム	akuchiniumu
アクチニド	akuchinido
アクラ	akura
アクリジン	akurijin
アクリル	akuriru
アクリルアミド	akuriruamido
アクロニム	akuronimu
アクロポリス	akuroporisu
アグー	agū
アグレッシブ	aguresshibu
アケローン	akerōn
アゲハ	ageha
アゲハチョウ	agehachō
アコーディオン	akōdion
アコーデオン	akōdeon
アコギ	akogi
アサイン	asain
アサガオ	asagao
アサリ	asari
アザゼル	azazeru
アザラシ	azarashi
アザワド	azawado
アザーン	azān
アシカ	ashika
アシガバート	ashigabāto
アシスト	ashisuto
アシドーシス	ashidōshisu
アシル	ashiru
アジサイ	ajisai
アジスアベバ	ajisuabeba
アジト	ajito
アスガルズ	asugaruzu
アスガルト	asugaruto
アスタチン	asutachin
アスタナ	asutana
アステカ	asuteka
アステリスク	asuterisuku
アストラハン	asutorahan
アストレア	asutorea
アストロターフ	asutorotāfu
アスパラギン	asuparagin
アスファルト	asufaruto
アスベスト	asubesuto
アスペルギルス	asuperugirusu
アスラ	asura
アスンシオン	asunshion
アズキ	azuki
アズレン	azuren
アセスメント	asesumento
アセチルコリン	asechirukorin
アセティシズム	asetishizumu
アセトン	aseton
アセナフテン	asenafuten
アセビ	asebi
アゼチジン	azechijin
アソシエイト	asoshieito
アゾール	azōru
アタッシェ	atasshe
アタリ	atari
アダプタ	adaputa
アダルト	adaruto
アックス	akkusu
アットホーム	attohōmu
アッバース	abbāsu
アッパー	appā
アップクォーク	appukwōku
アップグレード	appugurēdo
アップテンポ	apputenpo
アップル	appuru
アップロード	appurōdo
アッラー	arrā
アッラーフ	arrāfu
アテーナー	atēnā
アテナ	atena
アテレコ	atereko
アテローム	aterōmu
アディゲ	adige
アディダス	adidasu
アデニン	adenin
アデュー	adyū
アデン	aden
アトランティス	atorantisu
アトリ	atori
アトリエ	atorie
アドベンチュア	adobenchua
アドボ	adobo
アドリブ	adoribu
アドルフ	adorufu
アドレスバー	adoresubā
アドレナリン	adorenarin
アナ	ana
アナーキスト	anākisuto
アナウンサー	anaunsā
アナグマ	anaguma
アナグラム	anaguramu
アナコンダ	anakonda
アナゴ	anago
アナテマ	anatema
アナディリ	anadiri
アナフィラキシー	anafirakishī
アナルビーズ	anarubīzu
アナログ	anarogu
アニス	anisu
アニソン	anison
アニマンガ	animanga
アニメーター	animētā
アノア	anoa
アノード	anōdo
アバカス	abakasu
アバンチュール	abanchūru
アパート	apāto
アパートメントハウス	apātomentohausu
アヒル	ahiru
アビシニア	abishinia
アビニョン	abinyon
アピア	apia
アピール	apīru
アフィリエイト	afirieito
アフターバーナー	afutābānā
アフリカ	afurika
アフリカーナー	afurikānā
アフレコ	afureko
アフロディーテ	afurodīte
アブ	abu
アブサン	abusan
アブジャド	abujado
アブハジア	abuhajia
アブラハム	aburahamu
アブラボウズ	aburabōzu
アブラムシ	aburamushi
アプデ	apude
アプライアンス	apuraiansu
アプリオリ	apuriori
アプリル	apuriru
アプローチ	apurōchi
アプロディーテー	apurodītē
アプロディテ	apurodite
アベック	abekku
アベノミクス	abenomikusu
アホ	aho
アホロートル	ahorōtoru
アボリジニ	aborijini
アポスティーユ	aposutīyu
アポストロフィ	aposutorofi
アポストロフィー	aposutorofī
アポロー	aporō
アポローン	aporōn
アポロン	aporon
アマ	ama
アマゾネス	amazonesu
アマゾン	amazon
アマツバメ	amatsubame
アマテラス	amaterasu
アミール	amīru
アミガサダケ	amigasadake
アミド	amido
アミノ	amino
アミン	amin
アムピトリーテー	amupitorītē
アムリトサル	amuritosaru
アメージング	amējingu
アメーバ	amēba
アメコミ	amekomi
アメジスト	amejisuto
アメフト	amefuto
アメリカン	amerikan
アメリカンドッグ	amerikandoggu
アメンボウ	amenbō
アヤトラ	ayatora
アラー	arā
アラメ	arame
アリ	ari
アリア	aria
アリーヤー	arīyā
アリカ	arika
アリクイ	arikui
アリジゴク	arijigoku
アリス	arisu
アリストテレース	arisutoterēsu
アル	aru
アルカーイダ	aru-kāida
アルカイダ	aru-kaida
アルカロイド	arukaroido
アルカン	arukan
アルキン	arukin
アルギニン	aruginin
アルケー	arukē
アルケン	aruken
アルゴス	arugosu
アルシン	arushin
アルゼンチン	aruzenchin
アルタイル	arutairu
アルデヒド	arudehido
アルト	aruto
アルバイト	arubaito
アルバム	arubamu
アルファルファ	arufarufa
アルプス	arupusu
アルベド	arubedo
アルペッジョ	arupejjo
アルマトイ	arumatoi
アルミ	arumi
アルメニア	arumenia
アレイスター	areisutā
アレキサンドリア	arekisandoria
アレクサンドルーポリ	arekusandorūpori
アレチネズミ	arechinezumi
アレッポ	areppo
アロエ	aroe
アン	an
アンカラ	ankara
アンギラ	angira
アンクレット	ankuretto
アングラ	angura
アングル	anguru
アンケート	ankēto
アンコウ	ankō
アンコール	ankōru
アンゴラ	angora
アンサンブル	ansanburu
アンソニー	ansonī
アンソロジー	ansorojī
アンタナナリボ	antananaribo
アンタレス	antaresu
アンダルス	andarusu
アンダーシャツ	andāshatsu
アンダースコア	andāsukoa
アンダーソン	andāson
アンチ	anchi
アンチノミー	anchinomī
アンチモン	anchimon
アンチョビ	anchobi
アンテロープ	anterōpu
アンデッド	andeddo
アントニオ	antonio
アントラセン	antorasen
アンドレ	andore
アンドロメダ	andoromeda
アンフィトリテ	anfitorite
アンプル	anpuru
アンマン	anman
アンモニア	anmonia
アンラッキー	anrakkī
イアーソーン	iāsōn
イー	ī
イーカロス	īkarosu
イーサネット	īsanetto
イースト	īsuto
イーゼル	īzeru
イーリアス	īriasu
イールランド	īrurando
イエスマン	iesuman
イエネコ	ieneko
イエメン	iemen
イエレミヤ	ieremiya
イエロー	ierō
イエローカード	ierōkādo
イオウ	iō
イオーン	iōn
イカ	ika
イカル	ikaru
イカルス	ikarusu
イカロス	ikarosu
イガイ	igai
イクメン	ikumen
イグルー	igurū
イケボ	ikebo
イケメンボイス	ikemenboisu
イコール	ikōru
イコクエイラクブカ	ikokueirakubuka
イコノグラフィー	ikonogurafī
イコノロジー	ikonorojī
イコライザ	ikoraiza
イザナキ	izanaki
イザナギ	izanagi
イザナミ	izanami
イシス	ishisu
イスカ	isuka
イスラーム	isurāmu
イスラエル	isuraeru
イソシアニド	isoshianido
イタチザメ	itachizame
イタリアン	itarian
イチジク	ichijiku
イッカク	ikkaku
イッフ	iffu
イッフィー	iffī
イッフィング	iffingu
イデア	idea
イデオロギー	ideorogī
イナゴ	inago
イニシアル	inishiaru
イニシャル	inisharu
イニング	iningu
イヌ	inu
イヌワシ	inuwashi
イネ	ine
イノシシ	inoshishi
イノブタ	inobuta
イブ	ibu
イプシロン	ipushiron
イベント	ibento
イマーム	imāmu
イマジネーション	imajinēshon
イマトラ	imatora
イミダゾール	imidazōru
イメージ	imēji
イメチェン	imechen
イヤーフック	iyāfukku
イヤフォン	iyafon
イヤホーン	iyahōn
イヤホン	iyahon
イラーハーバード	irāhābādo
イライラ	iraira
イラク	iraku
イラスト	irasuto
イラストレーター	irasutorētā
イリアス	iriasu
イリュリア	iryuria
イルカ	iruka
イン	in
イングリッシュマフィン	ingurisshumafin
インシュリン	inshurin
インスタ	insuta
インスタントラーメン	insutantorāmen
インストーラー	insutōrā
インストール	insutōru
インスピレーション	insupirēshon
インスペクター	insupekutā
インセスト	insesuto
インターチェンジ	intāchenji
インターナショナル	intānashonaru
インターネット	intānetto
インターフェース	intāfēsu
インターポール	intāpōru
インターリングア	intāringua
インタビュアー	intabyuā
インダクタ	indakuta
インチ	inchi
インティファーダ	intifāda
インテリ	interi
インテリア	interia
インテリゲンチア	interigenchia
インテリゲンチャ	interigencha
インディカー	indikā
インデックス	indekkusu
インデヤン	indeyan
インデン	inden
インドネシア	indoneshia
インパウンヤード	inpaun'yādo
インパクト	inpakuto
インパール	inpāru
インピーダンス	inpīdansu
インフォメーション	infomēshon
インフラ	infura
インフラストラクチャー	infurasutorakuchā
インフルエンザ	infuruenza
インフレ	infure
インフレーション	infurēshon
インプット	inputto
インプラント	inpuranto
ヴァージョン	vājon
ヴァイキング	vaikingu
ヴァイラス	vairasu
ヴァティカン	vatikan
ヴァドーダラー	vadōdarā
ヴァニタス	vanitasu
ヴァリエーション	variēshon
ヴァルハラ	varuhara
ヴァンクーヴァー	vankūvā
ヴァンパイア	vanpaia
ヴィ	vi
ヴィー	vī
ウィークリー	wīkurī
ヴィエンチャン	vienchan
ヴィエンナ	vienna
ヴィオラ	viora
ヴィオロンチェロ	vioronchero
ウィクトーリア	wikutōria
ヴィサルガ	visaruga
ウィスキー	wisukī
ウィニペグ	winipegu
ウィリアム	wiriamu
ウィリアムス	wiriamusu
