アーバーダーン	ābādān
アコーディオン	akōdion
アコギ	akogi
アーク	āku
アクアビクス	akuabikusu
アクアマリン	akuamarin
アクアリウム	akuariumu
アクアサイズ	akuasaizu
アクアウオーキング	akuauōkingu
アクチニド	akuchinido
アクチニウム	akuchiniumu
アクチノイド	akuchinoido
アクキー	akukī
アークコサイン	ākukosain
アークコタンジェント	ākukotanjento
アクメ	akume
アクラ	akura
アクリジン	akurijin
アクリル	akuriru
アクリルアミド	akuriruamido
アクロバット	akurobatto
アクロニム	akuronimu
アクロポリス	akuroporisu
アークサイン	ākusain
アクセント	akusento
アクセル	akuseru
アクセサリー	akusesarī
アクセス	akusesu
アクシデント	akushidento
アクシオン	akushion
アクシスジカ	akushisu-jika
アクション	akushon
アークタンジェント	ākutanjento
アマ	ama
アマバン	amaban
アマチュア	amachua
アマヌンシス	amanunshisu
アマレット	amaretto
アマテラス	amaterasu
アマツバメ	amatsubame
アマゾン	amazon
アマゾーン	amazōn
アマゾネス	amazonesu
アメーバ	amēba
アメフト	amefuto
アメージング	amējingu
アメジスト	amejisuto
アメコミ	amekomi
アメン	amen
アーメン	āmen
アメンボ	amenbo
アメンボウ	amenbō
アメピン	amepin
アメリカ	amerika
アメリカグマ	amerikaguma
アメリカン	amerikan
アメリカンドッグ	amerikandoggu
アメリシウム	amerishiumu
アメシスト	ameshisuto
アミド	amido
アミガサダケ	amigasadake
アミジン	amijin
アミン	amin
アミノ	amino
アミラーゼ	amirāze
アミール	amīru
アーモンド	āmondo
アモルファス	amorufasu
アームチェア	āmuchea
アムピトリーテー	amupitorītē
アムリトサル	amuritosaru
アムステルダム	amusuterudamu
アン	an
アナ	ana
アナディリ	anadiri
アナフィラキシー	anafirakishī
アナゴ	anago
アナグマ	anaguma
アナグラム	anaguramu
アナキスト	anakisuto
アナーキスト	anākisuto
アナキズム	anakizumu
アナーキズム	anākizumu
アナコンダ	anakonda
アナニー	ananī
アナポリス	anaporisu
アナリスト	anarisuto
アナログ	anarogu
アナル	anaru
アナルビーズ	anarubīzu
アナテマ	anatema
アナトリア	anatoria
アナウンサー	anaunsā
アナウンス	anaunsu
アナウサギ	anausagi
アンチ	anchi
アンチエイリアス	anchi-eiriasu
アンチック	anchikku
アンチモン	anchimon
アンチノミー	anchinomī
アンチョビ	anchobi
アンダーバー	andābā
アンダルス	andarusu
アンダーシャツ	andāshatsu
アンダーソン	andāson
アンダースコア	andāsukoa
アンデッド	andeddo
アンデレ	andere
アンド	ando
アンドラ	andora
アンドーラ	andōra
アンドレ	andore
アンドロゲン	andorogen
アンドロメダ	andoromeda
アンドロメダー	andoromedā
アンドル	andoru
アンフェタミン	anfetamin
アンフィトリテ	anfitorite
アンギラ	angira
アンゴラ	angora
アングラ	angura
アングル	anguru
アニマンガ	animanga
アニメ	anime
アニメーション	animēshon
アニメーションスタジオ	animēshonsutajio
アニメーター	animētā
アンインストール	an'insutōru
アニオン	anion
アニソン	anison
アニス	anisu
アンジャベル	anjaberu
アンカラ	ankara
アンカレッジ	ankarejji
アンケ	anke
アンケート	ankēto
アンコウ	ankō
アンコール	ankōru
アンクレット	ankuretto
アンマン	anman
アーンミーヤ	ānmīya
アンモナイト	anmonaito
アンモニア	anmonia
アンナ	anna
アンニュイ	annyui
アノア	anoa
アノード	anōdo
アンパサンド	anpasando
アンペア	anpea
アンプ	anpu
アンプル	anpuru
アンラッキー	anrakkī
アンサンブル	ansanburu
アンソニー	ansonī
アンソロジー	ansorojī
アンタナナリボ	antananaribo
アンタレス	antaresu
アンテナ	antena
アンテロープ	anterōpu
アンティグア	antigua
アントニオ	antonio
アントニウス	antoniusu
アントラセン	antorasen
アヌビス	anubisu
アオギリ	aogiri
アオカケス	aokakesu
アオメン	aomen
アオリスト	aorisuto
アオサ	aosa
アオサギ	aosagi
アオテアロア	aotearoa
アオウミガメ	aoumigame
アオザイ	aozai
アオザメ	aozame
アパルトヘイト	aparutoheito
アパート	apāto
アパートメント	apātomento
アパートメントハウス	apātomentohausu
アピア	apia
アピール	apīru
アポ	apo
アポロ	aporo
アポロー	aporō
アポロン	aporon
アポローン	aporōn
アポスティーユ	aposutīyu
アポストロフィ	aposutorofi
アポストロフィー	aposutorofī
アポストロフ	aposutorofu
アッパー	appā
アップ	appu
アップデート	appudēto
アップグレード	appugurēdo
アップクォーク	appukwōku
アップロード	appurōdo
アップル	appuru
アップテンポ	apputenpo
アプデ	apude
アプライアンス	apuraiansu
アプリ	apuri
アプリケーション	apurikēshon
アプリオリ	apuriori
アプリル	apuriru
アプローチ	apurōchi
アプロディテ	apurodite
アプロディーテー	apurodītē
アラー	arā
アラバマ	arabama
アラバスター	arabasutā
アラビア	arabia
アラブ	arabu
アラフォー	arafō
アライ	arai
アライグマ	araiguma
アラジン	arajin
アラメ	arame
アラニン	aranin
アラスカ	arasuka
アレチネズミ	arechinezumi
アレゴリー	aregorī
アレイスター	areisutā
アレキサンダー	arekisandā
アレキサンドライト	arekisandoraito
アレキサンドリア	arekisandoria
アレックス	arekkusu
アレクサンダー	arekusandā
アレクサンドライト	arekusandoraito
アレクサンドロス	arekusandorosu
アレクサンドルーポリ	arekusandorūpori
アレンジ	arenji
アレッポ	areppo
アレルギー	arerugī
アレス	aresu
アレース	arēsu
アリ	ari
アリア	aria
アリバイ	aribai
アリゲーター	arigētā
アリジゴク	arijigoku
アリカ	arika
アリクイ	arikui
アリーナ	arīna
アリス	arisu
アリステア	arisutea
アリストテレス	arisutoteresu
アリストテレース	arisutoterēsu
アリツカゲラ	aritsukagera
アリーヤー	arīyā
アリゾナ	arizona
アロエ	aroe
アロマ	aroma
アロン	aron
アッラー	arrā
アッラーフ	arrāfu
アル	aru
アール	āru
アルバイト	arubaito
アルバカーキ	arubakāki
アルバム	arubamu
アルバニー	arubanī
アルバニア	arubania
アルバータ	arubāta
アルバート	arubāto
アルベド	arubedo
アルビノ	arubino
アルブミン	arubumin
アルデバラン	arudebaran
アルデヒド	arudehido
アルデンテ	arudente
アルファ	arufa
アルファベット	arufabetto
アルファルファ	arufarufa
アルギニン	aruginin
アルゴン	arugon
アルゴリズム	arugorizumu
アルゴス	arugosu
アルヘシラス	aruheshirasu
アルジェ	aruje
アルジェリア	arujeria
アルカード	arukādo
アルカイダ	aru-kaida
アル・カーイダ	aru-kāida
アルカーイダ	aru-kāida
アルカン	arukan
アルカリ	arukari
アルカロイド	arukaroido
アルケー	arukē
アルケン	aruken
アルキメデス	arukimedesu
アルキン	arukin
アルコーブ	arukōbu
アルコール	arukōru
アルマジロ	arumajiro
アルマトイ	arumatoi
アルメニア	arumenia
アルミ	arumi
アルミナ	arumina
アルミニウム	aruminiumu
アルパカ	arupaka
アルペッジョ	arupejjo
アルプス	arupusu
アルシン	arushin
アルタイ	arutai
アルタイル	arutairu
アルテミス	arutemisu
アルト	aruto
アルザス	aruzasu
アルゼンチン	aruzenchin
アーサー	āsā
アサガオ	asagao
アサイン	asain
アサミ	asami
アサリ	asari
アセビ	asebi
アセチレン	asechiren
アセチルコリン	asechirukorin
アセナフテン	asenafuten
アセンブラ	asenbura
アセンズ	asenzu
アセスメント	asesumento
アセタール	asetāru
アセティシズム	asetishizumu
アセトン	aseton
アシドーシス	ashidōshisu
アシガバート	ashigabāto
アシカ	ashika
アシル	ashiru
アシスタント	ashisutanto
アシスト	ashisuto
アソシエイト	asoshieito
アッシリア	asshiria
アース	āsu
アスベスト	asubesuto
アスファルト	asufaruto
アスガード	asugādo
アスガルド	asugarudo
アースガルド	āsugarudo
アスガルト	asugaruto
アスガルズ	asugaruzu
アースガルズ	āsugaruzu
アスマラ	asumara
アスナロ	asunaro
アスンシオン	asunshion
アスパラガス	asuparagasu
アスパラギン	asuparagin
アスペ	asupe
アスペルギルス	asuperugirusu
アスピリン	asupirin
アスラ	asura
アスタチン	asutachin
アスタナ	asutana
アスタリスク	asutarisuku
アステカ	asuteka
アステリスク	asuterisuku
アストラハン	asutorahan
アストレア	asutorea
アストロターフ	asutorotāfu
アタリ	atari
アタッシェ	atasshe
アテナ	atena
アテーナー	atēnā
アテナイ	atenai
アテネ	atene
アテレコ	atereko
アテローム	aterōmu
アーティチョーク	ātichōku
アーティファクト	ātifakuto
アーティキュレーション	ātikyurēshon
アーティスト	ātisuto
アーティストインレジデンス	ātisutoinrejidensu
アート	āto
アトキンソン	atokinson
アトム	atomu
アトランタ	atoranta
アトランティス	atorantisu
アトリ	atori
アトリエ	atorie
アットホーム	attohōmu
アトゥム	atumu
アウフヘーベン	aufuhēben
アウグスタ	augusuta
アウグストゥス	augusutusu
アウロラ	aurora
アウローラ	aurōra
アウシュビッツ	aushubittsu
アウシュヴィッツ	aushuvittsu
アウト	auto
アウトバーン	autobān
アウトソーシング	autosōshingu
アヴァンチュール	avanchūru
アヴィニョン	avinyon
アヤトラ	ayatora
アユ	ayu
アーユルヴェーダ	āyuruvēda
アザーン	azān
アザラシ	azarashi
アザワド	azawado
アザゼル	azazeru
アゼチジン	azechijin
アゼルバイジャン	azerubaijan
アゾール	azōru
アズキ	azuki
アズレン	azuren
アズサ	azusa
バー	bā
バアル	baaru
ババ	baba
バーバンク	bābanku
バーベキュー	bābekyū
バーベル	bāberu
バビロン	babiron
バビロニア	babironia
バビショウ	babishō
バーボン	bābon
バーブーダ	bābūda
バブル	baburu
バーチャル	bācharu
バチ	bachi
バチカン	bachikan
バチスカーフ	bachisukāfu
バチスト	bachisuto
バーデン	bāden
バドミントン	badominton
バードウオッチング	bādouotchingu
バードウォッチング	bādowotchingu
バッファロー	baffarō
バーガー	bāgā
バーゲン	bāgen
バゲット	bagetto
バッグ	baggu
バッグパイプ	baggupaipu
バギナ	bagina
バグ	bagu
バグダッド	bagudaddo
バグダード	bagudādo
バグパイプ	bagupaipu
バハマ	bahama
バッハ	bahha
バイ	bai
バイアスロン	baiasuron
バイバイ	baibai
バイブ	baibu
バイブレータ	baiburēta
バイブレーター	baiburētā
バイブル	baiburu
バイエルン	baierun
バイカル	baikaru
バイキング	baikingu
バイコヌール	baikonūru
バイク	baiku
バイノーラル	bainōraru
バイオハザード	baiohazādo
バイオインフォマティクス	baioinfomatikusu
バイオマス	baiomasu
バイオリン	baiorin
バイパス	baipasu
バイラル	bairaru
バイラス	bairasu
バイロケーション	bairokēshon
バイソン	baison
バイト	baito
バージニア	bājinia
バジル	bajiru
バッジ	bajji
バージョン	bājon
バカ	baka
バカンス	bakansu
バカップル	bakappuru
バーケンティン	bākentin
バケツ	baketsu
バッキンガム	bakkingamu
バッキング	bakkingu
バック	bakku
バックアップ	bakkuappu
バックブリーカー	bakkuburīkā
バックギャモン	bakkugyamon
バックラッシュ	bakkurasshu
バックル	bakkuru
バックシャン	bakkushan
バク	baku
バクー	bakū
バクラヴァ	bakurava
バークレー	bākurē
バークリウム	bākuriumu
バクテリア	bakuteria
バマコ	bamako
バーマン	bāman
バーミンガム	bāmingamu
バーミングハム	bāminguhamu
バーミーズ	bāmīzu
バーモント	bāmonto
バームクーヘン	bāmukūhen
バミューダ	bamyūda
バーミューダ	bāmyūda
バン	ban
バナー	banā
バーナー	bānā
バナジウム	banajiumu
バナナ	banana
バンダナ	bandana
バンダルスリブガワン	bandarusuribugawan
バンド	bando
バンドエイド	bandoeido
バンドン	bandon
バンガロー	bangarō
バンガロール	bangarōru
バンギ	bangi
バングラデシュ	banguradeshu
バングル	banguru
バーニング	bāningu
バニラ	banira
バニリン	banirin
バンジョー	banjō
バンジュール	banjūru
バンカー	bankā
バンコク	bankoku
バンク	banku
バンクーバー	bankūbā
バンパー	banpā
バンパイア	banpaia
バンシー	banshī
バンテン	banten
バント	banto
バヌアツ	banuatsu
バニャ	banya
バオバブ	baobabu
バラ	bara
バラード	barādo
バラエティー	baraetī
バラマンディ	baramandi
バラモン	baramon
バランス	baransu
バランスシート	baransushīto
バラライカ	bararaika
バーラタ	bārata
バレエ	barē
バレー	barē
バレーボール	barēbōru
バーレーン	bārēn
バレンシア	barenshia
バレリーナ	barerīna
バレル	bareru
バーレル	bāreru
バレッタ	baretta
バリ	bari
バリア	baria
バリエーション	bariēshon
バリケード	barikēdo
バリケン	bariken
バリン	barin
バーリン	bārin
バリニーズ	barinīzu
バリオン	barion
バリウム	bariumu
バーロ	bāro
バーロー	bārō
バルバドス	barubadosu
バルブ	barubu
バルコニー	barukonī
バルナ	baruna
バルナウル	barunauru
バルサム	barusamu
バルセロナ	baruserona
バルトロマイ	barutoromai
バーサス	bāsasu
バセンジー	basenjī
バセテール	basetēru
バセットホルン	basettohorun
バシリカ	bashirika
バシリスク	bashirisuku
バショウ	bashō
バッスル	bassuru
バス	basu
バースデーカード	bāsudēkādo
バスケ	basuke
バスケット	basuketto
バスケットボール	basukettobōru
バスクラリネット	basukurarinetto
バスマティ	basumati
バスマット	basumatto
バスーン	basūn
バスタオル	basutaoru
バステール	basutēru
バステト	basuteto
バスト	basuto
バストアップ	basuto-appu
バストランド	basutorando
バター	batā
バタフライ	batafurai
バターミルク	batāmiruku
バーテンダー	bātendā
バティカン	batikan
バート	bāto
バトマン	batoman
バトン	baton
バトル	batoru
バーツ	bātsu
バッタ	batta
バッター	battā
バッテラ	battera
バッテリー	batterī
バット	batto
バットマン	battoman
バッツマン	battsuman
バウムクーヘン	baumukūhen
バヤン	bayan
バザー	bazā
バズワード	bazuwādo
ベビー	bebī
ベビーサークル	bebīsākuru
ベビーシッター	bebīshittā
ベチュアナランド	bechuanarando
ベッド	beddo
ベッドカバー	beddokabā
ベガ	bega
ベーグル	bēguru
ベイ	bei
ベイベー	beibē
ベイビー	beibī
ベーゴマ	beigoma
ベイルート	beirūto
ベージ	bēji
ベジタブル	bejitaburu
ベジタリアン	bejitarian
ベージュ	bēju
ベーカーズフィールド	bēkāzufīrudo
ベーコン	bēkon
ベクレル	bekureru
ベクトル	bekutoru
ベナン	benan
ベンチ	benchi
ベネチア	benechia
ベネズエラ	benezuera
ベンガル	bengaru
ベニハナ	benihana
ベニス	benisu
ベニヤミン	beniyamin
ベニヅル	benizuru
ベンジン	benjin
ベントレー	bentorē
ベンツ	bentsu
ベンゼン	benzen
ベンゾール	benzōru
ベオグラード	beogurādo
ベラ	bera
ベラドンナ	beradonna
ベランダ	beranda
ベラルーシ	berarūshi
ベリー	berī
ベリーダンス	berīdansu
ベリック・アポン・ツイード	berikku-apon-tsuīdo
ベリリウム	beririumu
ベリーズ	berīzu
ベロベロ	berobero
ベロキラプトル	berokiraputoru
ベル	beru
ベール	bēru
ベルベリン	beruberin
ベルベット	berubetto
ベルフェゴール	berufegōru
ベルーガ	berūga
ベルギー	berugī
ベルモパン	berumopan
ベルモット	berumotto
ベルン	berun
ベルリン	berurin
ベルセルク	beruseruku
ベルスタ	berusuta
ベルト	beruto
ベルゼブブ	beruzebubu
ベーシスト	bēshisuto
ベース	bēsu
ベースボール	bēsubōru
ベスト	besuto
ベストセラー	besutoserā
ベタ	beta
ベータ	bēta
ベータカロテン	bētakaroten
ベッチン	betchin
ベテラン	beteran
ベテルギウス	beterugiusu
ベートーベン	bētōben
ベトン	beton
ベトナム	betonamu
ベートーヴェン	bētōven
ベツレヘム	betsurehemu
ビー	bī
ビアン	bian
ビーバー	bībā
ビビンバ	bibinba
ビブラート	biburāto
ビーチ	bīchi
ビーチバレー	bīchibarē
ビーチボール	bīchibōru
ビーチタオル	bīchitaoru
ビデ	bide
ビデオ	bideo
ビデオテープ	bideotēpu
ビードロ	bīdoro
ビエンチャン	bienchan
ビエンナーレ	biennāre
ビフェニル	bifeniru
ビーフ	bīfu
ビーフステーキ	bīfusutēki
ビフテキ	bifuteki
ビッグ	biggu
ビッグフット	biggufutto
ビッグマック	biggumakku
ビーグル	bīguru
ビジー	bijī
ビジネス	bijinesu
ビキニ	bikini
ビックリ	bikkuri
ビクーニャ	bikūnya
ビークル	bīkuru
ビクター	bikutā
ビクトリア	bikutoria
ビーム	bīmu
ビン	bin
ビーナス	bīnasu
ビーンバッグ	bīnbaggu
ビンディー	bindī
ビンゴ	bingo
ビニル	biniru
ビニール	binīru
ビンロウジ	binrōji
ビンタ	binta
ビントロング	bintorongu
ビオチン	biochin
ビオラ	biora
ビラ	bira
ビリー	birī
ビリビリ	biribiri
ビリニュス	birinyusu
ビリヤード	biriyādo
ビロビジャン	birobijan
ビロード	birōdo
ビル	biru
ビール	bīru
ビルディング	birudingu
ビルマ	biruma
ビールス	bīrusu
ビーサン	bīsan
ビサウ	bisau
ビショップ	bishoppu
ビシュケク	bishukeku
ビシュヌ	bishunu
ビーシュラ	bīshura
ビス	bisu
ビスチェ	bisuche
ビスケット	bisuketto
ビスマーク	bisumāku
ビスマルク	bisumaruku
ビスマス	bisumasu
ビタミン	bitamin
ビッチ	bitchi
ビートボックス	bītobokkusu
ビトリオール	bitoriōru
ビートル	bītoru
ビット	bitto
ビットコイン	bittokoin
ビットマップ	bittomappu
ビワ	biwa
ビザ	biza
ビザンチン	bizanchin
ビザンチウム	bizanchiumu
ビザンティン	bizantin
ビザンティウム	bizantiumu
ビザンツ	bizantsu
ボウ	bō
ボー	bō
ボア	boa
ボアコンストリクター	boakonsutorikutā
ボビン	bobin
ボブキャット	bobukyatto
ボブリル	boburiru
ボブルヘッド	boburuheddo
ボブスレー	bobusurē
ボディ	bodi
ボディビル	bodibiru
ボディビルダー	bodibirudā
ボディーチェック	bodīchekku
ボディーソープ	bodīsōpu
ボディスーツ	bodisūtsu
ボード	bōdo
ボードビル	bōdobiru
ボウフラ	bōfura
ボゴタ	bogota
ボーイ	bōi
ボイチェン	boichen
ボーイフレンド	bōifurendo
ボイコット	boikotto
ボイン	boin
ボイパ	boipa
ボイラー	boirā
ボイセンベリー	boisenberī
ボイシ	boishi
ボーイッシュ	bōisshu
ボイス	boisu
ボイトレ	boitore
ボカン	bokan
ボーカリスト	bōkarisuto
ボカロ	bokaro
ボーカロイド	bōkaroido
ボーカル	bōkaru
ボケ	boke
ボーキサイト	bōkisaito
ボックス	bokkusu
ボコーダー	bokōdā
ボク	boku
ボクサー	bokusā
ボクシング	bokushingu
ボクシンググローブ	bokushingugurōbu
ボクスホール	bokusuhōru
ボム	bomu
ボーン	bōn
ボーナス	bōnasu
ボンベイ	bonbei
ボーンマス	bōnmasu
ボンネット	bonnetto
ボノボ	bonobo
ボーパール	bōpāru
ボウラー	bōrā
ボランチ	boranchi
ボランティア	borantia
ボリビア	boribia
ボウリング	bōringu
ボウリングボール	bōringubōru
ボリシェヴィキ	borisheviki
ボーリウム	bōriumu
ボウル	bōru
ボール	bōru
ボールベアリング	bōrubearingu
ボルボ	borubo
ボルケーノ	borukēno
ボールパーソン	bōrupāson
ボールペン	bōrupen
ボールルーム	bōrurūmu
ボルシチ	borushichi
ボルト	boruto
ボルゾイ	boruzoi
ボリューミー	boryūmī
ボソン	boson
ボス	bosu
ボスニア	bosunia
ボストン	bosuton
ボウタイ	bōtai
ボータイ	bōtai
ボタン	botan
ボート	bōto
ボトムクォーク	botomukwōku
ボトル	botoru
ボトルネック	botorunekku
ボツワナ	botsuwana
ボット	botto
ボヴリル	bovuriru
ボヤボヤ	boyaboya
ボゾン	bozon
ブー	bū
ブダペスト	budapesuto
ブッダ	budda
ブドウ	budō
ブエノスアイレス	buenosuairesu
ブギーマン	bugīman
ブギウギ	bugiugi
ブハラ	buhara
ブイ	bui
ブーイング	būingu
ブイサイン	bui-sain
ブジュンブラ	bujunbura
ブカレスト	bukaresuto
ブカシ	bukashi
ブーケ	būke
ブーケガルニ	būkegaruni
ブッキー	bukkī
ブック	bukku
ブックエンド	bukkuendo
ブックマーク	bukkumāku
ブックメーカー	bukkumēkā
ブークモール	būkumōru
ブーメラン	būmeran
ブーム	būmu
ブンゼンバーナー	bunzenbānā
ブッポウソウ	buppōsō
ブラ	bura
ブラチスラバ	burachisuraba
ブラチスラヴァ	burachisurava
ブラッドフォード	buraddofōdo
ブラフマー	burafumā
ブラゴヴェシチェンスク	buragoveshichensuku
ブライアン	buraian
ブラインド	buraindo
ブラインドタッチ	buraindotatchi
ブライトネス	buraitonesu
ブラジャー	burajā
ブラジリア	burajiria
ブラジル	burajiru
ブラケット	buraketto
ブラキオサウルス	burakiosaurusu
ブラック	burakku
ブラックベリー	burakkuberī
ブラックフライデー	burakkufuraidē
ブラックジャック	burakkujakku
ブラックコーヒー	burakkukōhī
ブラックリスト	burakkurisuto
ブランチ	buranchi
ブランデー	burandē
ブランド	burando
ブランドン	burandon
ブランケット	buranketto
ブランコ	buranko
ブラシ	burashi
ブラウン	buraun
ブラウス	burausu
ブラウザ	burauza
ブラザヴィル	burazaviru
ブレイク	bureiku
ブレインストーミング	bureinsutōmingu
ブレーカー	burēkā
ブレーキ	burēki
ブレーキンゲ	burēkinge
ブレークダンス	burēkudansu
ブレークポイント	burēkupointo
ブレーメン	burēmen
ブレーン	burēn
ブレーンストーミング	burēnsutōmingu
ブレスレット	buresuretto
ブレスト	buresuto
ブレザー	burezā
ブレーザー	burēzā
ブリーフィング	burīfingu
ブリーフ	burīfu
ブリッジ	burijji
ブリッジポート	burijjipōto
ブリッジタウン	burijjitaun
ブリキ	buriki
ブリテン	buriten
ブリヤート	buriyāto
ブローチ	burōchi
ブロードバンド	burōdobando
ブロードウェイ	burōdowei
ブログ	burogu
ブローカー	burōkā
ブロッコリ	burokkori
ブロッコリー	burokkorī
ブロック	burokku
ブロックフレーテ	burokkufurēte
ブロックサイン	burokkusain
ブロマイド	buromaido
ブロートウェア	burōtowea
ブル	buru
ブルー	burū
ブルーベリー	burūberī
ブルーチーズ	burūchīzu
ブルドッグ	burudoggu
ブルドーザ	burudōza
ブルドーザー	burudōzā
ブルガリア	burugaria
ブルゴーニュ	burugōnyu
ブルグント	burugunto
ブルーハワイ	burūhawai
ブルージー	burūjī
ブルカ	buruka
ブルックリン	burukkurin
ブルコギ	burukogi
ブルマ	buruma
ブルマー	burumā
ブルーマー	burūmā
ブルームフォンテーン	burūmufontēn
ブルネイ	burunei
ブルンジ	burunji
ブルーレイ	burūrei
ブルセラ	burusera
ブルース	burūsu
ブルターニュ	burutānyu
ブルートゥース	burūtūsu
ブルーズ	burūzu
ブリュッセル	buryusseru
ブッシェル	bussheru
ブッシュ	busshu
ブス	busu
ブース	būsu
ブタ	buta
ブタクサ	butakusa
ブタン	butan
ブータン	būtan
ブティック	butikku
ブツ	butsu
ブーツ	būtsu
ブザー	buzā
ブィリーナ	bwirīna
ビャクダン	byakudan
ビャクシ	byakushi
ビュッフェ	byuffe
ビューグル	byūguru
ビュレット	byuretto
ビュルテンベルク	byurutenberuku
ビュスチエ	byusuchie
ビューティー	byūtī
ビューティフル	byūtifuru
ビュザンティオン	byuzantion
チャービル	chābiru
チャブ	chabu
チャド	chado
チャドル	chadoru
チャーハン	chāhan
チャイブ	chaibu
チャイコフスキー	chaikofusukī
チャイム	chaimu
チャイナタウン	chainataun
チャイルド	chairudo
チャージ	chāji
チャック	chakku
チャクラ	chakura
チャクラム	chakuramu
チャーム	chāmu
チャームクォーク	chāmukwōku
チャンバラ	chanbara
チャンコロ	chankoro
チャンネル	channeru
チャンピオン	chanpion
チャンピオンシップ	chanpionshippu
チャンプ	chanpu
チャンプルー	chanpurū
チャンス	chansu
チャラチャラ	charachara
チャレンジ	charenji
チャリ	chari
チャリダー	charidā
チャリンコ	charinko
チャリオット	chariotto
チャールダーシュ	chārudāshu
チャルダッシュ	charudasshu
チャルメラ	charumera
チャールストン	chārusuton
チャールズ	chāruzu
チャーシュー	chāshū
チャーシューメン	chāshūmen
チャタヌーガ	chatanūga
チャート	chāto
チャツパ	chatsupa
チャット	chatto
チャウダー	chaudā
チェッ	che'
チェ	che
チェアリフト	chearifuto
チェチェン	chechen
チェダーチーズ	chedāchīzu
チェジュ	cheju
チェッカー	chekkā
チェッカーフラッグ	chekkāfuraggu
チェック	chekku
チェックアウト	chekkuauto
チェックボックス	chekkubokkusu
チェックイン	chekkuin
チェコ	cheko
チェコスロバキア	chekosurobakia
チェン	chen
チェーン	chēn
チェンジ	chenji
チェーンソー	chēnsō
チェリー	cherī
チェリスト	cherisuto
チェロ	chero
チェルノブイリ	cherunobuiri
チェシャ	chesha
チェシャー	cheshā
チェス	chesu
チェスボード	chesubōdo
チェスボクシング	chesubokushingu
チェスターフィールド	chesutāfīrudo
チッ	chi'
チー	chī
