.f	ʔ ɛ f
gmḥ	ɡ ɛ m ɛ ħ
gmḥt	ɡ ɛ m ħ ɛ t
gnn	ɡ ɛ n ɛ n
gnẖ	ɡ ɛ n ɛ ç
gp	ɡ ɛ p
gr	k ʼ aː ɾ
gr	k ʼ aː ʔ
gr	k ʼ oː ʔ
gr	ɡ ɛ r
grg	ɡ ɛ r ɛ ɡ
grgt	k ʼ a ɾ uː k ʼ V t
grgt	k ʼ a ɾ uː k ʼ V ʔ
grgt	k ʼ ə ɾ eː k ʼ ə
grgt	ɡ ɛ r ɡ ɛ t
grt	ɡ ɛ r ɛ t
grw	ɡ ɛ r uː
grḥ	k ʼ aː ɾ a ħ
grḥ	k ʼ oː ɾ ə ħ
grḥ	ɡ ɛ r ɛ ħ
gs	ɡ ɛ s
gstj	k ʼ a s t
gstj	k ʼ a s t V j
gstj	ɡ ɛ s t i
gsꜣ	ɡ ɛ s ɑ
gwš	ɡ uː ʃ
gꜣbt	k ʼ a ʀ b a t
gꜣbt	k ʼ a ʀ b a ʔ
gꜣbt	k ʼ oː β ə
gꜣbt	ɡ ɑ b ɛ t
gḥs	k ʼ a ħ a s
gḥs	k ʼ ə ħ a s
gḥs	ɡ ɛ ħ ɛ s
gꜣw	ɡ ɑ uː
gꜣš	ɡ ɑ ʃ
hbhb	h ɛ b h ɛ b
hbj	h i b j a w
hbj	h i j b a w
hbj	h iː b ə ʔ
hbj	h iː p
hbj	h ɛ b i
hbnj	h ɛ b n i
hj	h i
hkr	h ɛ k ɛ r
hmhmt	h ɛ m h ɛ m ɛ t
hndwꜣy	h ɛ n d uː ɑ iː
hnw	h iː n
hnw	h iː n a w
hnw	h iː n ə ʔ
hnw	h ɛ n uː
hrm	h ɛ r ɛ m
hrw	h a ɾ u w w
hrw	h a ʔ w
hrw	h a ɾ w u w
hrw	h a ʔ w u w
hrw	h ɛ r uː
hrw	h ə ɾ ø w w
hy	h iː
hꜣ	h ɑ
hꜣb	h ɑ b
hꜣj	h ɑ i
hꜣw	h ɑ uː
j	i
j.	i
jb	i b
jb	j i b
jb	ʔ e p
jbhyt	i b h iː t
jbj	i b i
jbj	j iː b i t
jbj	j iː b i ʔ
jbj	ʔ iː β ə
jbr	i b ɛ r
jbt	i b ɛ t
jbt	j iː b a t
jbt	j iː b a ʔ
jbt	ʔ iː β ə
jbꜣ	i b ɑ
jbḥ	i b ɛ ħ
jd	i d
jdb	i d ɛ b
jdbwj	i d ɛ b uː i
jdj	i d i
jdmj	i d m i
jdmj	j V t ʼ uː m V j
jdmj	ʔ ə t ʼ eː m
jdr	i d ɛ r
jdw	i d uː
jdwmꜥ	i d uː m ɑː
jdyt	i d iː t
jf	i f
jfd	i f ɛ d
jfdnw	i f ɛ d n uː
jfdw	i f ɛ d uː
jfdw	j a f t ʼ a w
jfdw	ʔ ə f t ʼ a w
jhm	i h ɛ m
jj	i ʔ i
jj.tj	i ʔ i ʔ t i
jjwj	i ʔ i uː i
jkm	i k ɛ m
jkn	i k ɛ n
jky	i k iː
jm	i m
jmj	i m i
jmj	j a m i j
jmj	j iː m i t
jmj	j iː m i ʔ
jmj	ʔ iː m a
jmj	ʔ iː m ə
jmj	ʔ ə m e ʔ
jmjtw	i m i t uː
jmn	i m ɛ n
jmn	j a m aː n u w
jmn	j aː m i n
jmn	j oː m ə n
jmn	ʔ a m aː n ə ʔ
jmn	ʔ a m oː n
jmnt	i m ɛ n ɛ t
jmnt	j a m n a t
jmnt	j a m n a ʔ
jmnt	j a m n ə
jmntj	i m ɛ n t i
jmntj	j a m i n t i j
jmntj	ʔ ə m e n t
jmntt	i m ɛ n ɛ t ɛ t
jmntt	j a m i n t i t
jmntt	j a m i n t i ʔ
jmntt	ʔ a m e n t ə
jmr	i m ɛ r
jmstj	i m s ɛ t i
jmw	i m uː
jmy	i m iː
jmꜣ	i m ɑ
jmḏr	i m d͡ʒ ɛ r
jmḥt	i m ħ ɛ t
jmꜣḫ	i m ɑ x
jmꜣḫw	i m ɑ x uː
jn	i n
jnb	i n ɛ b
jnd	i n ɛ d
jnj	i n i
jnj	j iː n i t
jnj	j iː n i ʔ
jnj	ʔ iː n ə
jnjwbꜣ	i n i uː b ɑ
jnk	i n ɛ k
jnk	j a n a k
jnk	ʔ a n a k
jnm	i n ɛ m
jnn	i n ɛ n
jnn	j a n a n
jnn	ʔ a n a n
jnpw	i n ɛ p uː
jnpw	j a n aː p a w
jnpw	ʔ a n aː p ə ʔ
jnpw	ʔ a n oː p
jnq	i n ɛ k
jnr	i n ɛ r
jnr	j aː n a ɾ
jnr	j aː n a ʔ
jnr	ʔ oː n ə
jnst	i n s ɛ t
jnt	i n ɛ t
jntjrwywꜣšꜣ	i n t i r uː iː uː ɑ ʃ ɑ
jnw	i n uː
jnḥ	i n ɛ ħ
jnꜥ	i n ɑː
jp	i p
jpf	i p ɛ f
jpn	i p ɛ n
jpt	i p ɛ t
jpt	ʔ a p a t
jptf	i p t ɛ f
jptn	i p t ɛ n
jptw	i p t uː
jpw	i p uː
jpwj	i p uː i
jqr	i k ɛ r
jr	i r
jrj	i r i
jrj	j iː ɾ i t
jrj	j iː ɾ i ʔ
jrj	ʔ iː ɾ a
jrj	ʔ iː ɾ ə
jrp	i r ɛ p
jrp	j uː ɾ a p
jrp	ʔ eː ɾ ə p
jrsjrnꜣt	i r s i r ɛ n ɑ t
jrt	i r ɛ t
jrt	j iː ɾ a t
jrt	j iː ɾ a ʔ
jrt	ʔ iː ɾ ə
jrw	i r uː
jrwrꜣ	i r uː r ɑ
jry	i r iː
jrṯt	i r t͡ʃ ɛ t
jrṯt	j V ɾ aː c a t
jrṯt	j V ɾ aː t a ʔ
jrṯt	ʔ ə ɾ oː t ə
js	i s
jspt	i s p ɛ t
jspt	j a s p V t
jspt	j a s p V ʔ
jspt	ʔ a s p ə
jsqꜣrnj	i s k ɑ r ɛ n i
jsqꜣrwnj	i s k ɑ r uː n i
jsr	i s ɛ r
jsry	i s r iː
jst	i s ɛ t
jsw	i s uː
jsw	j iː s u w
jsw	ʔ iː s
jswr	i s uː r
jsṯ	i s ɛ t͡ʃ
jt	i t
jt	j a t j a w
jt	j a t ʔ
jt	j aː t i j
jt	j oː t
jtj	i t i
jtmw	i t ɛ m uː
jtn	i t ɛ n
jtn	j aː t i n
jtn	j aː t ə j
jtn	j oː t ə j
jtnw	i t ɛ n uː
jtrt	i t r ɛ t
jtrw	i t ɛ r uː
jtrw	j a t ɾ a w
jtrw	j a ʔ ɾ
jtrw	j a ʔ ɾ a w
jty	i t iː
jtḥ	i t ɛ ħ
jw	i uː
jwd	i uː d
jwdnb	i uː d n ɛ b
jwf	i uː f
jwf	j u w f u w
jwf	ʔ u ʔ f ə ʔ
jwf	ʔ ø ʔ f
jwj	i uː i
jwjt	i uː i t
jwms	i uː m ɛ s
jwn	i uː n
jwn	j a w i n
jwn	ʔ a w e n
jwn	ʔ a w i n
jwnj	i uː n i
jwntj	i uː n ɛ t i
jwnw	i uː n uː
jwnyt	i uː n iː t
jwr	i uː r
jwrꜣḥy	i uː r ɑ ħ iː
jwsw	i uː s uː
jwt	i uː t
jwtj	i uː t i
jwtt	i uː t ɛ t
jwwj	i uː ʔ uː i
jwyt	i uː iː t
jwḥ	i uː ħ
jwꜣ	i uː ɑ
jwꜥ	i uː ɑː
jwꜥt	i uː ɑː t
jwꜥw	i uː ɑː uː
jyt	i ʔ iː t
jz	i z
jzft	i z f ɛ t
jzft	j a z aː f a t
jzft	ʔ a s aː f a ʔ
jzft	ʔ a s oː f ə
jzftj	i z f ɛ t i
jzkn	i z k ɛ n
jzr	i z ɛ r
jzr	j a s ɾ V w
jzr	j a z ɾ V w
jzr	ʔ a s ɾ
jzwt	i z uː t
jḫ	i x
jḥ	i ħ
jḫ	j a χ
jḥ	j a ħ i j
jḥ	j a ħ i w w
jḫ	ʔ a χ
jḥ	ʔ ə ħ e w w
jḥ	ʔ ə ħ e ʔ
jꜥb	i ɑː b
jꜣbj	i ɑ b i
jꜣbt	i ɑ b ɛ t
jꜣbt	j a ʀ b a t
jꜣbt	j a ʀ b a ʔ
jꜣbt	j oː β ə
jꜣbtj	i ɑ b t i
jꜣbtj	j a ʀ i b t i j
jꜣbtj	ʔ ə j e β t
jꜣbtt	i ɑ b ɛ t ɛ t
jšdt	i ʃ ɛ d ɛ t
jꜣdw	i ɑ d uː
jꜥf	i ɑː f
jṯj	i t͡ʃ i
jꜥj	i ɑː i
jꜣjw	i ɑ i uː
jꜣkb	i ɑ k ɛ b
jꜣkbyt	i ɑ k ɛ b iː t
jḫmt	i x m ɛ t
jꜣmw	i ɑ m uː
jꜥn	i ɑː n
jꜥn	j a ʕ u n
jꜥn	ʔ a ʕ e n
jꜥnt	i ɑː n ɛ t
jꜥnw	i ɑː n uː
jꜣq	i ɑ k
jꜣqt	i ɑ k ɛ t
jꜣqt	j u ʀ q ʼ a t
jꜣqt	j u ʀ q ʼ a ʔ
jꜣqt	ʔ eː q ʼ ə
jꜣr	i ɑ r
jꜥr	i ɑː r
jꜣrrt	i ɑ r ɛ r ɛ t
jꜣrrt	j a ʀ l a l j a t
jꜣrrt	j a ʀ l a l j a ʔ
jꜣrrt	ʔ a l a l ʔ ə
jꜥrt	i ɑː r ɛ t
jꜣrw	i ɑ r uː
jšst	i ʃ ɛ s ɛ t
jḫt	i x ɛ t
jꜣt	i ɑ t
jꜣtjw	i ɑ t i uː
jḥw	i ħ uː
jꜣw	i ɑ uː
jꜣw	j a ʀ a w
jḥw	j a ħ aː w a w
jꜣw	ʔ a w
jḥw	ʔ ə ħ oː w
jꜣwj	i ɑ uː i
jꜣwt	i ɑ uː t
jṯꜣ	i t͡ʃ ɑ
jꜣš	i ɑ ʃ
jšš	i ʃ ɛ ʃ
jꜣꜣ	i ɑ ʔ ɑ
jꜣꜥ	i ɑ ʔ ɑː
jꜥḥ	i ɑː ħ
jꜥꜣ	i ɑː ʔ ɑ
jꜥḥ	j a ʕ a ħ
jꜥḥ	ʔ ə j a ħ
jꜣꜣt	i ɑ ʔ ɑ t
jḫḫw	i x ɛ x uː
jꜣḫw	i ɑ x uː
jꜣḫw	j a ʀ χ a w
jꜣḫw	j oː χ
jꜣꜣyt	i ɑ ʔ ɑ iː t
kbn	k a b a n
kbn	k ɛ b ɛ n
kbn	k ə β a n
kftjw	k ɛ f t i uː
kftyw	k ɛ f t iː uː
kj	k i
kkw	k ɛ k uː
km	k aː m
km	k eː m
km	k oː m
km	k uː m a w
km	k ɛ m
kmbjṯt	k ɛ m b i t͡ʃ ɛ t
kmt	k eː m ə
kmt	k uː m a t
kmt	k uː m a ʔ
kmt	k ɛ m ɛ t
kmyt	k ɛ m iː t
kns	k ɛ n ɛ s
knꜥnw	k ɛ n ɑː n uː
ksj	k ɛ s i
ksw	k ɛ s uː
ktt	k ɛ t ɛ t
kw	k uː
ky	k iː
kꜣ	k u ʀ
kꜣ	k u ʔ
kꜣ	k ø ʔ
kꜣ	k ɑ
kš	k ɛ ʃ
kꜣhs	k ɑ h ɛ s
kꜣj	k ɑ i
kꜣkꜣ	k ɑ k ɑ
kꜣm	k a ʀ m
kꜣm	k a ʀ n V w
kꜣm	k oː m
kꜣm	k ɑ m
kꜣmn	k ɑ m ɛ n
kꜣmw	k a ʀ m i w
kꜣmw	k ə m e w
kꜣmw	k ɑ m uː
kꜣnꜥnꜥ	k ɑ n ɑː n ɑː
kꜣp	k ɑ p
kꜣpw	k ɑ p uː
kꜣs	k ɑ s
kꜣt	k ɑ t
kꜣwtj	k ɑ uː t i
kꜣš	k ɑ ʃ
kꜣštꜣ	k ɑ ʃ t ɑ
m	m a
m	m ə
m	m̩
m	ɛ m
mds	m ɛ d ɛ s
mdt	m aː t ʼ a t
mdt	m aː t ʼ a ʔ
mdt	m oː t ʼ ə
mdt	m ɛ d ɛ t
mdt	m ə t ʼ ə t
mdw	m a t ʼ u w w
mdw	m aː t ʼ a w
mdw	m oː t ʼ
mdw	m ɛ d uː
mdw	m ə t ʼ ø w w
mdwj	m ɛ d uː i
mfkꜣt	m ɛ f k ɑ t
mhj	m ɛ h i
mj	m i
mjgꜣdn	m i ɡ ɑ d ɛ n
mjktj	m i k t i
mjn	m i n
mjnb	m i n ɛ b
mjnj	m i n i
mjnt	m i n ɛ t
mjt	m i t
mjtj	m i t i
mjtt	m i t ɛ t
mjtw	m i t uː
mjw	m i uː
mjw	m i ʀ j u w
mjwj	m i uː i
mjzt	m i z ɛ t
mjḫꜣt	m i x ɑ t
mkj	m ɛ k i
mkt	m ɛ k ɛ t
mm	m ɛ m
mmj	m ɛ m i
mn	m aː n
mn	m oː n
mn	m ɛ n
mnhz	m ɛ n h ɛ z
mnj	m a n i j
mnj	m ə n e ʔ
mnj	m ɛ n i
mnjw	m ɛ n i uː
mnmnt	m ɛ n m ɛ n ɛ t
mnt	m ɛ n ɛ t
mnty	m V n aː t i j
mnty	m ə n oː t
mnty	m ɛ n t iː
mnw	m ɛ n uː
mnwt	m ɛ n uː t
mnyt	m ɛ n iː t
mnḏ	m a n a c ʼ
mnḏ	m a n a t ʼ
mnḏ	m ə n a t ʼ
mnḏ	m ɛ n ɛ d͡ʒ
mnḫ	m ɛ n ɛ x
mnḏt	m ɛ n d͡ʒ ɛ t
mnḫt	m ɛ n x ɛ t
mnṯw	m o n t uː
mnṯw	m ɛ n t͡ʃ uː
mr	m aː ɾ
mr	m oː ɾ
mr	m ɛ r
mrj	m e j ʔ ə
mrj	m i j j i ʔ
mrj	m i ɾ j i t
mrj	m ɛ r i
mrkbt	m ɛ r k ɛ b ɛ t
mrrt	m ɛ r ɛ r ɛ t
mrt	m ɛ r ɛ t
mrw	m eː ɾ
mrw	m uː ɾ a w
mrw	m ɛ r uː
mrwryt	m ɛ r uː r iː t
mrwt	m ɛ r uː t
mry	m V ɾ iː t a w
mry	m ɛ r iː
mry	m ə ɾ iː t
mryt	m a ɾ aː j a t
mryt	m a ɾ aː j a ʔ
mryt	m ɛ r iː t
mryt	m ə ɾ oː ʔ ə
mrḥt	m V ɾ i ħ j a t
mrḥt	m V ɾ i ħ j a ʔ
mrḥt	m ɛ r ħ ɛ t
mrḥt	m ə ɾ e ħ ʔ ə
ms	m e s
ms	m i s
ms	m ɛ s
msdmt	m ɛ s d ɛ m ɛ t
msdw	m a s c ʼ i w
msdw	m a s t ʼ
msdw	m a s t ʼ i w
msdw	m ɛ s ɛ d uː
msj	m iː s i t
msj	m iː s i ʔ
msj	m iː s ə
msj	m ɛ s i
msjꜣt	m ɛ s i ɑ t
msktt	m ɛ s ɛ k t ɛ t
mskꜣ	m ɛ s k ɑ
msqt	m ɛ s k ɛ t
mswt	m a s aː w a t
mswt	m a s aː w a ʔ
mswt	m ə s oː w ə
mswt	m ɛ s uː t
msyt	m ɛ s iː t
msḥ	m ɛ s ɛ ħ
msḏj	m e s t ʼ ə
msḏj	m i s c ʼ i t
msḏj	m i s t ʼ i ʔ
msḏj	m ɛ s ɛ d͡ʒ i
msḫn	m ɛ s x ɛ n
msḏr	m a s c ʼ a ɾ
msḏr	m a s t ʼ a ʔ
msḏr	m a s t ʼ ə
msḏr	m ɛ s d͡ʒ ɛ r
msꜣḏt	m ɛ s ɑ d͡ʒ ɛ t
mt	m ɛ t
mtj	m ɛ t i
mtr	m ɛ t ɛ r
mtrt	m e ʔ ɾ ə
mtrt	m i t ɾ a t
mtrt	m i ʔ ɾ a ʔ
mtrt	m ɛ t r ɛ t
mtt	m eː t ə
mtt	m uː t a t
mtt	m ɛ t ɛ t
mtwt	m ɛ t uː t
mw	m a w
mw	m uː
mwjbw	m uː i b uː
mwt	m aː w a t
mwt	m aː w a ʔ
mwt	m e ʔ w ə
mwt	m i ʔ w a t
mwt	m i ʔ w a ʔ
mwt	m oː w
mwt	m uː t
mww	m uː ʔ uː
my	m iː
mz	m ɛ z
mzwr	m ɛ z uː r
mzḥ	m V s a ħ
mzḥ	m V z a ħ
mzḥ	m ə s a ħ
mzḥ	m ɛ z ɛ ħ
mꜣ	m ɑ
mẖ	m ɛ ç
mḥ	m ɛ ħ
mꜥbꜣ	m ɑː b ɑ
mꜣj	m aː ʀ V j
mꜣj	m oː j
mꜣj	m ɑ i
mḥj	m ɛ ħ i
mꜥkꜣ	m ɑː k ɑ
mṯn	m ɛ t͡ʃ ɛ n
mẖnt	m ɛ ç n ɛ t
mꜥnḏt	m ɑː n d͡ʒ ɛ t
mꜥq	m ɑː k
mꜣqt	m ɑ k ɛ t
mꜣqꜣrꜣ	m ɛ k ɛ r
mꜣr	m ɑ r
mẖr	m ɛ ç ɛ r
mḏrj	m ɛ d͡ʒ ɛ r i
mšrw	m ɛ ʃ r uː
mḥsḥs	m ɛ ħ ɛ s ħ ɛ s
mꜣt	m ɑ t
mḥt	m ɛ ħ ɛ t
mḥtj	m ɛ ħ t i
mḥtjw	m ɛ ħ t i uː
mꜣtt	m ɑ t ɛ t
mḥtt	m ɛ ħ t ɛ t
mẖtw	m ɛ ç t uː
mḏw	m eː t ʼ
mḏw	m uː c ʼ a w
mḏw	m uː t ʼ a w
mḏw	m uː t ʼ ə ʔ
mḏw	m ɛ d͡ʒ uː
mšw	m ɛ ʃ uː
mḥw	m ɛ ħ uː
mꜣwj	m i ʀ w i t
mꜣwj	m i ʀ w i ʔ
mꜣwj	m iː w ə
mꜣwj	m ɑ uː i
mṯwn	m ɛ t͡ʃ uː n
mꜣwt	m a ʀ w a t
mꜣwt	m a ʀ w a ʔ
mꜣwt	m oː w ə
mꜣwt	m ɑ uː t
mḏwtj	m u c ʼ a w aː t a j
mḏwtj	m u t ʼ a w aː t a j
mḏwtj	m ɛ d͡ʒ uː t i
mḏwtj	m ə t ʼ ə w oː t
mꜣy	m ɑ iː
mḥyt	m a ħ iː j V t
mḥyt	m a ħ iː j V ʔ
mḥyt	m a ħ uː j V t
mḥyt	m a ħ uː j V ʔ
mḥyt	m ə ħ eː ʔ
mḥyt	m ə ħ eː ʔ ə ʔ
mḥyt	m ɛ ħ iː t
mḥyt	m ə ħ uː ʔ ə ʔ
mšꜥ	m a ʃ ʕ a j
mšꜥ	m a ʕ ʃ ə
mḏḥ	m ɛ d͡ʒ ɛ ħ
mꜣṯ	m ɑ t͡ʃ
mꜣẖ	m ɑ ç
mꜣꜣ	m ɑ ʔ ɑ
mšꜥ	m ɛ ʃ ɑː
mꜣꜥ	m ɑ ʔ ɑː
mẖꜥqt	m ɛ ç ɑː k ɛ t
mꜣꜥt	m u ʀ ʕ a t
mꜣꜥt	m u ʀ ʕ a ʔ
mꜣꜥt	m u ʔ ʕ ə ʔ
mꜣꜥt	m ø ʔ ʕ ə
mḏꜣt	m ɛ d͡ʒ ɑ t
mḫꜣt	m ɛ x ɑ t
mꜣꜥt	m ɑ ʔ ɑː t
mꜣꜥtj	m ɑ ʔ ɑː t i
mḏꜣy	m ɛ d͡ʒ ɑ iː
mꜥḥꜥt	m a j ħ i ʕ w a ʔ
mꜥḥꜥt	m a ʕ ħ i ʕ w a t
mꜥḥꜥt	m ə ħ e ʕ w ə
mꜥḥꜥt	m ɑː ħ ɑː t
n	n e
n	n i
n	ɛ n
nb	n e p
nb	n eː β
nb	n i b
nb	n iː b u w
nb	n ɛ b
nbj	n ɛ b i
nbs	n ɛ b ɛ s
nbt	n iː b a t
nbt	n iː b a ʔ
nbt	n iː β ə
nbt	n ɛ b ɛ t
nbtj	n ɛ b t i
nbw	n aː b a w
nbw	n oː β
nbw	n ɛ b uː
nf	n ɛ f
nfj	n ɛ f i
nfr	n aː f i ɾ
nfr	n aː f i ʔ
nfr	n aː f ə
nfr	n oː f ə
nfr	n ɛ f ɛ r
nfrt	n a f ɾ a t
nfrt	n a f ɾ a ʔ
nfrt	n a f ɾ ə
nfrt	n ɛ f ɛ r ɛ t
nfrtj	n ɛ f ɛ r t i
nfrw	n ɛ f ɛ r uː
nfꜣ	n ɛ f ɑ
ngꜣw	n ɛ ɡ ɑ uː
nhj	n ɛ h i
nhm	n ɛ h ɛ m
nhmhm	n ɛ h ɛ m h ɛ m
nht	n ɛ h ɛ t
nhw	n ɛ h uː
nhzj	n e h s ə
nhzj	n i h s i ʔ
nhzj	n i h z i t
nhzj	n ɛ h z i
nhꜣy	n ɛ h ɑ iː
nj	n i
njs	n i s
njtjt	n i t i t
njw	n i uː
njꜣj	n i ɑ i
nkt	n u k u t
nkt	n u k u ʔ
nkt	n ə k ø ʔ
nkt	n ɛ k ɛ t
nmj	n ɛ m i
nmt	n ɛ m ɛ t
nmtj	n ɛ m t i
nmw	n ɛ m uː
nmḥ	n ɛ m ɛ ħ
nmꜥ	n ɛ m ɑː
nmꜣrṯ	n ɛ m ɑ r ɛ t͡ʃ
nn	n ɛ n
nnj	n ɛ n i
nnw	n aː n a w
nnw	n oː n
