က	k a̰
ကွမ်းမွှေး	k ʊ́ ɴ m̥ w é
ကွမ်းယာ	k ʊ́ ɴ j à
ကွမ်းရွက်ပင်	k ʊ́ ɴ j w ɛ ʔ p ɪ̀ ɴ
ကွယ်လွန်	k w ɛ̀ l ʊ̀ ɴ
ကွာလာလမ်ပူ	k w à l à l à ɴ p ù
ကွဲ	k w ɛ́
ခ	kʰ a̰
ခက်	kʰ ɛ ʔ
ခက်ရင်း	kʰ ə j ɪ́ ɴ
ခကွေး	kʰ a̰ ɡ w é
ခင်	kʰ ɪ̀ ɴ
ခင်ပွန်း	kʰ ɪ̀ ɴ b ʊ́ ɴ
ခင်ဗျာ	kʰ ə m j à
ခင်ဗျာ့	kʰ ɪ̀ ɴ b j a̰
ခင်ဗျား	kʰ ɪ̀ ɴ b j á
ခင်ဗျားတို့	kʰ ɪ̀ ɴ b j á d o̰
ခင်မင်မှု	kʰ ɪ̀ ɴ m ɪ̀ ɴ m̥ ṵ
ခဏ	kʰ ə n a̰
ခဏခဏ	kʰ ə n a̰ ɡ ə n a̰
ခတ္တိယ	kʰ a ʔ t ḭ j a̰
ခနုံထုပ်	kʰ ə n ò ʊ ɴ d o ʊ ʔ
ခနုံအီ	kʰ ə n ò ʊ ɴ ʔ ì
ခန္တီ	kʰ à ɴ t ì
ခန္ဓာ	kʰ à ɴ d à
ခန္ဓာငါးပါး	kʰ à ɴ d à ŋ á b á
ခန္ဓာဗေဒ	kʰ à ɴ d à b è d a̰
ခန်တမာ	kʰ à ɴ t ə m à
ခန်း	kʰ á ɴ
ခမည်းတော်	kʰ ə m í d ɔ̀
ခမာ	kʰ ə m à
ခမောက်	kʰ ə m a ʊ ʔ
ခယ်မ	kʰ ɛ̀ m a̰
ခရင်း	kʰ ə j ɪ́ ɴ
ခရစ္စမတ်	kʰ ə ɹ ɪ ʔ s ə m a ʔ
ခရစ်	kʰ ə ɹ ɪ ʔ
ခရစ်တော်	kʰ ə ɹ ɪ ʔ t ɔ̀
ခရစ်ယာန်	kʰ ə ɹ ɪ ʔ j à n
ခရမ်း	kʰ ə j á ɴ
ခရမ်းချဉ်	kʰ ə j á ɴ d͡ʑ ɪ̀ ɴ
ခရမ်းသီး	kʰ ə j á ɴ θ í
ခရာမွှေး	kʰ ə j à m̥ w é
ခရိုင်	kʰ ə j à ɪ ɴ
ခရိုမီယမ်	kʰ ə ɹ ò m ì j à ɴ
ခရိုအေးရှား	kʰ ə ɹ ò ʔ é ʃ á
ခရီး	kʰ ə j í
ခရီးသည်	kʰ ə j í ð è
ခရု	kʰ ə j ṵ
ခရုပက်ကျိ	kʰ ə j ṵ p ɛ ʔ t͡ɕ ḭ
ခရေ	kʰ ə j è
ခလုတ်	kʰ ə l o ʊ ʔ
ခလုတ်ခုံ	kʰ ə l o ʊ ʔ kʰ ò ʊ ɴ
ခါ	kʰ à
ခါး	kʰ á
ခါးပတ်	ɡ ə b a ʔ
ခိုး	kʰ ó
ခု	kʰ ṵ
ခုခံအားကျရောဂါ	kʰ ṵ ɡ à ɴ ʔ á t͡ɕ a̰ j ɔ́ ɡ à
ခုနစ်	kʰ ʊ̀ ɴ n̥ ɪ ʔ
ခုန်	kʰ ò ʊ ɴ
ခုံတန်းလျား	kʰ ò ʊ ɴ t á ɴ j á
ခုံရှည်	kʰ ò ʊ ɴ ʃ è
ခေတ္တ	kʰ ɪ ʔ t a̰
ခေတ်	kʰ ɪ ʔ
ခေါက်ဆွဲ	kʰ a ʊ ʔ sʰ w ɛ́
ခေါက်ဆွဲဆိုင်	kʰ a ʊ ʔ sʰ w ɛ́ z à ɪ ɴ
ခေါက်ဆွဲသုပ်	kʰ a ʊ ʔ sʰ w ɛ́ θ o ʊ ʔ
ခေါင်း	ɡ á ʊ ɴ
ခေါင်း	kʰ á ʊ ɴ
ခေါင်းဆောင်	ɡ á ʊ ɴ sʰ à ʊ ɴ
ခေါင်းဆောင်	ɡ á ʊ ɴ z à ʊ ɴ
ခေါင်းပေါင်း	ɡ á ʊ ɴ b á ʊ ɴ
ခေါင်းလောင်း	kʰ á ʊ ɴ l á ʊ ɴ
ခေါင်းလျှော်ရည်	ɡ á ʊ ɴ ʃ ɔ̀ j è
ခေါင်းအုံး	ɡ á ʊ ɴ ʔ ó ʊ ɴ
ခေါပုတ်	kʰ ɔ́ b o ʊ ʔ
ခေါပျဉ်	kʰ ɔ́ b j ɪ̀ ɴ
ခေါ်	kʰ ɔ̀
ခဲ	kʰ ɛ́
ခဲတံ	kʰ ɛ́ d à ɴ
ခဲဖျက်	kʰ ɛ́ b j ɛ ʔ
ခဲယဉ်း	kʰ ɛ́ j ɪ́ ɴ
ခဲအို	kʰ ɛ́ ʔ ò
ခဲ့	kʰ ɛ̰
ခဲ့	ɡ ɛ̰
ခံ	kʰ à ɴ
ခံစား	kʰ à ɴ z á
ခံယူချက်	kʰ à ɴ j ù d͡ʑ ɛ ʔ
ခ္ယီလီ	t͡ɕʰ ì l ì
ချက်	t͡ɕʰ ɛ ʔ
ချက်ကြိုး	t͡ɕʰ ɛ ʔ t͡ɕ ó
ချက်သမ္မတ	t͡ɕʰ ɛ ʔ θ ə m ə d a̰
ချင်	t͡ɕʰ ɪ̀ ɴ
ချင်း	d͡ʑ ɪ́ ɴ
ချင်း	t͡ɕʰ ɪ́ ɴ
ချင်းမိုင်	t͡ɕʰ ɪ́ ɴ m à ɪ ɴ
ချင်းသုပ်	d͡ʑ ɪ́ ɴ ð o ʊ ʔ
ချစ်	t͡ɕʰ ɪ ʔ
ချစ်ခင်	t͡ɕʰ ɪ ʔ kʰ ɪ̀ ɴ
ချစ်တီး	t͡ɕʰ ɪ ʔ t í
ချစ်သူ	t͡ɕʰ ɪ ʔ θ ù
ချဉ်	t͡ɕʰ ɪ̀ ɴ
ချဉ်ပေါင်	t͡ɕʰ ɪ̀ ɴ b à ʊ ɴ
ချည်	t͡ɕʰ ì
ချည်လုံး	t͡ɕʰ ì l ó ʊ ɴ
ချဒ်	t͡ɕʰ à d
ချပါတီ	t͡ɕʰ ə p à t ì
ချပ်	d͡ʑ a ʔ
ချမ်း	t͡ɕʰ á ɴ
ချယ်ရီ	t͡ɕʰ ɛ̀ ɹ ì
ချာတိတ်	t͡ɕʰ à t e ɪ ʔ
