abhag	a f a k
calpach	kʰ a l̪ˠ p ə x
cam	k aː m
cam	kʰ a u m
càmhal	k ãː ə l̪ˠ
campa	kʰ a u m pʰ ə
cana	kʰ a n ə
caoimhe	kʰ ɤ i v ə
caoimhe	k ɤ i v ə
caoimhneas	kʰ ɯ i v ɲ ə s̪
caoin	k ɯː n
caol	kʰ ɯː ɫ̪
caomh	kʰ ɯː v
caraich	kʰ a ɾ ɪ ç
caran	kʰ a ɾ a n
càrnadh	kʰ aː ɾ n ə ɣ
cas	kʰ a s
casag	kʰ a s a k
casaid	k a s a dʲ
casan	kʰ a s̪ ə n
cat	kʰ aʰ t̪
cead	kʲʰ e t̪
ceannaich	kʰʲ a n̪ˠ ɪ ç
ceannard	kʰʲ a n̪ˠ a ɾ ʃ t̪
ceannasach	kʰʲ a n̪ˠ ə s̪ ə x
cearc	kʲ ɛ r x k
cearclach	kʰʲ ɛ r x k l̪ˠ ə x
ceàrnach	kʰʲ aː rˠ n̪ˠ ə x
cearr	kʰʲ aː rˠ
ceàrr	kʰʲ aː rˠ
ceart	kʲʰ a rˠ ʃ t
ceart	kʲʰ a rˠ s t
ceathrar	kʲ ɛ ɾ ə ɾ
cèile	kʰʲ eː l ə
cèilidh	kʰʲ eː l i ʝ
cèireach	kʰʲ eː ɾʲ ə x
ceòl	kʰʲ ɔː ɫ̪
ceud	kʰʲ i a t̪
ceudamh	kʰʲ eː t̪ ə v
ceum	kʰʲ eː m
cha	x a
chaidh	x a ɪ
chaidreach	x a tʲ ɾʲ ə x
chaneil	χ a n j e l
cheana	ç ɛ n ə
chirce	ç i ɾ̥ c ə
chuala	x u ə l ə
ciall	kʰʲ i a ɫ̪
ciallach	kʰʲ i ə l̪ˠ ə x
ciar	kʰ i a ɾ
cinn	kʲʰ iː ɲ
cinnte	kʰʲ ĩː ɲ tʲ ə
cinnteach	kʰʲ ĩː ɲ tʲ ə x
cìoch	kʰʲ i ə x
cipean	kʰʲ iʰ pʰ a n
cìr	kʰʲ iː ɾʲ
ciùil	kʰʲ uː l
ciùin	kʰʲ uː ɲ
ciùrr	kʰʲ uː rˠ
ciùrradh	kʰʲ uː rˠ ə ɣ
clach	k l̪ˠ a x
clann	kʰ l̪ˠ a u n̪ˠ
cliath	k l i ə
cliùiteach	kʰ l uː h tʲ ə x
cluinneadh	k ɫ̪ ɯ ɲ ə ɣ
cnàmh	kʰ ɾ ãː v
cnàmhlach	kʰ rˠ ãː v l̪ˠ ə x
cneap	k r ɛʰ p
cneasda	kʰʲ rʲ e s̪ t̪ ə
cneasta	k rʲ e s̪ t̪ ə
cnèatag	kʰ ɾ i aʰ t̪ʰ a k
cnoc	k ɾ ɔ̃ʰ k
cnòthan	k ɾ ɔː ə n
cobhan	kʰ o a n
còig	kʰ oː kʲ
coileach	kʰ ɤ l ə x
coille	kʰ ɤ ʎ ə
coimheach	k ɔ̃ j ə x
coinneach	k o i nʲ a x
coinneamh	kʰ ɤ ɲ ə v
coinnlear	k ɤ̃ ĩ ɲ ʎ ɛ r
coire	kʰ ɔ ɾʲ ə
coire	kʰ ɤ ɾʲ ə
colainn	k ɔ l̪ˠ ə ɲ
colaiste	kʰ ɔ ɫ̪ ɪ ʃ tʲ ə
colann	k ɔ l̪ˠ ə n̪ˠ
coltas	k ɔ ɫ t ə s
coma	k o m ə
comann	kʰ o m ə n̪ˠ
comannach	kʰ o m ə n̪ˠ ə x
comasach	kʰ o m ə s̪ ə x
comhairle	kʰ ɔ̃ ə rˠ ʎ ə
connsachail	kʰ ɔ̃ ũ n̪ˠ s̪ ə x a l
connspaideach	kʰ ɔ̃ ũ n̪ˠ s̪ p ɪ tʲ ə x
còrr	kʰ ɔː rˠ
cosgais	k o s ɡ ɪ ʃ
cothromach	kʰ ɔ rˠ ə m ə x
craicte	kʰ r ɛ ç dʲ ə
crann	k r a u n̪ˠ
craosach	kʰ ɾ ɯː s̪ ə x
crè	kʰ r ɛː
creag	kʰ ɾ e k
creagan	kʰ ɾ e k ə n
crìoch	kʰ ɾ iː x
croch	kʰ ɾ ɔ x
cruinn	kʰ r u ɪ ɲ
crùn	k r uː n
cù	k uː
cuaigear	kʰ u ə kʲ ə ɾ
cuan	kʰ u a n
cuilean	kʰ u l a n
cuileann	kʰ u l ə n̪ˠ
cuimhne	kʰ u i ɲ ə
cuimhneachadh	kʰ u i ɲ ə x ə ɣ
cuimris	k ɯ m ɯ rʲ ɪ ʃ
cuine	kʰ u ɲ ə
cuing	kʰ ɯ̃ ĩ ŋʲ kʲ
cuip	kʰ u iʰ p
cuir	kʰ u ɾʲ
cuireadh	kʰ u ɾʲ ə ɣ
cùis	kʰ uː ʃ
cùiseach	kʰ uː ʃ ə x
cùl	kʰ uː ɫ̪
cultarach	kʰ u l̪ˠ t̪ ə ɾ ə x
cum	kʰ uː m
cùm	kʰ uː m
cumhachd	kʰ ũ ə x ɡ
cumhachdach	kʰ ũ ə x ɡ ə x
cupa	kʰ uʰ pʰ ə
d'	d̊
d'	d̊ʲ
dachaigh	d a x ɪ
dadamach	d a d ə m ə x
dàimheach	d a i v ə x
dàn	d̥ aː n
dàrna	d aː rˠ n̪ˠ ə
dàrnach	d aː rˠ n̪ˠ ə x
de	tʲ e
dè	tʲ eː
deagh	tʲ oː
dealg	tʲ a l̪ˠ a k
dèan	tʲ i a n
dearg	tʲ ɛ r ɛ k
dearrs	tʲ aː rˠ s̪
dearrsach	tʲ aː rˠ s ə x
dearrsadh	t̪ʲ aː rˠ s̪ ə ɣ
deàrsadh	t̪ʲ aː rˠ s̪ ə ɣ
deas	t͡ʃ ɛ s
deich	tʲ e ç
deicheach	dʲ e ç ə x
dèine	d͡ʒʲ ɛː ɲʲ ə
dèine	tʲ eː n ə
deirdre	tʲ ɛ r t ɾ ə
deirdre	tʲ ɛ ʈ ɾ ə
deoch	tʲ ɔ x
deoghail	tʲ o a l
deònach	tʲ ɔː n ə x
deur	d̥ʲ i a ɾ
dhà	ɣ aː
dhachaigh	ɣ a x ɪ
dhìol	ʝ i ə ɫ̪
dhìth	ʝ iː
dhomh	ɣ ɔː
dhuibh	ɣ ɯ i v
dia	tʲ i a
dian	t͡ʃ i a n
dìbhe	tʲ i v ə
dìcheall	tʲ iː ç ə ɫ̪
dìlleachd	tʲ iː ʎ ə x ɡ
dìlleachdach	tʲ iː ʎ ə x ɡ ə x
dìlleachdan	tʲ iː ʎ ə x ɡ a n
dìlleachdanachd	tʲ iː ʎ ə x ɡ a n ə x ɡ
dìlleachdas	tʲ iː ʎ ə x ɡ ə s̪
diog	dʲ i k
dìoghaltach	tʲ i ə ə l̪ˠ t̪ʰ ə x
dìol	t ʃ iː lˠ
diù	tʲ uː
diùid	tʲ uː tʲ
dòchas	t̪ ɔː x ə s
dòchasach	t̪ ɔː x ə s̪ ə x
doilleir	d ɔ ɪ ʎ ɛ r
doilleir	d ɔ ʎ ɛ r
doimhne	t̪ ɤ ĩ n ə
doimhneachd	t̪ ɔ i ɲ ə x k
doirbh	d̪̊ ɤ rʲ ɤ v
doirbh	t̪ ɤ ɾʲ ɤ v
dòmhnall	t̪ oː n a ɫ
dòmhnall	t̪ oː v n a ɫ
dòmhnall	t̪ ɔ̃ː ə ɫ̪
dona	t̪ ɔ n ə
donn	t̪ ɔ u n̪ˠ
donnchadh	t̪ ɔ n̪ˠ ɔ x ə ɣ
dòrainneach	t̪ ɔː ɾ ə ɲ ə x
doras	t̪ ɔ ɾ ə s̪
dòrnan	t̪ ɔː ɾ n a n
dorra	t̪ ɔ rˠ ə
drabasda	t̪ ɾ a p ə s̪ t̪ ə
drabasdach	t̪ ɾ a p ə s̪ t̪ ə x
drabasdachd	t̪ rˠ a p a s̪ t̪ a x k
dragh	t̪ ɾ ɤ ɣ
dranndan	t̪ ɾ ã ũ n̪ˠ t̪ a n
dranndanach	t̪ ɾ ã ũ n̪ˠ t a n ə x
draoidheachd	d r ɯ ɪʲ a x k
droigheann	t̪ ɾ ɔ j ə n̪ˠ
drùidhteach	d r uː dʲ ə x
druim	t̪ ɾ ɯ i m
drùis	t̪ ɾ uː ʃ
drùiseach	t̪ ɾ uː ʃ a x
drùisealachd	t̪ rˠ uː ʃ ɛ l̪ˠ a x k
drùiseantachd	t̪ rˠ uː ʃ ə n̪ t̪ʰ a x k
drùisear	t̪ rˠ uː ʃ ɛ rˠ
drùisearachd	t̪ rˠ uː ʃ ɛ rˠ a x k
drùiseil	t r uː ʃ ɛ l
drùisire	t̪ rˠ uː ʃ i ɾ ə
duais	t̪ u ə ʃ
dualchasach	t u ə l̪ˠ x ə s̪ ə x
dubh	t̪ ʊ v
dubh	t̪ uː v
dubh	t̪ uː
dubh	t̪ u
duilleach	d ɯ ʎ ə x
dùin	t̪ uː ɲ
duine	t̪ ɯ ɲ ə
dùisg	t̪ uː ʃ kʲ
dùn	t̪ uː n
each	ɛ x
each	j a x
eadar	e d̪̊ ə ɾ
eadar	e t̪ ə ɾ
eadh	ɤ ɣ
eala	ɛ lˠ a
ealasaid	ɛ ɫ̪ ə s̪ ə tʲ
eallach	j a ɫ̪ ə x
earrach	j a rˠ ə x
earrann	ɛ rˠ ə n̪ˠ
earrann	j a rˠ ə n̪ˠ
eile	e l ə
eiridinn	e ɾ ɪ tʲ ɪ ɲ
eiridnich	e rʲ ɪ dʲ n ɪ ç
eisimeileachd	e ʃ ɪ m ə l ə x ɡ
èist	eː ʃ d̥ʲ
eithne	ɛ nʲ ə
eòghan	j oː a n
eòghan	j oː ə n
eòin	j ɔː ɲ
eòin	j ɔː nʲ
eòlas	j ɔː ɫ̪ ə s̪
eudail	eː t̪ a l
facal	f a x k ə ɫ
faclair	f a x k lˠ̪ ə ɾʲ
fada	f a t̪ ə
fàg	f aː k
faiceallach	f a ç kʲ ə l̪ˠ ə x
fàilte	f aː l t ʃ ə
faing	f a i ŋʲ kʲ
falbh	f a ʟ a v
faod	f ɯː t̪
faoileag	f ɯː l a k
faoin	f ɯː ɲ
faramach	f a r ə m ə x
farsaing	f a ɾ s̪ ɪ ŋʲ ɡʲ
fastaidh	f a s d ɪ
fathan	f a h a n
feabhas	f j o ə s
feabhasach	f j o ə s ə x
feadh	f j ɤ ɣ
feamainn	f e m ɪ ɲ
fear	f ɛ ɾ
fearachas	f ɛ r ə x ə s
fearail	f ɛ r a l
fearchar	f ɛ r ɛ x ə r
fearchar	f ɛ r a x ə r
fearghas	f ɛ r ɛ ɣ ə s
feàrna	f j aː ɾ n ə
feàrr	f j aː rˠ
fèill	f eː ʎ
féill	f eː ʎ
feis	f e ʃ
fèis	f eː ʃ
feòl	f j ɔː ɫ̪
feum	f eː m
feumach	f eː m ə x
feur	f i ə ɾ
fhear	ɛ ɾ
fheis	e ʃ
fheur	i ə ɾ
fhios	i s̪
fiar	f j i ə ɾ
figh	f i
figheadair	f i ə t̪ ɛ ɾʲ
fill	f iː ʎ
fionnar	f j u n̪ˠ ə ɾ
fionntach	f j uː n̪ˠ t̪ʰ ə x
fìor	f iː ɾ
fios	f ɪ s
fios	f i s̪
fiùghantach	f j uː ə n t̪ ə x
fiughar	f j u ə ɾ
fiùran	f j uː r a n
fleadh	f l ɤ ɣ
fliuch	f l u x
foghain	f o ɪ ɲ
foghar	f o ə r
fogharach	f o ə ɾ ə x
fòghnaidh	f oː n ɪ
foighidneach	f ɤ j ɪ dʲ n ə x
fois	f o ʃ
follais	f ɔ ɫ̪ ɪ ʃ
follaiseach	f ɔ l̪ˠ ɪ ʃ ə x
fonn	f ɔ u n̪ˠ
fosgail	f ɔ s k a l
freagair	f rʲ e k ɪ rʲ
freasdalach	f ɾʲ e s̪ t̪ ə l̪ˠ ə x
freasdalachd	f ɾʲ e s̪ t̪ ə l̪ˠ ə x ɡ
freumh	f ɾʲ ɪ ə v
fuar	f u ə ɾ
fuin	f u ɲ
fuineadair	f u ɲ ə d ɛ rʲ
fuineall	f u ɲ ə l̪ˠ
fuirich	f u ɾʲ ɪ ç
fulang	f u ɫ̪ ə ŋ ɡ
gach	k a x
gad	k a t̪
gàd	ɡ aː d
gadhar	k ɤ ə r
gafann	k a f ə nˠ̪
gàidheal	k ɛː ə ɫ̪
gàidhlig	k aː l ɪ kʲ
gal	k a l̪ˠ
galla	k a ɫ̪ ə
gaoisid	ɡ ɯː ʃ i d͡ʒ
gaol	k ɯː ɫ̪
gaothach	k ɯː ə x
gasda	k a s̪ t̪ ə
geal	kʲ a ɫ̪
geall	kʲ a u l̪ˠ
gealladh	kʲ a ɫ̪ ə ɣ
geamhradh	kʲ ɛ u ɾ ə ɣ
geamhradh	kʲ ɛ u ɾ ə ɣ
gèar	kʲ i a ɾ
geàrr	kʲ aː rˠ
geas	kʲ e s
geasachd	kʲ ɛ s a x k
gèill	kʲ eː ʎ
gheall	j a u l̪ˠ
ghille	ʝ i ʎ ə
ghlais	ɣ l̪ˠ a ʃ
ghuth	ɣ u h
gile	kʲ i l ə
gille	kʲ i ʎ ə
gimleid	k i m i l a tʲ
gin	ɡʲ i n
gionach	kʲ i n ə x
glacadh	k l̪ˠ a x k ə ɣ
glais	k l̪ˠ a ʃ
glaodh	k l̪ˠ ɯː
glas	k l a s
glaschu	k ɫ̪ a s̪ x u
glè	ɡ l ɛː
glé	k l eː
glòir	k ɫ̪ ɔː ɾʲ
gnè	k r ɛː
gob	k o p
gobhar	ɡ o ə ɾ
goibhle	k ə i l ə
goibhnean	k ə i n ə n
goid	k ɤ tʲ
goirid	k ɤ ɾʲ ɪ tʲ
goirt	k ɔ r t͡ʃʲ
goistidh	ɡ ɔ ʃ dʲ ɪ
gòrach	ɡ ɔː r ə x
gorm	k ɔ r ɔ̃ m
gràdh	k r aː ɣ
greim	k ɾ e i m
grìbhean	c ɾ iː v a n
griogair	ɡ̊ ɾʲ i ɡ̊ ɪ ɾʲ
gu	k u
guib	k ɤ p
gunna	ɡ ʊ n ə
guth	k u h
hallo	h a ɫ oː
hearach	h ɛ ɾ ə x
iarla	i ə rˠ l̪ˠ ə
iarraidh	i ə rˠ ɪ
iasgaich	i ə s k ɪ ç
imlich	i m i l ɪ ç
innis	ĩː ʃ
ìoc	i ə x k
ioghnadh	i ə n ə ɣ
iomadh	i m ə ɣ
iomall	i m ə l̪ˠ
iomradh	i m i ɾ ə ɣ
ionnsaich	j ũː n̪ˠ s ɪ ç
ith	i ç
iubhar	j u ə ɾ
lachan	ɫ̪ a x a n
ladhran	ɫ̪ ɤː ɾ a n
lagh	ɫ̪ ɤ ɣ
laghail	ɫ̪ ɤ ɣ a l
làimh	ɫ̪ a i v
lainnir	ɫ̪ a ɲ ɪ ɾʲ
làireach	l̪ˠ aː ɾʲ ə x
làn	l ɑː n
laogh	ɫ̪ ɯː ɣ
làthair	ɫ̪ aː ɪ ɾʲ
làthaireach	l̪ˠ aː ɪ ɾʲ ə x
le	lʲ ɛ
le	l e
leabaidh	ʎ e p ɪ
leac	ʎ ɛ x k
lean	ʎ ɛ n
leannan	ʎ ɛ n̪ˠ a n
leatromach	ʎ ɛ h t̪ ɾ ə m ə x
leig	ʎ e kʲ
leithid	ʎ e ɪ tʲ
leitir	ʎ e h tʲ ɪ ɾʲ
leòmhann	ʎ ɔː ə n̪ˠ
leòsan	ɫ̪ʲ ɔː s a n
leotha	ʎ o ə
leth	ʎ e
leum	ʎ eː m
liath	ʎ i ə
lice	ʎ iʰ kʰʲ ə
lionn	ʎ uː n̪ˠ
lionntachd	ʎ uː n̪ˠ t̪ʰ ə x k
lios	ʎ i s̪
litir	ʎ iʰ tʲ ɪ ɾʲ
lobhte	l̪ˠ ɔ v t ə
loch	ɫ̪ ɔ x
lochan	ɫ̪ ɔ x a n
lochlannach	l̪ˠ ɔ x l̪ˠ ə n̪ˠ ə x
loisgean	lˠ ɔ ʃ kʲ a n
luach	l̪ˠ u ə x
lùbach	l̪ˠ uː p ə x
luchag	ɫ̪ u x a k
luchd	ɫ̪ u x k
luinneag	l̪ˠ ɯ ɲ a k
lùnastal	l̪ˠ uː n ə s̪ t̪ ə l̪ˠ
macgriogair	m a x ɡ̊ ɾʲ i ɡ̊ ɪ ɾʲ
maide	m a tʲ ə
maighdean	m ə i tʲ ə n
maighdeann	m ə i tʲ ə n
màiri	m aː ɪ r i
maise	m a ʃ ə
maiseach	m a ʃʲ a x
màla	m aː ɫ̪ ə
mall	m a u ɫ
màmag	m aː m a k
mamaidh	m a m i
maoidh	m ɤ j
maoin	m ɯː nʲ
maol	m ɯː ɫ̪
marbh	m a ɾ a v
marc	m a r x k
màthair	m aː h ə ɾʲ
màthair	m eː ɾʲ
meall	m j a u ɫ̪
mearanach	m ɛ r a n a x
measg	m e s k
measgaichte	m e s k ɪ ç tʲ ə
meòg	m j ɔː k
meòir	m j ɔː ɾʲ
mhac	v a x k
mhàiri	v aː ɪ r i
mhàthair	v aː h ə ɾʲ
mheall	v j a u ɫ̪
mhealladh	v j a ɫ̪ ə ɣ
mhil	v j i l
mholainn	v ɔ ɫ̪ ɪ ɲ
mil	m j i l
milis	m i l ɪ ʃ
mill	m iː ʎ
mìltean	m iː l tʰʲ ə n
min	m j i n
mìn	m iː n
mìos	m i ə s̪
mire	mʲ i ɾʲ ə
mocheirigh	m ɔ x ə rʲ ɪ
mochthrath	m ɔ x r a
modh	m ɔ ɣ
modhail	m ɔ ɣ a l
mol	m o l
molta	m ɔ ɫ̪ t̪ʰ ə
monadh	m ɔ n ə ɣ
mòrail	m ɔː r a l
motha	m o ə
mucan	m uʰ k ə n
muinntir	m w i ɲ tʰʲ ɪ ɾʲ
mult	m u l̪ˠ t̪ˠ
mura	m u ɾ ə
mùrn	m uː ɾ n
mustais	m u s d a ʃ
nàbaidh	n̪ˠ aː p i
nach	n a x
nàdarrach	n̪ˠ aː t̪ ə rˠ ə x
naidheachd	n ɛ ə x ɡ
nàireach	n̪ˠ aː ɾʲ ə x
nàiseantach	n̪ˠ aː ʃ ə n̪ˠ t̪ ə x
naoi	n ɯː i
nàrach	n̪ˠ aː ɾ ə x
neach	n̠ʲ a x
nead	ɲ e t
neart	ɲ ɛ ɾ ʃ t̪
neul	ɲ i a ɫ̪
nigh	ɲ iː
nighean	ɲ iː a n̪ˠ
nigheann	ɲ iː a n̪ˠ
nighneag	ɲ iː n a k
nis	n i ʃ
norrag	n̪ˠ ɔ rˠ a k
obair	o p ə ɾʲ
obrachadh	o b r ə x ə ɣ
obraich	o p r ɪ ç
ochd	ɔ x k
odhar	o ə r
oidhche	ɤ̃ ĩ ç ə
oighre	ɤ i ɾʲ ə
oighrig	ɤ i ɾ i c
oillt	ə i ʎʲ tʰʲ
oilthigh	ɤ l h ɪ
oir	ɔ i r
òir	ɔː ɾʲ
oisinn	o i ʃ ə n
òran	ɔː r a n
orm	ɔ ɾ ɔ m
ort	ɔ rˠ s t
pàipear	pʰ ɛːʰ pʰ ə ɾ
pàirtidh	pʰ aː rˠ ʃ tʲ i
peadar	pʰ e t̪ ə ɾ
peall	pʰ j a u l̪ˠ
peann	pʰ j a u n̪ˠ
peasair	pʰ ɛ s̪ ɪ ɾʲ
peileag	pʰ e l a ɡ̊
peinnsean	pʰ e i ɲ ʃ a n
phàisde	f aː ʃ tʰʲ ə
phàiste	f aː ʃ tʰʲ ə
pheann	f j a u n̪ˠ
pheasair	f ɛ s̪ ɪ ɾʲ
pheata	f ɛʰ t̪ ə
phiuthar	f j u ə ɾ
phost	f ɔ s̪ t̪
piuthar	pʰ j u ə ɾ
pòca	p ɔː x k ə
pòs	pʰ ɔː s
pòsaidh	pʰ ɔː s̪ ɪ
post	pʰ ɔ s̪ t̪
prionnsa	p rʲ ũː n̪ˠ s ə
pròis	p r ɔː ʃ
pròiseil	p r ɔː ʃ ɛ l
put	pʰ uʰ t̪
raibeart	rˠ a p ə ɾ ʂ ʈ
ràith	rˠ aː j
ràmh	rˠ aː v
raon	rˠ ɯː n
reachd	rˠ ɛ x k
rèidh	rˠ eː j
rèite	rˠ eːʰ tʲ ə
rèiteach	rˠ eː h tʲ ə x
rèiteachadh	rˠ eː h tʲ ə x ə ɣ
rèitich	rˠ eː h tʲ ɪ ç
reòth	rˠ ɔː
reul	rˠ eː ɫ̪
riabhach	rˠ i ə v ə x
riamh	r i ə v
rìbhinn	rˠ iː v ɪ ɲ
ridireach	rˠ i tʲ ɪ ɾʲ ə x
rinn	rˠ iː ɲ
riochdaich	rˠ i x k ɪ ç
rionnag	rʲ uː n a k
ròb	ʀ ɔː b
robh	r oː
roghnaich	rˠ oː n ɪ ç
roid	rˠ ɔ tʲ
ròmanach	rˠ ɔː m ə n ə x
ròn	r ɔː n
ruadh	r u ə ɣ
rug	rˠ u k
rùn	rˠ uː n
rùraich	rˠ uː ɾ ɪ ç
sàbh	s̪ aː v
saighdear	s ɤ i tʲ ə ɾ
sàil	s̪ aː l
salach	s a ɫ̪ ə x
salainn	s a l̪ˠ ə ɲ
salann	s a l̪ˠ ə n̪ˠ
samhain	s a ũ i ɲ
samhla	s ã ũ l̪ˠ ə
samhradh	s a u ɾ ə ɣ
samhradh	s̪ a u ɾ ə ɣ
saoghal	s̪ ɯː ə ɫ̪
saoil	s ɯː l
sàr	s̪ aː ɾ
sàraich	s̪ aː ɾ ɪ ç
sasainn	s a s ə ɲ
sè	ʃ ɛː
seachain	ʃ ɛ x ɪ n
seachainn	ʃ ɛ x ɪ ɲ
seachd	ʃ ɛ x k
seadh	ʃ ɤ ɣ
seagh	ʃ ɤ ɣ
sealg	ʃ a ɫ̪ a k
sean	ʃ ɛ n
seanair	ʃ ɛ n ɑ r
seanchais	ʃ ɛ n ə x ə ʃ
seanchas	ʃ ɛ n ə x ə s̪
seang	ʃ ɛ ŋ k
seanmhair	ʃ ɛ n ə v ɛ ɾʲ
seanmhairean	ʃ ɛ n ə v ɛ ɾʲ ə n
seanmhar	ʃ ɛ n ə v ə ɾ
seiceach	ʃ e ç kʲ ə x
seiche	ʃ e ç ə
seicich	ʃ e ç kʲ ɪ ç
seilcheag	ʃ e l ə ç a k
seile	ʃ e l ə
seileach	ʃ e l ə x
sèimh	ʃ ɛː v
sèimheachadh	ʃ ɛː v ə x ə ɣ
seinneadair	ʃ e ɲ ə t̪ ɪ ɾʲ
seo	ʃ ɔ
seòl	ʃ ɔː ɫ̪
seòladh	ʃ ɔː ɫ̪ ə ɣ
seonag	ʃ o n a k
seonaid	ʃʲ o n ɛ d͡ʒ
seumas	ʃ eː m ə s̪
seun	ʃ i a n
sgap	s ɡ a h b
sgeulachd	s k i ə l ə x k
sgian	s̪ kʲ i a n
sgiathach	s kʲ i ə h ə x
sgillinn	s kʲ i ʎ ɪ ɲ
sgimilear	s kʲ i m i l ə ɾʲ
