а	a
чег	t ʃ ê ɡ
ћер	t ɕ êː r
чип	t ʃ î p
чим	t ʃ îː m
чин	t ʃ îː n
ћор	t ɕ ô r
ћуд	t ɕ ûː d
чьк	t ʃ ə k
цер	t͡s ê r
цеп	t͡s êː p
цев	t͡s êː ʋ
чам	t͡ʃ â m
чађ	t͡ʃ âː d͡ʑ
ћар	t͡ɕ âː r
ћеф	t͡ɕ ê f
ћуп	t͡ɕ û p
вук	v ûː k
хрт	x r̂ t
хан	x âː n
хаг	x âː ɡ
хир	x îː r
ход	x ôː d
худ	x ûː d
хук	x ûː k
хум	x ûː m
зло	z l ô
зао	z â o
зар	z â r
зар	z âː r
зец	z êː t s
зид	z îː d
зоб	z ôː b
зор	z ôː r
зов	z ôː ʋ
зуб	z ûː b
ако	â k o
акт	â k t
али	â l i
ама	â m a
ана	â n a
амо	âː m o
екс	ê k s
его	êː ɡ o
ико	î k o
или	î l i
име	î m e
инч	î n t ʃ
иње	îː ɲ e
оба	ô b a
обе	ô b e
око	ô k o
ухо	û x o
уво	û ʋ o
ући	ûː t ɕ i
ада	ǎ d a
ока	ǒ k a
она	ǒ n a
оне	ǒ n e
они	ǒ n i
оно	ǒ n o
шну	ʃ n ûː
еон	ě oː n
грк	ɡ r̂ k
грм	ɡ r̂ m
врт	ʋ r̂ t
врч	ʋ r̂ t ʃ
врх	ʋ r̂ x
врг	ʋ r̂ ɡ
грд	ɡ r̂ː d
шта	ʃ t â
што	ʃ t ô
ићи	ǐ t ɕ i
шаф	ʃ â f
шал	ʃ â l
ван	ʋ â n
жао	ʒ â o
гат	ɡ â t
шах	ʃ â x
шав	ʃ â ʋ
гај	ɡ âː j
вал	ʋ âː l
гал	ɡ âː l
жал	ʒ âː l
ван	ʋ âː n
гао	ɡ âː o
вар	ʋ âː r
жар	ʒ âː r
шар	ʃ âː r
вас	ʋ âː s
гас	ɡ âː s
газ	ɡ âː z
шаш	ʃ âː ʃ
шеф	ʂ ê f
шеф	ʃ ê f
шел	ʃ ê l
њем	ɲ ê m
вео	ʋ ê o
већ	ʋ ê t͡ɕ
веш	ʋ ê ʃ
жеђ	ʒ êː d͡ʑ
геј	ɡ êː j
њен	ɲ êː n
вез	ʋ êː z
шиф	ʃ î f
гиц	ɡ î t s
гиб	ɡ îː b
шиб	ʃ îː b
вид	ʋ îː d
њим	ɲ îː m
жир	ʒ îː r
вис	ʋ îː s
њих	ɲ îː x
жив	ʒ îː ʋ
жиг	ʒ îː ɡ
шиљ	ʃ îː ʎ
шок	ʃ ô k
њок	ɲ ô k
шос	ʃ ô s
гот	ɡ ô t
шоц	ʃ ô t͡s
шоу	ʃ ô u
вод	ʋ ôː d
год	ɡ ôː d
њој	ɲ ôː j
вол	ʋ ôː l
гол	ɡ ôː l
шол	ʃ ôː l
њом	ɲ ôː m
воз	ʋ ôː z
воњ	ʋ ôː ɲ
шум	ʃ ûː m
жут	ʒ ûː t
љут	ʎ ûː t
жуч	ʒ ûː t ʃ
њух	ɲ ûː x
гуж	ɡ ûː ʒ
жуљ	ʒ ûː ʎ
ага	ǎ ɡ a
ада	ǎː d a
ода	ǒː d a
рђа	ř̩ d͡ʑ a
ана	ǎː n a
ера	ěː r a
ива	ǐː ʋ a
иго	ǐː ɡ o
адио	a d î o
благ	b l âː ɡ
блеф	b l ê f
блед	b l êː d
блиц	b l î t͡s
блуд	b l ûː d
блуз	b l ûː z
брат	b r â t
брак	b r âː k
брач	b r âː t ʃ
брис	b r îː s
бром	b r ô m
броћ	b r ô t͡ɕ
брош	b r ô ʃ
брод	b r ôː d
број	b r ôː j
брус	b r ûː s
брзо	b r̂ː z o
баба	b â b a
бајт	b â j t
бала	b â l a
бара	b â r a
баск	b â s k
бахт	b â x t
бања	b â ɲ a
бела	b ê l a
бенд	b ê n d
бета	b ê t a
берн	b êː r n
било	b î l o
бити	b î t i
биље	b îː ʎ e
боца	b ô t s a
боље	b ô ʎ eː
божи	b ô ʒ iː
бова	b ôː ʋ a
буба	b û b a
буду	b û d u
бука	b û k a
була	b û l a
бунт	b û n t
бура	b û r a
буре	b û r e
буча	b û t͡ʃ a
бућа	b û t͡ɕ a
биде	b ǐ d eː
боем	b ǒ eː m
бифе	b ǐ f eː
бофл	b ǒ f l
боја	b ǒ j a
буки	b ǔ k i
баку	b ǎ k u
була	b ǔ l a
биле	b ǐ l e
бунт	b ǔ n t
бљак	b ʎ â k
бува	b ǔ ʋ a
беба	b ěː b a
бабо	b ǎː b o
буда	b ǔː d a
баџа	b ǎː d͡ʒ a
буџа	b ǔː d͡ʒ a
бака	b ǎː k a
брко	b řː k o
була	b ǔː l a
буна	b ǔː n a
баћа	b ǎː t ɕ a
биће	b ǐː t ɕ e
буцо	b ǔː t͡s o
база	b ǎː z a
дјед	d j ê d
драч	d r â t͡ʃ
драг	d r âː ɡ
драж	d r âː ʒ
дрек	d r ê k
дрен	d r ê n
дрес	d r ê s
дрем	d r êː m
друг	d r ûː ɡ
дрво	d r̂ ʋ o
дати	d â t i
дача	d â t͡ʃ a
дажд	d â ʒ d
даћа	d âː t ɕ a
деда	d ê d a
дека	d ê k a
дело	d ê l o
дика	d î k a
дићи	d î t ɕ i
диња	d î ɲ a
доле	d ô l e
дома	d ô m a
доље	d ô ʎ e
доба	d ôː b a
доћи	d ôː t ɕ i
доњи	d ôː ɲ iː
дупе	d û p e
дуго	d û ɡ o
деби	d ě b iː
дика	d ǐ k a
доли	d ǒ l i
депо	d ě p oː
џаба	d ʒ â b a
џабе	d ʒ â b eː
ђаво	d ʑ â ʋ oː
двор	d ʋ ôː r
џудо	d ʒ û d o
џиџа	d ʒ ǐː d ʒ a
дека	d ěː k a
дика	d ǐː k a
дама	d ǎː m a
дина	d ǐː n a
даћа	d ǎː t ɕ a
доза	d ǒː z a
дева	d ěː ʋ a
дуга	d ǔː ɡ a
душа	d ǔː ʃ a
дању	d ǎː ɲ u
џинс	d͡ʒ îː n s
флек	f l ê k
фриз	f r îː z
факс	f â k s
факт	f â k t
фајл	f âː j l
фока	f ô k a
јама	j â m a
јамб	j â m b
јара	j â r a
јаре	j â r e
јато	j â t o
јаук	j â uː k
јако	j âː k o
јека	j ê k a
јело	j ê l o
јошт	j ô ʃ t
јуре	j û r e
јули	j ûː l i
јуни	j ûː n i
јуче	j ǔ t ʃ eː
јаје	j ǎː j e
јела	j ěː l a
јоха	j ǒː x a
јуха	j ǔː x a
језа	j ěː z a
јава	j ǎː ʋ a
јога	j ǒː ɡ a
клас	k l âː s
клен	k l ê n
клик	k l î k
клин	k l î n
клип	k l îː p
клуб	k l ûː b
кмет	k m ê t
кнез	k n êː z
кнут	k n û t
крај	k r â j
крап	k r â p
крах	k r â x
крај	k r âː j
крак	k r âː k
кран	k r âː n
краљ	k r âː ʎ
крањ	k r âː ɲ
креч	k r ê t ʃ
крик	k r î k
крим	k r îː m
крин	k r îː n
крис	k r îː s
крив	k r îː ʋ
криж	k r îː ʒ
кроз	k r ô z
кров	k r ô ʋ
крух	k r û x
крув	k r û ʋ
крут	k r ûː t
крдо	k r̂ d o
крма	k r̂ m a
крпа	k r̂ p a
крст	k r̂ s t
крња	k r̂ ɲ a
крње	k r̂ ɲ eː
кћер	k t ɕ êː r
како	k â k o
калк	k â l k
кама	k â m a
камо	k â m o
кана	k â n a
каос	k â o s
капа	k â p a
каша	k â ʃ a
кама	k âː m a
кава	k âː ʋ a
кекс	k ê k s
келт	k ê l t
кеса	k ê s a
кист	k î s t
кита	k î t a
киша	k î ʃ a
кофа	k ô f a
кола	k ô l a
коло	k ô l o
кома	k ô m a
копт	k ô p t
кора	k ô r a
кожа	k ô ʒ a
кола	k ôː l a
куја	k û j a
кука	k û k a
куку	k û k uː
култ	k û l t
купа	k û p a
курс	k û r s
кућа	k û t ɕ a
куче	k û t ʃ e
кући	k û t ɕ i
када	k ǎ d a
кафа	k ǎ f a
каин	k ǎ i n
каиш	k ǎ i ʃ
који	k ǒ j iː
како	k ǎ k o
коме	k ǒ m e
крме	k ř m e
кому	k ǒ m u
кана	k ǎ n a
кану	k ǎ n uː
коса	k ǒ s a
коза	k ǒ z a
квар	k ʋ âː r
квас	k ʋ âː s
кљун	k ʎ ûː n
кључ	k ʎ ûː t ʃ
кога	k ǒ ɡ a
каба	k ǎː b a
куба	k ǔː b a
када	k ǎː d a
крџа	k řː d͡ʒ a
кула	k ǔː l a
крма	k řː m a
киме	k ǐː m e
кина	k ǐː n a
куна	k ǔː n a
крпо	k řː p o
куца	k ǔː t s a
крње	k řː ɲ e
лако	l â k o
лане	l â n e
лаос	l â o s
лађа	l âː d ʑ a
леле	l ê l e
лети	l ê t i
лето	l ê t o
лено	l êː n o
лепо	l êː p o
леви	l êː ʋ iː
лифт	l î f t
лима	l î m a
линч	l î n t ʃ
липа	l î p a
лиса	l î s a
лити	l î t i
лира	l îː r a
лист	l îː s t
лоби	l ô b i
лођа	l ô d͡ʑ a
лорд	l ô r d
луда	l û d a
луфт	l û f t
лудо	l ûː d o
луес	l ǔ e s
лаик	l ǎ i k
лула	l ǔ l a
леут	l ě u t
леђа	l ěː d ʑ a
леја	l ěː j a
лија	l ǐː j a
лука	l ǔː k a
лола	l ǒː l a
лема	l ěː m a
лане	l ǎː n e
лице	l ǐː t s e
леха	l ěː x a
лига	l ǐː ɡ a
лова	l ǒː ʋ a
млад	m l âː d
млак	m l âː k
млат	m l âː t
млеч	m l êː t ʃ
млин	m l î n
мном	m n ôː m
мраз	m r â z
мрак	m r âː k
мрва	m r̂ ʋ a
мрља	m r̂ ʎ a
мало	m â l o
мама	m â m a
мана	m â n a
мапа	m â p a
марс	m â r s
март	m â r t
марш	m â r ʃ
мати	m â t i
маћи	m â t ɕ i
мали	m âː l i
маст	m âː s t
међу	m ê d ʑ u
мека	m ê k a
мене	m ê n e
мени	m ê n i
мера	m ê r a
месо	m êː s o
мило	m î l o
мимо	m î m o
мити	m î t i
миља	m îː ʎ a
мора	m ô r a
морж	m ô r ʒ
моћи	m ô t ɕ i
мошт	m ô ʃ t
мора	m ôː r a
море	m ôː r e
мост	m ôː s t
мука	m û k a
мула	m û l a
муло	m ûː l o
међа	m ě d ʑ a
мени	m ě n iː
муха	m ǔ x a
меза	m ě z a
мезе	m ě z e
мува	m ǔ ʋ a
мода	m ǒː d a
мудо	m ǔː d o
мука	m ǔː k a
мана	m ǎː n a
мена	m ěː n a
мора	m ǒː r a
мета	m ěː t a
маца	m ǎː t s a
муза	m ǔː z a
муња	m ǔː ɲ a
нама	n â m a
нард	n â r d
неки	n ê k iː
неко	n ê k o
неко	n ê k oː
нега	n ê ɡ a
него	n ê ɡ o
немо	n êː m o
неће	n êː t͡ɕ eː
нико	n î k o
нити	n î t i
ноћу	n ô t ɕ u
нова	n ôː ʋ a
нула	n û l a
неон	n ě oː n
неук	n ě u k
наум	n ǎ u m
ниво	n ǐ ʋ oː
нада	n ǎː d a
ника	n ǐː k a
нана	n ǎː n a
несу	n ěː s u
нису	n ǐː s u
наћи	n ǎː t ɕ i
неће	n ěː t͡ɕ eː
нећу	n ěː t͡ɕ u
обоа	o b ǒ a
осењ	o s e ɲ
перу	p e r u
пјев	p j êː ʋ
плач	p l â t ʃ
план	p l âː n
плах	p l âː x
плен	p l êː n
плес	p l êː s
плиш	p l î ʃ
плин	p l îː n
плод	p l ôː d
плуг	p l û ɡ
прам	p r â m
прав	p r â ʋ
праг	p r â ɡ
прам	p r âː m
прах	p r âː x
пред	p r ê d
прес	p r ê s
прус	p r û s
прут	p r ûː t
прса	p r̂ s a
прси	p r̂ s i
прст	p r̂ s t
први	p r̂ː v iː
прга	p r̩̂ ɡ a
псић	p s î t ɕ
птић	p t î t ɕ
паор	p â o r
пара	p â r a
парк	p â r k
паук	p â uː k
паун	p â uː n
паша	p â ʃ a
пали	p âː l i
папа	p âː p a
пека	p ê k a
пећи	p ê t ɕ i
пест	p êː s t
пиле	p î l e
пити	p î t i
пица	p î t s a
пиво	p îː ʋ o
пола	p ô l a
поље	p ô ʎ e
пост	p ôː s t
поћи	p ôː t ɕ i
пума	p û m a
пуно	p û n o
пунч	p û n t ʃ
пуса	p û s a
пута	p û t a
путо	p û t o
пуце	p û t s e
пући	p û t ɕ i
пуст	p ûː s t
пара	p ǎ r a
перо	p ě r o
први	p ř v iː
пудл	p ǔː d l
пила	p ǐː l a
пола	p ǒː l a
пула	p ǔː l a
пора	p ǒː r a
пета	p ěː t a
пута	p ǔː t aː
пица	p ǐː t s a
пиће	p ǐː t ɕ e
прга	p ř̩ː ɡ a
реса	r eː s a
ради	r â d i
радо	r â d o
рајц	r â j t͡s
рало	r â l o
рана	r â n a
рани	r â n i
рано	r â n o
раса	r â s a
рага	r â ɡ a
раст	r âː s t
рећи	r ê t ɕ i
риба	r î b a
рило	r î l o
роба	r ô b a
рупа	r û p a
рухо	r û x o
руља	r û ʎ a
руна	r ûː n a
роса	r ǒ s a
решо	r ě ʃ oː
рода	r ǒː d a
руда	r ǔː d a
руде	r ǔː d e
раја	r ǎː j a
река	r ěː k a
рука	r ǔː k a
рима	r ǐː m a
рата	r ǎː t a
риза	r ǐː z a
ртањ	r̂ t a ɲ
ршум	r̂ ʃ u m
сјај	s j âː j
скрб	s k r̂ː b
скат	s k â t
скок	s k ô k
скот	s k ô t
скоч	s k ô t ʃ
скуп	s k û p
скуп	s k ûː p
скут	s k ûː t
слаб	s l â b
слад	s l âː d
слак	s l âː k
слан	s l âː n
слап	s l âː p
слеђ	s l ê d ʑ
слеп	s l êː p
слив	s l îː ʋ
слом	s l ô m
слон	s l ô n
слој	s l ôː j
слух	s l ûː x
смеђ	s m ê d ʑ
смог	s m ô ɡ
смео	s m ě o
смио	s m ǐ o
снен	s n ê n
сноб	s n ô b
сноп	s n ô p
спас	s p âː s
спев	s p êː ʋ
спис	s p î s
спор	s p ô r
спој	s p ôː j
спол	s p ôː l
срам	s r âː m
сред	s r ê d
срце	s r̩̂ t͡s e
стрм	s t r̂ m
стрн	s t r̩̂ː n
стар	s t â r
став	s t â ʋ
стан	s t âː n
стаж	s t âː ʒ
стил	s t î l
стих	s t î x
стид	s t îː d
стог	s t ôː ɡ
стуб	s t ûː b
ступ	s t ûː p
сада	s â d a
сафт	s â f t
сала	s â l a
сало	s â l o
само	s â m o
сања	s â ɲ a
саћи	s âː t͡ɕ i
сава	s âː ʋ a
сага	s âː ɡ a
себе	s ê b e
себи	s ê b i
секс	s ê k s
семе	s ê m e
сена	s ê n a
сенф	s ê n f
сета	s ê t a
сећи	s ê t ɕ i
сено	s êː n o
сила	s î l a
симо	s î m o
сипа	s î p a
сито	s î t o
сићи	s îː t ɕ i
сињи	s îː ɲ iː
соко	s ô k o
сума	s û m a
супа	s û p a
суши	s û ʃ i
суша	s ûː ʃ a
суђе	s ǔ d ʑ e
суез	s ǔ e z
сокл	s ǒ k l
сако	s ǎ k oː
сала	s ǎ l a
село	s ě l o
саће	s ǎ t͡ɕ e
соха	s ǒ x a
свак	s ʋ â k
свак	s ʋ âː k
свеж	s ʋ ê ʒ
свет	s ʋ êː t
свиб	s ʋ îː b
свод	s ʋ ô d
свуд	s ʋ û d
сиже	s ǐ ʒ eː
сеја	s ěː j a
соја	s ǒː j a
сека	s ěː k a
сала	s ǎː l a
село	s ěː l o
сава	s ǎː ʋ a
трач	t r â t ʃ
траг	t r âː ɡ
треф	t r ê f
треш	t r ê ʃ
трем	t r êː m
трик	t r î k
тром	t r ô m
трол	t r ôː l
труо	t r û o
трун	t r ûː n
трут	t r ûː t
трст	t r̂ s t
трти	t r̂ t i
трње	t r̂ː ɲ e
црта	t s r̂ t a
цент	t s ê n t
цинк	t s î n k
цура	t s û r a
цака	t s ǎː k a
цена	t s ěː n a
такт	t â k t
тамо	t â m o
тане	t â n e
тата	t â t a
таћи	t â t ɕ i
ташт	t â ʃ t
тебе	t ê b e
теби	t ê b i
теме	t ê m e
тенк	t ê n k
тест	t ê s t
тећи	t ê t ɕ i
тихо	t î x o
тона	t ô n a
тука	t û k a
туча	t û t ʃ a
тупо	t ûː p o
туст	t ûː s t
тући	t ûː t ɕ i
тада	t ǎ d aː
туда	t ǔ d aː
тако	t ǎ k oː
теле	t ě l e
тели	t ě l i
члан	t ʃ l âː n
чмар	t ʃ m âː r
тврд	t ʋ r̂ː d
титл	t ǐ t l
туце	t ǔ t s e
ћаћа	t ɕ â t ɕ a
чауш	t ʃ â uː ʃ
чаша	t ʃ â ʃ a
твар	t ʋ âː r
част	t ʃ âː s t
ћебе	t ɕ ê b e
ћела	t ɕ ê l a
чета	t ʃ ê t a
чест	t ʃ êː s t
чиле	t ʃ î l e
чист	t ʃ î s t
твој	t ʋ ôː j
твор	t ʋ ôː r
чудо	t ʃ û d o
чути	t ʃ û t i
чији	t ʃ ǐ j iː
чело	t ʃ ě l o
чему	t ʃ ě m u
чено	t ʃ ě n o
чвор	t ʃ ʋ ôː r
чега	t ʃ ě ɡ a
ћаба	t ɕ ǎː b a
чуло	t ʃ ǔː l o
чиме	t ʃ ǐː m e
тека	t ěː k a
тама	t ǎː m a
тема	t ěː m a
теза	t ěː z a
тазе	t ǎː z e
тава	t ǎː ʋ a
тога	t ǒː ɡ a
туга	t ǔː ɡ a
црћи	t͡s r̂ t͡ɕ i
цича	t͡s î t͡ʃ a
цокл	t͡s ǒ k l
цват	t͡s ʋ âː t
чарн	t͡ʃ a r n
чрез	t͡ʃ r ê z
чађа	t͡ʃ â d͡ʑ a
ћоза	t͡ɕ ô z a
чука	t͡ʃ û k a
ћеиф	t͡ɕ ě i f
чоха	t͡ʃ ǒ x a
чама	t͡ʃ ǎː m a
хлад	x l âː d
хлеб	x l ê b
хмељ	x m ê ʎ
храм	x r âː m
хрен	x r ê n
хрид	x r îː d
хром	x r ô m
хаос	x â o s
херц	x ê r t͡s
хипи	x î p i
хоби	x ô b i
хоџа	x ô d ʒ a
хуља	x û ʎ a
хрпа	x ř p a
хвар	x ʋ âː r
хљеб	x ʎ ê b
збир	z b îː r
збор	z b ô r
због	z b ô ɡ
змај	z m â j
знак	z n âː k
знан	z n âː n
зној	z n ôː j
зрак	z r âː k
зрео	z r ê o
зрно	z r̂ n o
зрње	z r̂ː ɲ e
запт	z â p t
зарф	z â r f
заћи	z âː t ɕ i
зена	z ê n a
зеље	z êː ʎ e
зими	z îː m i
зора	z ǒ r a
зато	z ǎ t oː
звек	z ʋ êː k
звон	z ʋ ô n
звук	z ʋ ûː k
зове	z ǒ ʋ e
зову	z ǒ ʋ u
зеба	z ěː b a
зуба	z ǔː b aː
зеко	z ěː k o
зима	z ǐː m a
зова	z ǒː ʋ a
зове	z ǒː ʋ e
зову	z ǒː ʋ u
алфа	â l f a
амер	â m e r
атар	â t aː r
ахат	â x aː t
аден	âː d e n
алка	âː l k a
анде	âː n d e
анка	âː n k a
иако	î a k o
икад	î k a d
икра	î k r a
икуа	î k u d
имун	î m uː n
иоле	î o l e
ипак	î p aː k
исти	î s t iː
итко	î t k o
игда	î ɡ d a
игде	î ɡ d e
ишта	î ʃ t a
обао	ô b a o
обад	ô b aː d
обје	ô b j e
одан	ô d aː n
олак	ô l a k
олош	ô l o ʃ
омск	ô m s k
онда	ô n d aː
опак	ô p aː k
опет	ô p eː t
опор	ô p o r
опћи	ô p t ɕ iː
осам	ô s a m
осао	ô s a o
осим	ô s iː m
оток	ô t oː k
очај	ô t͡ʃ aː j
охол	ô x o l
огар	ô ɡ a r
убог	û b o ɡ
удар	û d aː r
удат	û d aː t
ујак	û j aː k
умак	û m aː k
учен	û t ʃ e n
узак	û z a k
узет	û z eː t
угао	û ɡ a o
угаљ	û ɡ a ʎ
ужас	û ʒ aː s
уман	ûː m a n
умно	ûː m n o
ушће	ûː ʃ t ɕ e
абак	ǎ b a k
абер	ǎ b e r
жбир	ʒ b îː r
жбун	ʒ b ûː n
адам	ǎ d a m
одел	ǒ d e l
адио	ǎ d i o
идол	ǐ d oː l
адут	ǎ d uː t
оџак	ǒ d͡ʒ a k
афел	ǎ f e l
ајде	ǎ j d e
ајме	ǎ j m e
ајмо	ǎ j m o
окно	ǒ k n o
окот	ǒ k o t
аков	ǎ k o ʋ
оков	ǒ k o ʋ
шкрт	ʃ k r̂ t
окуп	ǒ k u p
укус	ǔ k u s
шкаф	ʃ k â f
шкиц	ʃ k î t͡s
шкот	ʃ k ô t
улаз	ǔ l a z
глас	ɡ l aː s
алат	ǎ l aː t
алем	ǎ l e m
олиб	ǒ l i b
илир	ǐ l iː r
олук	ǒ l u k
влах	ʋ l â x
глад	ɡ l âː d
влак	ʋ l âː k
влас	ʋ l âː s
влат	ʋ l âː t
шлаг	ʃ l âː ɡ
шлем	ʃ l ê m
шлеп	ʃ l ê p
жлеб	ʒ l êː b
шлиф	ʃ l î f
шлиц	ʃ l î t͡s
глиб	ɡ l îː b
глог	ɡ l ô ɡ
шлук	ʃ l û k
шлус	ʃ l û s
глуп	ɡ l ûː p
глух	ɡ l ûː x
глув	ɡ l ûː ʋ
оман	ǒ m a n
аман	ǎ m aː n
омиш	ǒ m iː ʃ
омот	ǒ m o t
шмрк	ʃ m r̂ː k
гмаз	ɡ m âː z
шмир	ʃ m îː r
шмук	ʃ m û k
шмуц	ʃ m û t͡s
инат	ǐ n aː t
анис	ǎ n i s
онуд	ǒ n u d
унук	ǔ n u k
шнит	ʃ n î t
гној	ɡ n ôː j
шнур	ʃ n ûː r
уочи	ǔ o t ʃ i
упад	ǔ p a d
опат	ǒ p a t
апел	ǎ p e l
опип	ǒ p i p
опис	ǒ p i s
упит	ǔ p i t
епир	ě p iː r
опна	ǒ p n a
шпек	ʃ p ê k
шпил	ʃ p î l
