а	ɑ
авіаракетобудування	ɐ u̯ʲ i ɐ r ɐ k e t ɔ b ʊ d ʊ u̯ ɑ nʲː ɐ
авіарейд	ɐ u̯ʲ i ɐ r ɛ i̯ d
авіарейс	ɐ u̯ʲ i ɐ r ɛ i̯ s
авіарозвідка	ɐ u̯ʲ i ɐ r ɔ zʲ ʋʲ i d k ɐ
авіарозвідування	ɐ u̯ʲ i ɐ r ɔ zʲ ʋʲ i d ʊ u̯ ɐ nʲː ɐ
авіасалон	ɐ u̯ʲ i ɐ s ɐ l ɔ n
авіасекстант	ɐ u̯ʲ i ɐ s e k s t ɑ n t
авіасервіс	ɐ u̯ʲ i ɐ s ɛ r ʋʲ i s
авіасполучення	ɐ u̯ʲ i ɐ s p o l u t͡ʃ e nʲː ɐ
авіаспорт	ɐ u̯ʲ i ɐ s p ɔ r t
авіатехнік	ɐ u̯ʲ i ɐ t ɛ x nʲ i k
авіатехніка	ɐ u̯ʲ i ɐ t ɛ x nʲ i k ɐ
авіатика	ɐ u̯ʲ i ɑ t e k ɐ
авіатор	ɐ u̯ʲ i ɑ t ɔ r
авіаторпеда	ɐ u̯ʲ i ɐ t ɔ r p ɛ d ɐ
авіатравма	ɐ u̯ʲ i ɐ t r ɑ u̯ m ɐ
авіатранспорт	ɐ u̯ʲ i ɐ t r ɑ n s p ɔ r t
авіатраса	ɐ u̯ʲ i ɐ t r ɑ s ɐ
авіаудар	ɐ u̯ʲ i ɐ ʊ d ɑ r
авіаучилище	ɐ u̯ʲ i ɐ ʊ t͡ʃ ɪ l e ʃ t͡ʃ e
авіафауна	ɐ u̯ʲ i ɐ f ɑ ʊ n ɐ
авіафахівець	ɐ u̯ʲ i ɐ f ɐ xʲ i u̯ ɛ t͡sʲ
авіахім	ɐ u̯ʲ i ɐ xʲ i m
авіахімовець	ɐ u̯ʲ i ɐ xʲ i m ɔ u̯ e t͡sʲ
авіаційник	ɐ u̯ʲ i ɐ t͡sʲ i i̯ n e k
авіація	ɐ u̯ʲ i ɑ t͡sʲ i j ɐ
авіачастина	ɐ u̯ʲ i ɐ t͡ʃ ɐ s t ɪ n ɐ
авіашкола	ɐ u̯ʲ i ɐ ʃ k ɔ l ɐ
авіашоу	ɐ u̯ʲ i ɐ ʃ ɔ ʊ
авіз	ɐ u̯ʲ i z
авізо	ɐ u̯ʲ i z ɔ
авізування	ɐ u̯ʲ i z ʊ u̯ ɑ nʲː ɐ
авіста	ɐ u̯ʲ i s t ɐ
авітаміноз	ɐ u̯ʲ i t ɐ mʲ i n ɔ z
авіфауна	ɐ u̯ʲ i f ɑ ʊ n ɐ
авієтка	ɐ u̯ʲ i j ɛ t k ɐ
агава	ɐ ɦ ɑ u̯ ɐ
ад'ютант	ɐ d j ʊ t ɑ n t
адміністрація	ɐ dʲ mʲ i nʲ i s t r ɑ t͡sʲ i j ɐ
аеродром	ɐ e r ɔ d r ɔ m
аероліт	ɐ e r o lʲ i t
аеропорт	ɐ e r ɔ p ɔ r t
азбука	ɑ z b ʊ k ɐ
академія	ɐ k ɐ d ɛ mʲ i j ɐ
акація	ɐ k ɑ t͡sʲ i j ɐ
акваріум	ɐ k ʋ ɑ rʲ i ʊ m
акт	ɑ k t
акула	ɐ k u l ɐ
акція	ɑ k t͡sʲ i j ɐ
але	ɐ l ɛ
алфавіт	ɐ l f ɐ u̯ʲ i t
алфавіт	ɐ l f ɑ u̯ʲ i t
альбатрос	ɐ lʲ b ɐ t r ɔ s
альфабет	ɐ lʲ f ɐ b ɛ t
америка	ɐ m ɛ r e k ɐ
американець	ɐ m e r e k ɑ n e t͡sʲ
американка	ɐ m e r e k ɑ n k ɐ
американський	ɐ m e r e k ɑ nʲ sʲ k e i̯
американізація	ɐ m e r e k ɐ nʲ i z ɑ t͡sʲ i j ɐ
американізм	ɐ m e r e k ɐ nʲ i z m
аналіз	ɐ n ɑ lʲ i z
анастасія	ɐ n ɐ s t ɑ sʲ i j ɐ
ангеліна	ɐ n ɦ e lʲ i n ɐ
англійка	ɐ n ɦ lʲ i i̯ k ɐ
англійський	ɐ n ɦ lʲ i i̯ sʲ k e i̯
англіканство	ɐ n ɦ lʲ i k ɑ n s t w ɔ
англіцизм	ɐ n ɦ lʲ i t͡s ɪ z m
англія	ɑ n ɦ lʲ i j ɐ
англієць	ɐ n ɦ lʲ i j e t͡sʲ
анекдот	ɐ n e ɡ d ɔ t
анна	ɑ nː ɐ
антарктичний	ɐ n t ɐ r k t ɪ t͡ʃ n e i̯
апостроф	ɐ p ɔ s t r ɔ f
арктичний	ɐ r k t ɪ t͡ʃ n e i̯
армія	ɑ r mʲ i j ɐ
арфа	ɑ r f ɐ
арфуш	ɐ r f u ʃ
арфіст	ɐ r fʲ i s t
арфістка	ɐ r fʲ i s t k ɐ
архаїзація	ɐ r x ɐ j i z ɑ t͡sʲ i j ɐ
архаїзм	ɐ r x ɐ j i z m
архонт	ɐ r x ɔ n t
асимптота	ɐ s e m p t ɔ t ɐ
асиміляція	ɐ s e mʲ i lʲ ɑ t͡sʲ i j ɐ
асистент	ɐ s e s t ɛ n t
асистентка	ɐ s e s t ɛ n t k ɐ
аскет	ɐ s k ɛ t
аскетизм	ɐ s k e t ɪ z m
асоціація	ɐ s ɔ t͡sʲ i ɑ t͡sʲ i j ɐ
асія	ɐ sʲ i j ɐ
атлантичний	ɐ t l ɐ n t ɪ t͡ʃ n e i̯
аґрус	ɑ ɡ r ʊ s
аґрусівка	ɐ ɡ r ʊ sʲ i u̯ k ɐ
бабка	b ɑ b k ɐ
бабуся	b ɐ b u sʲ ɐ
багато	b ɐ ɦ ɑ t ɔ
багатоповерховий	b ɐ ɦ ɐ t ɔ p ɔ u̯ e r x ɔ u̯ e i̯
багряний	b ɐ ɦ rʲ ɐ n e i̯
бажання	b ɐ ʒ ɑ nʲː ɐ
база	b ɑ z ɐ
байт	b ɑ i̯ t
баклажан	b ɐ k l ɐ ʒ ɑ n
балкон	b ɐ l k ɔ n
банк	b ɑ n k
банкнота	b ɐ n k n ɔ t ɐ
баня	b ɑ nʲ ɐ
баран	b ɐ r ɑ n
барва	b ɑ r ʋ ɐ
баскетбол	b ɐ s k e d b ɔ l
батько	b ɑ tʲ k ɔ
батьківщина	b ɑ tʲ kʲ i u̯ ʃ t͡ʃ e n ɐ
батьківщина	b ɑ tʲ kʲ i u̯ ʃ t͡ʃ ɪ n ɐ
батяр	b ɑ tʲ ɐ r
бачити	b ɑ t͡ʃ e t e
бджілка	b d͡ʒʲ i l k ɐ
бджільництво	b d͡ʒʲ i lʲ n ɪ t͡s t w ɔ
безглуздий	b e z ɦ l u z d e i̯
безглуздість	b e z ɦ l u zʲ dʲ i sʲ tʲ
безпека	b e z p ɛ k ɐ
береза	b e r ɛ z ɐ
березень	b ɛ r e z e nʲ
березовий	b e r ɛ z ɔ u̯ e i̯
бересклет	b e r e s k l ɛ t
бик	b ɪ k
битв	b ɪ t ʋ
битва	b ɪ t ʋ ɐ
битвам	b ɪ t ʋ ɐ m
битвами	b ɪ t ʋ ɐ m e
битвах	b ɪ t ʋ ɐ x
битви	b ɪ t ʋ e
битво	b ɪ t w ɔ
битвою	b ɪ t w ɔ j ʊ
битву	b ɪ t w ʊ
битві	b ɪ tʲ ʋʲ i
блакитний	b l ɐ k ɪ t n e i̯
блакить	b l ɐ k ɪ tʲ
блювотний	b lʲ ʊ u̯ ɔ t n e i̯
бо	b ɔ
бог	b ɔ ɦ
божевільний	b ɔ ʒ e u̯ʲ i lʲ n e i̯
боротьба	b ɔ r ɔ dʲ b ɑ
борошно	b ɔ r ɔ ʃ n ɔ
борщ	b ɔ r ʃ t͡ʃ
босий	b ɔ s ɪ j
босоногий	b ɔ s ɔ n ɔ ɦ e i̯
брат	b r ɑ t
брати	b r ɐ t ɪ
брати	b r ɑ t e
братислава	b r ɐ t e s l ɑ u̯ ɐ
брехати	b r e x ɑ t e
бридкий	b r e d k ɪ i̯
брусниця	b r ʊ s n ɪ t͡sʲ ɐ
бубна	b u b n ɐ
бугай	b ʊ ɦ ɑ i̯
будда	b u dː ɐ
будинок	b ʊ d ɪ n ɔ k
будяк	b ʊ dʲ ɑ k
будівництво	b ʊ dʲ i u̯ n ɪ t͡s t w ɔ
бузина	b ʊ z e n ɑ
бузок	b ʊ z ɔ k
буква	b u k ʋ ɐ
була	b ʊ l ɑ
бульба	b u lʲ b ɐ
бур'ян	b ʊ r j ɑ n
буряк	b ʊ rʲ ɑ k
бути	b u t e
бюджет	bʲ ʊ d͡ʒ ɛ t
бюро	bʲ ʊ r ɔ
бібліоманія	bʲ i b lʲ i ɔ m ɑ nʲ i j ɐ
бібліотека	bʲ i b lʲ i ɔ t ɛ k ɐ
бібліотекар	bʲ i b lʲ i ɔ t ɛ k ɐ r
бібліотекарка	bʲ i b lʲ i ɔ t ɛ k ɐ r k ɐ
бібліофіл	bʲ i b lʲ i o fʲ i l
біблія	bʲ i b lʲ i j ɐ
біда	bʲ i d ɑ
бізнес	bʲ i z n e s
бік	bʲ i k
білий	bʲ i l e i̯
білка	bʲ i l k ɐ
білорусь	bʲ i l o r u sʲ
біль	bʲ i lʲ
більшість	bʲ i lʲ ʃʲ i sʲ tʲ
біологія	bʲ i ɔ l ɔ ɦʲ i j ɐ
біомаса	bʲ i ɔ m ɑ s ɐ
біоматеріал	bʲ i ɔ m ɐ t e rʲ i ɑ l
біомедицина	bʲ i ɔ m e d e t͡s ɪ n ɐ
біометрія	bʲ i ɔ m ɛ tʲ rʲ i j ɐ
