abad	ɑː b a t
kelennerien	k e l ɛ n eː ʁ j ɛ̃ n
kell	k ɛ lː
kembre	k ɛ̃ m b ʁ e
kemener	k e m ẽː n ɛ r
kenavo	k e n a v oː
kengred	k ɛ n ɡ r e d
kentañ	k ɛ̃ n t ɑ̃
kentel	k ɛ̃ n t ɛ l
kerdin	k ɛ ʁ d i n
kerent	k eː ʁ ɛ̃ n t
kernevad	k ɛ ʁ n eː v a t
kernevadez	k ɛ ʁ n e v aː d e s
kernevadezed	k ɛ ʁ n e v a d eː z e t
kerneviz	k ɛ ʁ n eː v i s
kerzu	k ɛ ʁ z y
ket	k e
ket	k e d
kilheien	k i l e j ɛ̃ n
kilhog	k i l j o k
killi	k iː l i
kinnig	k ĩ n i k
klujar	k l yː ʒ a r
koad	k w ɑː t
kof	k o fː
kofoù	k o fː u
kon	k ɔ̃ː n
konikleta	k ɔ̃ n i k l e tː a
kontell	k ɔ̃ n t ɛ l
kordenn	k ɔ r d ɛ n
koumoul	k u m u l
koumoulenn	k u m u l ɛ̃ n
kousket	k u s k ɛ t
kozh	k oː s
koñje	k ɔ̃ː ʒ e
krampouezh	k ʁ ã m p w e s
krampouezher	k ʁ ã m p w eː z ɛ ʁ
kraoñ	k ʁ ɔ̃
kristen	k r i s t ɛ n
kroc'hen	k ʁ oː χ ɛ n
krouiñ	k ʁ u ɪ̃
kudenn	k yː d ɛ n
kuzul	k y z y l
kuzulioù	k y z y l j ɔ ʊ
kêr	k e ʁ
laezh	l ɛː s
lagad	l a ɡ a t
lakaat	l a k a t
laou	l ɔ w
laouen	l ɔ wː ɛ n
lapin	l a p ɪ n
legestr	l eː ɡ ɛ s t r
leon	l e w n
leonad	l ẽ w n a t
leonadez	l ẽ w n aː d e s
leonadezed	l ẽ w n a d eː z e t
leoneg	l ẽ w n e k
leonek	l ẽ w n e k
leoniz	l ẽ w n i s
lern	l ɛ ʁ n
lestr	l ɛ s t
lestr	l ɛ s t ʁ
lestrañ	l ɛ s t r ã
leue	l ø e
leueoù	l ø e ɔ ʊ
leztad	l e s t a t
lezvab	l e z v a p
lezvamm	l e z v ã m
lezverc'h	l e z v ɛ ʁ χ
ligistri	l i ɡ i s t r i
lizherenn	l i z e ʁ ɛ̃ n
loen	l o ɛ̃ n
loened	l o e n ɛ t
logod	l o ɡ o t
louarn	l uː a ʁ n
ludu	l yː d y
lun	l ỹ n
mamm	m ã mː
mammoù	m ã mː u
manav	m ɑ̃ n a w
maout	m ɔ w t
marc'h	m a ʁ χ
marc'had	m a r χ a d
markiz	m a ʁ k i s
martolod	m a ʁ t o l o t
mat	m aː d
mel	m ɛ l
merc'her	m ɛ ʁ χ ɛ ʁ
merc'hodenn	m ɛ r ɣ oː d ɛ n
merc'hodenned	m ɛ r ɣ o d ɛː n ɛ t
merenn	m eː ʁ ɛ̃ n
merennoù	m e ʁ ɛ n ɔ ʊ
met	m ɛ d
meud	m øː t
meur	m ø ʁ
meurzh	m ø ʁ s
mez	m eː s
mezenn	m eː z ɛ n
mezheven	m e z e v ɛ̃ n
mezv	m ɛ z w
mezventi	m ɛ z v ẽ n t i
mil	m iː l
moan	m w ãː n
moc'h	m oː χ
moereb	m w eː r e p
moerebed	m w e r eː b e t
mont	m ɔ̃ n t
montr	m ɔ̃ n t ʁ
montroù	m ɔ̃ n t ʁ ɔ ʊ
mor	m oː ʁ
morioù	m oː ʁ j ɔ ʊ
naer	n a ɛ r
naer	n ɛː r
naered	n a ɛ r e t
naered	n ɛː r e t
nann	n ã n
nerzh	n ɛ ʁ s
nevez	n e v e
neñv	n ɛ̃
neñv	n ɛ̃ w
neñvoù	n ɛ̃ v ɔ ʊ
niver	n iː v ɛ r
noz	n oː s
oabl	o a b l
oabloù	o a b l ɔ ʊ
okitan	o k i tː ã n
okitaneg	o k i t ãː n e k
okitaneger	o k i t ã n eː ɡ ɛ r
okitania	o k i t ãː n j a
out	u t
paotr	p ɔː t ʁ
pariz	p ɑː r i s
parizian	p a r i z iː ã n
parizianez	p a r i z j ãː n e s
pater	p a tː ɛ r
paz	p aː s
peder	p e d ɛ ʁ
pelec'h	p e l ɛː x
pellgomz	p ɛ l ɡ ɔ̃ m s
pemoc'h	p e m o x
pemp	p ɛ m p
pemp	p ɛ̃ m p
penn	p ɛ̃ n
perseg	p ɛ ʁ s e k
petra	p e t ʁ a
piv	p i u
piv	p i v
pluñv	p l ỹː
pluñvenn	p l ỹː ɛ n
poultrenn	p u l t ʁ ɛ̃ n
pounner	p u n ɛ ʁ
preden	p ʁ eː d ẽ n
preñv	p ʁ ɛ̃
preñv	p ʁ ɛ̃ w
preñved	p ʁ ɛ̃ v ɛ d
raz	ʁ a
re	ʁ eː
reiñ	r ɛ ĩ
relijion	ʁ e l i ʒ j ɔ̃ n
ribod	r iː b o t
rinkin	r ĩ ŋ k ĩ n
rod	r oː t
rouantelezh	r u ã n t ɛː l ɛ s
roue	r uː e
sac'h	s aː x
sadorn	s a d o ʁ n
santel	s ã n t ɛ l
saout	s a ʊ d
saout	s ɔ w t
saozneg	s a o z n ɛ k
sarpant	s a r p ã n t
sarpanted	s a r p ã n t e t
sañskriteg	s ã s k r i tː e k
sec'h	s ɛː χ
sell	s ɛ l
selloù	s ɛ l ɔ ʊ
setu	s e t y
sizhun	s i z ỹ n
skeudenn	s k ø d ɛ̃ n
skeudennoù	s k ø d ɛ n ɔ ʊ
skol	s k ɔː l
skolioù	s k o l j u
skouarn	s k w a ʁ n
skuizh	s k y i s
soudard	s uː d a r t
soudarded	s u d a r d e t
soudardez	s u d a r d e s
soudardezed	s u d a r d eː z e t
spered	s p e ʁ ɛ d
speredek	s p e r eː d e k
speredoù	s p e ʁ e d ɔ ʊ
stad	s t a d
stadoù	s t a d ɔ ʊ
startijenn	s t a r t iː ʒ ɛ n
ster	s t eː r
stered	s t e ʁ ɛ d
steredenn	s t e ʁ e d ɛ̃ n
sterioù	s t ɛ r j u
strizh	s t r iː s
studi	s t y d i
studiañ	s t y d iː ã
studioù	s t y d j ɔ ʊ
stêr	s t ɛː r
sul	s y l
tad	t ɑː t
tadoù	t ɑː d u
tan	t ɑ̃ː n
tanet	t ãː n e t
taol	t o l
teir	t e i ʁ
teod	t ɛ w t
tev	t e w
tiern	t iː ɛ ʁ n
tor	t oː r
torioù	t ɔ r j u
toroù	t oː r u
traezh	t ʁ ɛ s
traezhenn	t ʁ ɛ z ɛ n
tred	t ʁ eː t
treger	t r eː ɡ ə r
tregeriad	t r e ɡ e r j a t
tregerieg	t r e ɡ e r j e k
tridi	t ʁ iː d i
trugarez	t ʁ y ɡ a ʁ e
tud	t yː d
uhel	y ɛ l
unan	ỹː n ã n
warc'hoazh	w a ʁ χ o a s
yaou	j a ʊ
yec'hed	j eː ɣ ɛ t
yer	j eː ʁ
yezh	j eː s
