అ	a
బల్ల	b a lː a
బాబా	b aː b aː
బాజా	b aː d ʒ aː
బాకు	b aː k u
బావి	b aː ʋ i
భరణి	b ʱ a r̪ a ɳ i
భువి	b ʱ u ʋ i
భూమి	b ʱ uː m i
దబ్బ	d a bː a
దారి	d aː r i
దాడి	d aː ɖ i
దీవి	d iː ʋ i
జాతి	d ʒ aː t i
ధరణి	d̪ ʱ a r a ɳ i
జారు	d͡ʒ aː r u
కక్క	k a kː a
కల్ల	k a l̪ː a
కప్ప	k a pː a
కర్ర	k a rː a
కాలు	k aː l u
కాటా	k aː ʈ aː
కాడి	k aː ɖ i
కోయు	k oː j u
కుడి	k u ɖ i
కూడు	k uː ɖ u
లక్ష	l a k ʂ a
లక్క	l a kː a
మనది	m a n a d i
మాది	m aː d i
మెలి	m e l̪ i
మినప	m i n̪ a p a
మునగ	m u n̪ a ɡ a
మూతి	m uː t i
మూడు	m uː ɖ u
నక్క	n a kː a
నత్త	n a tː a
నాభి	n aː b ʱ i
నాది	n aː d i
నారి	n aː r i
నాతి	n aː t i
నాగు	n aː ɡ u
నేడు	n eː ɖ u
నీది	n iː d i
నీతి	n iː t i
నోరు	n oː r u
నుడి	n u ɖ i
నూగు	n uː ɡ u
ఒకటి	o k a ʈ i
పక్క	p a kː a
పప్ప	p a pː a
పడ్డ	p a ɖː a
పాకు	p aː k u
పాలు	p aː l u
పాము	p aː m u
పాణి	p aː ɳ i
పులి	p u l̪ i
పూకు	p uː k u
రమణి	r a m a ɳ i
రాజు	r aː d ʒ u
రేకు	r eː k u
రీతి	r iː t i
రోజు	r oː d ʒ u
సిరా	s i r aː
సుతి	s u t i
సుడి	s u ɖ i
సాగు	s̪ aː ɡ u
తట్ట	t a ʈː a
తేలు	t eː l u
తిరు	t i r u
తొలి	t o l̪ i
తాకు	t̪ aː k u
చేయు	t͡ʃ e jː u
ఉత్త	u tː a
వాలి	v aː l̪ i
వెలి	v e l̪ i
గద్ద	ɡ a d̪ː a
వైరి	ʋ a j r i
గడ్డ	ɡ a ɖː a
గాతి	ɡ aː t i
వాణి	ʋ aː ɳ i
వాగు	ʋ aː ɡ u
వెలగ	ʋ e l̪ a ɡ a
వేరు	ʋ eː r u
విలు	ʋ i l u
విరి	ʋ i r i
గీతి	ɡ iː t i
శ్రీ	ɕ r iː
శుచి	ɕ u t ʃ i
గుడి	ɡ u ɖ i
గూడు	ɡ uː ɖ u
అల్లు	a lː u
అన్ను	a n̪ː u
అప్పు	a pː u
అత్రి	a t r i
అట్టు	a ʈː u
అడ్డు	a ɖː u
ఆమెది	aː m e d i
ఆర్పు	aː r p u
ఆవాలు	aː ʋ aː l̪ u
బల్లి	b a lː i
బస్సు	b a sː u
బెడ్డ	b e ɖː a
బిడ్డ	b i ɖː a
బొక్క	b o kː a
బుర్ర	b u rː a
బుడ్డ	b u ɖː a
దగ్గు	d a ɡː u
దెబ్బ	d e bː a
దొడ్డ	d o ɖː a
దక్కు	d̪ a kː u
దొప్ప	d̪ o pː a
జల్లు	d͡ʒ a lː u
ఎన్ను	e n̪ː u
ఎగ్గు	e ɡː u
ఇల్లు	i lː u
యొక్క	j o kː a
కక్కు	k a kː u
కల్లు	k a lː u
కన్ను	k a n̪ː u
కప్పు	k a pː u
కట్టు	k a ʈː u
కారము	k aː r a m u
కొత్త	k o tː a
కుక్క	k u kː a
కుప్ప	k u pː a
లంచము	l a ɳ t ʃ a m u
లెక్క	l e kː a
మన్ను	m a n̪ː u
మడ్డి	m a ɖː i
మెల్ల	m e l̪ː a
మొక్క	m o kː a
మొప్ప	m o pː a
మొడ్డ	m o ɖː a
ముక్క	m u kː a
నవ్వు	n a ʋː u
ఒప్పు	o pː u
ఒగ్గు	o ɡː u
ఒట్టు	o ʈː u
ఒడ్డు	o ɖː u
పన్ను	p a n̪ː u
పప్పు	p a pː u
పత్రి	p a t r i
పట్టు	p a ʈː u
పిక్క	p i kː a
పిల్ల	p i l̪ː a
పిన్న	p i n̪ː a
పిర్ర	p i rː a
పిట్ట	p i ʈː a
పొన్న	p o nː a
పొట్ట	p o ʈː a
పుల్ల	p u l̪ː a
పుడమి	p u ɖ a m i
పుట్ట	p u ʈː a
రెక్క	r e kː a
రెప్ప	r e pː a
రట్టు	r̪ a ʈː u
తగ్గు	t a ɡː u
తవ్వు	t a ʋː u
తెప్ప	t e pː a
తిక్క	t i kː a
తిప్ప	t i pː a
తొక్క	t o kː a
తప్పు	t̪ a pː u
చన్ను	t͡ʃ a n̪ː u
చెత్త	t͡ʃ e tː a
చెడ్డ	t͡ʃ e ɖː a
చిప్ప	t͡ʃ i pː a
చిత్త	t͡ʃ i tː a
చుక్క	t͡ʃ u kː a
చుల్ల	t͡ʃ u lː a
చెంగు	t͡ʃ ẽ ŋ ɡ u
ఉక్కు	u kː u
ఉల్లి	u l̪ː i
ఉగ్గు	u ɡː u
ఊపిరి	uː p i r i
హరిణి	x a r̪ i ɳ i
డప్పు	ɖ a pː u
వచ్చు	ʋ a t ʃː u
గడ్డి	ɡ a ɖː i
గట్టు	ɡ a ʈː u
వెల్ల	ʋ e l̪ː a
గిబ్బ	ɡ i bː a
శిక్ష	ɕ i k ʂ a
గిడ్డ	ɡ i ɖː a
గొప్ప	ɡ o pː a
గుబ్బ	ɡ u bː a
గుద్ద	ɡ u d̪ː a
గుడ్డ	ɡ u ɖː a
అతనిది	a t a n i d i
ఆనకట్ట	aː n a k a ʈː a
బిల్లు	b i lː u
బొట్టు	b o ʈː u
బొడ్డు	b o ɖː u
దినమణి	d i n a m a ɳ i
దొడ్డి	d o ɖː i
దువ్వు	d u ʋː u
ధాత్రి	d ʱ aː t r i
దెప్పు	d̪ e pː u
దిక్కు	d̪ i kː u
దుక్కి	d̪ u kː i
జున్ను	d͡ʒ u n̪ː u
కామాకు	k aː m aː k u
కొక్కు	k o kː u
కొప్పు	k o pː u
కొట్టు	k o ʈː u
కొవ్వు	k o ʋː u
కురుపు	k u r u p u
క్షోణి	k ʂ oː ɳ i
లేఖిని	l eː kʰ i n i
మైత్రి	m a i t r i
మార్పు	m aː r p u
మేనత్త	m eː n a tː a
మిన్ను	m i n̪ː u
మొక్కు	m o kː u
ముల్లు	m u lː u
మున్ను	m u n̪ː u
ముడ్డి	m u ɖː i
ముగ్గు	m u ɡː u
మండలము	m ã ɳ ɖ a l a m u
మంటపము	m ã ɳ ʈ a p a m u
మండపము	m ã ɳ ɖ a p a m u
నెగ్గు	n e ɡː u
నిగుడు	n i ɡ u ɖ u
నిట్టు	n i ʈː u
నొక్కు	n o kː u
నువ్వు	n u ʋː u
నాలుగు	n̪ aː l̪ u ɡ u
నిగ్గు	n̪ i ɡː u
పల్లకి	p a lː a k i
పరీక్ష	p a r iː k ʂ a
పెగ్గు	p e ɡː u
పెట్టు	p e ʈː u
పిన్ను	p i n̪ː u
పిరికి	p i r i k i
ప్రక్క	p r a kː a
పుత్రి	p u t r i
పువ్వు	p u ʋː u
రాత్రి	r aː t r i
రెడ్డి	r e ɖː i
రోహిణి	r oː x i ɳ i
రువ్వు	r u ʋː u
సదస్సు	s a d a sː u
సరస్సు	s a r a sː u
సిగ్గు	s i ɡː u
సొరుగు	s o r u ɡ u
స్తనము	s t a n a m u
సర్పము	s̪ a r̪ p a m u
తెడ్డు	t e ɖː u
తిట్టు	t i ʈː u
తీర్పు	t iː r p u
చాకిరీ	t ʃ aː k i r iː
చిచ్చు	t ʃ i t ʃː u
తాబేలు	t̪ aː b eː l u
తెన్ను	t̪ e n̪ː u
తిప్పు	t̪ i pː u
తుప్పు	t̪ u pː u
తెలుగు	t̪ ɛ l ʊ ɡ ʊ
చారుడు	t͡ʃ aː r u ɖ u
చెక్కు	t͡ʃ e kː u
చెట్టు	t͡ʃ e ʈː u
చిక్కు	t͡ʃ i kː u
చిత్తు	t͡ʃ i tː u
వార్పు	v a aː r p u
వాకిలి	v aː k i l̪ i
హెచ్చు	x e t ʃː u
అంగజాల	ã ŋ ɡ a d͡ʒ aː l a
టాక్సీ	ʈ aː k s iː
విల్లు	ʋ i lː u
గొడ్డు	ɡ o ɖː u
వ్రక్క	ʋ r a kː a
గ్రద్ద	ɡ r̪ a d̪ː a
గుచ్చు	ɡ u t ʃː u
గుట్టు	ɡ u ʈː u
గుడ్డు	ɡ u ɖː u
అబ్బబ్బ	a bː a bː a
అదృశ్యత	a d r ɨ ɕ j a t a
ఆశావాది	aː ɕ aː ʋ aː d i
ధరిత్రి	d ʱ a r i t r i
ధూర్జటి	d̪ ʱ uː r d͡ʒ a ʈ i
కౌమారము	k a u m aː r a m u
కేదారము	k eː d aː r a m u
కీరవాణి	k iː r a ʋ aː ɳ i
క్రొత్త	k r o tː a
మిథునము	m i t̪ʰ u n̪ a m u
పుష్పము	p u ʂ p a m u
రాజ్యము	r aː d ʒ a m u
తేజస్సు	t eː d͡ʒ a sː u
త్రవ్వు	t r a ʋː u
శిరస్సు	ɕ i r a sː u
శ్వేతము	ʃ ʋ eː t a m u
అదృష్టము	a d r ɨ ʂ ʈ a m u
అనుపానము	a n u p aː n a m u
అవనిగడ్డ	a ʋ a n i ɡ a ɖː a
ఆడుబిడ్డ	aː ɖ u b i ɖː a
ఎముకలేని	e m u k a l eː n i
మ్రొక్కు	m r o kː u
ముగ్గురు	m u ɡː u r̪ u
మువ్వురు	m u ʋː u r̪ u
నోరులేని	n oː r u l eː n i
నువ్వులు	n̪ u ʋː u l̪ u
పాలపిట్ట	p aː l a p i ʈː a
పుష్పకము	p u ʂ p a k a m u
రాకుమారి	r aː k u m aː r i
చక్రపాణి	t͡ʃ a k r a p aː ɳ i
చంద్రుడు	t͡ʃ ã n̪ d̪ r u ɖ u
గ్రుడ్డు	ɡ r u ɖː u
దివ్యవాణి	d i ʋ j a ʋ aː ɳ i
జ్యేష్ఠము	d͡ʒ j eː ʂ ʈʰ a m u
కనుగుడ్డు	k a n u - ɡ u ɖː u
చిరునవ్వు	t͡ʃ i r u n a ʋː u
ఊపిరిలేని	uː p i r i l eː n i
శ్రేష్ఠము	ɕ r eː ʂ ʈʰ a m u
కుక్కపిల్ల	k u kː a p i l̪ː a
నిమ్మగడ్డి	n i mː a ɡ a ɖː i
వెల్లుల్లి	ʋ e l̪ː u l̪ː i
ఊపిరితిత్తి	uː p i r i t i tː i
గాడిదగుడ్డు	ɡ aː ɖ i d a ɡ u ɖː u
