а	a
муце	m u t͡s ɛ
нека	n ɛ k a
поти	p ɔ t i
раби	r a b i
ранг	r a ŋ k
рема	r ɛ m a
’рка	r̩ k a
’рти	r̩ t i
’рѓа	r̩ ɟ a
соба	s ɔ b a
соин	s ɔ i n
теза	t ɛ z a
чури	t͡ʃ u ɾ i
чоха	t͡ʃ ɔ x a
указ	u k a s
умее	u m ɛ ɛ
усте	u s t ɛ
увод	u v ɔ t
вака	v a k a
ваму	v a m u
вари	v a ɾ i
вики	v i k i
виза	v i z a
више	v i ʃ ɛ
внес	v n ɛ s
врат	v r a t
врач	v r a t͡ʃ
врие	v r i j ɛ
врне	v r̩ n ɛ
врти	v r̩ t i
врзе	v r̩ z ɛ
веќе	v ɛ c ɛ
веда	v ɛ d a
века	v ɛ k a
везе	v ɛ z ɛ
хаос	x a ɔ s
зашо	z a ʃ ɔ
зиме	z i m ɛ
зрее	z r ɛ ɛ
зема	z ɛ m a
земе	z ɛ m ɛ
зошо	z ɔ ʃ ɔ
габа	ɡ a b a
лафи	ɫ a f i
жали	ʒ a l i
лани	ɫ a n i
ѓаур	ɟ a u r
гази	ɡ a z i
ебам	ɛ b a m
обор	ɔ b ɔ r
гихт	ɡ i x t
жиро	ʒ i ɾ ɔ
оман	ɔ m a n
гнет	ɡ n ɛ t
орле	ɔ r l ɛ
орце	ɔ r t͡s ɛ
грее	ɡ r ɛ ɛ
грло	ɡ r̩ ɫ ɔ
осин	ɔ s i n
есен	ɛ s ɛ n
гуде	ɡ u d ɛ
ѓуле	ɟ u l ɛ
жупа	ʒ u p a
шупа	ʃ u p a
густ	ɡ u s t
луѓе	ɫ u ɟ ɛ
евра	ɛ v r a
евро	ɛ v r ɔ
озон	ɔ z ɔ n
жена	ʒ ɛ n a
ежов	ɛ ʒ ɔ f
елов	ɛ ɫ ɔ f
гори	ɡ ɔ ɾ i
горе	ɡ ɔ ɾ ɛ
абдал	a b d a ɫ
афикс	a f i k s
ајвар	a j v a r
анјон	a n j ɔ n
авион	a v i j ɔ n
алати	a ɫ a t i
ангел	a ŋ ɡ ɛ ɫ
бајач	b a j a t͡ʃ
батак	b a t a k
барок	b a ɾ ɔ k
барем	b a ɾ ɛ m
билет	b i l ɛ t
бигор	b i ɡ ɔ r
близу	b l i z u
брише	b r i ʃ ɛ
брлив	b r̩ l i f
брзак	b r̩ z a k
буков	b u k ɔ f
бутче	b u t t͡ʃ ɛ
булка	b u ɫ k a
благо	b ɫ a ɡ ɔ
боица	b ɔ i t͡s a
берба	b ɛ r b a
бетер	b ɛ t ɛ r
бечви	b ɛ t͡ʃ v i
божиќ	b ɔ ʒ i c
бегов	b ɛ ɡ ɔ f
божем	b ɔ ʒ ɛ m
ќилим	c i l i m
ќумур	c u m u r
ќупче	c u p t͡ʃ ɛ
ќерка	c ɛ r k a
ќерки	c ɛ r k i
дабар	d a b a r
дабов	d a b ɔ f
датив	d a t i f
дипли	d i p l i
дирек	d i ɾ ɛ k
дрвар	d r̩ v a r
дуќан	d u c a n
дувне	d u v n ɛ
добие	d ɔ b i j ɛ
добро	d ɔ b r
дедов	d ɛ d ɔ f
дојка	d ɔ j k a
денар	d ɛ n a r
денес	d ɛ n ɛ s
допие	d ɔ p i j ɛ
доста	d ɔ s t a
десен	d ɛ s ɛ n
доцна	d ɔ t͡s n a
довек	d ɔ v ɛ k
делка	d ɛ ɫ k a
догма	d ɔ ɡ m a
добро	d ɔ ˑ β̞ r ɔ̩
ѕидар	d͡z i d a r
ѕиден	d͡z i d ɛ n
ѕирка	d͡z i r k a
ѕирне	d͡z i r n ɛ
ѕиври	d͡z i v r i
ѕрцки	d͡z r̩ t͡s k i
ѕвони	d͡z v ɔ n i
ѕвоно	d͡z v ɔ n ɔ
ѕвечи	d͡z v ɛ t͡ʃ i
ѕвери	d͡z v ɛ ɾ i
ѕемне	d͡z ɛ m n ɛ
ѕенѕа	d͡z ɛ n d͡z a
џигер	d͡ʒ i ɡ ɛ r
џокер	d͡ʒ ɔ k ɛ r
џепче	d͡ʒ ɛ p t͡ʃ ɛ
џелат	d͡ʒ ɛ ɫ a t
џогер	d͡ʒ ɔ ɡ ɛ r
фалта	f a ɫ t a
фронт	f r ɔ n t
втрча	f t r̩ t͡ʃ a
вчера	f t͡ʃ ɛ ɾ a
фетиш	f ɛ t i ʃ
имено	i m ɛ n ɔ
инаку	i n a k u
ивичи	i v i t͡ʃ i
извод	i z v ɔ t
јадро	j a d r ɔ
јаден	j a d ɛ n
јадец	j a d ɛ t͡s
јадеж	j a d ɛ ʃ
јајце	j a j t͡s ɛ
јавач	j a v a t͡ʃ
јавне	j a v n ɛ
јавен	j a v ɛ n
јавор	j a v ɔ r
јахта	j a x t a
јазик	j a z i k
јазол	j a z ɔ ɫ
јагне	j a ɡ n ɛ
кадра	k a d r a
кајче	k a j t͡ʃ ɛ
карши	k a r ʃ i
катче	k a t t͡ʃ ɛ
клема	k l ɛ m a
кроце	k r ɔ t͡s ɛ
крпче	k r̩ p t͡ʃ ɛ
кумин	k u m i n
кумче	k u m t͡ʃ ɛ
кумов	k u m ɔ f
купче	k u p t͡ʃ ɛ
кусок	k u s ɔ k
кварт	k v a r t
кодош	k ɔ d ɔ ʃ
ковче	k ɔ f t͡ʃ ɛ
комби	k ɔ m b i
конта	k ɔ n t a
копан	k ɔ p a n
кепец	k ɛ p ɛ t͡s
корне	k ɔ r n ɛ
клуче	k ɫ u t͡ʃ ɛ
колку	k ɔ ɫ k u
ликов	l i k ɔ f
липов	l i p ɔ f
лихва	l i x v a
летач	l ɛ t a t͡ʃ
леток	l ɛ t ɔ k
маков	m a k ɔ f
мачор	m a t͡ʃ ɔ r
малце	m a ɫ t͡s ɛ
мирта	m i r t a
мливо	m l i v ɔ
модул	m ɔ d u ɫ
мевце	m ɛ f t͡s ɛ
мовче	m ɔ f t͡ʃ ɛ
момин	m ɔ m i n
мерач	m ɛ ɾ a t͡ʃ
насее	n a s ɛ ɛ
нимфа	n i ɱ f a
немил	n ɛ m i ɫ
нежив	n ɛ ʒ i f
патче	p a t t͡ʃ ɛ
палче	p a ɫ t͡ʃ ɛ
пивце	p i f t͡s ɛ
пиков	p i k ɔ f
писта	p i s t a
пивар	p i v a r
преде	p r ɛ d ɛ
преса	p r ɛ s a
преод	p r ɛ ɔ t
прсте	p r̩ s t ɛ
првин	p r̩ v i n
психа	p s i x a
птица	p t i t͡s a
пцост	p t͡s ɔ s t
пукот	p u k ɔ t
пупче	p u p t͡ʃ ɛ
пласт	p ɫ a s t
подои	p ɔ d ɔ i
помие	p ɔ m i j ɛ
порта	p ɔ r t a
посен	p ɔ s ɛ n
поток	p ɔ t ɔ k
полае	p ɔ ɫ a ɛ
пооди	p ɔ ɔ d i
пошие	p ɔ ʃ i j ɛ
поора	p ɔ ɔ ɾ a
пород	p ɔ ɾ ɔ t
радар	r a d a r
ракче	r a k t͡ʃ ɛ
ранче	r a n t͡ʃ ɛ
расад	r a s a t
разум	r a z u m
рипче	r i p t͡ʃ ɛ
рокер	r ɔ k ɛ r
ролја	r ɔ l j a
ронче	r ɔ n t͡ʃ ɛ
реума	r ɛ u m a
’рбет	r̩ b ɛ t
самун	s a m u n
сарма	s a r m a
сауна	s a u n a
синап	s i n a p
синче	s i n t͡ʃ ɛ
снаин	s n a i n
срнче	s r̩ n̩ t͡ʃ ɛ
стија	s t i j a
стрви	s t r̩ v i
сурат	s u ɾ a t
свиѓа	s v i ɟ a
сомун	s ɔ m u n
сонце	s ɔ n t͡s ɛ
сопче	s ɔ p t͡ʃ ɛ
селце	s ɛ ɫ t͡s ɛ
такса	t a k s a
тимар	t i m a r
трупа	t r u p a
тромб	t r ɔ m p
трнка	t r̩ n̩ k a
трњак	t r̩ ɲ a k
тупав	t u p a f
тужба	t u ʒ b a
тепач	t ɛ p a t͡ʃ
топот	t ɔ p ɔ t
тесар	t ɛ s a r
тегав	t ɛ ɡ a f
циник	t͡s i n i k
чајче	t͡ʃ a j t͡ʃ ɛ
чамче	t͡ʃ a m t͡ʃ ɛ
чумен	t͡ʃ u m ɛ n
чотра	t͡ʃ ɔ t r a
умува	u m u v a
унија	u n i j a
успех	u s p ɛ x
вазал	v a z a ɫ
варов	v a ɾ ɔ f
варен	v a ɾ ɛ n
вилин	v i l i n
винце	v i n t͡s ɛ
винов	v i n ɔ f
висне	v i s n ɛ
витка	v i t k a
витез	v i t ɛ s
вишок	v i ʃ ɔ k
влепи	v l ɛ p i
внуче	v n u t͡ʃ ɛ
време	v r ɛ m ɛ
врбов	v r̩ b ɔ f
врзоп	v r̩ z ɔ p
вујче	v u j t͡ʃ ɛ
взори	v z ɔ ɾ i
влада	v ɫ a d a
венче	v ɛ n t͡ʃ ɛ
вепар	v ɛ p a r
ветка	v ɛ t k a
вотка	v ɔ t k a
ветер	v ɛ t ɛ r
вечно	v ɛ t͡ʃ n ɔ
вовед	v ɔ v ɛ t
вонка	v ɔ ŋ k a
вошка	v ɔ ʃ k a
волов	v ɔ ɫ ɔ f
хајка	x a j k a
забие	z a b i j ɛ
закуп	z a k u p
залез	z a l ɛ s
запче	z a p t͡ʃ ɛ
затоа	z a t ɔ a
завие	z a v i j ɛ
зашто	z a ʃ t ɔ
заора	z a ɔ ɾ a
збрка	z b r̩ k a
збрца	z b r̩ t͡s a
зијан	z i j a n
змиин	z m i i n
значи	z n a t͡ʃ i
зрнце	z r̩ n̩ t͡s ɛ
зуцне	z u t͡s n ɛ
звање	z v a ɲ ɛ
зетов	z ɛ t ɔ f
згура	z ɡ u ɾ a
зошто	z ɔ ʃ t ɔ
жабји	ʒ a b j i
габер	ɡ a b ɛ r
лавче	ɫ a f t͡ʃ ɛ
гајда	ɡ a j d a
гајди	ɡ a j d i
ѓакон	ɟ a k ɔ n
шаман	ʃ a m a n
жарче	ʒ a r t͡ʃ ɛ
ѓавол	ɟ a v ɔ ɫ
оќори	ɔ c ɔ ɾ i
еднаш	ɛ d n a ʃ
едвај	ɛ d v a j
евтин	ɛ f t i n
житен	ʒ i t ɛ n
окрка	ɔ k r̩ k a
школа	ʃ k ɔ ɫ a
гледа	ɡ l ɛ d a
елече	ɛ l ɛ t͡ʃ ɛ
онади	ɔ n a d i
гнаси	ɡ n a s i
епика	ɛ p i k a
града	ɡ r a d a
гради	ɡ r a d i
гризе	ɡ r i z ɛ
ортак	ɔ r t a k
гроза	ɡ r ɔ z a
орлов	ɔ r ɫ ɔ f
грнче	ɡ r̩ n̩ t͡ʃ ɛ
штави	ʃ t a v i
очник	ɔ t͡ʃ n i k
ѓубри	ɟ u b r i
ѓубре	ɟ u b r ɛ
љубов	ʎ u b ɔ f
жубор	ʒ u b ɔ r
лукче	ɫ u k t͡ʃ ɛ
шлака	ʃ ɫ a k a
шлапа	ʃ ɫ a p a
гејша	ɡ ɛ j ʃ a
локна	ɫ ɔ k n a
голич	ɡ ɔ l i t͡ʃ
голем	ɡ ɔ l ɛ m
ѓезве	ɟ ɛ z v ɛ
лозов	ɫ ɔ z ɔ f
желба	ʒ ɛ ɫ b a
желба	ʒ ɛ ɫ b ə
глоса	ɡ ɫ ɔ s a
абажур	a b a ʒ u r
адреса	a d r ɛ s a
ајкула	a j k u ɫ a
ајвари	a j v a ɾ i
авиони	a v i j ɔ n i
азотен	a z ɔ t ɛ n
аорист	a ɔ ɾ i s t
билјар	b i l j a r
битола	b i t ɔ ɫ a
бичува	b i t͡ʃ u v a
бранче	b r a n t͡ʃ ɛ
братче	b r a t t͡ʃ ɛ
братов	b r a t ɔ f
бруцош	b r u t͡s ɔ ʃ
бротче	b r ɔ t t͡ʃ ɛ
брезов	b r ɛ z ɔ f
бубаче	b u b a t͡ʃ ɛ
бујрум	b u j r u m
бучава	b u t͡ʃ a v a
блазон	b ɫ a z ɔ n
боичка	b ɔ i t͡ʃ k a
бензин	b ɛ n z i n
бербер	b ɛ r b ɛ r
бочвар	b ɔ t͡ʃ v a r
блокче	b ɫ ɔ k t͡ʃ ɛ
болник	b ɔ ɫ n i k
ќелави	c ɛ ɫ a v i
диграф	d i ɡ r a f
дишење	d i ʃ ɛ ɲ ɛ
дренов	d r ɛ n ɔ f
дрвоса	d r̩ v ɔ s a
дудлец	d u d l ɛ t͡s
двојче	d v ɔ j t͡ʃ ɛ
дворче	d v ɔ r t͡ʃ ɛ
длабок	d ɫ a b ɔ k
добања	d ɔ b a ɲ a
додуша	d ɔ d u ʃ a
додека	d ɔ d ɛ k a
докачи	d ɔ k a t͡ʃ i
долепи	d ɔ l ɛ p i
домака	d ɔ m a k a
домива	d ɔ m i v a
домота	d ɔ m ɔ t a
домеша	d ɔ m ɛ ʃ a
денари	d ɛ n a ɾ i
денски	d ɛ n s k i
допива	d ɔ p i v a
допрва	d ɔ p r̩ v a
дерман	d ɛ r m a n
досега	d ɔ s ɛ ɡ a
дотура	d ɔ t u ɾ a
дотопи	d ɔ t ɔ p i
дотови	d ɔ t ɔ v i
дошара	d ɔ ʃ a ɾ a
делбен	d ɛ ɫ b ɛ n
дошива	d ɔ ʃ i v a
дошиша	d ɔ ʃ i ʃ a
доруча	d ɔ ɾ u t͡ʃ a
дереџе	d ɛ ɾ ɛ d͡ʒ ɛ
ѕидина	d͡z i d i n a
ѕуница	d͡z u n i t͡s a
ѕврцне	d͡z v r̩ t͡s n ɛ
ѕвекне	d͡z v ɛ k n ɛ
ѕвекот	d͡z v ɛ k ɔ t
ѕвонар	d͡z v ɔ n a r
ѕвонче	d͡z v ɔ n t͡ʃ ɛ
ѕверка	d͡z v ɛ r k a
ѕверче	d͡z v ɛ r t͡ʃ ɛ
ѕвечка	d͡z v ɛ t͡ʃ k a
ѕвезда	d͡z v ɛ z d a
ѕвезди	d͡z v ɛ z d i
ѕевгар	d͡z ɛ v ɡ a r
џунгла	d͡ʒ u ŋ ɡ ɫ a
фитнес	f i t n ɛ s
фигаро	f i ɡ a ɾ ɔ
филмче	f i ɫ m̩ t͡ʃ ɛ
флејта	f l ɛ j t a
фереџе	f ɛ ɾ ɛ d͡ʒ ɛ
именце	i m ɛ n t͡s ɛ
исфаќа	i s f a c a
искача	i s k a t͡ʃ a
испита	i s p i t a
испива	i s p i v a
испише	i s p i ʃ ɛ
испцуе	i s p t͡s u ɛ
исцрта	i s t͡s r̩ t a
исечок	i s ɛ t͡ʃ ɔ k
итност	i t n ɔ s t
итрина	i t r i n a
итрост	i t r ɔ s t
излета	i z l ɛ t a
изгали	i z ɡ a l i
изгрев	i z ɡ r ɛ f
јадица	j a d i t͡s a
јадење	j a d ɛ ɲ ɛ
јајник	j a j n i k
јајцев	j a j t͡s ɛ f
јајчен	j a j t͡ʃ ɛ n
јавува	j a v u v a
јазиче	j a z i t͡ʃ ɛ
јаглен	j a ɡ l ɛ n
јагуар	j a ɡ u a r
јагула	j a ɡ u ɫ a
јагода	j a ɡ ɔ d a
јуница	j u n i t͡s a
јужњак	j u ʒ ɲ a k
кадија	k a d i j a
каивче	k a i f t͡ʃ ɛ
кактус	k a k t u s
камоли	k a m ɔ l i
катјон	k a t j ɔ n
клинче	k l i n t͡ʃ ɛ
кметов	k m ɛ t ɔ f
книжар	k n i ʒ a r
книжен	k n i ʒ ɛ n
крајче	k r a j t͡ʃ ɛ
кравар	k r a v a r
кринов	k r i n ɔ f
крилце	k r i ɫ t͡s ɛ
кришум	k r i ʃ u m
кровче	k r ɔ f t͡ʃ ɛ
кројка	k r ɔ j k a
крзнар	k r̩ z n a r
кумува	k u m u v a
курвин	k u r v i n
клацка	k ɫ a t͡s k a
кокори	k ɔ k ɔ ɾ i
комика	k ɔ m i k a
конзул	k ɔ n z u ɫ
копула	k ɔ p u ɫ a
к’смет	k ɨ s m ɛ t
к’смет	k ʌ s m ɛ t
клумка	k ɫ u m k a
клунка	k ɫ u ŋ k a
коњица	k ɔ ɲ i t͡s a
кошмар	k ɔ ʃ m a r
лисиче	l i s i t͡ʃ ɛ
литија	l i t i j a
ледина	l ɛ d i n a
ледник	l ɛ d n i k
лелека	l ɛ l ɛ k a
леунка	l ɛ u ŋ k a
легија	l ɛ ɡ i j a
масиче	m a s i t͡ʃ ɛ
малост	m a ɫ ɔ s t
мимика	m i m i k a
мирува	m i ɾ u v a
млекце	m l ɛ k t͡s ɛ
мравче	m r a f t͡ʃ ɛ
мравји	m r a v j i
мушама	m u ʃ a m a
мелник	m ɛ ɫ n i k
можеби	m ɔ ʒ ɛ b i
набира	n a b i ɾ a
нафрла	n a f r̩ ɫ a
накопа	n a k ɔ p a
налепи	n a l ɛ p i
налета	n a l ɛ t a
намеле	n a m ɛ l ɛ
намеси	n a m ɛ s i
насоли	n a s ɔ l i
насече	n a s ɛ t͡ʃ ɛ
нацрпи	n a t͡s r̩ p i
нацеди	n a t͡s ɛ d i
наврти	n a v r̩ t i
нашара	n a ʃ a ɾ a
наемен	n a ɛ m ɛ n
ничкум	n i t͡ʃ k u m
нужник	n u ʒ n i k
небаре	n ɛ b a ɾ ɛ
ноќева	n ɔ c ɛ v a
немиен	n ɛ m i j ɛ n
немост	n ɛ m ɔ s t
неоран	n ɛ ɔ ɾ a n
памуче	p a m u t͡ʃ ɛ
пандан	p a n d a n
папски	p a p s k i
паркче	p a r k t͡ʃ ɛ
парник	p a r n i k
пасија	p a s i j a
паунче	p a u n t͡ʃ ɛ
паунов	p a u n ɔ f
париче	p a ɾ i t͡ʃ ɛ
панкер	p a ŋ k ɛ r
палмов	p a ɫ m ɔ f
пицнат	p i t͡s n a t
пљампа	p l a m p a
прачка	p r a t͡ʃ k a
прибор	p r i b ɔ r
пробив	p r ɔ b i f
пребои	p r ɛ b ɔ i
пробој	p r ɔ b ɔ j
пропие	p r ɔ p i j ɛ
прорти	p r ɔ r t i
претне	p r ɛ t n ɛ
превие	p r ɛ v i j ɛ
прешие	p r ɛ ʃ i j ɛ
преора	p r ɛ ɔ ɾ a
птичка	p t i t͡ʃ k a
подбел	p ɔ d b ɛ ɫ
подрум	p ɔ d r u m
покука	p ɔ k u k a
полежи	p ɔ l ɛ ʒ i
пониша	p ɔ n i ʃ a
поноси	p ɔ n ɔ s i
попати	p ɔ p a t i
попржи	p ɔ p r̩ ʒ i
посече	p ɔ s ɛ t͡ʃ ɛ
потрпи	p ɔ t r̩ p i
поточе	p ɔ t ɔ t͡ʃ ɛ
петлов	p ɛ t ɫ ɔ f
поцрта	p ɔ t͡s r̩ t a
почива	p ɔ t͡ʃ i v a
почука	p ɔ t͡ʃ u k a
повари	p ɔ v a ɾ i
повиси	p ɔ v i s i
поврат	p ɔ v r a t
поврие	p ɔ v r i j ɛ
поврне	p ɔ v r̩ n ɛ
поврти	p ɔ v r̩ t i
повози	p ɔ v ɔ z i
погани	p ɔ ɡ a n i
полази	p ɔ ɫ a z i
поофка	p ɔ ɔ f k a
погрми	p ɔ ɡ r̩ m i
полупа	p ɔ ɫ u p a
погуга	p ɔ ɡ u ɡ a
полула	p ɔ ɫ u ɫ a
погори	p ɔ ɡ ɔ ɾ i
расади	r a s a d i
раскол	r a s k ɔ ɫ
распис	r a s p i s
расуди	r a s u d i
расука	r a s u k a
расели	r a s ɛ l i
расече	r a s ɛ t͡ʃ ɛ
ралник	r a ɫ n i k
ревија	r ɛ v i j a
резбар	r ɛ z b a r
режија	r ɛ ʒ i j a
сливов	s l i v ɔ f
смлачи	s m ɫ a t͡ʃ i
смотра	s m ɔ t r a
снопче	s n ɔ p t͡ʃ ɛ
спикер	s p i k ɛ r
справа	s p r a v a
спојка	s p ɔ j k a
спорен	s p ɔ ɾ ɛ n
српски	s r̩ p s k i
станче	s t a n t͡ʃ ɛ
старче	s t a r t͡ʃ ɛ
страда	s t r a d a
струга	s t r u ɡ a
студио	s t u d i j ɔ
суфикс	s u f i k s
сувост	s u v ɔ s t
свинче	s v i n t͡ʃ ɛ
свирче	s v i r t͡ʃ ɛ
свирач	s v i ɾ a t͡ʃ
своина	s v ɔ i n a
сламен	s ɫ a m ɛ n
сокаче	s ɔ k a t͡ʃ ɛ
семкар	s ɛ m k a r
сердар	s ɛ r d a r
сесија	s ɛ s i j a
слонче	s ɫ ɔ n t͡ʃ ɛ
танцов	t a n t͡s ɔ f
тапија	t a p i j a
трачар	t r a t͡ʃ a r
трупче	t r u p t͡ʃ ɛ
тровче	t r ɔ f t͡ʃ ɛ
тројче	t r ɔ j t͡ʃ ɛ
тужбен	t u ʒ b ɛ n
тенија	t ɛ n i j a
цимоли	t͡s i m ɔ l i
циција	t͡s i t͡s i j a
цинков	t͡s i ŋ k ɔ f
циглен	t͡s i ɡ l ɛ n
цветче	t͡s v ɛ t t͡ʃ ɛ
цензор	t͡s ɛ n z ɔ r
чавкин	t͡ʃ a f k i n
чиниче	t͡ʃ i n i t͡ʃ ɛ
чичков	t͡ʃ i t͡ʃ k ɔ f
чивија	t͡ʃ i v i j a
чкрапа	t͡ʃ k r a p a
чкртне	t͡ʃ k r̩ t n ɛ
чукало	t͡ʃ u k a ɫ ɔ
чутура	t͡ʃ u t u ɾ a
четник	t͡ʃ ɛ t n i k
убоден	u b ɔ d ɛ n
усрден	u s r̩ d ɛ n
видрин	v i d r i n
видело	v i d ɛ ɫ ɔ
викенд	v i k ɛ n t
вилица	v i l i t͡s a
висост	v i s ɔ s t
витлер	v i t l ɛ r
витези	v i t ɛ z i
вишнов	v i ʃ n ɔ f
влезен	v l ɛ z ɛ n
внатре	v n a t r ɛ
внуков	v n u k ɔ f
внедри	v n ɛ d r i
вратка	v r a t k a
врзува	v r̩ z u v a
вујков	v u j k ɔ f
вујнин	v u j n i n
владар	v ɫ a d a r
влакно	v ɫ a k n ɔ
власец	v ɫ a s ɛ t͡s
влашко	v ɫ a ʃ k ɔ
веднаш	v ɛ d n a ʃ
воздух	v ɔ z d u x
везден	v ɛ z d ɛ n
возила	v ɔ z i ɫ a
возило	v ɔ z i ɫ ɔ
забули	z a b u l i
закаже	z a k a ʒ ɛ
закопа	z a k ɔ p a
замира	z a m i ɾ a
запева	z a p ɛ v a
засити	z a s i t i
заспие	z a s p i j ɛ
затрпа	z a t r̩ p a
завева	z a v ɛ v a
заедно	z a ɛ d n ɔ
зашива	z a ʃ i v a
заграб	z a ɡ r a p
зборче	z b ɔ r t͡ʃ ɛ
змиски	z m i s k i
звуков	z v u k ɔ f
златце	z ɫ a t t͡s ɛ
зограф	z ɔ ɡ r a f
гајдар	ɡ a j d a r
лапсус	ɫ a p s u s
ларвин	ɫ a r v i n
шаткин	ʃ a t k i n
ѓаурка	ɟ a u r k a
газдин	ɡ a z d i n
одјури	ɔ d j u ɾ i
одлежи	ɔ d l ɛ ʒ i
одлази	ɔ d ɫ a z i
офтика	ɔ f t i k a
шилеже	ʃ i l ɛ ʒ ɛ
шинтер	ʃ i n t ɛ r
шкафче	ʃ k a f t͡ʃ ɛ
околен	ɔ k ɔ l ɛ n
шкембе	ʃ k ɛ m b ɛ
глинен	ɡ l i n ɛ n
глекав	ɡ l ɛ k a f
еленче	ɛ l ɛ n t͡ʃ ɛ
опавче	ɔ p a f t͡ʃ ɛ
опнува	ɔ p n u v a
гравче	ɡ r a f t͡ʃ ɛ
шрафче	ʃ r a f t͡ʃ ɛ
гранче	ɡ r a n t͡ʃ ɛ
грутче	ɡ r u t t͡ʃ ɛ
гревче	ɡ r ɛ f t͡ʃ ɛ
греота	ɡ r ɛ ɔ t a
грција	ɡ r̩ t͡s i j a
осамне	ɔ s a m n ɛ
есцајг	ɛ s t͡s a j k
штичка	ʃ t i t͡ʃ k a
откочи	ɔ t k ɔ t͡ʃ i
отпара	ɔ t p a ɾ a
штрајк	ʃ t r a j k
отстои	ɔ t s t ɔ i
штурче	ʃ t u r t͡ʃ ɛ
штекер	ʃ t ɛ k ɛ r
ѓумбир	ɟ u m b i r
шумоли	ʃ u m ɔ l i
ѓуптин	ɟ u p t i n
орален	ɔ ɾ a l ɛ n
оганче	ɔ ɡ a n t͡ʃ ɛ
гласеж	ɡ ɫ a s ɛ ʃ
гласче	ɡ ɫ a ʃ t͡ʃ ɛ
оривче	ɔ ɾ i f t͡ʃ ɛ
шејтан	ʃ ɛ j t a n
ѓердан	ɟ ɛ r d a n
ѓеврек	ɟ ɛ v r ɛ k
желбен	ʒ ɛ ɫ b ɛ n
оревче	ɔ ɾ ɛ f t͡ʃ ɛ
желкин	ʒ ɛ ɫ k i n
еженце	ɛ ʒ ɛ n t͡s ɛ
герунд	ɡ ɛ ɾ u n t
глогов	ɡ ɫ ɔ ɡ ɔ f
абаџија	a b a d͡ʒ i j a
аблатив	a b ɫ a t i f
аболира	a b ɔ l i ɾ a
абонент	a b ɔ n ɛ n t
афазија	a f a z i j a
авторка	a f t ɔ r k a
авторов	a f t ɔ ɾ ɔ f
аирлија	a i r l i j a
ајдучки	a j d u t͡ʃ k i
анафора	a n a f ɔ ɾ a
анемија	a n ɛ m i j a
апсеник	a p s ɛ n i k
арзухал	a r z u x a ɫ
аукција	a u k t͡s i j a
авенија	a v ɛ n i j a
алкален	a ɫ k a l ɛ n
англија	a ŋ ɡ l i j a
агломер	a ɡ ɫ ɔ m ɛ r
ангелче	a ŋ ɡ ɛ ɫ t͡ʃ ɛ
бадемче	b a d ɛ m t͡ʃ ɛ
бадемов	b a d ɛ m ɔ f
бајачки	b a j a t͡ʃ k i
бавност	b a v n ɔ s t
базален	b a z a l ɛ n
барокен	b a ɾ ɔ k ɛ n
