ଙ	- ŋ
ଭାଷା	b ʱ a s a
ଭାରତ	b ʱ a ɾ ɔ t ɔ
ଜହ୍ନ	d͡ʒ ɔ h n ɔ
ଜନନୀ	d͡ʒ ɔ n ɔ n i
ଜଳଚର	d͡ʒ ɔ ɭ ɔ t͡ʃ ɔ ɾ ɔ
ଏଗାର	e ɡ a ɾ ɔ
ହାତୀ	h a t i
କଦଳୀ	k ɔ d ɔ ɭ i
ମାତା	m a t a
ମାଉସ	m a u s ɔ
ନାରୀ	n a ɾ i
ନୂତନ	n u t ɔ n ɔ
ପାଣି	p a ɳ i
ପତ୍ର	p ɔ t ɾ ɔ
ଶାରୀ	s a ɾ i
ସୁନା	s u n a
ସିଂହ	s ĩ h ɔ
ତିନି	t i n i
ତରବର	t ɔ ɾ ɔ b ɔ ɾ ɔ
ଚାବି	t͡ʃ a b i
ଚାମଚ	t͡ʃ a m ɔ t͡ʃ ɔ
ଚାରି	t͡ʃ a ɾ i
ଚଟିଆ	t͡ʃ ɔ ʈ i a
ରାଜା	ɾ a d͡ʒ a
ଟାପୁ	ʈ a p u
ରାଣୀ	ɾ a ɳ i
ଅଫିମ	ɔ pʰ i m ɔ
ଆରମ୍ଭ	a ɾ ɔ m b ʱ ɔ
ଆଣ୍ଠୁ	a ɳ ʈʰ u
ବର୍ଷା	b ɔ ɾ s a
ଦାନ୍ତ	d a n t ɔ
ଦାଢ଼ି	d a ɽ ʱ i
ଦ୍ଵୀପ	d ʋ i p ɔ
କୃଷ୍ଣ	k ɾ u s ɳ ɔ
ଖାଇବା	kʰ a i b a
ମହିଳା	m ɔ h i ɭ a
ଓଡ଼ିଆ	o ɽ i a
ପାଞ୍ଚ	p a ɲ t͡ʃ ɔ
ପ୍ରାଣ	p ɾ a ɳ ɔ
ପକ୍ଷୀ	p ɔ k s i
ପନ୍ଦର	p ɔ n d ɔ ɾ ɔ
ପୌତ୍ର	p ɔ u̯ t ɾ ɔ
ଶାର୍ଟ	s a ɾ ʈ ɔ
ଶୁନ୍ୟ	s u n j ɔ
ଛକୋଣି	t͡ʃʰ ɔ k o ɳ i
ଉପଦେଶ	u p ɔ d e s ɔ
ଉଣେଇଶ	u ɳ e i s ɔ
ଡାଲମା	ɖ a l ɔ m a
ରୁଷିଆ	ɾ u s i a
ଅଣ୍ଡା	ɔ ɳ ɖ a
ଗଞ୍ଜା	ɡ ɔ ɲ d͡ʒ a
ବିଜୁଳି	b i d͡ʒ u ɭ i
ବିଷ୍ଣୁ	b i s ɳ u
ଜ୍ୱାଇଁ	d͡ʒ w a ĩ
ହିନ୍ଦୀ	h i n d i
ଇନ୍ଦ୍ର	i n d ɾ ɔ
କୋଡ଼ିଏ	k o ɽ i e
କଳିଙ୍ଗ	k ɔ ɭ i ŋ ɡ ɔ
କଙ୍କାଳ	k ɔ ŋ k a ɭ ɔ
ମାଁମାଁ	m ã m ã
ମତ୍ସ୍ଯ	m ɔ t s d͡ʒ ɔ
ନମସ୍ତେ	n ɔ m ɔ s t e
ପୃଥିବୀ	p ɾ u tʰ i b i
ପୌତ୍ରୀ	p ɔ u̯ t ɾ i
ପ୍ରଶ୍ନ	p ɾ ɔ s n ɔ
ସ୍ତ୍ରୀ	s t ɾ i
ସ୍ୱର୍ଗ	s w ɔ ɾ ɡ ɔ
ସମୁଦ୍ର	s ɔ m u d ɾ ɔ
ଚନ୍ଦ୍ର	t͡ʃ ɔ n d ɾ ɔ
ରାଜ୍ଞୀ	ɾ a d͡ʒ ɲ i
ଗଞ୍ଜାଇ	ɡ ɔ ɲ d͡ʒ a i
ଆଙ୍ଗୁଳି	a ŋ ɡ u ɭ i
ଆଙ୍ଗୁଠି	a ŋ ɡ u ʈʰ i
ଦୌହିତ୍ର	d ɔ u̯ h i t ɾ ɔ
ଦୌହତ୍ରୀ	d ɔ u̯ h ɔ t ɾ i
କୁମ୍ଭାର	k u m b ʱ a ɾ ɔ
ସୂର୍ଯ୍ୟ	s u ɾ d͡ʒ j ɔ
ସଂସ୍କୃତ	s ɔ̃ s k ɾ u t ɔ
ଅମ୍ଳଜାନ	ɔ m ɭ ɔ d͡ʒ a n ɔ
ଅଙ୍ଗାରକ	ɔ ŋ ɡ a ɾ ɔ k ɔ
ବ୍ରାହ୍ମଣ	b ɾ a h m ɔ ɳ ɔ
ଭୂମିକମ୍ପ	b ʱ u m i k ɔ m p ɔ
ଧନ୍ୟବାଦ୍	d ʱ ɔ n j ɔ b a d
ଇଣ୍ଟରନେଟ	i ɳ ʈ ɔ ɾ ɔ n e ʈ ɔ
କେତେବେଲେ	k e t e b e l e
କିବୋର୍ଡ଼	k i b o ɾ ɽ ɔ
ପ୍ରପୁତ୍ର	p ɾ ɔ p u t ɾ ɔ
ଶବ୍ଦାର୍ଥ	s ɔ b d a ɾ tʰ ɔ
ରାଜମହିଷୀ	ɾ a d͡ʒ ɔ m ɔ h i s i
ରାଜପତ୍ନୀ	ɾ a d͡ʒ ɔ p ɔ t n i
ବ୍ରାହ୍ମଣୀ	b ɾ a h m ɔ ɳ i
ଭୁବନେଶ୍ୱର	b ʱ u b ɔ n e s w ɔ ɾ ɔ
ଦଣ୍ଡାଜ୍ଞା	d ɔ ɳ ɖ a d͡ʒ ɲ a
କମ୍ପ୍ୟୁଟର	k ɔ m p j u ʈ ɔ ɾ ɔ
ଚିଙ୍ଗୁଡ଼ି	t͡ʃ i ŋ ɡ u ɽ i
ଅମୃତଭଣ୍ଡା	ɔ m ɾ u t ɔ b ʱ ɔ ɳ ɖ a
ବେଙ୍ଗାଳୁରୁ	b e ŋ ɡ a ɭ u ɾ u
କୁମ୍ଭାରୁଣି	k u m b ʱ a ɾ u ɳ i
ଉଇକିପିଡ଼ିଆ	u i k i p i ɽ i a
ତାଜିକିସ୍ତାନ	t a d͡ʒ i k i s t a n ɔ
ଚନ୍ଦ୍ରବିନ୍ଦୁ	t͡ʃ ɔ n d ɾ ɔ b i n d u
ପୁରୁଷୋତ୍ତମପୁର	p u ɾ u s o t t ɔ m ɔ p u ɾ ɔ
ପ୍ରାଣଦଣ୍ଡାଜ୍ଞା	p ɾ a ɳ ɔ d ɔ ɳ ɖ a d͡ʒ ɲ a
