ababa	aβaβa
abarquilladas	aβarkiʎaðas
abarquilladas	aβarkiʝaðas
abarquillado	aβarkiʎaðo
abarquillado	aβarkiʝaðo
abarquillados	aβarkiʎaðos
abarquillados	aβarkiʝaðos
abarquillar	aβarkiʎaɾ
abarquillar	aβarkiʝaɾ
abarracada	aβarakaða
abarracadas	aβarakaðas
abarracado	aβarakaðo
abarracados	aβarakaðos
abarracar	aβarakaɾ
abarrada	aβaraða
abarradas	aβaraðas
abarrado	aβaraðo
abarrados	aβaraðos
abarrar	aβaraɾ
abarraz	aβaraθ
abarraz	aβaras
abarrotada	aβarot̪aða
abarrotadas	aβarot̪aðas
abarrotado	aβarot̪aðo
abarrotados	aβarot̪aðos
abarrotar	aβarot̪aɾ
abarrote	aβarot̪e
abarrotería	aβarot̪eɾia
abasí	aβasi
abasta	aβast̪a
abastada	aβast̪aða
abastadas	aβast̪aðas
abastado	aβast̪aðo
abastados	aβast̪aðos
abastamiento	aβast̪amjẽn̪t̪o
abastamos	aβast̪amos
abastar	aβast̪aɾ
abastara	aβast̪aɾa
abastará	aβast̪aɾa
abastáramos	aβast̪aɾamos
abastaras	aβast̪aɾas
abastarás	aβast̪aɾas
abastarda	aβast̪arða
abastardá	aβast̪arða
abastardada	aβast̪arðaða
abastardadas	aβast̪arðaðas
abastardado	aβast̪arðaðo
abastardados	aβast̪arðaðos
abastardamos	aβast̪arðamos
abastardando	aβast̪arðãn̪d̪o
abastardar	aβast̪arðaɾ
abastardara	aβast̪arðaɾa
abastardará	aβast̪arðaɾa
abastardáramos	aβast̪arðaɾamos
abastardaras	aβast̪arðaɾas
abastardarás	aβast̪arðaɾas
abastardareis	aβast̪arðaɾei̯s
abastardaréis	aβast̪arðaɾei̯s
abastardaremos	aβast̪arðaɾemos
abastardáremos	aβast̪arðaɾemos
abastardares	aβast̪arðaɾes
abastardaríamos	aβast̪arðaɾiamos
abastardas	aβast̪arðas
abastardás	aβast̪arðas
abastardaste	aβast̪arðast̪e
abastarde	aβast̪arðe
abastardé	aβast̪arðe
abastardemos	aβast̪arðemos
abastardes	aβast̪arðes
abastardés	aβast̪arðes
abastardo	aβast̪arðo
abastareis	aβast̪aɾei̯s
abastaremos	aβast̪aɾemos
abastares	aβast̪aɾes
abastaríamos	aβast̪aɾiamos
abastas	aβast̪as
abastaste	aβast̪ast̪e
abaste	aβast̪e
abastecedor	aβast̪eθeðoɾ
abastecedor	aβast̪eseðoɾ
abastecedora	aβast̪eθeðoɾa
abastecedora	aβast̪eseðoɾa
abastecedoras	aβast̪eθeðoɾas
abastecedoras	aβast̪eseðoɾas
abastecedores	aβast̪eθeðoɾes
abastecedores	aβast̪eseðoɾes
abastecer	aβast̪eθeɾ
abastecer	aβast̪eseɾ
abasteceríamos	aβast̪eθeɾiamos
abasteceríamos	aβast̪eseɾiamos
abastecíamos	aβast̪eθiamos
abastecíamos	aβast̪esiamos
abastecida	aβast̪eθiða
abastecida	aβast̪esiða
abastecidas	aβast̪eθiðas
abastecidas	aβast̪esiðas
abastecido	aβast̪eθiðo
abastecido	aβast̪esiðo
abastecidos	aβast̪eθiðos
abastecidos	aβast̪esiðos
abastecimiento	aβast̪eθimjẽn̪t̪o
abastecimiento	aβast̪esimjẽn̪t̪o
abastemos	aβast̪emos
abastes	aβast̪es
abastés	aβast̪es
abastionada	aβast̪jonaða
abastionadas	aβast̪jonaðas
abastionado	aβast̪jonaðo
abastionados	aβast̪jonaðos
abastionar	aβast̪jonaɾ
abasto	aβast̪o
abata	aβat̪a
abatamos	aβat̪amos
abatanada	aβat̪anaða
abatanadas	aβat̪anaðas
abatanado	aβat̪anaðo
abatanados	aβat̪anaðos
abatanar	aβat̪anaɾ
abatas	aβat̪as
abatata	aβat̪at̪a
abatatada	aβat̪at̪aða
abatatadas	aβat̪at̪aðas
abatatado	aβat̪at̪aðo
abatatados	aβat̪at̪aðos
abatatar	aβat̪at̪aɾ
abatate	aβat̪at̪e
abatato	aβat̪at̪o
abate	aβat̪e
abates	aβat̪es
abatíamos	aβat̪iamos
abatible	aβat̪iβle
abatida	aβat̪iða
abatidas	aβat̪iðas
abatido	aβat̪iðo
abatidos	aβat̪iðos
abatimiento	aβat̪imjẽn̪t̪o
abatir	aβat̪iɾ
abato	aβat̪o
abaxial	aβaɣsjal
abazón	aβaθõn
abazón	aβasõn
abdicación	aβðikaθjõn
abdicación	aβðikasjõn
abdicaciones	aβðikaθjones
abdicaciones	aβðikasjones
abdicada	aβðikaða
abdicadas	aβðikaðas
abdicado	aβðikaðo
abdicados	aβðikaðos
abdicamos	aβðikamos
abdicando	aβðikãn̪d̪o
abdicar	aβðikaɾ
abdicáramos	aβðikaɾamos
abdicaríamos	aβðikaɾiamos
abdicativo	aβðikat̪iβo
abdico	aβðiko
abdomen	aβðomẽn
abdominal	aβðominal
abdominales	aβðominales
abducción	aβðuɣθjõn
abducción	aβðuɣsjõn
abducida	aβðuθiða
abducida	aβðusiða
abducidas	aβðuθiðas
abducidas	aβðusiðas
abducido	aβðuθiðo
abducido	aβðusiðo
abducidos	aβðuθiðos
abducidos	aβðusiðos
abducir	aβðuθiɾ
abducir	aβðusiɾ
abductor	aβðuɣt̪oɾ
abecé	aβeθe
abecé	aβese
abecedario	aβeθeðaɾjo
abecedario	aβeseðaɾjo
abedul	aβeðul
abeja	aβexa
abejar	aβexaɾ
abejarrón	aβexarõn
abejaruco	aβexaɾuko
abejeada	aβexeaða
abejeadas	aβexeaðas
abejeado	aβexeaðo
abejeados	aβexeaðos
abejear	aβexeaɾ
abejera	aβexeɾa
abejero	aβexeɾo
abejón	aβexõn
abejoneada	aβexoneaða
abejoneadas	aβexoneaðas
abejoneado	aβexoneaðo
abejoneados	aβexoneaðos
abejonear	aβexoneaɾ
abejorreada	aβexoreaða
abejorreadas	aβexoreaðas
abejorreado	aβexoreaðo
abejorreados	aβexoreaðos
abejorrear	aβexoreaɾ
abejorro	aβexoro
abejuno	aβexuno
abeliana	aβeljana
abelmosco	aβelmosko
abemolada	aβemolaða
abemoladas	aβemolaðas
abemolado	aβemolaðo
abemolados	aβemolaðos
abemolar	aβemolaɾ
abéñola	aβeɲola
aberración	aβeraθjõn
aberración	aβerasjõn
aberrada	aβeraða
aberradas	aβeraðas
aberrado	aβeraðo
aberrados	aβeraðos
aberramos	aβeramos
aberrando	aβerãn̪d̪o
aberrante	aβerãn̪t̪e
aberrantes	aβerãn̪t̪es
aberrar	aβeraɾ
aberráramos	aβeraɾamos
aberraríamos	aβeraɾiamos
abertal	aβert̪al
abertales	aβert̪ales
abertura	aβert̪uɾa
abertzales	aβert̪θales
abertzales	aβert̪sales
aberzales	aβerθales
aberzales	aβersales
abés	aβes
abetal	aβet̪al
abeto	aβet̪o
abetunar	aβet̪unaɾ
abiertamente	aβjert̪amẽn̪t̪e
abierto	aβjert̪o
abigaíl	aβiɣail
abigarrada	aβiɣaraða
abigarrado	aβiɣaraðo
abigarramiento	aβiɣaramjẽn̪t̪o
abigarrar	aβiɣaraɾ
abigeato	aβixeat̪o
abigeo	aβixeo
abintestato	aβĩn̪t̪est̪at̪o
abiótico	aβjot̪iko
abisagrada	aβisaɣɾaða
abisagradas	aβisaɣɾaðas
abisagrado	aβisaɣɾaðo
abisagrados	aβisaɣɾaðos
abisagrar	aβisaɣɾaɾ
abisal	aβisal
abisinia	aβisinja
abisinio	aβisinjo
abismada	aβizmaða
abismadas	aβizmaðas
abismado	aβizmaðo
abismados	aβizmaðos
abismal	aβizmal
abismamos	aβizmamos
abismar	aβizmaɾ
abismáramos	aβizmaɾamos
abismaríamos	aβizmaɾiamos
abismo	aβizmo
abivas	aβiβas
abiyán	aβiʝan
abjad	aβxað
abjasia	aβxasja
abjasio	aβxasjo
abjaso	aβxaso
abjura	aβxuɾa
abjuración	aβxuɾaθjõn
abjuración	aβxuɾasjõn
abjurada	aβxuɾaða
abjuradas	aβxuɾaðas
abjurado	aβxuɾaðo
abjurados	aβxuɾaðos
abjuramos	aβxuɾamos
abjurando	aβxuɾãn̪d̪o
abjurar	aβxuɾaɾ
abjuráramos	aβxuɾaɾamos
abjuraríamos	aβxuɾaɾiamos
abjuras	aβxuɾas
abjure	aβxuɾe
abjuro	aβxuɾo
ablación	aβlaθjõn
ablación	aβlasjõn
ablacionada	aβlaθjonaða
ablacionada	aβlasjonaða
ablacionadas	aβlaθjonaðas
ablacionadas	aβlasjonaðas
ablacionado	aβlaθjonaðo
ablacionado	aβlasjonaðo
ablacionados	aβlaθjonaðos
ablacionados	aβlasjonaðos
ablandado	aβlãn̪d̪aðo
ablandamiento	aβlãn̪d̪amjẽn̪t̪o
ablandar	aβlãn̪d̪aɾ
ablandarse	aβlãn̪d̪arse
ablativa	aβlat̪iβa
ablativas	aβlat̪iβas
ablativo	aβlat̪iβo
ablativos	aβlat̪iβos
ablución	aβluθjõn
ablución	aβlusjõn
abluíamos	aβlwiamos
abluida	aβlwiða
abluidas	aβlwiðas
abluido	aβlwiðo
abluidos	aβlwiðos
abluiríamos	aβlwiɾiamos
abnegación	aβneɣaθjõn
abnegación	aβneɣasjõn
abnegada	aβneɣaða
abnegadas	aβneɣaðas
abnegado	aβneɣaðo
abnegados	aβneɣaðos
abnegamos	aβneɣamos
abnegar	aβneɣaɾ
abnegáramos	aβneɣaɾamos
abnegaríamos	aβneɣaɾiamos
abobada	aβoβaða
abobadas	aβoβaðas
abobado	aβoβaðo
abobados	aβoβaðos
abobar	aβoβaɾ
abobra	aβoβɾa
abocada	aβokaða
abocadas	aβokaðas
abocado	aβokaðo
abocados	aβokaðos
abocar	aβokaɾ
abocetado	aβoθet̪aðo
abocetado	aβoset̪aðo
abocetar	aβoθet̪aɾ
abocetar	aβoset̪aɾ
abochornada	aβot͡ʃornaða
abochornadas	aβot͡ʃornaðas
abochornado	aβot͡ʃornaðo
abochornados	aβot͡ʃornaðos
abochornar	aβot͡ʃornaɾ
abochornarse	aβot͡ʃornarse
abocinada	aβoθinaða
abocinada	aβosinaða
abocinadas	aβoθinaðas
abocinadas	aβosinaðas
abocinado	aβoθinaðo
abocinado	aβosinaðo
abocinados	aβoθinaðos
abocinados	aβosinaðos
abocinar	aβoθinaɾ
abocinar	aβosinaɾ
abofeteada	aβofet̪eaða
abofeteadas	aβofet̪eaðas
abofeteado	aβofet̪eaðo
abofeteados	aβofet̪eaðos
abofetear	aβofet̪eaɾ
abogacía	aβoɣaθia
abogacía	aβoɣasia
abogada	aβoɣaða
abogadas	aβoɣaðas
abogado	aβoɣaðo
abogados	aβoɣaðos
abogar	aβoɣaɾ
abolengo	aβolẽŋɡo
abolición	aβoliθjõn
abolición	aβolisjõn
abolicionismo	aβoliθjonizmo
abolicionismo	aβolisjonizmo
abolicionista	aβoliθjonist̪a
abolicionista	aβolisjonist̪a
abolicionistas	aβoliθjonist̪as
abolicionistas	aβolisjonist̪as
abolida	aβoliða
abolidas	aβoliðas
abolido	aβoliðo
abolidos	aβoliðos
abolir	aβoliɾ
abollado	aβoʎaðo
abollado	aβoʝaðo
abolladura	aβoʎaðuɾa
abolladura	aβoʝaðuɾa
abollar	aβoʎaɾ
abollar	aβoʝaɾ
abollarse	aβoʎarse
abollarse	aβoʝarse
abomaso	aβomaso
abombado	aβõmbaðo
abombar	aβõmbaɾ
abombarse	aβõmbarse
abominable	aβominaβle
abominación	aβominaθjõn
abominación	aβominasjõn
abominada	aβominaða
abominadas	aβominaðas
abominado	aβominaðo
abominados	aβominaðos
abominamos	aβominamos
abominando	aβominãn̪d̪o
abominar	aβominaɾ
abomináramos	aβominaɾamos
abominaríamos	aβominaɾiamos
abonada	aβonaða
abonadas	aβonaðas
abonado	aβonaðo
abonados	aβonaðos
abonar	aβonaɾ
abonarse	aβonarse
abono	aβono
aborda	aβorða
abordable	aβorðaβle
abordada	aβorðaða
abordadas	aβorðaðas
abordado	aβorðaðo
abordador	aβorðaðoɾ
abordados	aβorðaðos
abordaje	aβorðaxe
abordamos	aβorðamos
abordando	aβorðãn̪d̪o
abordar	aβorðaɾ
abordara	aβorðaɾa
abordará	aβorðaɾa
abordáramos	aβorðaɾamos
abordaras	aβorðaɾas
abordarás	aβorðaɾas
abordareis	aβorðaɾei̯s
abordaremos	aβorðaɾemos
abordares	aβorðaɾes
abordaríamos	aβorðaɾiamos
abordas	aβorðas
abordaste	aβorðast̪e
aborde	aβorðe
abordemos	aβorðemos
abordes	aβorðes
abordés	aβorðes
abordo	aβorðo
aborigen	aβoɾixẽn
aboriginal	aβoɾixinal
aborrascarse	aβoraskarse
aborrecer	aβoreθeɾ
aborrecer	aβoreseɾ
aborreceríamos	aβoreθeɾiamos
aborreceríamos	aβoreseɾiamos
aborrecíamos	aβoreθiamos
aborrecíamos	aβoresiamos
aborrecible	aβoreθiβle
aborrecible	aβoresiβle
aborrecida	aβoreθiða
aborrecida	aβoresiða
aborrecidas	aβoreθiðas
aborrecidas	aβoresiðas
aborrecido	aβoreθiðo
aborrecido	aβoresiðo
aborrecidos	aβoreθiðos
aborrecidos	aβoresiðos
aborrecimiento	aβoreθimjẽn̪t̪o
aborrecimiento	aβoresimjẽn̪t̪o
aborregada	aβoreɣaða
aborregadas	aβoreɣaðas
aborregado	aβoreɣaðo
aborregados	aβoreɣaðos
aborregar	aβoreɣaɾ
aborta	aβort̪a
abortada	aβort̪aða
abortadas	aβort̪aðas
abortado	aβort̪aðo
abortados	aβort̪aðos
abortamos	aβort̪amos
abortando	aβort̪ãn̪d̪o
abortar	aβort̪aɾ
abortara	aβort̪aɾa
abortará	aβort̪aɾa
abortáramos	aβort̪aɾamos
abortaras	aβort̪aɾas
abortarás	aβort̪aɾas
abortareis	aβort̪aɾei̯s
abortaremos	aβort̪aɾemos
abortares	aβort̪aɾes
abortaríamos	aβort̪aɾiamos
abortas	aβort̪as
abortaste	aβort̪ast̪e
aborte	aβort̪e
abortemos	aβort̪emos
abortes	aβort̪es
abortista	aβort̪ist̪a
abortistas	aβort̪ist̪as
abortivo	aβort̪iβo
aborto	aβort̪o
abotagamiento	aβot̪aɣamjẽn̪t̪o
abotagar	aβot̪aɣaɾ
abotagarse	aβot̪aɣarse
abotargamiento	aβot̪arɣamjẽn̪t̪o
abotargar	aβot̪arɣaɾ
abotonada	aβot̪onaða
abotonadas	aβot̪onaðas
abotonado	aβot̪onaðo
abotonados	aβot̪onaðos
abotonar	aβot̪onaɾ
abotonarse	aβot̪onarse
abovedado	aβoβeðaðo
abovedar	aβoβeðaɾ
aboyada	aβoʝaða
aboyadas	aβoʝaðas
aboyado	aβoʝaðo
aboyados	aβoʝaðos
aboyar	aβoʝaɾ
abra	aβɾa
abracada	aβɾakaða
abracadas	aβɾakaðas
abracado	aβɾakaðo
abracados	aβɾakaðos
abracar	aβɾakaɾ
abrace	aβɾaθe
abrace	aβɾase
abracé	aβɾaθe
abracé	aβɾase
abraham	aβɾaãm
abrahámico	aβɾaamiko
abram	aβɾãm
abramos	aβɾamos
abras	aβɾas
abrasada	aβɾasaða
abrasadas	aβɾasaðas
abrasado	aβɾasaðo
abrasador	aβɾasaðoɾ
abrasadora	aβɾasaðoɾa
abrasadoras	aβɾasaðoɾas
abrasadores	aβɾasaðoɾes
abrasados	aβɾasaðos
abrasamos	aβɾasamos
abrasante	aβɾasãn̪t̪e
abrasar	aβɾasaɾ
abrasáramos	aβɾasaɾamos
abrasaríamos	aβɾasaɾiamos
abrase	aβɾase
abrasé	aβɾase
abrasión	aβɾasjõn
abrasivo	aβɾasiβo
abraso	aβɾaso
abrasó	aβɾaso
abrazable	aβɾaθaβle
abrazable	aβɾasaβle
abrazada	aβɾaθaða
abrazada	aβɾasaða
abrazadas	aβɾaθaðas
abrazadas	aβɾasaðas
abrazadera	aβɾaθaðeɾa
abrazadera	aβɾasaðeɾa
abrazado	aβɾaθaðo
abrazado	aβɾasaðo
abrazador	aβɾaθaðoɾ
abrazador	aβɾasaðoɾ
abrazadora	aβɾaθaðoɾa
abrazadora	aβɾasaðoɾa
abrazadoras	aβɾaθaðoɾas
abrazadoras	aβɾasaðoɾas
abrazadores	aβɾaθaðoɾes
abrazadores	aβɾasaðoɾes
abrazados	aβɾaθaðos
abrazados	aβɾasaðos
abrazar	aβɾaθaɾ
abrazar	aβɾasaɾ
abrazo	aβɾaθo
abrazo	aβɾaso
abre	aβɾe
abrebotellas	aβɾeβot̪eʎas
abrebotellas	aβɾeβot̪eʝas
abrecartas	aβɾekart̪as
ábrego	aβɾeɣo
abrelatas	aβɾelat̪as
abres	aβɾes
abrevada	aβɾeβaða
abrevadas	aβɾeβaðas
abrevadero	aβɾeβaðeɾo
abrevado	aβɾeβaðo
abrevados	aβɾeβaðos
abrevar	aβɾeβaɾ
abrevia	aβɾeβja
abreviación	aβɾeβjaθjõn
abreviación	aβɾeβjasjõn
abreviada	aβɾeβjaða
abreviadas	aβɾeβjaðas
abreviado	aβɾeβjaðo
abreviados	aβɾeβjaðos
abreviamiento	aβɾeβjamjẽn̪t̪o
abreviamos	aβɾeβjamos
abreviando	aβɾeβjãn̪d̪o
abreviar	aβɾeβjaɾ
abreviara	aβɾeβjaɾa
abreviará	aβɾeβjaɾa
abreviáramos	aβɾeβjaɾamos
abreviaras	aβɾeβjaɾas
abreviarás	aβɾeβjaɾas
abreviareis	aβɾeβjaɾei̯s
abreviaremos	aβɾeβjaɾemos
abreviares	aβɾeβjaɾes
abreviaríamos	aβɾeβjaɾiamos
abrevias	aβɾeβjas
abreviaste	aβɾeβjast̪e
abreviatura	aβɾeβjat̪uɾa
abrevie	aβɾeβje
abreviemos	aβɾeβjemos
abrevies	aβɾeβjes
abrevio	aβɾeβjo
abríamos	aβɾiamos
abribonar	aβɾiβonaɾ
abridor	aβɾiðoɾ
abridora	aβɾiðoɾa
abridoras	aβɾiðoɾas
abridores	aβɾiðoɾes
abrigada	aβɾiɣaða
abrigadas	aβɾiɣaðas
abrigadero	aβɾiɣaðeɾo
abrigado	aβɾiɣaðo
abrigados	aβɾiɣaðos
abrigamos	aβɾiɣamos
abrigando	aβɾiɣãn̪d̪o
abrigaño	aβɾiɣaɲo
abrigar	aβɾiɣaɾ
abrigáramos	aβɾiɣaɾamos
abrigaríamos	aβɾiɣaɾiamos
abrigarse	aβɾiɣarse
abrigo	aβɾiɣo
ábrigo	aβɾiɣo
abril	aβɾil
abrileño	aβɾileɲo
abrillantado	aβɾiʎãn̪t̪aðo
abrillantado	aβɾiʝãn̪t̪aðo
abrillantar	aβɾiʎãn̪t̪aɾ
abrillantar	aβɾiʝãn̪t̪aɾ
abrimiento	aβɾimjẽn̪t̪o
abrimos	aβɾimos
abrir	aβɾiɾ
abrirá	aβɾiɾa
abrirás	aβɾiɾas
abriremos	aβɾiɾemos
abrires	aβɾiɾes
abriríamos	aβɾiɾiamos
abrirse	aβɾirse
abriste	aβɾist̪e
abro	aβɾo
abrochado	aβɾot͡ʃaðo
abrochadora	aβɾot͡ʃaðoɾa
abrochar	aβɾot͡ʃaɾ
abrocharse	aβɾot͡ʃarse
abrogable	aβɾoɣaβle
abrogables	aβɾoɣaβles
abrogación	aβroɣaθjõn
abrogación	aβroɣasjõn
abrogada	aβɾoɣaða
abrogadas	aβɾoɣaðas
abrogado	aβɾoɣaðo
abrogados	aβɾoɣaðos
abrogar	aβroɣaɾ
abrogo	aβɾoɣo
abrojo	aβɾoxo
abroncada	aβɾõŋkaða
abroncadas	aβɾõŋkaðas
abroncado	aβɾõŋkaðo
abroncados	aβɾõŋkaðos
abroncar	aβɾõŋkaɾ
abrótano	aβɾot̪ano
abrotoñada	aβɾot̪oɲaða
abrotoñadas	aβɾot̪oɲaðas
abrotoñado	aβɾot̪oɲaðo
abrotoñados	aβɾot̪oɲaðos
abrotoñar	aβɾot̪oɲaɾ
abrumada	aβɾumaða
abrumadas	aβɾumaðas
abrumado	aβɾumaðo
abrumador	aβɾumaðoɾ
abrumados	aβɾumaðos
abrumar	aβɾumaɾ
absalón	aβsalõn
abscedamos	aβsθeðamos
abscedamos	aβsseðamos
absceder	aβsθeðeɾ
absceder	ap-
absceder	aβseðeɾ
absceder	ap-
abscederíamos	aβsθeðeɾiamos
abscederíamos	aβsseðeɾiamos
abscedíamos	aβsθeðiamos
abscedíamos	aβsseðiamos
abscedida	aβsθeðiða
abscedida	aβsseðiða
abscedidas	aβsθeðiðas
abscedidas	aβsseðiðas
abscedido	aβsθeðiðo
abscedido	aβsseðiðo
abscedidos	aβsθeðiðos
abscedidos	aβsseðiðos
absconder	aβskõn̪d̪eɾ
absenta	aβsẽn̪t̪a
absentismo	aβsẽn̪t̪izmo
ábsida	aβsiða
ábside	aβsiðe
absintio	aβsĩn̪t̪jo
absolución	aβsoluθjõn
absolución	aβsolusjõn
absolutismo	aβsolut̪izmo
absolutista	aβsolut̪ist̪a
absolutivo	aβsolut̪iβo
absolutizada	aβsolut̪iθaða
absolutizada	aβsolut̪isaða
absolutizadas	aβsolut̪iθaðas
absolutizadas	aβsolut̪isaðas
absolutizado	aβsolut̪iθaðo
absolutizado	aβsolut̪isaðo
absolutizados	aβsolut̪iθaðos
absolutizados	aβsolut̪isaðos
absolutizamos	aβsolut̪iθamos
absolutizamos	aβsolut̪isamos
absolutizando	aβsolut̪iθãn̪d̪o
absolutizando	aβsolut̪isãn̪d̪o
absolutizáramos	aβsolut̪iθaɾamos
absolutizáramos	aβsolut̪isaɾamos
absolutizaríamos	aβsolut̪iθaɾiamos
absolutizaríamos	aβsolut̪isaɾiamos
absoluto	aβsolut̪o
absolutorio	aβsolut̪oɾjo
absolvamos	aβsolβamos
absolvemos	aβsolβemos
absolver	aβsolβeɾ
absolverá	aβsolβeɾa
absolverás	aβsolβeɾas
absolveremos	aβsolβeɾemos
absolvería	aβsolβeɾia
absolveríais	aβsolβeɾiai̯s
absolveríamos	aβsolβeɾiamos
absolverían	aβsolβeɾiãn
absolverías	aβsolβeɾias
absolví	aβsolβi
absolvíamos	aβsolβiamos
absorbedor	aβsorβeðoɾ
absorbencia	aβsorβẽn̟θja
absorbencia	aβsorβẽnsja
absorbente	aβsorβẽn̪t̪e
absorber	aβsorβeɾ
absorbí	aβsorβi
absorbible	aβsorβiβle
absorbibles	aβsorβiβles
absorbida	aβsorβiða
absorbidas	aβsorβiðas
absorbido	aβsorβiðo
absorbidos	aβsorβiðos
absorbimiento	aβsorβimjẽn̪t̪o
absorbimientos	aβsorβimjẽn̪t̪os
absorbo	aβsorβo
absorción	aβsoɾθjõn
absorción	aβsorsjõn
absorciones	aβsoɾθjones
absorciones	aβsorsjones
absorta	aβsort̪a
absortas	aβsort̪as
absorto	aβsort̪o
absortos	aβsort̪os
abstemio	aβst̪emjo
abstención	aβst̪ẽn̟θjõn
abstención	aβst̪ẽnsjõn
abstencionismo	aβst̪ẽn̟θjonizmo
abstencionismo	aβst̪ẽnsjonizmo
abstencionista	aβst̪ẽn̟θjonist̪a
abstencionista	aβst̪ẽnsjonist̪a
abstendremos	aβst̪ẽn̪d̪ɾemos
