aberystwyth	abɛɹəstʊɨθ
balmoral	baɫmɔɹɫ̩
balrog	bɔːɫɹɒɡ
balt	bɔːlt
balt	bɑlt
band	beənd
bar	bɑɹ
bar	bɑ˞
bard	bɑɹd
barn	baːn
barn	bɒən
barn	bɐːn
barn	bɑːn
barn	bɑɹn
barn	baːn
barn	bɒən
barn	bɐːn
barn	bɑːn
barn	bɑɹn
barrel	bæɹəɫ
barrel	bɛɚɹəɫ
barter	bɑɹɾəɹ
basal	beɪsəɫ
basal	beɪzəɫ
bashful	bæʃfəɫ
bashful	bæʃfʊɫ
bashkortostan	baʃko̞ːɹtəʉ̯stæn
bashkortostan	bɑʃkɔɹtoə̯stɛən
bastille	bæstɪəɫ
bastille	bæstiːɫ
bastille	bæstɪəɫ
bastille	bæstiːɫ
bath	bɑːθ
bath	bɑːt̪ʰ
bath	bɑːθ
bath	bɑːt̪ʰ
bath	bæθ⁓bɛəθ⁓beəθ
bath	baθ⁓bæθ
bath	bæθ⁓bɛəθ⁓beəθ
bath	baθ⁓bæθ
batter	bæɾɚ
battle	batʰɫ̩
battle	bæɾɫ̩
battle	bætɫ̩
battlebus	bætəɫbʌs
battlement	bætəɫmənt
batty	bæɾi
bauble	bɔːbəɫ
bauble	bɒbəɫ
baulk	bɔːɫk
baulk	bɔɫk
bautzen	baʊtsən
bawl	bɔːɫ
beadle	biːdəɫ
beagle	biːɡəɫ
beater	biɾɚ
beatle	biːtəɫ
beatles	biːɾɫ̩z
beazle	biːzəɫ
béchamel	bɛʃəmɛɫ
becquerel	bɛkəɹɛɫ
bedding	bɛɾɪŋ
bedevil	bɪdɛvəɫ
bedight	bɪdʌɪt
bedight	bɪdʌɪt
beetle	biɾəɫ
beetle	biɾəɫ
befang	bəfæŋ
behavior	bɪheɪvjɚ
behavior	bɪheɪvjə
béi	bɜɪ̯
belarus	bɛlɪ̈ɹus
belarus	beɪ̯lɪ̈ɹus
belgian	bɛɬɡiən
berlin	bɚlɪn
berlin	bɚlɪn
bestride	bɪstɹaɪd
bestride	bɪstɹaɪd
better	bɛtʰə
better	beɾə
better	beʔə
better	bɛtʰə
better	beɾə
better	beʔə
better	bɛɾɚ
better	bɛtʰɚ~bɛθ̠ɚ~bɛt̪ɚ
better	bɛʔɚ~bɛʔəɾ
better	bɛɾɚ
better	bɛtʰɚ~bɛθ̠ɚ~bɛt̪ɚ
better	bɛʔɚ~bɛʔəɾ
betting	bɛɾɪŋ
betting	bɛɾɪŋ
between	bɪtʰwin
bidet	biːdeɪ
bidet	bɨdeɪ
bike	bɐɪk
bill	bɪɫ
bill	bɪɫ
bing	biŋ
bird	bɝɖ
bird	bɜɪd
bird	bɜɪd
bitey	baɪ̯ɾi
bitey	baɪ̯ɾi
bitter	bɪtʰə
bitter	bɪʔə
bitter	bɪɾɚ
bittersweet	bɪɾɚswiʔt̚
bluntness	blʌnʔnɪs
boated	boʊ̯ɾɨd
boating	boʊ̯ɾɪŋ
boatings	boʊ̯ɾɪŋz
bockety	bɑkətiː
boded	boʊ̯dɨd
body	bɑɾi
bodybuilder	bɑːɾibɪɫɾɚ
bold	bɒʊld
boldly	bɒʊldli
bookcase	bʊkːeɪs
boot	buːt
boston	bɒːstɪn
botanist	bɒtn̩ɪst
bother	bɔðəɹ
bother	bɒðəɹ
bother	bɑðɚ
bottle	bɒtᵊɫ̩
bottle	bɑɾɫ̩
bottle	bɑɾɫ
bottler	bɑɾl̩ɚ
bottom	bɑɾəm
bottoms	bɑɾəms
bountiful	baʊ̯nɾəfəɫ
bountiful	baʊ̯nɾəfəɫ
boutye	bɐʏt͡ʃə
brakeforce	bɹeɪkfɔːɹs
brattily	bɹæɾɪli
bratty	bɹæɾi
breach	bɹiːtʃ
break	bɹʷeɪ̯k
bréch	bʀəɕ
bricolage	bɹikoʊlɑʒ
bridder	bʀidɐ
brighten	bɹaɪ̯ʔn̩
brighten	bɹaɪ̯ʔn̩
brighter	bɹaɪ̯ɾɚ
brightest	bɹaɪ̯ɾɪst
brighton	bɹaɪ̯ʔən
brighton	bɹaɪ̯ʔən
britain	bɹɪɾᵊn̩
britain	bɹɪʔᵊn̩
british	bɹɪɾɪʃ
british	bɹɪʔɪʃ
british	bɹɪɾɪʃ
british	bɹɪʔɪʃ
broha	bɹoʊ̯hɑ
bruckback	bɹʌkbæk
brucky	bɹʌki
buffer	bɐfəɹ
buffer	bäfəɹ
builder	bɪɫɾɚ
bujj	bʊd͡ʒ
bulldagger	bʊɫdæɡə
burglar	bɚɡlɚ
bus	bɐs
but	bɐt
butted	bʌɾɨd
butted	bʌɾɨd
butter	bʌɾɚ
butter	bʌʔɚ
butter	bʌɾɚ
butter	bʌʔɚ
butterfly	bʌɾɚflaɪ
butterfly	bʌtəflaɪ
butterfly	bʌɾɚflaɪ
butterfly	bʌtəflaɪ
butting	bʌɾɪŋ
butting	bʌɾɪŋ
buttings	bʌɾɪŋz
buttings	bʌɾɪŋz
buttock	bəɾək
button	bʌʔn̩
cacao	kəkʰɑːəʊ̯
cacao	kəkʰeɪ̯əʊ̯
cacao	kəkʰaʊ̯
cacao	kəkʰeɪ̯oʊ̯
cacoepy	kəkəʊɪpɪ
cadel	kʰeidl̩
caerphilly	kɑːɨɹfɪlɪ
cain	kʰeɪn
caisson	keɪsɑn
caisson	keɪsn̩
calamity	kʰəlæməɾi
calendar	kʰæləndɚ
call	kʰɔl
call	kʰɑl
called	kʰɔld
called	kʰɔəd
cam	kæm
cambodia	kæmboʊdiə
came	kʰeɪ̯m
camp	kʰɛəmp
camp	kʰeəmp
camp	kʰɛəmp
camp	kʰeəmp
can	kʰan~kʰæn
can	kʰæn~kʰɛən~kʰeən
can	kʰən
can	kʰn̩
can	keən
canadia	kʰəneɪ̯ɾiə
canadian	kʰəneɪɾiən
cane	kʰeɪn
can't	kʰäːnt
can't	kʰɑːnt
can't	kʰeənt
can't	kʰeənt
can't	kʰeɪnt
cap	kʰæp
cap'n	kæʔm̩
cappadocia	kæpədoʊʃə
captain	kæpn̩
captain	kæpm̩
caramba	kaɹamba
card	kʰɑːd
card	kʰɑɹd
card	kʰäːd
card	kʰɐːd
care	keə̯ɻ
care	kɛə̯ɻ
carload	kʰɑːləʊd
carload	kʰɑɹloʊd
carton	kʰɑɹʔn̩
carving	kɑɹvɪŋ
casserole	kæsəɹɔ̹ɫ
casserole	kæsɚɔ̹ɫ
cat	kʰæt
cat	kʰæt̚
cater	kʰeɪ̯ɾɚ
cathedra	kəθiːdɹə
catty	kʰæɾi
caucasian	kɔːkeɪʒən
caught	kʰoːt
caught	k̠ʰoːt
caught	kʰɔt
caught	kʰoːt
caught	k̠ʰoːt
caught	kʰɔt
caught	kʰɑt
cause	kʰɔːz
cause	kʰɔːz
caused	kʰɒzd
caused	kʰɑ̟zd
cauterize	kʰɔɾəɹaɪz
cauterize	kʰɑɾəɹaɪz
cauterize	kʰɔɾəɹaɪz
cauterize	kʰɑɾəɹaɪz
caviar	kæviːɑɹ
caviar	kæviːɑː
cavity	kʰævɪɾi
cavity	kʰævɪɾi
ceili	keɪli
cemetery	sɪmətɛɪ
center	sɛɾ̃ɚ
center	sɪɾ̃ɚ
center	sɪɾ̃ɚ
centre	sɛɾ̃ɚ
centre	sɪɾ̃ɚ
centre	sɪɾ̃ɚ
centres	sɪɾ̃ɚs
centres	sɪɾ̃ɚs
cereal	sɪəɹiːəɫ
certamen	kɛɹtɑːmɛn
certamen	kɚtɑmən
certification	sɚɾɪfɪkeɪʃən
chance	tʃʰɛəns~tʃʰeəns
chance	tʃʰæns~tʃʰans
chance	tʃʰɛəns~tʃʰeəns
chance	tʃʰæns~tʃʰans
chance	tʃʰɑːns
chance	tʃʰɐːns
chance	tʃʰɑːns
chance	tʃʰɐːns
chance	tʃʰɛəns~tʃʰeəns
chance	tʃʰæns~tʃʰans
chance	tʃʰɛəns~tʃʰeəns
chance	tʃʰæns~tʃʰans
chance	tʃʰɑːns
chance	tʃʰɐːns
chance	tʃʰɑːns
chance	tʃʰɐːns
chaotic	-ɾɪk
chaparral	ʃæpɪ̈ɹæl
chaparral	ʃæpɚɹæl
chaparral	ʃæpɪ̈ɹɛl
chaparral	ʃæpɚɹɛl
char	tʃɑɹ
char	tʃɑ˞
char	tʃɑɹ
char	tʃɑ˞
char	tʃɑɹ
char	tʃɑ˞
charnel	tʃɑːɹnəl
charnel	tʃɑːnəl
chartreuse	ʃɑːtɹɜːz
chartreuse	ʃɑɹtɹuːz
chartreuse	ʃɑɹtɹuːs
chastity	tʃæstɪɾi
chatelaine	-ɾl̩-
chatted	t͡ʃæɾɨd
chatted	t͡ʃæɾɨd
chatty	tʃæɾi
cheated	t͡ʃiɾɨd
cheated	t͡ʃiɾɨd
cheatery	-ɾə-
chelm	χɛlm
children	tʃɪlɹən
children	t͡ʃɪld͡ʒɹən
children	t͡ʃʊldɹən
china	t͡ʃʰaɪ̯nə
chitlins	tʃɪtˤlɪnz
chitlins	tʃɪːlɪnz
chitterlings	tʃɪtˤlɪnz
chitterlings	tʃɪːlɪnz
choo	tʃuː
chortle	t͡ʃɔɹɾɫ̩
chrain	χɹeɪn
cicada	sɪkʰeɪ̯də
cicada	sɪkʰɑːdə
cicada	sɪ̈kʰeɪ̯ɾə
cicada	sɪ̈kʰɑɾə
cider	sʌɪ̯dəɹ
cinnabar	sɪnəbaːɹ
cinnabar	sɪnəbɑːɹ
cinnabar	sɪnəbɑɹ
circle	sɜːkəɫ
circle	sɝkəɫ
circle	sɜːkəɫ
circle	sɝkəɫ
circuit	sɜːkɪt
circuit	sɝkət
cital	saɪtl̩
cital	sʌɪtl̩
cital	saɪdl̩
cited	sɐɪ̯ɾɨd
citing	saɪ̯ɾɪŋ
civilization	sɪvəlɑezæɪʃən
clam	kleəm
clam	kleəm
clay	kl̥eɪ
clean	kʰl̥iːn
clean	kʰl̥ĩn
clean	kʰl̥eːn
cleanup	kliːnʌp
climb	kˡlaɪm
clitoris	kl̴ɪɾəɹɪs
clutter	klʌɾɚ
coach	kʰəʊ̯tʃ
coach	kʰoʊ̯tʃ
coated	kʰoʊ̯ɾɨd
coating	kʰoʊ̯ɾɪŋ
coatings	kʰoʊ̯ɾɪŋz
coconut	kʰoʊ̯kənʌt
coconut	kʰəʉ̯kənʌt
colleen	kɑlin
come	kʰɐm
come	kʰʌm
comfortable	kɐmftɘbɯ
committee	kəmɪti
committee	kɒmɪtiː
committee	kɑmɪtiː
community	kəmjunəɾi
comox	kʰoʊmɒks
compare	kəmpɛɚ
compare	kəmpɛɹ
compare	kəmpeɚ
compare	kəmpeɹ
compare	kəmpɛː
compare	kəmpɛə
compare	kəmpeə
comptroller	kəmptɹoʊləɹ
comptroller	kəmtɹoʊləɹ
computer	kəmpʰjuɾɚ
conceptual	kʰənsɛpt͡ʃul̩
conference	kɑːnfɹəns
conference	kɑːnfɹn̩s
conservancy	kənsɜːvənsɪ
consider	kənsɪɾɚ
consigliere	kɒnsɪljɛɹi
consonantal	kʰɑnsənənɾəɫ
continent	kʰɑnʔɪnənt
corncob	kɔɹnkɑb
corrode	kəɹoʊ̯d
corrode	kɚɹoʊ̯d
cot	kʰɒʔt
cot	kʰɔt
cot	kʰɔʔ
cot	kʰɒːt̚
cot	kʰɒʔt
cot	kʰɔt
cot	kʰɔʔ
cot	kʰɒːt̚
cot	kʰɑt̚
cot	kʰat̚
cot	kʰɑt̚
cot	kʰat̚
coterie	koʊɾəɹi
coterie	koʊɾəɹi
cottage	kɑɾɪdʒ
cottage	kɑɾədʒ
cotton	kɑʔn̩
cougar	kʰuːɡə
cougar	kʰuɡɚ
could	kʰʊd
could	kʰəd
coulda	kʰʊdə
countable	kʰaʊnɾəbɫ̩
countable	kʰaʊnɾəbɫ̩
countenance	kʲʰæũ̯ʔɪ̆nəns
counter	kʰaʊ̯ɾ̃ɚ
country	kʰʌt͡ʃɹi
coupé	kuːpeɪ
coupé	kupe
cousin	kʰɐzən
coventry	kʰɒvəntʃɹi
coventry	kʰɑvəntʃɹi
crayon	kʰɹeɪɑn
crayon	kɹeən
crayon	kɹɛɔn~kɹæɔn
craytur	kɹeːt̪əɹ
creation	kɹiːʲeɪʃɘn
creep	kʰɹiːp
crocodile	kʰɹɑkədaɪɫ
croissant	kʰɹəsɑnt
croissant	kʰɹ̥əsɑnt
croton	kɹoʊ̯ʔn̩
cruckle	kʰɹʊkɫ̩
crumble	kɹʌmbɪ̈l
crumble	kɹʌmbl̩
cryptography	kɹ̥ɪptʰɒɡɹəfiː
cuba	kjʉːbə
cuba	kjuːbə
cuban	kjʉːbən
cuban	kjuːbən
cuban	kjubən
cuban	kjʉːbən
cuban	kjuːbən
cuban	kjubən
cúchulainn	kuːxulinʲ
cue	kj̥üː
cum	kʰʌm
cum	kʰʌm
cunt	kʰʌ̃ntʰ
cur	kɜː
cur	kɝ
cured	kjʊɘɹd
cursed	kʰɝsɪ̈d
cursed	kʰɝst
cursed	kʰɝst
curtain	kɝʔn̩
curve	kʰɜːv
curve	kʰɝv
curves	kʰɜːv
curves	kʰɝv
cylinder	sɪlɪ̈ndɚ
cymbal	sɪmbəɫ
cãntãtoru	kɨntɨtorʷ
cãntãtoru	kɨntətorʷ
cãntãtoru	kəntɨtorʷ
cãntãtoru	kəntətorʷ
daachdecker	daːʁdækɐ
dance	dɛəns~deəns
dance	dæns~dans
dance	dɛəns~deəns
dance	dæns~dans
dance	dɑːns
dance	dɑːns
dandle	dændəɫ
dangleberry	dæŋɡəɫbɛɹi
daniel	danjəl
daniel	danjəl
dapple	dæpəɫ
dappled	dæpəɫd
dardanelles	dɑːdənɛɫz
dardanelles	dɑɹdənɛɫz
daredevil	dɛədɛvəɫ
data	dæɾə
daughter	dɔɾɚ
dayum	dæ̙jəm
dayum	deəjəm
deacetyltransferase	diːəsiːtaɪɫtɹɑːnsfəɹeɪz
deal	dɪə̯ɫ
dealkylate	diːæɫkɪleɪt
dealkylated	diːæɫkɪleɪtəd
dealkylating	diːæɫkɪleɪtɪŋɡ
dealkylation	diːæɫkɪleɪʃən
dealkylative	diːæɫkɪlətɪv
dean	dĩːn
debatable	dɪbeɪtəbəɫ
debateful	dɪbeɪtfəɫ
debuggable	diːbʌɡəbəɫ
debuggable	diːbʊɡəbəɫ
debulk	diːbʌɫk
debulk	diːbʊɫk
debunkable	diːbʌŋkəbəɫ
debunkable	diːbʊŋkəbəɫ
decadal	dɪkeɪdəɫ
decagonal	dɪkæɡənəɫ
decahedral	dɛkəhiːdɹəɫ
decalcification	diːkæɫsɪfɪkeɪʃən
decalcifier	diːkæɫsɪfaɪəɹ
decalcify	diːkæɫsɪfaɪ
decalcifying	diːkæɫsɪfaɪjɪŋɡ
decalcomania	diːkæɫkəmeɪnɪə
decanormal	dɛkənɔːməɫ
decaprenyl	dɛkəpɹiːnaɪɫ
decasulfide	dɛkəsʌɫfaɪd
decasulfide	dɛkəsʊɫfaɪd
decasyllable	dɛkəsɪləbəɫ
decidable	dɪsaɪdəbəɫ
decidual	dɪsɪdʒʊəɫ
decile	dɛsaɪɫ
decile	diːsaɪɫ
decimal	dɛsɪməɫ
decimole	dɛsɪməʊɫ
decinormal	dɛsɪnɔːməɫ
decipherable	dɪsaɪfəɹəbəɫ
decisional	dɪsɪʒənəɫ
declarable	dɪklæɹəbəɫ
decodable	dɪkəʊdəbəɫ
decomposable	diːkəmpəʊzəbəɫ
decompositional	diːkɒmpəzɪʃənəɫ
deconstructable	diːkənstɹʌktəbəɫ
deconstructable	diːkənstɹʊktəbəɫ
deconstructional	diːkənstɹʌkʃənəɫ
deconstructional	diːkənstɹʊkʃənəɫ
decouplable	dɪkʌpələbəɫ
decouplable	diːkʌpələbəɫ
decouplable	diːkʌpləbəɫ
decouplable	dɪkʊpələbəɫ
decouplable	diːkʊpələbəɫ
decouplable	diːkʊpləbəɫ
decouple	diːkʌpəɫ
decouple	diːkʊpəɫ
decoupler	diːkʌpələɹ
decoupler	diːkʊpələ
decoupling	diːkʌpəlɪŋ
decoupling	diːkʊpəlɪŋɡ
decremental	dɛkɹəməntəɫ
decryptable	dɪkɹɪptəbəɫ
deducible	dɪdjuːsɪbəɫ
deductable	dɪdʌktəbəɫ
deductable	dɪdʊktəbəɫ
deductible	dɪdʌktəbəɫ
deductible	dɪdʊktəbəɫ
defalcate	dɛfəɫkeɪt
defalcation	dɛfəɫkeɪʃən
defalcator	dɛfəɫkeɪtəɹ
defatigable	dɪfætɪɡəbəɫ
defaultable	dɪfɔːɫtəbəɫ
defaulter	dɪfɔːɫtəɹ
defeasible	dɪfiːzɪbəɫ
defeatable	dɪfiːtəbəɫ
defendable	dɪfɛndəbəɫ
defensible	dɪfɛnsɪbəɫ
deferential	dɛfəɹɛnʃəɫ
deferrable	dɪfɜːɹəbəɫ
deferral	dɪfɜːɹəɫ
defiable	dɪfaɪjəbəɫ
defiled	dɪfaɪjəɫd
definable	dɪfaɪnəbəɫ
definitional	dɛfɪnɪʃənəɫ
deflectable	dɪflɛktəbəɫ
deformable	dɪfɔːməbəɫ
defoul	dɪfaʊɫ
deglucosyl	diːɡluːkəsɪɫ
degradable	dɪɡɹeɪdəbəɫ
dehydrocholesterol	diːhaɪdɹəkəlɛstəɹɒɫ
dehydroretinol	diːhaɪdɹəɹɛtɪnɒɫ
deicidal	deɪjɪsaɪdəɫ
deity	diəɾi
deity	deɪəɾi
delectable	dɪlɛktəbəɫ
delft	dɛɫft
delightful	dəlaɪ̯t̚fəɫ
delphi	dɛɫfi
delphine	dɛɫfiːn
delphine	dɛɫfiːn
delphinium	dɛɫfɪnɪəm
delta	dɛɫtə
demicircle	dɛmɪsɜːkəɫ
demographical	dɛməɡɹæfɪkəɫ
dendrological	dɛndɹəlɒdʒɪkəɫ
dendrophile	dɛndɹəfaɪɫ
density	dɛnsəɾi
dental	dɛnɾɫ̩
dental	dɛɾ̃ɫ̩
dependable	dɪpɛndəbəɫ
derivable	dɪɹaɪvəbəɫ
derival	dɪɹaɪvəɫ
dermal	dɜːməɫ
dermatological	dɜːmətəlɒdʒɪkəɫ
dermoneural	dɜːmənjʊəɹəɫ
describable	dɪskɹaɪbəbəɫ
desideratum	-ɾəm
desirable	dɪzaɪjəɹəbəɫ
desktop	dɛsktɔp
desktop	dɛsktɒp
desktop	dɛsktɑp
desktops	dɛsktɔps
desktops	dɛsktɒps
desktops	dɛsktɑps
despeckle	diːspɛkəɫ
detail	ditʰeɪɫ
diabolical	daɪəbɒlɪkəɫ
diabolical	daɪəbɑlɪkəɫ
diameter	-mɪɾɚ
diasporan	daɪæspəɹn̩
diasporan	dʌɪaspəɹn̩
dibutyl	daɪbjuːtaɪɫ
dictatorial	dɪktətɔːɹɪəɫ
diddle	dɪdəɫ
didn't	dɪɾn̩t
didn't	dɪʔn̩t
differential	dɪfəɹənʃəɫ
diggle	dɪɡəɫ
diggles	dɪɡəɫz
dight	dʌɪt
diisopropyl	daɪaɪsəʊpɹəʊpaɪɫ
dildo	dɪɫdəʊ
dildo	dɪɫdoʊ
dimethylbenzene	daɪmiːθaɪɫbɛnziːn
dingwad	dɪŋwɑd
dinner	dɪnɚ
diphenol	daɪfiːnɒɫ
diphenyl	daɪfiːnaɪɫ
dirgeful	dɜːdʒfəɫ
dirigible	dɪɹɪdʒəbəɫ
dirndl	dɪəndəɫ
dirty	dɝɾi
disable	dɪseɪbəɫ
disabled	dɪseɪbəɫd
disagreeable	dɪsəɡɹiəbəɫ
disapproval	dɪsəpɹuːvəɫ
disavail	dɪsəveɪɫ
disavowal	dɪsəvaʊəɫ
disbursal	dɪsbɜːsəɫ
discalceate	dɪskæɫsɪət
discalceate	dɪskæɫsɪeɪt
disculpate	dɪskʌɫpeɪt
disculpate	dɪskʊɫpeɪt
disembowel	dɪsɪmbaʊəɫ
disentangle	dɪsɪntæŋɡəɫ
disentitle	dɪsɪntaɪtəɫ
disfavourable	dɪsfeɪvɹəbəɫ
disgraceful	dɪsɡɹeɪsfəɫ
disgraceful	dɪzɡɹeɪsfəɫ
dishevel	dɪsʃɛvəɫ
disloyal	dɪslɔɪjəɫ
dismal	dɪzməɫ
dismantle	dɪsmæntʰəɫ
dismantle	dɪsmænʔəɫ
dismantle	dɪsmæ̃nɾɫ̩
dismantle	dɪsmæ̃nɫ̩
dismissal	dɪsmɪsəɫ
dismissal	dɪzmɪsəɫ
dispel	dɪspɛɫ
dispellable	dɪspɛləbəɫ
dispensable	dɪspʰɛnsəbɫ̩
dispensable	-bəɫ
disposal	dɪspəʊzəɫ
disproportional	dɪspɹəpɔːʃənəɫ
disrespectful	dɪsɹɪspɛktfəɫ
dissemble	dɪsɛmbəɫ
dissolve	dɪzɒɫv
distil	dɪstɪɫ
distill	dɪstɪɫ
ditto	dɪɾoʊ
diurnal	daɪɜːnəɫ
divinyl	daɪvaɪnɪɫ
divisible	dɪvɪzɪbəɫ
dniester	niːstə
dniester	dnɪestə
dockize	dɒkɑɪ̯z
dojo	dəʊ̯d͡ʒəʊ̯
dojo	doʊ̯d͡ʒoʊ̯
don't	doʊ̯ʔt̚
dope	dəʊp
dope	doʊp
double	dʌbɫ
doughty	dʌʊ̯ɾi
dower	daʊəɹ
dower	daʊɚ
drawn	dɹɔːn
drawn	dɹɔn
drawn	dɹɑn
drawn	dɹɔːn
drawn	dɹɔn
drawn	dɹɑn
dreich	dɹiːx
drill	dɹɪɫ
drink	dɹɪŋk
drink	d͡ʒɹɪŋk
drive	d͡ʒɹaɪv
drop	dɹɑp
drop	d͡ʒɹɑp
drought	dɹʌʊt
drug	dɹʌɡ
drug	d͡ʒɹʌɡ
drugs	dɹʌɡz
drugs	d͡ʒɹʌɡz
drumlin	dɹʌmlɪn
dunn	dɐn
eaten	iːʔn
eating	iɾɪŋ
eccentricity	ɛksəntɹɪsəɾi
edit	ɛɾɪʔt̚
editor	ɛˑdɪtɚ
editor	ɛˑɾɪɾɚ
eejit	iːd͡ʒɪθ͇
elbląg	ɛlblɔŋk
emphasis	ɛɱfəsɪs
emphasis	eɱfəsɪs
emphasis	ɛɱfəsəs
emphasis	eɱfəsəs
en	ɑ̃
en	õ
enabled	ɪneɪbəɫd
enabled	ɛneɪbəɫd
encouragement	ɪnkʌɹɪdʒmənt
entangle	ɛntaŋɡl̩
enter	ɛɾ̃ɚ
enter	ɪɾ̃ɚ
enter	ɪɾ̃ɚ
entertain	ɛɾ̃ɚtʰeɪn
epimutation	ɛpɪmjuteɪʃən
epitaph	ɛpɪtɑːf
epitaph	ɛpɪtæf
epitomic	epiːtɔmɪk
epitomic	ɛpɪtɒmɪk
epitomic	ɛpɪtɑmɪk
epitomic	epiːtɔmɪk
epitomic	ɛpɪtɒmɪk
epitomic	ɛpɪtɑmɪk
ersatz	ɛəɹsɑːts
essential	əsɛntʃəl
esteem	ɛstiːm
euler	ɔɪləɹ
euler	ɔʏlɐ
european	jɝəpiən
evidence	ɛvəɾəns
expensiveness	ɪk-
expensiveness	-spɪnsɪvnəs
expensiveness	-ɪvnəs
fächer	fæɕɐ
facticity	-ɾi
fahrlehrer	faːleːʁɐ
fan	feən
farrand	fæɹənd
farrand	fæɹənt
fastness	fæsnəs
fastness	fɑːsnəs
fatal	feɪɾɫ̩
fatal	feɪɾɫ̩
