aa	ɑː
aaroninsauva	ɑː r o̞ n i n s̠ ɑ u̯ ʋː ɑ
aarre	ɑː rː e̞ ʔ
aarrearkku	ɑː rː e̞ ʔ ɑ r kː u
aarrelöytö	ɑː rː e̞ l l ø̞ y̯ t̪ ø̞
aarresaari	ɑː rː e̞ s̠ s̠ ɑː r i
aasa	ɑː s̠ ɑ
aasainuskoinen	ɑː s̠ ɑ i̯ n u s̠ k o̞ i̯ n e̞ n
aasi	ɑː s̠ i
aasia	ɑː s̠ i ɑ
aasitamma	ɑː s̠ i t̪ ɑ mː ɑ
aatami	ɑː t̪ ɑ m i
aate	ɑː t̪ e̞ ʔ
aateli	ɑː t̪ e̞ l i
aatelinen	ɑː t̪ e̞ l i n e̞ n
aatelismies	ɑː t̪ e̞ l i s̠ m i e̞̯ s̠
aatelisnainen	ɑː t̪ e̞ l i s̠ n ɑ i̯ n e̞ n
aateloida	ɑː t̪ e̞ l o̞ i d ɑ ʔ
aateloiminen	ɑː t̪ e̞ l o̞ i m i n e̞ n
aatelointi	ɑː t̪ e̞ l o̞ i n̪ t̪ i
aato	ɑː t̪ o̞
aatos	ɑː t̪ o̞ s̠
aatra	ɑː t̪ r ɑ
aatto	ɑː t̪ː o̞
aava	ɑː ʋ ɑ
aave	ɑː ʋ e̞ ʔ
aavikko	ɑː ʋ i kː o̞
aavikkokenguru	ɑː ʋ i kː o̞ k e̞ ŋː u r u
aavikkolokki	ɑː ʋ i kː o̞ l o̞ kː i
aavikkopöllö	ɑː ʋ i kː o̞ p ø̞ lː ø̞
aavikoituakseen	ɑː ʋ i k o̞ i t̪ u ɑ k s̠ e̞ː n
aavikoituminen	ɑː ʋ i k o̞ i t̪ u m i n e̞ n
aavistaa	ɑː ʋ i s̠ t̪ ɑː ʔ
aavistaminen	ɑː ʋ i s̠ t̪ ɑ m i n e̞ n
aavisteleminen	ɑː ʋ i s̠ t̪ e̞ l e̞ m i n e̞ n
aavistus	ɑː ʋ i s̠ t̪ u s̠
abakus	ɑ b ɑ k u s̠
abbedissa	ɑː bː e d i sː ɑ
abbreviaatio	ɑ bː r e̞ ʋ i ɑː t̪ i o̞
aberraatio	ɑ b e̞ r r ɑː t̪ i o̞
abessiivi	ɑ b e̞ s̠ s̠ iː ʋ i
abi	ɑ b i
ablatiivi	ɑ b l ɑ t̪ iː ʋ i
ablaut	ɑ b l ɑ u t̪
abnormi	ɑ b n o̞ r m i
abortoida	ɑ b o̞ r t̪ o̞ i d ɑ ʔ
abortti	ɑ b o̞ r t̪ː i
abrakadabra	ɑ b r ɑ k ɑ d ɑ b r ɑ
absintti	ɑ b s̠ i n̪ t̪ː i
absoluutti	ɑ b s̠ o̞ l uː t̪ː i
absorboida	ɑ b s̠ o̞ r b o̞ i d ɑ ʔ
absorboiminen	ɑ b s̠ o̞ r b o̞ i m i n e̞ n
absorboitua	ɑ b s̠ o̞ r b o̞ i t̪ u ɑ ʔ
absorboituakseen	ɑ b s̠ o̞ r b o̞ i t̪ u ɑ k s̠ e̞ː n
absorboituminen	ɑ b s̠ o̞ r b o̞ i t̪ u m i n e̞ n
absorptio	ɑ b s̠ o̞ r p t̪ i o̞
absorptiokyky	ɑ b s̠ o̞ r p t̪ i o̞ k y k y
absorptioviiva	ɑ b s̠ o̞ r p t̪ i o̞ ʋ iː ʋ ɑ
abstrahoida	ɑ b s̠ t̪ r ɑ h o̞ i d ɑ ʔ
abstrahoiminen	ɑ b s̠ t̪ r ɑ h o̞ i m i n e̞ n
abstrahoituminen	ɑ b s̠ t̪ r ɑ h o̞ i t̪ u m i n e̞ n
abstraktio	ɑ b s̠ t̪ r ɑ k t̪ i o̞
abstraktistaminen	ɑ b s̠ t̪ r ɑ k t̪ i s̠ t̪ ɑ m i n e̞ n
abstraktistuminen	ɑ b s̠ t̪ r ɑ k t̪ i s̠ t̪ u m i n e̞ n
abstraktoida	ɑ b s̠ t̪ r ɑ k t̪ o̞ i d ɑ ʔ
adamantiini	ɑ d ɑ m ɑ n̪ t̪ iː n i
adamiitti	ɑ d ɑ m iː t̪ː i
adapteri	ɑ d ɑ p t̪ e̞ r i
adapterit	ɑ d ɑ p t̪ e̞ r i t̪
adaptoida	ɑ d ɑ p t̪ o̞ i d ɑ ʔ
adaptoiminen	ɑ d ɑ p t̪ o̞ i m i n e̞ n
adaptoitua	ɑ d ɑ p t̪ o̞ i t̪ u ɑ
adaptoitua	ɑ d ɑ p t̪ o̞ i t̪ u ɑ ʔ
addiktio	ɑ dː i k t̪ i o̞
additioreaktio	ɑ dː i t̪ i o̞ r e̞ ɑ k t̪ i o̞
addressi	ɑ dː r e̞ s̠ː i
adessiivi	ɑ d e̞ s̠ s̠ iː ʋ i
adiabaatti	ɑ d i ɑ b ɑː t̪ː i
adjektiivi	ɑ d j e̞ k t̪ iː ʋ i
adjungaatti	ɑ d j u ŋ ɡ ɑː t̪ː i
adoptio	ɑ d o̞ p t̪ i o̞
adoptoida	ɑ d o̞ p t̪ o̞ i d ɑ ʔ
adoptoiminen	ɑ d o̞ p t̪ o̞ i m i n e̞ n
adoptointi	ɑ d o̞ p t̪ o̞ i n̪ t̪ i
adpositio	ɑ d p o̞ s̠ i t̪ i o̞
adrenaliini	ɑ d r e̞ n ɑ l iː n i
adressi	ɑ d r e̞ s̠ː i
adressia	ɑ d r e̞ s̠ s̠ i ɑ
adsorboiminen	ɑ d s̠ o̞ r b o̞ i m i n e̞ n
adsorboituminen	ɑ d s̠ o̞ r b o̞ i t̪ u m i n e̞ n
adsukipapu	ɑ d s̠ u k i p ɑ p u
adventti	ɑ d ʋ e̞ n̪ t̪ː i
adventtikalenteri	ɑ d ʋ e̞ n̪ t̪ː i k ɑ l e̞ n t̪ e̞ r i
adverbi	ɑ d ʋ e̞ r b i
adverbiaali	ɑ d ʋ e̞ r b i ɑː l i
adverbilauseke	ɑ d ʋ e̞ r b i l ɑ u̯ s̠ e̞ k e̞ ʔ
aedeagus	ɑ e̞ d e̞ ɑː ɡ u s̠
aerobic	ɑ e̞ r o̞ b i kː i
aerobikata	ɑ e̞ r o̞ b i k ɑ t̪ ɑ ʔ
aerologia	ɑ e̞ r o̞ l o̞ ɡ i ɑ
aerometri	ɑ e̞ r o̞ m e̞ t̪ r i
aerometria	ɑ e̞ r o̞ m e̞ t̪ r i ɑ
aeronomi	ɑ e̞ r o̞ n o̞ m i
aeronomia	ɑ e̞ r o̞ n o̞ m i ɑ
aerosoli	ɑ e̞ r o̞ s̠ o̞ l i
affiliaatio	ɑ fː i l i ɑː t̪ i o̞
afgaani	ɑ f ɡ ɑː n i
afrikkalainen	ɑ f r i kː ɑ l ɑ i n e̞ n
agalmatoliitti	ɑ ɡ ɑ l m ɑ t̪ o̞ l iː t̪ː i
agentti	ɑ ɡ e n̪ t̪ː i
agglutinoida	ɑ ɡː l u t̪ i n o̞ i d ɑ ʔ
aggregaatio	ɑ ɡː r e̞ ɡ ɑː t̪ i o̞
aggressiivinen	ɑ ɡː r e̞ s̠ s̠ iː ʋ i n e̞ n
aggressiivisuus	ɑ ɡ r e̞ s̠ s̠ iː ʋ i s̠ uː s̠
aggressiivisuus	ɑ ɡː r e̞ s̠ s̠ iː ʋ i s̠ uː s̠
agility	ɑ ɡ i l i t̪ y
agitoida	ɑ ɡ i t̪ o̞ i d ɑ ʔ
agitoiminen	ɑ ɡ i t̪ o̞ i m i n e̞ n
agnostikko	ɑ ɡ n o̞ s̠ t̪ i kː o̞
agnostinen	ɑ ɡ n o̞ s̠ t̪ i n e̞ n
agnostisismi	ɑ ɡ n o̞ s̠ t̪ i s̠ i s̠ m i
agnostisuus	ɑ ɡ n o̞ s̠ t̪ i s̠ uː s̠
agogiikka	ɑ ɡ o̞ ɡ iː kː ɑ
agogo	ɑ ɡ o̞ ɡ o̞
agonaalinen	ɑ ɡ o̞ n ɑː l i n e̞ n
agonia	ɑ ɡ o n i ɑ
agonisti	ɑ ɡ o̞ n i s̠ t̪ i
agorafobia	ɑ ɡ o̞ r ɑ f o̞ b i ɑ
ah	ɑ h
aha	ɑ ɦ ɑ ʔ
ahaa	ɑ ɦ ɑː
ahava	ɑ ɦ ɑ ʋ ɑ
ahavoittaa	ɑ ɦ ɑ ʋ o̞ i t̪ː ɑː ʔ
ahavoittaminen	ɑ ɦ ɑ ʋ o̞ i t̪ː ɑ m i n e̞ n
ahavoitua	ɑ ɦ ɑ ʋ o̞ i t̪ u ɑ ʔ
ahavoituminen	ɑ ɦ ɑ ʋ o̞ i t̪ u m i n e̞ n
ahdas	ɑ x d ɑ s̠
ahdata	ɑ x d ɑ t̪ ɑ ʔ
ahdin	ɑ x d i n
ahdistaa	ɑ x d i s̠ t̪ ɑː ʔ
ahdistaminen	ɑ x d i s̠ t̪ ɑ m i n e̞ n
ahdisteleminen	ɑ x d i s̠ t̪ e̞ l e̞ m i n e̞ n
ahdistelu	ɑ x d i s̠ t̪ e̞ l u
ahdistua	ɑ x d i s̠ t̪ u ɑ ʔ
ahdistuminen	ɑ x d i s̠ t̪ u m i n e̞ n
ahdistushäiriö	ɑ x d i s̠ t̪ u s̠ h æ i̯ r i ø̞
ahertaa	ɑ ɦ e̞ r t̪ ɑː ʔ
ahertaminen	ɑ ɦ e̞ r t̪ ɑ m i n e̞ n
ahjo	ɑ x j o̞
ahjohiili	ɑ x j o̞ h iː l i
ahkera	ɑ x k e̞ r ɑ
ahkeroida	ɑ x k e̞ r o̞ i d ɑ ʔ
ahkeroiminen	ɑ x k e̞ r o̞ i m i n e̞ n
ahkeroitseminen	ɑ x k e̞ r o̞ i t s̠ e̞ m i n e̞ n
ahma	ɑ x m ɑ
ahmaiseminen	ɑ x m ɑ i̯ s̠ e̞ m i n e̞ n
ahmaista	ɑ x m ɑ i̯ s̠ t̪ ɑ ʔ
ahmia	ɑ x m i ɑ ʔ
ahmimishäiriö	ɑ x m i m i s̠ h æ i̯ r i ø̞
ahmintahäiriö	ɑ x m i n̪ t̪ ɑ h æ i̯ r i ø̞
ahnasta	ɑ x n ɑ s̠ t̪ ɑ
ahne	ɑ x n e̞ ʔ
ahnehtia	ɑ x n e̞ h t̪ i ɑ ʔ
ahnehtiminen	ɑ x n e̞ h t̪ i m i n e̞ n
ahneus	ɑ x n e̞ u s̠
aho	ɑ ɦ o̞
ahola	ɑ ɦ o̞ l ɑ
aholainen	ɑ ɦ o̞ l ɑ i n e̞ n
aholeinikki	ɑ ɦ o̞ l e̞ i̯ n i kː i
ahomansikka	ɑ ɦ o̞ m ɑ n s̠ i kː ɑ
ahosuolaheinä	ɑ ɦ o̞ s̠ u o̞̯ l ɑ h e̞ i̯ n æ
ahtaa	ɑ x t̪ ɑː ʔ
ahtaanpaikankammo	ɑ x t̪ ɑː m p ɑ i̯ k ɑ ŋ k ɑ mː o̞
ahtaminen	ɑ x t̪ ɑ m i n e̞ n
ahtaneeksi	ɑ x t̪ ɑ n e̞ː k s̠ i
ahtaneella	ɑ x t̪ ɑ n e̞ː lː ɑ
ahtaneelle	ɑ x t̪ ɑ n e̞ː lː e̞ ʔ
ahtaneelta	ɑ x t̪ ɑ n e̞ː l t̪ ɑ
ahtaneen	ɑ x t̪ ɑ n e̞ː n
ahtaneena	ɑ x t̪ ɑ n e̞ː n ɑ
ahtaneeseen	ɑ x t̪ ɑ n e̞ː s̠ e̞ː n
ahtaneessa	ɑ x t̪ ɑ n e̞ː s̠ː ɑ
ahtaneesta	ɑ x t̪ ɑ n e̞ː s̠ t̪ ɑ
ahtaneetta	ɑ x t̪ ɑ n e̞ː t̪ː ɑ
ahtanutta	ɑ x t̪ ɑ n u t̪ː ɑ
ahtauttaa	ɑ x t̪ ɑ u t̪ː ɑː ʔ
ahtauttaminen	ɑ x t̪ ɑ u t̪ː ɑ m i n e̞ n
ahtautua	ɑ x t̪ ɑ u t̪ u ɑ ʔ
ahtautuminen	ɑ x t̪ ɑ u t̪ u m i n e̞ n
ahtera	ɑ x t̪ e̞ r ɑ
ahti	ɑ x t̪ i
ahto	ɑ x t̪ o̞
ahtoutuminen	ɑ x t̪ o̞ u t̪ u m i n e̞ n
ahven	ɑ x ʋ e̞ n
ahvenanmaa	ɑ x ʋ e̞ n ɑ m m ɑː
ahvenanmaanlammas	ɑ x ʋ e̞ n ɑ m m ɑː n l ɑ mː ɑ s̠
ahvenanmeri	ɑ x ʋ e̞ n ɑ m m e̞ r i
ahvenmuhennos	ɑ x ʋ e̞ m m u ɦ e̞ nː o̞ s̠
ahvo	ɑ x ʋ o̞
ai	ɑ i̯
aiai	ɑ i̯ ɑ i̯
aidanteko	ɑ i̯ d ɑ n t̪ e̞ k o̞
aidas	ɑ i̯ d ɑ s̠
aidata	ɑ i̯ d ɑ t̪ ɑ ʔ
aidoittaminen	ɑ i̯ d o̞ i̯ t̪ː ɑ m i n e̞ n
aids	ɑ i̯ d s̠
aie	ɑ i̯ e̞ ʔ
aientaminen	ɑ i̯ e̞ n̪ t̪ ɑ m i n e̞ n
aihe	ɑ i̯ ɦ e̞ ʔ
aiheellistaminen	ɑ i̯ ɦ e̞ː l l i s̠ t̪ ɑ m i n e̞ n
aiheellistuminen	ɑ i̯ ɦ e̞ː l l i s̠ t̪ u m i n e̞ n
aihekokonaisuus	ɑ i̯ ɦ e̞ k̚ k o̞ k o̞ n ɑ i s̠ uː s̠
aihetodiste	ɑ i̯ ɦ e̞ t̪̚ t̪ o̞ d i s̠ t̪ e̞ ʔ
aiheuttaa	ɑ i̯ ɦ e̞ u t̪ː ɑː ʔ
aiheuttaminen	ɑ i̯ ɦ e̞ u t̪ː ɑ m i n e̞ n
aiheutua	ɑ i̯ ɦ e̞ u t̪ u ɑ ʔ
aiheutuminen	ɑ i̯ ɦ e̞ u t̪ u m i n e̞ n
aihio	ɑ i̯ ɦ i o̞
aija	ɑ i̯ jː ɑ
aijai	ɑ i̯ jː ɑ i̯
aika	ɑ i̯ k ɑ
aikaansaada	ɑ i̯ k ɑː n s̠ ɑː d ɑ ʔ
aikaansaaminen	ɑ i̯ k ɑː n s̠ ɑː m i n e̞ n
aikaansaavuus	ɑ i̯ k ɑː n s̠ ɑː ʋ uː s̠
aikaerotteinen	ɑ i̯ k ɑ e̞ r o̞ t̪ t̪ e̞ i n e̞ n
aikaikkuna	ɑ i̯ k ɑ i kː u n ɑ
aikaileminen	ɑ i̯ k ɑ i̯ l e̞ m i n e̞ n
aikailla	ɑ i̯ k ɑ i̯ lː ɑ ʔ
aikaillen	ɑ i̯ k ɑ i̯ lː e̞ n
aikainen	ɑ i̯ k ɑ i̯ n e̞ n
aikaisheteisyys	ɑ i̯ k ɑ i̯ s̠ h e̞ t̪ e̞ i̯ s̠ yː s̠
aikaistaa	ɑ i̯ k ɑ i̯ s̠ t̪ ɑː ʔ
aikaistaminen	ɑ i̯ k ɑ i̯ s̠ t̪ ɑ m i n e̞ n
aikaistua	ɑ i̯ k ɑ i̯ s̠ t̪ u ɑ ʔ
aikaistuminen	ɑ i̯ k ɑ i̯ s̠ t̪ u m i n e̞ n
aikajakso	ɑ i̯ k ɑ j ɑ k s̠ o̞
aikakatkaista	ɑ i̯ k ɑ k ɑ t̪ k ɑ i̯ s̠ t̪ ɑ ʔ
aikakatkaisu	ɑ i̯ k ɑ k ɑ t̪ k ɑ i̯ s̠ u
aikakauslehtipaperi	ɑ i̯ k ɑ k ɑ u̯ s̠ l e̞ h t̪ i p ɑ p e̞ r i
aikakoodi	ɑ i̯ k ɑ k o̞ː d i
aikalaskelma	ɑ i̯ k ɑ l ɑ s̠ k e̞ l m ɑ
aikamatkaaja	ɑ i̯ k ɑ m ɑ t̪ k ɑː j ɑ
aikamatkailu	ɑ i̯ k ɑ m ɑ t̪ k ɑ i̯ l u
aikamoinen	ɑ i̯ k ɑ m o̞ i n e̞ n
aikana	ɑ i̯ k ɑ n ɑ
aikanaan	ɑ i̯ k ɑ n ɑː n
aikaohjaus	ɑ i̯ k ɑ o̞ x j ɑ u s̠
aikapallo	ɑ i̯ k ɑ p ɑ lː o̞
aikaraja	ɑ i̯ k ɑ r ɑ j ɑ
aikasakko	ɑ i̯ k ɑ s̠ ɑ kː o̞
aikatauluttaa	ɑ i̯ k ɑ t̪ ɑ u̯ l u t̪ː ɑː ʔ
aikatauluttaminen	ɑ i̯ k ɑ t̪ ɑ u l u t̪ː ɑ m i n e̞ n
aikatyö	ɑ i̯ k ɑ t̪ y ø̞̯
aikaväli	ɑ i̯ k ɑ ʋ æ l i
aikido	ɑ i̯ k i d o̞
aikoa	ɑ i̯ k o̞ ɑ ʔ
aikoinaan	ɑ i̯ k o̞ i̯ n ɑː n
aikominen	ɑ i̯ k o̞ m i n e̞ n
aikuistua	ɑ i̯ k u i̯ s̠ t̪ u ɑ ʔ
aikuistuminen	ɑ i̯ k u i̯ s̠ t̪ u m i n e̞ n
aila	ɑ i̯ l ɑ
ailahdella	ɑ i̯ l ɑ h d e̞ lː ɑ ʔ
ailahdellen	ɑ i̯ l ɑ h d e̞ lː e̞ n
ailahtaa	ɑ i̯ l ɑ x t̪ ɑː ʔ
ailahtaminen	ɑ i̯ l ɑ x t̪ ɑ m i n e̞ n
ailahteleminen	ɑ i̯ l ɑ x t̪ e̞ l e̞ m i n e̞ n
aili	ɑ i̯ l i
ailurofobia	ɑ i̯ l u r o̞ f o̞ b i ɑ
aimo	ɑ i̯ m o̞
aina	ɑ i̯ n ɑ
aine	ɑ i̯ n e̞ ʔ
aineellistaminen	ɑ i̯ n e̞ː l l i s̠ t̪ ɑ m i n e̞ n
aineellistuminen	ɑ i̯ n e̞ː l l i s̠ t̪ u m i n e̞ n
aineenvaihdunta	ɑ i̯ n e̞ː n ʋ ɑ i̯ ç d u n̪ t̪ ɑ
aineet	ɑ i̯ n e̞ː t̪
aineistotietokanta	ɑ i̯ n e̞ i̯ s̠ t̪ o̞ t̪ i e̞̯ t̪ o̞ k ɑ n̪ t̪ ɑ
aineistuminen	ɑ i̯ n e̞ i̯ s̠ t̪ u m i n e̞ n
ainemäärä	ɑ i̯ n e̞ m m æː r æ
aineoppi	ɑ i̯ n e̞ ʔ o̞ pː i
aineryhmä	ɑ i̯ n e̞ r r y ç m æ
aines	ɑ i̯ n e̞ s̠
aini	ɑ i̯ n i
ainikki	ɑ i̯ n i kː i
aino	ɑ i̯ n o̞
ainoa	ɑ i̯ n o̞ ɑ
ainokainen	ɑ i̯ n o̞ k ɑ i n e̞ n
ainuntaa	ɑ i̯ n u n̪ t̪ ɑː ʔ
ainut	ɑ i̯ n u t̪
aio	ɑ i̯ o̞ ʔ
aioli	ɑ i̯ o̞ l i
aiolinen	ɑ i̯ o̞ l i n e̞ n
aira	ɑ i̯ r ɑ
airi	ɑ i̯ r i
airo	ɑ i̯ r o̞
airut	ɑ i̯ r u t̪
ais	ɑ i̯ s̠
aisa	ɑ i̯ s̠ ɑ
aisaaminen	ɑ i̯ s̠ ɑː m i n e̞ n
aisakeinu	ɑ i̯ s̠ ɑ k e̞ i̯ n u
aisankannatin	ɑ i̯ s̠ ɑ ŋ k ɑ nː ɑ t̪ i n
aistia	ɑ i̯ s̠ t̪ i ɑ ʔ
aistielämys	ɑ i̯ s̠ t̪ i e̞ l æ m y s̠
aistiharha	ɑ i̯ s̠ t̪ i h ɑ r h ɑ
aistikas	ɑ i̯ s̠ t̪ i k ɑ s̠
aistin	ɑ i̯ s̠ t̪ i n
aita	ɑ i̯ t̪ ɑ
aitaa	ɑ i̯ t̪ ɑː
aitaa	ɑ i̯ t̪ ɑː ʔ
aitaaminen	ɑ i̯ t̪ ɑː m i n e̞ n
aitio	ɑ i̯ t̪ i o̞
aito	ɑ i̯ t̪ o̞
aitoakseen	ɑ i̯ t̪ o̞ ɑ k s̠ e̞ː n
aitolehti	ɑ i̯ t̪ o̞ l e̞ h t̪ i
aitomaksasammal	ɑ i̯ t̪ o̞ m ɑ k s̠ ɑ s̠ ɑ mː ɑ l
aitominen	ɑ i̯ t̪ o̞ m i n e̞ n
aitosammal	ɑ i̯ t̪ o̞ s̠ ɑ mː ɑ l
aitotumainen	ɑ i̯ t̪ o̞ t̪ u m ɑ i̯ n e̞ n
aitovirna	ɑ i̯ t̪ o̞ ʋ i r n ɑ
aitta	ɑ i̯ t̪ː ɑ
aivan	ɑ i̯ ʋ ɑ n
aivastava	ɑ i̯ ʋ ɑ s̠ t̪ ɑ ʋ ɑ
aivasteleminen	ɑ i̯ ʋ ɑ s̠ t̪ e̞ l e̞ m i n e̞ n
aivastuttaminen	ɑ i̯ ʋ ɑ s̠ t̪ u t̪ː ɑ m i n e̞ n
aivojumppa	ɑ i̯ ʋ o̞ j u m pː ɑ
aivokalvontulehdus	ɑ i̯ ʋ o̞ k ɑ l ʋ o̞ n t̪ u l e̞ h d u s̠
aivokirurgi	ɑ i̯ ʋ o̞ k i r u r ɡ i
aivokuolema	ɑ i̯ ʋ o̞ k u o̞̯ l e̞ m ɑ
aivokuori	ɑ i̯ ʋ o̞ k u o̞̯ r i
aivokurkiainen	ɑ i̯ ʋ o̞ k u r k i ɑ i n e̞ n
aivokuume	ɑ i̯ ʋ o̞ k uː m e̞ ʔ
aivokäyrä	ɑ i̯ ʋ o̞ k æ y̯ r æ
aivolisäke	ɑ i̯ ʋ o̞ l i s̠ æ k e̞ ʔ
aivolohko	ɑ i̯ ʋ o̞ l o̞ x k o̞
aivolymfooma	ɑ i̯ ʋ o̞ l y m f o̞ː m ɑ
aivopestä	ɑ i̯ ʋ o̞ p e̞ s̠ t̪ æ ʔ
aivosähkökäyrä	ɑ i̯ ʋ o̞ s̠ æ h k ø̞ k æ y̯ r æ
aivot	ɑ i̯ ʋ o̞ t̪
aivotoiminta	ɑ i̯ ʋ o̞ t̪ o̞ i̯ m i n̪ t̪ ɑ
aivotrusti	ɑ i̯ ʋ o̞ t̪ r u s̠ t̪ i
aivotyrä	ɑ i̯ ʋ o̞ t̪ y r æ
aivotärähdys	ɑ i̯ ʋ o̞ t̪ æ r æ h d y s̠
aivovamma	ɑ i̯ ʋ o̞ ʋ ɑ mː ɑ
aivovaurio	ɑ i̯ ʋ o̞ ʋ ɑ u̯ r i o̞
aivoverenkiertohäiriö	ɑ i̯ ʋ o̞ ʋ e̞ r e̞ ŋ k i e̞̯ r t̪ o̞ h æ i̯ r i ø̞
aja	ɑ j ɑ ʔ
ajaa	ɑ j ɑː ʔ
ajaantuminen	ɑ j ɑː n̪ t̪ u m i n e̞ n
ajallaan	ɑ j ɑ lː ɑː n
ajallinen	ɑ j ɑ l l i n e̞ n
ajamaan	ɑ j ɑ m ɑː n
ajaminen	ɑ j ɑ m i n e̞ n
ajanhetki	ɑ j ɑ n h e̞ t̪ k i
ajankohtaistaminen	ɑ j ɑ ŋ k o̞ x t̪ ɑ i s̠ t̪ ɑ m i n e̞ n
ajankohtaistuminen	ɑ j ɑ ŋ k o̞ x t̪ ɑ i̯ s̠ t̪ u m i n e̞ n
ajanlasku	ɑ j ɑ n l ɑ s̠ k u
ajanmukaistuminen	ɑ j ɑ m m u k ɑ i̯ s̠ t̪ u m i n e̞ n
ajantasaistaminen	ɑ j ɑ n̪ t̪ ɑ s̠ ɑ i s̠ t̪ ɑ m i n e̞ n
