aag	ɑː χ
besig	b ɪ ə s ə χ
bestanddeel	b ə s t a n d ɪ ə̯ l
betekenis	b ə t i ə̯ k ə n ə s
beter	b ɪ ə t ə r
beton	b ə t ɔ n
bid	b ə t
bieg	b i χ
bier	b i r
bietjie	b i k i
biskop	b ə s k ɔ p
blaar	b l ɑː r
blank	b l a ŋ k
bliksem	b l ə k s ə m
bliksemstraal	b l ə k s ə m s t r ɑː l
blind	b l ə n t
bloed	b l u t
bloedbank	b l u t b a ŋ k
bloedgroep	b l u t χ r u p
bloemfontein	b l u m f ɔ n t ə i̯ n
blou	b l œ u̯
bloubok	b l œ u b ɔ k
bly	b l ə i
bo	b ʊ ə
boei	b u i̯
boek	b u k
boeke	b u k ə
boelie	b u l i
boemelaar	b u m ə l ɑː r
boep	b u p
boepens	b u p ɛ̃ː s
boer	b u r
bofbal	b ɔ̯ f b a l
bokwiet	b ɔ k v i t
bom	b ɔ m
bome	b ʊ ə m ə
boom	b ʊ ə m
boor	b ʊ ə r
boot	b ʊ ə t
bordeel	b ɔ r d ɪ ə̯ l
bors	b ɔː r s
borsmelk	b ɔ r s m ɛ l k
bos	b ɔ s
bosbedryf	b ɔ s b ə d r ə i f
bosse	b ɔ s ə
boswagter	b ɔ s v a χ t ə r
bot	b ɔ t
bote	b ʊ ə t ə
braai	b r ɑː i
braaivleis	b r ɑː i f l ə i s
brand	b r a n t
branderplank	b r a n d ə r p l a ŋ k
bredie	b r ɪ ə̯ d i
breed	b r ɪ ə̯ t
breekwater	b r ɪ ə̯ k v ɑː t ə r
breekwater	b r eː k ʋ aː t ə r
brekfis	b r ɛ k f ə s
breuk	b r ɪ ø k
brief	b r i f
briefkaart	b r i f k ɑː r t
bril	b r ə l
brode	b r ʊ ə d ə
broek	b r u k
bromponie	b r ɔ m p oː n i
brood	b r ʊ ə t
brug	b r œ χ
buig	b œ i̯ χ
buig	b ə i̯ χ
buis	b œ i s
buk	b œ k
bundel	b œ n d ə l
burgeroorlog	b œ r χ ə r ʊ ə̯ r l ɔ χ
buur	b y r
by	b ə i
byt	b ɛ i t
byvoorbeeld	b ɛ i̯ f o ə r b e ə l t
chemie	x ɛ m i
daagliks	d ɑː χ l ə k s
daai	d ɑː i̯
daaiman	d ɑː i̯ m ə n
daar	d ɑː r
daardie	d ɑː r d i
daardie	d ɑː r i
dader	d ɑː d ə r
dae	d ɑː ə
dag	d a χ
dagga	d a χ a
daggazol	d a χ a z ɔ l
daglig	d ɑ χ l ə χ
dak	d a k
dalk	d a l k
danig	d ɑː n ə χ
dankie	d a ŋ k i
darem	d ɑː r ə m
dassie	d a s i
dassiepis	d a s i p ə s
deug	d ɪ ø̯ χ
deur	d ɪ ø r
deure	d ɪ ø r ə
deurtrekker	d ɪ̯ ø r t r ɛ k ə r
die	d i
die	‿ i
dié	d i
diensstasie	d i n s t ɑː s i
diep	d i p
digter	d ə χ t ə r
dimensie	d i m ɛ n s i
dink	d ə ŋ k
dinq	d ɪ ŋ k
dis	d ə s
dit	d ɨ t
doek	d u k
doeke	d u k ə
dog	d ɔ χ
dogter	d ɔ χ t ə r
dogtertjie	d ɔ χ t ə r k i
dok	d ɔ k
dokkie	d ɔ k i
dokter	d ɔ k t ə r
dommie	d ɔ m i
donker	d ɔ ŋ k ə r
donkerte	d ɔ ŋ k ə r t ə
dons	d ɔ n s
dood	d ʊ ə t
doodgegaan	d o ə̯ t x ə x ɑː n
doof	d ʊ ə f
doofste	d ʊ ə f s t ə
doofste	d oː f s t ə
doofste	d oː f s t ə
doringboom	d ʊ ə̯ r n b ʊ ə̯ m
dorp	d ɔ r p
dowe	d ʊ ə v ə
draai	d r ɑː i
drif	d r ə f
drol	d r ɔ l
dronkaard	d r ɔ ŋ k ɑː r d
druk	d r œ k
drukkende	d r œ k ə n d ə
drup	d r œ p
duikweg	d œ i̯ k f ɛ x
duin	d œ i̯ n
duinebesie	d œ i̯ n ə b ɪ ə̯ s i
duister	d œ i s t ə r
duisternis	d œ i̯ s t ə r n ə s
duits	d œ i̯ t s
duskant	d œ s k a n t
dwaal	d v ɑː l
eend	ɪ ə̯ n t
eensaam	ɪ ə̯ n s ɑː m
eensaamheid	ɪ ə̯ n s ɑː m ɦ ə i̯ t
eers	ɪ ə̯ r s
eet	ɪ ə t
eeu	i u
egpaar	ɛ χ p ɑː r
eiendomsbelasting	ə i̯ ə n d ɔ m s b ə l a s t ə ŋ
eier	ə i ə r
eik	ə i̯ k
einde	ə i̯ n d ə
ek	ɛ k
ekstase	ɛ k s t ɑː s ə
elf	ɛ l f
en	ɛ n
en	ə n
enersyds	ɪ ə̯ n ə r s ə i̯ t s
engels	ɛ̃ˑ ŋ ə l s
engte	ɛ ŋ t ə
ensiklopedie	ɛ n s i k l ʊ ə p ə d i
erfenisgebied	ɛ t f ə n ə s χ ə b i t
ertjie	ɛ r k i
esel	ɪ ə s ə l
ewig	ɪ ə v ə x
fabriek	f a b r i k
fantasie	f a n t a s i
fantasie	f a n t ə s i
feeks	f ɪ ə̯ k s
fel	f ɛ l
fiets	f i t s
fisant	f i s a n t
flamink	f l a m ə ŋ k
fliek	f l i k
foon	f ʊ ə̯ n
foonsnol	f ʊ ə̯ n s n ɔ l
gaan	χ ɑː n
galg	χ a l χ
galm	χ a l m
gebaar	χ ə b ɑː r
gebaretaal	χ ə b ɑː r ə t ɑː l
gebed	χ ə b ɛ t
gebergte	χ ə b ɛ r χ t ə
geboorte	χ ə b ʊ ə̯ r t ə
gebou	χ ə b œ u̯
gedagte	χ ə d ɑ χ t ə
gedig	χ ə d ə χ
gee	χ ɪ ə
geëet	χ ə ɪ ə t
geel	χ ɪ ə̯ l
geelperske	χ ɪ ə̯ l p ɛ r s k ə
geelste	χ ɪ ə l s t ə
geelste	ɣ eː l s t ə
gees	χ ɪ ə̯ s
gegaan	χ ə χ ɑː n
gehad	χ ə ɦ a t
geheue	χ ə ɦ ɪ ø χ ə
geitjie	χ ə i k i
geld	χ ɛ l t
gele	χ ɪ ə l ə
geleë	χ ə l ɪ ə̯
geleë	χ ə l i ə
gelowig	χ ə l ʊ ə̯ v ə χ
gelowige	χ ə l ʊ ə̯ v ə χ ə
geluk	χ ə l œ k
gemeenskap	χ ə m ɪ ə̯ n s k a p
geskiedenis	χ ə s k i d ə n ə s
gesondheid	χ ə s ɔ n t ɦ ə i̯ t
geur	χ ɪ ø r
gevaar	χ ə f ɑː r
gevaarlik	χ ə f ɑː r l ə k
ghong	ɡ ɔ ŋ
gif	χ ə f
gifte	χ ə f t ə
giwwe	χ ə v ə
glas	χ l a s
gletser	χ l ɛ t s ə r
glimlag	χ l ə m l a χ
glo	χ l ʊ ə
god	χ ɔ t
goed	χ u t
gogga	χ ɔ χ a
goiing	χ ɔ i ə ŋ
gom	χ ɔ m
graf	χ r a f
grasieus	χ r a s i ɪ ø s
grens	χ r ɛ n s
groep	χ r u p
groet	χ r u t
grof	χ r ɔ f
grond	χ r ɔ n t
gruweldaad	χ r y v ə l d ɑː t
guur	χ yː r
haai	ɦ ɑː i
haan	ɦ ɑː n
haarnaald	ɦ ɑː r n ɑː l t
haarspeld	ɦ ɑː r s p ɛ l t
haat	ɦ ɑː t
halfrond	ɦ a l f r ɔ n t
hallo	ɦ a l ə u
ham	ɦ ɑ m
handruiker	ɦ a n t r œ i̯ k ə r
handskoen	ɦ a n t s k u n
hartaanval	ɦ a r t ɑː n f a l
hawe	ɦ ɑː v ə
hê	ɦ ɛː
heelal	ɦ ɪ ə̯ l a l
heipaal	ɦ ə i̯ p ɑː l
helder	ɦ ɛ l d ə r
hemel	ɦ ɪ ə m ə l
hemp	ɦ ɛ m p
hennep	ɦ ɛ n ə p
herfs	ɦ ɛ r f s
herinner	ɦ ɛ r ɪ n ə r
herinnering	ɦ ɛ r ə n ə r ə ŋ
herinnering	ɦ ɛ r ə n ə r ə ŋ
hertog	ɦ ɛ r t ɔ χ
het	ɦ ɛ t
het	ə t
hierdie	ɦ i r i
hierdie	ɦ i r d i
hings	ɦ ə ŋ s
hobo	ɦ ʊ ə b ʊ ə
hoed	h u t
hoeka	ɦ u k a
hoekom	ɦ u k ɔ m
hoender	ɦ u n ə r
hoenders	ɦ u n ə r s
hoeveel	h uː f eː l
hol	ɦ ɔ l
holte	ɦ ɔ l t ə
hond	ɦ ɔ n t
honger	ɦ ɔ ŋ ə r
hongersnood	ɦ ɔ ŋ ə r s n ʊ ə̯ t
hoof	ɦ ʊ ə̯ f
hoofstad	ɦ ʊ ə̯ f s t a t
hoog	ɦ ʊ ə χ
hoogste	ɦ ʊ ə χ s t ə
horing	ɦ ʊ ə r ə ŋ
hou	ɦ œ u
huis	ɦ œ i s
huise	h œ i s ə
hy	ɦ ə i
hys	ɦ ə i̯ s
hysbak	ɦ ə i̯ s b a k
iemand	i m a n t
iets	i t s
iewers	i v ə r s
iewers	ɪ ə̯ v ə r s
ink	ə ŋ k
innig	ə n ə x
intiem	ə n t i m
inwoner	ə n v ʊ ə n ə r
is	ə s
ja	j aː
jaar	j ɑː r
jaart	j ɑː r t
jare	j ɑː r ə
jas	j a s
jellievis	d ʒ ɛ l i f ə s
jesus	j ɪ ə̯ s œ s
jil	j ə l
joel	j u l
johannesburg	j ʊ ə ɦ a n ə s b œ r χ
jok	j ɔ k
jong	j ɔ ŋ
jonk	j ɔ ŋ k
juis	j œ i̯ s
julle	j œ l ə
jy	j ə i
kaaldans	k ɑː l d a n s
kaaps	k ɑː p s
kaapstad	k ɑː p s t a t
kaas	k ɑː s
kabeljou	k a b ə l j œ u̯
kaboedel	k a b u d ə l
kaffer	k a f ə r
kakkerlak	k a k ə r l a k
kalf	k a l f
kalkoen	k a l k u n
kamer	k ɑː m ə r
kamp	k a m p
kan	k a n
kandidaat	k a n d i d ɑː t
kanker	k a ŋ k ə r
kar	k a r
kardoes	k a r d u s
karre	k a r ə
kat	k a t
katoliek	k a t ʊ ə̯ l i k
keel	k ɪ ə̯ l
keiser	k ə i̯ s ə r
kelder	k ɛ l d ə r
kelk	k ɛ l k
ken	k ɛ n
kerk	k ɛ r k
kerkvader	k ɛ r k f ɑː d ə r
kerm	k ɛ r m
kernkragsentrale	k ɛ r ə n k r a χ s ɛ n t r ɑː l ə
ketel	k ɪ ə̯ t ə l
kiek	k i k
kieliebak	k i l i b a k
kierie	k i r i
kiesa	k i s a
kikvors	k ə k f ɔ r s
kil	k ə l
kim	k ə m
kind	k ə n t
kinders	k ə n ə r s
kinderwa	k ə n d ə r v ɑː
klaar	k l ɑː r
klad	k l a t
kleef	k l eː v ə n
klei	k l ə i̯
klein	k l ə i̯ n
kleinkind	k l ə i̯ n k ə n t
kleur	k l ɪ ø r
klewerig	k l ɪ ə̯ v ə r ə x
klier	k l i r
klinker	k l ə ŋ k ə r
klont	k l ɔ n t
kluisenaar	k l œ i̯ s ə n ɑː r
knaag	k n ɑː χ
knae	k n ɑː ə
knaende	k n ɑː ə n d ə
kneg	k n ɛ χ
koeël	k uː l
koeëls	k uː l s
koei	k u i
koek	k u k
koelkas	k u l k a s
koffie	k ɔ f i
kolonie	k ʊ ə̯ l ʊ ə̯ n i
kom	k ɔ m
kombers	k ɔ m b ɛː r s
kombuis	k ɔ m b œ i̯ s
komeet	k ʊ ə̯ m ɪ ə̯ t
komkommer	k ɔ m k ɔ m ə r
kommunikeer	k ɔ m y n i s ɪ ə̯ r
kompas	k ɔ m p a s
kon	k ɔ n
koning	k ʊ ə n ə ŋ
konsentrasiekamp	k ɔ n s ɛ n t r ɑː s i k a m p
kont	k ɔ n t
kooi	k oː i
koop	k ʊ ə̯ p
kopende	k ʊ ə p ə n d ə
koper	k oː p ə r
koraalrif	k ʊ ə̯ r ɑː l r ə f
kors	k ɔ r s
kortbroek	k ɔ r t b r u k
kots	k ɔ t s
koud	k œ u t
kous	k œ u s
kraai	k r ɑː i
kraal	k r ɑː l
kreukel	k r ɪ ø k ə l
kriek	k r i k
krimpvark	k r ə m p f a r k
kroon	k r ʊ ə̯ n
kruid	k r œ i̯ t
kruk	k r œ k
kry	k r ə i
kuier	k œ i̯ ə r
kurk	k œ r k
kus	k œ s
kwarantyn	k ʋ ɑ r ɑ n t ə i n
kweekskool	k v ɪ ə̯ k s k ʊ ə̯ l
kwik	k v ə k
kwyl	k v ə i̯ l
laag	l ɑː χ
laagste	l ɑː χ s t ə
laat	l ɑː t
laatmiddag	l ɑː t m ə d a χ
lae	l ɑː ə
laer	l ɑː ə r
lag	ɫ ɐ χ
lam	l a m
land	l a n t
landdros	l a n d r ɔ s
lap	l a p
lasterveldtog	l a s t ə r f ɛ l t ɔ χ
lat	l a t
lê	l ɛː
lede	l ɪ ə d ə
leeg	l ɪ ə χ
leegste	l ɪ ə χ s t ə
leer	l ɪ ə r
leerarea	l e ə r a r ɛ a
lees	l ɪ ə s
lekker	l ɛ k ə r
lemoen	l ə m u n
leraar	l ɪ ə̯ r ɑː r
les	l ɛ s
lewe	l ɪ ə v ə
lewer	l ɪ ə̯ v ə r
liefdesbrief	l i f d ə s b r i f
lieg	l i χ
lig	l ə χ
liggaam	l ə χ ɑː m
liggende	l ə χ ə n d ə
lint	l ə n t
lip	l ə p
lof	l ɔ f
lok	l ɔ k
lol	l ɔ l
long	l ɔ ŋ
lood	l ʊ ə t
loop	l ʊ ə p
lug	l œ χ
luik	l œ y̯ k
luis	l œ i s
luister	l œ i s t ə r
lyf	l ə i f
lyk	l ə i k
lyke	l ə i k ə
lys	l ə i s
lyste	l ə i s t ə
lywe	l ə i v ə
maak	m ɑː k
maalvleis	m ɑː l f l ə i̯ s
maan	m ɑː n
maar	m ɑː r
maat	m ɑː t
mag	m a χ
magneet	m a χ n ɪ ə̯ t
majoor	m a j ʊ ə̯ r
majoor	m ə j ʊ ə̯ r
man	m a n
mas	m a s
masedonië	m ɑ s ə d ʊ ə n i j ə
meersinnig	m ɪ ə̯ r s ə n ə x
meisie	m ə i s i
melkskommel	m ɛ l k s k ɔ m ə l
melktand	m ɛ l k t a n t
mening	m ɪ ə̯ n ə ŋ
mes	m ɛ s
met	m ɛ t
metafoor	m ɪ ə̯ t a f ʊ ə̯ r
middag	m ə d a χ
middelmannetjie	m ɪ d ə l m ʌ n ə k i
middelmatigheid	m ɪ̈ d ə ɫ m ɑː t ə χ ə i̯ t
mielie	m i l i
mier	m i r
mik	m ə k
mikroskoop	m i k r ʊ ə̯ s k ʊ ə̯ p
mikroskoop	m i k r u s k ʊ ə̯ p
mis	m ə s
mishandel	m ə s ɦ ɑ n d ə l
missiel	m ə s i l
moedertaalspreker	m u d ə r t ɑː l s p r e ə̯ k ə r
moedertaalsprekers	m u d ə r t ɑː l s p r e ə̯ k ə r s
moes	m u s
moet	m u t
mog	m ɔ χ
moltrein	m ɔ l t r ə i̯ n
monnik	m ɔ n ə k
mooi	m oː i̯
moor	m ʊ ə̯ r
moord	m ʊ ə̯ r t
môre	m ɔː r ə
mos	m ɔ s
mossel	m ɔ s ə l
mosterdgas	m ɔ s t ə r t χ a s
motief	m ʊ ə̯ t i f
motor	m ʊ ə̯ t ə r
mou	m œ u̯
muf	m œ f
mug	m œ χ
muggie	m œ χ i
muis	m œ i̯ s
mummie	m œ m i
my	m ə i
'n	ə
naald	n ɑː l t
nader	n ɑː d ə r
nag	n a χ
nagereg	n ɑː χ ə r ɛ χ
nasie	n ɑː s i
navo	n ɑː f o ə̯
naweek	n ɑː v ɪ ə̯ k
nè	n ɛ
nee	n i əː
neerlê	n i ə̯ r l ɛː
nes	n ɛ s
neuk	n ɪ ø k
neus	n ɪ ø s
nie	n i
nie	‿ i
nier	n i r
nigeries	n i χ ɪ ə̯ r i s
nis	n ə s
nog	n ɔ χ
nooi	n oː i̯
nooit	n oː i t
noot	n ʊ ə̯ t
nou	n œ u
nuut	n y t
nuut	n i t
oefen	u f ə n
oes	u s
oeste	u s t ə
oggend	ɔ χ ə n t
olie	ʊ ə̯ l i
olifant	ʊ ə̯ l i f a n t
olifantslurp	oː l i f ɑ n t s l u r p
onaards	ɔ n ɑː r t s
onbeteuelbaar	ɔ n b ə t ɪ ø ə l b ɑː r
onderbroek	ɔ n ə r b r u k
onkruid	ɔ ŋ k r œ i̯ t
onkruiddoder	ɔ ŋ k r œ i̯ t d ʊ ə̯ d ə r
onnodig	ɔ n ʊ ə̯ d ə x
ons	ɔ n s
onse	ɔ n s ə
onteenseglik	ɔ n t ɪ ə̯ n s ɛ χ l ə k
onthou	ɔ n t ɦ œ u̯
ontploffing	ɔ n t p l ɔ f ə ŋ
ontsteking	ɔ n t s t ɪ ə̯ k ə ŋ
ontvang	ɔ n t f a ŋ
onwaardig	ɔ n v ɑː r d ə χ
oog	o ə χ
ooglid	ʊ ə̯ χ l ə t
oom	o ə m
oond	ʊ ə̯ n t
oop	ʊ ə̯ p
oor	ʊ ə̯ r
oorlog	ʊ ə r l ɔ χ
oorly	u ə̯ r l ə ɪ̯
oorslaan	ʊ ə r s l aː n
oorspoel	ʊ ə̯ r s p u l
opdrag	ɔ p d r a χ
opeet	ɔ p ɪ ə̯ t
open	ʊ ə̯ p ə n
opname	ɔ p n ɑː m ə
orde	ɔ r d ə
orgaan	ɔ r χ ɑː n
organisasie	ɔ r χ a n i s ɑː s i
orgasme	ɔ r ɣ a s m ə
oseaan	ʊ ə̯ s ɪ ə̯ ɑː n
ossewa	ɔ s ə v ɑː
ou	œ u
outonomie	œ u t ʊ ə n ʊ ə m i
paal	p ɑː l
padda	p a d a
padda	p a r a
paddavoet	p a d a f u t
paling	p ɑː l ɪ ŋ
paljas	p a l j a s
palmboom	p a l m b ʊ ə̯ m
pampoen	p a m p u n
pap	p a p
papier	p a p iː r
paradoks	p a r a d ɔ k s
paspoort	p a s p ʊ ə̯ r t
passaat	p a s ɑː t
pels	p ɛ l s
perd	p æː r t
perfek	p ə r f ɛ k
perfek	p ɛ r f ɛ k
pers	p ɛː r s
pers	p æː r s
pers	p ɛ r s
pers	p ɛ r s
perske	p ɛ r s k ə
piek	p i k
pienk	p i ŋ k
piering	p i r ə ŋ
piesang	p i s a ŋ
pil	p ə l
pla	p l ɑː
plaas	p l ɑː s
plaende	p l ɑː ə n d ə
plank	p l a ŋ k
platejoggie	p l ɑː t ə j ɔ χ i
platteland	p l a t ə l a n t
plesier	p l ə s iː r
pluk	p l œ k
poes	p u s
poësie	p ʊ ə̯ ə s i
pofadder	p ɔ f a d ə r
polder	p ɔ l d ə r
pole	p ʊ ə l ə
pols	p ɔ l s
pomp	p ɔ m p
pools	p ʊ ə l s
poot	p ʊ ə̯ t
poskantoor	p ɔ s k a n t ʊ ə̯ r
praat	p r ɑː t
prent	p r ɛ n t
presies	p r ə s i s
pretoria	p r ə t ʊ ə r i a
prinses	p r ə n s ɛ s
profeet	p r ʊ ə f ɪ ə t
pruim	p r œ i̯ m
publikasie	p y b l i k ɑː s i
publiseer	p y b l i s ɪ ə̯ r
pyn	p ə i n
pynappel	p ə i̯ n a p ə l
pyne	p ə i n ə
pynstiller	p ə i̯ n s t ə l ə r
pyp	p ə i p
raaf	r ɑː f
raai	r ɑː i
raap	r ɑː p
radio	r ɑː d i ʊ ə̯
rand	r ɐ n t
raserny	r ɑː s ə r n ə i̯
rassis	r a s ə s
reebok	r ɪ ə̯ b ɔ k
reeks	r ɪ ə̯ k s
reeksmoordenaar	r ɪ ə̯ k s m ʊ ə̯ r d ə n ɑː r
reën	r ɪ ə̯ n
reën	r eː ə n
regering	r ə χ ɪ ə̯ r ə ŋ
regs	r ɛ χ s
reier	r ə i̯ ə r
renoster	r ə n ɔ s t ə r
republiek	r ɛ p ɵ b l i k
restaurant	r ɛ s t ʊ ə̯ r a n t
restaurant	r ɛ s t u r a n t
reus	r ɪ ø s
riet	r i t
ritme	r ə t m ə
rivier	r ə f iː r
robot	r ʊ ə̯ b ɔ t
roep	r u p
roep	r u p
roereier	r u r ə i̯ ə r
rof	r ɔ f
rok	r ɔ k
rol	r ɔ l
rolle	r ɔ l ə
rolstoel	r ɔ l s t u l
rooi	r oː i̯
rooibos	r oː i̯ b ɔ s
rooikappie	r oː i̯ k ɑ p i
rook	r ʊ ə̯ k
room	r ʊ ə̯ m
roos	r ʊ ə̯ s
rou	r œ u
rûe	r œː
rug	r œ χ
ruiker	r œ i̯ k ə r
ruïne	r y i n ə
ruit	r œ i̯ t
rus	r œ s
ry	r ə i
rym	r ə i̯ m
saal	s ɑː l
saam	s ɑː m
saamkom	s ɑː m k ɔ m
sag	s a χ
sakdoek	s a k d u k
sakevrou	s ɑː k ə f r œ u̯
sal	s a l
salamander	s a l a m a n d ə r
salmander	s a l m a n d ə r
sambreel	s a m b r ɪ ə l
samevatting	s ɑː m ə f a t ə ŋ
sand	s a n t
sandkasteel	s a n t k a s t ɪ ə̯ l
sappig	s a p ə χ
se	s ə
sê	s ɛː
seekomkommer	s ɪ ə̯ k ɔ m k ɔ m ə r
seën	s ɪ ə̯ n
seep	s ɪ ə p
seeskap	s ɪ ə̯ s k a p
seevlak	s ɪ ə̯ f l a k
seis	s ə i s
seisoen	s ə i̯ s u n
sekere	s ɪ ə k ə r ə
sel	s ɛ l
selde	s ɛ l d ə
selmaat	s ɛ l m ɑː t
serp	s ɛ r p
servet	s ə r f ɛ t
seun	s e ø n
seuntjie	s e ø n k i
siek	s i k
siektekiem	s i k t ə k i m
sien	s i n
sigbaar	s ə χ b ɑː r
siklus	s i k l œ s
silwer	s ə l v ə r
sin	s ə n
sing	s ə ŋ
skaamte	s k ɑː m t ə
skaamteloos	s k ɑː m t ə l ʊ ə̯ s
skaap	s k ɑː p
skaatsplank	s k ɑ t s p l a ŋ k
skadu	s k ɑː d y
skaduwee	s k ɑː d ə v i ə̯
skare	s k ɑː r ə
skarminkel	s k a r m ə ŋ k ə l
skat	s k a t
skedel	s k ɪ ə̯ d ə l
skêr	s k ɛː r
skiet	s k i t
skim	s k ə m
skip	s k ə p
skoen	s k u n
skoolvoeding	s k ʊ ə̯ l f u d ə ŋ
skoon	s k ʊ ə̯ n
skoot	s k ʊ ə t
skottelgoed	s k ɔ t ə l χ u t
skroef	s k r u f
skroewe	s k r u v ə
skuld	s k œ l t
skyf	s k ə i f
slaan	s l ɑː n
slaat	s l ɑː t
slak	s l a k
slank	s l a ŋ k
slavin	s l ɑː v ə n
slawe	s l ɑː v ə
sleutel	s l ɪ ø t ə l
sloep	s l u p
sluit	s l œ i t
slurp	s l œ r p
smous	s m œ u̯ s
s'n	s ə n
snaaks	s n ɑː k s
snags	s n a χ s
snawel	s n ɑː v ə l
sneeu	s n i u
snert	s n ɛ r t
snik	s n ə k
snoek	s n u k
snol	s n ɔ l
snorkel	s n ɔ r k ə l
soen	s u n
soet	s u t
soewerein	s u ʋ ə r ə i n
soewereiniteit	s u ʋ ə r ə i n i t ə i t
sog	s ɔ χ
sok	s ɔ k
soldaat	s ɔ l d ɑː t
somers	s ʊ ə̯ m ə r s
soms	s ɔ m s
son	s ɔ n
sonder	s ɔ n d ə r
sonneblom	s ɔ n ə b l ɔ m
sonnig	s ɔ n ə χ
soontoe	s ʊ ə̯ n t u
soos	s ʊ ə s
sou	s œ u
sous	s œ u̯ s
spaarsamig	s p ɑː r s ɑː m ə χ
spaarvark	s p ɑː r f a r k
spaarwiel	s p ɑː r v i l
speelgrond	s p ɪ ə l χ r ɔ n t
spel	s p ɛ l
spieël	s p iː l
spieëls	s p iː l s
splinternuut	s p l ə n t ə r n y t
spoedbult	s p u t b œ l t
spoel	s p u l
spook	s p ʊ ə̯ k
spoorweg	s p oː r w ɛ χ
spraakvryheid	s p r ɑː k f r ə i̯ ɦ ə i̯ t
spyker	s p ə i̯ k ə r
staafkode	s t ɑː f k ʊ ə̯ d ə
staal	s t ɑː l
staan	s t ɑː n
staatshoof	s t ɑː t s ɦ ʊ ə̯ f
stad	s t a t
stadsaal	s t a t s ɑː l
stadspoort	s t a t s p ʊ ə̯ r t
staking	s t aː k ɪ ŋ
steen	s t ɪ ə̯ n
steenkool	s t ɪ ə̯ n k ʊ ə̯ l
stilte	k ə l t ə
stoel	s t u l
stoep	s t u p
stof	s t ɔ f
stokkielekker	s t ɔ k i l ɛ k ə r
stol	s t ɔ l
stoomroller	s t ʊ ə̯ m r ɔ l ə r
stowwe	s t ɔ v ə
straal	s t r ɑː l
straatvrou	s t r ɑː t f r œ u̯
strand	s t r a n t
strek	s t r ɛ k
strepieskode	s t r ɪ ə̯ p i s k ʊ ə̯ d ə
strik	s t r ə k
stront	s t r ɔ n t
stroop	s t r ə ʊ̯ p
stroopwafel	s t r ʊ ə̯ p v ɑː f ə l
strydwa	s t r ə i t v ɑː
stug	s t œ χ
stuk	s t œ k
sug	s œ χ
suig	s œ i χ
suigstokkie	s œ i̯ χ s t ɔ k i
suiker	s œ i̯ k ə r
sus	s œ s
suster	s œ s t ə r
suur	s y r
swaan	s v ɑː n
sweep	s v ɪ ə̯ p
sweet	s v ɪ ə̯ t
swembad	s v ɛ m b a t
swembad	s v ə m b a t
sy	s ə i
taal	t ɑː l
tabernakel	t a b ə r n ɑː k ə l
tafel	t ɑː f ə l
tale	t ɑː l ə
tamatie	t a m ɑː t i
tandeborsel	t a n d ə b ɔ r s ə l
tandepasta	t a n d ə p a s t a
tandepasta	t a n ə p a s t a
tanzanië	t ɑ n z ɑː n i ə
te	t ə
tee	t ɪ ə̯
teef	t i ə f
teekoppie	t ɪ ə̯ k ɔ p i
teel	t i ə̯ l
teen	t ɪ ə n
teerpad	t ɪ ə̯ r p a t
