サス	s ä s ɯ̥ᵝ
あきたいぬ	a̠ kʲ i̥ t a̠ i n ɯ̟ᵝ
あきたけん	a̠ kʲ i̥ t a̠ i n ɯ̟ᵝ
あきたけん	a̠ kʲ i t a̠ k ẽ̞ ɴ
あきない	a̠ kʲ i n a̠ i
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
あきはばら	a̠ kʲ i h a̠ b a̠ ɾ a̠
あきふく	a̠ kʲ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あきらか	a̠ kʲ i ɾ a̠ k a̠
あきれがお	a̠ kʲ i ɾ e̞ ɡ a̠ o̞
アキレスけん	a̠ kʲ i ɾ e̞ s ɨ̥ᵝ k ẽ̞ ɴ
アキンボ	a̠ kʲ ĩ m b o̞
あぎとう	a̠ ɡʲ i t o̞ː
あく	a̠ k ɯ̟ᵝ
アクアウオーキング	a̠ k ɯ̟ᵝ a̠ ɯ̟ᵝ o̞ː kʲ ĩ ŋ ɡ ɯ̟ᵝ
アクアサイズ	a̠ k ɯ̟ᵝ a̠ s a̠ i z ɨᵝ
アクアビクス	a̠ k ɯ̟ᵝ a̠ bʲ i k ɯ̟ᵝ s ɨᵝ
アクアマリン	a̠ k ɯ̟ᵝ a̠ m a̠ ɾʲ ĩ ɴ
アクアリウム	a̠ k ɯ̟ᵝ a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
あくいあくしょく	a̠ k ɯ̟ᵝ i a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
あくいんあっか	a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠
あくえいきょう	a̠ k ɯ̟ᵝ e̞ː kʲ o̞ː
いたずら	i t a̠ z ɨᵝ ɾ a̠
あくぎ	a̠ k ɯ̟ᵝ ɡʲ i
アクシスジカ	a̠ k ɯ̟ᵝ ɕ i s ɨᵝ ʑ i k a̠
アクシデント	a̠ k ɯ̟ᵝ ɕ i d ẽ̞ n t o̞
あくじき	a̠ k ɯ̟ᵝ ʑ i kʲ i
あくじき	a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
あくじゅんかん	a̠ k ɯ̟ᵝ ʑ ɨ̃ᵝ ŋ k ã̠ ɴ
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
アクセント	a̠ k ɯ̟ᵝ s ẽ̞ n t o̞
あくたい	a̠ k ɯ̟ᵝ t a̠ i
アクチニウム	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アクチニド	a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i d o̞
アクチノイド	a̠ k ɯ̟̊ᵝ t͡ɕ i n o̞ i d o̞
あくとく	a̠ k ɯ̟ᵝ t o̞ k ɯ̟ᵝ
あくば	a̠ k ɯ̟ᵝ b a̠
あくま	a̠ k ɯ̟ᵝ m a̠
あくみょうだかい	a̠ k ɯ̟ᵝ mʲ o̞ː d a̠ k a̠ i
あくむ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
アクメ	a̠ k ɯ̟ᵝ m e̞
あくめ	a̠ k ɯ̟ᵝ m e̞
あくやく	a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
アクラ	a̠ k ɯ̟ᵝ ɾ a̠
アクリジン	a̠ k ɯ̟ᵝ ɾʲ i ʑ ĩ ɴ
あくりょう	a̠ k ɯ̟ᵝ ɾʲ o̞ː
アクリル	a̠ k ɯ̟ᵝ ɾʲ i ɾ ɯ̟ᵝ
あくろ	a̠ k ɯ̟ᵝ ɾ o̞
アクロバット	a̠ k ɯ̟ᵝ ɾ o̞ b a̠ t̚ t o̞
あぐり	a̠ ɡ ɯ̟ᵝ ɾʲ i
あけ	a̠ k e̞
あけがた	a̠ k e̞ ɡ a̠ t a̠
あけくれる	a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
あけぐれ	a̠ k e̞ ɡ ɯ̟ᵝ ɾ e̞
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
あけはなす	a̠ k e̞ h a̠ n a̠ s ɨᵝ
あけび	a̠ k e̞ bʲ i
あけみ	a̠ k e̞ mʲ i
あけわたし	a̠ k e̞ ɰᵝ a̠ t a̠ ɕ i
あけわたす	a̠ k e̞ ɰᵝ a̠ t a̠ s ɨᵝ
あげは	a̠ ɡ e̞ h a̠
あげはちょう	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あげもの	a̠ ɡ e̞ m o̞ n o̞
アコーディオン	a̠ k o̞ː dʲ i õ̞ ɴ
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
あこがれ	a̠ k o̞ ɡ a̠ ɾ e̞
とびうお	t o̞ bʲ i ɯ̟ᵝ o̞
とびお	t o̞ bʲ i o̞
あご	a̠ ɡ o̞
あごひげ	a̠ ɡ o̞ ç i ɡ e̞
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
あさくら	a̠ s a̠ k ɯ̟ᵝ ɾ a̠
あさなわ	a̠ s a̠ n a̠ ɰᵝ a̠
あさひ	a̠ s a̠ ç i̥
あさひかわ	a̠ s a̠ ç i k a̠ ɰᵝ a̠
アサヒる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あさひる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あざける	a̠ z a̠ k e̞ ɾ ɯ̟ᵝ
あざとい	a̠ z a̠ t o̞ i
じ	d͡ʑ i
あざ	a̠ z a̠
あざな	a̠ z a̠ n a̠
あしか	a̠ ɕ i̥ k a̠
あがき	a̠ ɡ a̠ kʲ i
あしがき	a̠ ɕ i ɡ a̠ kʲ i
あしかき	a̠ ɕ i k a̠ kʲ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
あしがる	a̠ ɕ i ɡ a̠ ɾ ɯ̟ᵝ
あしコキ	a̠ ɕ i k o̞ kʲ i
あしざま	a̠ ɕ i z a̠ m a̠
アシスタント	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞
あさ	a̠ s a̠
あしたれぼし	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
あしばや	a̠ ɕ i b a̠ j a̠
あしび	a̠ ɕ i bʲ i
あしまわり	a̠ ɕ i m a̠ ɰᵝ a̠ ɾʲ i
あしゅ	a̠ ɕ ɨᵝ
あしゅう	a̠ ɕ ɨᵝː
あしゅら	a̠ ɕ ɨᵝ ɾ a̠
あしゆ	a̠ ɕ i j ɯ̟ᵝ
アシル	a̠ ɕ i ɾ ɯ̟ᵝ
アシルき	a̠ ɕ i ɾ ɯ̟ᵝ kʲ i
あじ	a̠ ʑ i
アジア	a̠ ʑ i a̠
あじきない	a̠ ʑ i kʲ i n a̠ i
あじけない	a̠ ʑ i k e̞ n a̠ i
あじさし	a̠ ʑ i s a̠ ɕ i
アジスアベバ	a̠ ʑ i s ɨᵝ a̠ b e̞ b a̠
アジソンびょう	a̠ ʑ i s õ̞ m bʲ o̞ː
アジト	a̠ ʑ i t o̞
あじみ	a̠ ʑ i mʲ i
あじわい	a̠ ʑ i ɰᵝ a̠ i
アスタチン	a̠ s ɨᵝ t a̠ t͡ɕ ĩ ɴ
アステカ	a̠ s ɨᵝ t e̞ k a̠
アステリスク	a̠ s ɨ̥ᵝ t e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
アストロターフ	a̠ s ɨᵝ t o̞ ɾ o̞ t a̠ː ɸ ɯ̟ᵝ
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
アスパラガス	a̠ s ɨ̥ᵝ p a̠ ɾ a̠ ɡ a̠ s ɨᵝ
アスパラギン	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɴ
アスパラギンさん	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɰ̃ s ã̠ ɴ
アスピリン	a̠ s ɨ̥ᵝ pʲ i ɾʲ ĩ ɴ
アスファルト	a̠ s ɨ̥ᵝ ɸ a̠ ɾ ɯ̟ᵝ t o̞
アスベスト	a̠ s ɨᵝ b e̞ s ɨ̥ᵝ t o̞
アスペ	a̠ s ɨᵝ p e̞
アスペルギルス	a̠ s ɨᵝ p e̞ ɾ ɯ̟ᵝ ɡʲ i ɾ ɯ̟ᵝ s ɨᵝ
アスンシオン	a̠ s ɨ̃ᵝ ɰ̃ ɕ i õ̞ ɴ
あずまごと	a̠ z ɨᵝ m a̠ ɡ o̞ t o̞
あずまや	a̠ z ɨᵝ m a̠ j a̠
アズレン	a̠ z ɨᵝ ɾ ẽ̞ ɴ
あせくさい	a̠ s e̞ k ɯ̟̊ᵝ s a̠ i
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
アセティシズム	a̠ s e̞ tʲ i ɕ i z ɨᵝ m ɯ̟ᵝ
アセナフテン	a̠ s e̞ n a̠ ɸ ɯ̟ᵝ t ẽ̞ ɴ
かんしん	k ã̠ ɰ̃ ɕ ĩ ɴ
あせも	a̠ s e̞ m o̞
あせぼ	a̠ s e̞ b o̞
あせり	a̠ s e̞ ɾʲ i
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アゼルバイジャン	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɴ
アゼルバイジャンじん	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɲ̟ d͡ʑ ĩ ɴ
あそこ	a̠ s o̞ k o̞
あそびごころ	a̠ s o̞ bʲ i ɡ o̞ k o̞ ɾ o̞
あそびにん	a̠ s o̞ bʲ i ɲ̟ ĩ ɴ
あそびば	a̠ s o̞ bʲ i b a̠
アゾール	a̠ z o̞ː ɾ ɯ̟ᵝ
あたいりく	a̠ t a̠ i ɾʲ i k ɯ̟ᵝ
あたくし	a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたし	a̠ t a̠ ɕ i
わたくし	ɰᵝ a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたたか	a̠ t a̠ t a̠ k a̠
あたまじらみ	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
あたまだかがた	a̠ t a̠ m a̠ d a̠ k a̠ ɡ a̠ t a̠
アタリ	a̠ t a̠ ɾʲ i
あだ	a̠ d a̠
あだばな	a̠ d a̠ b a̠ n a̠
あちら	a̠ t͡ɕ i ɾ a̠
あっ	a̠ ʔ
あっかん	a̠ k̚ k ã̠ ɴ
アックス	a̠ k̚ k ɯ̟ᵝ s ɨᵝ
あっさく	a̠ sː a̠ k ɯ̟ᵝ
あっさり	a̠ sː a̠ ɾʲ i
アッシリア	a̠ ɕː i ɾʲ i a̠
あっせい	a̠ sː e̞ː
あったかい	a̠ t̚ t a̠ k a̠ i
あったまる	n ɯ̟ᵝ k ɯ̟ᵝ m a̠ ɾ ɯ̟ᵝ
ぬくめる	n ɯ̟ᵝ k ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
ぬるめる	n ɯ̟ᵝ ɾ ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
あっためる	a̠ t̚ t a̠ m e̞ ɾ ɯ̟ᵝ
アットホーム	a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
あっぱれ	a̠ p̚ p a̠ ɾ e̞
アップテンポ	a̠ p̚ p ɯ̟ᵝ t ẽ̞ m p o̞
アップル	a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
アップローダー	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d a̠ː
アップロード	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d o̞
あつ	a̠ t͡s ɨᵝ
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつか	a̠ t͡s ɨᵝ k a̠
あつかん	a̠ t͡s ɨᵝ k ã̠ ɴ
あつがみ	a̠ t͡s ɨᵝ ɡ a̠ mʲ i
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつさしのぎ	a̠ t͡s ɨᵝ s a̠ ɕ i n o̞ ɡʲ i
あつま	a̠ t͡s ɨᵝ m a̠
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつもの	a̠ t͡s ɨᵝ m o̞ n o̞
あつりょく	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ
あて	a̠ t e̞
あてこむ	a̠ t e̞ k o̞ m ɯ̟ᵝ
あてじ	a̠ t e̞ ʑ i
あてずっぽう	a̠ t e̞ z ɨᵝ p̚ p o̞ː
アディダス	a̠ dʲ i d a̠ s ɨᵝ
アデュー	a̠ dʲ ɨᵝː
あとあじ	a̠ t o̞ a̠ ʑ i
あとがき	a̠ t o̞ ɡ a̠ kʲ i
あとさき	a̠ t o̞ s a̠ kʲ i
あとつぎ	a̠ t o̞ t͡s ɨᵝ ɡʲ i
あとまわし	a̠ t o̞ m a̠ ɰᵝ a̠ ɕ i
アトム	a̠ t o̞ m ɯ̟ᵝ
あとり	a̠ t o̞ ɾʲ i
あどけない	a̠ d o̞ k e̞ n a̠ i
アドバイザー	a̠ d o̞ b a̠ i z a̠ː
アドバイス	a̠ d o̞ b a̠ i s ɨ̥ᵝ
アドベ	a̠ d o̞ b e̞
アドベンチュア	a̠ d o̞ b ẽ̞ ɲ̟ t͡ɕ ɨᵝ a̠
アドリブ	a̠ d o̞ ɾʲ i b ɯ̟ᵝ
アドレナリン	a̠ d o̞ ɾ e̞ n a̠ ɾʲ ĩ ɴ
あな	a̠ n a̠
アナーキスト	a̠ n a̠ː kʲ i s ɨ̥ᵝ t o̞
アナーキズム	a̠ n a̠ː kʲ i z ɨᵝ m ɯ̟ᵝ
あなうさぎ	a̠ n a̠ ɯ̟ᵝ s a̠ ɡʲ i
アナウンサー	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s a̠ː
アナウンス	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ
アナウンスメント	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ m ẽ̞ n t o̞
アナキスト	a̠ n a̠ kʲ i s ɨ̥ᵝ t o̞
アナキズム	a̠ n a̠ kʲ i z ɨᵝ m ɯ̟ᵝ
あなぐま	a̠ n a̠ ɡ ɯ̟ᵝ m a̠
アナグラム	a̠ n a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
アナコンダ	a̠ n a̠ k õ̞ n d a̠
あなご	a̠ n a̠ ɡ o̞
貴方方	a̠ n a̠ t a̠ ɡ a̠ t a̠
貴方達	a̠ n a̠ t a̠ t a̠ t͡ɕ i
アナフィラキシー	a̠ n a̠ ɸʲ i ɾ a̠ kʲ i ɕ iː
あなん	a̠ n ã̠ ɴ
あなみ	a̠ n a̠ mʲ i
けい	k e̞ː
あに	a̠ ɲ̟ i
アニオン	a̠ ɲ̟ i õ̞ ɴ
あにき	a̠ ɲ̟ i kʲ i
あにぶん	a̠ ɲ̟ i b ɯ̟̃ᵝ ɴ
アニメ	a̠ ɲ̟ i m e̞
アニメーション	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɴ
アニメーションスタジオ	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɰ̃ s ɨᵝ t a̠ ʑ i o̞
あね	a̠ n e̞
あねき	a̠ n e̞ kʲ i
あねったい	a̠ n e̞ t̚ t a̠ i
あねはづる	a̠ n e̞ h a̠ z ɨᵝ ɾ ɯ̟ᵝ
あねぶん	a̠ n e̞ b ɯ̟̃ᵝ ɴ
あの	a̠ n o̞
アノア	a̠ n o̞ a̠
あのう	a̠ n o̞ː
アノード	a̠ n o̞ː d o̞
あの方	a̠ n o̞ k a̠ t a̠
あの方々	a̠ n o̞ k a̠ t a̠ ɡ a̠ t a̠
あの人達	a̠ n o̞ ç i̥ t o̞ t a̠ t͡ɕ i
アバカス	a̠ b a̠ k a̠ s ɨᵝ
あばく	a̠ b a̠ k ɯ̟ᵝ
あばずれ	a̠ b a̠ z ɨᵝ ɾ e̞
あばよ	a̠ b a̠ j o̞
あばら	a̠ b a̠ ɾ a̠
あばれる	a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ
アパルトヘイト	a̠ p a̠ ɾ ɯ̟ᵝ t o̞ h e̞ː t o̞
アパート	a̠ p a̠ː t o̞
あひさん	a̠ ç i s ã̠ ɴ
あひる	a̠ ç i ɾ ɯ̟ᵝ
あび	a̠ bʲ i
あびこ	a̠ bʲ i k o̞
アビシニアン	a̠ bʲ i ɕ i ɲ̟ i ã̠ ɴ
アピア	a̠ pʲ i a̠
アフガニスタン	a̠ ɸ ɯ̟ᵝ ɡ a̠ ɲ̟ i s ɨᵝ t ã̠ ɴ
アフガン	a̠ ɸ ɯ̟ᵝ ɡ ã̠ ɴ
アフターバーナー	a̠ ɸ ɯ̟̊ᵝ t a̠ː b a̠ː n a̠ː
アフリカ	a̠ ɸ ɯ̟ᵝ ɾʲ i k a̠
あぶ	a̠ b ɯ̟ᵝ
アブダビ	a̠ b ɯ̟ᵝ d a̠ bʲ i
あぶら	a̠ b ɯ̟ᵝ ɾ a̠
あぶらつのざめ	a̠ b ɯ̟ᵝ ɾ a̠ t͡s ɨᵝ n o̞ z a̠ m e̞
あぶらとりがみ	a̠ b ɯ̟ᵝ ɾ a̠ t o̞ ɾʲ i ɡ a̠ mʲ i
