ізгі	ɘ z ɡ ɘ
тетраэдр	tʲ ɪ t r a ɪ d r
тоғыз	t o ɣ ɨ z
тоқсан	t o q s a n
тромбон	t r ɐ m b o n
туба	t u b ə
тұрғын	t ʊ ɾ ɣ ʊ n
тұрғын	t ʊ ɾ ɣ ə n
тұрғын	t ʊ r ɣ ɨ n
тұрғын	t u r ɣ ɨ n
уганда	ʊ ɡ a n d ə
уйғур	u j ɣ u r ~ w i ɣ u r
университет	ʊ nʲ ɪ vʲ ɪ r sʲ ɪ tʲ e t
уругвай	ʊ r ʊ ɡ v a j
утилитаризм	ʊ tʲ ɪ lʲ ɪ t ɐ rʲ i z m
фагот	f ɐ ɡ o t
факториал	f ə k t ə rʲ ɪ a l
фарад	f ɐ r a d
федерация	fʲ ɪ dʲ ɪ r a t͡s ɨ j ə
фетиш	f ɛ tʲ i ʃ
физиология	fʲ ɪ zʲ ɪ ɐ l o ɡʲ ɪ j ə
филиппиндер	fʲ ɪ lʲ ɪ pʲ i n dʲ e r
фонема	f ɐ n ɛ m ə
формализм	f ə r m ɐ lʲ i z m
фосфор	f o s f ə r
хассий	x a sʲ ɪ j
химия	xʲ i mʲ ɪ j ə
хлор	x l o r
хлоропласт	x l ə r ɐ p l a s t
хлороформ	x l ə r ɐ f o r m
холестерин	x ə lʲ ɪ s t ɨ rʲ i n
хорватия	x ɐ r v a tʲ ɪ j ə
шабдалы	ɕ ɐ b d ɑ l ə
шабдалы	t͡ʃ ɐ b d ɑ l ə
шам	ʃ a m
шарманка	ʃ ɐ r m a n k ə
швеция	ʃ vʲ e t͡s ɨ j ə
шимпанзе	ʃ ɨ m p ɐ n z ɛ
шоколад	ʃ ɔ k ə l a d
шымкент	ʃ ɯ m k ɛ n t
экзистенциализм	ɛ ɡ zʲ ɪ s t ɛ n t͡s ɨ ɐ lʲ i z m
экскурсия	ɪ k s k u r sʲ ɪ j ə
электролиз	ɪ lʲ ɪ k t r o lʲ ɪ s
электрон	ɪ lʲ ɪ k t r o n
электроника	ɪ lʲ ɪ k t r o nʲ ɪ k ə
электроскоп	ɛ lʲ ɪ k t r ɐ s k o p
элемент	ɪ lʲ ɪ mʲ e n t
эллипс	ɛ lʲ ɪ p s
эллипсоид	ɛ lʲ ɪ p s o ɪ d
энтальпия	ɛ n t ɐ lʲ pʲ i ɪ̯ ə
энтропия	ɪ n t r ɐ pʲ i j ə
энциклопедия	ɪ n t͡s ɨ k l ɐ pʲ e dʲ ɪ j ə
эпиграф	ɪ pʲ i ɡ r ə f
эфиопия	ɪ fʲ ɪ o pʲ ɪ j ə
яхта	j a x t ə
қабір	q ɑ b i r
қабір	q ɑ b ɘ ɾ
қараша	q a r a ʃ a
қаңтар	q a ŋ t a r
қызыл	q ə z ə l
қыпшақ	q ɯ p ʃ ɑ q ~ q ə p ɕ ɑ q
қыркүйек	q ɨ r k y j e k
қырғыз	q ɯ r ɣ ɯ z ~ q ə ɾ ɣ ə z
қырғыз	q ɯ r ɣ ɯ z ~ q ɨ ɾ ɣ ɨ z
қырғызстан	q ɯ r ʁ ɯ z s t ɑ n ~ q ə ɾ ʁ ə z s t ɑ n
құйрық	q ʊ j r ə q
ұйғыр	u j ʁ ɯ r ~ ʊ i̯ ʁ ə r
ұшақ	ʊ ʃ ɑ q
әмбебап	æ m bʲ e b a p
өзбекстан	œ z bʲ e k s t ɑ n ~ œ z bʲ ɪ k s t ɑ n
өзбекстан	ø z bʲ e k s t a n ~ ø z bʲ ɛ k s t a n ~ ø z bʲ æ k s t a n ~ ø z bʲ ɪ k s t a n
өзбекстан	ø z bʲ e x s t a n ~ ø z bʲ ɛ x s t a n ~ ø z bʲ æ x s t a n ~ ø z bʲ ɪ x s t a n
өлім	ø l ɪ m ~ ɵ l ɘ m
