a	aː
biber	biːbɐ
bich	biɕ
bichelchen	biɕəlɕən
bicherbuttek	biɕɐbutek
bicherwuerm	biɕɐvuə̯m
bidden	bidən
bidet	bideː
bieden	biə̯dən
bier	biə̯
bier	biːɐ
bierg	biə̯ɕ
biergen	biə̯ʑən
bierger	biə̯ʑɐ
biergof	biə̯ʑoːf
biergop	biə̯ʑop
bierk	biə̯k
biesem	biə̯zəm
biewen	biə̯vən
bifdeck	bivdæk
bigel	biʑəl
biichten	biːɕtən
bijoutier	biʒutjeː
bilden	bildən
bildschierm	bilt͡ʃiə̯m
billard	biljaːχ
billen	bilən
bindestréch	bindəʃtʀəɕ
biologie	bioloʒiː
bir	biə̯
bir	biːɐ
bitzen	bitsən
biz	biːt͡s
blann	blɑn
blatlaus	blaːdlæˑʊ̯s
blatz	blɑt͡s
blatzeg	blɑt͡səɕ
bleech	bleːɕ
bleechen	bleːɕən
bleiwen	blɑɪ̯vən
blennen	blænən
blessur	blæsyə̯
blessur	blæsyːɐ
blesséieren	blæsɜɪ̯əʀən
blietchen	bliə̯tɕən
blo	bloː
blobrëschtchen	bloːbʁəʃtɕən
bloder	bloːdɐ
blosen	bloːzən
blouss	bləʊ̯s
bludden	bludən
bluttdrock	bluddʀok
bluttjonk	bludjoŋk
bluttrout	bludʀəʊ̯t
bläi	blæˑɪ̯
bläien	blæˑɪ̯ən
bläistëft	blæˑɪ̯ʃtəft
bléck	blek
bléi	blɜɪ̯
bléien	blɜɪ̯ən
bléis	blɜɪ̯s
bléist	blɜɪ̯st
bléit	blɜɪ̯t
blénken	bleŋkən
blëtz	blət͡s
blëtzen	blət͡sən
boma	boːmaː
bommel	boməl
bord	boːɐ
botanesch	botaːnəʃ
bottel	botəl
botter	botɐ
bottermëllech	botɐmələɕ
botzen	bot͡sən
bou	bəʊ̯
bouf	bəʊ̯f
bouillon	bujõː
boun	bəʊ̯n
bouneschlupp	bəʊ̯nəʃlup
bouss	bəʊ̯s
brach	bʀɑχ
braconnéieren	bʀɑkonɜɪ̯əʀən
brand	bʀɑnt
branntewäin	bʀɑntəvæˑɪ̯n
brauchen	bʀæˑʊ̯χən
brauen	bʀɑʊ̯ən
braut	bʀæˑʊ̯t
brautrank	bʀæˑʊ̯dʀɑŋk
bremsspur	-ʃpuə̯
bremsspur	bʀæmpsʃpuːɐ
brennen	bʀænən
brennes	bʀænəs
bretzel	bʀæt͡səl
bretzen	bʀæt͡sən
briech	bʀiə̯ɕ
briecheisen	bʀiə̯ʑɑɪ̯zən
briechen	bʀiə̯ɕən
briecht	bʀiə̯ɕt
briet	bʀiə̯t
brigang	bʀiɡɑŋ
britesch	bʀitəʃ
broden	bʀoːdən
brodéieren	bʀodɜɪ̯əʀən
brongbrëschtchen	bʀoŋbʀəʃtɕən
bronkeg	bʀoŋkəɕ
brout	bʀəʊ̯t
brudder	bʀudɐ
bräi	bʀæˑɪ̯
bräit	bʀæˑɪ̯t
bréchs	bʀəɕs
brécht	bʀəɕt
bréck	bʀek
bréien	bʀɜɪ̯ən
bréif	bʀɜɪ̯f
bréifkëscht	bʀɜɪ̯fkəʃt
bréissel	bʀɜɪ̯səl
bréit	bʀɜɪ̯t
bréits	bʀɜɪ̯t͡s
bréngen	bʀeŋən
brëll	bʀəl
brëllen	bʀələn
brëtsch	bʀət͡ʃ
buchen	buχən
buddelen	budələn
buedduch	buə̯dduχ
buedem	buə̯dəm
bueden	buə̯dən
buedzëmmer	buə̯tt͡səmɐ
buer	buə̯
buer	buːɐ
bueren	buə̯ʀən
buerg	buə̯ɕ
buet	buə̯t
bugger	buɡɐ
busgare	buzɡaːχ
buttek	butek
bäcker	bækɐ
bäckeschdosen	bækəʒdoːzən
bäikommen	bæˑɪ̯komən
bäileed	bæˑɪ̯leːt
bäisetzen	bæˑɪ̯zæt͡sən
bäiss	bæˑɪ̯s
bäissen	bæˑɪ̯sən
bäisst	bæˑɪ̯st
béchs	beks
bécken	bekən
béid	bɜɪ̯t
béiden	bɜɪ̯dən
béien	bɜɪ̯ən
béier	bɜɪ̯ɐ
béifchen	bɜɪ̯fɕən
béis	bɜɪ̯s
béissen	bɜɪ̯sən
bëbee	bəbe
bëlleg	bələɕ
bënns	bənts
bënnt	bənt
bësch	bəʃ
bëschof	bəʃoːf
bëselen	bəzələn
bëss	bəs
bëtong	bətoŋ
cabillaud	kɑbijoː
cale	kɑl
capabel	kɑpaːbəl
capot	kɑpoː
catchen	kɑt͡ʃən
chamber	ʃɑ̃ːbɐ
champignon	ʃɑ̃ːpinjõː
chancëgläichheet	ʃɑ̃ːsəɡlæˑɪ̯ɕheːt
changéieren	ʃɑ̃ʒɜɪ̯əʀən
chantage	ʃɑ̃ːtaːʃ
charakter	kɑʀɑktɐ
chauffer	ʃoːfɐ
chauffersflucht	ʃoːfɐsfluχt
chauffeur	ʃoːføːɐ
chaufféieren	ʃofɛɪ̯əʀən
chimie	ʃimiː
choufleur	ʃuːfløːɐ
chrëscht	kʀəʃt
chrëschtbeemchen	kʀəʃtbeːmɕən
chrëschtdag	kʀəʒdaːχ
chrëschtentum	kʀəʃtəntuːm
chrëschtlech	kʀəʃtləɕ
collaboratioun	kolɑboʀɑtsjəʊ̯n
comptoir	kõːtwaːχ
computer	kompjuːtɐ
confirméieren	konfiʁmɜɪ̯əʀən
constitutioun	konstitutsjəʊ̯n
couragéiert	kuʁaːʒɜɪ̯ɐt
cricket	kʀikət
da	daː
daachen	daːχən
daachliicht	daːʁliːɕt
dach	dɑχ
dachs	dɑks
dacks	dɑks
daimchen	dɑɪ̯mɕən
dall	dɑl
damm	dɑm
damp	dɑmp
dangen	dɑŋən
danken	dɑŋkən
dann	dɑn
danz	dɑnts
danzen	dɑntsən
daper	daːpɐ
dapp	dɑp
dar	daːχ
dass	dɑs
dat	dɑt
datt	dɑt
dattel	dɑtəl
datz	dɑts
dauchen	dæˑʊ̯χən
dauer	dɑʊ̯ɐ
daueren	dɑʊ̯əʀən
dauf	dɑʊ̯f
daum	dɑʊ̯m
dausend	dɑʊ̯zənt
de	də
dech	dəɕ
deckel	dækəl
deckelsmouk	dækəldzməʊ̯k
decken	dækən
deefen	deːfən
deeg	deːɕ
deeglech	deːʑləɕ
deelen	deːlən
deemno	deːmnoː
deemools	deːmoːlts
degustéieren	deːɡystɜɪ̯əʀən
dehnen	deːnən
deier	dɑɪ̯ɐ
deiten	dɑɪtən
dem	dəm
den	dən
deng	deŋ
dengem	deŋəm
dengen	deŋən
denger	deŋɐ
denken	dæŋkən
der	dɐ
derhanner	dɐhɑnɐ
dezember	dət͡sæmbɐ
diamant	diɑmɑnt
dicht	diɕt
dichteg	diɕtəɕ
dichter	diɕtɐ
dictionnaire	diksjonɛə̯
diddeleng	didəleŋ
dier	diə̯
dier	diːɐ
digel	diʑəl
dikrech	dikʀəɕ
diktéieren	diktɜɪ̯əʀən
dillen	dilən
dimmer	dimɐ
dir	diə̯
dir	diːɐ
diskutéieren	diskutɜɪ̯əʀən
ditzen	dit͡sən
do	doː
dobannen	dobɑnən
dobaussen	dobæˑʊ̯sən
dobäi	dobæˑɪ̯
doduerch	doduə̯ɕ
doen	doːən
dofir	dofiə̯
dofir	dofiːɐ
doften	doftən
dogéint	doɡɜɪ̯nt
dohannen	dohɑnən
dohanner	dohɑnɐ
dohinner	dohinɐ
dokter	doktɐ
doléiner	doːlɜɪ̯nɐ
domat	doːmɑt
donkel	doŋkəl
donkelheet	-kəleːt
donkelheet	doŋkəlheːt
donner	donɐ
donneren	donəʀən
donneschdeg	donəʒdəɕ
dono	donoː
donst	dontst
doran	doʀɑn
doran	doːʀɑn
doraus	doʀæˑʊ̯s
doraus	doːʀæˑʊ̯s
doriwwer	doʀivɐ
doriwwer	doːʀivɐ
dorun	doʀun
dosen	doːzən
dossier	dosje
doud	dəʊ̯t
doudesaffer	dəʊ̯dəzɑfɐ
doudewon	dəʊ̯dəvoːn
doum	dəʊ̯m
dout	dəʊ̯t
doutmaachen	dəʊ̯dmaːχən
dovunner	dofunɐ
dovunner	doːfunɐ
dozou	dot͡səʊ̯
dozou	doːt͡səʊ̯
draleeën	dʀɑleːən
dran	dʀɑn
drauf	dʀɑʊ̯f
drauwejus	dʀɑʊ̯vəʒyː
dreemen	dʀeːmən
dreeën	dʀeːən
dreif	dʀɑɪ̯f
dreifs	dʀɑɪ̯fs
dreift	dʀɑɪ̯ft
dreiwen	dʀɑɪ̯vən
dreschen	dʀæʃən
driwwer	dʀivɐ
dro	dʀoː
droen	dʀoːən
droit	dʀwaː
droleg	dʀoːləɕ
dräi	dʀæˑɪ̯
dräifach	dʀæˑɪ̯fɑχ
dräikinneksdag	dʀæˑɪ̯kineɡzdaːχ
dräimol	dʀæˑɪ̯moːl
dräisprong	dʀæˑɪ̯ʃpʀoŋ
dräizéng	dʀæˑɪ̯t͡seŋ
dräizéngt	dʀæˑɪ̯t͡seŋkt
drängen	dʀæŋən
dränken	dʀæŋkən
dréchen	dʀəɕən
dréchent	dʀeɕənt
dréchnen	dʀəɕnən
drécken	dʀekən
drécker	dʀekɐ
dréi	dʀɜɪ̯
dréibänk	dʀɜɪ̯bæŋk
dréien	dʀɜɪ̯ən
dréinen	dʀɜɪ̯nən
dréis	dʀɜɪ̯s
dréischel	dʀɜɪ̯ʃəl
dréit	dʀɜɪ̯t
dréiwen	dʀɜɪ̯vən
dréngen	dʀeŋən
drénk	dʀeŋk
drénken	dʀeŋkən
drénks	dʀeŋks
drénkt	dʀeŋkt
drënner	dʀənɐ
drëps	dʀəps
drësseg	dʀəsəɕ
drëtt	dʀət
du	duː
ducken	dukən
duddelsak	dudəlzaːk
duebel	duə̯bəl
duechter	duə̯ɕtɐ
dueder	duə̯dɐ
duer	duə̯
duer	duːɐ
duerch	duə̯ɕ
duercherneen	duə̯ɕɐneːn
duerchsetzen	duə̯ʑzæt͡sən
duerf	duə̯f
duerleeën	duə̯leːən
duerleeën	duːɐleːən
duerno	duə̯noː
dugend	duːʁənt
duschen	duʃən
däerfen	dɛə̯fən
däich	dæˑɪ̯ɕ
däin	dæˑɪ̯n
däischtert	dæˑɪ̯ʃtɐt
däitlech	dæˑɪ̯dləɕ
däitsch	dæˑɪ̯t͡ʃ
däitschland	dæˑɪ̯t͡ʃlɑnt
däitschsproocheg	dæˑɪ̯tʃpʀoːχəɕ
däiwel	dæˑɪ̯vəl
dämpen	dæmpən
dänemark	dɛːnəmɑχk
dännemees	dænəmeːs
där	dɛə̯
däreldéier	dɛːʀəldɜɪ̯ɐ
déck	dek
déckt	dekt
déi	di
déi	dɜɪ̯
déier	dɜɪ̯ɐ
déif	dɜɪ̯f
déifferdeng	dɜɪ̯fɐdeŋ
déijéineg	dɜɪ̯ʒɜɪ̯nəɕ
déngen	deŋən
dénger	deŋɐ
déngscht	deŋkʃt
dëll	dəl
dëllen	dələn
dëmpen	dəmpən
dënn	dən
dënschdeg	dənʒdəɕ
dëppen	dəpən
dës	dəs
dësch	dəʃ
dëschelduch	dəʃəlduχ
dëschtel	dəʃtəl
dëschtennis	dəʃtænis
dësem	dəzəm
dësen	dəzən
dëser	dəzɐ
dëst	dəst
dösen	døːzən
ech	əɕ
eckzant	ækt͡sɑnt
educatioun	eːdykɑtsjəʊ̯n
ee	eː
eech	eːɕ
eechel	eːɕəl
eechen	eːɕən
eedem	eːdəm
eegen	eːʑən
eegennumm	eːʑənum
eegentlech	eːʑəndləɕ
eegiel	eːɡiə̯l
eekelen	eːkələn
eelef	eːləf
eeleft	eːləft
eemer	eːmɐ
eenegen	eːnəʑən
eenhar	eːnhaːχ
eenzel	eːntsəl
eesäiteg	eːzæˑɪ̯təɕ
eeter	eːtɐ
eeteren	eːtəʀən
eewäiss	eːvæˑɪ̯s
eeër	eːɐ
eeërschuel	eːɐʃuə̯l
eeërstack	eːɐʃtɑk
effikass	æfikɑs
eidechs	ɑɪ̯dæks
eidel	ɑɪ̯dəl
eil	ɑɪ̯l
eis	ɑɪ̯s
eisebunn	ɑɪzəbun
eisekuch	ɑɪ̯zəkuχ
eisen	ɑɪ̯zən
eist	ɑɪ̯st
elaboratioun	eːlɑboʀɑtsjəʊ̯n
elch	ælɕ
elefant	ələfɑnt
eleng	əlæŋ
elfebeen	ælfəbeːn
ellen	ælən
elo	əloː
els	ælts
elteren	æltəʀən
elterenhaus	æltəʀənhæˑʊ̯s
em	əm
email	eːmɑɪ̯
email	əmɑɪ̯
emissioun	eːmi-
emissioun	əmisjəʊ̯n
en	ən
endlech	ændləɕ
eneen	əneːn
engem	æŋəm
engen	æŋən
enger	æŋɐ
england	æŋlɑnt
englesch	æŋləʃ
englänner	æŋlænɐ
enkel	æŋkəl
enkelin	æŋkəlin
enorm	ənoʀm
enregistréieren	ɑ̃ːʀəʒistʀɜɪ̯əʀən
entbannen	ændbɑnən
entdecken	ænddækən
entfléien	æntflɜɪ̯ən
entsat	ænd͡zaːt
entschlofen	ænt͡ʃloːfən
entschloss	ænt͡ʃlos
entschléissen	ænt͡ʃlɜɪ̯sən
entschëllegen	ænt͡ʃələʑən
entschëllegt	ænt͡ʃələɕt
entsetzen	ænd͡zæt͡sən
entspriechen	æntʃpʀiə̯ɕən
entweder	ændveːdɐ
entwéckelen	ændvekələn
entwécklung	ændvekluŋ
entwëschen	ændveʃən
enveloppe	ɑ̃vlop
enveloppe	ɑ̃ːvə-
eppes	æpəs
equipe	əkip
eraleeën	əʀɑleːən
erbaarmen	ɐbaːʀmən
erbaarmen	ɛə̯-
erfrëschen	ɐfʀəʃən
erfrëschen	ɛə̯-
ergätzen	ɐɡæt͡sən
ergätzen	ɛə̯-
erhuuschen	ɐhuːʃən
erhuuschen	ɛə̯-
erhuuschten	ɐhuːʃtən
erhuuschten	ɛə̯-
eriwwer	əʀivɐ
erkennen	ɐkænən
erkennen	ɛə̯-
erlaben	ɐlaːbən
erlaben	ɛə̯-
erof	əʀoːf
eroffalen	əʀoːffaːlən
erofsetzen	əʀoːvzæt͡sən
eropsetzen	əʀobzæt͡sən
ersetzen	ɐzæt͡sən
ersetzen	ɛə̯-
erstécken	ɐʃtekən
erstécken	ɛə̯-
erwaarden	ɐvaːʀdən
erwaarden	ɛə̯-
erwëschen	ɐvəʃən
erwëschen	ɛə̯-
erzéien	ɐt͡sɜɪ̯ən
erzéien	ɛə̯-
erzéiung	ɐt͡sɜɪ̯uŋ
erzéiung	ɛə̯-
eréischt	əʀɜɪ̯ʃt
erëffnung	əʀəfnuŋ
erënneren	əʁənəʁən
erënnerung	əʀənəʀuŋ
esou	əzu
esou	əzəʊ̯
esoubal	əzubaːl
esouguer	-ɡuə̯
esouguer	əzuɡuːɐ
esoulaang	əzulaːŋ
esseg	æsəɕ
estland	æzdlɑnt
et	ət
etapp	eːtɑp
etapp	ə-
etlech	ædləɕ
ettelbréck	ætəlbʀek
etude	ə-
ewech	əvæɕ
ewell	əvæl
ewéi	əvi
ewéi	əvɜɪ̯
exageréieren	æɡzɑʒəʀɜɪ̯əʀən
exploitatioun	æksplwɑtɑtsjəʊ̯n
exteren	ækstəʀən
faarf	faːχf
faart	faːχt
faarweblann	faːʀvəblɑn
faaschten	faːʃtən
faaschtenzäit	faːʃtənt͡sæˑɪ̯t
faassen	faːsən
fach	fɑχ
fakel	faːkəl
falen	faːlən
fall	fɑl
fallek	fɑlək
falls	fɑlts
famill	fɑmil
fanger	fɑŋɐ
fangernol	fɑŋɐnoːl
fangerspëtz	fɑŋɐʃpət͡s
fann	fɑn
fannen	fɑnən
fannt	fɑnt
far	faːχ
farcéieren	fɑʀsɜɪ̯əʀən
fascht	fɑʃt
fassad	fɑsaːt
faszinatioun	fɑst͡sinɑtsjəʊ̯n
fatz	fɑt͡s
faulen	fɑʊ̯lən
faulenzen	fæˑʊ̯lænt͡sən
fauscht	fæˑʊ̯ʃt
februar	feːbʀuaːχ
feelen	feːlən
feeler	feːlɐ
feeën	feːən
feier	fɑɪ̯ɐ
feierblumm	fɑɪ̯ɐblum
feierdag	fɑɪ̯ɐdaːχ
feieren	fɑɪ̯əʀən
feil	fɑɪ̯l
feind	fɑɪ̯nt
festsetzen	fæzdzæt͡sən
feststellen	fæstʃtælən
feuter	føːtɐ
fichier	fiʃjeː
fidderen	fidəʀən
fieder	fiə̯dɐ
fiederball	fiə̯dɐbɑl
fiels	fiə̯lts
fierkel	fiə̯kəl
fierschter	fiə̯ʃtɐ
fierwen	fiə̯vən
fies	fiə̯s
figebam	fiːɡəbaːm
figur	fiɡuə̯
figur	fiɡuːɐ
fiicht	fiːɕt
fiichtegkeet	fiːɕtəɕkeːt
fillen	filən
filz	filts
filzstëft	filtsʃtəft
fir	fiə̯
fir	fiːɐ
fir	fɐ
fir	fə
fiselen	fizələn
fisemreen	fizəmʀeːn
fixfeier	fiksfɑɪ̯ɐ
fixspoun	fiksʃpəʊ̯n
flack	flɑk
fladderen	flɑdəʀən
flanell	flɑnæl
flank	flɑŋk
flapp	flɑp
flechten	flæɕtən
fleegeheem	fleːʑəheːm
flicht	fliɕt
fliedermaus	fliə̯dɐmæˑʊ̯s
fligel	fliʑəl
fliger	fliːʑɐ
fliicht	fliːɕt
flirten	flœːχtən
flitzen	flit͡sən
flou	fluː
flou	fləʊ̯
flouer	fləʊ̯ɐ
flouernumm	fləʊ̯ɐnum
floumaart	fləʊ̯maːχt
fluchgesellschaft	fluʁɡəzælʃɑft
flued	fluə̯t
fluess	fluə̯s
fluesssom	fluə̯soːm
fluesssom	fluə̯zzoːm
flutschen	flut͡ʃən
fläch	flæɕ
fläiss	flæˑɪ̯s
fläissen	flæˑɪ̯sən
fléck	flek
flécken	flekən
fléi	flɜɪ̯
fléien	flɜɪ̯ən
fléimouk	flɜɪ̯məʊ̯k
fléissen	flɜɪ̯sən
flënt	flənt
fofzeg	foft͡səɕ
fofzéng	foft͡seŋ
fofzéngt	foft͡seŋkt
folleg	foləɕ
follegen	foləʑən
fooschen	foːʃən
force	foχs
formatéieren	foʀmɑtɜɪ̯əʀən
formidabel	foʀmidaːbəl
fou	fəʊ̯
fouen	fəʊ̯ən
fouer	fəʊ̯ɐ
fouss	fəʊ̯s
foussball	fəʊ̯zbɑl
foussen	fəʊ̯sən
foussgänger	fəʊ̯zɡæŋɐ
foussnout	fəʊ̯znəʊ̯t
fousssuel	fəʊ̯suə̯l
fousssuel	fəʊ̯zzuə̯l
fra	fʀaː
frachtschëff	fʀɑχt͡ʃəf
frack	fʀɑk
frankräich	fʀɑŋkʀæˑɪ̯ɕ
fransous	fʀɑnzəʊ̯s
franséisch	fʀɑnzɜɪ̯ʃ
franséisin	fʀɑnzɜɪ̯zin
frascht	fʀɑʃt
frechheet	fʀæɕeːt
frechheet	fʀæɕheːt
freeën	fʀeːən
freideg	fʀɑɪ̯dəɕ
freien	fʀɑɪ̯ən
fridden	fʀidən
friddlech	fʀidləɕ
frieden	fʀiə̯dən
friem	fʀiə̯m
friess	fʀiə̯s
friessen	fʀiə̯sən
friesst	fʀiə̯st
fritten	fʀitən
fro	fʀoː
froen	fʀoːən
frou	fʀəʊ̯
fräi	fʀæˑɪ̯
