a	ɑː
ahycgan	ɑ h y d d͡ʒ ɑ n
ahƿeorfan	ɑː h w e o̯ r f ɑ n
al	ɑː l
ald	ɑ l d
alecgan	ɑː l e d d͡ʒ ɑ n
alegd	ɑː l e j d
aliefan	ɑː l iː y̯ f ɑ n
aliesan	ɑː l iː y̯ s ɑ n
alimpan	ɑː l i m p ɑ n
all	a l l
alor	ɑ l o r
alyfan	ɑː l yː f ɑ n
alysan	ɑː l yː s ɑ n
amasian	ɑː m ɑ s i ɑ n
amber	ɑ m b e r
ambiht	ɑ m b i h t
amearcian	ɑː m æ ɑ̯ r k i ɑ n
ametan	ɑː m e t ɑ n
ametendlic	ɑː m e t e n d l iː t ʃ
amirran	ɑː m i r r ɑ n
amore	ɑ m o r e
ampella	ɑ m p e l l ɑ
an	ɑː n
anbyrdnes	ɑ n b y r d n e s
ancleo	ɑ n k l eː o
ancleow	ɑ n k l eː o w
ancleoƿ	ɑ n k l eː o w
ancor	ɑ n k o r
and	ɑ n d
anda	ɑ n d ɑ
andcweþan	ɑ n d k w e θ ɑ n
andcwiss	ɑ n d k w i s s
andcƿeþan	ɑ n d k w e θ ɑ n
andcƿiss	ɑ n d k w i s s
andefn	ɑ n d e f n
andelbære	ɑ n d e l b æː r e
andfang	ɑ n d f ɑ n ɡ
andgiet	ɑ n d j i y t
andgiete	ɑ n d j i y̯ t e
andgietol	ɑ n d j i y̯ t o l
andgiettacen	ɑ n d j i y t t ɑː k e n
andhweorfan	ɑ n d h w e o̯ r f ɑ n
andhƿeorfan	ɑ n d h w e o̯ r f ɑ n
andian	ɑ n d i ɑ n
andig	ɑ n d i j
andlang	ɑ n d l ɑ n ɡ
andswarian	ɑ n d s w ɑ r i ɑ n
andswerian	ɑ n d s w e r j ɑ n
andsƿarian	ɑ n d s w ɑ r i ɑ n
andsƿerian	ɑ n d s w e r i ɑ n
andtimber	ɑ n d t i m b e r
andustrian	ɑ n d uː s t r i ɑ n
andweard	ɑ n d w æ ɑ̯ r d
andweardnes	ɑ n d w æ ɑ̯ r d n e s
andwig	ɑ n d w iː ɡ
andwis	ɑ n d w iː s
andwlita	ɑ n d w l i t ɑ
andwlitan	ɑ n d w l iː t ɑ n
andwyrdan	a n d w y r d a n
andƿeard	ɑ n d w æ ɑ̯ r d
andƿeardnes	ɑ n d w æ ɑ̯ r d n e s
andƿig	ɑ n d w iː ɡ
andƿis	ɑ n d w iː s
andƿlita	ɑ n d w l i t ɑ
andƿlitan	ɑ n d w l iː t ɑ n
aneged	ɑː n eː j e d
anemnan	ɑː n e m n ɑ n
anes	ɑː n e s
anfeald	ɑː n f æ ɑ̯ l d
anfloga	ɑː n f l o ɡ ɑ
angbreost	ɑ n ɡ b r eː o̯ s t
angenga	ɑː n ɡ e n d͡ʒ ɑ
angenga	ɑː n ɣ e n d͡ʒ ɑ
angsum	ɑ n ɡ s u m
anhaga	ɑː n h ɑ ɡ ɑ
anhende	ɑː n h e n d e
anhorn	ɑː n h o r n
anige	ɑː n iː j e
animan	ɑː n i m ɑ n
anliepig	ɑː n l iː y̯ p i j
anlæcan	ɑː n l æː t͡ʃ ɑ n
ansien	ɑ n s iː y n
ansund	ɑ n s u n d
ansyn	ɑ n s yː n
antid	ɑː n t iː d
antimber	ɑ n t i m b e r
anwig	ɑː n w iː j
anælan	ɑ n æː l ɑ n
anƿig	ɑː n w iː j
apa	ɑ p ɑ
apuldor	ɑ p u l d o r
ar	ɑː r
ara	ɑː r ɑ
arabia	ɑ r ɑ b i ɑ
arabisc	ɑ r ɑ b i ʃ
ardæde	ɑː r d æː d e
are	ɑː r e
arfæst	ɑː r f æ s t
arian	ɑː r i ɑ n
arisan	ɑː r iː s ɑ n
arleas	ɑː r l æː ɑ̯ s
arstafas	ɑː r s t ɑ f ɑ s
aræran	ɑː r æ r ɑ n
asawan	ɑː s ɑː w ɑ n
asaƿan	ɑː s ɑː w ɑ n
asceadan	ɑː ʃ ɑː d ɑ n
ascian	ɑː s k i ɑ n
asecgan	ɑː s e d d͡ʒ ɑ n
asellan	ɑː s e l l ɑ n
aseon	ɑː s eː o̯ n
asettan	ɑː s e t t ɑ n
aseþan	ɑː s eː θ ɑ n
asittan	ɑː s i t t ɑ n
asmeagan	ɑː s m æː ɑ ɣ ɑ n
asprungennes	ɑː s p r u n ɡ e n n e s
astyrian	ɑː s t y r i ɑ n
asundrian	ɑː s u n d r i ɑ n
asundrodlic	ɑː s u n d r o d l iː t͡ʃ
aswebban	ɑː s w e bː ɑ n
asyndrian	ɑː s y n d r i ɑ n
asyndrung	ɑː s y n d r u n ɡ
asƿebban	ɑː s w e bː ɑ n
ateon	ɑː t eː o̯ n
atol	ɑ t o l
ator	ɑː t o r
atorcoppe	ɑː t o r k o p p e
atr	ɑː t r
awacan	aː w ɑ k ɑ n
aweccan	aː w e t t͡ʃ ɑ n
awemman	ɑː w e m m ɑ n
awendan	ɑː w e n d ɑ n
aweorpan	ɑː w e o r p ɑ n
awiht	ɑː w i h t
awlancian	ɑː w l ɑ n k i ɑ n
awlencan	ɑː w l e n k ɑ n
awrecan	ɑː w r e k ɑ n
awuldrian	ɑː w u l d r i ɑ n
awyrgan	ɑː w y r j ɑ n
axian	ɑː k s i ɑ n
axigendlic	ɑː k s i j e n d l iː t͡ʃ
aþ	ɑː θ
aþecgan	ɑː θ e d d͡ʒ ɑ n
aþeotan	ɑː θ eː o̯ t ɑ n
aþexe	ɑː θ e k s e
aþreotan	ɑː θ r eː o̯ t ɑ n
aþum	ɑː θ u m
aþweran	ɑː θ w e r ɑ n
aþƿeran	ɑː θ w e r ɑ n
aƿacan	aː w ɑ k ɑ n
aƿeccan	aː w e t t͡ʃ ɑ n
aƿemman	ɑː w e m m ɑ n
aƿendan	ɑː w e n d ɑ n
aƿeorpan	ɑː w e o r p ɑ n
aƿiht	ɑː w i h t
aƿlancian	ɑː w l ɑ n k i ɑ n
aƿlencan	ɑː w l e n k ɑ n
aƿrecan	ɑː w r e k ɑ n
aƿuldrian	ɑː w u l d r i ɑ n
aƿyrgan	ɑː w y r j ɑ n
babilon	b ɑ b i l oː n
babilonige	b ɑ b i l oː n i j e
baca	b ɑ k ɑ
bacan	b ɑ k ɑ n
bacas	b ɑ k ɑ s
bad	b ɑː d
badian	b ɑː d i ɑ n
balca	b ɑ l k ɑ
bald	b ɑ l d
ban	b ɑː n
bana	b ɑ n ɑ
banhus	b ɑː n h uː s
banleas	b ɑː n l æː ɑ̯ s
bannan	b ɑ n n ɑ n
bar	b ɑː r
basnian	b ɑː s n i ɑ n
basnung	b ɑː s n u n ɡ
basu	b ɑ s u
bat	b ɑː t
batian	b ɑ t i ɑ n
batweard	b ɑː t w æ ɑ̯ r d
batƿeard	b ɑː t w æ ɑ̯ r d
baðian	b ɑ θ i ɑ n
baþian	b ɑ θ i ɑ n
beacen	b æː ɑ̯ k e n
beacenfyr	b æː ɑ k e n f yː r
beacenstan	b æː ɑ k e n s t ɑː n
beacnian	b æː ɑ k n i ɑ n
beacniendlic	b æː ɑ k n i e n d l iː t͡ʃ
beacnung	b æː ɑ k n u ŋ ɡ
bead	b æː ɑ̯ d
beado	b æ ɑ̯ d o
beadu	b æ ɑ̯ d u
beag	b æː ɑ̯ x
beagian	b æː ɑ̯ ɡ i ɑ n
beah	b æː ɑ h
beald	b æ ɑ̯ l d
bealluc	b æ ɑ̯ l l u k
beallucas	b æ ɑ̯ l l u k ɑ s
bealo	b æ ɑ l o
bealohydig	b æ ɑ̯ l o h yː d i j
bealu	b æ ɑ̯ l u
beam	b æː ɑ̯ m
bean	b æː ɑ̯ n
beard	b æ ɑ̯ r d
beardleas	b æ ɑ̯ r d l æː ɑ̯ s
bearg	b æ ɑ̯ r h
bearg	b æ ɑ̯ r ɡ
bearm	b æ ɑ̯ r m
bearn	b e ɑ r n
bearn	b æ ɑ̯ r n
bearneacen	b æ ɑ̯ r n æː ɑ̯ k e n
beatan	b æː ɑ t ɑ n
beatere	b æː ɑ̯ t e r e
bebaðian	b e b ɑ θ i ɑ n
bebaþian	b e b ɑ θ i ɑ n
bebbe	b e b b e
bebod	b e b o d
bebugan	b e b uː ɡ ɑ n
bec	b eː t͡ʃ
bece	b e t͡ʃ e
bece	b eː t͡ʃ e
becnyttan	b e k n y t t ɑ n
becom	b e k o m
becuman	b e k u m ɑ n
becwelan	b e k w e l ɑ n
becyrran	b e t͡ʃ y r r ɑ n
becƿelan	b e k w e l ɑ n
bedd	b e d d
bedtid	b e d t iː d
bedu	b e d u
bedul	b e d u l
bedælan	b e d æː l ɑ n
befeohtan	b e f e o̯ h t ɑ n
beforan	b e f o r ɑ n
beforancweþan	b e f oː r ɑ n k w e θ ɑ n
beforancƿeþan	b e f oː r ɑ n k w e θ ɑ n
befæstan	b e f æ s t ɑ n
began	b e ɡ ɑː n
begbeam	b e j b æː ɑ̯ m
begen	b eː j e n
begeondan	b e j o n d ɑ n
begeotan	b e j eː o̯ t ɑ n
begietan	b e j i y̯ t ɑ n
beginnan	b e j i n n ɑ n
beginnan	b e ɡ i n n ɑ n
begong	b e ɡ o n ɡ
begreosan	b e ɡ r eː o̯ s ɑ n
behabban	b e h ɑ b b ɑ n
behat	b e h ɑː t
behatland	b e h ɑː t l ɑ n d
behealdan	b e h æ ɑ̯ l d ɑ n
behindan	b e h i n d ɑ n
behof	b e h oː f
behreosan	b e h r eː o̯ s ɑ n
behropan	b e h r oː p ɑ n
behweorfan	b e h w e o̯ r f ɑ n
behycgan	b e h y d d͡ʒ ɑ n
behæs	b e h æː s
behƿeorfan	b e h w e o̯ r f ɑ n
beirnan	b e i r n ɑ n
belean	b e l æː ɑ̯ n
belifan	b e l iː f ɑ n
bellan	b e l l ɑ n
belle	b e l l e
belltacen	b e l l t ɑː k e n
belt	b e l t
belyrtan	b e l y r t ɑ n
belæfan	b e l æː f ɑ n
ben	b e n
ben	b eː n
bena	b eː n ɑ
benc	b e n t͡ʃ
benemnan	b e n e m n ɑ n
beneotan	b e n eː o̯ t ɑ n
beneoþan	b e n eː o̯ θ ɑ n
beniman	b e n i m ɑ n
benn	b e n n
bensian	b eː n s i ɑ n
beo	b eː o̯
beobread	b eː o̯ b r æː ɑ̯ d
beoceorl	b eː o̯ t͡ʃ e o̯ r l
beocere	b eː o̯ k e r e
beod	b eː o̯ d
beodan	b eː o̯ d ɑ n
beodclaþ	b eː o̯ d k l ɑː θ
beofor	b e o̯ f u r
beofung	b e o̯ f u n ɡ
beogang	b eː o̯ ɡ ɑ n ɡ
beogol	b eː o̯ ɡ o l
beom	b eː o̯ m
beomodor	b eː o̯ m oː d o r
beon	b eː o̯ n
beor	b eː o̯ r
beorcan	b e o̯ r k ɑ n
beorg	b e o̯ r ɡ
beorgan	b e o̯ r ɡ ɑ n
beorht	b e o̯ r h t
beorhthwil	b e o̯ r h t h w iː l
beorhthƿil	b e o̯ r h t h w iː l
beorhtian	b e o r x t i ɑ n
beorma	b e o̯ r m ɑ
beorn	b e o̯ r n
beorsele	b eː o̯ r s e l e
beorþegu	b eː o̯ r θ e ɡ u
beot	b eː o̯ t
beow	b eː o̯ w
beowulf	b eː o̯ w u l f
beowyrt	b eː o̯ w y r t
beoƿ	b eː o̯ w
beoƿulf	b eː o̯ w u l f
beoƿyrt	b eː o̯ w y r t
bera	b e r ɑ
beran	b e r ɑ n
bere	b e r e
berige	b e r i j e
berstan	b e r s t ɑ n
besceadan	b e ʃ æː ɑ̯ d ɑ n
bescufan	b e ʃ uː f ɑ n
bescyldigian	b e ʃ y l d i ɣ i ɑ n
bescyldigian	b e ʃ y l d i ɣ j ɑ n
besellan	b e s e l l ɑ n
besengan	b e s e n d͡ʒ ɑ n
besma	b e s m ɑ
besmeagan	b e s m æː ɑ ɣ ɑ n
besprecan	b e s p r e k ɑ n
besteman	b e s t eː m ɑ n
bestyman	b e s t yː m ɑ n
beswican	b e s w iː k ɑ n
besyrwan	b e s y r w ɑ n
besyrƿan	b e s y r w ɑ n
besƿican	b e s w iː k ɑ n
bet	b e t
betan	b eː t ɑ n
beterian	b e t e r i ɑ n
betweonum	b e t w eː o̯ n u m
betweox	b e t w eː o̯ k s
betƿeonum	b e t w eː o̯ n u m
betƿeox	b e t w eː o̯ k s
bewalwian	b e w ɑ l w i ɑ n
beweddian	b e w e d d i ɑ n
bewindan	b e w i n d ɑ n
bewlatian	b e w l ɑː t i ɑ n
bewlitan	b e w l iː t ɑ n
bewrecan	b e w r e k ɑ n
bewægnan	b e w æ j n ɑ n
bewæpnian	b e w æː p n i ɑ n
beæwnian	b e æː w n i ɑ n
beæƿnian	b e æː w n i ɑ n
beþeccan	b e θ e t t͡ʃ ɑ n
beþeodan	b e θ eː o̯ d ɑ n
beþian	b e θ i ɑ n
beƿalƿian	b e w ɑ l w i ɑ n
beƿeddian	b e w e d d i ɑ n
beƿindan	b e w i n d ɑ n
beƿlatian	b e w l ɑː t i ɑ n
beƿlitan	b e w l iː t ɑ n
beƿrecan	b e w r e k ɑ n
beƿægnan	b e w æ j n ɑ n
beƿæpnian	b e w æː p n i ɑ n
bi	b iː
bicce	b i t t͡ʃ e
bicnol	b iː t ʃ n o l
bicweþan	b i k w e θ ɑ n
bicƿeþan	b i k w e θ ɑ n
bidan	b iː d ɑ n
biddan	b i d d ɑ n
bidon	b i d o n
bieme	b iː y̯ m e
biergan	b i y̯ r j ɑ n
bifian	b i f i ɑ n
bigenga	b iː j e ŋ ɡ ɑ
bigenga	b iː ɡ e ŋ ɡ ɑ
bihreosan	b i h r eː o̯ s ɑ n
bil	b i l
bilehwit	b i l e h w iː t
bilehƿit	b i l e h w iː t
bilewit	b i l e w i t
bileƿit	b i l e w i t
biliþe	b i l i θ e
billum	b i l l u m
binama	b iː n ɑ m ɑ
bindan	b i n d ɑ n
bineoþan	b i n eː o̯ θ ɑ n
binn	b i n n
binnan	b i n n ɑ n
biorn	b i u̯ r n
birnan	b i r n ɑ n
biscop	b i ʃ o p
bisig	b i s i j
bisignes	b i s i j n e s
bisigu	b i s i j u
bisæc	b iː s æ k
bisæc	b iː s æː k
bita	b i t ɑ
bitan	b iː t ɑ n
biter	b i t e r
biternes	b i t e r n e s
biword	b iː w o r d
biwrecan	b i w r e k ɑ n
biþ	b i θ
biƿord	b iː w o r d
biƿrecan	b i w r e k ɑ n
blac	b l ɑː k
blacian	b l ɑː k i ɑ n
blanc	b l ɑ n k
blanca	b l ɑ n k ɑ
blandan	b l ɑ n d ɑ n
blatian	b l ɑː t i ɑ n
blaw	b l ɑː w
blawan	b l ɑː w ɑ n
blaƿ	b l ɑː w
blaƿan	b l ɑː w ɑ n
bleat	b l æː ɑ̯ t
bleaþ	b l æː ɑ̯ θ
bled	b l eː d
bledan	b l eː d ɑ n
blencan	b l e n t ʃ ɑ n
blendan	b l e n d ɑ n
bleo	b l eː o̯
bleoh	b l e o̯ h
bleoread	b l eː o̯ r æː ɑ̯ d
bletsian	b l e t s i ɑ n
bletsian	b l eː t s i ɑ n
bletsung	b l e t s u n ɡ
blican	b l iː k ɑ n
blind	b l i n d
blinnan	b l i n n ɑ n
bliþe	b l iː θ e
blod	b l oː d
blodig	b l oː d i j
blodleas	b l oː d l æː ɑ̯ s
blodreow	b l oː d r eː o̯ w
blodreoƿ	b l oː d r eː o̯ w
blodwite	b l oː d w iː t e
blodƿite	b l oː d w iː t e
bloma	b l oː m ɑ
blondenfeax	b l o n d e n f æ ɑ̯ k s
blostm	b l oː s t m
blostma	b l oː s t m ɑ
blostmian	b l oː s t m i ɑ n
blot	b l oː t
blotan	b l oː t ɑ n
blotmonaþ	b l oː t m oː n ɑ θ
blowan	b l oː w ɑ n
bloƿan	b l oː w ɑ n
blæc	b l æ k
blæd	b l æ d
blæd	b l æː d
blædnes	b l æː d n e s
blæge	b l æː j e
blæhæwen	b l æː h æː w e n
blæhæƿen	b l æː h æː w e n
blæst	b l æː s t
blæwen	b l æː w e n
blæƿen	b l æː w e n
blœdsian	b l ø d s i ɑ n
boc	b oː k
boca	b oː k ɑ
bochus	b oː k h uː s
bocstæf	b oː k s t æ f
boctreow	b oː k t r eː o̯ w
boctreoƿ	b oː k t r eː o̯ w
boda	b o d ɑ
bodan	b o d ɑ n
bodian	b o d i ɑ n
bodig	b o d i j
bog	b oː ɡ
boga	b o ɡ ɑ
bogan	b o ɡ ɑ n
bogiht	b o ɡ i h t
bolca	b o l k ɑ
bold	b o l d
bolde	b o l d e
bolgenmod	b o l ɡ e n m oː d
bolla	b o l l ɑ
bolle	b o l l e
bolster	b o l s t e r
bolt	b o l t
bon	b oː n
bonda	b o n d ɑ
bord	b o r d
bordclaþ	b o r d k l ɑː θ
borg	b o r ɡ
borian	b o r i ɑ n
bosig	b oː s i j
bosig	b oː s i ɣ
bosm	b oː s m
bot	b oː t
botettan	b oː t e t t ɑ n
botm	b o t m
box	b o k s
boxtreow	b o k s t r eː o̯ w
boxtreoƿ	b o k s t r eː o̯ w
boþen	b o θ e n
brad	b r ɑː d
brand	b r ɑ n d
brant	b r ɑ n t
brastlian	b r ɑ s t l i ɑ n
bread	b r æː ɑ̯ d
breadru	b r æː ɑ̯ d r u
breahtm	b r æ ɑ̯ h t m
brec	b r eː t͡ʃ
brecan	b r e k ɑ n
brecþ	b r e k θ
bregdan	b r e j d ɑ n
brego	b r e ɡ o
breme	b r eː m e
bremel	b r eː m e l
breost	b r eː o̯ s t
breostcearu	b r eː o̯ s t k æ ɑ̯ r u
breotan	b r eː o̯ t ɑ n
breowan	b r eː o̯ w ɑ n
breoþan	b r eː o̯ θ ɑ n
breoƿan	b r eː o̯ w ɑ n
bretwalda	b r e t w ɑ l d ɑ
bretƿalda	b r e t w ɑ l d ɑ
bridd	b r i d d
bridel	b r iː d e l
brim	b r i m
brimliþend	b r i m l iː θ e n d
bringan	b r i n ɡ ɑ n
briw	b r iː w
briƿ	b r iː w
broc	b r oː k
brocc	b r o kː
broga	b r oː ɡ ɑ
brom	b r oː m
brord	b r o r d
broþ	b r o θ
broþor	b r oː θ o r
broþorræden	b r oː θ o r r æː d e n
bru	b r uː
brucan	b r uː k ɑ n
brun	b r uː n
bryce	b r y t ʃ e
bryce	b r yː t ʃ e
brycg	b r y d d͡ʒ
bryd	b r yː d
brydguma	b r yː d ɡ u m ɑ
bryne	b r y n e
bryne	b r yː n e
bryrdan	b r y r d
brytmælum	b r y t m æː l u m
brytta	b r y t t ɑ
bryttas	b r y t t ɑ s
brædan	b r æː d ɑ n
brægen	b r æ j e n
bræmbel	b r æ m b e l
bræmel	b r æː m e l
bræmelberie	b r æː m e l b e r i j e
bræw	b r æː w
bræþ	b r æː θ
bræƿ	b r æː w
buan	b uː ɑ n
buc	b uː k
bucc	b u k k
bucca	b u k k ɑ
budda	b u d d ɑ
buend	b uː e n d
bufan	b u f ɑ n
bugan	b uː ɡ ɑ n
bugon	b u ɡ o n
bur	b uː r
burbyrde	b uː r b y r d e
burg	b u r h
burg	b u r ɡ
burgræden	b u r ɡ r æː d e n
burh	b u r h
burna	b u r n ɑ
burne	b u r n e
butan	b uː t ɑ n
butere	b u t e r e
buton	b uː t o n
buttorfleoge	b u t t o r f l eː o̯ ɡ e
bycgan	b y d d͡ʒ ɑ n
bydel	b y d e l
bygan	b yː ɣ ɑ n
byldan	b y l d ɑ n
byrde	b y r d e
byrdling	b y r d l i n ɡ
byre	b y r e
byrgen	b y r j e n
byrgenn	b y r j e n n
byrla	b y r l ɑ
byrne	b y r n e
byrðen	b y r θ e n
byrþen	b y r θ e n
bysen	b yː s e n
bysig	b y s i j
byþ	b y θ
bæc	b æ k
bæc	b æ t ʃ
bæcbord	b æ k b o r d
bæcere	b æ k e r e
bæchus	b æ k h uː s
bædan	b æ d ɑ n
bædan	b æː d ɑ n
bæl	b æː l
bælfyr	b æː l f yː r
bælg	b æ l ɣ
bænen	b æː n e n
bær	b æ r
bærfot	b æ r f oː t
bærlic	b æ r l iː t͡ʃ
bærnan	b æ r n ɑ n
bæron	b æː r o n
bæst	b æ s t
bæðhus	b æ θ h uː s
bæþ	b æ θ
bæþhus	b æ θ h uː s
bœc	b øː k
caf	k ɑː f
calan	k ɑ l ɑ n
cald	k ɑ l d
calu	k ɑ l u
camb	k ɑ m b
campdom	k ɑ m p d oː m
canc	k ɑ n k
candel	k ɑ n d e l
cann	k ɑ n n
canne	k ɑ n n e
cantware	k ɑ n t w ɑ r e
cantƿare	k ɑ n t w ɑ r e
capian	k ɑ p i ɑ n
carcern	k ɑ r k e r n
carian	k ɑ r i ɑ n
carig	k ɑ r i j
carl	k ɑ r l
carles	k ɑ r l e s
carr	k ɑ r r
carte	k ɑ r t e
casere	k ɑː s e r e
caserlic	k ɑː s e r l iː t͡ʃ
castel	k ɑ s t e l
catt	k ɑ t t
catte	k ɑ t t e
cawel	k ɑ w e l
caƿel	k ɑ w e l
ceac	t͡ʃ æː ɑ̯ k
ceace	t͡ʃ æː ɑ̯ k e
ceafl	t͡ʃ æ ɑ̯ f l̩
ceahhe	t͡ʃ æ ɑ̯ h h e
ceahhettan	t͡ʃ æ ɑ̯ h h e t t ɑ n
cealc	t͡ʃ æ ɑ̯ l k
ceald	t͡ʃ æ ɑ̯ l d
cealf	t͡ʃ æ ɑ̯ l f
ceallian	k æ ɑ̯ l l i ɑ n
ceap	t͡ʃ æː ɑ̯ p
ceapa	t͡ʃ æː ɑ̯ p ɑ
ceapian	t͡ʃ æː ɑ̯ p i ɑ n
cearful	t ʃ æ ɑ̯ r f u l
cearig	t͡ʃ æ ɑ̯ r i j
cearseld	t͡ʃ æ ɑ̯ r s e l d
cearu	k æ ɑ̯ r u
cearwylm	t͡ʃ æ ɑ̯ r w y l m
cearƿylm	t͡ʃ æ ɑ̯ r w y l m
ceas	t͡ʃ æː ɑ s
ceasnes	t͡ʃ æː ɑ s n e s
ceaster	t͡ʃ æ ɑ̯ s t e r
cele	t ʃ e l e
cemban	k e m b ɑ n
cempa	k e m p a
cen	k eː n
cen	t͡ʃ eː n
cene	k eː n e
cenep	k e n e p
cennan	k e n n ɑ n
cenrice	k eː n r iː t ʃ e
cent	k e n t
cenþu	k eː n θ u
ceo	t͡ʃ eː o̯
ceol	t͡ʃ eː o̯ l
ceorfan	t͡ʃ e o̯ r f ɑ n
ceorfdeor	t͡ʃ e o̯ r f d eː o̯ r
ceorl	t͡ʃ e o r l
ceorlboren	t͡ʃ e o̯ r l b o r e n
ceorlian	t͡ʃ e o r l i ɑ n
ceorran	t ʃ e o r r ɑ n
ceosan	t͡ʃ eː o̯ s ɑ n
ceowan	t͡ʃ eː o̯ w ɑ n
ceoƿan	t͡ʃ eː o̯ w ɑ n
cepan	k eː p ɑ n
cerdic	t͡ʃ e r d i t͡ʃ
cerran	t͡ʃ e r r ɑ n
cese	t͡ʃ eː s e
cest	t͡ʃ e s t
cetel	k e t e l
cicel	k i t͡ʃ e l
cicen	k i t͡ʃ e n
cicen	t͡ʃ i k e n
cidan	t͡ʃ iː d ɑ n
ciefes	t͡ʃ i y f e s
ciefese	t͡ʃ i y f e s e
ciegan	t͡ʃ iː y j ɑ n
ciepe	t͡ʃ i y̯ p e
cierran	t͡ʃ i y r r ɑ n
ciese	t͡ʃ iː y̯ s e
cietel	t͡ʃ i y̯ t e l
cild	t͡ʃ i l d
cildhad	t͡ʃ i l d h ɑː d
cildlic	t͡ʃ i l d l iː t͡ʃ
cimban	t͡ʃ i m b ɑ n
cinn	t͡ʃ i n n
cipp	t͡ʃ i p p
cirice	t͡ʃ i r i t͡ʃ e
ciriclic	t͡ʃ i r i k l iː t͡ʃ
cirse	t͡ʃ i r s e
citelian	t͡ʃ i t e l i ɑ n
citelung	t͡ʃ i t e l u n ɡ
ciþ	t͡ʃ iː θ
clacu	k l ɑ k u
clam	k l ɑː m
clawu	k l ɑ w u
claþ	k l ɑː θ
claþas	k l ɑː θ ɑ s
claƿu	k l ɑ w u
clea	k l æː ɑ
cleafa	k l æː ɑ f ɑ
cleofan	k l eː o f ɑ n
clerc	k l e r k
clif	k l i f
clifstan	k l i f s t ɑː n
climban	k l i m b ɑ n
clipian	k l i p i ɑ n
clipigendlic	k l i p i j e n d l iː t͡ʃ
clipol	k l i p o l
clipola	k l i p o l ɑ
clipolgefeg	k l i p o l j e f eː j
cliwen	k l iː w e n
cliþa	k l iː θ ɑ
cliƿen	k l iː w e n
clucge	k l u ɡ ɡ e
clud	k l uː d
clus	k l uː s
clut	k l uː t
clyccan	k l y t t͡ʃ ɑ n
clyppan	k l y p p ɑ n
clysan	k l yː s ɑ n
clæg	k l æː j
clæman	k l æː m ɑ n
clæne	k l æː n e
clænsian	k l æː n s i ɑ n
cnafa	k n ɑ f ɑ
cnapa	k n ɑ p ɑ
cnawan	k n ɑː w ɑ n
cnawe	k n ɑː w e
cnaƿan	k n ɑː w ɑ n
