Ⴁ	b
აგვისტომ	ɑ ɡ v ɪ s tʼ ɔ m
აგვისტოს	ɑ ɡ v ɪ s tʼ ɔ s
აგზნებადობა	ɑ ɡ z n ɛ b ɑ d ɔ b ɑ
აგზნებულად	ɑ ɡ z n ɛ b u l ɑ d
აგიდელი	ɑ ɡ i d ɛ l i
აგიზგიზებული	ɑ ɡ ɪ z ɡ ɪ z ɛ b u l ɪ
აგინებს	ɑ ɡ i n ɛ b s
აგიტატორი	ɑ ɡ ɪ tʼ ɑ tʼ ɔ r ɪ
აგლომერაცია	ɑ ɡ l ɔ m ɛ r ɑ t s ɪ ɑ
აგნებს	ɑ ɡ n ɛ b s
აგნოსტიკური	ɑ ɡ n ɔ s tʼ i kʼ u r i
აგნოსტიციზმი	ɑ ɡ n ɔ s tʼ ɪ t s ɪ z m ɪ
აგონდება	ɑ ɡ ɔ n d ɛ b ɑ
აგონია	ɑ ɡ ɔ n ɪ ɑ
აგორებს	ɑ ɡ ɔ r ɛ b s
აგრეთვე	ɑ ɡ r ɛ tʰ v ɛ
აგრესიულად	ɑ ɡ r ɛ s i u l ɑ d
აგრესიული	ɑ ɡ r ɛ s i u l i
აგრესიულობა	ɑ ɡ r ɛ s i u l ɔ b ɑ
აგრესორი	ɑ ɡ r ɛ s ɔ r ɪ
აგროვებს	ɑ ɡ r ɔ v ɛ b s
აგრძელებ	ɑ ɡ r d z ɛ l ɛ b
აგრძელებს	ɑ ɡ r d z ɛ l ɛ b s
აგური	ɑ ɡ u r i
ადათი	ɑ d ɑ tʰ i
ადამი	ɑ d ɑ m ɪ
ადამიანად	ɑ d ɑ m ɪ ɑ n ɑ d
ადამიანები	ɑ d ɑ m ɪ ɑ n ɛ b ɪ
ადამიანი	ɑ d ɑ m i ɑ n i
ადამიანით	ɑ d ɑ m ɪ ɑ n ɪ tʰ
ადამიანის	ɑ d ɑ m ɪ ɑ n ɪ s
ადამიანმა	ɑ d ɑ m ɪ ɑ n m ɑ
ადამიანს	ɑ d ɑ m ɪ ɑ n s
ადამიანურად	ɑ d ɑ m ɪ ɑ n u r ɑ d
ადამიანური	ɑ d ɑ m ɪ ɑ n u r ɪ
ადაპტაცია	ɑ d ɑ pʼ tʼ ɑ t s i ɑ
ადარებს	ɑ d ɑ r ɛ b s
ადგენს	ɑ d ɡ ɛ n s
ადგილას	ɑ d ɡ ɪ l ɑ s
ადგილი	ɑ d ɡ i l i
ადგილობრივად	ɑ d ɡ ɪ l ɔ b r ɪ v ɑ d
ადგილობრივი	ɑ d ɡ i l ɔ b r i v i
ადევნებს	ɑ d ɛ v n ɛ b s
ადეკვატურად	ɑ d ɛ kʼ v ɑ tʼ u r ɑ d
ადეკვატური	ɑ d ɛ kʼ v ɑ tʼ u r i
ადეკვატურობა	ɑ d ɛ kʼ v ɑ tʼ u r ɔ b ɑ
ადენოიდური	ɑ d ɛ n ɔ ɪ d u r ɪ
ადეპტი	ɑ d ɛ pʼ tʼ ɪ
ადვილად	ɑ d v ɪ l ɑ d
ადვილი	ɑ d v i l i
ადიდებს	ɑ d i d ɛ b s
ადის	ɑ d i s
ადიულტერი	ɑ d ɪ u l tʼ ɛ r ɪ
ადიუტანტი	ɑ d ɪ u tʼ ɑ n tʼ ɪ
ადმინისტრაციულად	ɑ d m ɪ n ɪ s tʼ r ɑ t s ɪ u l ɑ d
ადმინისტრაციული	ɑ d m ɪ n ɪ s tʼ r ɑ t s ɪ u l ɪ
ადმირალი	ɑ d m ɪ r ɑ l ɪ
ადრე	ɑ d r ɛ
ადრენალინი	ɑ d r ɛ n ɑ l ɪ n ɪ
ადრესატი	ɑ d r ɛ s ɑ tʼ ɪ
ადრეული	ɑ d r ɛ u l ɪ
ადრიანე	ɑ d r ɪ ɑ n ɛ
ადრიანი	ɑ d r ɪ ɑ n ɪ
ადუღება	ɑ d u ɣ ɛ b ɑ
ადუღებს	ɑ d u ɣ ɛ b s
აეროდინამიკა	ɑ ɛ r ɔ d ɪ n ɑ m ɪ kʼ ɑ
აეროდრომი	ɑ ɛ r ɔ d r ɔ m ɪ
აეროზოლი	ɑ ɛ r ɔ z ɔ l ɪ
აეროპორტი	ɑ ɛ r ɔ pʼ ɔ r tʼ i
აეშლება	ɑ ɛ ʃ l ɛ b ɑ
ავად	ɑ v ɑ d
ავადმყოფი	ɑ v ɑ d m qʼ ɔ pʰ i
ავადმყოფობა	ɑ v ɑ d m qʼ ɔ pʰ ɔ b ɑ
ავადმყოფობს	ɑ v ɑ d m qʼ ɔ pʰ ɔ b s
ავადმყოფურად	ɑ v ɑ d m qʼ ɔ pʰ u r ɑ d
ავადმყოფური	ɑ v ɑ d m qʼ ɔ pʰ u r ɪ
ავაზა	ɑ v ɑ z ɑ
ავალდებულებს	ɑ v ɑ l d ɛ b u l ɛ b s
ავანგარდი	ɑ v ɑ n ɡ ɑ r d ɪ
ავანპოსტი	ɑ v ɑ n pʼ ɔ s tʼ ɪ
ავანტიურული	ɑ v ɑ n tʼ ɪ u r u l ɪ
ავარდება	ɑ v ɑ r d ɛ b ɑ
ავარია	ɑ v ɑ r i ɑ
ავბედითი	ɑ v b ɛ d i tʰ i
ავდარი	ɑ v d ɑ r i
ავეჯი	ɑ v ɛ d ʒ ɪ
ავზი	ɑ v z ɪ
ავზნიანი	ɑ v z n ɪ ɑ n ɪ
ავთვისებიანი	ɑ v tʰ v ɪ s ɛ b ɪ ɑ n ɪ
ავი	ɑ v i
ავიაკომპანია	ɑ v i ɑ kʼ ɔ m pʼ ɑ n i ɑ
ავიატორი	ɑ v ɪ ɑ tʼ ɔ r ɪ
ავიაქარხანა	ɑ v i ɑ kʰ ɑ r x ɑ n ɑ
ავიაცია	ɑ v ɪ ɑ t s ɪ ɑ
ავიახაზი	ɑ v ɪ ɑ χ ɑ z ɪ
ავინიონი	ɑ v ɪ n ɪ ɔ n ɪ
ავისმომასწავებლად	ɑ v ɪ s m ɔ m ɑ s t sʼ ɑ v ɛ b l ɑ d
ავიწროვებს	ɑ v i t sʼ r ɔ v ɛ b s
ავკაცი	ɑ v kʼ ɑ t s ɪ
ავლაბარი	ɑ v l ɑ b ɑ r i
ავლებს	ɑ v l ɛ b s
ავოკადო	ɑ v ɔ kʼ ɑ d ɔ
ავრორა	ɑ v r ɔ r ɑ
ავრცელებს	ɑ v r t s ɛ l ɛ b s
ავსებული	ɑ v s ɛ b u l ɪ
ავსტრალია	ɑ v s tʼ r ɑ l i ɑ
ავსტრალიური	ɑ v s tʼ r ɑ l ɪ u r ɪ
ავსტრია	ɑ v s tʼ r i ɑ
ავსტრიული	ɑ v s tʼ r ɪ u l ɪ
ავტოგრაფი	ɑ v tʼ ɔ ɡ r ɑ pʰ ɪ
ავტოკალამი	ɑ v tʼ ɔ kʼ ɑ l ɑ m ɪ
ავტოკოლონა	ɑ v tʼ ɔ kʼ ɔ l ɔ n ɑ
ავტოკრატია	ɑ v tʼ ɔ kʼ r ɑ tʼ ɪ ɑ
ავტოკრატიული	ɑ v tʼ ɔ kʼ r ɑ tʼ ɪ u l ɪ
ავტომატი	ɑ v tʼ ɔ m ɑ tʼ i
ავტომატურად	ɑ v tʼ ɔ m ɑ tʼ u r ɑ d
ავტომატური	ɑ v tʼ ɔ m ɑ tʼ u r ɪ
ავტონომია	ɑ v tʼ ɔ n ɔ m ɪ ɑ
ავტონომიური	ɑ v tʼ ɔ n ɔ m ɪ u r ɪ
ავტორად	ɑ v tʼ ɔ r ɑ d
ავტორი	ɑ v tʼ ɔ r i
ავტორით	ɑ v tʼ ɔ r ɪ tʰ
ავტორის	ɑ v tʼ ɔ r ɪ s
ავტორიტარული	ɑ v tʼ ɔ r ɪ tʼ ɑ r u l ɪ
ავტორიტეტულად	ɑ v tʼ ɔ r ɪ tʼ ɛ tʼ u l ɑ d
ავტორმა	ɑ v tʼ ɔ r m ɑ
ავტორო	ɑ v tʼ ɔ r ɔ
ავტორობა	ɑ v tʼ ɔ r ɔ b ɑ
ავტორს	ɑ v tʼ ɔ r s
ავტოსადგომი	ɑ v tʼ ɔ s ɑ d ɡ ɔ m i
ავტოსტოპად	ɑ v tʼ ɔ s tʼ ɔ pʼ ɑ d
ავტოსტოპი	ɑ v tʼ ɔ s tʼ ɔ pʼ ɪ
ავტოსტოპით	ɑ v tʼ ɔ s tʼ ɔ pʼ ɪ tʰ
ავტოსტოპის	ɑ v tʼ ɔ s tʼ ɔ pʼ ɪ s
ავტოსტოპმა	ɑ v tʼ ɔ s tʼ ɔ pʼ m ɑ
ავტოსტოპს	ɑ v tʼ ɔ s tʼ ɔ pʼ s
ავტოსტრადა	ɑ v tʼ ɔ s tʼ r ɑ d ɑ
ავღანეთი	ɑ v ɣ ɑ n ɛ tʰ i
ავღანელი	ɑ v ɣ ɑ n ɛ l i
ავღანური	ɑ v ɣ ɑ n u r i
ავყია	ɑ v qʼ ɪ ɑ
ავყიობა	ɑ v qʼ ɪ ɔ b ɑ
ავხორცად	ɑ v x ɔ r t s ɑ d
ავხორცი	ɑ v x ɔ r t s i
ავხორცობა	ɑ v x ɔ r t s ɔ b ɑ
ავხორცულად	ɑ v χ ɔ r t s u l ɑ d
აზარტული	ɑ z ɑ r tʼ u l i
აზბესტი	ɑ z b ɛ s tʼ ɪ
აზერბაიჯანი	ɑ z ɛ r b ɑ i d ʒ ɑ n i
აზვიადებს	ɑ z v i ɑ d ɛ b s
აზვირთებული	ɑ z v ɪ r tʰ ɛ b u l ɪ
აზიმუტი	ɑ z ɪ m u tʼ ɪ
აზიური	ɑ z ɪ u r ɪ
აზნაური	ɑ z n ɑ u r i
აზოტი	ɑ z ɔ tʼ i
აზოტური	ɑ z ɔ tʼ u r ɪ
აზრად	ɑ z r ɑ d
აზრი	ɑ z r i
აზრიანად	ɑ z r ɪ ɑ n ɑ d
აზრიანი	ɑ z r i ɑ n i
აზრით	ɑ z r ɪ tʰ
აზრის	ɑ z r ɪ s
აზრმა	ɑ z r m ɑ
აზროვნება	ɑ z r ɔ v n ɛ b ɑ
აზრს	ɑ z r s
აზღუდი	ɑ z ɣ u d i
ათავისუფლებს	ɑ tʰ ɑ v i s u pʰ l ɛ b s
ათარიღებს	ɑ tʰ ɑ r i ɣ ɛ b s
ათასწლეული	ɑ tʰ ɑ s t sʼ l ɛ u l ɪ
ათასწლოვანი	ɑ tʰ ɑ s t sʼ l ɔ v ɑ n ɪ
ათაშანგი	ɑ tʰ ɑ ʃ ɑ n ɡ i
ათბობს	ɑ tʰ b ɔ b s
ათეიზმი	ɑ tʰ ɛ ɪ z m ɪ
ათეისტი	ɑ tʰ ɛ ɪ s tʼ ɪ
ათეისტური	ɑ tʰ ɛ ɪ s tʼ u r ɪ
ათენი	ɑ tʰ ɛ n ɪ
ათენური	ɑ tʰ ɛ n u r ɪ
ათესვა	ɑ tʰ ɛ s v ɑ
ათესვინებს	ɑ tʰ ɛ s v i n ɛ b s
ათეული	ɑ tʰ ɛ u l ɪ
ათვალიერებს	ɑ tʰ v ɑ l i ɛ r ɛ b s
ათი	ɑ tʰ i
ათლეტი	ɑ tʰ l ɛ tʼ ɪ
ათლეტიკა	ɑ tʰ l ɛ tʼ ɪ kʼ ɑ
ათლეტური	ɑ tʰ l ɛ tʼ u r i
ათმარცვლიანი	ɑ tʰ m ɑ r t s v l ɪ ɑ n ɪ
ათობითი	ɑ tʰ ɔ b ɪ tʰ ɪ
ათრევს	ɑ tʰ r ɛ v s
ათქვეფილი	ɑ tʰ kʰ v ɛ pʰ i l i
ათხოვებს	ɑ tʰ x ɔ v ɛ b s
ათჯერადი	ɑ tʰ d ʒ ɛ r ɑ d ɪ
აი	ɑ ɪ
აიაფებს	ɑ i ɑ pʰ ɛ b s
აიდა	ɑ ɪ d ɑ
აივანი	ɑ ɪ v ɑ n ɪ
აივნიანი	ɑ ɪ v n ɪ ɑ n ɪ
აინტერესებს	ɑ i n tʼ ɛ r ɛ s ɛ b s
აინშტაინიუმი	ɑ i n ʃ tʼ ɑ i n i u m i
აირადი	ɑ ɪ r ɑ d ɪ
აირი	ɑ ɪ r ɪ
აირღუმელი	ɑ ɪ r ʁ u m ɛ l ɪ
აირწინაღი	ɑ ɪ r t sʼ ɪ n ɑ ʁ ɪ
აისბერგი	ɑ ɪ s b ɛ r ɡ ɪ
აისი	ɑ ɪ s ɪ
აკადემია	ɑ kʼ ɑ d ɛ m ɪ ɑ
აკადემიად	ɑ kʼ ɑ d ɛ m ɪ ɑ d
აკადემიამ	ɑ kʼ ɑ d ɛ m ɪ ɑ m
აკადემიას	ɑ kʼ ɑ d ɛ m ɪ ɑ s
აკადემიით	ɑ kʼ ɑ d ɛ m ɪ ɪ tʰ
აკადემიის	ɑ kʼ ɑ d ɛ m ɪ ɪ s
აკადემიკოსი	ɑ kʼ ɑ d ɛ m ɪ kʼ ɔ s ɪ
აკადემიურად	ɑ kʼ ɑ d ɛ m ɪ u r ɑ d
აკადემიური	ɑ kʼ ɑ d ɛ m ɪ u r ɪ
აკაზმულობა	ɑ kʼ ɑ z m u l ɔ b ɑ
აკაკი	ɑ kʼ ɑ kʼ i
აკაკუნებს	ɑ kʼ ɑ kʼ u n ɛ b s
აკანკალებული	ɑ kʼ ɑ n kʼ ɑ l ɛ b u l ɪ
აკაჟუ	ɑ kʼ ɑ ʒ u
აკაცია	ɑ kʼ ɑ t s ɪ ɑ
აკეთებს	ɑ kʼ ɛ tʰ ɛ b s
აკერებს	ɑ kʼ ɛ r ɛ b s
აკვალანგი	ɑ kʼ v ɑ l ɑ n ɡ ɪ
აკვამარინი	ɑ kʼ v ɑ m ɑ r ɪ n ɪ
აკვანთა	ɑ kʼ v ɑ n tʰ ɑ
აკვანი	ɑ kʼ v ɑ n ɪ
აკვანმა	ɑ kʼ v ɑ n m ɑ
აკვანნი	ɑ kʼ v ɑ n n i
აკვანნო	ɑ kʼ v ɑ n n ɔ
აკვანო	ɑ kʼ v ɑ n ɔ
აკვანს	ɑ kʼ v ɑ n s
აკვარელი	ɑ kʼ v ɑ r ɛ l ɪ
აკვარელისტი	ɑ kʼ v ɑ r ɛ l ɪ s tʼ ɪ
აკვარიუმი	ɑ kʼ v ɑ r ɪ u m ɪ
აკვედუკი	ɑ kʼ v ɛ d u kʼ ɪ
აკვიატება	ɑ kʼ v i ɑ tʼ ɛ b ɑ
აკვიატებულად	ɑ kʼ v ɪ ɑ tʼ ɛ b u l ɑ d
აკვიატებული	ɑ kʼ v ɪ ɑ tʼ ɛ b u l ɪ
აკვირვებს	ɑ kʼ v i r v ɛ b s
აკვნად	ɑ kʼ v n ɑ d
აკვნებად	ɑ kʼ v n ɛ b ɑ d
აკვნები	ɑ kʼ v n ɛ b i
აკვნებით	ɑ kʼ v n ɛ b i tʰ
აკვნების	ɑ kʼ v n ɛ b i s
აკვნებმა	ɑ kʼ v n ɛ b m ɑ
აკვნებო	ɑ kʼ v n ɛ b ɔ
აკვნებს	ɑ kʼ v n ɛ b s
აკვნით	ɑ kʼ v n i tʰ
აკვნის	ɑ kʼ v n i s
აკვრევინებს	ɑ kʼ v r ɛ v i n ɛ b s
აკლდამა	ɑ kʼ l d ɑ m ɑ
აკლებს	ɑ kʼ l ɛ b s
აკლია	ɑ kʼ l i ɑ
აკორდეონი	ɑ kʼ ɔ r d ɛ ɔ n ɪ
აკრავს	ɑ kʼ r ɑ v s
აკრზალული	ɑ kʼ r z ɑ l u l ɪ
აკრი	ɑ kʼ r ɪ
აკრისტალებს	ɑ kʼ r i s tʼ ɑ l ɛ b s
აკრიფეთ	ɑ kʼ r ɪ pʰ ɛ tʰ
აკრობატი	ɑ kʼ r ɔ b ɑ tʼ ɪ
აკრობატიკა	ɑ kʼ r ɔ b ɑ tʼ ɪ kʼ ɑ
აკროპოლისი	ɑ kʼ r ɔ pʼ ɔ l ɪ s ɪ
აკროსტიქი	ɑ kʼ r ɔ s tʼ ɪ kʰ ɪ
აკრძალვითად	ɑ kʼ r d z ɑ l v ɪ tʰ ɑ d
აკრძალვითი	ɑ kʼ r d z ɑ l v ɪ tʰ ɪ
აკრძალული	ɑ kʼ r d z ɑ l u l i
აკუმულატორი	ɑ kʼ u m u l ɑ tʼ ɔ r ɪ
აკურატულად	ɑ kʼ u r ɑ tʼ u l ɑ d
აკურატული	ɑ kʼ u r ɑ tʼ u l i
აკურატულობა	ɑ kʼ u r ɑ tʼ u l ɔ b ɑ
აკუსტიკა	ɑ kʼ u s tʼ ɪ kʼ ɑ
აკუსტიკური	ɑ kʼ u s tʼ ɪ kʼ u r ɪ
ალაგებს	ɑ l ɑ ɡ ɛ b s
ალაგი	ɑ l ɑ ɡ ɪ
ალადასტური	ɑ l ɑ d ɑ s tʼ u r ɪ
ალავერდი	ɑ l ɑ v ɛ r d i
ალაზანი	ɑ l ɑ z ɑ n i
ალალბედზე	ɑ l ɑ l b ɛ d z ɛ
ალალი	ɑ l ɑ l i
ალალმართლად	ɑ l ɑ l m ɑ r tʰ l ɑ d
ალალმართლობა	ɑ l ɑ l m ɑ r tʰ l ɔ b ɑ
ალამი	ɑ l ɑ m i
ალაო	ɑ l ɑ ɔ
ალასანია	ɑ l ɑ s ɑ n i ɑ
ალაფი	ɑ l ɑ pʰ ɪ
ალაჰი	ɑ l ɑ h ɪ
ალბათ	ɑ l b ɑ tʰ
ალბათობა	ɑ l b ɑ tʰ ɔ b ɑ
ალბანეთი	ɑ l b ɑ n ɛ tʰ i
ალბანური	ɑ l b ɑ n u r ɪ
ალბატროსი	ɑ l b ɑ tʼ r ɔ s ɪ
ალბერტი	ɑ l b ɛ r tʼ ɪ
ალბინოსი	ɑ l b ɪ n ɔ s ɪ
ალბომად	ɑ l b ɔ m ɑ d
ალბომი	ɑ l b ɔ m ɪ
ალბომით	ɑ l b ɔ m ɪ tʰ
ალბომის	ɑ l b ɔ m ɪ s
ალბომმა	ɑ l b ɔ m m ɑ
ალბომს	ɑ l b ɔ m s
ალგებრა	ɑ l ɡ ɛ b r ɑ
ალგებრულად	ɑ l ɡ ɛ b r u l ɑ d
ალგებრული	ɑ l ɡ ɛ b r u l ɪ
ალგორითმი	ɑ l ɡ ɔ r i tʰ m i
ალდატი	ɑ l d ɑ tʼ i
ალებასტრი	ɑ l ɛ b ɑ s tʼ r ɪ
ალეგორია	ɑ l ɛ ɡ ɔ r ɪ ɑ
ალეგორიული	ɑ l ɛ ɡ ɔ r ɪ u l ɪ
ალეპო	ɑ l ɛ pʼ ɔ
ალერგია	ɑ l ɛ r ɡ ɪ ɑ
ალერგიული	ɑ l ɛ r ɡ ɪ u l ɪ
ალერსად	ɑ l ɛ r s ɑ d
ალერსი	ɑ l ɛ r s i
ალერსიანი	ɑ l ɛ r s i ɑ n i
ალერსით	ɑ l ɛ r s ɪ tʰ
ალერსის	ɑ l ɛ r s ɪ s
ალერსმა	ɑ l ɛ r s m ɑ
ალერსო	ɑ l ɛ r s ɔ
ალერსს	ɑ l ɛ r s s
ალექსანდრა	ɑ l ɛ kʰ s ɑ n d r ɑ
ალექსანდრე	ɑ l ɛ kʰ s ɑ n d r ɛ
ალექსანდრია	ɑ l ɛ kʰ s ɑ n d r ɪ ɑ
ალვა	ɑ l v ɑ
ალვეოლური	ɑ l v ɛ ɔ l u r ɪ
ალი	ɑ l ɪ
ალიაქოთი	ɑ l ɪ ɑ kʰ ɔ tʰ ɪ
ალიბი	ɑ l ɪ b ɪ
ალიგატორი	ɑ l ɪ ɡ ɑ tʼ ɔ r ɪ
ალიზი	ɑ l i z i
ალიკაპი	ɑ l ɪ kʼ ɑ pʼ ɪ
ალიონი	ɑ l i ɔ n i
ალისფერი	ɑ l ɪ s pʰ ɛ r ɪ
ალიტერაცია	ɑ l ɪ tʼ ɛ r ɑ t s ɪ ɑ
ალიტერაციული	ɑ l i tʼ ɛ r ɑ t s i u l i
ალკოჰოლი	ɑ l kʼ ɔ h ɔ l i
ალკოჰოლიანი	ɑ l kʼ ɔ h ɔ l i ɑ n i
ალკოჰოლიზმი	ɑ l kʼ ɔ h ɔ l ɪ z m ɪ
ალკოჰოლური	ɑ l kʼ ɔ h ɔ l u r ɪ
ალმანახი	ɑ l m ɑ n ɑ x i
ალმასი	ɑ l m ɑ s ɪ
ალმოდებული	ɑ l m ɔ d ɛ b u l ɪ
ალმური	ɑ l m u r ɪ
ალო	ɑ l ɔ
ალოე	ɑ l ɔ ɛ
ალპინიზმი	ɑ l pʼ ɪ n ɪ z m ɪ
ალპინისტი	ɑ l pʼ ɪ n ɪ s tʼ ɪ
ალპური	ɑ l pʼ u r ɪ
ალჟირი	ɑ l ʒ i r i
ალტერნატივა	ɑ l tʼ ɛ r n ɑ tʼ ɪ v ɑ
ალტერნატიულად	ɑ l tʼ ɛ r n ɑ tʼ ɪ u l ɑ d
ალტერნატიული	ɑ l tʼ ɛ r n ɑ tʼ ɪ u l ɪ
ალტი	ɑ l tʼ ɪ
ალტიმეტრი	ɑ l tʼ ɪ m ɛ tʼ r ɪ
ალტრუიზმი	ɑ l tʼ r u ɪ z m ɪ
ალტრუისტი	ɑ l tʼ r u ɪ s tʼ ɪ
ალტრუისტულად	ɑ l tʼ r u ɪ s tʼ u l ɑ d
ალტრუისტული	ɑ l tʼ r u ɪ s tʼ u l ɪ
ალუბალი	ɑ l u b ɑ l i
ალუვიური	ɑ l u v i u r i
ალუმინი	ɑ l u m i n i
ალუჩა	ɑ l u t ʃ ɑ
ალფა	ɑ l pʰ ɑ
ალქატი	ɑ l kʰ ɑ tʼ ɪ
ალქიმია	ɑ l kʰ ɪ m ɪ ɑ
ალქიმიკოსი	ɑ l kʰ ɪ m ɪ kʼ ɔ s ɪ
ალღო	ɑ l ʁ ɔ
ალყა	ɑ l qʼ ɑ
ამ	ɑ m
ამაგი	ɑ m ɑ ɡ ɪ
ამაზე	ɑ m ɑ z ɛ
ამალა	ɑ m ɑ l ɑ
ამალგამა	ɑ m ɑ l ɡ ɑ m ɑ
ამანათი	ɑ m ɑ n ɑ tʰ i
ამაო	ɑ m ɑ ɔ
ამაოდ	ɑ m ɑ ɔ d
ამაოება	ɑ m ɑ ɔ ɛ b ɑ
ამართლებს	ɑ m ɑ r tʰ l ɛ b s
ამარილისი	ɑ m ɑ r ɪ l ɪ s ɪ
ამას	ɑ m ɑ s
ამასთან	ɑ m ɑ s tʰ ɑ n
ამატებს	ɑ m ɑ tʼ ɛ b s
ამაღელვებელი	ɑ m ɑ ɣ ɛ l v ɛ b ɛ l i
ამაღელვებლად	ɑ m ɑ ʁ ɛ l v ɛ b l ɑ d
ამაღლებულად	ɑ m ɑ ɣ l ɛ b u l ɑ d
ამაღლებული	ɑ m ɑ ɣ l ɛ b u l i
ამაღლებულობა	ɑ m ɑ ɣ l ɛ b u l ɔ b ɑ
ამაყად	ɑ m ɑ qʼ ɑ d
ამაყი	ɑ m ɑ qʼ i
ამაში	ɑ m ɑ ʃ ɪ
ამახინჯებს	ɑ m ɑ x i n d ʒ ɛ b s
ამბავი	ɑ m b ɑ v i
ამბიცია	ɑ m b ɪ t s ɪ ɑ
ამბობს	ɑ m b ɔ b s
ამბოხებული	ɑ m b ɔ χ ɛ b u l ɪ
ამბოხი	ɑ m b ɔ x i
ამბრაზურა	ɑ m b r ɑ z u r ɑ
ამდენად	ɑ m d ɛ n ɑ d
ამეთვისტო	ɑ m ɛ tʰ v ɪ s tʼ ɔ
ამერიკა	ɑ m ɛ r i kʼ ɑ
ამერიკად	ɑ m ɛ r ɪ kʼ ɑ d
ამერიკამ	ɑ m ɛ r ɪ kʼ ɑ m
ამერიკანიზმი	ɑ m ɛ r ɪ kʼ ɑ n ɪ z m ɪ
ამერიკას	ɑ m ɛ r ɪ kʼ ɑ s
ამერიკელი	ɑ m ɛ r ɪ kʼ ɛ l ɪ
