aach	ɔː x
katz	kʰ a͡t s
kaul	k a ʊ̯ l
keen	kʰ eː n
keenich	kʰ eː n i ç
keenichin	kʰ eː n i ç i n
kerl	kʰ ɛ l
kerrich	kʰ ɛ r i ç
kich	kʰ i ç
kind	kʰ i n t
kisse	kʰ i s ə
kleen	k l eː n
knaps	k n a p s
knopp	k n o p
komisch	kʰ oː m i ʃ
komme	kʰ ɔ m ə
komputatoer	k o m p u t a t oː ɐ
kopp	kʰ o p
korreb	kʰ ɔ r ə p
kot	k ɔ t
krank	k r a ŋ k
kreische	k r a ɪ̯ ʃ ə
kriegh	k r iː ç
kriich	k ɾ iː x
krist	k r i ʃ t
kunst	kʰ u n ʃ t
kupper	kʰ u p ɐ
kuss	kʰ u s
land	l a n t
lese	l eː s ə
leve	l eː v ə
licht	l ɪ x t
lieb	l iː b
lied	l iː d
losse	l o s ə
mache	m a x ə
manga	m a ŋ k a
mann	m a n
meer	m eː ɐ
mein	m a ɪ̯ n
mensch	m ɛ n ʃ
mer	m ɐ
merz	m ɛ͡t s
mich	m ɪ ç
mit	m i t
moie	m o ɪ̯ ə
muskitt	m u ʃ k i t
mutter	m u t ɐ
naacht	n aː x t
nacht	n a x t
nackich	n a k i ç
nass	n a s
nazi	n aː͡ t s i
nazisdisch	n a͡t s i s t i ʃ
nazismus	n a͡t s i s m u s
nedich	n eː r i ç
nein	n a ɪ̯ n
neinzen	n a ɪ̯ n͡t s n̩
neinzich	n a ɪ̯ n t͡s i ç
net	n e t
nie	n iː
niese	n iː s ə
nitterlande	n i t ɐ l a n t ə
nodwennich	n oː t v ɛ n i ç
obwohl	oː p v oː l
ohne	oː n ə
onnibus	ɔ n i p u s
oostre	oː ʃ t r ə
paar	pʰ ɔː
peil	pʰ a ɪ̯ l
piano	pʰ i aː n o
pnëu	p n e ʊ̯
pole	pʰ oː l ə
portugal	pʰ o r t u k aː l
praut	p ɾ a ʊ̯ t
ransch	r a n ʃ
ranschegelleb	r a n ʃ ə k e l ə p
rass	r a s
ratt	r a t
rau	r a ʊ̯
raub	r a ʊ̯ p
rauche	r a ʊ̯ x ə
raucher	r a ʊ̯ x ɐ
raum	r a ʊ̯ m
raume	r a ʊ̯ m ə
rausche	r a ʊ̯ ʃ ə
rechne	r e ç n ə
rechnung	r e ç n u ŋ
recht	r e ç t
rechts	r e ç t͡s
rees	r eː s
reffe	r e f ə
reh	r eː
rehn	r eː n
rei	r a ɪ̯
reiche	r a ɪ̯ ç ə
reichre	r a ɪ̯ ç r ə
reif	r a ɪ̯ f
reife	r a ɪ̯ f ə
reis	r a ɪ̯ s
reise	r a ɪ̯ s ə
reive	r a ɪ̯ v ə
renne	r ɛ n ə
repple	r e p l ə
rest	r e ʃ t
rette	r e t ə
retter	r e t ɐ
rettung	r e t u ŋ
richte	r i ç t ə
richter	r i ç t ɐ
richtung	r i ç t u ŋ
ricke	r i k ə
rieche	r iː ç ə
rind	r i n t
rindfleisch	r i n t f l a ɪ̯ ʃ
ring	r i ŋ
ringfinger	r i ŋ f i ŋ ɐ
rio	r iː o
ripp	r i p
riss	r i s
ritz	r i t͡s
riwle	r i v l ə
rock	r o k
rod	r oː t
rode	r oː r ə
roh	r oː
roll	r o l
romantik	r o m a n t i k
roppe	r o p ə
ros	r oː s
rosch	r o ʃ
ross	r o s
rost	r o ʃ t
rotz	r o t͡s
ruf	r uː f
rufe	r uː f ə
ruh	r uː
ruhe	r uː ə
russ	r u s
russisch	r u s i ʃ
russland	r u s l a n t
rut	r uː t
rëlighion	r e l i ç i̯ o n
saan	s ɔː n
sach	s a x
sack	s a k
sakrament	s a k r a m ɛ n t
sals	s a l s
salse	s a l s e
salsich	s a l s i ç
sammle	s a m l ə
sammlung	s a m l u ŋ
sand	s a n t
sardin	s a t iː n
satellit	s a t ə l iː t
sattel	s a t l̩
satz	s a t͡s
sau	s a ʊ̯
sauer	s a ʊ̯ ɐ
sauver	s a ʊ̯ v ɐ
scha	ʃ aː
schaal	ʃ ɔː l
schaam	ʃ ɔː m
schach	ʃ a x
schachtel	ʃ a x t l̩
schaffe	ʃ a f ə
schall	ʃ a l
schalle	ʃ a l ə
schapong	ʃ a p ɔ ŋ
schatte	ʃ a t ə
schatz	ʃ a t͡s
schaum	ʃ a ʊ̯ m
scheed	ʃ eː t
scheele	ʃ eː l ə
scheen	ʃ eː n
schein	ʃ a ɪ̯ n
scheine	ʃ a ɪ̯ n ə
schell	ʃ e l
schelle	ʃ e l ə
scheme	ʃ eː m ə
schenker	ʃ ɛ ŋ k ɐ
scherz	ʃ ɛ t͡s
schicht	ʃ i ç t
schiff	ʃ i f
schild	ʃ i l t
schiller	ʃ i l ɐ
schipp	ʃ i p
schissel	ʃ i s l̩
schisser	ʃ i s ɐ
schlaa	ʃ l ɔː
schlachte	ʃ l a x t ə
schlachtung	ʃ l a x t u ŋ
schlang	ʃ l a ŋ
schlank	ʃ l a ŋ k
schlapp	ʃ l a p
schlau	ʃ l a ʊ̯
schlecht	ʃ l e ç t
schleier	ʃ l a ɪ̯ ɐ
schleim	ʃ l a ɪ̯ m
schleppe	ʃ l e p ə
schlicke	ʃ l i k ə
schliese	ʃ l iː s ə
schlitz	ʃ l i t͡s
schlof	ʃ l oː f
schlofe	ʃ l oː f ə
schloss	ʃ l o s
schlott	ʃ l o t
schluck	ʃ l u k
schmaal	ʃ m ɔː l
schmecke	ʃ m e k ə
schmelze	ʃ m e l t͡s ə
schmetterling	ʃ m e t ɐ l i ŋ
schmier	ʃ m iː ɐ
schmitt	ʃ m i t
schmuck	ʃ m u k
schmutz	ʃ m u͡t s
schnall	ʃ n a l
schnalle	ʃ n a l ə
schnaps	ʃ n a p s
schneck	ʃ n e k
schnee	ʃ n eː
schneemann	ʃ n eː m a n
schnees	ʃ n eː s
schneid	ʃ n a ɪ̯ t
schneide	ʃ n a ɪ̯ r ə
schneider	ʃ n a ɪ̯ r ɐ
schnell	ʃ n e l
schnips	ʃ n i p s
schnitt	ʃ n i t
schnuer	ʃ n uː ɐ
schnuppe	ʃ n u p ə
schnut	ʃ n uː t
schof	ʃ oː f
schopp	ʃ o p
schos	ʃ oː s
schot	ʃ oː t
schrank	ʃ r a ŋ k
schrappe	ʃ r a p ə
schraub	ʃ r a ʊ̯ p
schreck	ʃ r e k
schrecke	ʃ r e k ə
schrecklich	ʃ r e k l i ç
schrift	ʃ r i f t
schritt	ʃ r i t
schuh	ʃ uː
schul	ʃ uː l
schuld	ʃ u l t
schun	ʃ u n
schuppe	ʃ u p ə
schuss	ʃ u s
schuster	ʃ u ʃ t ɐ
schutz	ʃ u t͡s
schutze	ʃ u t͡s ə
schutzengel	ʃ u t͡s ɛ ŋ l̩
schwaart	ʃ v ɔː t
schwach	ʃ v a x
schwamm	ʃ v a m
schwanger	ʃ v a ŋ ɐ
schwanz	ʃ v a n s
schwanz	ʃ v a n t͡s
schwarz	ʃ v a͡t s
schwarzbier	ʃ v a t͡s p iː ɐ
schwarzbier	ʃ v a ʁ t͡s b iː ɐ̯
schwefel	ʃ v eː f l̩
schwein	ʃ v a ɪ̯ n
schweinerei	ʃ v a ɪ̯ n ə r a ɪ̯
schweiz	ʃ v a ɪ̯͡ t s
schweizer	ʃ v a ɪ̯ t͡s ɐ
schwelle	ʃ v e l ə
schwellung	ʃ v e l u ŋ
schwimme	ʃ v i m ə
schwimmer	ʃ v i m ɐ
schwitz	ʃ v i t͡s
schwitze	ʃ v i t͡s ə
schwäer	ʃ v ɛː ɐ
sechs	s e k s
sechseck	s e k s e k
sechzen	s e ç͡t s n̩
sechzich	s e ç t͡s i ç
seckel	s e k l̩
see	s eː
seel	s eː l
seh	s eː
sehe	s eː ə
sei	s a ɪ̯
seid	s a ɪ̯ t
seie	s a ɪ̯ ə
seif	s a ɪ̯ f
seit	s a ɪ̯ t
sekund	s e k u n t
senger	s ɛ ŋ ɐ
september	s eː p t ɛ m p ɐ
setze	s e t͡s ə
sibzen	s i p t͡s n̩
sichel	s i ç l̩
sicher	s i ç ɐ
sicherlich	s i ç ɐ l i ç
sicht	s i ç t
sie	s iː
siegh	s iː ç
sies	s iː s
siete	s iː t ə
sieve	s iː v ə
siffer	s i f ɐ
sihn	s iː n
silver	s i l v ɐ
simbol	s i m p o l
sin	s i n
sind	s i n t
sinfonie	s i n f o n iː
sinfonisch	s i n f oː n i ʃ
singe	s i ŋ ə
sinke	s i ŋ k ə
sinner	s i n ɐ
sinonim	s i n oː n i m
sistem	s i s t eː m
sitze	s i t͡s ə
skelett	ʃ k e l e t
skorpion	ʃ k o r p i oː n
soda	s oː t a
sofa	s o f aː
sohl	s oː l
sohn	s oː n
soldaat	s o l t ɔː t
solle	s o l ə
some	s oː m ə
sommer	s ɔ m ɐ
soot	s oː t
sos	s oː s
spaad	ʃ p ɔː t
spaan	ʃ p ɔː n
spanje	ʃ p a n j ə
spanne	ʃ p a n ə
sparre	ʃ p a r ə
spass	ʃ p a s
speck	ʃ p e k
sped	ʃ p e t
speicher	ʃ p a ɪ̯ ç ɐ
sperre	ʃ p ɛ r ə
spiel	ʃ p iː l
spiele	ʃ p iː l ə
spieler	ʃ p iː l ɐ
spinn	ʃ p i n
spiss	ʃ p i s
spitz	ʃ p i t͡s
spoer	ʃ p oː ɐ
spott	ʃ p o t
spreche	ʃ p r e ç ə
sprecher	ʃ p r e ç ɐ
sprecherei	ʃ p r e ç ə r a ɪ̯
springe	ʃ p r i ŋ ə
spritz	ʃ p r i t͡s
spritze	ʃ p r i t͡s ə
sproch	ʃ p r o x
spruch	ʃ p r u x
sprung	ʃ p r u ŋ
spuck	ʃ p u k
spucke	ʃ p u k ə
spul	ʃ p uː l
staab	ʃ t ɔː p
staal	ʃ t ɔː l
staat	ʃ t ɔː t
stachel	ʃ t a x l̩
stall	ʃ t a l
stamm	ʃ t a m
stampe	ʃ t a m p ə
stamper	ʃ t a m p ɐ
stang	ʃ t a ŋ
statt	ʃ t a t
steche	ʃ t e ç ə
stecke	ʃ t e k ə
steen	ʃ t eː n
steenich	ʃ t eː n i ç
steere	ʃ t eː r ə
stehle	ʃ t eː l ə
stehn	ʃ t eː n
steie	ʃ t a ɪ̯ ə
steier	ʃ t a ɪ̯ ɐ
steif	ʃ t a ɪ̯ f
stelle	ʃ t e l ə
stempel	ʃ t ɛ m p l̩
stengel	ʃ t ɛ ŋ l̩
stern	ʃ t ɛ n
sterrve	ʃ t ɛ r v ə
sterze	ʃ t ɛ t͡s ə
stetter	ʃ t e t ɐ
stich	ʃ t i ç
stick	ʃ t i k
sticke	ʃ t i k ə
sticker	ʃ t i k ɐ
stiefbruder	ʃ t iː f p r uː r ɐ
stiefkind	ʃ t iː f kʰ i n t
stiefmutter	ʃ t iː f m u t ɐ
stiefsohn	ʃ t iː f s oː n
stiel	ʃ t iː l
stier	ʃ t iː ɐ
stift	ʃ t i f t
still	ʃ t i l
stimme	ʃ t i m ə
stinkdier	ʃ t i ŋ k t iː ɐ
stinke	ʃ t i ŋ k ə
stock	ʃ t o k
stolper	ʃ t o l p ɐ
stolpre	ʃ t o l p r ə
stols	ʃ t o l s
stoppe	ʃ t o p ə
storz	ʃ t ɔ t͡s
strauch	ʃ t r a ʊ̯ ç
straus	ʃ t r a ʊ̯ s
streck	ʃ t r e k
strecke	ʃ t r e k ə
streiche	ʃ t r a ɪ̯ ç ə
streicher	ʃ t r a ɪ̯ ç ɐ
streichle	ʃ t r a ɪ̯ ç l ə
streife	ʃ t r a ɪ̯ f ə
strich	ʃ t r i ç
strick	ʃ t r i k
stricke	ʃ t r i k ə
strof	ʃ t r oː f
strofe	ʃ t r o f ə
stroh	ʃ t r oː
strom	ʃ t r oː m
strome	ʃ t r oː m ə
stros	ʃ t r oː s
stross	ʃ t r o s
strump	ʃ t r u m p
struz	ʃ t r uː t͡s
stuhl	ʃ t uː l
stumm	ʃ t u m
stump	ʃ t u m p
suche	s u x ə
suckle	s u k l ə
sump	s u m p
supp	s u p
suttle	s u t l ə
taach	t aː x
talent	tʰ a l ɛ n t
tamburin	tʰ a m p u r iː n
tanke	t a ŋ k ə
tappes	tʰ a p ə s
tasch	tʰ a ʃ
tass	tʰ a s
tee	tʰ eː
teekann	tʰ eː kʰ a n
tirolisch	tʰ i r oː l i ʃ
tomatt	tʰ o m a t
torte	tʰ ɔ t ə
toych	t ɔ j x
trample	t r a m p l ə
traub	t r a ʊ̯ p
traue	t r a ʊ̯ ə
tritt	t r i t
troost	t r oː ʃ t
trupp	t r u p
tunke	tʰ u ŋ k ə
tunkelheet	t u ŋ k ə l h eː t
tëlevisong	t h e l ə v i s ɔ ŋ
uersach	uː ɐ s a x
uerwald	uː ɐ v a l t
uff	u f
uffem	u f m̩
uffs	u f s
uher	uː ɐ
uherzeid	uː ɐ t͡s a ɪ̯ t
umsonst	u m s ɔ n ʃ t
un	u n
unbekannt	u n p ə kʰ a n t
ungesund	u n k ə s u n t
uns	u n s
unschuld	u n ʃ u l t
unsicher	u n s i ç ɐ
unzufried	u n t͡s u f r iː t
vaas	v ɔː s
waal	v ɔː l
waan	v ɔː n
waar	v ɔː
wach	v a x
wache	v a x ə
wachse	v a k s ə
wackle	v a k l ə
waff	v a f
walse	v a l s ə
wand	v a n t
was	v a s
waser	v a s ə ɾ
wasser	v a s ɐ
watt	v a t
wechsle	v e k s l ə
weck	v e k
wecker	v e k ɐ
weele	v eː l ə
weert	v eː ɐ t
weh	v eː
weib	v a ɪ̯ p
weiblich	v a ɪ̯ p l i ç
weid	v a ɪ̯ t
wein	v a ɪ̯ n
weis	v a ɪ̯ s
weize	v a ɪ̯ t͡s ə
well	v e l
wer	v ɛ ɐ̯
werklich	v ɛ r k l i ç
werre	v ɛ r ə
wever	v eː v ɐ
wichse	v i k s ə
wichtich	v i ç t i ç
wickle	v i k l ə
wiest	v iː ʃ t
wild	v i l t
wille	v i l ə
wimper	v i m p ɐ
windmihl	v i n t m iː l
winsche	v i n ʃ ə
winter	v i n t ɐ
wische	v i ʃ ə
wisse	v i s ə
witz	v i t͡s
wo	v oː
wochenn	v o x ɛ n
woher	v oː ɐ
woherheet	v oː ɐ h eː t
woherheit	v oː ɐ h a ɪ̯ t
wohne	v oː n ə
woll	v o l
wolle	v o l ə
wollef	v o l ə f
wollek	v o l k
worst	v ɔ ʃ t
wort	v ɔ t
wuchs	v u k s
wund	v u n t
wunner	v u n ɐ
wut	v uː t
wutz	v u t͡s
xloych	ʃ l ɔ j x
xtayn	ʃ t a j n
zaam	t͡s ɔː m
zaart	t͡s ɔː t
zang	t͡s a ŋ
zanke	t͡s a ŋ k ə
zaun	t͡s a ʊ̯ n
zeche	t͡s e ç ə
zeh	t͡s eː
zehn	t͡s eː n
zeich	t͡s a ɪ̯ ç
zeichne	t͡s a ɪ̯ ç n ə
zeichnung	t͡s a ɪ̯ ç n u ŋ
zeid	t͡s a ɪ̯ t
zentraal	t͡s n̩ t r ɔː l
zentrum	t͡s ɛ n t r u m
zettel	t͡s e t l̩
ziehe	t͡s iː ə
zimmer	t͡s i m ɐ
zimmermann	t͡s i m ɐ m a n
zink	t͡s i ŋ k
zins	t͡s i n s
zitron	t͡s i t r oː n
zittre	t͡s i t r ə
zopp	t͡s o p
zucker	t͡s u k ɐ
zuckre	t͡s u k r ɐ
zufried	t͡s u f r iː t
zumache	t͡s uː m a x ə
zung	t͡s u ŋ
zweck	t͡s v e k
zweifel	t͡s v a ɪ̯ f l̩
zweifle	t͡s v a ɪ̯ f l ə
zwellef	t͡s v e l ə f
zwern	t͡s v ɛ n
zwett	t͡s v e t
zweu	t͡s v ɔ ɪ̯
zwieback	t͡s v iː p a k
zwilling	t͡s v i l i ŋ
zwinge	t͡s v i ŋ ə
äerd	ɛː ɐ t
äerdbeer	ɛː ɐ t p eː ɐ
äärem	ɛː r m̩
äärsch	ɛː ʃ
