ар	aː r
уасэ	w aː s a
увын	w v ə n
ужьэ	w ʑ a
урыс	w ə r ə s
хадэ	x aː d a
хамэ	x aː m a
хуэд	xʷ a d
хугу	xʷ ə ɡʷ
зэвы	z a v ə
зауэ	z aː w a
жьэн	ʑ a n
лъэн	ɬ a n
хъэн	χ a n
щӏэн	ɕ a n
лэпс	ɮ a p s
лъэс	ɬ a s
щэкӏ	ɕ a t͡ʃ ʼ
хьэв	ħ a v
шэху	ʃ a xʷ ə
ӏэзэ	ʔ a z a
лъэщ	ɬ a ɕ
щабэ	ɕ aː b a
абдж	ʔ aː b d͡ʒ
ӏанэ	ʔ aː n a
аращ	ʔ aː r aː ɕ
шатэ	ʃ aː t a
щауэ	ɕ aː w a
щхэн	ɕ x a n
шхуэ	ʃ xʷ a
щхьэ	ɕ ħ a
лӏэн	ɬ ʼ a n
щӏэп	ɕ ʼ a p
шыды	ʃ ə d
жылэ	ʒ ə l a
лъын	ɬ ə n
щынэ	ɕ ə n a
жылэ	ʒ ə ɮ a
щӏыб	ɕ ʼ ə b
щыгу	ɕ ə ɡʷ
гудз	ɡʷ a d͡z
гуэл	ɡʷ a ɮ
гудэ	ɡʷ ə d
гъум	ʁʷ ə m
ӏупс	ʔʷ ə p
ӏупэ	ʔʷ ə p a
гува	ɡʷ ə v a
ӏувы	ʔʷ ə v ə
гулъ	ɡʷ ə ɬ
ахъшэ	aː χ ʃ a
бэуэн	b a w a n
бадзэ	b aː d͡z a
бахъэ	b aː χ a
фӏэкӏ	b aː ɮ ə d͡ʒ a
блыгу	b l ə ɡʷ
бзэгу	b z a ɡʷ
быдзы	b ə d͡z ə
бынжэ	b ə n ʒ a
былым	b ə ɮ ə m
дэкун	d a kʷ ə n
дакъэ	d aː q a
дарий	d aː r i j
дыгъэ	d ə ʁ a
дзэху	d͡z a xʷ
дзасэ	d͡z aː s a
дзажэ	d͡z aː ʒ a
джэду	d͡ʒ a d ə w
джэгу	d͡ʒ a ɡʷ
джанэ	d͡ʒ aː n a
джаур	d͡ʒ aː w ə r
джыдэ	d͡ʒ ə d a
еджэн	j a d͡ʒ a n
еижын	j a j ə ʒ ə n
ежьэн	j a ʑ a n
ещӏэн	j a ʃ ʼ a n
илъэс	j ə ɬ a s
кӏуэн	kʷ ʼ a n
мэрем	m a r e m
мафӏэ	m aː f ʼ a
макъэ	m aː q a
мацӏэ	m aː t͡s ʼ a
махуэ	m aː xʷ a
мажьэ	m aː ʑ a
мащӏэ	m aː ɕ ʼ a
нэмэз	n a m a z
нэмыс	n a m ə s
насып	n aː s ə p
натӏэ	n aː t ʼ a
нытӏэ	n ə t ʼ a
пэщын	p a ɕ ə n
псори	p s a w r i
пхэнж	p x a n ʒ
плъэн	p ɬ a n
пщэры	p ɕ a r ə
пщащэ	p ɕ aː ɕ a
пщтыр	p ɕ t ə r
пычын	p ə t͡ʃ ə n
пшынэ	p ʃ ə n a
къафэ	q aː f a
къамэ	q aː m a
къалэ	q aː ɮ a
къыкъ	q ə q
къыцэ	q ə t͡s a
кхъуэ	q͡χʷ a
сэшхо	s a ʃ xʷ a
сабый	s aː b ə j
сабын	s aː b ə n
сахъэ	s aː χ a
сысын	s ə s ə n
тэлай	t a l a j
тхыдэ	t x ə d a
тхылъ	t x ə ɬ
тхуей	t xʷ e j
тхьэв	t ħ a v
тутын	t ə w t ə n
тхъун	t χʷ ə n
цакуэ	t͡s aː kʷ a
цӏуун	t͡s ʼ ə w ə n
цӏыху	t͡s ʼ ə xʷ ə
кӏасэ	t͡ʃ ʼ aː s a
кӏахэ	t͡ʃ ʼ aː x a
кӏыхь	t͡ʃ ʼ ə ħ
вакъэ	v aː q a
уэрэд	w a r a d
уджын	w d͡ʒ ə n
укӏыт	w t͡ʃ ə t
унафэ	w ə n aː ʂʷ a
упщӏэ	w ə p ɕ ʼ a
укӏын	w ə t͡ʃ ʼ ə n
хэхын	x a x ə n
хуабэ	xʷ aː b a
хуеин	xʷ e j ə n
хужьы	xʷ ə ʑ ə
зэшын	z a ʃ ə n
захуэ	z aː xʷ a
хуэфӏ	z aː ɬ ʼ a ʒ ə n
щэбэт	ɕ a b a t
шабзэ	ʃ a b z a
хьэдэ	ħ a d a
хьэку	ħ a kʷ
шэсын	ʃ a s ə n
хьэвэ	ħ a v a
хьэуэ	ħ a w a
щэхун	ɕ a xʷ ə n
акъыл	ʔ aː q ə l
ӏэтын	ʔ aː t ə n
жьауэ	ʑ aː w a
лъагэ	ɬ aː ɣ a
щӏалэ	ɕ ʼ aː ɮ a
лъынэ	ɬ ə n a
жыжьэ	ʒ ə ʑ a
жыӏэн	ʒ ə ʔ a n
щыӏэн	ɕ ə ʔ a n
щӏыӏэ	ɕ ʼ ə ʔ a
щӏыгу	ɕ ʼ ə ɡʷ
щӏыӏу	ɕ ʼ ə ʔʷ
шыгъу	ʃ ə ʁʷ
гуэдз	ɡʷ a d͡z
ӏуэху	ʔʷ a xʷ
гуэлӏ	ɡʷ a ɬ ʼ
гьэгу	ɡʲ a ɡʷ
гуанэ	ɡʷ aː n a
гьанэ	ɡʲ aː n a
гуапэ	ɡʷ aː p a
гуауэ	ɡʷ aː w a
гуащэ	ɡʷ aː ɕ a
гъубж	ʁʷ ə b ʒ
гъусэ	ʁʷ ə s a
гъущэ	ʁʷ ə ɕ a
гъущы	ʁʷ ə ɕ ə
гъущӏ	ʁʷ ə ɕ ʼ
гугъу	ɡʷ ə ʁʷ
ӏугъо	ʔʷ ə ʁʷ a
блыпкъ	b l ə p q
бзаджэ	b z aː d͡ʒ a
бзупцӏ	b z ə w ə p t͡s ʼ
бжьыны	b ʑ ə n ə
дэлъэн	d a ɬ a n
дэлъху	d a ɬ xʷ ə
дудакъ	d w d a q
дыжьын	d ə ʑ ə n
дзыдзэ	d͡z ə d͡z a
джэгун	d͡ʒ a ɡʷ ə n
фӏалъэ	f ʼ aː ɬ a
фызабэ	f ə z aː b a
фӏыцӏэ	f ʼ ə t͡s ʼ a
фӏыщӏэ	f ʼ ə ɕ ʼ a
ебгъэн	j a b ʁ a n
емыкӏу	j a m ə kʷ ʼ
епэмын	j a p a m ə n
езэшын	j a z a ʃ ə n
еӏусын	j a ʔʷ ə s ə n
куэдрэ	kʷ a d r a
куэпкъ	kʷ a p q
кӏуасэ	kʷ ʼ aː s a
лэжьэн	l a ʑ a n
мылъку	m ə ɬ ə kʷ
мышынэ	m ə ʃ ə n a
мыгъуэ	m ə ʁʷ a
нэмыщӏ	n a m ɕ ʼ
нэцӏэн	n a t͡s ʼ a n
нэщанэ	n a ɕ a n a
нэщэнэ	n a ɕ a n a
набдзэ	n aː b d͡z a
набгъэ	n aː b ʁ a
ныкъуэ	n ə qʷ a
папцӏэ	p aː p t͡s ʼ a
папщӏэ	p aː p ɕ ʼ a
псыбыб	p s ə b ə b
псыунэ	p s ə w n a
псыунэ	p s ə w ə n a
псыхъо	p s ə χʷ a
пцӏанэ	p t͡s ʼ aː n a
пщэдей	p ɕ a d a j
пӏастэ	p ʼ aː s t a
пӏалъэ	p ʼ aː ɬ a
пӏащӏэ	p ʼ aː ɕ ʼ a
пщылӏы	p ɕ ə ɬ ʼ
пщӏыхь	p ɕ ʼ ə ħ
къэфэн	q a f a n
къэрал	q a r aː ɮ
къабзэ	q aː b z a
къуажэ	qʷ aː ʒ a
кхъуей	q͡χʷ eː j
кхъухь	q͡χʷ ə ħ
кхъыӏэ	q͡χʷ ə ʔ a
сэкъат	s a q aː t
тэджын	t a d͡ʒ ə n
теувэн	t a j v a n
техьэн	t a j ħ aː n
тхыбзэ	t x ə b z a
тхыгъэ	t x ə ʁ a
тӏэкӏу	t ʼ a kʷ ʼ
тӏэтэн	t ʼ a t a n
тӏатӏэ	t ʼ aː t ʼ a
тӏысын	t ʼ ə s ə n
цӏакӏэ	t͡s ʼ aː t͡ʃ a
цӏыкӏу	t͡s ʼ ə kʷ ʼ
цӏыхун	t͡s ʼ ə xʷ ə n
кӏакӏы	t͡ʃ aː t͡ʃ ə
кӏапсэ	t͡ʃ ʼ aː p s a
кӏагуэ	t͡ʃ ʼ aː ɡʷ a
вабдзэ	v aː b d͡z a
вагъуэ	v aː ʁʷ a
уэфэгу	w a f a ɡʷ
унэӏут	w n a ʔʷ t
удзыфэ	w ə d͡z ə f a
ущыгун	w ə ɕ ə ɡʷ ə n
хэдзын	x a d͡z ə n
хэкӏын	x a t͡ʃ ʼ ə n
хэлъын	x a ɬ ə n
хэщӏын	x a ɕ ʼ ə n
хуэпэн	xʷ a p a n
хуэӏаз	xʷ a ʔ aː z
хуабжь	xʷ aː b ʑ
занщӏэ	z aː n ɕ ʼ a
адакъэ	ʔ a d aː q a
лъэдий	ɬ a d ə j
шэмэдж	ʃ a m a ɡʲ ʼ
лъэмыж	ɬ a m ə ʒ
хьэнцэ	ħ a n t͡s a
лъэпэд	ɬ a p a d
лъэпкъ	ɬ a p q
шэрэхъ	ʃ a r a χ
хьэрыф	ħ a r ə f
ӏэрыпӏ	ʔ a r ə p ʼ
лъэтэн	ɬ a t a n
гъэвэн	ʁ a v a n
хьэлъэ	ħ a ɬ a
жэщтеу	ʒ a ɕ t a j w
ӏэлъын	ʔ a ɬ ə n
ӏахъуэ	ʔ a χʷ a
жьэхъу	ʑ a χʷ ə
гъаблэ	ʁ aː b ɮ a
жантий	ʒ aː n t ə j
лъапӏэ	ɬ aː p ʼ a
щапхъэ	ɕ aː p χ a
гъатхэ	ʁ aː t x a
жьакӏэ	ʑ aː t ʃ ʼ a
гъащӏэ	ʁ aː ɕ ʼ a
хьащӏэ	ħ aː ɕ ʼ a
жагъуэ	ʒ aː ʁʷ
шхыӏэн	ʃ x ə ʔ a n
лъхуэн	ɬ xʷ a n
щӏэуфэ	ɕ ʼ a w f a
лӏэужь	ɬ ʼ a w ə ʑ
щӏэхыу	ɕ ʼ a x a w
шыбжий	ʃ ə b ʒ i j
шыпхъу	ʃ ə p χʷ
ӏыгъэн	ʔ ə ʁ a n
щӏыкӏэ	ɕ ʼ ə t͡ʃ ʼ a
щӏылъэ	ɕ ʼ ə ɬ a
лӏыжьы	ɬ ʼ ə ʑ ə
щыгъуэ	ɕ ə ʁʷ a
гуэшын	ɡʷ a ʃ ə n
гъуэгу	ʁʷ a ɡʷ
хъуанэ	χʷ aː n a
гуапӏэ	ɡʷ aː p ʼ a
гуартэ	ɡʷ aː r t a
гъуджэ	ʁʷ ə d͡ʒ a
гуфӏэн	ɡʷ ə f ʼ a n
хъумэн	χʷ ə m a n
хъурей	χʷ ə r eː j
гъукӏэ	ʁʷ ə t͡ʃ ʼ a
гухэщӏ	ɡʷ ə x a ɕ ʼ
хъужын	χʷ ə ʒ ə n
гушыӏэ	ɡʷ ə ʃ ə ʔ a
аргъуей	aː r ʁʷ e j
ахьмакъ	aː ħ m aː q
балыджэ	b aː ɮ ə d͡ʒ a
бжэмышх	b ʒ a m ə ʃ x
бжьэхуц	b ɕ a xʷ ə t͡s
быдзафэ	b ə d͡z aː f a
бжьыдзэ	b ʑ ə d͡z a
бжьыхьэ	b ʑ ə ħ a
блыщхьэ	b ɮ ə ɕ ħ a
дыркъуэ	d ə r qʷ a
дыхьэшх	d ə ħ a ʃ x
дыгъуэн	d ə ʁʷ a n
дыгъужь	d ə ʁʷ ə ʑ
дзэкъэн	d͡z a q a n
дзыгъуэ	d͡z ə ʁʷ a
фошыгъу	f a w ʃ ə ʁʷ
фӏэщӏын	f ʼ a ɕ ʼ ə n
фӏэхъус	f ʼ a χʷ ə s
фӏамыщӏ	f ʼ aː m ə ɕ ʼ
ищхъэрэ	i ɕ χ a r a
еблагъэ	j a b l aː ʁ a
еджапӏэ	j a d͡ʒ aː p ʼ a
ефакӏуэ	j a f aː kʷ ʼ a
енэцӏын	j a n a t͡s ʼ ə n
иджырей	j ə d͡ʒ ə r e j
кӏуэдын	kʷ ʼ a d ə n
псэлъэн	m a p s a ɬ a n
мэхуэку	m a xʷ a kʷ
мэзджэд	m a z d͡ʒ a d
малъхъэ	m aː ɬ χ a
мыхьэнэ	m ə ħ a n a
мыӏэрыс	m ə ʔ a r ə s
нэмщӏыр	n a m ɕ ʼ ə r
нэпэуэн	n a p a w a n
нартыху	n aː r t ə xʷ
ныбгъуэ	n ə b ʁʷ a
пащтыхь	p aː ɕ t ə ħ
псыдыуэ	p s ə d ə w a
псыджэд	p s ə d͡ʒ a d
псыфэнд	p s ə f a n d
псынщӏэ	p s ə n ɕ ʼ a
пщэдыкъ	p ɕ a d ə q
пшахъуэ	p ʃ a χʷ a
пхъампэ	p χ aː m p a
пщӏатӏэ	p ɕ ʼ aː t ʼ a
пщынауэ	p ɕ ə n aː w a
плъыжьы	p ɬ ə ʑ ə
къуэлэн	qʷ a ɮ a n
къуаншэ	qʷ aː n ʃ a
къуапсэ	qʷ aː p s a
къущхьэ	qʷ ə ɕ ħ a
къугъын	qʷ ə ʁ ə n
кхъужьы	q͡χʷ ə ʑ ə
сымаджэ	s ə m aː d͡ʒ a
тенджыз	t e n d͡ʒ ə z
тхыпкъэ	t x ə p q a
тхьэмпэ	t ħ aː p a
тӏэпӏын	t ʼ s a p ʼ ə n
унащхьэ	w n aː ɕ ħ a
унагъуэ	w n aː ʁʷ a
укӏытэн	w t͡ʃ ə t a n
удзэгун	w ə d͡z a ɡʷ ə n
ужэгъун	w ə ʒ a ʁʷ ə n
хыкхъуэ	x ə q͡χʷ a
хуэщӏын	xʷ a ɕ ʼ ə n
хущхъуэ	xʷ ə ɕ χʷ a
зэхэхын	z a x a x ə n
зэхэшын	z a x a ʃ ə n
занщӏэу	z aː n ɕ ʼ a w
гъэджэн	ʁ a d͡ʒ a n
гъэфӏэн	ʁ a f ʼ a n
хьэмашэ	ħ a m aː ʃ a
щэныншэ	ɕ a n ə n ʃ a
гъэсагъ	ʁ a s aː ʁ
мэзэшын	ʁ a z a ʃ ə n
жьэжьэй	ʑ a ʑ a j
гъэхьын	ʁ a ħ ə n
лъэщӏын	ɬ a ɕ ʼ ə n
лэгъунэ	ɮ a ʁʷ n a
лъапцӏэ	ɬ aː p t͡s ʼ a
лъакъуэ	ɬ aː qʷ a
хъарбыз	χ aː r b ə z
лъхугъэ	ɬ xʷ ə ʁ a
щхьэкӏэ	ɕ ħ a t͡ʃ ʼ a
щӏэуфэн	ɕ ʼ a w f a n
щхьэхын	ɕ ħ a x ə n
жылэдэс	ʒ ə ɮ a d a s
щыӏэцӏэ	ɕ ə ʔ a t͡s ʼ a
шылъэгу	ʃ ə ɬ a ɡʷ ə
щхъырыб	ɕ χ ə r ə b
жьыщӏэн	ʑ ə ɕ ʼ a n
щӏэхьэн	ɕ ʼ ə ħ a n
щӏышылэ	ɕ ʼ ə ʃ ə l a
щӏыгъун	ɕ ʼ ə ʁʷ ə n
лъыхъун	ɬ ə χʷ ə n
гъуэмыл	ʁʷ a m ə ɮ
хъуэнэн	χʷ a n a n
гуэныхь	ɡʷ a n ə ħ
гъозыпс	ʁʷ a z ə p s
гъуэщэн	ʁʷ a ɕ a n
хъуэжэн	χʷ a ʑ a n
гъуэжьы	ʁʷ a ʑ ə
гъуэгын	ʁʷ a ɣ ə n
гуэгуэн	ɡʷ a ɡʷ a n
ӏуащхьэ	ʔʷ aː ɕ ħ a
гуахъуэ	ɡʷ aː χʷ a
лӏэныгъ	ɬˤ ʼ a n ə ʁ
гузэвэн	ɡʷ ə z a v a n
адыгэбзэ	aː d ə ɣ a b z a
бэдрэжан	b a d r a ʒ aː n
бэрэжьей	b a r a ʑ e j
бахъсымэ	b aː χ s ə m a
бдзэжьей	b d͡z a ʑ e j
блэгущӏэ	b l a ɡʷ ə ɕ ʼ a
бжьыныху	b ʑ ə n ə xʷ
дыгъуасэ	d ə ʁʷ aː s a
дзэлъэщӏ	d͡z a ɬ a ɕ ʼ
джэдкъаз	d͡ʒ a d q aː z
джэдыкӏэ	d͡ʒ a d ə t͡ʃ a
фӏыцӏафэ	f ʼ ə t͡s ʼ aː f a
ефыгъуэн	j a f ə ʁʷ ə n
ехьэлӏэн	j a ħ a ɬ ʼ a n
махъсымэ	m aː χ s ə m a
нэмыщӏыр	n a m ə ɕ ʼ ə r
енэпэуэн	n a p a w a n
нэжэгужэ	n a ʒ a ɡʷ ə ʒ a
нэгъуэщӏ	n a ʁʷ ʼ a ɕ ʼ
псэущхьэ	p s a w ɕ ħ
псэхэлӏэ	p s a x a ɬ ʼ z
псыфалъэ	p s ə f aː ɬ a
псынщӏэу	p s ə n ɕ ʼ a w
пӏэнкӏын	p ʼ a n t͡ʃ ʼ ə m
къэкӏуэн	q a kʷ ʼ a n
къэцыфын	q a t͡s ʼ ə f ə n
къэлэдэс	q a ɮ a d a s
къэхьыпэ	q a ħ ə p a
къаплъэн	q aː p ɬ a n
кърухугу	q r u xʷ ə ɡʷ
къулыкъу	q w ɮ ə qʷ
къупщхьэ	qʷ p ɕ ħ a
техакӏуэ	t a j x aː kʷ ʼ a
телъэдэн	t a j ɬ a d a n
тхьэмадэ	t ħ a m aː d a
тхьэшхуэ	t ħ a ʃ xʷ a
тхьэщӏын	t ħ a ɕ ʼ ə n
кӏыгуугу	t͡ʃ ə ɡʷ ə w ə ɡʷ
уэндэгъу	w a n d a ʁʷ
зэтеувэн	z a t a j w v a n
зэуакӏуэ	z a w aː kʷ ʼ a
зылӏэжын	z aː ɬ ʼ a ʒ ə n
ӏэбжьанэ	ʔ a b ʑ aː n a
гъэдыргъ	ʁ a d ə r ʁ
хьейнапэ	ħ a j ə n aː p
гъэмахуэ	ʁ a m aː xʷ a
лъэныкъу	ɬ a n ə qʷ
гъэзэшын	ʁ a z a ʃ ə n
хьэлэмэт	ħ a ɮ a m a t
хьэщомыщ	ħ a ɕ a w m ə ɕ
ӏэщӏэзын	ʔ a ɕ ʼ a z ə n
хьэжыгъэ	ħ a ʒ ə ʁ a
ӏэгъуапэ	ʔ a ʁʷ aː p a
гъэӏулэн	ʁ a ʔʷ ə l a n
лъыхугъэ	ɬ xʷ ə ʁ a
щӏэныгъэ	ɕ ʼ a n ə ʁ a
щӏэлэгъу	ɕ ʼ a ɮ a ʁʷ
хъыджэбз	χ ə d͡ʒ a b z
шынагъуэ	ʃ ə n a ʁʷ a
жыхапхъэ	ʒ ə x aː p χ a
щыгъэтын	ɕ ə ʁ a t ə n
хъуэпсэн	χʷ a p s a n
гъуэзыпс	ʁʷ a z ə p s
гъозышъу	ʁʷ a z ə ʃʷ
гуфӏакӏэ	ɡʷ ə f ʼ aː t͡ʃ a
гуфӏагъэ	ɡʷ ə f ʼ aː ʁ a
хъумбылэ	χʷ ə m b ə ɮ a
гъунэгъу	ʁʷ ə n a ʁʷ
гупсысэн	ɡʷ ə p s ə s a n
гурыӏуэн	ɡʷ ə r ə ʔʷ a n
арщхьэкӏэ	a r ɕ ħ a t͡ʃ ʼ a
бедэхъауэ	b a j d a χ aː w a
бытырбыху	b a t ə r b ə xʷ
бегъымбар	b e ʁ ə m b aː r
бжэндэхъу	b ʒ a n d a χʷ
дыхьэшхын	d ə ħ a ʃ x ə n
ехъуэхъун	j a χʷ a χʷ ə n
мэпсэлъэн	m a p s a ɬ a n
убжьытхэн	m a ʒʷ ə t x a n
мыхъумыбз	m ə χʷ ə m ə b z
нэпэфэуэн	n a p a f a w a n
нэчыхьытх	n a t͡ʃ ə ħ ə t x
ныбжьэгъу	n ə b ʑ a ʁʷ
ныбжьыщӏэ	n ə b ʑ ə ɕ ʼ a
папщӏэкӏэ	p aː p ɕ ʼ a t͡ʃ ʼ a
пщэдджыжь	p ɕ a d d͡ʒ ə ʑ
пжэндэхъу	p ʒ a n d a χʷ
къэбэрдей	q a b a r d e j
къэрэндащ	q a r a n d aː ɕ
къылъыфын	q ə ɬ ə xʷ ə n
къуалэбзу	qʷ aː l a b z ə w
къухьэпӏэ	qʷ ħ a p a
тхьэкӏумэ	t ħ a kʷ ʼ m a
тхьэмахуэ	t ħ a m aː xʷ a
тхьэрыкъу	t ħ a r ə qʷ
кӏэрахъуэ	t͡ʃ ʼ a r aː χʷ a
кӏэупшӏэн	t͡ʃ ʼ a w p t ʃ ʼ a n
ухуэнщӏын	w xʷ a n ɕ ʼ ə n
узыншагъэ	w ə z ə n ʃ a ʁ a
ущхъухьын	w ə ɕ χʷ ħ ə n
хуэгуэшын	xʷ a ɡʷ a ʃ ə n
лъэбакъуэ	ɬ a b aː qʷ a
шэджагъуэ	ʃ a d͡ʒ aː ʁʷ a
алэрыбгъу	ʔ a l a r ə b ʁʷ
хьэмбылыу	ħ a m b ə l ə w
лъэнкӏапӏ	ɬ a n t͡ʃ ʼ aː p ʼ
гъэпсэхун	ʁ a p s a xʷ ə n
хьэпӏацӏэ	ħ a p ʼ aː t͡s ʼ a
хьэкъмакъ	ħ a q m aː q
жьэрыкуей	ʑ a r ə kʷ a j
гъэзэщӏэн	ʁ a z a a ɕ ʼ a n
ӏэщӏэкӏын	ʔ a ɕ ʼ a t͡ʃ ʼ ə n
ӏэхъуэгъу	ʔ a χʷ a ʁʷ
лъэгуажьэ	ɬ a ɡʷ aː ʑ a
лэгъупэжь	ɮ a ʁʷ ə p a ʑ
жэгъуэгъу	ʒ a ʁʷ ə ɡʷ
щӏэтэкъун	ɕ ʼ a t a qʷ ə n
щӏэупщӏэн	ɕ ʼ a w p t ɕ ʼ a n
щӏэлъхьэн	ɕ ʼ a ɬ ħ a n
щхьэгъусэ	ɕ ħ a ʁʷ ə s a
шынэхъыщӏ	ʃ ə n aː χ ə t ɕ ʼ
шынэхъыжь	ʃ ə n aː χ ə ʑ
щӏыкӏафӏэ	ɕ ʼ ə t͡ʃ ʼ aː f ʼ a
гъуэншэдж	ʁʷ a n ʃ a d͡ʒ
гъуэгъуэн	ʁʷ a ʁʷ a n
гуыбзыгъэ	ɡʷ ə b z ə ʁ a
гуфӏагъуэ	ɡʷ ə f ʼ aː ʁʷ a
ӏункӏыбзэ	ʔʷ ə n t͡ʃ ʼ ə b z a
бзылъхугъэ	b z ə ɬ xʷ ə ʁ a
дыкъуакъуэ	d ə qʷ aː qʷ a
дыгъурыгъу	d ə ʁʷ r ə ʁʷ ə
жэгъуэгъун	d͡ʒ a ʁʷ ə ɡʷ ə n
мэджэрэзын	m a d͡ʒ a r a z ə n
мылъхукъуэ	m ə ɬ xʷ qʷ a
енэпэфэуэн	n a p a f a w a n
нэӏаплъэщӏ	n a ʔ aː p ɬ a ɕ ʼ
ныбджьэгъу	n ə b d ʑ a ʁʷ
псэлъыхъун	p s a ɬ ə χʷ ə n
пхъэдзакӏэ	p χ a d͡z aː t͡ʃ a
пӏэтепхъуэ	p ʼ a t e p χʷ a
пщӏантӏэпс	p ɕ ʼ aː n t ʼ a p s
пхъурылъху	p χ ə r ə ɬ xʷ
пщыхьэщхьэ	p ɕ ə ħ a ɕ ħ a
пщӏыхьапӏэ	p ɕ ʼ ə ħ aː p ʼ a
пщылӏыгъуэ	p ɕ ə ɬ ʼ ə ʁʷ a
къэбэкъауэ	q a b a q aː w a
къэсэхыжын	q a s a x ə ʒ ə n
къэхьэуафэ	q a ħ a w aː f a
къуэрылъху	qʷ a r ə ɬ xʷ
къуэкӏыпӏэ	qʷ a t͡ʃ ʼ ə p a
