аба	ɐ b a
смядов	s mʲ a̟ d o f
сом	s ɔ m
сомун	s o m u n
срещам	s r ɛ ʃ t ə m
сряда	s rʲ a̟ d ə
сур	s u r
суроватка	s ʊ r o v a t k ə
събота	s ə b ɔ t ə
съществувам	s ə ʃ t ɛ s t v u v ə m
сяр	sʲ a̟ r
таен	t a ɛ n
твой	t v ɔ j
твърд	t̪ f ɤ̯ r t̪
тимар	t i m a r
то	t̪ ɔ
тояга	t o j a ɡ ə
трамвай	t r ɐ ɱ v a j
уикипедия	ʊ i kʲ i p ɛ d i j ə
ферибот	f ɛ r i b o t
хава	x a v ə
хамбар	x ɐ m b a r
харамия	x ə r ɐ m i j ə
харзувал	x ə r z u v a ɫ
хляб	x ʎ a p
хомосексуален	x ɔ m o s ɛ k s u a ɫ ɛ n
хомосексуалист	x ɔ m o s ɛ k s ʊ ɐ lʲ i s t
хребет	x r ɛ b ɛ t
царица	t͡s ɐ r i t͡s ə
цена	t͡s ɛ n a
цикламен	t͡s i k ɫ a m ɛ n
чекмедже	t͡ʃ e k m ɛ d ʒ e
чемшир	t͡ʃ e m ʃ i r
червен	t͡ʃ e r v ɛ n
чесън	t͡ʃ e s ə n
четвъртък	t͡ʃ e t v ɤ r t ə k
чивия	t͡ʃ i v i j ə
чимшир	t͡ʃ i m ʃ i r
чичо	t͡ʃ i t͡ʃ o̟
чотра	t͡ʃ ɔ t r ə
чотура	t͡ʃ ɔ t ʊ r ə
чоха	t͡ʃ o̟ x a
чукундур	t͡ʃ ʊ k u n d u r
чутура	t͡ʃ u̟ t ʊ r ə
шайка	ʃ a̟ j k ə
шкембе	ʃ k ɛ m b ɛ
шомпол	ʃ ɔ m p o ɫ
шубрак	ʃ u̟ b r a k
шумак	ʃ u̟ m a k
що	ʃ t ɔ
ъ	ɤ
ъ	ɤ̞
ъгъл	ɤ ɡ ə ɫ
юпитер	j u p i t ɛ r
ютия	j u t i j ə
яка	ʲɐ k a
япония	j ɐ p ɔ n i j ə
ѝ	i
