reconstruction:gothic/𐌵𐌹𐍃𐍃	kʷ i s s
𐌸𐌹𐌿𐌱𐌹	θ i u̯ b i
𐌸𐌴𐌹𐌽𐍃	θ iː n s
𐍆𐍂𐍉𐌸𐍃	ɸ r oː θ s
𐌸𐍅𐍉𐌷𐌹	θ w oː h i
𐌰𐌿𐌺𐌰𐌽	ɔː k a n
𐌰𐌹𐌲𐌰𐌽	ɛː ɣ a n
𐌰𐌹𐌸𐌴𐌹	ɛː θ iː
𐌰𐌻𐌸𐌴𐌹𐍃	a l θ iː s
𐌰𐌽𐌰𐌵𐌰𐌻	a n a kʷ a l
𐌰𐌽𐌰𐌵𐌰𐌼	a n a kʷ a m
𐌰𐍃𐍄𐌰𐌸𐍃	a s t a θ s
𐌰𐌶𐍅𐌼𐌿𐍃	a z y m u s
𐌰𐌲𐌻𐌹𐌸𐌰	a ɣ l i θ a
𐌱𐌰𐌻𐌸𐌴𐌹	b a l θ iː
𐌱𐌹𐌿𐌷𐍄𐌹	b i uː x t i
𐌱𐌹𐌿𐌷𐍄𐍃	b i uː x t s
𐌱𐌹𐍅𐌰𐌽𐌳	b i w a n d
𐌱𐌴𐌹𐍄𐌰𐌽	b iː t a n
𐌱𐌴𐌹𐌳𐌰𐌽	b iː ð a n
𐌱𐌽𐌰𐌿𐌰𐌽	b n ɔː a n
𐌱𐍉𐍄𐌹𐌳𐌰	b oː t i d a
𐌱𐍉𐍄𐌴𐌹𐌸	b oː t iː θ
𐌱𐍉𐍄𐌾𐌰𐌽	b oː t j a n
𐌱𐍂𐌹𐌺𐌰𐌽	b r i k a n
𐌱𐌿𐌲𐌾𐌰𐌽	b u ɣ j a n
𐌱𐌰𐌹𐍂𐌰𐌽	b ɛ r a n
𐌳𐌰𐌻𐌰𐌸𐌰	d a l a θ a
𐌳𐌹𐌲𐌰𐌽𐌰	d i ɡ a n a
𐌳𐌹𐌲𐌰𐌽𐍃	d i ɡ a n s
𐌳𐌹𐌲𐍂𐌴𐌹	d i ɣ r iː
𐌳𐌰𐌿𐌸𐌿𐍃	d ɔː θ u s
𐍆𐌰𐍂𐌾𐌰𐌽	f a r j a n
𐍆𐌰𐍂𐌰𐌹𐌸	f a r ɛː θ
𐍆𐍂𐌹𐌾𐍉𐌽	f r i j oː n
𐍆𐍂𐌰𐌿𐌾𐌰	f r ɔː j a
𐌷𐌰𐍄𐌾𐌰𐌽	h a t j a n
𐌷𐌰𐌶𐌾𐌰𐌽	h a z j a n
𐌷𐌻𐌹𐍆𐌰𐌽	h l i ɸ a n
𐌷𐌿𐌲𐌾𐌰𐌽	h u ɡ j a n
𐌷𐌰𐌹𐍄𐌰𐌽	h ɛː t a n
𐌺𐌰𐍄𐌹𐌻𐍃	k a t i l s
𐌺𐌻𐌹𐍃𐌼𐍉	k l i s m oː
𐌺𐌿𐌺𐌾𐌰𐌽	k u k j a n
𐌺𐌿𐌽𐌽𐌰𐌽	k u nː a n
𐌺𐌰𐌹𐍃𐌰𐍂	k ɛː s a r
𐌵𐌰𐌹𐌽𐍉𐌽	kʷ ɛː n oː n
𐌻𐌿𐍆𐍄𐌿𐍃	l u ɸ t u s
𐌼𐌴𐌻𐌾𐌰𐌽	m eː l j a n
𐌼𐌴𐍂𐌹𐌻𐌰	m eː r i l a
𐌼𐌴𐍂𐌾𐌰𐌽	m eː r j a n
𐌼𐌹𐌳𐌾𐌹𐍃	m i ð j i s
𐌽𐌴𐍈𐌾𐌰𐌽	n eː ʍ j a n
𐍂𐌹𐌽𐌽𐌰𐌽	r i nː a n
𐍃𐌰𐍄𐌾𐌰𐌽	s a t j a n
𐍃𐌹𐌲𐌵𐌰𐌽	s i ŋ kʷ a n
𐍃𐌺𐌴𐌹𐌼𐌰	s k iː m a
𐍃𐌺𐌿𐌻𐌰𐌽	s k u l a n
𐍃𐌽𐌹𐍅𐌰𐌽	s n i w a n
𐍃𐍄𐌹𐌻𐌰𐌽	s t i l a n
𐍃𐌿𐌽𐌾𐌹𐍃	s u n j i s
𐍄𐌰𐌷𐌾𐌰𐌽	t a x j a n
𐍄𐌹𐌿𐌷𐌰𐌽	t i u̯ h a n
𐍄𐍅𐌰𐌻𐌹𐍆	t w a l i ɸ
𐍄𐌰𐌹𐌷𐌿𐌽	t ɛ h u n
𐍄𐌰𐌿𐌾𐌰𐌽	t ɔː j a n
𐌿𐌱𐌹𐌶𐍅𐌰	u β i z w a
𐌿𐌲𐌲𐌺𐌹𐍃	u ŋ k i s
𐍅𐌰𐌺𐌰𐌹𐌸	w a k ɛː θ
𐍅𐌰𐌻𐌳𐌰𐌽	w a l d a n
𐍅𐌰𐌽𐌳𐌴𐌹	w a n d iː
𐍅𐌹𐌻𐌾𐌰𐌽	w i l j a n
𐍅𐌹𐌻𐍅𐌰𐌽	w i l w a n
𐍅𐌹𐍄𐌰𐌹𐌸	w i t ɛː θ
𐍅𐍉𐌸𐌴𐌹𐍃	w oː θ iː s
𐍅𐌿𐌻𐌸𐌿𐍃	w u l θ u s
𐍈𐌰𐍂𐌾𐌹𐍃	ʍ a r j i s
𐍆𐌰𐍃𐍄𐌰𐌽	ɸ a s t aː n
𐌲𐌰𐌱𐌹𐌲𐍃	ɣ a β i x s
𐌲𐌰𐌲𐌲𐌰𐌽	ɡ a ŋ ɡ a n
𐍆𐌹𐌳𐍅𐍉𐍂	ɸ i ð w oː r
𐌸𐌴𐌹𐌷𐌰𐌽	θ iː h a n
𐍆𐌻𐍉𐌺𐌰𐌽	ɸ l oː k a n
𐌸𐍅𐌰𐌷𐌰𐌽	θ w a h a n
𐌰𐌿𐍂𐌰𐌻𐌹	ɔː r aː l i
𐌰𐌿𐌸𐌹𐌳𐌰	ɔː θ i ð a
𐌰𐌽𐌰𐌵𐌹𐍃𐍃	a n a kʷ i s s
𐌰𐌽𐌰𐍃𐌹𐌿𐌽	a n a s i u̯ n
𐌰𐌽𐌳𐌰𐌿𐌲𐌹	a n d ɔː ɣ i
𐌰𐍂𐍉𐌼𐌰𐍄𐌰	a r oː m a t a
𐌰𐍄𐌷𐌰𐌱𐌰𐌽	a t h a b aː n
𐌰𐍄𐌷𐌰𐌷𐌰𐌽	a t h aː h a n
𐌰𐍄𐌷𐌰𐌷𐌹𐌸	a t h aː h i θ
𐌰𐌲𐌲𐌹𐌻𐌿𐍃	a ŋ ɡ i l u s
𐌰𐌲𐌲𐍅𐌹𐌸𐌰	a ŋ ɡ w i θ a
𐌱𐌰𐌻𐌸𐌴𐌹𐌽	b a l θ iː n
𐌱𐌰𐌻𐌸𐌴𐌹𐌸	b a l θ iː θ
𐌱𐌰𐌻𐌸𐌾𐌰𐌽	b a l θ j a n
𐌱𐌹𐌳𐌾𐌰𐌹𐌸	b i d j ɛː θ
𐌱𐌹𐌵𐌹𐌼𐌰𐌽	b i kʷ i m a n
𐌱𐌹𐌵𐌹𐌼𐌹𐌸	b i kʷ i m i θ
𐌱𐌹𐍃𐌺𐌰𐌹𐌽	b i s k ɛː n
𐌱𐌹𐍃𐌼𐌰𐌹𐍄	b i s m ɛː t
𐌱𐌹𐍃𐍅𐌰𐍂𐌰	b i s w a r a
𐌱𐌹𐍃𐍅𐌰𐍂𐌱	b i s w a r f
𐌱𐌹𐌿𐌷𐍄𐌾𐌰	b i uː x t j a
𐌱𐌹𐍅𐌹𐍃𐌰𐌽	b i w i s a n
𐌱𐌹𐌰𐌿𐌺𐌰𐌽	b i ɔː k a n
𐌱𐌻𐌴𐌹𐌸𐌴𐌹	b l iː θ iː
𐌱𐍂𐌹𐌽𐌽𐌰𐌽	b r i nː a n
𐌱𐍂𐌿𐌺𐌾𐌰𐌽	b r uː k j a n
𐌱𐍅𐍃𐍃𐌰𐌿𐌽	b y s s ɔ n
𐌱𐌰𐌹𐍂𐌷𐍄𐍃	b ɛ r x t s
𐌱𐌰𐌿𐍂𐌸𐌴𐌹	b ɔ r θ iː
𐌱𐌰𐌿𐌰𐌽𐌳𐍃	b ɔː a n d s
𐌱𐌰𐌿𐌰𐌹𐌳𐌰	b ɔː i d a
𐌱𐌰𐌿𐌰𐌹𐌼𐌰	b ɔː ɛː m a
𐌳𐌹𐍃𐍅𐌹𐍃𐍃	d i s w i s s
𐌳𐌹𐌲𐌰𐌽𐌳𐍃	d i ɡ a n d s
𐌳𐌹𐌲𐍂𐌴𐌹𐌽	d i ɣ r iː n
𐌳𐍂𐌹𐌿𐍃𐌰𐌽	d r i u̯ s a n
𐌳𐍂𐌹𐌿𐌲𐌰𐌽	d r i u̯ ɡ a n
𐌳𐍂𐌴𐌹𐌱𐌰𐌽	d r iː β a n
𐌳𐍂𐍉𐌱𐌾𐌰𐌽	d r oː b j a n
𐌳𐍂𐌰𐌹𐌱𐌴𐌹	d r ɛː v j a n
𐌳𐌿𐌻𐌸𐌾𐌰𐌼	d u l θ j a m
𐌳𐌿𐌻𐌸𐌾𐌰𐌽	d u l θ j a n
𐌳𐌿𐍅𐌰𐌺𐌰𐌽	d u w a k a n
𐌳𐌰𐌹𐌻𐌾𐌰𐌽	d ɛː l j a n
𐌳𐌰𐌿𐍀𐌾𐌰𐌽	d ɔː p j a n
𐍆𐌰𐌹𐌰𐌽𐌳𐌰	f a i a n d a
𐍆𐌹𐌾𐌰𐌸𐍅𐌰	f i j a θ w a
𐍆𐌰𐌹𐍂𐌹𐌽𐍉	f ɛ r i n oː
𐍆𐌰𐌹𐍂𐍈𐌿𐍃	f ɛ r ʍ u s
𐍆𐌰𐌹𐌰𐌽𐌳𐍃	f ɛː a n d s
𐌷𐌽𐌴𐌹𐍅𐌰𐌽	h n iː w a n
𐌷𐌰𐌿𐌷𐌾𐌰𐌽	h ɔː h j a n
𐌷𐌰𐌹𐌻𐌰𐌲𐍃	h ɛː l a x s
𐌷𐌰𐌿𐌽𐌾𐌰𐌽	h ɔː n j a n
𐌷𐌰𐌿𐍃𐌾𐌰𐌽	h ɔː s j a n
𐌾𐌹𐌿𐌻𐌴𐌹𐍃	j i u̯ l iː s
𐌻𐌴𐌺𐌹𐌽𐍉𐌽	l eː k i n oː n
𐌽𐌹𐌿𐌾𐌹𐌸𐌰	n i u̯ j i θ a
𐍂𐌴𐌹𐌺𐌴𐌹𐍃	r iː k iː s
𐍃𐌹𐌽𐌰𐍀𐌹𐍃	s i n aː p i s
𐍃𐌹𐌽𐌴𐌹𐌲𐍃	s i n iː x s
𐍃𐌺𐌹𐌻𐌳𐌿𐍃	s k i l d u s
𐍃𐌺𐌴𐌹𐌽𐌰𐌽	s k iː n a n
𐍃𐌺𐌰𐌹𐌳𐌰𐌽	s k ɛː d a n
𐍃𐌺𐌰𐌹𐌳𐌹𐌸	s k ɛː d i θ
𐍃𐌺𐌰𐌹𐌳𐌰𐌹	s k ɛː d ɛː
𐍃𐌻𐌰𐌷𐌰𐌻𐍃	s l a h a l s
𐍃𐍀𐌰𐌿𐍂𐌳𐍃	s p ɔː r d s
𐍃𐍄𐌰𐌽𐌳𐌰𐌽	s t a n d a n
𐍃𐍅𐌹𐌲𐌻𐍉𐌽	s w i ɣ l oː n
𐍅𐌰𐌺𐌰𐌹𐌼𐌰	w a k ɛː m a
𐍅𐌰𐌽𐌳𐌾𐌰𐌽	w a n d j a n
𐍅𐌹𐌻𐌸𐌴𐌹𐍃	w i l θ iː s
𐍅𐌹𐌽𐍄𐍂𐌿𐍃	w i n t r u s
𐍅𐌹𐍄𐌰𐌽𐌳𐍃	w i t a n d s
𐍅𐌹𐍄𐌰𐌽𐌳𐍃	w i t aː n d s
𐍅𐌹𐍄𐌰𐌹𐌳𐌰	w i t ɛː d a
𐍅𐌴𐌹𐌷𐌹𐌸𐌰	w iː h i θ a
𐍅𐌰𐌹𐍂𐌸𐌰𐌽	w ɛ r θ a n
𐍅𐌰𐌹𐌽𐌰𐌷𐍃	w ɛː n a h s
𐌲𐌰𐌺𐌰𐍂𐍉𐌽	ɣ a k a r oː n
𐌸𐌻𐌹𐌿𐌷𐌰𐌽	θ l i u h a n
𐌲𐍂𐌴𐌹𐍀𐌰𐌽	ɡ r iː p a n
𐍆𐌿𐌻𐌻𐌽𐌰𐌽	ɸ u l l n a n
𐌸𐍅𐌰𐌷𐌰𐌽𐌳	θ w a h a n d
𐍈𐌰𐌹𐍂𐌱𐌰𐌽	ʍ ɛ r b a n
𐌸𐌰𐌿𐍂𐌱𐌰𐌽	θ ɔ r β a n
𐌰𐍆𐌷𐌻𐌰𐌸𐌰𐌽	a f h l a θ a n
𐌰𐌽𐌰𐌵𐌹𐌼𐌰𐌽	a n a kʷ i m a n
𐌰𐌽𐌰𐌼𐌹𐌽𐌳𐍃	a n a m i n d s
𐌰𐌽𐌰𐍃𐌹𐌻𐌰𐌽	a n a s i l a n
𐌰𐌽𐌰𐍃𐌹𐌿𐌽𐍃	a n a s i u̯ n s
𐌰𐌽𐌳𐌸𐌰𐌷𐍄𐌰	a n d θ aː h t a
𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽	a t f a r j a n
𐌰𐍄𐌷𐌰𐌷𐌰𐌽𐍃	a t h aː h a n s
𐌰𐍄𐌽𐌴𐍈𐌹𐌳𐌰	a t n eː ʍ i d a
𐌰𐍄𐌽𐌴𐍈𐌾𐌰𐌽	a t n eː ʍ j a n
𐌱𐌰𐌻𐌸𐌴𐌹𐌽𐍃	b a l θ iː n s
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐌹	b a r n i s k i
𐌱𐌰𐍂𐌽𐌹𐍃𐌺𐍃	b a r n i s k s
𐌱𐌴𐍂𐌿𐍃𐌾𐍉𐍃	b eː r u s j oː s
𐌱𐌹𐌰𐌱𐍂𐌾𐌰𐌽	b i a b r j a n
𐌱𐌹𐌳𐍉𐌼𐌾𐌰𐌽	b i d oː m j a n
𐌱𐌹𐌳𐍉𐌼𐌾𐌰𐌹	b i d oː m j ɛː
𐌱𐌹𐌺𐌿𐌺𐌾𐌰𐌽	b i k u k j a n
𐌱𐌹𐌻𐌴𐌹𐌱𐌰𐌽	b i l iː β a n
𐌱𐌹𐍂𐌹𐌽𐌽𐌰𐌽	b i r i n n a n
𐌱𐌹𐍂𐌴𐌹𐌺𐌴𐌹	b i r iː k iː
𐌱𐌹𐍂𐍉𐌳𐌴𐌹𐌸	b i r oː d iː θ
𐌱𐌹𐍂𐍉𐌳𐌾𐌰𐌽	b i r oː d j a n
𐌱𐌹𐍂𐌿𐌽𐌽𐌿𐌽	b i r u n n u n
𐌱𐌹𐍂𐌿𐌽𐌰𐌹𐌽	b i r uː n ɛː n
𐌱𐌹𐍃𐌰𐍄𐌹𐌳𐌰	b i s a t i d a
𐌱𐌹𐍃𐌰𐍄𐌾𐌰𐌽	b i s a t j a n
𐌱𐌹𐍃𐌺𐌰𐌱𐌰𐌽	b i s k a b a n
𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌼	b i s n i w a m
𐌱𐌹𐍃𐌽𐌹𐍅𐌰𐌽	b i s n i w a n
𐌱𐌹𐍃𐍀𐌹𐍅𐌿𐌽	b i s p i w u n
𐌱𐌹𐍃𐍅𐌰𐍂𐌰𐌽	b i s w a r a n
𐌱𐌹𐍅𐌰𐌽𐌳𐌴𐌹	b i w a n d iː
𐌱𐌹𐍅𐌴𐍃𐌾𐌰𐌿	b i w eː s j ɔː
𐌱𐌹𐍅𐌹𐌽𐌳𐌰𐌽	b i w i n d a n
𐌱𐌹𐍅𐌿𐌽𐌳𐌰𐌽	b i w u n d a n
𐌱𐌹𐌸𐍅𐌰𐌷𐌰𐌽	b i θ w a h a n
𐌱𐌹𐌰𐌿𐌺𐌰𐌳𐌰	b i ɔː k a d a
𐌱𐌻𐌹𐌽𐌳𐌰𐌽𐌰	b l i n d a n a
𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽	b l i ɡ ɡ w a n
𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽	b l ɔː θ j a n
𐌱𐌽𐌰𐌿𐌰𐌽𐌳𐍃	b n ɔː a n d s
𐌱𐌰𐌿𐍂𐌸𐌴𐌹𐌽	b ɔ r θ iː n
𐌱𐌰𐌿𐌰𐌽𐌳𐌴𐌹	b ɔː a n d iː
𐌳𐌹𐍃𐌳𐍂𐌰𐌿𐍃	d i s d r a u̯ s
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽	d i s n i m a n
𐌳𐌹𐌲𐌰𐌽𐌳𐌹𐌽	d i ɡ a n d i n
𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽	d r a n k j a n
𐌳𐍂𐌹𐌿𐌲𐌰𐌹𐍃	d r i u̯ ɡ ɛː s
𐌳𐍂𐌰𐌹𐌱𐌹𐌸𐍃	d r ɛː v i θ s
𐌳𐍂𐌰𐌹𐌱𐌴𐌹𐍃	d r ɛː v iː s
𐌳𐍂𐌰𐌹𐌱𐌾𐌰𐌽	d r ɛː v j a n
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽	d u r i n n a n
𐌳𐌿𐌲𐌹𐌽𐌽𐌰𐌽	d u ɡ i n n a n
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌳	d u ɡ i n n i θ
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌸	d u ɡ i n n i θ
𐍆𐌰𐍂𐌾𐌰𐌽𐌳𐍃	f a r j a n d s
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌹	f a s t u b n i
𐍆𐍂𐌰𐌵𐌹𐌼𐌰𐌽	f r a kʷ i m a n
𐍆𐍂𐌹𐌾𐌰𐌸𐍅𐌰	f r i j a θ w a
𐍆𐌰𐌿𐍂𐌰𐌷𐌰𐌷	f ɔ r a h aː h
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽	f ɛ r i n oː n
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐍃	f ɛ r i n oː s
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌸	f ɛ r i n oː θ
𐌷𐌿𐌲𐌲𐍂𐌾𐌰𐌽	h u ŋ ɡ r i j a n
𐌺𐍂𐌹𐌿𐍃𐍄𐌰𐌽	k r i u̯ s t a n
𐌼𐌰𐌽𐌰𐍃𐌴𐌸𐍃	m a n a s eː θ s
𐌼𐌰𐌽𐌽𐌹𐍃𐌺𐍃	m a nː i s k s
𐍀𐌻𐌹𐌽𐍃𐌾𐌰𐌽	p l i n s j a n
𐍃𐌹𐌽𐍄𐌴𐌹𐌽𐍃	s i n t iː n s
𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽	s t r ɔː j a n
𐍃𐍅𐌽𐌰𐌲𐍉𐌲𐌴	s y n a ɡ oː ɡ eː
𐌿𐌻𐌱𐌰𐌽𐌳𐌿𐍃	u l β a n d u s
𐍅𐌹𐌻𐍅𐌰𐌽𐌳𐍃	w i l w a n d s
𐍅𐌹𐍄𐌰𐌽𐌳𐌴𐌹	w i t a n d iː
𐍅𐌹𐍄𐌰𐌽𐌳𐌴𐌹	w i t aː n d iː
𐍅𐌴𐌹𐍄𐍅𐍉𐌸𐍃	w iː t w oː θ s
𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽	w ɔ r k j a n
𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽	ɡ a l iː k aː n
𐌲𐌰𐍄𐌰𐌹𐍂𐌰𐌽	ɣ a t ɛ r a n
𐌲𐌰𐍄𐌰𐌿𐌾𐌰𐌽	ɣ a t ɔː j a n
𐍆𐍂𐌰𐌲𐌹𐍆𐍄𐍃	ɸ r a ɣ i ɸ t s
𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽	ɸ r ɛ x n a n
𐌲𐌰𐌹𐍂𐌽𐌾𐌰𐌽	ɡ ɛ r n j a n
𐌸𐌰𐌿𐍂𐍃𐍄𐌴𐌹	θ ɔ r s t iː
𐌰𐌿𐍂𐌰𐌷𐌾𐍉𐌼	ɔː r a h j oː m
𐌰𐌹𐍅𐌹𐍃𐌺𐍉𐌽	ɛː w i s k oː n
𐌰𐌿𐌶𐌰𐌽𐌳𐌹𐌻	ɔː z a n d i l
𐌰𐍆𐌳𐌰𐌹𐌻𐌾𐌰𐌽	a f d ɛː l j a n
𐌰𐍆𐍅𐌰𐌻𐍅𐌾𐌰𐌽	a f w a l w j a n
𐌰𐌽𐌰𐌽𐌹𐍅𐌹𐌸𐍃	a n a n i w i θ s
𐌰𐌽𐌰𐍃𐌹𐌿𐌽𐌾𐍉	a n a s i u̯ n j oː
𐌰𐌽𐌳𐍅𐌰𐍃𐌾𐌰𐌽	a n d w a s j a n
𐌰𐍄𐌳𐍂𐌹𐌿𐍃𐌰𐌽	a t d r i u̯ s a n
𐌰𐍄𐍅𐌰𐌻𐍅𐌹𐌳𐌰	a t w a l w i d a
𐌰𐍄𐍅𐌰𐌻𐍅𐌾𐌰𐌽	a t w a l w j a n
