ac	aːk
cemiztitl	semistitɬ
cempohualxochitl	sempoːwalʃoːtʃit͡ɬ
centlapal	sentɬapal
centzontlahtoleh	sent͡sont͡ɬaʔtoːleʔ
cenxiquipilli	senʃikipilli
cepayahui	sepayawit͡ɬ
cepayahuitl	sepajawitɬ
cetl	setɬ
chacalin	tʃakalin
chachapoltin	t͡ʃaːt͡ʃapoɬtin
chalchihuitl	tʃaːltʃiwitɬ
chaneh	t͡ʃaːneʔ
chanehqueh	t͡ʃaːneʔkeʔ
chantli	tʃaːntɬi
chapolin	t͡ʃapolin
chapoltin	t͡ʃapoɬtin
chicahua	tʃikaːwa
chichi	tʃitʃi
chichi	tʃiːtʃi
chichicatl	tʃitʃikatɬ
chichihualmecapalli	tʃiːtʃiːwalmecapalli
chichimecatl	tʃiːtʃiːmeːkatɬ
chichimeh	t͡ʃit͡ʃimeʔ
chichiton	t͡ʃit͡ʃitoːn
chichitoton	t͡ʃit͡ʃitotoːn
chicuahtli	tʃiːkʷaʔtɬi
chihcha	t͡ʃiʔt͡ʃa
chihchitl	t͡ʃiʔt͡ʃit͡ɬ
chilli	t͡ʃiːlli
chimalli	tʃiːmalli
chinamitl	tʃinaːmitɬ
chiquihuitl	t͡ʃikiwit͡ɬ
chiya	t͡ʃiya
chocolatl	tʃokolaːtɬ
cicitlaltin	siːsiːt͡ɬaɬtin
cihtepiton	siʔtepitoːn
cihtli	siʔtɬi
cihtontli	siʔtoːnt͡ɬi
cihuaconetl	siwakonetɬ
cihuamicqui	siwaːmikki
cihuamiqui	siwaːmiki
cihuamiztli	siwaːmist͡ɬi
cihuapilli	siwaːpilli
cihuapipiltin	siwaːpiːpiɬtin
cihuatl	siwaːtɬ
cihuatlacohtli	siwaːt͡ɬaːkoʔt͡ɬi
cihuatotolin	siwaːtoːtoliːn
cilin	silin
coamichin	koːaːmit͡ʃin
cochiliztli	kot͡ʃilist͡ɬi
cochiztli	kot͡ʃist͡ɬi
cochmiquini	kot͡ʃmikini
cocho	kot͡ʃo
cochotl	kot͡ʃot͡ɬ
cocoa	kokowa
cocoah	koːkoːaʔ
cocoliztli	kokolistɬi
cocoxqui	kokoʃki
colli	koːlli
colotl	koːloːtɬ
coltin	kōltin
comalli	komaːlːi
comaltin	koːmaltin
conetl	koneːtɬ
cotona	kotoːna
cotoni	kotoːni
coyolli	kojolli
coyomeh	kojoːmeʔ
coyotl	kojoːtɬ
cozticteocuitlaoztotl	kostikteoːkʷitɬaoːstoːtɬ
cua	kʷa
cuachpamitl	kʷaːt͡ʃpaːmit͡ɬ
cuachtli	kʷaːt͡ʃt͡ɬi
cuacuahuitl	kʷaːkʷawit͡ɬ
cuacuauhtin	kʷaːkʷaːwtin
cuaitl	kʷaːitɬ
cuanaca	kʷaːnaka
cuauhiztexochitl	kʷaːwisteʃoːtʃitɬ
cuauhiztexochitl	kʷaːwistiʃoːtʃitɬ
cuauhmiztli	kʷammistɬi
cuauhmiztli	kʷawmistɬi
cuauhnahuac	kʷaɸnaːwak
cuauhtemallan	kʷawteːmallaːn
cuauhtentetl	kʷaːwteːntetɬ
cuauhtlapanmeh	kʷawt͜ɬapanmeʔ
cuauhtlapantli	kʷawt͜ɬapant͡ɬi
cuauhtotolin	kʷawtoːtolin
cue	kʷɛ
cuecueyah	kʷeːkʷejaʔ
cuepa	kʷepa
cueponi	kʷepoːni
cuetlachtli	kʷetɬaːtʃtɬi
cuetlauhqui	kʷetɬawki
cueyameh	kʷejameʔ
cueyatl	kʷejatɬ
cueyatl	kʷijatɬ
cuica	kʷiːka
cuicani	kʷiːkani
cuicuitzcaconetl	kʷiːkʷiːt͡skakoneːt͡ɬ
cuicuitzcatl	kʷiːkʷiːtskatɬ
cuitlacalli	kʷit͡ɬakalːi
cuitlacomitl	kʷit͡ɬakoːmit͡ɬ
cuitlapilli	kʷit͡ɬapilli
cuitlatl	kʷitɬatɬ
cuitlaxcolli	kʷitɬaʃkolli
cuix	kʷiʃ
dios	tijoːʃ
ehco	eʔko
ehuatl	eːwat͡ɬ
ehēcatl	eʔeːkatɬ
elchiquihuitl	eːlt͡ʃikiwit͡ɬ
elehuia	eːleːwia
elli	eːlli
elotl	eːloːt͡ɬ
epatl	epatɬ
epazoyoh	epasoːjoʔ
etic	etiːk
expa	eːʃpa
ezhuia	eswia
ezzoh	esjoʔ
ezzoh	essoʔ
hualtemo	waːltemoː
hualtemoliztli	waːltemoːlist͡ɬi
huapahua	wapaːwa
huauhtli	wawt͡ɬi
huauhtli	waːwt͡ɬi
huehuehxoloh	weːweʔʃoːloʔ
huehuetl	weːweːtɬ
huexolotl	weʃoːloːt͡ɬ
huica	wiːka
huihuitla	wiwit͡ɬa
huilotl	wiːloːʔ
huipilli	wiːpiːlli
huiptla	wiːptɬa
huitequi	wiːteki
huitzilin	wit͡silin
huitzilopochtli	wiːt͡siloːpoːt͡ʃt͡ɬi
huitzquilitl	witskilitɬ
huitztli	witstɬi
i	iː
ichmecatl	iːt͜ʃmekat͡ɬ
ichpocheh	it͡ʃpoːt͡ʃeʔ
ichpochehqueh	it͡ʃpoːt͡ʃeʔkeʔ
ichpopochtin	it͡ʃpoːpoːt͡ʃtin
ichpopochtotontin	it͡ʃpoːpoːt͡ʃtotoːntin
ichtecqui	itʃtehkɪ
ichtecqui	itʃtekki
ichtequi	it͡ʃteki
ichtequiliztli	it͡ʃtekilist͡ɬi
icuitlapil	iːkʷit͡ɬapil
icxitl	ikʃitɬ
icza	iksa
ielchiquiuh	iːeːlt͡ʃikiuʔ
ihcequi	iʔseki
ihcihui	iʔsiwi
ihcuac	iʔkʷaːk
ihcuiloa	iʔkʷiloa
ihhuitl	iʔwitɬ
ihiyotl	iʔiːjoːtɬ
ihnecui	iʔnekʷi
ihpotoctli	iʔpotoktɬi
ihtacatl	iʔtakatɬ
ihtetl	iʔtetɬ
ihtetl	iʔtitɬ
ihtoa	iʔtoa
ihza	iʔsa
ilamapil	ilamapiːɬ
ilamapipil	ilamapipiːɬ
ilamatl	ilamat͡ɬ
ilamatoton	ilamatotoːn
ilamatototl	ilamatoːtoːt͡ɬ
ilamatqueh	ilamatkeʔ
ilamayotl	ilamajoːt͡ɬ
ilantli	ilant͡ɬi
ilhuicac	ilwikak
ilhuitl	ilwiʔ
iloti	iloːti
ilpia	iɬpia
ilpiliztli	ilpilist͡ɬi
imaxtli	iːmaːʃtɬi
itta	itːa
itzcuauhtli	iːtskʷaːwtɬi
ixayopohpohua	iːʃaːjoːpoʔpoːwa
ixayotl	iːʃaːjoːt͡ɬ
ixcuahmolli	iːʃkʷaʔmoːlli
ixcuepa	iːʃkʷepa
ixeh	iːʃeʔ
ixehqueh	iːʃeʔkeʔ
ixhui	iʃwi
ixhuiuhtli	iʃwiːwtɬi
ixpopoyotl	iːʃpopojoːtɬ
ixtelolohtli	iːʃteloloʔtɬi
ixtelolohtli	iːʃtololoʔtɬi
ixtli	iːʃtɬi
ixxayotl	iːʃʃaːjoːt͡ɬ
izhuatl	iswatɬ
iztac	istaːk
iztanamacac	istanamakak
iztapinolli	istapinolli
iztatl	istatɬ
iztetl	istetɬ
iztetl	istitɬ
juan	ʃiwaːn
maccuahuitl	maːkkʷawitɬ
macehualli	maːseːwalli
macel	maːseɬ
machtli	matʃtɬi
mahpilli	maʔpilli
mahpilxocoyotl	maʔpilʃoːkojoːtɬ
mahuizzotl	mawisjoːtɬ
mahuizzotl	mawisoːtɬ
mahuizzotl	mawissoːtɬ
mamazah	maːmasaʔ
mamox	maːmoʃ
manamictin	maːnaːmiktin
manamictli	maːnaːmikt͡ɬi
mapohpohua	maːpoʔpoːwa
matemecatl	maːtemekat͡ɬ
matlatl	maːt͡ɬat͡ɬ
matlequiquiztlazqui	maːtɬekikistɬaski
matlequiquiztli	maːtɬekikistɬi
matoca	kimaːtoka
matzahtli	matsaʔtɬi
maxactli	maʃaʔ
maxauhtinemi	maʃawtinemi
mayana	majaːna
mazamamachtia	masaːmamat͡ʃtia
mazamamachtiliztli	masaːmamat͡ʃtilist͡ɬi
mazamecatl	masaːmekat͡ɬ
mecahuehuetl	mekaweːweːt͡ɬ
mecameh	mekameʔ
mecapalli	mekapalli
mecatl	mekat͡ɬ
meocuilin	meokʷilin
metl	metɬ
metlapilli	met͜ɬapiːlli
metlatl	met͡ɬat͡ɬ
metztli	metstɬi
metztli	meːtstɬi
mexihcah	meːʃiʔkaʔ
mexihcatl	meːʃiʔkat͡ɬ
mexihcatlahtolpan	meːʃiʔkatɬaʔtoːlpan
miccazayolin	mikkaːsaːjoːlin
michhuah	mitʃwaʔ
michmecatl	mit͡ʃmekat͡ɬ
micqui	mikki
mictihuetzi	miktiwetsi
mihtotihqueh	miʔtoːtiʔkeʔ
millahcatl	miːhlahkatɬ
millahcatl	miːllahkatɬ
milli	milɪ
milli	miːhli
milli	miːlli
mimicqueh	miːmikkeʔ
mina	miːna
mintontli	mintoːntɬi
miqui	miki
miqui	mɪkɪ
miquiliztli	mikilist͡ɬi
miquini	mikini
mitl	miːt͡ɬ
mixtecatl	miʃteːkatɬ
mixtli	miʃtɬi
mizconetl	miskoneːtɬ
mizquitl	miskit͡ɬ
miztli	mistɬi
molcaxitl	moːlkaʃit͡ɬ
momoyoh	moːmoːjoʔ
montli	moːntɬi
moteuczoma	moteːkʷsoːma
motla	moːt͡ɬa
moxahua	moʃaːwa
moyotl	moːjoːt͡ɬ
moztla	moːstɬa
mā	maː
nacaceh	nakaseʔ
nacacehqueh	nakasekeʔ
nacamolli	nakamoːlːi
nacatl	nakatɬ
nahualli	naːwalli
nahuatlahtoh	naːwatɬaʔtoʔ
nahuatlahtohqueh	naːwat͡ɬaʔtoʔkeʔ
namictli	naːmikt͡ɬi
namox	naːmoʃ
nanacatl	nanakat͡ɬ
nanahualtin	naːnaːwaɬtin
nanamictin	naːnaːmiktin
neci	neːsi
nelli	nelli
nemini	nemini
nenamictiliztli	nenaːmiktilist͡ɬi
nepohualiztli	nepoːwalist͡ɬi
nequi	neki
netlapololtiliztli	netɬapoloːltilistɬi
neuctli	nekti
neuctli	nektɬɪ
nextamalli	neʃtamalli
nextli	neʃtɬi
neyolmelahualoni	nejoːlmelaːwaloːni
nezahualpilli	nesawalpilli
nican	nikaːn
nicca	nikka
niltze	niltsɛ
nochehuatl	noːt͡ʃeːwat͡ɬ
nochtli	noːtʃtɬi
nohpalli	noʔpalli
nē	neː
nēhuātl	neːwaːtɬ
oceloh	oːseːloʔ
ocelopetlatl	oːseːloːpetɬatɬ
oceloquichtli	oseːloːkitʃtɬi
ocelotl	oːseːloːt͡ɬ
ocotochtli	okoːtoːtʃtɬi
octli	oktɬi
ocuilin	okʷilin
ocuiltin	okʷiɬtin
ocxayotl	okʃaːjoːt͡ɬ
ohtli	oʔtɬi
ohza	oʔsa
olotl	oːloːt͡ɬ
oloxochitl	oːloːʃoːt͡ʃit͡ɬ
omitl	omitɬ
ooceloh	oːoseːloʔ
opochtli	opoːt͡ʃt͜ɬi
opochtli	oːpoːt͡ʃt͜ɬi
oquichtli	okitʃtɬi
otomitl	otomitɬ
otztli	oːtstɬi
oyametl	ojamet͡ɬ
oztotl	oːstoːtɬ
pa	paː
paca	paːka
pahtli	paʔtɬi
painal	paːinal
palehuia	paleːwia
palli	palli
papalomeh	paːpaloːmeʔ
papalotl	paːpaːloːt͡ɬ
paqui	paːki
paquiliztli	paːkilist͡ɬi
pati	paːti
patla	pat͡ɬa
patla	paːt͡ɬa
patlani	pataːni
patzcuaro	paːskʷaloʔ
pehpena	peʔpena
petlatl	petɬatɬ
petlazolli	petɬasolli
petlazoyatl	pet͡ɬasoːjaːt͡ɬ
petzcoa	pet͡skoa
petzoa	pet͡soa
piciyetl	pisijet͡ɬ
pilli	pilːi
pilpil	piɬpiːɬ
piltzintli	piɬt͡sint͡ɬi
pinacatl	piːnakat͡ɬ
pinolli	pinolli
pintura	pintoːlaʔ
pipillotl	piːpillot͡ɬ
pipilpipil	piːpiɬpipiːɬ
pipiltin	piːpiɬtin
pipiltotontin	piːpiɬtotoːntin
piptontli	piptoːntɬi
pitzahuac	pitsaːwak
pitzotl	pitsotɬ
pochocuauhtitech	poːtʃoːtitetʃ
pochotitlan	poːtʃoːtitɬan
pochtecah	poːt͡ʃteːkaʔ
pochtecatl	poːt͡ʃteːkat͡ɬ
pochtecayotl	poːtʃteːkajoːtɬ
poctli	poːktɬi
pohpohua	poʔpoːwa
pohua	poːwa
pohualli	poːwalli
popoca	popoːka
popocani	popoːkani
popocatepetl	popoːkatepeːt͡ɬ
popocatzin	popoːkatsin
potoni	potoːni
poyauhtecatl	pojaːwteːkatɬ
quauhtemallan	kʷawteːmallaːn
quemah	keːmaʔ
quemeh	keːmeʔ
quetzalcoatl	ket͡salkoːaːt͡ɬ
quetzalitztli	ketsaliːtstɬi
quetzalli	ketsalli
quetzaltotomeh	ket͡saltoːtoːmeʔ
quetzaltototl	ket͡saltoːtoːt͡ɬ
quihtoznequi	kiʔtoːsneki
quilitl	kilit͡ɬ
quimichimeh	kimit͡ʃimeʔ
quimichin	kimit͡ʃin
quimichpil	kimit͡ʃpiːɬ
quimichtin	kimit͡ʃtin
quimichtlapehualli	kimit͡ʃt͡ɬapeːwalli
quiyahui	kijawi
quiza	kiːsa
señora	ʃinoːraʔ
tahyotl	taʔjoːtɬ
tamazolin	tamasoli
tamazolin	tamasolin
tamox	taːmoʃ
tapachtli	tapatʃtɬi
tataca	tataka
tatapahtli	tatapaʔtɬi
teca	teːka
tecciztli	teːksistɬi
techinamitl	tetʃinaːmitɬ
teci	tesi
tecihui	tesiwi
tecihuitl	tesiwit͡ɬ
tecolomeh	tekoloːmeʔ
tecolotl	tekoloːtɬ
tecpatl	tekpatɬ
teh	teʔ
tehhuan	teʔwaːn
tehhuantin	teʔwaːntin
teilaquiliztli	teːilakilist͡ɬi
teixcuepani	teːiːʃkʷepani
tel	teːl
telpochcalli	teːlpoːtʃkalli
telpocheh	teːɬpoːt͡ʃeʔ
telpochehqueh	teːɬpoːt͡ʃeʔkeʔ
telpopochtin	teːɬpoːpoːt͡ʃtin
telpopochtotontin	teːɬpoːpoːt͡ʃtotoːntin
temazcalli	temaːskalli
temictli	teːmiktɬi
temiqui	teːmiki
tenamitl	tenaːmitɬ
tentetl	teːntetɬ
tentli	teːntɬi
tentzontli	teːntsontɬi
tenyotl	teːnjoːtɬ
teochichimecatl	teoːtʃiːtʃiːmeːkatɬ
teochihua	teoːtʃiːwa
teococolizpalaniliztli	teoːkokolispalaːnilistɬi
teococoliztli	teoːkokolistɬi
teocuitlacozcatl	teoːkʷitɬakoːskatɬ
teocuitlacuauhtentetl	teoːkʷitɬakʷaːwteːntetɬ
teocuitlamaquiztli	teoːkʷitɬamaːkiːstɬi
teocuitlatentetl	teoːkʷitɬateːntetɬ
teocuitlatl	teoːkʷitɬatɬ
teohcalli	teoʔkalli
teopixqueh	teoːpiʃkeʔ
teopixqui	teoːpiʃki
teotetl	teoːtet͡ɬ
teotlac	teoːtɬak
teotlalli	teoːtɬaːlli
teoxihuitl	teoːʃiwitɬ
tepec	tepeːk
tepecoyoctli	tepeːkojokt͡ɬi
tepeehecatl	tepeːeʔeːkat͡ɬ
tepetl	tepeːt͡ɬ
tepezolimeh	tepeːsoːlimeʔ
tepilli	tepilli
tepitonyotl	tepitoːnjoːt͡ɬ
tepoleh	tepoleʔ
tepolli	tepolli
tepozcuacalalahtli	teposkʷaːkalalaʔtɬi
tepozmaccuahuitl	teposmaːhkʷawitɬ
tepozmaccuahuitl	teposmaːkkʷawitɬ
tepozmitl	teposmiːt͡ɬ
tepoztlateconi	tepostɬatekoːni
tepoztli	tepostɬi
tequi	teki
tetecoloh	teːtekoloʔ
teteo	teːteoʔ
teteoh	teːteoʔ
tetlazohtlaliztli	teːtɬasoʔtɬalistɬi
teucyotl	teːkʷjoːtɬ
teuhyoh	teʷjoʔ
texiliztli	teʃilistɬi
texolomeh	teʃoːloːmeʔ
texolotl	teʃoːloːt͡ɬ
tezonpahtli	tesompaʔtɬi
tezonpahtli	tesonpaʔtɬi
ticitl	tiːsit͡ɬ
tilmahtli	tilmaʔtɬi
titicih	tiːtiːsiʔ
titlacahuan	titɬaːkawaːn
tizatl	tiːsatɬ
tlacamazatl	tɬaːkamasaːtɬ
tlacamecayotl	tɬaːkamekajoːtɬ
tlacamictiani	tɬaːkamiktiaːni
tlacatecolotl	tɬaːtecoloːtɬ
tlacati	tɬaːkati
tlacatilia	tɬaːkatilia
tlacatiliztli	tɬaːkatilistɬi
tlacatiyan	t͡ɬaːkatijaːn
tlacatlahcuiloh	tɬaːkatɬaʔkʷiloʔ
tlacazolchichihualeh	tɬaːkasoltʃiːtʃiːwaleʔ
tlachihualli	tɬatʃiːwalːi
tlacochinamitl	tɬakoːtʃinaːmitɬ
tlacochtli	tɬakoːtʃtɬi
tlacohtli	tɬaːkoʔtɬi
tlacuatzin	tɬɑkwaːtsin
tlahcuiloltic	tɬaʔkʷiloːltik
tlahtlacoa	tɬaʔtɬakoa
tlahtlacoani	tɬaʔtɬakowaːni
tlahtlacolli	tɬaʔtɬakoːlli
tlahtlalteyoh	t͡ɬaʔt͡ɬaːɬtejoʔ
tlahtli	tɬaʔtɬi
tlahtoani	t͡ɬaʔtoaːni
tlahtocati	tɬahtohkaːti
tlahtocati	tɬahtohkɔtɪ
tlahtohcayotl	tɬaʔtoʔkaːjoːtɬ
tlahtohqueh	t͜ɬaʔtoʔkeʔ
tlahtolli	tɬaʔtoːlːi
tlahuanqueh	t͡ɬaːwaːnkeʔ
tlahuanqui	t͡ɬaːwaːnki
tlahyelpaquiliztli	tɬaʔjelpaːkilist͡ɬi
tlalcacahuatl	t͡ɬaːlkakawat͡ɬ
tlalli	t͡ɬaːlli
tlalloh	t͡ɬaːlloʔ
tlaloc	t͡ɬaːlok
tlalohqueh	t͡ɬaːloʔkeʔ
tlaltetl	t͡ɬaːɬtet͡ɬ
tlalteyoh	t͡ɬaːɬtejoʔ
tlalticpacquiza	tɬaːltikpakkiːsa
tlalxayotl	t͡ɬaːlʃaːjoːt͡ɬ
tlamatini	tɬamatini
tlami	t͡ɬami
tlanchoa	t͡ɬant͡ʃoa
tlantli	tɬantɬi
tlaolli	tɬaoːlːi
tlapallahcuiloh	tɬapallaʔkʷiloʔ
tlapanco	t͜ɬapanko
tlapanmeh	t͜ɬapanmeʔ
tlapantli	t͜ɬapant͡ɬi
tlapayahui	t͡ɬapayawit͡ɬ
tlaquimilolli	tɬakimiloːlːi
tlatlacatecoloh	t͡ɬaːt͡ɬaːkatekoloʔ
tlatlatziniliztli	tɬatɬatsiːnilistɬi
tlatlequiquiztlaltentli	tɬatɬekikistɬaːlteːntɬi
tlatquitl	t͡ɬatkit͡ɬ
tlattoyan	t͡ɬattojaːn
tlauhquechol	tɬaːwketʃoːl
tlaxcallan	t͡ɬaʃkallaːn
tlayohualli	tɬajowalli
tlazohtla	tɬasoʔtɬa
tlehco	t͡ɬeʔko
tlemiqui	tɬemiki
tlemoyonextli	t͡ɬemoːjoːneʃt͡ɬi
tlemoyotl	t͡ɬemoːjoːt͡ɬ
tlenenepilli	tɬenenepilli
tlequiquiztlalli	tɬekikistɬaːlli
tlequiquiztli	tɬekikistɬi
tlilli	tɬiːlli
tliltic	tɬiːltik
tlohtli	tɬoʔtɬi
tocaitl	toːkaːitɬ
tocatl	tokatɬ
tocatzahualli	tokatsaːwalli
tochconetl	toːt͡ʃkoneːt͡ɬ
tochin	toːt͡ʃin
tohtomahuac	toʔtomaːwak
tollan	toːllaːn
toltecatl	toːlteːkatɬ
toltecayotl	toːlteːkayoːtɬ
tomahuac	tomaːwak
tomahuactlacopahtli	tomaːwakt͡ɬakoːpaʔt͡ɬi
tomatl	tomatɬ
tona	toːna
tona	tuna
tonalehecatl	toːnalehekaʔ
tonalli	toːnalli
tonalmiqui	toːnalmiki
tonalmiqui	tunalmɪkɪ
tonalmitl	toːnaɬmiːt͡ɬ
tonalpohua	toːnalpoːwa
tonalpohualiztli	toːnalpoːwalist͡ɬi
tonameyotl	toːnamejoːt͡ɬ
tonatiuh	toːnatiw
tonehua	toːneːwa
topileh	toːpiːleʔ
topilli	toːpiːlli
totochtin	toːtoːt͡ʃtin
totolin	toːtolin
totoltemeh	toːtoltemeʔ
totoltepohua	toːtoltepoːwa
totopochtic	totopot͡ʃtik
tototentli	toːtoːteːnt͡ɬi
tototl	toːtoːtɬ
tozan	toːsan
tozquitl	toskitɬ
toztli	toːstɬi
tzacua	tsakʷa
tzacualli	tsakʷalli
tzacui	tsakʷi
tzalantli	t͡saːlant͡ɬi
tzapatl	tsapatɬ
tzapotecatl	tsapoteːkatɬ
tzatzi	tsahtsi
tzayani	tsajaːni
tzayani	tsajɔnɪ
tzicatl	tsiːkatɬ
tzictli	tsɪktɬɪ
tzinacan	tsinaːkan
tzinquiza	tsinkisa
tzinti	tsiːnti
tzompilihui	tsompilɪwɪ
tzompilihui	tsompiːliwi
tzompilli	tsompilɪ
tzompilli	tsompiːl
tzoncui	tsonkʷi
tzonhuaztli	tsonwaːstɬi
tzonhuaztli	tsowaːstɬi
tzonicpalli	t͡sonikpalli
tzontecomameh	t͡sontekomameʔ
tzontecomatl	t͡sontekomat͡ɬ
tzontli	tsontɬi
tzopilotetl	tsopiːloːteːtɬ
tzopilotl	tsopiːloːtɬ
xahcalli	ʃaʔkalli
xaltetl	ʃaːɬtet͡ɬ
xaltozan	ʃaːltosan
xamitl	ʃaːmitl
xayacatl	ʃaːjakatɬ
xayotl	ʃaːjoːt͡ɬ
xicamatl	ʃiːkamatɬ
xicohtli	ʃiːkoʔtɬi
xictli	ʃiːktɬi
xihuitl	ʃiwitɬ
xihuitl	ʃiːwitɬ
xihxicuin	ʃiʔʃikʷin
xihxicuinyotl	ʃiʔʃikʷinjoːtɬ
xihxili	ʃiʔʃili
xilotl	ʃiːloːtɬ
xima	ʃima
xinachtli	ʃinaːtʃtɬi
xiquipiltontli	ʃikipiltoːntɬi
xitomatl	ʃiːtómatɬ
xiuhtotonacocheh	xiwtoːtoːnakotʃeʔ
xiuhtotonacochtli	xiwtoːtoːnakotʃtɬi
xiuhtototic	ʃiwtoːtoːtik
xiuhtototl	ʃiwtoːtoːtɬ
xochimilco	ʃoːt͡ʃimiːlko
xochipalli	ʃoːtʃipalli
xochitl	ʃoːtʃitɬ
xococ	ʃokok
xocoyotl	ʃoːkojoːtɬ
xohuilin	ʃowilin
xolopihtli	ʃolopiʔtɬi
xonacatl	ʃonakatɬ
xopantlah	ʃoːpantɬaʔ
xotla	ʃoːtɬa
yacatl	jakatɬ
yalhua	jaːlwa
yancuic	jankʷik
yaomiqui	jaːoːmiki
yaotenhuah	jaːoːteːnwaʔ
yaotequihuah	jaːoːtekiwaʔ
yaotlatquichihchihua	jaːoːt͡ɬatkit͡ʃiʔt͡ʃiːwa
yaotlatquichihchiuhqui	jaːoːt͡ɬatkit͡ʃiʔt͡ʃiːwki
yaotlatquitl	jaːoːt͡ɬatkit͡ɬ
yaoyotl	jaːoːjoːt͡ɬ
yectenehua	jeːkteːneːwa
yectli	jeːktɬi
yehhuan	jeʔwaːn
yehhuatl	jeʔwaːtɬ
yohua	jowa
yohuac	jowak
yohualli	jowalli
yohualtetzahuitl	jowaɬteːt͡saːwit͡ɬ
yohualtica	jowaltika
yohualtotomeh	jowaɬtoːtoːmeʔ
yohualtototl	jowaɬtoːtoːt͡ɬ
yolcatl	joːɬkat͡ɬ
yoli	joːli
yolpaqui	joːlpaːki
yolqui	joːlki
yāōtl	jaːoːtɬ
zacatl	sakatɬ
zacayoh	sakajoʔ
zacuan	saːkʷaːn
zahuatl	sawatɬ
zan	san
zayolin	saːjoːlin
zolin	soːlin
zoltetl	soːltetɬ
zoquitl	sokitɬ
zoquitl	sokiʔ
zoquitl	sokɪtɬ
zoquixicohcuitlatl	sokiʃiːkoʔkʷitɬatɬ
zoquiyoh	sokijoʔ
zotolin	soːtoɬin
zoyachiquihuitl	soːjaːt͡ʃikiwit͡ɬ
zoyatanahtli	soːjaːtaːnaʔt͡ɬi
zozoltin	soːsoːɬtin
ī	iː
āna	aːna
āxōlōtl	aːʃoːloːtɬ
