NG	e̞ n d͡ʑ i
가봉	k a̠ b o̞ ŋ
가브리엘	k a̠ b ɯ ɾ i e̞ ɭ
가사	k a̠ sʰ a̠
가산	k a̠ sʰ a̠ n
가새	k a̠ sʰ e̞
가설	k a̠ sʰ ʌ̹ ɭ
가설	k a̠ː sʰ ʌ̹ ɭ
가설법	k a̠ː sʰ ʌ̹ ɭ p͈ ʌ̹ p̚
가소롭다	k a̠ː sʰ o̞ ɾ o̞ p̚ t͈ a̠
가소제	k a̠ː sʰ o̞ d͡ʑ e̞
가솔린	k a̠ sʰ o̞ ɭ ʎ i n
가수	k a̠ sʰ u
가숭어	k a̠ː sʰ u ŋ ʌ̹
가스	k͈ a̠ sʰ ɯ
가스레인지	k a̠ sʰ ɯ ɾ e̞ i n d͡ʑ i
가스파초	k a̠ sʰ ɯ pʰ a̠ t͡ɕʰ o̞
가슴	k a̠ sʰ ɯ m
가슴뼈	k a̠ sʰ ɯ m p͈ j ʌ̹
가시	k a̠ ɕʰ i
가시고기	k a̠ ɕʰ i ɡ o̞ ɡ i
가시나	k a̠ ɕʰ i n a̠
가시납지리	k a̠ ɕʰ i n a̠ p̚ t͡ɕ͈ i ɾ i
가시다	k a̠ ɕʰ i d a̠
가시아버지	k a̠ ɕʰ i a̠ b ʌ̹ d͡ʑ i
가시어머니	k a̠ ɕʰ i ʌ̹ m ʌ̹ n i
가시집	k a̠ ɕʰ i d͡ʑ i p̚
가식	k a̠ː ɕʰ i k̚
가식하다	k a̠ː ɕʰ i kʰ a̠ d a̠
가야	k a̠ j a̠
가야금	k a̠ j a̠ ɡ ɯ m
가언적	k a̠ ʌ̹ n d͡ʑ ʌ̹ k̚
가없다	k a̠ː ʌ̹ p̚ t͈ a̠
가없이	k a̠ː ʌ̹ p ɕ͈ i
가엾다	k a̠ː j ʌ̹ p̚ t͈ a̠
가오리	k a̠ o̞ ɾ i
가요	k a̠ j o
가운데	k a̠ u n d e̞
가운뎃소리	k a̠ u n d e̞ t̚ s͈ o̞ ɾ i
가위	k a̠ ɥ i
가위바위보	k a̠ ɥ i b a̠ ɥ i b o̞
가을	k a̠ ɯ ɭ
가이드	k a̠ i d ɯ
가이아나	k a̠ i a̠ n a̠
가자	k a̠ d͡ʑ a̠
가장	k a̠ d͡ʑ a̠ ŋ
가장	k a̠ː d͡ʑ a̠ ŋ
가장자리	k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i
가재	k a̠ː d͡ʑ e̞
가정	k a̠ d͡ʑ ʌ̹ ŋ
가정	k a̠ː d͡ʑ ʌ̹ ŋ
가정법	k a̠ː d͡ʑ ʌ̹ ŋ p͈ ʌ̹ p̚
가정부	k a̠ d͡ʑ ʌ̹ ŋ b u
가제	k a̠ d͡ʑ e̞
가제따	k a̠ d͡ʑ e̞ t͈ a̠
가젤	k a̠ d͡ʑ e̞ ɭ
가져가다	k a̠ d͡ʑ j ʌ̹ ɡ a̠ d a̠
가져오다	k a̠ d͡ʑ j ʌ̹ o̞ d a̠
가족	k a̠ d͡ʑ o̞ k̚
가주	k a̠ d͡ʑ u
가죽	k a̠ d͡ʑ u k̚
가죽끈	k a̠ d͡ʑ u k̚ k͈ ɯ n
가지	k a̠ d͡ʑ i
가지가지	k a̠ d͡ʑ i ɡ a̠ d͡ʑ i
가지고	k a̠ d͡ʑ i ɡ o̞
가지다	k a̠ d͡ʑ i d a̠
가지뿔	k a̠ d͡ʑ i p͈ u ɭ
가짜	k a̠ː t͡ɕ͈ a̠
가차	k a̠ t͡ɕʰ a̠
가창	k a̠ t͡ɕʰ a̠ ŋ
가창오리	k a̠ t͡ɕʰ a̠ ŋ o̞ ɾ i
가축	k a̠ t͡ɕʰ u k̚
가치	k a̠ t͡ɕʰ i
가치관	k a̠ t͡ɕʰ i ɡ w a̠ n
가타나	k a̠ tʰ a̠ n a̠
가타카나	k a̠ tʰ a̠ kʰ a̠ n a̠
가톨릭	k a̠ tʰ o̞ ɭ ʎ i k̚
가파르다	k a̠ pʰ a̠ ɾ ɯ d a̠
가하다	k a̠ ɦ a̠ d a̠
가하다	k a̠ː ɦ a̠ d a̠
가히	k a̠ː ʝ i
각	k a̠ k̚
각각	k a̠ k̚ k͈ a̠ k̚
각국	k a̠ k̚ k͈ u k̚
각기	k a̠ k̚ k͈ i
각다귀	k a̠ k̚ t͈ a̠ ɡ ɥ i
각도	k a̠ k̚ t͈ o̞
각막	k a̠ ŋ m a̠ k̚
각본	k a̠ k̚ p͈ o̞ n
각선미	k a̠ː k s͈ ʌ̹ n m i
각시붕어	k a̠ k ɕ͈ i b u ŋ ʌ̹
각자	k a̠ k̚ t͡ɕ͈ a̠
각종	k a̠ k̚ t͡ɕ͈ o̞ ŋ
각주구검	k a̠ k̚ t͡ɕ͈ u ɡ u ɡ ʌ̹ m
각하	k a̠ kʰ a̠
갂	k a̠ k̚
간	k a̠ n
간계	k a̠ n ɡ j e̞
간곡	k a̠ː n ɡ o̞ k̚
간곡하다	k a̠ː n ɡ o̞ kʰ a̠ d a̠
간균	k a̠ n ɡ j u n
간단	k a̠ː n d a̠ n
간단하다	k a̠ n t͈ a̠ n ɦ a̠ d a̠
간단하다	k a̠ː n d a̠ n ɦ a̠ d a̠
간단히	k a̠ n d a̠ n ʝ i
간모	k a̠ n m o̞
간물	k a̠ n m u ɭ
간부	k a̠ n b u
간사	k a̠ n sʰ a̠
간사하다	k a̠ n sʰ a̠ ɦ a̠ d a̠
간선	k a̠ n sʰ ʌ̹ n
간선도로	k a̠ n sʰ ʌ̹ n d o̞ ɾ o̞
간섭	k a̠ n sʰ ʌ̹ p̚
간성	k a̠ n sʰ ʌ̹ ŋ
간식	k a̠ː n ɕʰ i k̚
간신	k a̠ n ɕʰ i n
간쑤	k a̠ n s͈ u
간악	k a̠ n a̠ k̚
간악하다	k a̠ n a̠ kʰ a̠ d a̠
간유	k a̠ː ɲ j u
간음	k a̠ː n ɯ m
간장	k a̠ n d͡ʑ a̠ ŋ
간장	k a̠ː n d͡ʑ a̠ ŋ
간접	k a̠ n d͡ʑ ʌ̹ p̚
간접화법	k a̠ n d͡ʑ ʌ̹ pʰ w a̠ b ʌ̹ p̚
간주	k a̠ n d͡ʑ u
간지	k a̠ n d͡ʑ i
간직하다	k a̠ n d͡ʑ i kʰ a̠ d a̠
간질	k a̠ː n d͡ʑ i ɭ
간질거리다	k a̠ n d͡ʑ i ɭ ɡ ʌ̹ ɾ i d a̠
간질대다	k a̠ n d͡ʑ i ɭ d e̞ d a̠
간질이다	k a̠ n d͡ʑ i ɾ i d a̠
간첩	k a̠ː n t͡ɕʰ ʌ̹ p̚
간체	k a̠ n t͡ɕʰ e̞
간체자	k a̠ n t͡ɕʰ e̞ d͡ʑ a̠
간추리다	k a̠ n t͡ɕʰ u ɾ i d a̠
간통	k a̠ː n tʰ o̞ ŋ
간판	k a̠ n pʰ a̠ n
간편하다	k a̠ n pʰ j ʌ̹ n ɦ a̠ d a̠
간헐천	k a̠ː n ɦ ʌ̹ ɭ t͡ɕʰ ʌ̹ n
간호사	k a̠ n β o̞ sʰ a̠
간호원	k a̠ n β o̞ w ʌ̹ n
갇히다	k a̠ tʰ i d a̠
갈	k a̠ ɭ
갈겨니	k a̠ ɭ ɡ j ʌ̹ n i
갈고	k a̠ ɭ ɡ o̞
갈고랑이	k a̠ ɭ ɡ o̞ ɾ a̠ ŋ i
갈고리	k a̠ ɭ ɡ o̞ ɾ i
갈기	k a̠ː ɭ ɡ i
갈까마귀	k a̠ ɭ k͈ a̠ m a̠ ɡ ɥ i
갈다	k a̠ ɭ d a̠
갈다	k a̠ː ɭ d a̠
갈등	k a̠ ɭ t͈ ɯ ŋ
갈라지다	k a̠ ɭ ɭ a̠ d͡ʑ i d a̠
갈래	k a̠ ɭ ɭ e̞
갈륨	k a̠ ɭ ʎ j u m
갈리	k a̠ ɭ ʎ i
갈리시아	k a̠ ɭ ʎ i ɕʰ i a̠
갈림길	k a̠ ɭ ʎ i m k͈ i ɭ
갈매기	k a̠ ɭ m e̞ ɡ i
갈문망둑	k a̠ ɭ m u n m a̠ ŋ d u k̚
갈밭쥐	k a̠ ɭ b a̠ t̚ t͡ɕ͈ ɥ i
갈보	k a̠ ɭ b o̞
갈보집	k a̠ ɭ b o̞ d͡ʑ i p̚
갈비	k a̠ ɭ b i
갈비뼈	k a̠ ɭ b i p͈ j ʌ̹
갈비탕	k a̠ ɭ b i tʰ a̠ ŋ
갈색	k a̠ ɭ s͈ e̞ k̚
갈색얼가니새	k a̠ ɭ sʰ e̞ ɡ ʌ̹ ɭ ɡ a̠ n i sʰ e̞
갈수록	k a̠ ɭ s͈ u ɾ o̞ k̚
갈아입다	k a̠ ɾ a̠ i p̚ t͈ a̠
갈아타다	k a̠ ɾ a̠ tʰ a̠ d a̠
갈옷	k a̠ ɾ o̞ t̚
갈음하다	k a̠ ɾ ɯ m ɦ a̠ d a̠
갈증	k a̠ ɭ t͡ɕ͈ ɯ ŋ
갈퀴	k a̠ ɭ kʰ ɥ i
갈퀴다	k a̠ ɭ kʰ ɥ i d a̠
갈토	k a̠ ɭ tʰ o̞
갉다	k a̠ k̚ t͈ a̠
감	k a̠ m
감각	k a̠ː m ɡ a̠ k̚
감각적	k a̠ m ɡ a̠ k̚ t͡ɕ͈ ʌ̹ k̚
감금	k a̠ m ɡ ɯ m
감기	k a̠ː m ɡ i
감기다	k a̠ m ɡ i d a̠
감다	k a̠ m t͈ a̠
감당하다	k a̠ː m d a̠ ŋ ɦ a̠ d a̠
감독	k a̠ m d o̞ k̚
감돌고기	k a̠ m d o̞ ɭ ɡ o̞ ɡ i
감동	k a̠ː m d o̞ ŋ
감동사	k a̠ː m d o̞ ŋ sʰ a̠
감람	k a̠ m n a̠ m
감람	k a̠ː m n a̠ m
감로	k a̠ m n o̞
감리교	k a̠ m n i ɡ j o
감마	k a̠ m m a̠
감미료	k a̠ m m i ɾ j o
감방	k a̠ m b a̠ ŋ
감비아	k a̠ m b i a̠
감사	k a̠ː m sʰ a̠
감사하다	k a̠ː m sʰ a̠ ɦ a̠ d a̠
감사합니다	k a̠ː m sʰ a̠ ɦ a̠ m n i d a̠
감상	k a̠ m sʰ a̠ ŋ
감색	k a̠ m sʰ e̞ k̚
감소	k a̠ː m sʰ o̞
감수하다	k a̠ː m sʰ u ɦ a̠ d a̠
감숙	k a̠ m sʰ u k̚
감시	k a̠ m ɕʰ i
감싸다	k a̠ː m s͈ a̠ d a̠
감염	k a̠ː m j ʌ̹ m
감옥	k a̠ m o̞ k̚
감자	k a̠ m d͡ʑ a̠
감자	k a̠ː m d͡ʑ a̠
감자튀김	k a̠ m d͡ʑ a̠ tʰ ɥ i ɡ i m
감정	k a̠ː m d͡ʑ ʌ̹ ŋ
감초	k a̠ m t͡ɕʰ o̞
감추다	k a̠ m t͡ɕʰ u d a̠
감칠맛	k a̠ː m t͡ɕʰ i ɭ m a̠ t̚
감탄	k a̠ː m tʰ a̠ n
감탄사	k a̠ m tʰ a̠ n sʰ a̠
감히	k a̠ː m ʝ i
갑	k a̠ p̚
갑각	k a̠ p̚ k͈ a̠ k̚
갑분싸	k a̠ p̚ p͈ u n s͈ a̠
갑옷	k a̠ b o̞ t̚
갑자기	k a̠ p̚ t͡ɕ͈ a̠ ɡ i
갑작스럽다	k a̠ p̚ t͡ɕ͈ a̠ k s͈ ɯ ɾ ʌ̹ p̚ t͈ a̠
갑작스레	k a̠ p̚ t͡ɕ͈ a̠ k s͈ ɯ ɾ e̞
갑충	k a̠ p̚ t͡ɕʰ u ŋ
갑판	k a̠ p̚ pʰ a̠ n
값	k a̠ p̚
값어치	k a̠ b ʌ̹ t͡ɕʰ i
갓	k a̠ t̚
갓	k a̠ː t̚
강	k a̠ ŋ
강간	k a̠ː ŋ ɡ a̠ n
강간하다	k a̠ː ŋ ɡ a̠ n ɦ a̠ d a̠
강계	k a̠ ŋ ɡ j e̞
강냉이	k a̠ ŋ n e̞ ŋ i
강당	k a̠ː ŋ d a̠ ŋ
강대국	k a̠ ŋ d e̞ ɡ u k̚
강도	k a̠ː ŋ d o̞
강도다리	k a̠ ŋ d o̞ d a̠ ɾ i
강력	k a̠ ŋ ɲ j ʌ̹ k̚
강력하다	k a̠ ŋ ɲ j ʌ̹ kʰ a̠ d a̠
강렬하다	k a̠ ŋ ɲ j ʌ̹ ɾ ɦ a̠ d a̠
강물	k a̠ ŋ m u ɭ
강사	k a̠ː ŋ sʰ a̠
강서	k a̠ ŋ sʰ ʌ̹
강설	k a̠ː ŋ sʰ ʌ̹ ɭ
강세	k a̠ ŋ sʰ e̞
강소	k a̠ ŋ sʰ o̞
강수	k a̠ː ŋ sʰ u
강수량	k a̠ː ŋ sʰ u ɾ j a̠ ŋ
강아지	k a̠ ŋ a̠ d͡ʑ i
강요	k a̠ː ŋ j o
강요하다	k a̠ː ŋ j o ɦ a̠ d a̠
강원도	k a̠ ŋ w ʌ̹ n d o̞
강의	k a̠ː ŋ ɰ i
강정	k a̠ ŋ d͡ʑ ʌ̹ ŋ
강제	k a̠ː ŋ d͡ʑ e̞
강조하다	k a̠ ŋ d͡ʑ o̞ ɦ a̠ d a̠
강좌	k a̠ː ŋ d͡ʑ w a̠
강주걱양태	k a̠ ŋ t͡ɕ͈ u ɡ ʌ̹ ɡ j a̠ ŋ tʰ e̞
강준치	k a̠ ŋ d͡ʑ u n t͡ɕʰ i
강철	k a̠ ŋ t͡ɕʰ ʌ̹ ɭ
강추	k a̠ ŋ t͡ɕʰ u
강판	k a̠ ŋ pʰ a̠ n
강하다	k a̠ ŋ ɦ a̠ d a̠
강화도	k a̠ ŋ β w a̠ d o̞
강화하다	k a̠ ŋ β w a̠ ɦ a̠ d a̠
갖가지	k a̠ t̚ k͈ a̠ d͡ʑ i
갖다	k a̠ t̚ t͈ a̠
갖추다	k a̠ t̚ t͡ɕʰ u d a̠
같다	k a̠ t̚ t͈ a̠
같은	k a̠ tʰ ɯ n
같이	k a̠ t͡ɕʰ i
같이하다	k a̠ t͡ɕʰ i ɦ a̠ d a̠
같잖다	k a̠ t̚ t͡ɕ͈ a̠ n tʰ a̠
갚다	k a̠ p̚ t͈ a̠
개	k e̞
개	k e̞ː
개가하다	k e̞ː ɡ a̠ ɦ a̠ d a̠
개고기	k e̞ː ɡ o̞ ɡ i
개관식	k e̞ ɡ w a̠ n ɕʰ i k̚
개구락지	k e̞ ɡ u ɾ a̠ k̚ t͡ɕ͈ i
개구리	k e̞ ɡ u ɾ i
개구리꺽정이	k e̞ ɡ u ɾ i k͈ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ i
개구리매	k e̞ ɡ u ɾ i m e̞
개구쟁이	k e̞ ɡ u d͡ʑ e̞ ŋ i
개국	k e̞ ɡ u k̚
개꿈	k e̞ː k͈ u m
개꿩	k e̞ː k͈ w ʌ̹ ŋ
개나리	k e̞ː n a̠ ɾ i
개나리꽃	k e̞ː n a̠ ɾ i k͈ o̞ t̚
개념	k e̞ː ɲ j ʌ̹ m
개다	k e̞ː d a̠
개량	k e̞ː ɾ j a̠ ŋ
개리	k e̞ ɾ i
개미	k e̞ː m i
개발	k e̞ b a̠ ɭ
개발되다	k e̞ b a̠ ɭ d w e̞ d a̠
개발자	k e̞ b a̠ ɭ d͡ʑ a̠
개발하다	k e̞ b a̠ ɾ ɦ a̠ d a̠
개밥바라기	k e̞ b a̠ p̚ p͈ a̠ ɾ a̠ ɡ i
개방	k e̞ b a̠ ŋ
개방하다	k e̞ b a̠ ŋ ɦ a̠ d a̠
개벽	k e̞ b j ʌ̹ k̚
개별자	k e̞ː b j ʌ̹ ɭ t͡ɕ͈ a̠
개살구	k e̞ sʰ a̠ ɭ ɡ u
개새끼	k e̞ː sʰ e̞ k͈ i
개선	k e̞ː sʰ ʌ̹ n
개선하다	k e̞ː sʰ ʌ̹ n ɦ a̠ d a̠
개성	k e̞ sʰ ʌ̹ ŋ
개성	k e̞ː sʰ ʌ̹ ŋ
개소겡	k e̞ sʰ o̞ ɡ e̞ ŋ
개수	k e̞ː sʰ u
개시	k e̞ ɕʰ i
개월	k e̞ w ʌ̹ ɭ
개인	k e̞ː i n
개인숭배	k e̞ː i n sʰ u ŋ b e̞
개인적	k e̞ː i n d͡ʑ ʌ̹ k̚
개자식	k e̞ː d͡ʑ a̠ ɕʰ i k̚
개장	k e̞ d͡ʑ a̠ ŋ
개장	k e̞ː d͡ʑ a̠ ŋ
개장국	k e̞ː d͡ʑ a̠ ŋ k͈ u k̚
개저씨	k e̞ d͡ʑ ʌ̹ ɕ͈ i
개정	k e̞ː d͡ʑ ʌ̹ ŋ
개지랄	k e̞ː d͡ʑ i ɾ a̠ ɭ
개지랄하다	k e̞ː d͡ʑ i ɾ a̠ ɾ ɦ a̠ d a̠
개집	k e̞ː d͡ʑ i p̚
개척	k e̞ t͡ɕʰ ʌ̹ k̚
개천	k e̞ː t͡ɕʰ ʌ̹ n
개체	k e̞ː t͡ɕʰ e̞
개판	k e̞ː pʰ a̠ n
개폐기	k e̞ pʰ j e̞ ɡ i
개학	k e̞ ɦ a̠ k̚
개한민국	k e̞ ɦ a̠ n m i n ɡ u k̚
개혁	k e̞ː ʝ j ʌ̹ k̚
개회식	k e̞ β w e̞ ɕʰ i k̚
객	k e̞ k̚
객공잡이	k e̞ k̚ k͈ o̞ ŋ d͡ʑ a̠ b i
객관	k e̞ k̚ k͈ w a̠ n
객관적	k e̞ k̚ k͈ w a̠ n d͡ʑ ʌ̹ k̚
객기	k e̞ k̚ k͈ i
객실	k e̞ k ɕ͈ i ɭ
객쩍다	k e̞ k̚ t͡ɕ͈ ʌ̹ k̚ t͈ a̠
객차	k e̞ k̚ t͡ɕʰ a̠
객체	k e̞ k̚ t͡ɕʰ e̞
갠지스	k e̞ n d͡ʑ i sʰ ɯ
갤러리	k e̞ ɭ ɭ ʌ̹ ɾ i
갤리	k e̞ ɭ ʎ i
갯과	k e̞ː t̚ k͈ w a̠
갯첨서	k e̞ t̚ t͡ɕʰ ʌ̹ m sʰ ʌ̹
갱	k e̞ ŋ
갱개	k e̞ː ŋ ɡ e̞
갱제	k e̞ ŋ d͡ʑ e̞
갸울다	k j a̠ u ɭ d a̠
갸웃	k j a̠ u t̚
갸웃거리다	k j a̠ u t̚ k͈ ʌ̹ ɾ i d a̠
갹출	k j a̠ k̚ t͡ɕʰ u ɭ
거	k ʌ̹
거기	k ʌ̹ ɡ i
거꾸로	k ʌ̹ k͈ u ɾ o̞
거대하다	k ɘː d e̞ ɦ a̠ d a̠
거두다	k ʌ̹ d u d a̠
거드름	k ɘː d ɯ ɾ ɯ m
거듭	k ʌ̹ d ɯ p̚
거듭씨	k ʌ̹ d ɯ p ɕ͈ i
거듭홀소리	k ʌ̹ d ɯ pʰ o̞ ɭ sʰ o̞ ɾ i
거래	k ɘː ɾ e̞
거렁뱅이	k ʌ̹ ɾ ʌ̹ ŋ b e̞ ŋ i
거룩하다	k ɘː ɾ u kʰ a̠ d a̠
거류	k ʌ̹ ɾ j u
거르다	k ʌ̹ ɾ ɯ d a̠
거리	k ɘː ɾ i
거리	k ʌ̹ ɾ i
거리다	k ʌ̹ ɾ i d a̠
거만	k ɘː m a̠ n
거만하다	k ɘː m a̠ n ɦ a̠ d a̠
거머리	k ɘː m ʌ̹ ɾ i
거문고	k ʌ̹ m u n ɡ o̞
거미	k ʌ̹ m i
거미줄	k ʌ̹ m i d͡ʑ u ɭ
거부하다	k ɘː b u ɦ a̠ d a̠
거북	k ʌ̹ b u k̚
거북이	k ʌ̹ b u ɡ i
거세	k ʌ̹ sʰ e̞
거세다	k ʌ̹ sʰ e̞ d a̠
거스러미	k ʌ̹ sʰ ɯ ɾ ʌ̹ m i
거스르다	k ʌ̹ sʰ ɯ ɾ ɯ d a̠
거스름돈	k ʌ̹ sʰ ɯ ɾ ɯ m t͈ o̞ n
거시기	k ʌ̹ ɕʰ i ɡ i
거실	k ʌ̹ ɕʰ i ɭ
거야	k ɘː j a̠
거야	k ʌ̹ j a̠
거울	k ʌ̹ u ɭ
거웃	k ʌ̹ u t̚
거위	k ʌ̹ ɥ i
거의	k ʌ̹ ɰ i
거인	k ɘː i n
거절하다	k ɘː d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠
거주	k ʌ̹ d͡ʑ u
거주하다	k ʌ̹ d͡ʑ u ɦ a̠ d a̠
거즈	k ʌ̹ d͡ʑ ɯ
거지	k ɘː d͡ʑ i
거짓	k ɘː d͡ʑ i t̚
거짓말	k ɘː d͡ʑ i n m a̠ ɭ
거짓말쟁이	k ɘː d͡ʑ i n m a̠ ɭ d͡ʑ e̞ ŋ i
거짓말하다	k ɘː d͡ʑ i n m a̠ ɾ ɦ a̠ d a̠
거치다	k ʌ̹ t͡ɕʰ i d a̠
거치적거리다	k ʌ̹ t͡ɕʰ i d͡ʑ ʌ̹ k̚ k͈ ʌ̹ ɾ i d a̠
거칠다	k ʌ̹ t͡ɕʰ i ɭ d a̠
거품	k ʌ̹ pʰ u m
걱정	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ
걱정되다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠
걱정하다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
건강	k ɘː n ɡ a̠ ŋ
건강하다	k ɘː n ɡ a̠ ŋ ɦ a̠ d a̠
건강히	k ɘː n ɡ a̠ ŋ ʝ i
건너가다	k ɘː n n ʌ̹ ɡ a̠ d a̠
건너다	k ɘː n n ʌ̹ d a̠
건너오다	k ɘː n n ʌ̹ o̞ d a̠
건너편	k ɘː n n ʌ̹ pʰ j ʌ̹ n
건널목	k ɘː n n ʌ̹ ɭ m o̞ k̚
건네다	k ɘː n n e̞ d a̠
