أوتي	ˑuː t i
حش	ħ ə ʃ ʃ
حفر	ħ ə f ə r
حفر	ħ ɪ f ə r
حكوك	ħ ə k uː k
حلاو	ħ ə l ɑː w
حلج	ħ ə l d͡ʒ
حلوج	ħ l uː d͡ʒ
حمسة	ħ m ɪ s ə
حوالين	ħ ə w ɑː l eː n
حوض	ħ oː ðˤ
حيل	ħ e l
خاس	χ ɑː s
خبيث	χ ə b iː θ
خربان	χ ə r b ɑː n
خشم	x ɐ ʃ ɪ m
خشوم	χ ʃ uː m
خطب	χ ɪ tˤ ə b
خل	χ ə l
خل	χ ə ɫ
خلص	χ ə ɫː ə sˤ
خمستعش	χ ə m ɪ s t ə ʕ ə ʃ
داية	d ɑː j ə
دبة	d ə b b ə
دروازة	d ɪ r w ɑ z ə
دري	d ə r ə j j
دريشة	d ə r i ʃ ə
دريشة	d ɪ r i ʃ ə
دقمة	d ɪ ɡ m ə
دقيقة	d ə q iː q ə
دقيقة	d ə ʁ iː ʁ ə
دقيقة	d ɪ ɡ iː ɡ ə
دكتور	d ɪ k t oː r
دلاغ	d l ɑː q
دلاغ	d l ɑː ʁ
دولكة	d oː l k ə
دولكة	d oː l k ə t
ديد	d eː d
ديرة	d iː r ə
ديرة	d iː r ə t
ديچ	d iː t͡ʃ
دچ	d ə t͡ʃ
ذهب	ð ə h ə b
ذيب	ð iː b
ربع	r ə b ɪ ʕ
ربع	r ʊ b ɪ ʕ
رجيم	r ɪ d͡ʒ iː m
رفيج	r f iː d͡ʒ
رقي	r ə ɡː i
رنق	r ə ŋ
روب	r oː b
روتي	r oː t i
روضة	r oː ðˤ ə
روضة	r oː ðˤ ə t
ريال	r j ɑː l
ريال	r ə jː ɑː l
ريل	r iː l
ريل	r ə j ɪ l
زربول	z a r b uː l
زفير	z ə f iː r
زقارة	z ɪ ɡ ɑː r ə
زقارة	z ɪ ɡ ɑː r ə t
زقرت	z ɡ ɪ r t
زقوم	z ə qː uː m
زهايمر	z ə h ɑ j m ɪ r
زهرة	z ə h r ə
زهرة	z ʊ h r ə
زهيوي	z eː w i
سبة	s i bː ə
ستيك	s t eː k
سستر	s ɪ s t ə r
سكان	s ɪ k k ɑː n
سكان	s ʊ k k ɑː n
سلاحف	s əˑ l ɑː ħ ɪ f
سما	s ɪ m ə
سمنديقة	s ə m ə n d eː ɡ ə
سمنديقة	s ə m ə n d eː ɡ ə t
سمچ	s ɪ m ə t͡ʃ
سمچ	s ɪ m ɪ t͡ʃ
سنسون	s ə n s uː n
سنع	s ə n ʕ
سولف	s oː l ə f
سيارة	s ə jː ɑː r ə
سيارة	s ə jː ɑː r ə t
سيكل	s eː k ə l
سچين	s ɪ t͡ʃː iː n
شات	ʃ ɑː t
شاصي	ʃ ɑː sˤ i
شال	ʃ ɑ l
شاوي	ʃ a a w i i
شايب	ʃ ɑː j ɪ b
شبة	ʃ ə bː ə
شربت	ʃ ə r b ə t
شركة	ʃ ɐ r ɪ k ə
شقردي	ʃ ɪ ɡ ə r d i
شنص	ʃ ɪ n ə sˤ
شوربة	ʃ oː r b ə
شوربة	ʃ oː r b ə t ‿
شين	ʃ eː n
صاج	sˤ ɑː d͡ʒ
صراحة	sˤ ə r ɑː ħ ə
صراحة	sˤ ə r ɑː ħ ə t
صكر	sˤ ə kː ə r
صمنديقة	sˤ ə m ə n d eː ɡ ə
صمنديقة	sˤ ə m ə n d eː ɡ ə t
صمون	sˤ ə m m uː n
ضبط	ðˤ ə bː ə tˤ
ضنا	ðˤ ə n ə
طاح	tˤ ɑː ħ
طر	tˤ ə r
طر	tˤ ɪ r
طراد	tˤ ə rː ɑ d
طرارة	tˤ r ɑː r ə
طريج	tˤ r iː d͡ʒ
طشت	tˤ ə ʃ t
طماط	tˤ ʊ m ɑː tˤ
طمباخية	tˤ ɪ m b ɑː χ iː j j ə
طنطل	tˤ ə n tˤ ə lˤ
طيب	tˤ ə jː ɪ b
ظل	ðˤ ə lˤ
ظل	ðˤ ɪ lˤ
عايلة	ʕ ɑː j l ə
عبيط	ʕ ə b iː tˤ
عتيج	ʕ ɪ t iː d͡ʒ
عربانة	ʕ ə r ə b ɑ n ə
عرموط	ʕ ə r m uː tˤ
عشا	ʕ ə ʃ ə
عصاية	ʕ ə sˤ ɑː j ə
علبنة	ʕ ə l ə b ʊ nː ə
علطول	ʕ ə l ə tˤ uː l
علچ	ʕ ɪ l t͡ʃ
عود	ʕ oː d
عود	ʕ uː d
عود	ʕ ə wː ə d
عيش	ʕ eː ʃ
عيش	ʕ iː ʃ
عيش	ʕ ə jː ə ʃ
عيش	ʕ ə jː ɪ ʃ
عيم	ʕ ə j ə m
عيوز	ʕ ə j uː z
غدا	ʁ ə d ə
غطا	ʁ ə tˤ ə
غمض	ʁ ə mː ə ðˤ
غوري	q uː r i
غوري	ʁ uː r i
فار	f ɑ r
فحم	f ɐ ħ ə m
فرصة	f ʊ r sˤ ə
فرن	f ɪ r ɪ n
فريزر	f r eː z ə r
فضا	f ə ðˤ ə
فضا	f ɪ ðˤ ə
فطيرة	f ə tˤ iː r ə
فطيرة	f ə tˤ iː r ə t
فقع	f ɘ ɡ ɪ ʕ
فلوس	f l uː s
فنيان	f ɪ n j ɑː n
في	f i
فير	f ə j ɪ r
فيشة	f iː ʃ ə
فيشة	f iː ʃ ə t
قاري	ɡ ɑ r i
قرا	ɡ ə r ə
قرا	ɡ ɪ r ə
قراءة	q i r ɑ ʔ ɐ
قراية	q
قراية	ɡ
قراية	ɡ r ɑ j ə
قراية	ɡ ə rː ɑ j ə
قز	ɡ ɐ z
قص	ɡ ə sˤ
قطر	ɡ ɪ tˤ ə r
قطن	ɡ ɪ tˤ ɪ n
قطو	ɡ ə tˤ ʊ
قطوة	ɡ ə tˤ w ə
قطوة	ɡ ə tˤ w ə t
قلاص	ɡ lˤ ɑː sˤ
قلم	q ə l ə m
قلم	ɡ ə l ə m
قمر	ɡ ʊ m ə r
قند	q ə n d
قند	ʁ ə n d
قنفة	q ə n ə f ə
قنفة	ʁ ə n ə f ə
قهوة	ɡ h a w a
قهوة	ɡ ə h w ə
قولچي	ɡ oː ɫ t͡ʃ i
قيمر	ɡ eː m ə r
كاشير	k ɑː ʃ eː r
كاغد	k ɑː ʁ ə d
كب	k ə b bˤ
كبت	k ə b ə t
كبر	k ɪ b ɐ r
كبوت	k ə bː uː t
كربون	k ɪ r b uː n
كرفتة	k ə r ə f ɪ t t ə
كرفتة	k ə r ə f ɪ t t ə t
ككاو	k ə kː ɑː w
كلش	k ɪ l l ɪ ʃ
كلمة	k ɪ l m ə
كلمة	k ɪ l m ə t ‿
كلى	k ə l ə
كلى	k ɪ l ə
كلينكس	k l eː n ə k s
كلينكس	k l ɪ n ɪ k s
كنديشن	k ə n d eː ʃ ɪ n
كنسل	k ə n s ə l
كهربا	k ə h r ə b ə
كهربچي	k ə h r ə b t͡ʃ i
كوجة	k oː d͡ʒ ə
كورس	k o r s
كيكة	k eː k ə
كيكة	k eː k ə t
لابچين	l ɑː b t͡ʃ iː n
لبن	l ɪ b ə n
لنج	l ə n d͡ʒ
لون	l oː n
ليت	l e t
ليت	l eː t
ليث	l e θ
ليش	l e ʃ
مؤسسة	m ʊ ʔ ɐ s s ɐ s ə
مؤسسة	m ʊ ʔ ɐ sː ɪ s ə
ماشة	m ɑː ʃ ə
ماشة	m ɑː ʃː ə
ماصخ	m ɑː sˤ ɪ χ
ماي	m ɑ j
مبلتع	m b ə l t ə ʕ
مبچر	m b ə t͡ʃː ɪ r
متأخر	m ɪ t ʔ ə χː ɪ r
متخلف	m ɪ t χ ə lː ɪ f
متلوث	m ɪ t l ə wː ɪ θ
مجنون	m e ɪ j n uː n
محيط	m ʊ ħ iː tˤ
مداحر	m d ɑː ħ ə r
مرة	m ə r ə
مرة	m ə rː ə
مرة	m ʊ rː ə
مزاج	m ə z ɑː d͡ʒ
مزاج	m ɪ z ɑː d͡ʒ
مزمن	m ʊ z m ɪ n
مسلسل	m s ə l s ə l
مسلسل	m ʊ s ə l s ə l
مسيد	m ə s j ɪ d
مشى	m ɨ ʃ ə
مصخرة	m ə sˤ χ ə r ə
مطر	m ə tˤː ə r
مطر	m ʊ tˤ ə r
معكرونية	m ə ʕ k ə r oː n j ə
مقارنة	m ʊ q ɑ r ə n ə
مقارنة	m ʊ q ɑ r ə n ə t
مقلة	m ɪ ɡ lˤ ə
مقلة	m ɪ ɡ lˤ ə t
ملابس	m ə l a b ɪ s
ملاس	m ɪ lː ɑ s
ملف	m ə l ə f
ملفوف	m ə l f uː f
ملقوف	m ə l ɡ uː f
منظرة	m ə n ðˤ ə r ə
منظرة	m ə n ðˤ ə r ə t
منو	m ɪ n u
منيو	m ɪ n j ʊ
مهتمل	m h ə t m ə l
مواعين	m w ɑː ʕ iː n
موت	m oː t
موت	m ə wː ə t
موعد	m ə w ʕ ɪ d
مينون	m ə j n uː n
ميوة	m eː w ə
ميوة	m eː w ə t ‿
نط	n a tˤː
نفنوف	n ə f n uː f
نفيش	n ʊ fː eː ʃ
نكتة	n ɪ k t ə
نكهة	n ə k h ə
نكهة	n ə k h ə t
نوخذة	n oː χ ɪ ð ə
نوخذة	n oː χ ɪ ð ə t
نوط	n oː tˤ
نيس	n ə jː ɪ s
هامور	h ɑː m uː r
هدوم	h d uː m
هرن	h ɪ r ɪ n
هستر	h ə s t ə r
هناك	h n ɑː k
هني	h n iː
واير	w ɑ j ɪ r
ورقة	w r ɪ ɡ ə
ورقة	w r ɪ ɡ ə t
ويه	w eː h
ويه	w eːː
ويه	w ə ɪ̯ h
يا	j aː
ياثوم	j ɑː θ uː m
ياخور	j ɑː χ uː r
يار	j ɑ r
ياز	j ɑ z
يم	j ə m
يني	j ɪ n n i
يوع	j uː ʕ
يوم	j oː m
پايپ	b ɑː j b
پايپ	p ɑː j p
پيپ	b eː b
پيپ	p eː p
چان	t͡ʃ ɑː n
چاي	t͡ʃ ɑː j
چبريت	t͡ʃ ɪ b r iː t
چف	t͡ʃ ə f
چلب	t͡ʃ ə l b
چم	t͡ʃ ə m
چنه	t͡ʃ ɪ nː ə
چولة	t͡ʃ uː l ə
چي	t͡ʃ i
چيس	t͡ʃ iː s
چيك	t͡ʃ eː k
چيك	t͡ʃ iː k
چيك	t͡ʃ ə jː ə k
کلاس	k l ɑː s
کمبل	k ɐ m b ə l
