abo	a b ɔ
bóleł	b ɨ l ɛ w
bóleł	b ɛ l ɛ w
bóleł	b ʊ l ɛ w
bóleś	b ɨ l ɛ ɕ
bóleś	b ɛ l ɛ ɕ
bóleś	b ʊ l ɛ ɕ
bóli	b ɨ l i
bóli	b ɛ l i
bóli	b ʊ l i
bom	b ɔ m
boma	b ɔ m a
bósučki	b ɨ s u t͡ʃ k i
bósučki	b ɛ s u t͡ʃ k i
bósučki	b ʊ s u t͡ʃ k i
bósy	b ɨ s ɨ
bósy	b ɛ s ɨ
bósy	b ʊ s ɨ
bóžy	b ɨ ʒ ɨ
bóžy	b ɛ ʒ ɨ
bóžy	b ʊ ʒ ɨ
brane	b r a n ɛ
braś	b r a ɕ
bratš	b r a t ʃ
bridki	b rʲ i t kʲ i
brjaza	b rʲ a z a
brjaze	b rʲ a z ɛ
brjoze	b rʲ ɔ z ɛ
brjuch	b rʲ u x
brod	b r ɔ t
broda	b r ɔ d a
brodach	b r ɔ d a x
brodami	b r ɔ d a mʲ i
brodom	b r ɔ d ɔ m
brodu	b r ɔ d u
brona	b r ɔ n a
broń	b r ɔ nʲ
brošma	b r ɔ ʃ m a
bruk	b r u k
bruse	b r u s ɛ
bubon	b u b ɔ n
buducy	b u d u t͡s ɨ
bujny	b u j n ɨ
buk	b u k
butra	b u t r a
buwoł	b u w ɔ w
buź	b u ɕ
buźćo	b u ɕ t͡ɕ ɔ
buźom	b u ʑ ɔ m
buźtej	b u ɕ t ɛ j
bydle	b ɨ d l ɛ
bydlenje	b ɨ d l ɛ nʲ ɛ
bydli	b ɨ d l i
bydlił	b ɨ d l i w
bydlim	b ɨ d l i m
bydliś	b ɨ d l i ɕ
bydlit	b ɨ d l i t
byk	b ɨ k
byłej	b ɨ w e j
byli	b ɨ l i
byśe	b ɨ ɕ ɛ
bźez	b ʑ ɛ s
candaŕ	t͡s a n d a rʲ
capla	t͡s a p l a
caple	t͡s a p l ɛ
carne	t͡s a r n ɛ
carnem	t͡s a r n ɛ m
cas	t͡s a s
casa	t͡s a s a
case	t͡s a s ɛ
ceja	t͡s ɛ j a
ceje	t͡s ɛ j ɛ
ceji	t͡s ɛ j i
ceło	t͡s ɛ w ɔ
cele	t͡s ɛ l ɛ
ceptaŕ	t͡s ɛ p t a rʲ
cerw	t͡s ɛ r f
cerwjeny	t͡s ɛ r vʲ ɛ n ɨ
cesa	t͡s ɛ s a
cesć	t͡s ɛ s t͡ɕ
cesta	t͡s ɛ s t a
cesto	t͡s ɛ s t ɔ
cesty	t͡s ɛ s t ɨ
charta	x a r t a
chłodno	x ɔ d n ɔ
chłodny	x ɔ d n ɨ
chlěw	x l ɪ w
chójźiś	x ɛ j ʑ i ɕ
chóra	x ɨ r a
chóra	x ɛ r a
chóra	x ʊ r a
chóre	x ɨ r ɛ
chóre	x ɛ r ɛ
chóre	x ʊ r ɛ
chórem	x ɨ r ɛ m
chórem	x ɛ r ɛ m
chórem	x ʊ r ɛ m
chórgoj	x ɨ r ɡ ɔ j
chórgoj	x ɛ r ɡ ɔ j
chórgoj	x ʊ r ɡ ɔ j
chórobny	x ɨ r ɔ b n ɨ
chórobny	x ɛ r ɔ b n ɨ
chórobny	x ʊ r ɔ b n ɨ
chórowni	x ɨ r o w nʲ i
chórowni	x ɛ r o w nʲ i
chórowni	x ʊ r o w nʲ i
chórownja	x ɨ r o w nʲ a
chórownja	x ɛ r o w nʲ a
chórownja	x ʊ r o w nʲ a
chóry	x ɨ r ɨ
chóry	x ɛ r ɨ
chóry	x ʊ r ɨ
chórych	x ɨ r ɨ x
chórych	x ɛ r ɨ x
chórych	x ʊ r ɨ x
chóśebuski	x ɛ ɕ ɛ b u s kʲ i
chóśebuski	x ɨ ɕ ɛ b u s kʲ i
chóśebuski	x ʊ ɕ ɛ b u s kʲ i
chóśebuz	x ɛ ɕ ɛ b u s
chóśebuz	x ɨ ɕ ɛ b u s
chóśebuz	x ʊ ɕ ɛ b u s
chóśebuza	x ɛ ɕ ɛ b u z a
chóśebuza	x ɨ ɕ ɛ b u z a
chóśebuza	x ʊ ɕ ɛ b u z a
chrobry	x r ɔ b r ɨ
chroma	x r ɔ m a
chrome	x r ɔ m ɛ
chromy	x r ɔ m ɨ
chrust	x r u s t
chto	x t ɔ
chudy	x u d ɨ
chudy	kʰ u d ɨ
chyliś	x ɨ l i ɕ
chytšy	x ɨ t ʃ ɨ
cłowjek	t͡s w ɔ vʲ ɛ k
cłowjek	t͡s w ɔ j ɛ k
co	t͡s ɔ
cogo	t͡s ɔ ɡ ɔ
cole	t͡s ɔ l ɛ
comu	t͡s ɔ m u
cora	t͡s ɔ r a
coš	t͡s ɔ ʃ
což	t͡s ɔ ʃ
crjej	t͡s rʲ ɛ j
crjop	t͡s rʲ ɔ p
cukor	t͡s u k ɔ r
cut	t͡s u t
cuzy	t͡s u z ɨ
cyni	t͡s ɨ nʲ i
cynił	t͡s ɨ nʲ i w
cynim	t͡s ɨ nʲ i m
cynimej	t͡s ɨ nʲ i m e j
cynimy	t͡s ɨ nʲ i m ɨ
cyniš	t͡s ɨ nʲ i ʃ
cyniś	t͡s ɨ nʲ i ɕ
cyniśo	t͡s ɨ nʲ i ɕ ɔ
cynitej	t͡s ɨ nʲ i t e j
cynje	t͡s ɨ nʲ ɛ
cyste	t͡s ɨ s t ɛ
cysty	t͡s ɨ s t ɨ
cytanje	t͡s ɨ t a nʲ ɛ
čaj	t͡ʃ a j
da	d a
dalej	d a l ɛ j
dali	d a l i
dalina	d a l i n a
daloko	d a l ɔ k ɔ
damast	d a m a s t
dan	d a n
dana	d a n a
dane	d a n ɛ
daneje	d a n ɛ j ɛ
danje	d a nʲ ɛ
dank	d a n k
danki	d a n kʲ i
danku	d a n k u
danu	d a n u
dany	d a n ɨ
dat	d a t
dawno	d a w n ɔ
dawny	d a w n ɨ
dej	d ɛ j
dejał	d ɛ j a w
dejanje	d ɛ j a nʲ ɛ
dejaś	d ɛ j a ɕ
deje	d ɛ j ɛ
deri	d ɛ rʲ i
deriś	d ɛ rʲ i ɕ
dešć	d ɛ ɕ t͡ɕ
dirigent	dʲ i rʲ i ɡʲ ɛ n t
dirigentka	dʲ i rʲ i ɡʲ ɛ n t k a
diskutowaś	dʲ i s k u t ɔ w a ɕ
dług	d w u k
dłujki	d w u j kʲ i
dla	d l a
do	d ɔ
dobra	d ɔ b r a
dobre	d ɔ b r ɛ
dobrego	d ɔ b r ɛ ɡ ɔ
dobrej	d ɔ b r ɛ j
dobrem	d ɔ b r ɛ m
dobremu	d ɔ b r ɛ m u
dobrota	d ɔ b r ɔ t a
dobru	d ɔ b r u
dobry	d ɔ b r ɨ
dobrych	d ɔ b r ɨ x
dobrym	d ɔ b r ɨ m
dobrymi	d ɔ b r ɨ mʲ i
doł	d ɔ w
dołojce	d ɔ w ɔ j t͡s ɛ
dole	d ɔ l ɛ
dom	d ɔ m
doma	d ɔ m a
domy	d ɔ m ɨ
dosć	d ɔ s t͡ɕ
drap	d r a p
drapaś	d r a p a ɕ
drjewo	d rʲ ɛ w ɔ
drježdźany	d rʲ ɛ ʑ d ʑ a n ɨ
drob	d r ɔ p
droba	d r ɔ b a
drobami	d r ɔ b a mʲ i
droby	d r ɔ b ɨ
droga	d r ɔ ɡ a
droga	d r ɔ w ɡ a
droga	d r ɔ ɡ a
droge	d r ɔ ɡʲ ɛ
drogich	d r ɔ ɡʲ i x
drogowy	d r ɔ w ɡ ɔ w ɨ
droze	d r ɔ z ɛ
droze	d r ɔ w z ɛ
droznje	d r ɔ z nʲ ɛ
droždźeje	d r ɔ ʑ d͡ʑ ɛ j ɛ
drugi	d r u ɡʲ i
drugich	d r u ɡʲ i x
du	d u
dub	d u p
dubach	d u b a x
dubje	d u bʲ ɛ
duś	d u ɕ
dut	d u t
dute	d u t ɛ
dwa	d w a
dwě	d vʲ ɪ
dwór	d w ɨ r
dwór	d w ɛ r
dwór	d w ʊ r
dym	d ɨ m
dyma	d ɨ m a
estniska	ɛ s t nʲ i s k a
ezel	ɛ z ɛ l
fabrice	f a b rʲ i t͡s ɛ
fabrika	f a b rʲ i k a
fabriki	f a b rʲ i kʲ i
fagot	f a ɡ ɔ t
familija	f a mʲ i lʲ i j a
fanfara	f a n f a r a
fara	f a r a
faram	f a r a m
faraŕ	f a r a rʲ
faru	f a r u
fary	f a r ɨ
fasada	f a s a d a
ferije	f ɛ rʲ i j ɛ
fidle	fʲ i d l ɛ
formowaś	f ɔ r m ɔ w a ɕ
gaby	ɡ a b ɨ
gad	ɡ a t
gada	ɡ a d a
gadam	ɡ a d a m
galerija	ɡ a l ɛ rʲ i j a
gano	ɡ a n ɔ
garba	ɡ a r b a
gardina	ɡ a r dʲ i n a
garona	ɡ a r ɔ n a
gat	ɡ a t
gdy	d ɨ
gdyby	d ɨ b ɨ
gib	ɡʲ i p
gibanje	ɡʲ i b a nʲ ɛ
gjarb	ɡʲ a r p
gjardło	ɡʲ a r d w ɔ
gjardy	ɡʲ a r d ɨ
gjarsć	ɡʲ a r s t͡ɕ
gładkich	ɡ w a t kʲ i x
gładko	ɡ w a t k ɔ
głupy	ɡ u p ɨ
glej	ɡ l ɛ j
glědaś	ɡ lʲ ɪ d a ɕ
gnězdo	ɡ nʲ ɪ z d ɔ
gnida	ɡ nʲ i d a
gód	ɡ ɨ t
gód	ɡ ɛ t
gód	ɡ ʊ t
gódy	ɡ ɨ d ɨ
gódy	ɡ ɛ d ɨ
gódy	ɡ ʊ d ɨ
gójś	ɡ ɛ j ɕ
goły	ɡ ɔ w ɨ
góla	ɡ ɨ l a
góla	ɡ ɛ l a
góla	ɡ ʊ l a
gólc	ɡ ɨ l t͡s
gólc	ɡ ɛ l t͡s
gólc	ɡ ʊ l t͡s
góle	ɡ ɨ l ɛ
góle	ɡ ɛ l ɛ
góle	ɡ ʊ l ɛ
góleśa	ɡ ɨ l ɛ ɕ a
góleśa	ɡ ɛ l ɛ ɕ a
góleśa	ɡ ʊ l ɛ ɕ a
góńtwowaś	ɡ ɨ nʲ t w o w a ɕ
góńtwowaś	ɡ ɛ nʲ t w o w a ɕ
góńtwowaś	ɡ ʊ nʲ t w o w a ɕ
góra	ɡ ɨ r a
góra	ɡ ɛ r a
góra	ɡ ʊ r a
górach	ɡ ɨ r a x
górach	ɡ ɛ r a x
górach	ɡ ʊ r a x
góram	ɡ ɨ r a m
góram	ɡ ɛ r a m
góram	ɡ ʊ r a m
górami	ɡ ɨ r a m ɨ
górami	ɡ ɛ r a m ɨ
górami	ɡ ʊ r a m ɨ
górce	ɡ ɨ r t͡s ɛ
górce	ɡ ɛ r t͡s ɛ
górce	ɡ ʊ r t͡s ɛ
górjejce	ɡ ɨ rʲ ɛ j t͡s ɛ
górjejce	ɡ ɛ rʲ ɛ j t͡s ɛ
górjejce	ɡ ʊ rʲ ɛ j t͡s ɛ
górka	ɡ ɨ r k a
górka	ɡ ɛ r k a
górka	ɡ ʊ r k a
górki	ɡ ɨ r kʲ i
górki	ɡ ɛ r kʲ i
górki	ɡ ʊ r kʲ i
góršy	ɡ ɨ r ʃ ɨ
góršy	ɡ ɛ r ʃ ɨ
góršy	ɡ ʊ r ʃ ɨ
góru	ɡ ɨ r u
góru	ɡ ɛ r u
góru	ɡ ʊ r u
góry	ɡ ɨ r ɨ
góry	ɡ ɛ r ɨ
góry	ɡ ʊ r ɨ
gósć	ɡ ɨ s t͡ɕ
gósć	ɡ ɛ s t͡ɕ
gósć	ɡ ʊ s t͡ɕ
gósća	ɡ ɨ s t͡ɕ a
gósća	ɡ ɛ s t͡ɕ a
gósća	ɡ ʊ s t͡ɕ a
gósćeńc	ɡ ɛ s t͡ɕ ɛ nʲ t͡s
gósćeńc	ɡ ɨ s t͡ɕ ɛ nʲ t͡s
gósćeńc	ɡ ʊ s t͡ɕ ɛ nʲ t͡s
gósći	ɡ ɨ s t͡ɕ i
gósći	ɡ ɛ s t͡ɕ i
gósći	ɡ ʊ s t͡ɕ i
gótowa	ɡ ɨ t ɔ w a
gótowa	ɡ ɛ t ɔ w a
gótowa	ɡ ʊ t ɔ w a
gótowy	ɡ ɨ t ɔ w ɨ
gótowy	ɡ ɛ t ɔ w ɨ
gótowy	ɡ ʊ t ɔ w ɨ
gowjedo	ɡ ɔ vʲ ɛ d ɔ
gowjedo	ɡ ɔ j ɛ d ɔ
gózdź	ɡ ɨ s t͡ɕ
gózdź	ɡ ɛ s t͡ɕ
gózdź	ɡ ʊ s t͡ɕ
gózdźa	ɡ ɨ z d͡ʑ a
gózdźa	ɡ ɛ z d͡ʑ a
gózdźa	ɡ ʊ z d͡ʑ a
gózdźe	ɡ ɨ z d͡ʑ ɛ
gózdźe	ɡ ɛ z d͡ʑ ɛ
gózdźe	ɡ ʊ z d͡ʑ ɛ
gózdźik	ɡ ɨ z d ʑ i k
gózdźik	ɡ ɛ z d ʑ i k
gózdźik	ɡ ʊ z d ʑ i k
góźina	ɡ ɨ ʑ i n a
góźina	ɡ ɛ ʑ i n a
góźina	ɡ ʊ ʑ i n a
grali	ɡ r a l i
granice	ɡ r a nʲ i t͡s ɛ
graśe	ɡ r a ɕ ɛ
grat	ɡ r a t
grima	ɡ rʲ i m a
grob	ɡ r ɔ p
grobje	ɡ r ɔ bʲ ɛ
grod	ɡ r ɔ t
grody	ɡ r ɔ d ɨ
gromaźe	ɡ r ɔ m a ʑ ɛ
groni	ɡ r ɔ nʲ i
groza	ɡ r ɔ z a
groze	ɡ r ɔ z ɛ
grozu	ɡ r ɔ z u
guba	ɡ u b a
gus	ɡ u s
gusta	ɡ u s t a
guste	ɡ u s t ɛ
gustem	ɡ u s t ɛ m
gusto	ɡ u s t ɔ
gustu	ɡ u s t u
gusty	ɡ u s t ɨ
gwězda	ɡ vʲ ɪ z d a
gymnazium	ɡ ɨ m n a z i u m
hengist	h ɛ ŋʲ ɡʲ i s t
historiske	h i s t ɔ rʲ i s kʲ ɛ
how	ɔ w
hurje	h u rʲ ɛ
huroma	h u r ɔ m a
huru	h u r u
hyś	ɨ ɕ
informacija	i n f ɔ r m a t͡s i j a
inženjer	i n ʒ ɛ nʲ ɛ r
inženjerka	i n ʒ ɛ nʲ ɛ r k a
jacmjeń	j a t͡s mʲ ɛ nʲ
jaden	j a d ɛ n
jagnje	j a ɡ nʲ ɛ
jagnjeśina	j a ɡ nʲ ɛ ɕ i n a
jagoda	j a ɡ ɔ d a
jajach	j a j a x
jajce	j a j t͡s ɛ
jajko	j a j k ɔ
jajo	j a j ɔ
jano	j a n ɔ
jara	j a r a
jare	j a r ɛ
jarem	j a r ɛ m
jary	j a r ɨ
jasne	j a s n ɛ
jasno	j a s n ɔ
jasny	j a s n ɨ
jasnych	j a s n ɨ x
jastśeb	j a s t͡ɕ ɛ p
jastśebik	j a s t͡ɕ ɛ bʲ i k
jastśebja	j a s t͡ɕ ɛ bʲ a
jašćeŕ	j a ɕ t͡ɕ ɛ rʲ
jatšy	j a t͡ʃ ɨ
jazor	j a z ɔ r
jazoro	j a z ɔ r ɔ
jazw	j a s
je	j ɛ
jeb	j ɛ p
jeba	j ɛ b a
jebany	j ɛ b a n ɨ
jebat	j ɛ b a t
jedle	j ɛ d l ɛ
jeglicka	j ɛ ɡ l i t͡s k a
jeje	j ɛ j ɛ
jelenica	j ɛ l ɛ nʲ i t͡s a
jeleń	j ɛ l ɛ nʲ
jerjeł	j ɛ rʲ ɛ w
jerła	j ɛ r w a
jež	j e ʃ
jědro	j ɪ d r ɔ
jědu	j ɪ d u
jěł	j ɪ w
jěsć	j ɪ s t͡ɕ
jěś	j ɪ ɕ
jětša	j ɪ t ʃ a
jěza	j ɪ z a
jězd	j ɪ s t
jězdźiś	j ɪ z d͡ʑ i ɕ
jězyk	j ɪ z ɨ k
jěźech	j ɪ ʑ ɛ ç
jěźechmej	j ɪ ʑ ɛ ç m ɛ j
jěźechmy	j ɪ ʑ ɛ ç m ɨ
jěźechu	j ɪ ʑ ɛ ç u
jěźecy	j ɪ ʑ ɛ t͡s ɨ
jěźenje	j ɪ ʑ ɛ nʲ ɛ
jěźešćo	j ɪ ʑ ɛ ɕ t͡ɕ ɔ
jěźešo	j ɪ ʑ ɛ ʃ ɔ
jěźeštej	j ɪ ʑ ɛ ʃ t e j
jěźo	j ɪ ʑ ɔ
jěźom	j ɪ ʑ ɔ m
jěźony	j ɪ ʑ ɔ n ɨ
jich	j i x
jima	j i m a
jogo	j ɔ ɡ ɔ
jogurt	j ɔ ɡ u r t
joli	j ɔ l i
južo	j u ʒ ɔ
k	k
kacka	k a t͡s k a
kaka	k a k a
kakawa	k a k a w a
kake	k a kʲ ɛ
kamel	k a m ɛ l
kamela	k a m ɛ l a
kamele	k a m ɛ l ɛ
kamjeny	k a mʲ ɛ n ɨ
kamjeń	k a mʲ ɛ nʲ
kani	k a nʲ i
kanja	k a nʲ a
kanka	k a n k a
kanki	k a n kʲ i
kanu	k a n u
kanuna	k a n u n a
kapa	k a p a
kapow	k a p ɔ w
kapu	k a p u
kara	k a r a
karnikel	k a r nʲ i kʲ ɛ l
karpa	k a r p a
karu	k a r u
kawce	k a w t͡s ɛ
kawč	k a w t͡ʃ
kawka	k a w k a
kawkach	k a w k a x
kawkami	k a w k a mʲ i
kawki	k a w kʲ i
kenž	kʲ ɛ n ʃ
ketšup	kʲ ɛ t ʃ u p
kiju	kʲ i j u
kim	kʲ i m
kjałbasa	kʲ a w b a s a
kjarcma	kʲ a r t͡s m a
kjarm	kʲ a r m
klěb	k l ɪ p
klěcaś	k l ɪ t͡s a ɕ
klěkaś	k lʲ ɪ k a ɕ
klěšće	k l ɪ ɕ t͡ɕ ɛ
klěś	k l ɪ ɕ
kmótš	k m ɨ t͡ʃ
kmótš	k m ɛ t͡ʃ
kmótš	k m ʊ t͡ʃ
kněni	k nʲ ɪ nʲ i
kněz	k nʲ ɪ s
kněžna	k nʲ ɪ ʒ n a
knigły	k nʲ i ɡ w ɨ
kobołk	k ɔ b o w k
kobra	k ɔ b r a
kobrami	k ɔ b r a mʲ i
kobru	k ɔ b r u
kobry	k ɔ b r ɨ
kobyła	k ɔ b ɨ w a
kócka	k ɨ t͡s k a
kócka	k ɛ t͡s k a
kócka	k ʊ t͡s k a
kócor	k ɨ t͡s ɔ r
kócor	k ɛ t͡s ɔ r
kócor	k ʊ t͡s ɔ r
kofer	k ɔ f ɛ r
kogo	k ɔ ɡ ɔ
kokoš	k ɔ k ɔ ʃ
kokoška	k ɔ k ɔ ʃ k a
kokot	k ɔ k ɔ t
koło	k o w ɔ
kołp	k ɔ w p
kólaso	k ɨ l a s ɔ
kólaso	k ɛ l a s ɔ
kólaso	k ʊ l a s ɔ
kóleno	k ɨ l ɛ n ɔ
kóleno	k ɛ l ɛ n ɔ
kóleno	k ʊ l ɛ n ɔ
komar	k ɔ m a r
komora	k ɔ m ɛ r a
komu	k ɔ m u
kónja	k ɨ nʲ a
kónja	k ɛ nʲ a
kónja	k ʊ nʲ a
kónju	k ɨ nʲ u
kónju	k ɛ nʲ u
kónju	k ʊ nʲ u
kónopje	k ɨ n ɔ pʲ ɛ
kónopje	k ɛ n ɔ pʲ ɛ
kónopje	k ʊ n ɔ pʲ ɛ
kóń	k ɨ nʲ
kóń	k ɛ nʲ
kóń	k ʊ nʲ
kóńc	k ɨ nʲ t͡s
kóńc	k ɛ nʲ t͡s
kóńc	k ʊ nʲ t͡s
kóńck	k ɨ nʲ t s k
kóńck	k ɛ nʲ t s k
kóńck	k ʊ nʲ t s k
kóńcowaś	k ɨ nʲ t s o w a ɕ
kóńcowaś	k ɛ nʲ t s o w a ɕ
kóńcowaś	k ʊ nʲ t s o w a ɕ
kopyto	k ɔ p ɨ t ɔ
kórjeń	k ɨ rʲ ɛ nʲ
kórjeń	k ɛ rʲ ɛ nʲ
kórjeń	k ʊ rʲ ɛ nʲ
kóryto	k ɨ r ɨ t ɔ
kóryto	k ɛ r ɨ t ɔ
kóryto	k ʊ r ɨ t ɔ
kós	k ɨ s
kós	k ɛ s
kós	k ʊ s
kósa	k ɨ s a
kósa	k ɛ s a
kósa	k ʊ s a
kósam	k ɨ s a m
kósam	k ɛ s a m
kósam	k ʊ s a m
kósć	k ɨ s t͡ɕ
kósć	k ɛ s t͡ɕ
kósć	k ʊ s t͡ɕ
kóse	k ɨ s ɛ
kóse	k ɛ s ɛ
kóse	k ʊ s ɛ
kósu	k ɨ s u
kósu	k ɛ s u
kósu	k ʊ s u
kóśeł	k ɨ ɕ ɛ w
kóśeł	k ɛ ɕ ɛ w
kóśeł	k ʊ ɕ ɛ w
kót	k ɨ t
kót	k ɛ t
kót	k ʊ t
kóta	k ɨ t a
kóta	k ɛ t a
kóta	k ʊ t a
kótary	k ɨ t a r ɨ
kótary	k ɛ t a r ɨ
kótary	k ʊ t a r ɨ
kótow	k ɨ t o w
kótow	k ɛ t o w
kótow	k ʊ t o w
kóza	k ɛ z a
kóza	k ɨ z a
kóza	k ʊ z a
kózoł	k ɨ z o w
kózoł	k ɛ z o w
kózoł	k ʊ z o w
kózyrožk	k ɨ z ɨ r o ʃ k
kózyrožk	k ɛ z ɨ r o ʃ k
kózyrožk	k ʊ z ɨ r o ʃ k
kóža	k ɨ ʒ a
kóža	k ɛ ʒ a
kóža	k ʊ ʒ a
kraba	k r a b a
kralik	k r a l i k
krogul	k r ɔ ɡ u l
krotko	k r ɔ t k ɔ
krowa	k r o w a
kšej	k ʃ ɛ j
kšupa	k ʃ u p a
kšupy	k ʃ u p ɨ
kšuška	k ʃ u ʃ k a
kšuty	k ʃ u t ɨ
kšyśe	k ʃ ɨ ɕ ɛ
kśebjat	k ɕ ɛ bʲ a t
kśebjata	k ɕ ɛ bʲ a t a
kśemjeń	k ɕ ɛ mʲ ɛ nʲ
kśě	k ɕ ɪ
kśěł	k ɕ ɪ w
kśěn	k ɕ ɪ n
kśěś	k ɕ ɪ ɕ
kśidło	k ɕ i d w ɔ
kśiwy	k ɕ i w ɨ
ku	k u
kuba	k u b a
kuchnja	k u x nʲ a
kukawa	k u k a w a
kulka	k u l k a
kunu	k u n u
kupnice	k u p nʲ i t͡s ɛ
kura	k u r a
kuram	k u r a m
kurami	k u r a mʲ i
kurce	k u r t͡s ɛ
kurka	k u r k a
kurki	k u r kʲ i
kuru	k u r u
kurwota	k u r w ɔ t a
kusa	k u s a
kusam	k u s a m
kusaś	k u s a ɕ
kuždy	k u ʒ d ɨ
kwět	k vʲ ɪ t
kwětk	k vʲ ɪ t k
łdza	d͡z a
łojach	w ɔ j a x
łoje	w ɔ j ɛ
łojś	w ɔ j ɕ
łopata	w ɔ p a t a
łopatka	w ɔ p a t k a
łoski	w ɔ s kʲ i
łoskich	w ɔ s kʲ i x
łosos	w ɔ s ɔ s
łyko	w ɨ k ɔ
lan	l a n
lanka	l a ŋ k a
law	l a w
lawk	l a w k
lažaś	l a ʒ a ɕ
lažčejšy	l a ʃ t͡ʃ ɛ j ʃ ɨ
laže	l a ʒ ɛ
leśe	l ɛ ɕ ɛ
lěkaŕ	l ɪ k a rʲ
lěpšy	l ɪ p ʃ ɨ
lěs	l ɪ s
lěśe	l ɪ ɕ ɛ
lěto	l ɪ t ɔ
lěwy	l ɪ w ɨ
lězć	l ɪ s t͡ɕ
lic	l i t͡s
lice	l i t͡s ɛ
licho	l i x ɔ
lichy	l i x ɨ
lico	l i t͡s ɔ
licy	l i t͡s ɨ
licyś	l i t͡s ɨ ɕ
lip	l i p
lipa	l i p a
lipaś	l i p a ɕ
lipat	l i p a t
lipoma	l i p ɔ m a
lipsk	l i p s k
list	l i s t
lista	l i s t a
listy	l i s t ɨ
liška	l i ʃ k a
lod	l ɔ t
lube	l u b ɛ
lubje	l u bʲ ɛ
lubjej	l u bʲ ɛ j
lubowaś	l u b ɔ w a ɕ
lud	l u t
luta	l u t a
lute	l u t ɛ
lutem	l u t ɛ m
lutu	l u t u
luty	l u t ɨ
luź	l u ɕ
mack	m a t͡s k
macka	m a t͡s k a
mackach	m a t͡s k a x
mackami	m a t͡s k a mʲ i
macki	m a t͡s kʲ i
mackom	m a t͡s k ɔ m
maju	m a j u
mak	m a k
maka	m a k a
makam	m a k a m
maki	m a kʲ i
maku	m a k u
małe	m a w ɛ
mało	m a w ɔ
malina	m a l i n a
malinami	m a l i n a mʲ i
mamam	m a m a m
mamu	m a m u
mamy	m a m ɨ
mapa	m a p a
mapje	m a pʲ ɛ
marchwej	m a r x w ɛ j
marchwje	m a r x vʲ ɛ
marchwje	m a r x j ɛ
marjank	m a r j a ŋ k
masło	m a s w ɔ
masle	m a s l ɛ
maś	m a ɕ
mech	m ɛ x
mecha	m ɛ x a
mej	m ɛ j
mě	mʲ ɪ
měch	mʲ ɪ x
měki	mʲ ɪ kʲ i
měra	mʲ ɪ r a
měri	mʲ ɪ rʲ i
