aacatlah	aʔaːkat͡ɬ
ayauhcozamalotl	aːjaʍkoːsamáːloːt͡ɬ
ayoh	aːjoʔ
ayohtli	ajoʔt͡ɬi
ayollohco	aːjoːlːoʔko
ayoneuctli	aːjoːnekʷt͡ɬi
ayotapalcatl	aːjoːtapaɬkat͡ɬ
azcamolli	aːskamoːlːi
azcapotzalli	aːskapoːt͡sálːi
azcaxalli	aːskaʃaːlːi
cacahuaatl	kakawaaːt͡ɬ
cacahuapinolli	kakawapinolːi
cacahuapozonallotl	kakawaposoːnalːoːt͡ɬ
cacahuapozonillotl	kakawaposoːnilːoːt͡ɬ
cacahuatl	kakawat͡ɬ
cacamatl	kakamat͡ɬ
calcuichchoh	kaɬkʷitt͡ʃoʔ
callah	kalːaʔ
callalli	kalːaːlːi
calli	kalːi
calli	kaːlːi
camohtli	kamoʔt͡ɬi
canauhconetl	kanaʍkoneːt͡ɬ
canauhconetontli	kanaʍkoneːtoːnt͡ɬi
canauhquilitl	kanaʍkilit͡ɬ
canauhtetl	kanaʍtet͡ɬ
capolcuauhtlah	kapoɬkʷaʍt͡ɬaʔ
capollah	kapólːaʔ
capoloctli	kapolókt͡ɬi
caxpechtontli	kaʃpet͡ʃtoːnt͡ɬi
caxtepiton	kaʃtepitoːn
caxtillan	kaʃtiːlːaːn
caxtolli	kaʃtoːlːi
caxtolpa	kaʃtoːɬpa
ce	se
cecemilhuitlahcuilolli	sesemiɬwit͡ɬaʔkʷiloːlːi
cecen	séːsen̥
ceehecatl	seeʔeːkat͡ɬ
cehcen	séʔsen̥
cehualli	seːwalːi
cemithualtin	semitwáɬtin
cemolotontli	semoːloːtoːnt͡ɬi
cempohualilhuitl	sempoːwaliɬwit͡ɬ
cempohualli	sempoːwalːi
cempohualpa	sempoːwaɬpa
cempohualtiyanquiztli	sempoːwaɬtijaːŋkist͡ɬi
cempohualxihuitl	sempoːwaɬʃiwit͡ɬ
centeconetl	sentekóneːt͡ɬ
centlachipiniltontli	sent͡ɬat͡ʃipiniːɬtoːnt͡ɬi
centlacolmetztli	sent͡ɬakoɬmeːt͡st͡ɬi
centzommayeh	sent͡somːaːjeʔ
centzontli	sent͡sont͡ɬi
ceppa	seppa
cexihuitl	seʃíwit͡ɬ
cexiuhamatl	seʃiʍaːmat͡ɬ
cexiuhtlahcuilolli	seʃiʍt͡ɬaʔkʷiloːlːi
chachapahtli	t͡ʃat͡ʃapaʔt͡ɬi
chachapahtontli	t͡ʃat͡ʃapaʔtoːnt͡ɬi
chalchihuitl	tʃaːɬtʃíwitɬ
chantli	tʃáːntɬi
chapoltepec	t͡ʃapoɬtépeːk
chichihualayotl	t͡ʃiːt͡ʃiːwalaːjoːt͡ɬ
chichiton	t͡ʃit͡ʃítoːn̥
chicome	t͡ʃikóːme
chicoppa	t͡ʃikoːppa
chicoxxihuitl	t͡ʃikoːʃːiwit͡ɬ
chicuace	t͡ʃikʷáse
chicuaceppa	t͡ʃikʷaseppa
chicuexpa	t͡ʃikʷeːʃpa
chicueyi	t͡ʃikʷeːji
chicueyilhuitl	t͡ʃikʷeːjiɬwit͡ɬ
chilatl	t͡ʃiːɬaːt͡ɬ
chilcacahuatl	t͡ʃiːɬkakawat͡ɬ
chilchomolli	t͡ʃiːɬt͡ʃomoːlːi
chilchotl	t͡ʃiːɬt͡ʃot͡ɬ
chilhuacmolli	t͡ʃiːɬwaːkmóːlːi
chilli	t͡ʃiːlːi
chilloh	t͡ʃiːlːoʔ
chilmolcaxitl	t͡ʃiːɬmoːɬkaʃit͡ɬ
chiltototl	t͡ʃiːɬtoːtoːt͡ɬ
chimalmichin	t͡ʃiːmaɬmit͡ʃin
chimalxochitl	tʃiːmaɬʃoːt͡ʃit͡ɬ
chinancalli	t͡ʃinaːŋkalːi
chipahuacatl	t͡ʃipaːwakaːt͡ɬ
chipelihuiztontli	t͡ʃipeliwistoːnt͡ɬi
chipolin	t͡ʃipolin
chiquiuhchihua	t͡ʃikiʍt͡ʃiːwa
chiquiuhchiuhqueh	tʃikiʍt͡ʃíːʍkeʔ
chiquiuhchiuhqui	tʃikiʍt͡ʃíːʍki
chiquiuhtontli	t͡ʃikiʍtoːnt͡ɬi
chiucnahui	t͡ʃikʷnáːwi
chiucnappa	t͡ʃikʷnaːppa
chiucnauhmictlan	t͡ʃikʷnaːʍmikt͡ɬaːn
chiucnauhtiyanquiztli	t͡ʃikʷnaːʍtijaːnkist͡ɬi
chiyamachiuhqueh	t͡ʃijamaːt͡ʃíːʍkeʔ
chiyamachiuhqui	t͡ʃijamaːt͡ʃíːʍki
chiyamatl	t͡ʃijamaːt͡ɬ
chiyan	t͡ʃijan
chiyancaca	t͡ʃijaŋkáka
choquizzoh	t͡ʃoːkisːoʔ
christiano	kiʃtijáːnoʔ
christiano	kiʃtáːnoʔ
christianosmeh	kiʃtijaːnóʃmeʔ
christianosmeh	kiʃtaːnóʃmeʔ
cicitlalloh	siːsit͡ɬaːlːoʔ
cihuah	síwaʔ
cihuahuah	siwáːwaʔ
cihuahuahqueh	siwaːwáʔkeʔ
cihuaichcatl	siwaːit͡ʃkat͡ɬ
cihuanehtotiliztli	siwaːneʔtoːtiːlíst͡ɬi
cihuaoquichtli	siwaːokit͡ʃt͡ɬi
cihuateopixqui	siwaːteoːpiʃki
cihuatepiton	siwaːtepitoːn
cihuatlacamichin	siwaːt͡ɬaːkamit͡ʃin
cihuatontli	siwaːtoːnt͡ɬi
cihuatotolixpopoyotl	siwaːtoːtoɬiːʃpopojoːt͡ɬ
cihyotl	siʔjoːt͡ɬ
cipactli	sipakt͡ɬi
citlalicue	sit͡ɬaːlíːkʷe
citlalin	sit͡ɬaːlin̥
citlalloh	sit͡ɬaːlːoʔ
citlaltepiton	sit͡ɬaːɬtepítoːn̥
citlalton	sit͡ɬáːɬtoːn̥
citlaltontli	sit͡ɬaːɬtoːnt͡ɬi
citlaltzintli	sit͡ɬaːɬt͡sint͡ɬi
coaehuatl	koːwaːeːwat͡ɬ
coaiztlactli	koːwaːist͡ɬakt͡ɬi
coatetl	koːaːtet͡ɬ
coatl	koːaːt͡ɬ
coatl	koːwaːt͡ɬ
coatl	kowaːt͡ɬ
coatlantli	koːwaːt͡ɬant͡ɬi
coatlicue	koːaːt͡ɬiːkʷe
cochihuaniton	kot͡ʃiːwanitoːn
cochomeh	kot͡ʃomeʔ
cocohtin	koːkoʔtin
cocohtli	koːkoʔt͡ɬi
cocohton	koːkoʔtoːn
cocolin	kokolin
coconeh	koːkóneʔ
coconeyotl	koːkoneːjoːt͡ɬ
cocoyameh	koːkojámeʔ
cocoyoh	koːkojoʔ
colelectli	kolelekt͡ɬi
colelehtin	koleleʔtin
colelehtli	koleleʔt͡ɬi
comaltlilli	komaːɬt͡ɬiːlːi
conetontli	koneːtoːnt͡ɬi
confites	kompiːteʃ
confites	kompiːtiʃ
copitl	kopit͡ɬ
cotaloliztli	kotaloːlist͡ɬi
coyamecalli	kojamekalːi
coyamechiyahuacayotl	kojamet͡ʃijaːwakaːjoːt͡ɬ
coyameconetl	kojamekoneːt͡ɬ
coyamemeh	kojamemeʔ
coyametepiton	kojametepitoːn
coyametl	kojamet͡ɬ
coyametontli	kojametoːnt͡ɬi
coyolacatl	kojoɬaːkat͡ɬ
coyopil	kojoːpiːɬ
coyotontli	kojoːtoːnt͡ɬi
cozamalotl	koːsamaːloːt͡ɬ
cozcacuauhtli	koːskakʷaːʍt͡ɬi
cuachcalli	kʷaːt͡ʃkalːi
cuachicpalli	kʷaːt͡ʃikpalːi
cuachihchil	kʷaːt͡ʃiʔt͡ʃiːɬ
cuahcuauhtlah	kʷaʔkʷawt͡ɬaʔ
cuahuitl	kʷáwit͡ɬ
cuammaitl	kʷammaːit͡ɬ
cuammimiltontli	kʷammimiɬtoːnt͡ɬi
cuammitl	kʷammiːt͡ɬ
cuappantontli	kʷappaːntoːnt͡ɬi
cuappatolli	kʷappatoːlːi
cuauhcalli	kʷaʍkalːi
cuauhcaltepiton	kʷaʍkaɬtepitoːn
cuauhcaltontli	kʷaʍkaɬtoːnt͡ɬi
cuauhchimal	kʷaʍt͡ʃiːmaɬ
cuauhchimalli	kʷaʍt͡ʃiːmalːi
cuauhcoconetl	kʷaʍkoːkoneːt͡ɬ
cuauhconetl	kʷaːʍkoneːt͡ɬ
cuauhehuatl	kʷaweːwat͡ɬ
cuauhhuatzalli	kʷaʍwaːt͡salːi
cuauhhuatzaltontli	kʷaʍwaːt͡saɬtoːnt͡ɬi
cuauhicpalli	kʷawikpalːi
cuauhitzcuintli	kʷawit͡skʷínt͡ɬi
cuauhizhuatl	kʷawiswat͡ɬ
cuauhnanacatl	kʷaʍnanakat͡ɬ
cuauhneuczayoltin	kʷaʍnekʷsaːjóːɬtin̥
cuauhocuilin	kʷaʍokʷilin
cuauhpatolli	kʷaʍpatoːlːi
cuauhtlah	kʷawt͡ɬaʔ
cuauhtli	kʷaːʍt͡ɬi
cuauhtontli	kʷaʍtoːnt͡ɬi
cueitl	kʷeːit͡ɬ
cuetzpalin	kʷet͡spalin
cueyamolli	kʷejamoːlːi
cuicaamatl	kʷiːkaáːmat͡ɬ
cuicanitototl	kʷiːkanitoːtoːt͡ɬ
cuicatl	kʷiːkat͡ɬ
cuichchoh	kʷitt͡ʃoʔ
cuicuicaniton	kʷiːkʷiːkanitoːn
cuicuitlayoh	kʷiːkʷit͡ɬajoʔ
cuilonyotl	kʷilonjoːt͡ɬ
cuitlacochin	kʷit͡ɬakót͡ʃin̥
cuitlayoh	kʷit͡ɬajoʔ
diezmo	tijeːsmoʔ
ehcamecatl	eʔkamekat͡ɬ
ehcapahcuauhtlah	eʔkapaʔkʷaʍt͡ɬaʔ
ehcapahtli	eʔkapaʔt͡ɬi
ehcaxoctli	eʔkaʃókt͡ɬi
ehecatl	eʔeːkat͡ɬ
ehecatle	eʔeːkat͡ɬé
ehecayoh	eʔeːkajoʔ
ehezzoh	eʔesːoʔ
ehuaamatl	eːwaaːmat͡ɬ
emillah	emiːlːaʔ
emilli	emiːlːi
emolli	emoːlːi
epahuaxmolli	epaːwaʃmoːlːi
epahuaxtli	epaːwaʃt͡ɬi
epazotl	epasoːt͡ɬ
eptli	ept͡ɬi
epyollohtli	epjoːlːoʔt͡ɬi
etextli	eteʃt͡ɬi
etiliztli	etilist͡ɬi
etl	et͡ɬ
etlah	et͡ɬaʔ
exotl	eʃoːt͡ɬ
eyi	éːji
eyi	jéːji
eyilhuitl	eːjiɬwit͡ɬ
he	é
hicox	íːkoʃ
hicoxcuahuitl	iːkoʃkʷáwit͡ɬ
hicoxcuauhtlah	iːkoʃkʷáʍt͡ɬaʔ
huauhquiltamalli	waʍkiɬtamalːi
huehueh	wéːweʔ
huehuehpil	weːweʔpiːɬ
huehuehpol	weːweʔpoːɬ
huehuenton	weːwentoːn
huehuentoton	weːwentotoːn
huehuetcatontli	weːwetkaːtoːnt͡ɬi
huehuetqueh	weːwéːtkeʔ
huehueyipol	weːweːjipoːɬ
huehxolomeh	weʔʃoːloːmeʔ
huehxolotl	weʔʃoːloːt͡ɬ
huentzintli	went͡sint͡ɬi
huexotlah	weʃoːt͡ɬaʔ
hueyatl	weːjaːt͡ɬ
hueyi	weːji
hueyicayotl	weːjikaːjoːt͡ɬ
huicoltepiton	wikoɬtepitoːn
huicoltontli	wikoɬtoːnt͡ɬi
huicoltzintli	wikoɬt͡sint͡ɬi
huilocalli	wiːloːkálːi
huiloconetl	wiːloːkoneːt͡ɬ
huilopiltontli	wiːloːpiɬtoːnt͡ɬi
huitzilopochtli	wiːt͡siloːpoːt͡ʃt͡ɬi
huitzitzilepyollohtli	wit͡sit͡silepjoːlːoʔt͡ɬi
ical	iːkaɬ
ichahuanan	iːt͡ʃaːwánaːn̥
ichan	íːt͡ʃaːn
ichcacalli	it͡ʃkakalːi
ichcaconetl	it͡ʃkakoneːt͡ɬ
ichcaehuatl	it͡ʃkaeːwat͡ɬ
ichcameh	it͡ʃkameʔ
ichcatilmahtli	it͡ʃkatiɬmaʔt͡ɬi
ichcatl	it͡ʃkat͡ɬ
ichil	íːt͡ʃiːɬ
ichimal	iːt͡ʃíːmaɬ
ichpochtli	it͡ʃpoːt͡ʃt͡ɬi
ichpochtontli	it͡ʃpoːt͡ʃtoːnt͡ɬi
ichpochtotolin	it͡ʃpoːt͡ʃtoːtolin
icihuahuahtzin	iːsiwaːwáʔt͡sin
icihuahuan	iːsiwáːwaːn
icihuauh	iːsíwaːʍ
icihuayo	iːsiwáːjo
icnocihuatl	iknoːsiwaːt͡ɬ
icnocihuayotl	iknoːsiwaːjoːt͡ɬ
icnooquichchotl	iknoːokitt͡ʃoːt͡ɬ
icnooquichtli	iknoːokit͡ʃt͡ɬi
icnopilcalli	iknoːpiɬkalːi
icnotlacah	iknoːt͡ɬaːkaʔ
icnotlacatl	iknoːt͡ɬaːkat͡ɬ
icnotlacayotl	iknoːt͡ɬaːkajoːt͡ɬ
icnotlacualli	iknoːt͡ɬakʷalːi
icnotlaquemitl	iknoːt͡ɬakeːmit͡ɬ
icoauh	iːkóːaːʍ
icoauh	iːkóːwaːʍ
iconeuh	iːkóneːʍ
icox	iːkoʃ
icoztica	iːkoːstíka
icpacxochitl	ikpakʃoːt͡ʃit͡ɬ
icpal	íːkpaɬ
icpalli	ikpalːi
icpatetl	ikpatet͡ɬ
icpatetontli	ikpatetoːnt͡ɬi
icpitl	ikpit͡ɬ
icualoca	iːkʷalóːka
icuauhyo	iːkʷáʍjo
icue	íːkʷe
icuic	íːkʷiːk
icuitl	íːkʷit͡ɬ
iglesia	ileːsíjaʔ
ihciuh	iʔsiʍ
ihuallaliz	iːwaːlːáːlis
ihuauhquiltamal	iːwaʍkiɬtámaɬ
ilama	ilama
ilamatcatontli	ilamatkaːtoːnt͡ɬi
ilamaton	ilamatoːn
ilhuicaamaitl	iɬwikaaːmaːit͡ɬ
ilhuicaatentli	iɬwikaaːteːnt͡ɬi
ilhuicaatl	iɬwikaaːt͡ɬ
ilhuicaaxalli	iɬwikaaːʃaːlːi
ilhuicatl	iɬwikat͡ɬ
ilhuitlapohualamoxtli	iɬwit͡ɬapoːwalaːmoʃt͡ɬi
imacal	iːmáːkaɬ
imachcocol	iːmaːt͡ʃkóːkoːɬ
imachcocolhuan	iːmaːt͡ʃkoːkóːɬwaːn
imachiyo	iːmat͡ʃíjo
imamox	iːmáːmoʃ
imazahuan	iːmasáːwaːn
imeuh	íːmeʍ
imezzo	iːmésːo
imichhuan	iːmít͡ʃwaːn
imilpan	iːmíːɬpan̥
imiquiz	iːmíkis
immazahuan	iːmːasáːwaːn
immeuh	iːmːeʍ
immiccahuan	iːmːikáːwaːn
immichhuan	iːmːít͡ʃwaːn
immilpan	iːmːíːɬpan̥
immiquiz	iːmːíkis
imoc	íːmok
inacayo	iːnákajo
inahuatlahtol	iːnaːwat͡ɬáʔtoːɬ
inamox	iːnáːmoʃ
inan	iːnaːn
inantzin	iːnáːnt͡sin̥
incal	íːŋkaɬ
inchan	íːnt͡ʃaːn
inchihchimal	iːnt͡ʃiʔt͡ʃíːmaɬ
inchil	íːnt͡ʃiːɬ
inchimal	iːnt͡ʃíːmaɬ
incocohuan	iːŋkokówaːn
incuitl	íːŋkʷit͡ɬ
inix	íːniːʃ
innacayo	iːnːakájo
innahuan	iːnːáːwaːn
innahuatlahtol	iːnːaːwat͡ɬáʔtoːɬ
innan	íːnːaːn
innoch	íːnːoːt͡ʃ
intah	íːntaʔ
intecon	iːntékon
inteohuan	iːnteóːwaːn
inteopixcauh	iːnteoːpíʃkaːʍ
inteouh	íːnteʍ
intiyanquiz	iːntijáːŋkis
intlacahuan	iːnt͡ɬaːkáwaːn
intlacauh	iːnt͡ɬáːkaʍ
intlahtol	iːnt͡ɬáʔtoːɬ
ioc	íːjok
ipillohuan	iːpilːóːwaːn
ipiltzin	iːpíɬt͡sin̥
ipuñalton	iːponáːɬtoːn
iquillo	ikílːo
itecon	iːtékon
itecuiyo	iːteːkʷíjo
itehuilotca	iːtewilótka
iteohuan	iːteóːwaːn
iteouh	íːteʍ
itezcauh	iːtéskaʍ
ithualli	itwálːi
itiyanquiz	iːtijáːŋkis
itlacahuan	iːt͡ɬaːkáwaːn
itlacauh	iːt͡ɬáːkaʍ
itlacoyo	iːt͡ɬakóːjo
itlahtohcayohuan	iːt͡ɬaʔtoʔkaːjóːwaːn
itlahtol	iːt͡ɬáʔtoːɬ
itzcuinconetl	it͡skʷiŋkoneːt͡ɬ
itzcuintin	it͡skʷintin
itzcuintli	it͡skʷint͡ɬi
iuctontli	ikʷtoːnt͡ɬi
ixachi	iʃat͡ʃi
ixachin	iʃat͡ʃin
ixachintin	iʃat͡ʃintin
ixachipol	iʃat͡ʃipoːɬ
ixayoyoh	iːʃaːjoːjoʔ
ixtelolohtontli	iːʃteloloʔtoːnt͡ɬi
iyaayo	iːjaːáːjo
iyacal	iːjáːkaɬ
iyachcocol	iːjaːt͡ʃkóːkoːɬ
iyachcocolhuan	iːjaːt͡ʃkoːkóːɬwaːn
iyahciyan	iːjaʔsíjaːn
iyahuitl	ijawit͡ɬ
iyamox	iːjáːmoʃ
iyauh	íːjaːʍ
iyauhtlaolli	ijaʍt͡ɬaoːlːi
iyehuayo	iːjeːwájo
iyeliz	iːjelis
iyelli	ijelːi
iyix	íːjiːʃ
iyiztaca	iːjistáːka
iyocuillo	iːjokʷílːo
iyoquichcho	iːjokítt͡ʃo
izquiztepiton	iskistepitoːn
izquiztli	iskist͡ɬi
iztaayotl	istaaːjoːt͡ɬ
iztacayotl	istaːkaːjoːt͡ɬ
iztaccuauhtli	istaːkkʷaːʍt͡ɬi
iztaxalli	istaʃaːlːi
iztlacatlahcuiloh	ist͡ɬakat͡ɬaʔkʷíloʔ
iztlacatlahcuilohqueh	ist͡ɬakat͡ɬaʔkʷilóʔkeʔ
macal	máːkaɬ
machcocol	maːt͡ʃkóːkoːɬ
machcocolhuan	maːt͡ʃkoːkóːɬwaːn
machiyotl	mat͡ʃíjoːt͡ɬ
macpalcomolli	maːkpaɬkomoːlːi
macpalli	maːkpalːi
macpalyollohtli	maːkpaɬjoːlːoʔt͡ɬi
macuilli	maːkʷiːlːi
macuilpa	maːkʷiːɬpa
macuilpohualli	maːkʷiːɬpoːwalːi
macuiltiyanquiztli	maːkʷiːɬtijaːŋkist͡ɬi
mahomacalli	maoːmaʔkalːi
mahpiltontli	maʔpiɬtoːnt͡ɬi
mahtlacpa	maʔt͡ɬaːkpa
mahtlacpohualli	maʔt͡ɬaːkpoːwalːi
mahtlacpohualpa	maʔt͡ɬaːkpoːwaɬpa
mahtlactli	maʔt͡ɬaːkt͡ɬi
malina	maliːna
malinalli	maliːnálːi
mamox	máːmoʃ
mantelex	mantéːleʃ
mantelexton	manteːléʃtoːn̥
maololli	maːolóːlːi
maquechtli	maːket͡ʃt͡ɬi
matepiton	maːtepitoːn
matepoztlaximaloniton	maːtepost͡ɬaxiːmaloːnitoːn
matepoztli	maːtepost͡ɬi
matepoztontli	maːtepostoːnt͡ɬi
matlatepiton	maːt͡ɬatepitoːn
matlatontli	maːt͡ɬatoːnt͡ɬi
matontli	maːtoːnt͡ɬi
matzahoctli	mat͡saʔókt͡ɬi
mauh	máːʍ
mayehuatl	maːjeːwat͡ɬ
mazaatemitl	masaːatémit͡ɬ
mazacalli	masaːkalːi
mazacocoliztli	masaːkokolist͡ɬi
mazacocolizzoh	masaːkokolisːoʔ
mazaconetl	masaːkoneːt͡ɬ
mazaehuatl	masaːeːwat͡ɬ
mazamolli	masaːmoːlːi
mazanacatl	masaːnakat͡ɬ
mazatl	masaːt͡ɬ
mazatlacualli	masaːt͡ɬakʷalːi
mazaxococuahuitl	masaːʃokokʷáwit͡ɬ
mazaxocotl	masaːʃókot͡ɬ
mazayotl	masaːjoːt͡ɬ
mehuayo	meːwájo
meneuctli	menekʷt͡ɬi
mequiyotl	mekíjoːt͡ɬ
metztona	meːt͡stoːna
metztonalli	meːt͡stoːnalːi
metztonallotl	meːt͡stoːnalːoːt͡ɬ
metztontli	meːt͡stoːnt͡ɬi
metztontli	met͡stoːnt͡ɬi
mexcalli	meʃkalːi
mexihco	meːʃíʔko
mexihcopa	meːʃiʔkopa
mexihcopahuic	meːʃiʔkopawiːk
meyollohtli	mejoːlːóʔt͡ɬi
miccapetlacalli	mikkaːpet͡ɬaːkalːi
miccatetl	mikkaːtet͡ɬ
miccazayolin	mik̚kaːsaːjóːlin̥
michacaxitl	mit͡ʃaːkáʃit͡ɬ
michahhuatl	mit͡ʃaʔwat͡ɬ
michahxiliztli	mit͡ʃaʔʃilíst͡ɬi
michamanalli	mit͡ʃaːmanalːi
michcoyolli	mit͡ʃkojolːi
michehuatl	mit͡ʃeːwat͡ɬ
michin	mit͡ʃin
michinix	mit͡ʃiniʃ
michmaliztli	mit͡ʃmalíst͡ɬi
michmatlatl	mit͡ʃmaːt͡ɬat͡ɬ
michmolli	mit͡ʃmoːlːi
michnamacacan	mit͡ʃnaːmakakaːn
michomitl	mit͡ʃomit͡ɬ
michtetl	mit͡ʃtet͡ɬ
michtlaoyoh	mit͡ʃt͡ɬaoːjoʔ
micqui	mík̚ki
mictlan	mikt͡ɬaːn
mictlancayotl	mikt͡ɬaːŋkaːjoːt͡ɬ
mictlanteuctli	mikt͡ɬaːnteːkʷt͡ɬi
mihtotihqui	miʔtoːtiʔki
millahtlacah	miːlːaʔt͡ɬáːkaʔ
millahtlacatl	miːlːaʔt͡ɬáːkat͡ɬ
milpan	míːɬpan̥
milpanecah	miːɬpanéːkaʔ
milpanecatl	miːɬpanéːkat͡ɬ
miltepiton	miːɬtepitoːn
miltontli	miːɬtoːnt͡ɬi
mimichtin	miːmit͡ʃtin
mimiyahuameh	miːmijaːwámeʔ
miquiztlacualli	mikist͡ɬakʷalːi
miquiztli	mikist͡ɬi
mix	míːʃ
mixxincayotl	miʃːiːŋkaːjoːt͡ɬ
mixxoh	miʃːoʔ
mixxonehuatl	miʃːoneːwat͡ɬ
miyahuatl	mijaːwat͡ɬ
miyahuatototl	mijaːwatoːtoːt͡ɬ
miyequintin	mijekíntin
mizton	mistoːn
miztontli	mistoːnt͡ɬi
mocal	mokaɬ
mochahuanan	mot͡ʃaːwánaːn̥
mochan	mót͡ʃaːn
mochil	mót͡ʃiːɬ
mochimal	mot͡ʃíːmaɬ
mocih	mósiʔ
mocihuahuan	mosiwáːwaːn
mocihuauh	mosíwaːʍ
