abak	áː b a k
cimet	t͡s íː m ɛ t
cink	t͡s íː n k
ciper	t͡s ìː p ə r
cirilica	t͡s i r íː l i t͡s a
cirkonij	t͡s i r k òː n i j
citre	t͡s íː t r ɛ
cokla	t͡s óː k l a
cona	t͡s óː n a
crkljati	t͡s ə r k l j àː t i
cula	t͡s ùː l a
cvek	t͡s ʋ ɛ́ k
cvesti	t͡s ʋ ə s t í
cvesti	t͡s ʋ ə̀ s t i
cvesti	t͡s ʋ ɛ̀ː s t i
cvet	t͡s ʋ éː t
cveten	t͡s ʋ éː t ə n
cvetje	t͡s ʋ èː t j ɛ
cviliti	t͡s ʋ ìː l i t i
cvreti	t͡s ʋ r èː t i
cvrček	t͡s ʋ ə́ r t͡ʃ ə k
da	d á
dajalec	d a j áː l ə t͡s
dajalnik	d a j áː l n i k
dajati	d a j àː t i
dalek	d áː l ɛ k
daleč	d àː l ɛ t͡ʃ
dalija	d àː l i j a
dalj	d á l
daljšati	d áː l ʃ a t i
daljši	d áː l ʃ i
dama	d àː m a
damask	d a m áː s k
damjak	d áː m j a k
dan	d àː n
dan	d áː n
dandanes	d áː n d àː n ə s
danec	d áː n ə t͡s
danes	d àː n ə s
danka	d áː n k a
danska	d áː n s k a
danski	d áː n s k i
dansko	d áː n s k ɔ
danščina	d áː n ʃ t͡ʃ i n a
dar	d áː r
darilo	d a r ìː l ɔ
darovati	d a r ɔ ʋ àː t i
datelj	d àː t ə l
dati	d àː t i
dativ	d áː t i ʋ
datum	d àː t u m
datum	d áː t u m
davek	d àː ʋ ə k
debel	d ɛ̀ː b ɛ ʋ
debelejši	d ɛ b ɛ l ɛ́ː j ʃ i
deber	d èː b ə r
deber	d éː b ə r
deber	d ə b ə́ r
deblo	d ɛ̀ː b l ɔ
december	d ɛ t͡s ɛ̀ː m b ə r
ded	d éː t
ded	d ɛ́ t
dedovati	d èː d ɔ ʋ a t i
dedovati	d éː d ɔ ʋ a t i
dedovati	d ɛ d ɔ ʋ àː t i
dejanje	d ɛ j áː n j ɛ
dejati	d ɛ j àː t i
dejaven	d ɛ j àː ʋ ə n
dejaven	d ɛ j áː ʋ ə n
dejavnejši	d ɛ j àː ʋ n ɛ j ʃ i
dejavnejši	d ɛ j áː ʋ n ɛ j ʃ i
dejavnost	d ɛ j àː ʋ n ɔ s t
dejavnost	d ɛ j áː ʋ n ɔ s t
dekle	d ɛ k l ɛ́
del	d èː l
del	d èː ʋ
del	d éː l
del	d éː ʋ
delati	d èː l a t i
delavec	d èː l a ʋ ə t͡s
deležnik	d ɛ l éː ʒ n i k
delfin	d ɛ l f íː n
delo	d èː l ɔ
demiurg	d ɛ m i j úː r k
demokracija	d ɛ m ɔ k r a t͡s íː j a
denar	d ɛ n àː r
denarnica	d ɛ n áː r n i t͡s a
dendrokronologija	d ɛ n d r ɔ k r ɔ n ɔ l ɔ ɡ ìː j a
depresija	d ɛ p r ɛ s íː j a
deset	d ɛ s éː t
desetarka	d ɛ s ɛ t àː r k a
desetletje	d ɛ s ɛ t l éː t j ɛ
desetnica	d ɛ s éː t n i t͡s a
deska	d ə s k á
deska	d ə̀ s k a
detel	d èː t ə l
deti	d èː t i
deva	d éː ʋ a
deverbativen	d ɛ ʋ ɛ r b a t íː ʋ ə n
devet	d ɛ ʋ éː t
devetdeset	d ɛ ʋ éː d d ɛ s ɛ t
devetnajst	d ɛ ʋ éː t n a j s t
devetnajst	d ɛ ʋ ɛ t n àː j s t
devica	d ɛ ʋ ìː t͡s a
deček	d éː t͡ʃ ə k
dež	d ə́ ʃ
dežela	d ɛ ʒ ɛ̀ː l a
deževati	d ə ʒ ɛ ʋ àː t i
dežnik	d ə ʒ n ìː k
diamant	d i j a m àː n t
diamant	d i j a m áː n t
diamanten	d i a m áː n t ə n
dihati	d ìː x a t i
dihur	d i x ùː r
dihur	d i x úː r
dijak	d i j àː k
dim	d í m
dimlje	d ìː m l j ɛ
dimlje	d íː m l j ɛ
dimnik	d íː m n i k
dinozaver	d i n ɔ z àː ʋ ə r
dirigent	d i r i ɡ ɛ́ n t
dirka	d íː r k a
diskriminacija	d i s k r i m i n àː t͡s i j a
disprozij	d i s p r òː z i j
diti	d ìː t i
divizija	d i ʋ i z íː j a
divjak	d ìː ʋ j a k
divji	d ìː ʋ j i
dlaka	d l àː k a
dlan	d l áː n
dleto	d l èː t ɔ
dnevnik	d n éː ʋ n i k
dno	d n ɔ́
dob	d óː p
doba	d ɔ̀ː b a
dober	d òː b ə r
dobiti	d ɔ b ìː t i
dobiti	d ɔ b íː t i
dobro	d ɔ̀ː b r ɔ
dobrodošel	d ɔ b r ɔ d ɔ̀ː ʃ ə ʋ
dogajati	d ɔ ɡ àː j a t i
dogajati	d ɔ ɡ áː j a t i
dogodek	d ɔ ɡ óː d ə k
dogovor	d ɔ ɡ ɔ́ː ʋ ɔ r
dojenček	d ɔ j ɛ̀ː n t͡ʃ ə k
dojilja	d ɔ j ìː l j a
dokler	d óː k l ɛ r
dokler	d ɔ k l ɛ́ r
dokler	d ɔ́ k l ɛ r
dol	d óː ʋ
dol	d ɔ̀ː l
dol	d ɔ́ː ʋ
dolg	d ɔ́ː ʋ k
dolgovaloven	d ɔ ʋ ɡ ɔ ʋ a l ɔ́ː ʋ ə n
dolgočasen	d ɔ ʋ ɡ ɔ t͡ʃ àː s ə n
dolgočasnejši	d ɔ l ɡ ɔ t͡ʃ àː s n ɛ j ʃ i
dolina	d ɔ l ìː n a
dolžina	d ɔ ʋ ʒ ìː n a
dom	d óː m
doma	d ɔ m áː
domišljija	d ɔ m i ʃ l j íː j a
domov	d ɔ m ɔ̀ː ʋ
domov	d ɔ m ɔ́ː ʋ
domovina	d ɔ m ɔ ʋ ìː n a
donava	d óː n a ʋ a
dopoldan	d ɔ p ɔ́ː ʋ d a n
dotakniti	d ɔ t a k n ìː t i
dotakniti	d ɔ t a k n íː t i
dotakniti	d ɔ t àː k n i t i
dovolj	d ɔ ʋ ɔ́ l
dovoljenje	d ɔ ʋ ɔ l j ɛ̀ː n j ɛ
dovršen	d ɔ ʋ ə́ r ʃ ə n
doživeti	d ɔ ʒ i ʋ èː t i
drag	d r áː k
drago	d r áː ɡ ɔ
dragulj	d r a ɡ ùː l
dragulj	d r a ɡ úː l
dražji	d r áː ʒ j i
drek	d r ɛ́ k
dren	d r ɛ́ n
dreti	d r èː t i
drevo	d r ɛ ʋ óː
drka	d ə́ r k a
drkaj	d ə́ r k a j
drkajmo	d ə́ r k a j m ɔ
drkajo	d ə́ r k a j ɔ
drkajta	d ə́ r k a j t a
drkajte	d ə́ r k a j t ɛ
drkajva	d ə́ r k a j ʋ a
drkam	d ə́ r k a m
drkamo	d ə́ r k a m ɔ
drkanje	d ə́ r k a n j ɛ
drkata	d ə́ r k a t a
drkate	d ə́ r k a t ɛ
drkati	d ə́ r k a t i
drkava	d ə́ r k a ʋ a
drkaš	d ə́ r k a ʃ
droben	d r ɔ̀ː b ə n
drobiž	d r ɔ b ìː ʃ
drobnjak	d r ɔ b n j àː k
drog	d r óː k
dromedar	d r ɔ m ɛ d àː r
dromlja	d r óː m l j a
drozd	d r óː s t
drozg	d r óː s k
drseti	d ə r s èː t i
drug	d r úː k
drugi	d r ùː ɡ i
drugi	d r úː ɡ i
drugoten	d r u ɡ ɔ̀ː t ə n
družba	d r úː ʒ b a
družina	d r u ʒ ìː n a
drva	d ə r ʋ á
drva	d ə̀ r ʋ a
država	d ə r ʒ áː ʋ a
ducat	d ùː t͡s a t
ducat	d úː t͡s a t
duda	d ùː d a
duda	d úː d a
dude	d ùː d ɛ
dude	d úː d ɛ
duh	d úː x
dunaj	d ùː n a j
dunajski	d ùː n a j s k i
duša	d ùː ʃ a
dušik	d u ʃ íː k
dva	d ʋ áː
dvajset	d ʋ áː j s ɛ t
dvanajst	d ʋ a n áː j s t
dve	d ʋ éː
dvigniti	d ʋ ìː ɡ n i t i
dvojina	d ʋ ɔ j ìː n a
dvojka	d ʋ óː j k a
dvojček	d ʋ òː j t͡ʃ ə k
dvojček	d ʋ óː j t͡ʃ ə k
dvom	d ʋ óː m
dvom	d ʋ ɔ́ m
dvomiti	d ʋ òː m i t i
dvomiti	d ʋ óː m i t i
dvomiti	d ʋ ɔ m ìː t i
dvomiti	d ʋ ɔ m íː t i
dvopičje	d ʋ óː p íː t͡ʃ j ɛ
dvovidski	d ʋ óː ʋ íː t s k i
dvoživka	d ʋ ɔ ʒ íː ʋ k a
džamija	d͡ʒ àː m i j a
džez	d͡ʒ éː s
džihad	d͡ʒ i x áː t
džihad	d͡ʒ íː x a t
džungla	d͡ʒ úː n ɡ l a
eden	ɛ̀ː d ə n
ednina	ɛ d n ìː n a
edvard	éː d ʋ a r t
egipt	ɛ ɡ íː p t
ejakulacija	ɛ j a k u l àː t͡s i j a
ekologija	ɛ k ɔ l ɔ ɡ íː j a
ekonomija	ɛ k ɔ n ɔ m íː j a
ekonomist	ɛ k ɔ n ɔ m íː s t
ekosistem	éː k ɔ s i s t éː m
eksodus	éː k s ɔ d u s
elektromagnetski	ɛ l éː k t r ɔ m a ɡ n éː t s k i
elektron	ɛ l éː k t r ɔ n
elektron	ɛ l ɛ k t r òː n
en	ɛ́ n
ena	ɛ̀ː n a
enaindvajset	ɛ̀ː n a i n d ʋ áː j s ɛ t
enaindvajset	ɛ́ː n a i n d ʋ áː j s ɛ t
enajst	ɛ n àː j s t
enakonočje	ɛ n a k ɔ n óː t͡ʃ j ɛ
enačaj	ɛ n a t͡ʃ áː j
enačba	ɛ n áː d͡ʒ b a
energija	ɛ n ɛ r ɡ íː j a
enkrat	ɛ n k r á t
enkrat	ɛ̀ː n k r a t
enota	ɛ n ɔ̀ː t a
entomologija	ɛ n t ɔ m ɔ l ɔ ɡ íː j a
epicenter	ɛ p i t͡s èː n t ə r
epicenter	ɛ p i t͡s éː n t ə r
epicenter	ɛ p i t͡s ɛ̀ː n t ə r
epicenter	ɛ p i t͡s ɛ́ː n t ə r
epir	ɛ p íː r
epistemologija	ɛ p i s t ɛ m ɔ l ɔ ɡ ìː j a
erbij	ɛ̀ː r b i j
erekcija	ɛ r èː k t͡s i j a
erik	ɛ́ː r i k
eritreja	ɛ r i t r ɛ́ː j a
erotičen	ɛ r òː t i t͡ʃ ə n
eržen	ɛ r ʒ éː n
esej	ɛ s ɛ́ː j
estonec	ɛ s t óː n ə t͡s
estonija	ɛ s t òː n i j a
estonka	ɛ s t óː n k a
estonski	ɛ s t óː n s k i
estonsko	ɛ s t óː n s k ɔ
estonščina	ɛ s t óː n ʃ t͡ʃ i n a
etimologija	ɛ t i m ɔ l ɔ ɡ íː j a
etiopija	ɛ t i j òː p i j a
evo	éː ʋ ɔ
evo	ɛ́ ʋ ɔ
evropa	ɛ ʋ r óː p a
evropij	ɛ ʋ r òː p i j
fagot	f a ɡ óː t
fakulteta	f a k u l t éː t a
falzet	f a l z éː t
fant	f á n t
fazan	f a z áː n
februar	f éː b r u a r
felicijan	f ɛ l i t͡s i j áː n
feniks	f éː n i k s
fermij	f ɛ̀ː r m i j
figa	f ìː ɡ a
file	f i l éː
filipini	f i l i p íː n i
filozof	f i l ɔ z óː f
fin	f íː n
finec	f íː n ə t͡s
finka	f íː n k a
finska	f íː n s k a
finski	f íː n s k i
finsko	f íː n s k ɔ
finščina	f íː n ʃ t͡ʃ i n a
fizika	f ìː z i k a
fižol	f i ʒ ɔ́ ʋ
flavta	f l áː ʋ t a
fluor	f l úː ɔ r
fonetika	f ɔ n èː t i k a
fosfor	f óː s f ɔ r
fotograf	f ɔ t ɔ ɡ r áː f
fotografija	f ɔ t ɔ ɡ r a f íː j a
franc	f r á n t͡s
francij	f r àː n t͡s i j
francija	f r àː n t͡s i j a
francoski	f r a n t͡s óː s k i
francosko	f r a n t͡s óː s k ɔ
francoz	f r a n t͡s óː s
francozinja	f r a n t͡s óː z i n j a
francoščina	f r a n t͡s óː ʃ t͡ʃ i n a
frekvenca	f r ɛ k ʋ éː n t͡s a
friz	f r íː s
fukajoč	f u k a j òː t͡ʃ
fukajoč	f u k a j óː t͡ʃ
fukati	f úː k a t i
funt	f úː n t
gadolinij	ɡ a d ɔ l ìː n i j
galeb	ɡ a l éː p
galicija	ɡ a l ìː t͡s i j a
galij	ɡ àː l i j
gambija	ɡ àː m b i j a
gams	ɡ àː m s
gams	ɡ á m s
gana	ɡ áː n a
gaziti	ɡ àː z i t i
gejzir	ɡ ɛ j z ìː r
gejzir	ɡ ɛ j z íː r
general	ɡ ɛ n ɛ r áː l
genij	ɡ èː n i j
genitiv	ɡ éː n i t i ʋ
genocid	ɡ ɛ n ɔ t͡s íː t
geodezija	ɡ ɛ ɔ d ɛ z íː j a
geografija	ɡ ɛ ɔ ɡ r a f íː j a
geologija	ɡ ɛ ɔ l ɔ ɡ íː j a
gepard	ɡ éː p a r t
germanij	ɡ ɛ r m àː n i j
geslo	ɡ ɛ̀ː s l ɔ
gibanje	ɡ ìː b a n j ɛ
gimnazija	ɡ i m n àː z i j a
gladilka	ɡ l a d íː l k a
glagol	ɡ l àː ɡ ɔ l
glagolica	ɡ l a ɡ óː l i t͡s a
glagolnik	ɡ l àː ɡ ɔ l n i k
glagolski	ɡ l àː ɡ ɔ l s k i
glas	ɡ l áː s
glasba	ɡ l áː z b a
glasben	ɡ l áː z b ɛ n
glasbenik	ɡ l áː z b ɛ n i k
glasen	ɡ l àː s ə n
glasnejši	ɡ l a s n ɛ́ː j ʃ i
glasoslovje	ɡ l a s ɔ s l ɔ́ː ʋ j ɛ
glava	ɡ l àː ʋ a
glaven	ɡ l àː ʋ ə n
glaven	ɡ l áː ʋ ə n
glavnik	ɡ l a ʋ n ìː k
gledati	ɡ l èː d a t i
gleženj	ɡ l èː ʒ ə n
glina	ɡ l ìː n a
globlji	ɡ l óː b l j i
globok	ɡ l ɔ b ɔ́ k
