আ	a
শক্ত	ʃ ɔ k t̪ ɔ
হাতি	ɦ ɑ t̪ i
অঙ্গ	ɔ ŋ ɡ o
হাসা	ɦ ɑ ʃ ɑ
আমার	ɑː m ɑ ɹ
ঠাঁই	ʈʰ ã i
ওদের	ɔː ð ɛ ɹ
আব্বা	a b b a
আব্বু	a b b u
আদালত	a d̪ a l ɔ t̪
আফসোস	a f s o s
আফসোস	a pʰ ʃ o ʃ
আণ্ডা	a ɳ ɖ a
আংশিক	a ŋ ʃ i k
বাজার	b a d ʒ a ɾ
বাঁদর	b a d̪ ɔ ɹ
বাঁদর	b a d̪ ɔ ɾ
বালিশ	b a l i ʃ
বাজার	b a z a ɾ
বাগান	b a ɡ a n
বাহির	b a ɦ i ɾ
বেকুব	b e k u b
বিবাদ	b i b ɑ d̪
বিভাগ	b i b ʱ ɑ ɡ
বিদেশ	b i d̪ e ʃ
বিভাগ	b i v ɑ ɡ
বোরকা	b o ɹ k ɑ
বোরকা	b o ɾ k ɑ
ভালুক	b ʱ a l u k
ভেড়া	b ʱ e ɽ ɑ
বন্যা	b ɔ nː æ
বস্তু	b ɔ s t̪ u
জিনিস	d ʒ i n i ʃ
যুবতী	d ʒ u b ɔ t̪ i
জন্যে	d ʒ ɔ nː æ
দাখিল	d̪ a kʰ i l
দুপুর	d̪ u p u ɾ
দপ্তর	d̪ ɔ p t̪ o ɾ
দ্রুত	d̪ ɾ ʊ t̪ o
এভাবে	e b ʱ a b e
এলাকা	e l a k a
এভাবে	e v a b e
ফারাক	f a r a k
ফড়িং	f ɔ ɹ i ŋ
হ্যাঁ	h æ̃ː
ইজ্জত	i d ʒ d ʒ o t̪
ইজ্জত	i z z o t̪
কামুক	k a m u k
কাপড়	k a p ɔ ɹ
কাপড়	k a p ɔ ɽ
কিনার	k i n a r
কিংবা	k i ŋ b ɑ
কবুতর	k o b u t̪ ɔ r
কুকুর	k u k u ɾ
কয়েদ	k ɔ e̯ e d̪
কন্ডম	k ɔ n ɖ ɔ m
খাতির	kʰ a t̪ i ɾ
খারাপ	kʰ a ɾ a p
খোঁজা	kʰ o d z a
খোঁজা	kʰ o d ʒ a
খোঁজা	kʰ o z a
খরগোশ	kʰ ɔ r ɡ o ʃ
মানুষ	m a n u ʃ
মেজাজ	m e d ʒ a d ʒ
মেয়ে	m e e
মৌসুম	m o u ʃ u m
মৌচাক	m o u̯ t ʃ a k
মুরগি	m u r ɡ i
মুরগী	m u r ɡ i
ময়ূর	m ɔ j u ɹ
ময়ূর	m ɔ j u ɽ
ময়ূর	m ɔ j u ɾ
নাদান	n a d̪ a n
নামাজ	n a m a z
নারাজ	n a r a d ʒ
নারাজ	n a r a z
প্লিজ	p l i z
প্লীজ	p l i z
পুটকি	p u ʈ k i
পক্ষে	p ɔ kːʰ e
পর্বত	p ɔ r b ɔ t
পছন্দ	p ɔ s o n d̪ o
পছন্দ	p ɔ t ʃʰ o n d̪ o
পেঁচা	p ɛ̃ t ʃ a
ফ্লপি	pʰ l ɔ p i
ফড়িং	pʰ ɔ ɽ i ŋ
সালাম	s a l a m
স্নেহ	s n e ɦ o
স্রেফ	s ɾ e f
চর্বি	t ʃ o r b i
ছাত্র	t ʃʰ a t̪ ɾ o
তাকান	t̪ a k a n̪ o
তালাশ	t̪ a l a ʃ
তারিফ	t̪ a ɾ i f
তুফান	t̪ u f a n
তাঁরা	t̪ ã r a
তড়িৎ	t̪ ɔ ɽ i t̪
চেয়ে	t͡ʃ e j e
উল্কি	u l k i
ভালুক	v a l u k
ভালভা	v a l v a
ভেড়া	v e ɽ ɑ
সাবান	ʃ a b a n
শাবাশ	ʃ a b a ʃ
সাবাশ	ʃ a b a ʃ
সাবাস	ʃ a b a ʃ
গাঁজা	ɡ a d z a
গাঁজা	ɡ a d ʒ a
শালগম	ʃ a l ɡ ɔ m
হামলা	ɦ a m l a
শামুক	ʃ a m u k
গাঁজা	ɡ a n d z a
গাঁজা	ɡ a n d ʒ a
হাঁটা	ɦ a ʈ a
গাড়ি	ɡ a ɽ i
গাড়ী	ɡ a ɽ i
হাঁটু	ɦ a ʈ u
শিকার	ʃ i k a r
ডিলডো	ɖ i l ɖ o
হিসাব	ɦ i ʃ a b
হিংসা	ɦ i ŋ ʃ a
গ্লাস	ɡ l a s
গ্লাস	ɡ l a ʃ
অঞ্চল	ɔ n t ʃ ɔ l
অনুভব	ɔ n u b ʱ ɔ b
অনুভব	ɔ n u v ɔ b
গোস্ত	ɡ o s t̪ o
ঘুড়ি	ɡ u ɽ i
গাঁজা	ɡ ã d ʒ a
গাঁজা	ɡ ã n d ʒ a
হাঁটু	ɦ ã ʈ u
গণিকা	ɡ ɔ n i k a
ঘোড়া	ɡ ʱ o ɽ a
হতাশা	ɦ ɔ t̪ ɑ ʃ ɑ
ঘুড়ি	ɡ ʱ u ɽ i
সংবাদ	ʃ ɔ ŋ b ɑ d̪
গরিলা	ɡ ɔ ɹ i l a
গরিলা	ɡ ɔ ɾ i l a
সরকার	ʃ ɔ ɾ k a ɾ
সঙ্গে	ʃ ɔ ŋ ɡ e
হঠাত্	ɦ ɔ ʈʰ a t̪
ঠাঁঁই	ʈʰ ã i
আন্দাজ	a n d̪ a z
আওয়াজ	a w a d ʒ
বাদুড়	b a d̪ u ɹ
বাদুড়	b a d̪ u ɽ
বাদশাহ	b a d̪ ʃ a ɦ
বাঙালি	b a ŋ a l i
বাগিচা	b a ɡ i t ʃ a
বিদেশি	b i d̪ e ʃ i
বিদেশী	b i d̪ e ʃ i
বিন্দু	b i n d̪ u
বিশ্রী	b i s ɾ i
বিসর্গ	b i ʃ o r ɡ o
জায়গা	d ʒ a e̯ ɡ a
দাউদাউ	d̪ a u̯ d̪ a u̯
দরিয়া	d̪ o r i j a
দোতারা	d̪ o t̪ a ɾ a
ধুতুরা	d̪ ʱ u t̪ u ɽ ɑ
ধুতুরা	d̪ ʱ u t̪ u ɾ ɑ
ফায়দা	f a j d̪ a
ইংরেজি	i ŋ ɽ e d z i
ইংরেজি	i ŋ ɾ e d ʒ i
ইংরেজি	i ŋ ɽ e z i
কারিগর	k a r i ɡ ɔ r
কাঁঠাল	k a ʈʰ a l
কীভাবে	k i b a b e
কিভাবে	k i b ʱ a b e
কীভাবে	k i b ʱ a b e
কিন্তু	k i n t̪ u
কিচ্ছা	k i t ʃ t ʃʰ a
কিভাবে	k i v a b e
কিশমিশ	k i ʃ m i ʃ
কুস্তি	k u s t̪ i
কুত্তা	k u t̪ː a
খাওয়া	kʰ a ʊ ɑː
খেয়াল	kʰ e a l
মৌসুমি	m o u ʃ u m i
ময়ূরী	m ɔ j u ɹ i
ময়ূরী	m ɔ j u ɽ i
ময়ূরী	m ɔ j u ɾ i
নামহীন	n a m ɦ i n
নাঙ্গা	n a ŋ a
নাঙ্গা	n a ŋ ɡ a
নগ্নতা	n ɔ ɡ n o t̪ a
ওস্তাদ	o s t̪ a d̪
পান্না	p a nː a
পুদিনা	p u d̪ i n a
প্রশ্ন	p ɹ ɔ ʃ n o
প্রশ্ন	p ɾ ɔ ʃ n o
পাঠানো	p ɑ ʈʰ ɑ n o
সুলতান	s u l t̪ a n
সমকামী	s ɔ m ɔ k a m i
চিলমচি	t ʃ i l ɔ m t ʃ i
চুম্বন	t ʃ u m b ɔ n
ছিটমহল	t ʃʰ i ʈ m ɔ ɦ ɔ l
তামাশা	t̪ a m a ʃ a
তাওয়া	t̪ a w a
তৃতীয়	t̪ r i t̪ i j ɔ
উপজেলা	u p o d ʒ e l a
উপজেলা	u p o z e l a
ওয়াদা	w a d a
যাওয়া	ʒ a ʊ ɑː
অভিধান	ɔ b i d a n
অভিধান	ɔ b ʱ i d ʱ a n
অভিযোগ	ɔ b ʱ i d ʒ o ɡ
হিজড়া	ɦ i d ʒ ɹ a
হিজড়া	ɦ i d ʒ ɽ a
শিকারি	ʃ i k a r i
শিক্ষা	ʃ i kːʰ ɑ
ডিল্ডো	ɖ i l ɖ o
সিন্ধু	ʃ i n d̪ u
সিন্ধু	ʃ i n d̪ ʱ u
হিস্সা	ɦ i ʃ ʃ a
আমাদের	ɑ m ɑ d e r
রসায়ন	ɹ o ɹ ʃ j n
অর্থাৎ	ɔ r t̪ʰ a t̪
গুজরাট	ɡ u d ʒ ɔ ɾ a ʈ
অভিধান	ɔ v i d a n
অভিধান	ɔ v i d ʱ a n
অভিযোগ	ɔ v i d ʒ o ɡ
হয়রান	ɦ ɔ e̯ ɾ a n
শয়তান	ʃ ɔ j t̪ a n
সমকামী	ʃ ɔ m ɔ k a m i
গন্ডার	ɡ ɔ n ɖ ɑ ɹ
গন্ডার	ɡ ɔ n ɖ ɑ ɾ
স্বপ্ন	ʃ ɔ p n o
অঙ্গার	ɔ ŋ ɡ a r
গর্দান	ɡ ɔ ɾ d̪ a n
হাসানো	ɦ ɑ ʃ ɑ n o
আঞ্চলিক	a n t ʃ ɔ l i k
আতশবাজি	a t̪ o ʃ b a d ʒ i
আতশবাজি	a t̪ o ʃ b a z i
ভালবাসা	b a l o b a ʃ a
ব্যক্তি	b æ k t̪ i
ভালবাসা	b ʱ a l o b a ʃ a
ভাল্লুক	b ʱ a lː u k
জন্মদিন	d ʒ ɔ n m o d̪ i n
দাওয়াত	d̪ a w a t̪
কারিগরি	k a r i ɡ o r i
কারখানা	k a r kʰ a n a
মাধ্যমে	m a d̪ː ʱ ɔ m e
মাকড়শা	m a k ɔ ɽ ʃ ɑ
মাকড়শা	m a k ɔ ɾ ʃ ɑ
মাকড়সা	m a k ɔ ɽ ʃ ɑ
মাকড়সা	m a k ɔ ɾ ʃ ɑ
নিষিদ্ধ	n i ʃ i d̪ː ʱ o
পেরেশান	p e r e ʃ a n
পিয়ানো	p i ɑ n o
প্যাঁচা	p ɛ̃ t ʃ a
রওয়ানা	r ɔ w a n a
সিগারেট	s i ɡ ɑ r e ʈ
সুলতানা	s u l t̪ a n a
তোমাদের	t̪ o m ɑ d̪ ɛ ɹ
তল্লাশি	t̪ ɔ l l a ʃ i
উপত্যকা	u p ɔ t̪ː ɔ k a
উৎপত্তি	u t̪ p ɔ t̪ː i
ভালবাসা	v a l o b a ʃ a
ভাল্লুক	v a lː u k
ডাক্তার	ɖ a k t̪ a ɾ
সিন্দুক	ʃ i n d̪ u k
অনুবাদক	ɔ n u b a d̪ ɔ k
সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সময়কাল	ʃ ɔ m ɔ j k a l
সনদপত্র	ʃ ɔ n o d̪ p ɔ t̪ ɾ o
আভিধানিক	a b i d a n i k
আভিধানিক	a b ʱ i d ʱ a n i k
আভিধানিক	a v i d a n i k
আভিধানিক	a v i d ʱ a n i k
আগ্রাবাদ	a ɡ ɾ a b a d
বাবুর্চি	b a b u r t ʃ i
বাংলাদেশ	b a ŋ l a d̪ e ʃ
বেপরোয়া	b e p ɔ r w a
বিরুদ্ধে	b i r u d̪ː ʱ e
ভালোবাসা	b ʱ a l o b a ʃ a
বন্ধুহীন	b ɔ n d̪ u ɦ i n
বন্ধুহীন	b ɔ n d̪ ʱ u ɦ i n
ভগাঙ্কুর	b ʱ ɔ ɡ ɑ ŋ k u ɾ
দাঁড়ানো	d̪ a ɹ a n o
দাঁড়ানো	d̪ a ɽ a n o
দাঁড়ানো	d̪ a ɾ a n o
দাঁড়ানো	d̪ ã ɽ a n o
ফাটাফাটি	f a ʈ a f a ʈ i
কাল্পনিক	k a l p o n i k
কিছুক্ষণ	k i s u kːʰ ɔ n
কিছুক্ষণ	k i t ʃʰ u kːʰ ɔ n
ক্ষমাহীন	kʰ ɔ m a ɦ i n
মস্তিষ্ক	m ɔ s t̪ i ʃ k o
নীহারিকা	n i ɦ a ɽ i k a
নীহারিকা	n i ɦ a ɾ i k a
ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
পার্থক্য	p a ɹ t̪ʰ ɔ kː o
পার্থক্য	p a ɾ t̪ʰ ɔ kː o
পয়গম্বর	p ɔ j ɡ ɔ m b ɔ ɾ
সৌন্দর্য	s o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	s o u n d̪ ɔ ɾ d ʒ o
সৌন্দর্য	s o u n d̪ ɔ ɹ z o
সমকামিতা	s ɔ m ɔ k a m i t̪ a
দ্বিতীয়	t̪ r i t̪ i j ɔ
ভগাঙ্কুর	v ɔ ɡ ɑ ŋ k u ɹ
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɾ d ʒ o
সৌন্দর্য	ʃ o u n d̪ ɔ ɹ z o
ট্যাক্সি	ʈ æ k s i
সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
সমকামিতা	ʃ ɔ m ɔ k a m i t̪ a
শঙ্খচূড়	ʃ ɔ ŋ kʰ o t ʃ u ɽ
আঞ্চলিকতা	a n t ʃ ɔ l i k t̪ a
বাংলাদেশি	b a ŋ l a d̪ e ʃ i
বাংলাদেশী	b a ŋ l a d̪ e ʃ i
জ্যোৎস্না	d ʒ o t s n a
কুকুরছানা	k u k u ɽ s a n a
কুকুরছানা	k u k u ɽ t ʃʰ a n a
কুকুরছানা	k u k u ɾ t ʃʰ a n a
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
নেমন্তন্ন	n e m o n t̪ o n n o
নিমন্ত্রণ	n i m o n t̪ ɾ o n
তুলনামূলক	t u l n a m u l ɔ k
ভিয়েতনাম	v i j e t̪ n a m
শামিয়ানা	ʃ a m i j a n a
গ্রেপ্তার	ɡ ɾ e p t̪ a ɾ
মেয়েমানুষ	m ɛ ə m ɜː n ʊ ʃ
শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
সিন্ধুঘোটক	ʃ i n d̪ u ɡ o ʈ ɔ k
সিন্ধুঘোটক	ʃ i n d̪ ʱ u ɡ ʱ o ʈ ɔ k
ইনশাআল্লাহ্	i n ʃ a a l l a ʱ
মাশাআল্লাহ্	m a ʃ a a l l a ʱ
চিড়িয়াখানা	t ʃ i ɽ i a kʰ a n a
অ্যানথ্রাক্স	æ n t̪ʰ ɾ ɑ k s
গুরুত্বপূর্ণ	ɡ u r u tː ɔ p u r n ɔ
