abad	a b a t̚
arbei	a r b e i̯
ares	a r ɛ s
arkais	a r k a i s
arloji	a r l o d͡ʒ i
arsip	a r s i p
arta	a r t a
arti	a r t i
arya	a r j a
asbak	a s b a k
asesmen	a s ɛ s m ə n
askese	a s k e s ə
asma	a s m a
asmara	a s m a r a
aspal	a s p a l
asrama	a s r a m a
astronaut	a s t r o n a u̯ t̚
astronaut	a s t r o n ɔ t̚
asumsi	a s ʊ m s i
aswa	a s w a
atau	a t a u̯
atma	a t m a
auban	a u b a n
autokrasi	a u t o k r a s i
autokrat	a u t o k r a t̚
avokad	a v o k a d
avtur	a f t ʊ r
avtur	a p̚ t ʊ r
avtur	a v t ʊ r
awat	a w a t
ayah	a j a h
ayam	a j a m
babi	b a b i
baca	b a t͡ʃ a
bacang	b a t͡ʃ a ŋ
bagi	b a ɡ i
bagian	b a ɡ i a n
bahana	b a h a n a
bahasa	b a h a s a
bahaya	b a h a j a
bahtera	b a h t ə r a
bahwa	b a h w a
baiduri	b a i̯ d u r i
baja	b a d͡ʒ a
bajingan	b a d͡ʒ i ŋ a n
bak	b a k
bak	b ɑ k
bakcang	b a k t͡ʃ a ŋ
bakero	b a k e r o
baki	b a k i
bakiak	b a k i a k
bakmi	b a k m i
bakpao	b a k p a o
bakpau	b a k p a ʊ̯
bakpia	b a k p i a̯
bakso	b a k s o
baktau	b a k t a ʊ̯
bakti	b a k t i
bakwan	b a k w a n
bala	b a l a
bali	b a l i
balot	b a l ɔ t̚
banci	b a ɲ t͡ʃ i
bandara	b a n d a r a
banding	b a n d i ŋ
bang	b a ŋ
bangku	b a ŋ k u
bangsa	b a ŋ s a
bangsat	b a ŋ s a t
bangsi	b a ŋ s i
banji	b a n d͡ʒ i
bank	b a ŋ
banyak	b a ɲ a k
banzai	b a n z a i
bapa	b a p a
bapak	b a p a ʔ
bapao	b a p a o
barongsai	b a r o ŋ s a i̯
baronsai	b a r o n s a i̯
baruna	b a r u n a
baskara	b a s k a r a
basket	b a s k ɛ t̚
basmi	b a s m i
batang	b a t a ŋ
batangan	b a t a ŋ a n
batara	b a t a r a
batau	b a t a ʊ̯
batavia	b a t a v i a̯
bausastra	b a u s a s t r a
baya	b a j a
bayangkara	b a j a ŋ k a r a
bayu	b a j u
bazar	b a z a r
bea	b e a
beasiswa	b e a s ɪ s w a
begawan	b ə ɡ a w a n
beha	b e h a
beker	b ɛ k ə r
bel	b ə l
bel	b ɛ l
bela	b ɛ l a
belanda	b ə l a n d a
belantara	b ə l a n t a r a
belasting	b ə l a s t i ŋ
beleid	b ə l ɛ ɪ t̚
belia	b ə l i a̯
beliau	b ə l i a u̯
belum	b ə l u m
bencong	b ɛ n t͡ʃ o ŋ
benda	b ə n d a
bendahara	b ə n d a h a r a
bendel	b ə n d ə l
bendera	b ə n d ɛ r a
bengawan	b ə ŋ a w a n
bengkel	b ɛ ŋ k ɛ l
benih	b ə n ɪ h
benzol	b e n z o l
berada	b ə r a d a
berangkat	b ə r a ŋ k a t
berbahaya	b ə r b a h a j a
berbicara	b ə r b i t͡ʃ a r a
beri	b ə r i
berida	b ə r i d a
berjibaku	b ə r d͡ʒ i b a k u
berteori	b ə r t e o r i
beruang	b ə r u a̯ ŋ
bestari	b ə s t a r i
betawi	b ə t a w i
beton	b ə t o n
bhayangkara	bʰ a j a ŋ k a r a
biara	b i a r a
biasa	b i a s a
biaya	b i a j a
bibel	b i b ə l
bicara	b i t͡ʃ a r a
bidadari	b i d a d a r i
bidak	b i d a k
bidan	b i d a n
bihun	b i h u n
bijak	b i d͡ʒ a k
bijaksana	b i d͡ʒ a k s a n a
biji	b i d͡ʒ i
biksu	b i k s u
biku	b i k u
bila	b i l a
binasa	b i n a s a
binatang	b i n a t a ŋ
bintara	b i n t a r a
bioskop	b i o s k o p
biro	b i r o
bis	b i s
blangko	b ə̆ l a ŋ k o
blek	b l ɛ k
blumbak	b l ʊ m b a k̚
boleh	b o l e h
bon	b ɔ n
bonsai	b o n s a i
bor	b o r
borang	b ɔ r a ŋ
bordil	b o r d ɪ l
brankar	b r a n k a r
bruder	b r u d ə r
buana	b u a̯ n a
budak	b u d a k
budaya	b u d a j a
budi	b u d i
budiman	b u d i m a n
bujangga	b u d͡ʒ a ŋ ɡ a
bukti	b u k t i
buku	b u k u
bulan	b u l a n
bumi	b u m i
bumiputra	b u m i p u t r a
bumiputra	b u m i p u t ə r a
buncis	b u n t͡ʃ ɪ s
bundel	b ʊ n d ə l
bunga	b u ŋ a
bunuh	b u n ʊ h
bupati	b u p a t i
bus	b u s
busa	b u s a
busana	b u s a n a
bushido	b u s h i d o
bushido	b u ʃ i d o
buta	b u t a
butala	b u t a l a
butuh	b u t u h
cabai	t͡ʃ a b a i̯
cabai	t͡ʃ a b e
cadar	t͡ʃ a d a r
cahaya	t͡ʃ a h a j a
cakra	t͡ʃ a k ə r a
cakram	t͡ʃ a k r a m
cakrawala	t͡ʃ a k r a w a l a
cakrawati	t͡ʃ a k r a w a t i
calon	t͡ʃ a l o n
camat	t͡ʃ a m a t̚
candra	t͡ʃ a n d r a
canoyu	t͡ʃ a n o j u
cantik	t͡ʃ a n t i k
cara	t͡ʃ a r a
cari	t͡ʃ a r i
catur	t͡ʃ a t u r
cedera	t͡ʃ ə d ə r a
cela	t͡ʃ ə l a
celaka	t͡ʃ ə l a k a
celeng	c ɛ l ɛ ŋ
celengan	c ɛ l ɛ ŋ a n
cempaka	t͡ʃ ə m p a k a
cenangga	t͡ʃ ə n a ŋ ɡ a
cendala	t͡ʃ ə n d a l a
cendana	t͡ʃ ə n d a n a
cendekia	c ə n d ə k i a
cendera	t͡ʃ ə n d ə r a
cenderasa	t͡ʃ ə n d ə r a s a
cenderawasih	t͡ʃ ə n d ə r a w a s i h
cengkerama	t͡ʃ ə ŋ k ə r a m a
cengkerawak	t͡ʃ ə ŋ k ə r a w a k
cerana	t͡ʃ ə r a n a
cerca	t͡ʃ ə r t͡ʃ a
ceria	t͡ʃ ə r i a
cerita	t͡ʃ ə r i t a
cerutu	t͡ʃ ə r u t u
cetera	t͡ʃ ə t ə r a
cewek	t ʃ e w e ʔ
china	t͡ʃ a ɪ̯ n ə
cita	t͡ʃ i t a
citra	t͡ʃ i t r a
ciu	t͡ʃ i u
cokelat	t ʃ ɔ k ə l a t
cowok	t ʃ o w o ʔ
cuaca	t͡ʃ u a t͡ʃ a
cuek	c u e ʔ
cuka	t͡ʃ u k a
cula	t͡ʃ u l a
cultuurstelsel	k ʊ l t ʊ r s t ɛ l s ə l
cuma	t͡ʃ u m a
curiga	t͡ʃ u r i ɡ a
dadih	d a d i h
daerah	d a e r a h
dahaga	d a h a ɡ a
daidan	d a i d a n
daidanco	d a i d a n t͡ʃ o
daitia	d a i t i a
daksina	d a k s i n a
daku	d a k u
dalam	d a l a m
dan	d a n
dana	d a n a
dansa	d a n s a
danta	d a n t a
dari	d a r i
daring	d a r ɪ ŋ
darma	d a r m a
datang	d a t a ŋ
datu	d a t u
dawat	d a w a t
daya	d a j a
dekan	d ə k a n
dekan	d ɛ k a n
dekat	d ə k a t
dengan	d ə ŋ a n
dengar	d ə ŋ a r
derita	d ə r i t a
desember	d e s ɛ m b ə r
detail	d ə t a ɪ l
devosi	d e v o s i
dewa	d ɛ w a
dewan	d ɛ w a n
dia	d i a
diaken	d i a k ə n
diakon	d i a k o n
diam	d i a m
digdaya	d i ɡ d a j a
dikau	d i k a u̯
dirgahayu	d i r ɡ a h a j u
disposisi	d i s p o s i s i
doa	d o a
dohyo	d o hʲ o
dohyo	d ɔ xʲ ɔ
dojo	d o d͡ʒ o
dokter	d ɔ k t ə r
doktor	d o k t o r
dokumen	d o k u m ɛ n
dom	d o m
donasi	d o n a s i
dorna	d o r n a
dorong	d o r o ŋ
dosa	d o s a
dosen	d o s ɛ n
doyo	d o j o
duane	d u a n ə
duit	d u i t
duk	d ʊ k̚
duka	d u k a
duli	d u l i
dulu	d u l u
dunia	d u n i a
dupa	d u p a
dusta	d u s t a
duta	d u t a
edamame	e d a m a m e
efek	e f e k
efek	ɛ f e k
efektif	ɛ f ɛ k̚ t ɪ f
eigendom	e i ɡ ə n d o m
eka	e k a
ekaristi	ɛ k a r i s t i
eklips	ɛ k l i p s
eksper	ɛ k s p ɛ r
elektrik	ɛ l ɛ k t r ɪ k
elektris	ɛ l ɛ k t r ɪ s
emoji	e m o d͡ʒ i
empat	ə m p a t
engkau	ə ŋ k a u̯
ensiklik	e n s i k l i k
episkopal	ɛ p i s k o p a l
episkopat	ɛ p ɪ s k o p a t
erti	ə r t i
es	ɛ s
esa	ə s a
estafet	ɛ s t a f ɛ t
etude	e t u d ɛ
fakultas	f a k ʊ l t a s
farmasi	f a r m a s i
fatsun	f a t s u n
februari	f ɛ b r u a r i
fengsui	f e ŋ s u i
film	f ɪ l ə m
film	p e l ə m
firaun	f i r a u n
folder	f ɔ l d ə r
formulir	f o r m u l ɪ r
frater	f r a t ə r
gada	ɡ a d a
gading	ɡ a d i ŋ
gaharu	ɡ a h a r u
gajah	ɡ a d͡ʒ a h
gajah	ɡ a d͡ʒ a ʔ
gakari	ɡ a k a r i
gala	ɡ a l a
galuh	ɡ a l u h
gang	ɡ a ŋ
gapura	ɡ a p u r a
garansi	ɡ a r a n s i
garuda	ɡ a r u d a
gaya	ɡ a j a
gayung	ɡ a j u ŋ
gedong	ɡ ə d o ŋ
gedong	ɡ ɛ d o ŋ
gelita	ɡ ə l i t a
gempa	ɡ ə m p a
gempita	ɡ ə m p i t a
geng	ɡ ɛ ŋ
genta	ɡ ə n t a
gerha	ɡ ə r h a
gerhana	ɡ ə r h a n a
gigi	ɡ i ɡ i
giri	ɡ i r i
gita	ɡ i t a
go	ɡ o
goban	ɡ o b a n
gongyo	ɡ o n ɡʲ o
gongyo	ɡ ɔ n ɡʲ ɔ
gongyo	ɣ o n ɣʲ o
gongyo	ɣ ɔ n ɣʲ ɔ
graha	ɡ r a h a
grahita	ɡ r a h i t a
greha	ɡ r ə h a
gua	ɡ u a
gubernur	ɡ u b ə r n ʊ r
gulana	ɡ u l a n a
guna	ɡ u n a
gunseibu	ɡ u n s e i b u
gunseikan	ɡ u n s e i k a n
gurita	ɡ u r i t a
guru	ɡ u r u
habel	h a b e l
habil	h a b ɪ l
hadiah	h a d i j a h
hadir	h a d i r
hai	h a ɪ
haiku	h a i k u
hak	h a k
hal	h a l
hampir	h a m p i r
handschoen	h a n t̚ s k u n
handuk	h a n d ʊ k̚
hanya	h a ɲ a
hanzi	h a n z i
harap	h a r a p
harga	h a r ɡ a
harta	h a r t a
harus	h a r u s
hasta	h a s t a
hati	h a t i
hatta	h a t t a
heiho	h e i h o
heng	h ɛ ŋ
hentai	h ɛ n t a i̯
hewan	h e w a n
hidup	h i d u p
hierarki	h i e r a r k i
hina	h i n a
hongbao	h o ŋ b a o
hongsui	h o ŋ s u i
honji	h o n d͡ʒ i
hop	h o p
hopagen	h o p a ɡ ɛ n
hopbiro	h o p b i r o
hosti	h o s t i
hukum	h u k ʊ m
hukuman	h u k u m a n
hutan	h u t a n
ia	i a
iba	i b a
ibrani	i b r a n i
ijazah	i d͡ʒ a z a h
ikebana	i k e b a n a
ikhlas	i x l a s
iklim	i k l ɪ m
ikonik	i k o n ɪ k
ikonis	i k o n ɪ s
imam	i m a m
imamah	i m a m a h
imamat	i m a m a t
iman	i m a n
imlek	i m l ɛ k
imprimatur	i m p r i m a t u r
indekos	i n d ə k ɔ s
indonesia	i n d o n ɛ s i a
indra	i n d r a
indra	i n d ə r a
informasi	i n f ɔ r m a s i
ingin	i ŋ i n
injil	ɪ n d͡ʒ ɪ l
inset	i n s ɛ t
insinyur	i n s i ɲ u r
intensi	i n t ɛ n s i
internasional	i n t ə r n a s i o n a l
internuntius	i n t ə r n u n t i u s
irama	i r a m a
istana	i s t a n a
istimewa	ɪ s t i m ɛ w a
istri	i s t r i
jadi	d ʒ a d i
jadwal	d͡ʒ a t̚ w a l
jagat	j a ɡ a t
jakarta	d͡ʒ a k a r t a
jala	d͡ʒ a l a
jalan	d ʒ a l a n
jamur	d͡ʒ a m ʊ r
janapada	d͡ʒ a n a p a d a
jantung	d͡ʒ a n t ʊ ŋ
januari	d͡ʒ a n u a r i
jati	d͡ʒ a t i
jawa	d͡ʒ a w a
jawab	d͡ʒ a w a p̚
jawaban	d͡ʒ a w a b a n
jelata	d͡ʒ ə l a t a
jelita	d͡ʒ ə l i t a
jelma	d͡ʒ ə l m a
jenazah	d͡ʒ ə n a s a h
jenazah	d͡ʒ ə n a z a h
jentera	d͡ʒ ə n t ə r a
jepang	d͡ʒ ə p a ŋ
jepun	d͡ʒ ə p ʊ n
jiwa	d͡ʒ i w a
judo	d͡ʒ u d o
judogi	d͡ʒ u d o ɡ i
judoka	d͡ʒ u d o k a
juli	d͡ʒ u l i
juni	d͡ʒ u n i
juta	d͡ʒ u t a
kabar	k a b a r
kabinet	k a b i n ɛ t
kabisat	k a b i s a t̚
kabuki	k a b u k i
kabupaten	k a b u p a t e n
kaca	k a t͡ʃ a
kacamata	k a t͡ʃ a m a t a
kadaster	k a d a s t ə r
kadaver	k a d a v ə r
kaf	k a f
kailan	k a i l a n
kaisar	k a i s a r
kaji	k a d͡ʒ i
kakus	k a k ʊ s
kali	k a l i
kalian	k a l i a n
kama	k a m a
kami	k a m i
kamikaze	k a m i k a z e
kamis	k a m ɪ s
kampai	k a m p a i̯
kamu	k a m u
kandidat	k a n d i d a t̚
kanji	k a n d͡ʒ i
kanon	k a n o n
kanonis	k a n o n ɪ s
kanta	k a n t a
kapan	k a p a n
kapas	k a p a s
kapitan	k a p i t a n
kapten	k a p̚ t ɛ n
karakuri	k a r a k u r i
karaoke	k a r a o k e
karate	k a r a t e
karategi	k a r a t e ɡ i
karateka	k a r a t e k a
kardinal	k a r d i n a l
karkas	k a r k a s
karma	k a r m a
karsa	k a r s a
kartel	k a r t ɛ l
kartika	k a r t i k a
kartu	k a r t u
karunia	k a r u n i a̯
karya	k a r i a
karya	k a r j a
kastel	k a s t ɛ l
kastil	k a s t ɪ l
kata	k a t a
katedral	k a t ə d r a l
katun	k a t u n
kau	k a u̯
kawan	k a w a n
kawasan	k a w a s a n
kecamatan	k ə t͡ʃ a m a t a n
kecap	k ə t͡ʃ a p
kecap	k ɛ t͡ʃ a p
kecil	k ə t ʃ i l
kedaluwarsa	k ə d a l u w a r s a
kedokteran	k ə d o k t ə r a n
kedutaan	k ə d u t a a n
kehausan	k ə h a ʊ s a n
keibodan	k e i b o d a n
keik	k ɛ i k
keker	k e k ə r
keker	k ɛ k ɛ r
kelapa	k ə l a p a
kelar	k ə l a r
kelinci	k ə l ɪ n t͡ʃ i
kembang	k ə m b a ŋ
kempetai	k e m p e t a i̯
ken	k ɛ n
kenapa	k ə n a p a
kencana	k ə n t͡ʃ a n a
kendi	k ə n d i
kendo	k ɛ n d o
kepala	k ə p a l a
keparat	k ə p a r a t
kerajaan	k ə r a d͡ʒ a a n
keranda	k ə r a n d a
keraton	k ə r a t ɔ n
kereta	k ə r e t a
kerosin	k e r o s ɪ n
kertas	k ə r t a s
keuskupan	k ə u s k u p a n
khalifah	x a l i f a ʔ
khatam	x a t a m
khawatir	k a w a t i r
khawatir	x a w a t i r
khilafah	x i l a f a ʔ
kiai	k i a i̯
kilang	k i l a ŋ
kimono	k i m o n o
kira	k i r a
kirana	k i r a n a
kita	k i t a
kitab	k i t a p̚
klinis	k l i n i s
klop	k l ɔ p̚
kolaborator	k ɔ l a b ɔ r a t ɔ r
kolam	k o l a m
kolega	k o l e ɡ a
kolik	k o l ɪ k
komandan	k o m a n d a n
komet	k o m ɛ t̚
komisi	k o m i s i
komite	k o m i t e
komplot	k o m p l o t
komunikasi	k o m u n i k a s i
koneksi	k o n ɛ k s i
konfeti	k o n f e t i
kop	k o p
koper	k o p ə r
koperasi	k o p ə r a s i
kopi	k o p i
kopitiam	k o p i t i a m
kor	k ɔ r
koroner	k o r o n ɛ r
korupsi	k o r u p s i
kosakata	k o s a k a t a
kosmonaut	k ɔ s m o n a u̯ t̚
kota	k o t a
kredo	k r e d o
krida	k r i d a
kring	k r ɪ ŋ
kristen	k r i s t ə n
kruk	k r ʊ k
krusial	k r u s i a l
ku	k u
kuartal	k u a r t a l
kuda	k u d a
kuil	k u ɪ l
kuilu	k u i l u
kuintal	k w i n t a l
kuitansi	k u i̯ t a n s i
kuliah	k u l i a h
kultur	k u l t u r
kumico	k u m i t͡ʃ o
kuno	k u n o
kusta	k ʊ s t a
kusuma	k u s u m a
kutang	k u t a ŋ
lada	l a d a
lagi	l a ɡ i
laher	l a h ə r
laki	l a k i
laksa	l a k s a
laksamana	l a k s a m a n a
laksana	l a k s a n a
laksmi	l a k s m i
lalat	l a l a t̚
laler	l a l ə r
lama	l a m a
lanca	l a n t͡ʃ a
lancia	l a n t͡ʃ i a̯
langca	l a ŋ t͡ʃ a
langcia	l a ŋ t͡ʃ i a̯
langit	l a ŋ i t
langka	l a ŋ k a
lapangan	l a p a ŋ a n
laskar	l a s k a r
leger	l ɛ ɡ ə r
lekong	l e k o ŋ
lektor	l ɛ k t o r
lelang	l ɛ l a ŋ
lembar	l ə m b a r
lemper	l ə m p ə r
lengket	l ɛ ŋ k ɛ t̚
lensa	l ɛ n s a
libur	l i b u r
lisan	l i s a n
literasi	l i t ə r a s i
lobak	l o b a k
loji	l o d͡ʒ i
loka	l o k a
lokalisasi	l o k a l i s a s i
lokalisir	l o k a l i s ɪ r
loper	l o p ə r
losmen	l o s m ɛ n
lues	l u e s
luncur	l u n t͡ʃ ʊ r
lupa	l u p a
lusin	l u s i n
madrasah	m a d r a s a h
mahakuasa	m a h a k u a s a
majelis	m a d͡ʒ ə l ɪ s
makan	m a k a n
maklumat	m a k̚ l u m a t̚
mala	m a l a
malam	m a l a m
mana	m a n a
mancanegara	m a n t͡ʃ a n ə ɡ a r a
manga	m a n ɡ a
mangaka	m a n ɡ a k a
mantel	m a n t ə l
mantra	m a n t r a
mantri	m a n t ə r i
map	m a p̚
maret	m a r ə t̚
marga	m a r ɡ a
mari	m a r i
markas	m a r k a s
masih	m a s i h
masker	m a s k ə r
matahari	m a t a h a r i
maya	m a j a
mayat	m a j a t̚
mecin	m ɛ t͡ʃ i n
medan	m ɛ d a n
mei	m e i̯
melekaskan	m ə l ə k a s k a n
meletus	m ə l ə t u s
meloka	m ə l o k a
memasang	m ə m a s a ŋ
membaca	m ə m b a t ʃ a
membakar	m ə m b a k a r
membangun	m ə m b a ŋ ʊ n
membantah	m ə m b a n t a h
membeli	m ə m b e l i
memberantakkan	m ə m b ə r a n t a k k a n
membunuh	m ə m b u n ʊ h
memerban	m ə m ə r b a n
memetieskan	m ə m ə t i ɛ s k a n
memilih	m ə m i l i h
memindai	m ə m i n d a i̯
memodernkan	m ə m o d ɛ r n k a n
memperketat	m ə m p ə r k ə t a t
memukul	m ə m u k ʊ l
memunculkan	m ə m u ɲ c u l k a n
memutakhirkan	m ə m u t a x i r k a n
menabelkan	m ə n a b ə l k a n
menampilkan	m ə n a m p i l k a n
menara	m ə n a r a
menatapi	m ə n a t a p i
menayangkan	m ə n a j a ŋ k a n
mencacat	m ə ɲ t͡ʃ a t͡ʃ a t
mencekoki	m ə ɲ t͡ʃ ə k o k i
mencekokkan	m ə ɲ t͡ʃ ə k o k k a n
mencela	m ə ŋ t͡ʃ ə l a
mencium	m ə ɲ t͡ʃ i u m
mendengar	m ə ɲ d ə ŋ a r
mendiamkan	m ə n d i a m k a n
mendoa	m ə n d o a
mendobrak	m ə n d o b r a k
mendung	m ə n d u ŋ
menelaah	m ə n ə l a a h
menganiaya	m ə ŋ a n i a j a
menganiayai	m ə ŋ a n i a j a i
mengapa	m ə ŋ a p a
mengencingi	m ə ŋ e n c i ŋ i
mengendalikan	m ə ŋ ə n d a l i k a n
mengetatkan	m ə ŋ ə t a t̚ k a n
menggarisbawahi	m ə ŋ ɡ a r i s b a w a h i
menggarisi	m ə ŋ ɡ a r i s i
menggempita	m ə ŋ ɡ ə m p i t a
menghadiri	m ə ŋ h a d i r i
menghadirkan	m ə ŋ h a d i r k a n
menghasilkan	m ə ŋ h a s i l k a n
mengiler	m ə ŋ i l ə r
mengimbuh	m ə ŋ i m b u h
mengoplos	m ə ŋ o p l o s
mengumpamakan	m ə ŋ u m p a m a k a n
menikah	m ə n i k a h
menilai	m ə n i l a i
menjijikkan	m ə ɲ d͡ʒ i d͡ʒ i k k a n
menorah	m e n o r a h
menuntut	m ə n u n t ʊ t
menyerahkan	m ə ɲ ə r a h k a n
menyiarkan	m ə ɲ i a r k a n
menyimpan	m ə ɲ i m p a n
menyunting	m ə ɲ u n t i ŋ
meraih	m ə r a i h
meraja	m ə r a d͡ʒ a
mereka	m ə r e k a
merica	m ə r i t͡ʃ a
merusak	m ə r u s a ʔ
mesir	m ə s i r
micin	m i t͡ʃ i n
minaret	m i n a r ɛ t
mirin	m i r i n
mobil	m o b i l
moci	m o t͡ʃ i
modal	m o d a l
moksa	m o k s a
monarki	m o n a r k i
mu	m u
muda	m u d a
mudra	m u d r a
muka	m u k a
mur	m u r
musim	m u s i m
mutasi	m u t a s i
nah	n a h
nakhoda	n a k o d a
nakhoda	n a x o d a
nanas	n a n a s
nanti	n a n t i
nasrani	n a s r a n i
naufal	n a u f a l
negeri	n ə ɡ ə r i
negoisasi	n ɛ ɡ o s i a s i
nestapa	n ə s t a p a
netra	n ə t r a
nila	n i l a
ninja	n i n d͡ʒ a
nira	n i r a
nirwana	n i r w a n a
nopek	n o p ɛ ʔ
nori	n o r i
november	n o p ɛ m b ə r
november	n o v ɛ m b ə r
obesitas	o b ɛ s i t a s
obi	o b i
oke	ɔ k e
oktober	ɔ k̚ t o b ə r
onagata	o n a ɡ a t a
onderdil	o n d ə r d i l
ongkos	o ŋ k o s
onigiri	o n i ɡ i r i
onsen	o n s ɛ n
oplos	o p̚ l o s
oplosan	o p l o s a n
opname	o p n a m ə
orang	o r a ŋ
origami	o r i ɡ a m i
oto	o t o
otomobil	o t o m o b i l
padi	p a d i
padri	p a d r i
paduka	p a d u k a
pahala	p a h a l a
paham	p a h a m
pahlawan	p a h l a w a n
pala	p a l a
panas	p a n a s
panekuk	p a n ə k u k
pangsit	p a ŋ s i t
panko	p a n k o
papa	p a p a
pariwisata	p a r i w i s a t a
parlemen	p a r l ə m ɛ n
parlementer	p a r l ə m ɛ n t ɛ r
paroki	p a r o k i
partikelir	p a r t i k ə l ɪ r
pasar	p a s a r
pasien	p a s i ɛ n
paskah	p a s k a h
pasraman	p a s r a m a n
pastor	p a s t o r
pataka	p a t a k a
pek	p ɛ k
pekan	p ə k a n
pekerjaan	p ə k ə r d ʒ a ʔ a n
pelan	p e l a n
pelan	p ə l a n
peler	p ə l e r
pelopor	p ə l o p ɔ r
pemerintah	p ə m ə n r i n t a h
pemerintahan	p ə m ə r i n t a h a n
penderita	p ə n d ə r i t a
pendeta	p ə n d ɛ t a
pendukung	p ə n d u k ʊ ŋ
pengairan	p ə ŋ a ʔ ɪ r a n
penganiaya	p ə ŋ a n i a j a
penganiayaan	p ə ŋ a n i a j a a n
penggiling	p ə ŋ ɡ ɪ l ɪ ŋ
pengguna	p ə ŋ ɡ u n a
pengoplos	p ɘ ŋ o p l o s
penis	p e n i s
penuntut	p ə n u n t ʊ t
perang	p ə r a ŋ
perawat	p ə r a w a t
perban	p ə r b a n
percuma	p ə r t͡ʃ u m a
perdana	p ə r d a n a
perdata	p ə r d a t a
pergi	p ə r ɡ i
perkara	p ə r k a r a
persada	p ə r s a d a
persneling	p ə r s n e l i ŋ
persneling	p ə r s ə n e l i ŋ
pertama	p ə r t a m a
pertiwi	p ə r t i w i
perut	p ə r ʊ t̚
pesumo	p ə s u m o
peta	p ə t a
pidana	p i d a n a
piket	p i k ɛ t̚
pikir	p i k i r
pintu	p i n t u
pion	p i o n
pionir	p i o n ɪ r
pipi	p i p i
pisang	p i s a ŋ
pita	p i t a
plafon	p l a f ɔ n
plafon	p ə̆ l a f ɔ n
polis	p o l ɪ s
ponsel	p o n s ɛ l
posisi	p o s i s i
potret	p o t r e t
prabu	p r a b u
prahara	p r a h a r a
prakerta	p r a k ə r t a
praktek	p r a k̚ t ɛ k̚
praktik	p r a k̚ t ɪ k̚
prasada	p r a s a d a
prei	p r e i
pria	p r i a̯
pria	p ə r i a̯
pribadi	p r i b a d i
profesor	p r o f ɛ s ɔ r
psikiater	p s i k i a t ə r
psikolog	p s i k o l o ɡ
puja	p u d͡ʒ a
puji	p u d͡ʒ i
punia	p u n i a̯
pura	p u r a
puri	p u r i
puspa	p ʊ s p a
qanun	q a n u n
raga	r a ɡ a
ranjang	r a ɲ d ʒ a ŋ
ransel	r a n s ə l
rasa	r a s a
rasuah	r a s u a h
ratu	r a t u
rawat	r a w a t
