a	ɒ
ablakokért	ɒ b l ɒ k o k eː r t
ablakom	ɒ b l ɒ k o m
ablakomat	ɒ b l ɒ k o m ɒ t
ablakomba	ɒ b l ɒ k o m b ɒ
ablakomban	ɒ b l ɒ k o m b ɒ n
ablakomig	ɒ b l ɒ k o m i ɡ
ablakommal	ɒ b l ɒ k o mː ɒ l
ablakomnak	ɒ b l ɒ k o m n ɒ k
ablakomon	ɒ b l ɒ k o m o n
ablakon	ɒ b l ɒ k o n
ablakot	ɒ b l ɒ k o t
ablakotok	ɒ b l ɒ k o t o k
ablakpárkány	ɒ b l ɒ k p aː r k aː ɲ
ablakpárkánya	ɒ b l ɒ k p aː r k aː ɲ ɒ
ablakpárkányai	ɒ b l ɒ k p aː r k aː ɲ ɒʲ i
ablakpárkányaid	ɒ b l ɒ k p aː r k aː ɲ ɒʲ i d
ablakpárkányaik	ɒ b l ɒ k p aː r k aː ɲ ɒʲ i k
ablakpárkányaim	ɒ b l ɒ k p aː r k aː ɲ ɒʲ i m
ablakpárkányaink	ɒ b l ɒ k p aː r k aː ɲ ɒʲ i ŋ k
ablakpárkányaitok	ɒ b l ɒ k p aː r k aː ɲ ɒʲ i t o k
ablakpárkánynak	ɒ b l ɒ k p aː r k aː ɲ n ɒ k
ablakpárkányod	ɒ b l ɒ k p aː r k aː ɲ o d
ablakpárkányok	ɒ b l ɒ k p aː r k aː ɲ o k
ablakpárkányokat	ɒ b l ɒ k p aː r k aː ɲ o k ɒ t
ablakpárkányoknak	ɒ b l ɒ k p aː r k aː ɲ o k n ɒ k
ablakpárkányom	ɒ b l ɒ k p aː r k aː ɲ o m
ablakpárkányotok	ɒ b l ɒ k p aː r k aː ɲ o t o k
ablakpárkányt	ɒ b l ɒ k p aː r k aː ɲ t
ablakpárkányuk	ɒ b l ɒ k p aː r k aː ɲ u k
ablakpárkányunk	ɒ b l ɒ k p aː r k aː ɲ u ŋ k
ablakra	ɒ b l ɒ k r ɒ
ablakról	ɒ b l ɒ k r oː l
ablaktalan	ɒ b l ɒ k t ɒ l ɒ n
ablaktalanság	ɒ b l ɒ k t ɒ l ɒ n ʃ aː ɡ
ablaktól	ɒ b l ɒ k t oː l
ablaktörlő	ɒ b l ɒ k t ø r l øː
ablaktörlők	ɒ b l ɒ k t ø r l øː k
ablaktörlőket	ɒ b l ɒ k t ø r l øː k ɛ t
ablaktörlőt	ɒ b l ɒ k t ø r l øː t
ablakuk	ɒ b l ɒ k u k
ablakunk	ɒ b l ɒ k u ŋ k
ablakán	ɒ b l ɒ k aː n
ablakát	ɒ b l ɒ k aː t
ablakért	ɒ b l ɒ k eː r t
ablaküveg	ɒ b l ɒ k y v ɛ ɡ
ablaküvegek	ɒ b l ɒ k y v ɛ ɡ ɛ k
abnormális	ɒ b n o r m aː l i ʃ
abortusz	ɒ b o r t u s
abortuszok	ɒ b o r t u s o k
abortuszokat	ɒ b o r t u s o k ɒ t
abortuszt	ɒ b o r t u s t
abortál	ɒ b o r t aː l
abortálás	ɒ b o r t aː l aː ʃ
abrak	ɒ b r ɒ k
abrakok	ɒ b r ɒ k o k
abrakon	ɒ b r ɒ k o n
abrakot	ɒ b r ɒ k o t
abroncs	ɒ b r o n t͡ʃ
abroncsok	ɒ b r o n t͡ʃ o k
abroncsokat	ɒ b r o n t͡ʃ o k ɒ t
abroncsot	ɒ b r o n t͡ʃ o t
abrosz	ɒ b r o s
abrosza	ɒ b r o s ɒ
abroszai	ɒ b r o s ɒʲ i
abroszaid	ɒ b r o s ɒʲ i d
abroszaik	ɒ b r o s ɒʲ i k
abroszaim	ɒ b r o s ɒʲ i m
abroszaink	ɒ b r o s ɒʲ i ŋ k
abroszaitok	ɒ b r o s ɒʲ i t o k
abroszod	ɒ b r o s o d
abroszok	ɒ b r o s o k
abroszokat	ɒ b r o s o k ɒ t
abroszom	ɒ b r o s o m
abroszotok	ɒ b r o s o t o k
abroszt	ɒ b r o s t
abroszuk	ɒ b r o s u k
abroszunk	ɒ b r o s u ŋ k
abszint	ɒ p s i n t
abszintok	ɒ p s i n t o k
abszolutórium	ɒ p s o l u t oː r iʲ u m
abszolutóriumok	ɒ p s o l u t oː r iʲ u m o k
abszolút	ɒ p s o l uː t
abszorpció	ɒ p s o r p t͡s iʲ oː
abszorpciók	ɒ p s o r p t͡s iʲ oː k
absztinencia	ɒ p s t i n ɛ n t͡s iʲ ɒ
absztinenciák	ɒ p s t i n ɛ n t͡s iʲ aː k
absztrakció	ɒ p s t r ɒ k t͡s iʲ oː
absztrakciók	ɒ p s t r ɒ k t͡s iʲ oː k
absztrakt	ɒ p s t r ɒ k t
absztraktabb	ɒ p s t r ɒ k t ɒ bː
absztraktok	ɒ p s t r ɒ k t o k
absztraktság	ɒ p s t r ɒ k t ʃ aː ɡ
absztraktságok	ɒ p s t r ɒ k t ʃ aː ɡ o k
abszurd	ɒ p s u r d
abszurdabb	ɒ p s u r d ɒ bː
abszurditás	ɒ p s u r d i t aː ʃ
abszurditások	ɒ p s u r d i t aː ʃ o k
abszurdum	ɒ p s u r d u m
abszurdumok	ɒ p s u r d u m o k
acetaldehid	ɒ t͡s ɛ t ɒ l d ɛ ɦ i d
acetilén	ɒ t͡s ɛ t i l eː n
aceton	ɒ t͡s ɛ t o n
acetonba	ɒ t͡s ɛ t o m b ɒ
acetonban	ɒ t͡s ɛ t o m b ɒ n
acetonból	ɒ t͡s ɛ t o m b oː l
acetonhoz	ɒ t͡s ɛ t o n ɦ o z
acetonig	ɒ t͡s ɛ t o n i ɡ
acetonja	ɒ t͡s ɛ t o ɲː ɒ
acetonjai	ɒ t͡s ɛ t o ɲː ɒʲ i
acetonjaid	ɒ t͡s ɛ t o ɲː ɒʲ i d
acetonjaik	ɒ t͡s ɛ t o ɲː ɒʲ i k
acetonjaim	ɒ t͡s ɛ t o ɲː ɒʲ i m
acetonjaink	ɒ t͡s ɛ t o ɲː ɒʲ i ŋ k
acetonjaitok	ɒ t͡s ɛ t o ɲː ɒʲ i t o k
acetonjuk	ɒ t͡s ɛ t o ɲː u k
acetonként	ɒ t͡s ɛ t o ŋ k eː n t
acetonnak	ɒ t͡s ɛ t o nː ɒ k
acetonnal	ɒ t͡s ɛ t o nː ɒ l
acetonná	ɒ t͡s ɛ t o nː aː
acetonnál	ɒ t͡s ɛ t o nː aː l
acetonod	ɒ t͡s ɛ t o n o d
acetonok	ɒ t͡s ɛ t o n o k
acetonokat	ɒ t͡s ɛ t o n o k ɒ t
acetonokba	ɒ t͡s ɛ t o n o ɡ b ɒ
acetonokban	ɒ t͡s ɛ t o n o ɡ b ɒ n
acetonokból	ɒ t͡s ɛ t o n o ɡ b oː l
acetonokhoz	ɒ t͡s ɛ t o n o k h o z
acetonokig	ɒ t͡s ɛ t o n o k i ɡ
acetonokkal	ɒ t͡s ɛ t o n o kː ɒ l
acetonokká	ɒ t͡s ɛ t o n o kː aː
acetonokként	ɒ t͡s ɛ t o n o kː eː n t
acetonoknak	ɒ t͡s ɛ t o n o k n ɒ k
acetonoknál	ɒ t͡s ɛ t o n o k n aː l
acetonokon	ɒ t͡s ɛ t o n o k o n
acetonokra	ɒ t͡s ɛ t o n o k r ɒ
acetonokról	ɒ t͡s ɛ t o n o k r oː l
acetonoktól	ɒ t͡s ɛ t o n o k t oː l
acetonokért	ɒ t͡s ɛ t o n o k eː r t
acetonom	ɒ t͡s ɛ t o n o m
acetonon	ɒ t͡s ɛ t o n o n
acetonotok	ɒ t͡s ɛ t o n o t o k
acetonra	ɒ t͡s ɛ t o n r ɒ
acetonról	ɒ t͡s ɛ t o n r oː l
acetont	ɒ t͡s ɛ t o n t
acetontól	ɒ t͡s ɛ t o n t oː l
acetonunk	ɒ t͡s ɛ t o n u ŋ k
acetonért	ɒ t͡s ɛ t o n eː r t
achát	ɒ ɦ aː t
achátok	ɒ ɦ aː t o k
aciditás	ɒ t͡s i d i t aː ʃ
aciditások	ɒ t͡s i d i t aː ʃ o k
acél	ɒ t͡s eː l
acélgyártás	ɒ t͡s eː l ɟ aː r t aː ʃ
acélipar	ɒ t͡s eː l i p ɒ r
acélkék	ɒ t͡s eː l k eː k
acéllemez	ɒ t͡s eː lː ɛ m ɛ z
acéllemezek	ɒ t͡s eː lː ɛ m ɛ z ɛ k
acélok	ɒ t͡s eː l o k
ad	ɒ d
adag	ɒ d ɒ ɡ
adagok	ɒ d ɒ ɡ o k
adagol	ɒ d ɒ ɡ o l
adaptáció	ɒ d ɒ p t aː t͡s iʲ oː
adaptációk	ɒ d ɒ p t aː t͡s iʲ oː k
adat	ɒ d ɒ t
adata	ɒ d ɒ t ɒ
adatai	ɒ d ɒ t ɒʲ i
adatainak	ɒ d ɒ t ɒʲ i n ɒ k
adatait	ɒ d ɒ t ɒʲ i t
adatba	ɒ d ɒ d b ɒ
adatban	ɒ d ɒ d b ɒ n
adatbázis	ɒ d ɒ d b aː z i ʃ
adatbázisban	ɒ d ɒ d b aː z i ʒ b ɒ n
adatbázisok	ɒ d ɒ d b aː z i ʃ o k
adatbázisokban	ɒ d ɒ d b aː z i ʃ o ɡ b ɒ n
adatbázisunk	ɒ d ɒ d b aː z i ʃ u ŋ k
adatbázisunkban	ɒ d ɒ d b aː z i ʃ u ŋ ɡ b ɒ n
adatból	ɒ d ɒ d b oː l
adatfeldolgozás	ɒ d ɒ t f ɛ l d o l ɡ o z aː ʃ
adatfeldolgozások	ɒ d ɒ t f ɛ l d o l ɡ o z aː ʃ o k
adathoz	ɒ d ɒ t h o z
adatig	ɒ d ɒ t i ɡ
adatként	ɒ d ɒ t k eː n t
adatlap	ɒ d ɒ t l ɒ p
adatlapjai	ɒ d ɒ t l ɒ p j ɒʲ i
adatlapok	ɒ d ɒ t l ɒ p o k
adatnak	ɒ d ɒ t n ɒ k
adatnál	ɒ d ɒ t n aː l
adatok	ɒ d ɒ t o k
adatokat	ɒ d ɒ t o k ɒ t
adatokba	ɒ d ɒ t o ɡ b ɒ
adatokban	ɒ d ɒ t o ɡ b ɒ n
adatokból	ɒ d ɒ t o ɡ b oː l
adatokhoz	ɒ d ɒ t o k h o z
adatokig	ɒ d ɒ t o k i ɡ
adatokkal	ɒ d ɒ t o kː ɒ l
adatokká	ɒ d ɒ t o kː aː
adatokként	ɒ d ɒ t o kː eː n t
adatoknak	ɒ d ɒ t o k n ɒ k
adatoknál	ɒ d ɒ t o k n aː l
adatokon	ɒ d ɒ t o k o n
adatokra	ɒ d ɒ t o k r ɒ
adatokról	ɒ d ɒ t o k r oː l
adatoktól	ɒ d ɒ t o k t oː l
adatokért	ɒ d ɒ t o k eː r t
adatom	ɒ d ɒ t o m
adaton	ɒ d ɒ t o n
adatot	ɒ d ɒ t o t
adatra	ɒ d ɒ t r ɒ
adatról	ɒ d ɒ t r oː l
adattal	ɒ d ɒ tː ɒ l
adattá	ɒ d ɒ tː aː
adattípus	ɒ d ɒ tː iː p u ʃ
adattípusok	ɒ d ɒ tː iː p u ʃ o k
adattól	ɒ d ɒ tː oː l
adatvédelem	ɒ d ɒ t v eː d ɛ l ɛ m
adatállomány	ɒ d ɒ t aː lː o m aː ɲ
adatállományok	ɒ d ɒ t aː lː o m aː ɲ o k
adatátvitel	ɒ d ɒ t aː t v i t ɛ l
adatátviteli	ɒ d ɒ t aː t v i t ɛ l i
adatért	ɒ d ɒ t eː r t
add	ɒ dː
addig	ɒ dː i ɡ
addigi	ɒ dː i ɡ i
addiktológus	ɒ dː i k t o l oː ɡ u ʃ
addiktológusok	ɒ dː i k t o l oː ɡ u ʃ o k
adekvát	ɒ d ɛ k v aː t
adekvátabb	ɒ d ɛ k v aː t ɒ bː
adhat	ɒ t h ɒ t
adhatok	ɒ t h ɒ t o k
adhatsz	ɒ t h ɒ t͡sː
adiabatikus	ɒ d iʲ ɒ b ɒ t i k u ʃ
adj	ɒ ɟː
adja	ɒ ɟː ɒ
adjak	ɒ ɟː ɒ k
adjanak	ɒ ɟː ɒ n ɒ k
adjatok	ɒ ɟː ɒ t o k
adjon	ɒ ɟː o n
adjonisten	ɒ ɟː o n i ʃ t ɛ n
adjuk	ɒ ɟː u k
adjunk	ɒ ɟː u ŋ k
adják	ɒ ɟː aː k
adjátok	ɒ ɟː aː t o k
admin	ɒ d m i n
adminisztratív	ɒ d m i n i s t r ɒ t iː v
adminisztráció	ɒ d m i n i s t r aː t͡s iʲ oː
adminisztrációk	ɒ d m i n i s t r aː t͡s iʲ oː k
adminisztrációs	ɒ d m i n i s t r aː t͡s iʲ oː ʃ
adminisztrál	ɒ d m i n i s t r aː l
adminisztrátor	ɒ d m i n i s t r aː t o r
adminisztrátora	ɒ d m i n i s t r aː t o r ɒ
adminisztrátornak	ɒ d m i n i s t r aː t o r n ɒ k
adminisztrátorok	ɒ d m i n i s t r aː t o r o k
adminisztrátorokat	ɒ d m i n i s t r aː t o r o k ɒ t
adminisztrátorokkal	ɒ d m i n i s t r aː t o r o kː ɒ l
adminisztrátorral	ɒ d m i n i s t r aː t o rː ɒ l
adminisztrátort	ɒ d m i n i s t r aː t o r t
adminisztrátortól	ɒ d m i n i s t r aː t o r t oː l
adminisztrátorát	ɒ d m i n i s t r aː t o r aː t
adminisztrátorával	ɒ d m i n i s t r aː t o r aː v ɒ l
adminok	ɒ d m i n o k
admirális	ɒ d m i r aː l i ʃ
admirálisig	ɒ d m i r aː l i ʃ i ɡ
admirálisként	ɒ d m i r aː l i ʃ k eː n t
admirálisnak	ɒ d m i r aː l i ʃ n ɒ k
admirálisok	ɒ d m i r aː l i ʃ o k
admirálisokat	ɒ d m i r aː l i ʃ o k ɒ t
admirálisokig	ɒ d m i r aː l i ʃ o k i ɡ
admirálisokkal	ɒ d m i r aː l i ʃ o kː ɒ l
admirálisokká	ɒ d m i r aː l i ʃ o kː aː
admirálisokként	ɒ d m i r aː l i ʃ o kː eː n t
admirálisoknak	ɒ d m i r aː l i ʃ o k n ɒ k
admirálisokért	ɒ d m i r aː l i ʃ o k eː r t
admirálissal	ɒ d m i r aː l i ʃː ɒ l
admirálissá	ɒ d m i r aː l i ʃː aː
admirálist	ɒ d m i r aː l i ʃ t
admirálisért	ɒ d m i r aː l i ʃ eː r t
admittancia	ɒ d m i tː ɒ n t͡s iʲ ɒ
admittanciák	ɒ d m i tː ɒ n t͡s iʲ aː k
adna	ɒ d n ɒ
adnak	ɒ d n ɒ k
adni	ɒ d n i
adná	ɒ d n aː
adnád	ɒ d n aː d
adnák	ɒ d n aː k
adnál	ɒ d n aː l
adnának	ɒ d n aː n ɒ k
adnánk	ɒ d n aː ŋ k
adnátok	ɒ d n aː t o k
adnék	ɒ d n eː k
adod	ɒ d o d
adok	ɒ d o k
adolf	ɒ d o l f
adom	ɒ d o m
adománnyal	ɒ d o m aː ɲː ɒ l
adománnyá	ɒ d o m aː ɲː aː
adomány	ɒ d o m aː ɲ
adománya	ɒ d o m aː ɲ ɒ
adományai	ɒ d o m aː ɲ ɒʲ i
adományaid	ɒ d o m aː ɲ ɒʲ i d
adományaik	ɒ d o m aː ɲ ɒʲ i k
adományaim	ɒ d o m aː ɲ ɒʲ i m
adományaink	ɒ d o m aː ɲ ɒʲ i ŋ k
adományaitok	ɒ d o m aː ɲ ɒʲ i t o k
adományba	ɒ d o m aː ɲ b ɒ
adományban	ɒ d o m aː ɲ b ɒ n
adományból	ɒ d o m aː ɲ b oː l
adományhoz	ɒ d o m aː ɲ ɦ o z
adományig	ɒ d o m aː ɲ i ɡ
adományként	ɒ d o m aː ɲ k eː n t
adománynak	ɒ d o m aː ɲ n ɒ k
adománynál	ɒ d o m aː ɲ n aː l
adományod	ɒ d o m aː ɲ o d
adományok	ɒ d o m aː ɲ o k
adományokat	ɒ d o m aː ɲ o k ɒ t
adományokba	ɒ d o m aː ɲ o ɡ b ɒ
adományokban	ɒ d o m aː ɲ o ɡ b ɒ n
adományokból	ɒ d o m aː ɲ o ɡ b oː l
adományokhoz	ɒ d o m aː ɲ o k h o z
adományokig	ɒ d o m aː ɲ o k i ɡ
adományokkal	ɒ d o m aː ɲ o kː ɒ l
adományokká	ɒ d o m aː ɲ o kː aː
adományokként	ɒ d o m aː ɲ o kː eː n t
adományoknak	ɒ d o m aː ɲ o k n ɒ k
adományoknál	ɒ d o m aː ɲ o k n aː l
adományokon	ɒ d o m aː ɲ o k o n
adományokra	ɒ d o m aː ɲ o k r ɒ
adományokról	ɒ d o m aː ɲ o k r oː l
adományoktól	ɒ d o m aː ɲ o k t oː l
adományokért	ɒ d o m aː ɲ o k eː r t
adományom	ɒ d o m aː ɲ o m
adományon	ɒ d o m aː ɲ o n
adományotok	ɒ d o m aː ɲ o t o k
adományoz	ɒ d o m aː ɲ o z
adományozta	ɒ d o m aː ɲ o s t ɒ
adományozás	ɒ d o m aː ɲ o z aː ʃ
adományozások	ɒ d o m aː ɲ o z aː ʃ o k
adományra	ɒ d o m aː ɲ r ɒ
adományról	ɒ d o m aː ɲ r oː l
adományt	ɒ d o m aː ɲ t
adománytól	ɒ d o m aː ɲ t oː l
adományuk	ɒ d o m aː ɲ u k
adományul	ɒ d o m aː ɲ u l
adományunk	ɒ d o m aː ɲ u ŋ k
adományért	ɒ d o m aː ɲ eː r t
adoptál	ɒ d o p t aː l
adoptálás	ɒ d o p t aː l aː ʃ
adoptálások	ɒ d o p t aː l aː ʃ o k
adorján	ɒ d o r j aː n
adott	ɒ d o tː
adottak	ɒ d o tː ɒ k
adottakat	ɒ d o tː ɒ k ɒ t
adottakba	ɒ d o tː ɒ ɡ b ɒ
adottakban	ɒ d o tː ɒ ɡ b ɒ n
adottakból	ɒ d o tː ɒ ɡ b oː l
adottakhoz	ɒ d o tː ɒ k h o z
adottakig	ɒ d o tː ɒ k i ɡ
adottakkal	ɒ d o tː ɒ kː ɒ l
adottakká	ɒ d o tː ɒ kː aː
adottakként	ɒ d o tː ɒ kː eː n t
adottaknak	ɒ d o tː ɒ k n ɒ k
adottaknál	ɒ d o tː ɒ k n aː l
adottakon	ɒ d o tː ɒ k o n
adottakra	ɒ d o tː ɒ k r ɒ
adottakról	ɒ d o tː ɒ k r oː l
adottaktól	ɒ d o tː ɒ k t oː l
adottakért	ɒ d o tː ɒ k eː r t
adottal	ɒ d o tː ɒ l
adottat	ɒ d o tː ɒ t
adottba	ɒ d o d b ɒ
adottban	ɒ d o d b ɒ n
adottból	ɒ d o d b oː l
adotthoz	ɒ d o t h o z
adottig	ɒ d o tː i ɡ
adottként	ɒ d o t k eː n t
adottnak	ɒ d o t n ɒ k
adottnál	ɒ d o t n aː l
adotton	ɒ d o tː o n
adottra	ɒ d o t r ɒ
adottról	ɒ d o t r oː l
adottság	ɒ d o t ʃ aː ɡ
adottságok	ɒ d o t ʃ aː ɡ o k
adottá	ɒ d o tː aː
adottért	ɒ d o tː eː r t
adottól	ɒ d o tː oː l
adrienn	ɒ d r iʲ ɛ nː
adsz	ɒ t͡sː
adszorpció	ɒ t s o r p t͡s iʲ oː
adszorpciók	ɒ t s o r p t͡s iʲ oː k
adta	ɒ tː ɒ
adtak	ɒ tː ɒ k
adtam	ɒ tː ɒ m
adtok	ɒ tː o k
adtunk	ɒ tː u ŋ k
adták	ɒ tː aː k
adtál	ɒ tː aː l
adu	ɒ d u
aduba	ɒ d u b ɒ
aduban	ɒ d u b ɒ n
aduból	ɒ d u b oː l
adud	ɒ d u d
aduhoz	ɒ d u ɦ o z
adui	ɒ d uʲ i
aduid	ɒ d uʲ i d
aduig	ɒ d uʲ i ɡ
aduik	ɒ d uʲ i k
aduim	ɒ d uʲ i m
aduink	ɒ d uʲ i ŋ k
aduitok	ɒ d uʲ i t o k
aduja	ɒ d u j ɒ
adujuk	ɒ d u j u k
aduk	ɒ d u k
adukat	ɒ d u k ɒ t
adukba	ɒ d u ɡ b ɒ
adukban	ɒ d u ɡ b ɒ n
adukból	ɒ d u ɡ b oː l
adukhoz	ɒ d u k h o z
adukig	ɒ d u k i ɡ
adukkal	ɒ d u kː ɒ l
adukká	ɒ d u kː aː
adukként	ɒ d u kː eː n t
aduknak	ɒ d u k n ɒ k
aduknál	ɒ d u k n aː l
adukon	ɒ d u k o n
adukra	ɒ d u k r ɒ
adukról	ɒ d u k r oː l
aduktól	ɒ d u k t oː l
aduként	ɒ d u k eː n t
adukért	ɒ d u k eː r t
adum	ɒ d u m
adun	ɒ d u n
adunak	ɒ d u n ɒ k
adunk	ɒ d u ŋ k
adunál	ɒ d u n aː l
adura	ɒ d u r ɒ
aduról	ɒ d u r oː l
adut	ɒ d u t
adutok	ɒ d u t o k
adutól	ɒ d u t oː l
aduval	ɒ d u v ɒ l
aduvá	ɒ d u v aː
aduért	ɒ d uʲ eː r t
adva	ɒ d v ɒ
ady	ɒ d i
adás	ɒ d aː ʃ
adása	ɒ d aː ʃ ɒ
adások	ɒ d aː ʃ o k
adó	ɒ d oː
adóba	ɒ d oː b ɒ
adóban	ɒ d oː b ɒ n
adóbevallás	ɒ d oː b ɛ v ɒ lː aː ʃ
adóbevallások	ɒ d oː b ɛ v ɒ lː aː ʃ o k
adóbevallásokat	ɒ d oː b ɛ v ɒ lː aː ʃ o k ɒ t
adóbevallást	ɒ d oː b ɛ v ɒ lː aː ʃ t
adóból	ɒ d oː b oː l
adócsalás	ɒ d oː t͡ʃ ɒ l aː ʃ
adócsalások	ɒ d oː t͡ʃ ɒ l aː ʃ o k
adócsalásokat	ɒ d oː t͡ʃ ɒ l aː ʃ o k ɒ t
adócsalást	ɒ d oː t͡ʃ ɒ l aː ʃ t
adócsökkentés	ɒ d oː t͡ʃ ø kː ɛ n t eː ʃ
adócsökkentések	ɒ d oː t͡ʃ ø kː ɛ n t eː ʃ ɛ k
adód	ɒ d oː d
adódik	ɒ d oː d i k
adófizető	ɒ d oː f i z ɛ t øː
adóhatóság	ɒ d oː ɦ ɒ t oː ʃ aː ɡ
adóhoz	ɒ d oː ɦ o z
adói	ɒ d oːʲ i
adóid	ɒ d oːʲ i d
adóig	ɒ d oːʲ i ɡ
adóik	ɒ d oːʲ i k
adóim	ɒ d oːʲ i m
adóink	ɒ d oːʲ i ŋ k
adóitok	ɒ d oːʲ i t o k
adója	ɒ d oː j ɒ
adójuk	ɒ d oː j u k
adók	ɒ d oː k
adókat	ɒ d oː k ɒ t
adókba	ɒ d oː ɡ b ɒ
adókban	ɒ d oː ɡ b ɒ n
adókból	ɒ d oː ɡ b oː l
adókedvezmény	ɒ d oː k ɛ d v ɛ z m eː ɲ
adókhoz	ɒ d oː k h o z
adókig	ɒ d oː k i ɡ
adókkal	ɒ d oː kː ɒ l
adókká	ɒ d oː kː aː
adókként	ɒ d oː kː eː n t
adóknak	ɒ d oː k n ɒ k
adóknál	ɒ d oː k n aː l
adókon	ɒ d oː k o n
adókra	ɒ d oː k r ɒ
adókról	ɒ d oː k r oː l
adóktól	ɒ d oː k t oː l
adókulcs	ɒ d oː k u l t͡ʃ
adókulcsok	ɒ d oː k u l t͡ʃ o k
adóként	ɒ d oː k eː n t
