aba	a b a
agust	a ɡ u s t
ai	a j
aia	a j a
aiest	a j e s t
aievea	a j e v e̯ a
aisberg	a j s b e r ɡ
aiurea	a j u r e̯ a
aiurit	a j u r i t
ajutător	a ʒ u t ə t o r
al	a l
alamă	a l a m ə
alarma	a l a r m a
alb	a l b
alba	a l b a
albatros	a l b a t r o s
albă	a l b ə
albăstrea	a l b ə s t r e̯ a
albăstrele	a l b ə s t r e l e
albăstri	a l b ə s t r i
albăstriu	a l b ə s t r i w
albăstrui	a l b ə s t r u j
albe	a l b e
albi	a l bʲ
albi	a l b i
albicios	a l b i t͡ʃʲ o s
albinar	a l b i n a r
albină	a l b i n ə
albinărel	a l b i n ə r e l
albinos	a l b i n o s
alchimic	a l c i m i k
ale	a l e
alea	a l e̯ a
aleatoriu	a l e a t o r j u
alene	a l e n e
alexandru	a l e k s a n d r u
alfabet	a l f a b e t
algebric	a l d͡ʒ e b r i k
algoritm	a l ɡ o r i t m
alo	a l o
alogic	a l o d͡ʒ i k
alotropic	a l o t r o p i k
alpaca	a l p a k a
alt	a l t
altă	a l t ə
altcândva	a l t k ɨ n d v a
altceva	a l t t͡ʃ e v a
altcineva	a l t t͡ʃ i n e v a
altera	a l t e r a
altoi	a l t o i
altoi	a l t o j
altundeva	a l t u n d e v a
aluminifer	a l u m i n i f e r
aluminiu	a l u m i n j u
alunar	a l u n a r
alunga	a l u n ɡ a
alungi	a l u n d͡ʒ i
am	a m
amabil	a m a b i l
amabile	a m a b i l e
amabili	a m a b i lʲ
amar	a m a r
amarilis	a m a r i l i s
amănunțit	a m ə n u n t͡s i t
amărăcios	a m ə r ə t͡ʃʲ o s
amărât	a m ə r ɨ t
ambii	a m b i j
american	a m e r i k a n
americancă	a m e r i k a ŋ k ə
americani	a m e r i k a nʲ
amestecat	a m e s t e k a t
amețit	a m e t͡s i t
amfibian	a m f i b i a n
amfibian	a m f i b j a n
amiază	a m j a z ə
amical	a m i k a l
amicale	a m i k a l e
amidon	a m i d o n
analist	a n a l i s t
analistă	a n a l i s t ə
analog	a n a l o ɡ
analogic	a n a l o d͡ʒ i k
anarhic	a n a r h i k
anatide	a n a t i d e
anatomia	a n a t o m i a
anatomic	a n a t o m i k
anatomist	a n a t o m i s t
andorran	a n d o r a n
andrea	a n d r e̯ a
anecdotic	a n e k d o t i k
anexa	a n e k s a
angheluță	a n ɡ e l u t͡s ə
anglican	a ŋ ɡ l i k a n
anglofon	a ŋ ɡ l o f o n
animal	a n i m a l
animală	a n i m a l ə
animatoare	a n i m a t o̯ a r e
animator	a n i m a t o r
anormal	a n o r m a l
anotimp	a n o t i m p
anterior	a n t e r i o r
antic	a n t i k
antic	a n t i k
antiguan	a n t i ɡ u a n
antilopă	a n t i l o p ə
antrenare	a n t r e n a r e
antropolog	a n t r o p o l o ɡ
antropologă	a n t r o p o l o ɡ ə
anual	a n u a l
anulat	a n u l a t
anumit	a n u m i t
aparat	a p a r a t
apartament	a p a r t a m e n t
apatrid	a p a t r i d
apărătoare	a p ə r ə t o̯ a r e
apătos	a p ə t o s
apicultoare	a p i k u l t o̯ a r e
apicultor	a p i k u l t o r
apos	a p o s
aprig	a p r i ɡ
aprilie	a p r i l i j e
aprins	a p r i n s
apropo	a p r o p o
apus	a p u s
ar	a r
ara	a r a
ara	a r a
arab	a r a b
arabic	a r a b i k
arabil	a r a b i l
arahidă	a r a h i d ə
arahide	a r a h i d e
arahnidă	a r a h n i d ə
aramă	a r a m ə
aratru	a r a t r u
arămiu	a r ə m i w
arător	a r ə t o r
arătos	a r ə t o s
arboricultoare	a r b o r i k u l t o̯ a r e
arboricultor	a r b o r i k u l t o r
are	a r e
argentina	ɑ r d ʒ e n t i n a
argilos	a r d͡ʒ i l o s
argintie	a r d͡ʒ i n t i e
argintii	a r d͡ʒ i n t i j
argon	a r ɡ o n
arheolog	a r h e o l o ɡ
arheologă	a r h e o l o ɡ ə
arhicunoscut	a r h i k u n o s k u t
arhitect	a r h i t e k t
arhitectă	a r h i t e k t ə
arhivar	a r h i v a r
arhivist	a r h i v i s t
arinos	a r i n o s
aripă	a r i p ə
aripă	a r i p ə
aritmetic	a r i t m e t i k
armat	a r m a t
armean	a r m e̯ a n
armeană	a r m e̯ a n ə
armeancă	a r m e̯ a ŋ k ə
armoniza	a r m o n i z a
armurier	a r m u r i e r
arogant	a r o ɡ a n t
ars	a r s
arsen	a r s e n
artă	a r t ə
artistic	a r t i s t i k
ascunde	a s k u n d e
ascuțit	a s k u t͡s i t
asemenea	a s e m e n e̯ a
asistat	a s i s t a t
aspirator	a s p i r a t o r
aspru	a s p r u
astăzi	a s t ə zʲ
astea	a s t e̯ a
astrobiolog	a s t r o b i o l o ɡ
astrobiologă	a s t r o b i o l o ɡ ə
astrofizician	a s t r o f i z i t͡ʃ i a n
astrofiziciană	a s t r o f i z i t͡ʃ i a n ə
astronaut	a s t r o n a u t
astronaută	a s t r o n a u t ə
astronom	a s t r o n o m
astronomă	a s t r o n o m ə
aș	a ʃ
atare	a t a r e
atât	a t ɨ t
atâta	a t ɨ t a
atent	a t e n t
atinge	a t i n d͡ʒ e
atlantic	a t l a n t i k
atom	a t o m
atotputernic	a t o t p u t e r n i k
atotștiutor	a t o t ʃ t i u t o r
au	a w
audiovizual	a u d i o v i z u a l
august	a w ɡ u s t
august	a w ɡ u s t
aur	a w r
auriu	a u r i w
australian	a u s t r a l i a n
aușel	a u ʃ e l
autohton	a u t o h t o n
autohton	a u t o h t o n
automat	a u t o m a t
automată	a u t o m a t ə
automate	a u t o m a t e
avantajos	a v a n t a ʒ o s
avaria	a v a r i a
avânta	a v ɨ n t a
avea	a v e̯ a
aventura	a v e n t u r a
aviatoare	a v i a t o̯ a r e
aviator	a v i a t o r
avion	a v j o n
aviva	a v i v a
avocat	a v o k a t
avocată	a v o k a t ə
avut	a v u t
azi	a zʲ
azot	a z o t
azotos	a z o t o s
ă	ə
ă	ə
ăia	ə j a
ăl	ə l
ăleia	ə l e j a
ălora	ə l o r a
ăluia	ə l u j a
ăst	ə s t
ăstora	ə s t o r a
ăstuia	ə s t u j a
b	b e
b	b
b	b
b	b e
baban	b a b a n
babau	b a b a w
babaua	b a b a w a
balcon	b a l k o n
balenă	b a l e n ə
balerină	b a l e r i n ə
baletistă	b a l e t i s t ə
bara	b a r a
barman	b a r m a n
barmaniță	b a r m a n i t͡s ə
barză	b a r z ə
bască	b a s k ə
bă	b ə
bădăran	b ə d ə r a n
băgăreț	b ə ɡ ə r e t͡s
băi	b ə j
băl	b ə l
bălai	b ə l a j
bălan	b ə l a n
bălțat	b ə l t͡s a t
bărbat	b ə r b a t
bărbați	b ə r b a t sʲ
bărbătos	b ə r b ə t o s
bărbos	b ə r b o s
bătrân	b ə t r ɨ n
băubil	b ə u b i l
băut	b ə u t
băutor	b ə u t o r
băutură	b ə u t u r ə
bâtlan	b ɨ t l a n
bebe	b e b e
bebe	b e b e
beep	b i p
bej	b e ʒ
bengal	b e ŋ ɡ a l
benzinărie	b e n z i n ə r i e
bere	b e r e
beriliu	b e r i l j u
berlin	b ɛ r l i n̪
bete	b e t e
bețivan	b e t͡s i v a n
bezmetic	b e z m e t i k
bianual	b i a n u a l
bibilică	b i b i l i k ə
bibliotecar	b i b l i o t e k a r
bideu	b i d e w
bidon	b i d o n
biet	b j e t
biete	b j e t e
bilet	b i l e t
binar	b i n a r
bine	b i n e
binefăcător	b i n e f ə k ə t o r
biochimic	b i o c i m i k
biochimist	b i o k i m i s t
biochimistă	b i o k i m i s t ə
biolog	b i o l o ɡ
biologă	b i o l o ɡ ə
biologic	b i o l o d͡ʒ i k
birman	b i r m a n
birou	b i r o w
bisericos	b i s e r i k o s
bisexual	b i s e k s u a l
bituminos	b i t u m i n o s
bivalent	b i v a l e n t
bizon	b i z o n
blajin	b l a ʒ i n
blajinătate	b l a ʒ i n ə t a t e
blasfemie	b l a s f e m i e
blănar	b l ə n a r
blănăreasă	b l ə n ə r e̯ a s ə
blând	b l ɨ n d
bleg	b l e ɡ
blestemat	b l e s t e m a t
bleu	b l ø
bleu	b l ø
blond	b l o n d
boace	b o̯ a t͡ʃ e
boala	b o̯ a l a
boem	b o e m
boldești	b o l d e ʃ tʲ
bolivian	b o l i v i a n
bolnav	b o l n a v
bomba	b o m b a
bombă	b o m b ə
bomboană	b o m b o̯ a n ə
bomfaier	b o m f a j e r
bont	b o n t
bor	b o r
borcan	b o r k a n
borțoasă	b o r t͡s o̯ a s ə
borțos	b o r t͡s o s
bosumfla	b o s u m f l a
bosumflat	b o s u m f l a t
boșorog	b o ʃ o r o ɡ
botanic	b o t a n i k
botanică	b o t a n i k ə
botanist	b o t a n i s t
botanistă	b o t a n i s t ə
botezat	b o t e z a t
botgros	b o t ɡ r o s
botroș	b o t r o ʃ
botroș	b o t r o ʃ
bovin	b o v i n
boxer	b o k s e r
brancardier	b r a ŋ k a r d i e r
braț	b r a t s
brav	b r a v
brădioară	b r ə d i o̯ a r ə
brânză	b r ɨ n z ə
bre	b r e
breban	b r e b a n
breton	b r e t o n
brie	b r i
brigadier	b r i ɡ a d i e r
britanic	b r i t a n i k
britanici	b r i t a n i t͡ʃʲ
brom	b r o m
brumar	b r u m a r
brumărel	b r u m ə r e l
brumăriu	b r u m ə r i w
brun	b r u n
bruna	b r u n a
brune	b r u n e
bruni	b r u nʲ
brusc	b r u s k
brutal	b r u t a l
bucătărie	b u k ə t ə r i j e
bucureștean	b u k u r e ʃ t e̯ a n
bucureșteni	b u k u r e ʃ t e nʲ
bucurești	b u k u r e ʃ tʲ
bucuros	b u k u r o s
buda	b u d a
budism	b u d i s m
bufal	b u f a l
bufnă	b u f n ə
bufniță	b u f n i t͡s ə
bufon	b u f o n
buged	b u d͡ʒ e d
buiestru	b u j e s t r u
bujor	b u ʒ o r
bulangiu	b u l a n d ʒ i w
bulevard	b u l e v a r d
bulgare	b u l ɡ a r e
bulgaria	b u l ɡ a r j a
bulgaru	b u l ɡ a r u
bun	b u n
bunăvoință	b u n ə v o i n t͡s ə
bunget	b u n d͡ʒ e t
buni	b u nʲ
bunică	b u n i k
bunicuț	b u n i k u t͡s
bunicuță	b u n i k u t͡s ə
bura	b u r a
burghiu	b u r ɡ i w
burlac	b u r l a k
burtos	b u r t o s
buză	b u z ə
buzoianu	b u z o j a n u
c	t ʃ e
c	k
c	t ʃ
c	t ʃ e
ca	k a
cad	k a d
cafea	k a f e̯ a
cafeniu	k a f e n i w
caiman	k a j m a n
cal	k a l
calamar	k a l a m a r
calambur	k a l a m b u r
calcan	k a l k a n
calcar	k a l k a r
calcar	k a l k a r
calcare	k a l k a r e
calcare	k a l k a r e
calcaros	k a l k a r o s
calciu	k a l t͡ʃ j u
calcul	k a l k u l
calculat	k a l k u l a t
cald	k a l d
caldă	k a l d ə
calde	k a l d e
calificat	k a l i f i k a t
caligrafie	k a l i ɡ r a f i e
calmar	k a l m a r
calotă	k a l o t ə
calzi	k a l zʲ
cameraman	k a m e r a m a n
cameră	k a m e r ə
canar	k a n a r
canicular	k a n i k u l a r
caniculă	k a n i k u l ə
cantata	k a n t a t a
cantautor	k a n t a u t o r
cantinier	k a n t i n i e r
cap	k a p
cap	k a p
capabil	k a p a b i l
capital	k a p i t a l
capitalist	k a p i t a l i s t
capră	k a p r ə
caprin	k a p r i n
caprină	k a p r i n ə
caracara	k a r a k a r a
caracteristică	k a r a k t e r i s t i k ə
caracteristici	k a r a k t e r i s t i t͡ʃʲ
carbon	k a r b o n
carboxilic	k a r b o k s i l i k
cardinal	k a r d i n a l
cardinali	k a r d i n a lʲ
cardiolog	k a r d i o l o ɡ
cardiologă	k a r d i o l o ɡ ə
care	k a r e
caricaturist	k a r i k a t u r i s t
caricaturistă	k a r i k a t u r i s t ə
carne	k a r n e
carnivor	k a r n i v o r
cartea	k a r t e̯ a
cartezian	k a r t e z i a n
cartograf	k a r t o ɡ r a f
casnic	k a s n i k
cast	k a s t
castaniu	k a s t a n i w
castravete	k a s t r a v e t e
caș	k a ʃ
cașalot	k a ʃ a l o t
catastrofic	k a t a s t r o f i k
catifea	k a t i f e̯ a
catifelat	k a t i f e l a t
caucă	k a w k ə
caviar	k a v i a r
cazuar	k a z u a r
cazuistic	k a z u i s t i k
căci	k ə t͡ʃʲ
călare	k ə l a r e
călător	k ə l ə t o r
căldăraș	k ə l d ə r a ʃ
călugăr	k ə l u ɡ ə r
călugăriță	k ə l u ɡ ə r i t s ə
cămașă	k ə m a ʃ ə
cămilă	k ə m i l ə
căpățânos	k ə p ə t͡s ɨ n o s
căpos	k ə p o s
căpresc	k ə p r e s k
căprui	k ə p r u j
cărămiziu	k ə r ə m i z i w
cărbune	k ə r b u n e
cărindar	k ə r i n d a r
cărnos	k ə r n o s
cărunt	k ə r u n t
căscăund	k ə s k ə u n d
căsnicie	k ə s n i t͡ʃ i j e
căzut	k ə z u t
câine	k ɨ j n e
câinos	k ɨ j n o s
câmpean	k ɨ m p e̯ a n
câmpenesc	k ɨ m p e n e s k
cândva	k ɨ n d v a
cântat	k ɨ n t a t
cântăreața	k ɨ n t ə r e̯ a t͡s a
cântăreț	k ɨ n t ə r e t͡s
cântărețele	k ɨ n t ə r e t͡s e l e
cântăreții	k ɨ n t ə r e t͡s iʲ
cântărețul	k ɨ n t ə r e t͡s u l
cântărețul	k ɨ n t ə r e t͡s u
cântări	k ɨ n t ə r i
cântător	k ɨ n t ə t o r
cânte	k ɨ n t e
cântec	k ɨ n t e k
cârn	k ɨ r n
cârtiță	k ɨ r t i t͡s ə
cât	k ɨ t
câtă	k ɨ t ə
câte	k ɨ t e
câți	k ɨ t͡sʲ
cd	s i d i
cea	t͡ʃ e̯ a
ceacâr	t͡ʃ e̯ a k ɨ r
ceapă	t͡ʃ e̯ a p ə
ceară	t͡ʃ e̯ a r ə
ceașcă	t͡ʃ e̯ a ʃ k ə
ceață	t͡ʃ e̯ a t͡s ə
cecen	t͡ʃ e t͡ʃ e n
ceh	t͡ʃ e h
cei	t͡ʃ e j
celălalt	t͡ʃ e l ə l a l t
cele	t͡ʃ e l e
celebra	t͡ʃ e l e b ɾ a
celebru	t͡ʃ e l e b r u
celt	t͡ʃ e l t
celți	t͡ʃ e l t͡sʲ
centrali	t͡ʃ e n t r a lʲ
cenușiu	t͡ʃ e n u ʃ i w
ceramistă	t͡ʃ e r a m i s t ə
cerca	t͡ʃ e r k a
ceresc	t͡ʃ e r e s k
ceros	t͡ʃ e r o s
cert	t͡ʃ e r t
cești	t͡ʃ e ʃ tʲ
cețos	t͡ʃ e t͡s o s
chefal	k e f a l
cheia	k e j a
chel	k e l
chiar	k j a r
chimic	c i m i k
chimist	k i m i s t
chimistă	k i m i s t ə
chinez	k i n e z
chineză	c i n e z ə
chinezi	k i n e zʲ
chinezoaică	k i n e z o̯ a j k ə
chinezoaice	k i n e z o̯ a j t͡ʃ e
chinui	k i n u i
chip	k i p
christadelfian	k r i s t a d e l f i a n
ci	t͡ʃ i
ciao	t͡ʃ a u
ciclist	t͡ʃ i k l i s t
ciclistă	t͡ʃ i k l i s t ə
cimbru	t͡ʃ i m b r u
cincea	t͡ʃ i n t͡ʃ e̯ a
cinci	t͡ʃ i n t͡ʃʲ
cincilea	t͡ʃ i n t͡ʃ i l e̯ a
cincisprezece	t͡ʃ i n t͡ʃʲ s p r e z e t͡ʃ e
cincisprezece	t͡ʃ i n s p r e z e t͡ʃ e
cincisprezecea	t͡ʃ i n t͡ʃʲ s p r e z e t͡ʃ e̯ a
cincisprezecea	t͡ʃ i n s p r e z e t͡ʃ e̯ a
cincisprezecelea	t͡ʃ i n t͡ʃʲ s p r e z e t͡ʃ e l e̯ a
cincisprezecelea	t͡ʃ i n s p r e z e t͡ʃ e l e̯ a
cincizecea	t͡ʃ i n t͡ʃʲ z e t͡ʃ e̯ a
cincizecea	t͡ʃ i n z e t͡ʃ e̯ a
cincizeci	t͡ʃ i n z e t͡ʃʲ
cincizeci	t͡ʃ i n t͡ʃʲ z e t͡ʃʲ
cincizecilea	t͡ʃ i n t͡ʃʲ z e t͡ʃ i l e̯ a
cincizecilea	t͡ʃ i n z e t͡ʃ i l e̯ a
cinetic	t͡ʃ i n e t i k
cineva	t͡ʃ i n e v a
cinstit	t͡ʃ i n s t i t
cinșpe	t͡ʃ i n ʃ p e
cinșpea	t͡ʃ i n ʃ p e̯ a
cinșpelea	t͡ʃ i n ʃ p e l e̯ a
cinteză	t ʃ i n t e z ə
cinzeci	t͡ʃ i n z e t͡ʃʲ
cioacă	t͡ʃ j o̯ a k ə
cioară	t͡ʃ j o̯ a r ə
ciocănitoare	t͡ʃ j o k ə n i t o̯ a r e
ciocârlan	t͡ʃ j o k ɨ r l a n
ciocârlie	t͡ʃ j o k ɨ r l i e
ciorap	t͡ʃ o ɾ a p
circumscrie	t͡ʃ i r k u m s k r i e
cireașă	t͡ʃ i r e̯ a ʃ ə
cireșar	t͡ʃ i r e ʃ a r
citeț	t͡ʃ i t e t͡s
ciufut	t͡ʃʲ u f u t
ciut	t͡ʃʲ u t
ciută	t͡ʃ j u t ə
civiliza	t͡ʃ i v i l i z a
clari	k l a rʲ
climatolog	k l i m a t o l o ɡ
climatologă	k l i m a t o l o ɡ ə
clor	k l o r
cneaz	k n e̯ a z
coacin	k o̯ a t͡ʃ i n
coafor	k o̯ a f o r
coaie	k o̯ a j e
coapsă	k o̯ a p s ə
cobai	k o b a j
cobalt	k o b a l t
coborât	k o b o r ɨ t
cobză	k o b z ə
cochet	k o c e t
cochilie	k o k i l i e
cocor	k o k o r
cocoșat	k o k o ʃ a t
cocoșați	k o k o ʃ a t͡sʲ
codalb	k o d a l b
codalbi	k o d a l bʲ
codaș	k o d a ʃ
codificat	k o d i f i k a t
codobatură	k o d o b a t u r ə
colaborator	k o l a b o r a t o r
colectați	k o l e k t a t͡sʲ
colibă	k o l i b ə
colibri	k o l i b r i
colorat	k o l o r a t
comandant	k o m a n d a n t
combinat	k o m b i n a t
comestibil	k o m e s t i b i l
comorian	k o m o r i a n
competent	k o m p e t e n t
complet	k o m p l e t
completa	k o m p l e t a
completa	k o m p l e t a
component	k o m p o n e n t
componentă	k o m p o n e n t ə
compus	k o m p u s
concentrat	k o n t͡ʃ e n t r a t
condor	k o n d o r
condor	k o n d o r
conducere	k o n d u t͡ʃ e r e
configurare	k o n f i ɡ u r a r e
conform	k o n f o r m
confuz	k o n f u z
conjuga	k o n ʒ u ɡ a
conjugal	k o n ʒ u ɡ a l
conjugare	k o n ʒ u ɡ a r e
conopidă	k o n o p i d ə
consecvent	k o n s e k v e n t
conspirație	k o n s p i r a t͡s i e
construit	k o n s t r u i t
consular	k o n s u l a r
conștient	k o n ʃ t i e n t
conștiință	k o n ʃ t i i̯ n t͡s ə
contabil	k o n t a b i l
contabilă	k o n t a b i l ə
contabile	k o n t a b i l e
contabili	k o n t a b i lʲ
contagios	k o n t a d͡ʒ i o s
continental	k o n t i n e n t a l
continua	k o n t i n u a
continua	k o n t i n u a
continuă	k o n t i n u ə
continuă	k o n t i n u ə
continue	k o n t i n u e
continui	k o n t i n u j
continuu	k o n t i n u u
continuu	k o n t i n u w
contrar	k o n t r a r
contrazice	k o n t r a z i t͡ʃ e
controlați	k o n t r o l a t͡sʲ
contur	k o n t u r
convențional	k o n v e n t͡s i o n a l
convingător	k o n v i ŋ ɡ ə t o r
copac	k o p a k
copil	k o p i l
copt	k o p t
corb	k o r b
corbiu	k o r b i w
corect	k o r e k t
coregraf	k o r e ɡ r a f
coregrafă	k o r e ɡ r a f ə
corigibil	k o r i d͡ʒ i b i l
corijabil	k o r i ʒ a b i l
cormoran	k o r m o r a n
cornut	k o r n u t
corupe	k o r u p e
corupt	k o r u p t
cosmetician	k o s m e t i t͡ʃ i a n
cosmeticiană	k o s m e t i t͡ʃ i a n ə
cosmic	k o s m i k
cosmonaut	k o s m o n a u t
costarican	k o s t a r i k a n
costum	k o s t u m
costume	k o s t u m e
cotoi	k o t o j
coțofană	k o t͡s o f a n ə
covrig	k o v r i ɡ
covrigei	k o v r i d͡ʒ e j
covrigel	k o v r i d͡ʒ e l
covrigi	k o v r i d ʒʲ
crampon	k r a m p o n
crap	k r a p
crăciun	k r ə t ʃ j u n
crea	k r e a
creativ	k r e a t i v
credibil	k r e d i b i l
credincios	k r e d i n t͡ʃʲ o s
credință	k r e d i n t͡s ə
creier	k r e j e r
crescut	k r e s k u t
creștinesc	k r e ʃ t i n e s k
creț	k r e t͡s
criminolog	k r i m i n o l o ɡ
criminologă	k r i m i n o l o ɡ ə
criminologist	k r i m i n o l o d͡ʒ i s t
criminologistă	k r i m i n o l o d͡ʒ i s t ə
crin	k r i n
crini	k r i nʲ
cristian	k r i s t j a n
cristian	k r i s t i a n
critic	k r i t i k
criticabil	k r i t i k a b i l
croat	k r o a t
croată	k r o a t ə
crocodil	k r o k o d i l
crom	k r o m
cronic	k r o n i k
cruciș	k r u t͡ʃ i ʃ
crud	k r u d
cu	k u
cuc	k u k
cuceritor	k u t͡ʃ e r i t o r
cucuvea	k u k u v e̯ a
culca	k u l k a
culcuș	k u l k u ʃ
culori	k u l o rʲ
cult	k u l t
cuminte	k u m i n t e
cumplit	k u m p l i t
cunoscător	k u n o s k ə t o r
cunoscut	k u n o s k u t
cuprins	k u p r i n s
cupru	k u p r u
cuptor	k u p t o r
cur	k u r
curajos	k u r a ʒ o s
curat	k u r a t
curățat	k u r ə t͡s a t
curcan	k u r k a n
curcă	k u r k ə
curea	k u r e̯ a
curent	k u r e n t
curios	k u r i o s
curist	k u r i s t
cursiv	k u r s i v
curul	k u r u l
curul	k u r u
cururile	k u r u r i l e
curva	k u r v a
cuscră	k u s k r ə
cuscru	k u s k r u
cutare	k u t a r e
cuvânta	k u v ɨ n t a
cuvântare	k u v ɨ n t a r e
cuviincios	k u v i i n t͡ʃʲ o s
cuvios	k u v i o s
cvas	k v a s
d	d e
d	d
d	d e
da	d a
dacia	d a t͡ʃ i a
damnat	d a m n a t
dansator	d a n s a t o r
dar	d a r
darămite	d a r ə m i t e
dator	d a t o r
datorită	d a t o r i t ə
dărâma	d ə r ɨ m a
de	d e
deasupra	d e̯ a s u p r a
debandadă	d e b a n d a d ə
decafeinizat	d e k a f e i n i z a t
decembrie	d e t͡ʃ e m b r i j e
declinare	d e k l i n a r e
dedesubt	d e d e s u b t
dedesubt	d e d e s u p t
degenera	d e d͡ʒ e n e r a
dejun	d e ʒ u n
delibera	d e l i b e r a
delicat	d e l i k a t
delicate	d e l i k a t e
demn	d e m n
demograf	d e m o ɡ r a f
demografă	d e m o ɡ r a f ə
demonstrabil	d e m o n s t r a b i l
dentist	d e n t i s t
dentistă	d e n t i s t ə
deoarece	d e o̯ a r e t͡ʃ e
departe	d e p a r t e
depărta	d e p ə r t a
dependent	d e p e n d e n t
deplinătate	d e p l i n ə t a t e
deprimat	d e p r i m a t
deranja	d e r a n ʒ a
dermatolog	d e r m a t o l o ɡ
dermatologă	d e r m a t o l o ɡ ə
des	d e s
descriere	d e s k r i e r e
desculț	d e s k u l t͡s
descurcăreț	d e s k u r k ə r e t͡s
despotic	d e s p o t i k
destinat	d e s t i n a t
deșert	d e ʃ e r t
deșteptăciune	d e ʃ t e p t ə t͡ʃ j u n e
deșteptul	d e ʃ t e p t u l
detaliat	d e t a l i a t
detaliu	d e t a l j u
deteriorat	d e t e r i o r a t
determina	d e t e r m i n a
devreme	d e v r e m e
dezamăgit	d e z a m ə d͡ʒ i t
dezgustător	d e z ɡ u s t ə t o r
dezice	d e z i t͡ʃ e
dezmierda	d e z m j e r d a
dezvoltat	d e z v o l t a t
diacon	d i a k o n
diacritic	d i a k r i t i k
dialectal	d i a l e k t a l
diastolic	d i a s t o l i k
dicționar	d i k t͡s i o n a r
diferi	d i f e r i
diferit	d i f e r i t
digital	d i d͡ʒ i t a l
dihor	d i h o r
dihor	d i h o r
dimineața	d i m i n e̯ a t͡s a
dimineață	d i m i n e̯ a t s ə
din	d i n
dinamic	d i n a m i k
dinozaur	d i n o z a u r
dintru	d i n t r u
direct	d i r e k t
distanța	d i s t a n t͡s a
distanță	d i s t a n t͡s ə
distrate	d i s t r a t e
distrați	d i s t r a t͡sʲ
distruge	d i s t ɾ u d͡ʒ e
divers	d i v e r s
divin	d i v i n
doar	d o̯ a r
doctoră	d o k t o r ə
dogmatic	d o ɡ m a t i k
doi	d o j
doilea	d o j l e̯ a
doisprezece	d o j s p r e z e t͡ʃ e
doisprezecelea	d o j s p r e z e t͡ʃ e l e̯ a
doișpe	d o j ʃ p e
doișpelea	d o j ʃ p e l e̯ a
domestic	d o m e s t i k
domestici	d o m e s t i t͡ʃ i
domnesc	d o m n e s k
domol	d o m o l
doua	d o w a
două	d o w ə
douăsprezece	d o w ə s p r e z e t͡ʃ e
