abl	a b l̩
ysgawen	ə s k a u̯ ɛ n
ysglodyn	s k l oː d ɪ n
ysglodyn	s k l ɔ d ɪ n
ysglodyn	ə s k l oː d ɪ n
ysglodyn	ə s k l ɔ d ɪ n
ysgrifen	s k r ɪ v ɛ n
ysgrifen	ə s k r ɪ v ɛ n
ysgrifennu	s k r ɪ v ɛ n i
ysgrifennu	ə s k r ɪ v ɛ n i
ysgubor	ə s k iː b ɔ r
ysgubor	ə s k ɪ b ɔ r
ysguthan	s k ɪ θ a n
ysguthan	ə s k ɪ θ a n
ystafell	s t a v ɛ ɬ
ystafell	s t aː v ɛ ɬ
ystafell	ə s t a v ɛ ɬ
ystafell	ə s t aː v ɛ ɬ
ystifflog	ə s t ɪ f l ɔ ɡ
ystradwel	ə s t r a d w ɛ l
ystyr	ə s t ɪ r
ystyried	ə s t ə r j ɛ d
