abot	a b ʊ t̪
pito	p i t̪ o
plas	p l̪ a s̪
puklo	p u k l o ʔ
rosquillos	ɾ̪ o s̪ k i l̪ j o s̪
sanga	s a ŋ a
sangay	s a ŋ a ɪ
sapot	s̪ a p o t̪
sapot	s̪ a p o ʔ t̪
sibuyas	s̪ i b u d ʒ a s̪
sibuyas	s̪ i b u j a s̪
sigay	s̪ i ɡ a ɪ
sikaduha	s̪ i k a d̪ u h a
sikatulo	s̪ i k a t̪ u l o
sikatulo	s̪ i k a t̪ u l ɔ
sipat	s̪ i p a t̪
siya	s i ʎ a
siya	s ɪ j a
siya	s ɪ ʎ a
siyam	s̪ i j ʌ m
suka	s̪ u k a
suka	s̪ u k a ʔ
suko	s u k ɔ
sulod	s̪ u d̪
sulod	s̪ u j o d̪
sulod	s̪ u l̪ o d̪
sulom	s̪ u j o m
sulom	s̪ u l̪ o m
sulom	s̪ u m
taas	t̪ a ʔ a s̪
taga	t̪ a ɡ a
taga	t̪ a ɡ a ʔ
tagiptip	t̪ a ɡ i p t̪ i p
tahod	t̪ a h o d̪
tahod	t̪ a h o d̪ ʔ
takilya	t a k i l j a
tanga	t a ŋ a
tanga	t a ŋ a ʔ
taop	t̪ a ɔ p
tapis	t̪ a p i s̪
tapo	t̪ a p o ʔ
tapo	t̪ a p ɔ ʔ
tata	t̪ a t̪ a
tata	t̪ a ʔ t̪ a ʔ
tawo	t̪ a w o
tawo	t̪ a ʊ̯
tigbahin	t̪ i ɡ b a h i n̪
tigdugang	t̪ i ɡ d̪ u ɡ a ŋ
tigkuha	t̪ i ɡ k u h a ʔ
tigpilo	t̪ i ɡ p i l̪ o ʔ
tigpuno	t̪ i ɡ p u n o ʔ
tingob	t̪ i ŋ o b
tipas	t̪ i p a s̪
tulo	t̪ ɔ l ʊ
tulo	t̪ ɔ l ʊ ʔ
tungab	t̪ u ŋ a b
ugay	u ɡ a ɪ
ulaw	u d ʒ a ʊ̯
ulaw	u j a ʊ̯
ulaw	u l̪ a ʊ̯
ulaw	u w a ʊ̯
una	u n a
unahan	u n a h ʌ n
unauna	u n a u n a
usa	u s̪ a
utin	u t̪ i n
venus	b iː n̪ ʊ s
wail	w a i l̪
walo	w ʌ l o
watsinanggo	w a t ʃ i n̪ a ŋ ɡ o
watsinanggo	w a t̪ s̪ i n̪ a ŋ ɡ o
winalo	w i n a l ʊ
yads	j a d ʒ
yads	j a d̪ s̪
