ా	a
ఈర్ష్య	iː r ʂ j a
ఈశ్వరి	iː ʃ ʋ a r i
జానువు	j aː n u ʋ u
కౌముది	k a u m u d i
కౌగిలి	k a u ɡ i l i
కేరళము	k eː r a ɭ a m u
కోనేరు	k oː n eː r u
కోస్తా	k oː s t aː
కునుకు	k u n u k u
కుంకుమ	k u ŋ k u m a
ఖ్యాతి	k ʱ j aː t i
లంఘనము	l a ŋ ɡ ʱ a n a m u
మర్యాద	m a r j aː d a
మేళనము	m eː ɭ a n a m u
మిలమిల	m i l a m i l a
ముట్టె	m u ʈː e
నారింజ	n aː r i ɲ d͡ʒ a
పత్రిక	p a t r i k a
పథ్యము	p a t ʱ j a m u
పచ్చడి	p a ʈ s ʈ s a ɖ i
పాయసము	p aː j a s a m u
ప్రశ్న	p r a ʃ n a
పూర్తి	p uː r t i
రేణువు	r eː ɳ u ʋ u
సుతుడు	s u t u ɖ u
స్వరము	s ʋ a r a m u
స్వాతి	s ʋ aː t i
తాలూకా	t aː l uː k aː
తామసము	t aː m a s a m u
తాటాకు	t aː ʈ aː k u
తిరుమల	t i r u m a l a
చందనము	t ʃ a n d a n a m u
చర్మము	t ʃ a r m a m u
చతురము	t ʃ a t u r a m u
చట్టము	t͡ʃ a ʈː a m u
ఉదంతము	u d a n t a m u
ఉచితము	u t ʃ i t a m u
శైవలము	ʃ a j ʋ a l a m u
శైశవము	ʃ a j ʃ a ʋ a m u
వడిసెల	ʋ a ɖ i s e l a
గంగమ్మ	ɡ a ŋ ɡ a mː a
వాక్కు	ʋ aː kː u
టెంకాయ	ʈ e ŋ k aː j a
విజయము	ʋ i d ʒ a j a m u
విజాతి	ʋ i d ʒ aː t i
విలయము	ʋ i l a j a m u
విలవిల	ʋ i l a ʋ i l a
గిడుగు	ɡ i ɖ u ɡ u
గోరింక	ɡ oː r i ŋ k a
శ్రేణి	ʃ r eː ɳ i
వృంతము	ʋ r i n t a m u
శ్రోణి	ʃ r oː ɳ i
గుసగుస	ɡ u s ʌ ɡ u s ʌ
గుండము	ɡ u ɳ ɖ a m u
అభ్రకము	a b ʱ r a k a m u
అనూరుడు	a n uː r u ɖ u
అపకారము	a p a k aː r a m u
అశ్రద్ధ	a ʃ r a dː ʱ a
అశ్రువు	a ʃ r u ʋ u
అశ్వగంధ	a ʃ ʋ a ɡ a n d ʱ a
అశ్విని	a ʃ ʋ i n i
ఆలస్యము	aː l a s j a m u
ఆలవాలము	aː l a ʋ aː l a m u
ఆడంబరము	aː ɖ a m b a r a m u
ధనియాలు	d ʱ a n i j aː l u
జరాయువు	d͡ʒ a r aː j u ʋ u
జ్యేష్ఠ	d͡ʒ j eː ʂ ʈ ʱ a
జ్ఞానము	d͡ʒ ɲ aː n a m u
ఏకాదశము	eː k aː d a ʃ a m u
యక్షుడు	j a k ʂ u ɖ u
కందిరీగ	k a n d i r iː ɡ a
కరతాళము	k a r a t aː ɭ a m u
కౌశికము	k a u ʃ i k a m u
కోదండము	k oː d a ɳ ɖ a m u
మర్కటము	m a r k a ʈ a m u
మంజిష్ఠ	m a ɲ d͡ʒ i ʂ ʈ ʱ a
మాసికము	m aː s i k a m u
నవనీతము	n a ʋ a n iː t a m u
నారదుడు	n aː r a d u ɖ u
నారంగము	n aː r a ŋ ɡ a m u
పన్నీరు	p a nː iː r u
పరిచయము	p a r i t ʃ a j a m u
పాడ్యమి	p aː ɖ j a m i
పాంకోడు	p aː ŋ k oː ɖ u
పుష్యము	p u ʂ j a m u
పూర్ణము	p uː r ɳ a m u
రేచీకటి	r eː t ʃ iː k a ʈ i
సంసారము	s a n s aː r a m u
సోపానము	s oː p aː n a m u
స్వేదము	s ʋ eː d a m u
చైత్రము	t ʃ a j t r a m u
చక్షువు	t ʃ a k ʂ u ʋ u
చంద్రము	t ʃ a n d r a m u
చుంబనము	t ʃ u m b a n a m u
చూచుకము	t ʃ uː t ʃ u k a m u
ఉచ్చారణ	u t ʃː aː r a ɳ a
వైశాఖము	ʋ a j ʃ aː kʰ a m u
గంగరేగు	ɡ a ŋ ɡ a r eː ɡ u
విలాసము	ʋ i l aː s a m u
గోకులము	ɡ oː k u l a m u
గోపురము	ɡ oː p u r a m u
శ్రేయము	ʃ r eː j a m u
వృక్షము	ʋ r i k ʂ a m u
గుమ్మడి	ɡ u mː a ɖ i
అంబరీషము	a m b a r iː ʂ a m u
అనుబంధము	a n u b a n d ʱ a m u
అతికాయము	a t i k aː j a m u
ఔచిత్యము	a u t͡ʃ i t j a m u
అంకవిద్య	a ŋ k a ʋ i d j a
జ్ఞాపకము	d͡ʒ ɲ aː p a k a m u
ఎండ్రకాయ	e ɳ ɖ r a k aː j a
ఇతిహాసము	i t i h aː s a m u
ఈశ్వరుడు	iː ʂ ʋ a r u ɖ u
కౌశికుడు	k a u ʃ i k u ɖ u
కామాక్షి	k aː m aː k ʂ i
క్రీస్తు	k r iː s t u
ముజ్జగము	m u d͡ː ʒ a ɡ a m u
ముఖాముఖి	m u k ʱ aː m u k ʱ i
మున్నీరు	m u nː iː r u
మున్నూరు	m u nː uː r u
నివృత్తి	n i ʋ r i t t i
పాంచాలము	p aː ɲ t ʃ aː l a m u
పాండవులు	p aː ɳ ɖ a ʋ u l u
పెనిమిటి	p e n i m i ʈ i
ప్రసంగము	p r a s a ŋ ɡ a m u
ప్రశాంతి	p r a ʃ aː n t i
పుష్కరము	p u ʂ k a r a m u
పూవిల్లు	p uː ʋ i lː u
సమావేశము	s a m aː ʋ eː ʃ a m u
సరీసృపము	s a r iː s r i p a m u
సాంఖ్యము	s aː ŋ k ʱ j a m u
స్వాదనము	s ʋ aː d a n a m u
తారుమారు	t aː r u m aː r u
చెక్కిలి	t ʃ e kː i l i
ఉల్లాసము	u lː aː s a m u
ఉండ్రాయి	u ɳ ɖ r aː j i
విమోచనము	ʋ i m oː t͡ʃ a n a m u
గోపాలుడు	ɡ oː p aː l u ɖ u
శ్రావణము	ʃ r aː ʋ a ɳ a m u
అయోనిజుడు	a j oː n i d ʒ u ɖ u
అనధికారము	a n a d ʱ i k aː r a m u
అనంతశక్తి	a n a n t a ʃ a k t i
అన్వేషణము	a n ʋ eː ʂ a ɳ a m u
అసంతుష్టి	a s a n t u ʂ ʈ i
అగ్రహారము	a ɡ r a h aː r a m u
అశ్వత్థము	a ʃ ʋ a tː ʱ a m u
ఆశ్వయుజము	aː ʃ ʋ a j u d ʒ a m u
భాద్రపదము	b ʱ aː d r a p a d a m u
కాకరవత్తి	k aː k a r a ʋ a tː i
కామధేనువు	k aː m a d ʱ eː n u ʋ u
కాశ్మీరము	k aː ʃ m iː r a m u
నుడికారము	n u ɖ i k aː r a m u
సంస్థానము	s a n s t ʱ aː n a m u
సుదర్శనము	s u d a r ʃ a n a m u
స్వాధీనము	s ʋ aː d ʱ iː n a m u
విజ్ఞానము	ʋ i d ʒ ɲ aː n a m u
వ్యవసాయము	ʋ j a ʋ a s aː j a m u
వ్యంగ్యము	ʋ j a ŋ ɡ j a m u
వ్యాసంగము	ʋ j aː s a ɳ ɡ a m u
గోమూత్రము	ɡ oː m aː t r a m u
గోవిందుడు	ɡ oː ʋ i n d u ɖ u
శ్రీకారము	ʃ r iː k aː r a m u
శ్రీగంధము	ʃ r iː ɡ a n d ʱ a m u
గుప్తకేళి	ɡ u p t a k eː ɭ i
అనుప్రాసము	a n u p r aː s a m u
అనుష్ఠానము	a n u ʂ ʈ h aː n a m u
మార్గశిరము	m aː r ɡ a ʃ i r a m u
పాంచజన్యము	p aː ɲ t ʃ a j a n j a m u
పాండిత్యము	p aː ɳ ɖ i t j a m u
ప్రత్యర్థి	p r a t j a r tʰ i
పుల్లింగము	p u lː i ŋ ɡ a m u
గంగిరెద్దు	ɡ a ŋ ɡ i r e dː u
శ్రేష్ఠుడు	ʃ r eː ʂ ʈʰ u ɖ u
అంతర్వాహిని	a n t a r ʋ aː h i n i
ప్రబుద్ధుడు	p r a b u dː ʱ u ɖ u
చంద్రకాంతము	t ʃ a n d r a k aː n t a m u
సంప్రోక్షణము	s a m p r oː k ʂ a ɳ a m u
తిరువారాధనము	t i r u ʋ aː r aː d ʱ a n a m u
కుంకుడుచెట్టు	k u ɳ k u ɖ u t͡ʃ e ʈː u
స్వాతంత్ర్యము	s ʋ aː t a n t r y a m u
