abl	a b l̩
disgybl	d ɪ s k ɪ b l̩
disgybl	d ɪ s k ɪ b l̩ˠ
disgybl	d ɪ s k ɨ̞ b l̩ˠ
disgyn	d ɪ s k ɪ n
disgyn	d ɪ ʃ k ɪ n
dofn	d ɔ v n̩
dwfn	d ʊ v n̩
dwfn	d ɨ̞ v n̩
dysgu	d ə s k i
dysgu	d ə s k ɨ̞
dysgwr	d ə s k ʊ r
edn	ɛ d n̩
eistedd	e i̯ s t ɛ ð
eistedd	ɪ s t a
eistedd	ɪ s t ɛ
eistedd	ɪ ʃ t ɛ
eisteddfod	e i̯ s t ɛ ð v ɔ d
eisteddfod	s t ɛ ð v ɔ d
eisteddfodau	e i̯ s t ɛ ð v oː d a i̯
eisteddfodau	e i̯ s t ɛ ð v ɔ d a i̯
eisteddfodau	e i̯ s t ɛ ð v ɔ d a ɨ̯
eisteddfodau	s t ɛ ð v oː d ɛ
eisteddfodau	s t ɛ ð v ɔ d a
eisteddfodau	s t ɛ ð v ɔ d ɛ
eisteddle	e i̯ s t ɛ ð l ɛ
elltydd	ɛ ɬ t ɪ ð
elltydd	ɛ ɬ t ɨ̞ ð
enghraifft	ɛ ŋ r ɛ f t
enghraifft	ɛ ŋ̊ r a i̯ f t
enghraifft	ɛ ŋ̊ r ɛ f t
esgaladur	ɛ s k a l a d ɪ r
esgaladur	ɛ s k a l a d ɨ̞ r
esgaladur	ɛ s k a l aː d ɪ r
esgid	ɛ s k ɪ d
esgyrn	ɛ s k ɪ r n
esgyrn	ɛ s k ɨ̞ r n
est	eː s t
est	ɛ s t
estron	ɛ s t r ɔ n
estrys	ɛ s t r ɪ s
estrys	ɛ s t r ɨ̞ s
gafr	ɡ a v r
gafr	ɡ a v r̩
gastell	ɡ a s t a ɬ
gastell	ɡ a s t ɛ ɬ
gefn	ɡ ɛ v n̩
geifr	ɡ e i̯ v r
geifr	ɡ e i̯ v r̩
gestyll	ɡ ɛ s t ɪ ɬ
gestyll	ɡ ɛ s t ɨ̞ ɬ
glasgoch	ɡ l a s k ɔ χ
glaswellt	ɡ l a s w ɛ ɬ t
golosg	ɡ oː l ɔ s k
golosg	ɡ ɔ l ɔ s k
gostyngaidd	ɡ ɔ s t ə ŋ a i̯ ð
gwallt	ɡ w a ɬ t
gwallt	ɡ w aː ɬ t
gwastraff	ɡ w a s t r a f
gwellt	ɡ w eː ɬ t
gwellt	ɡ w ɛ ɬ t
gwisg	ɡ w iː s k
gwisg	ɡ w ɪ s k
gwisg	ɡ w ɪ ʃ k
gwisgo	ɡ w ɪ s k ɔ
gwisgo	ɡ w ɪ ʃ k ɔ
gwyllt	ɡ w ɪ ɬ t
gwyllt	ɡ w ɨː ɬ t
gwystl	ɡ w ɪ s t l̩
gwystl	ɡ w ɨ̞ s t l̩ˠ
gwystl	ɡ ʊ i̯ s t l̩
gwystl	ɡ ʊ i̯ s t ɪ l
heisteddfod	h e i̯ s t ɛ ð v ɔ d
heisteddfodau	h e i̯ s t ɛ ð v oː d a i̯
heisteddfodau	h e i̯ s t ɛ ð v oː d ɛ
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a i̯
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a ɨ̯
heisteddfodau	h e i̯ s t ɛ ð v ɔ d ɛ
henghraifft	h ɛ ŋ r ɛ f t
henghraifft	h ɛ ŋ̊ r a i̯ f t
henghraifft	h ɛ ŋ̊ r ɛ f t
hoffest	h ɔ f ɛ s t
huddygl	h ɪ ð ɪ ɡ l̩
huddygl	h ɨ̞ ð ɨ̞ ɡ l̩
hysbys	h ə s p ɪ s
hysbys	h ə s p ɨ̞ s
hysgi	h ə s k i
lanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	l a n v a i̯ r p ʊ ɬ ɡ w ɪ n ɡ ɪ ɬ ɡ ɔ ɡ ɛ r ə χ w ɪ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
lanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	l a n v a i̯ r p ʊ ɬ ɡ w ɨ̞ n ɡ ɨ̞ ɬ ɡ ɔ ɡ ɛ r ə χ w ɨ̞ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
leidr	l e i̯ d r̩
lestr	l ɛ s t r̩
lifft	l ɪ f t
llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	ɬ a n v a i̯ r p ʊ ɬ ɡ w ɪ n ɡ ɪ ɬ ɡ ɔ ɡ ɛ r ə χ w ɪ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	ɬ a n v a i̯ r p ʊ ɬ ɡ w ɨ̞ n ɡ ɨ̞ ɬ ɡ ɔ ɡ ɛ r ə χ w ɨ̞ r n d r ɔ b ʊ ɬ ɬ a n t ə s ɪ l j ɔ ɡ ɔ ɡ ɔ ɡ oː χ
llawysgrif	ɬ a u̯ ə s k r ɪ v
lledr	ɬ ɛ d r̩
lleidr	ɬ e i̯ d r̩
llestr	ɬ ɛ s t r̩
lloegr	ɬ ɔ i̯ ɡ r̩
lloegr	ɬ ɔ ɨ̯ ɡ r̩
llosg	ɬ ɔ s k
llosgi	ɬ ɔ s k i
llost	ɬ ɔ s t
llwybr	ɬ ʊ i̯ b r̩
llwybr	ɬ ʊ ɨ̯ b r̩
llyfr	ɬ ɪ v r̩
llyfr	ɬ ɨ̞ v r
loegr	l ɔ i̯ ɡ r̩
loegr	lˠ ɔ ɨ̯ ɡ r̩
lyfr	l ɪ v r̩
lyfr	lˠ ɨ̞ v r
maestref	m e i s t r ɛ v
maestref	m e ɨ s t r ɛ v
masnachdy	m a s n a χ t i
masnachdy	m a s n a χ t ɨ
melyster	m ɛ l ə s t ɛ r
mhobl	m̥ʰ ɔ b l̩
mhobl	m̥ʰ ɔ b l̩ˠ
mollt	m oː ɬ t
mollt	m ɔ ɬ t
mynededig	m ə n ɛ d eː d ɪ ɡ
mynededig	m ə n ɛ d ɛ d ɪ ɡ
nabl	n a b l̩
neidr	n e i̯ d r̩
nest	n eː s t
nest	n ɛ s t
nghastell	ŋ̊ʰ a s t a ɬ
nghastell	ŋ̊ʰ a s t ɛ ɬ
nghefn	ŋ̊ʰ ɛ v n̩
nghestyll	ŋ̊ʰ ɛ s t ɪ ɬ
nghestyll	ŋ̊ʰ ɛ s t ɨ̞ ɬ
ngwystl	ŋ w ɪ s t l̩
ngwystl	ŋ w ɨ̞ s t l̩ˠ
ngwystl	ŋ ʊ i̯ s t l̩
ngwystl	ŋ ʊ i̯ s t ɪ l
nheigr	n̥ e i̯ ɡ r̩
ocr	ɔ k r̩
odl	ɔ d l̩
pasg	pʰ a s k
pasg	pʰ aː s k
pedr	pʰ ɛ d r̩
pedrongl	pʰ ɛ d r ɔ ŋ l̩
pedrsill	pʰ ɛ d r̩ s ɪ ɬ
phobl	f ɔ b l̩
phobl	f ɔ b l̩ˠ
plastig	p lʰ a s t ɪ ɡ
pobl	pʰ ɔ b l̩
pobl	pʰ ɔ b l̩ˠ
post	pʰ oː s t
post	pʰ ɔ s t
pysgod	pʰ ə s k ɔ d
pysgodyn	p ə s k oː d ɪ n
pysgodyn	p ə s k ɔ d ɪ n
pysgodyn	p ə s k ɔ d ɨ̯ n
rhaeadr	r̥ʰ e i̯ a d r̩
rhaeadr	r̥ʰ e ɨ̯ a d r̩
rhestr	r̥ʰ ɛ s t r̩
rhestr	r̥ʰ ɛ s t ɛ r
rhisgl	r̥ ɪ s k l̩
rhisgl	r̥ ɪ s k ɪ l
rhisgl	r̥ ɪ ʃ k ɪ l
rhwystro	r̥ʰ ʊ i̯ s t r ɔ
rhwystro	r̥ʰ ʊ ɨ̯ s t r ɔ
salamandr	s a l a m a n d r̩
sawdl	s a u̯ d l̩
sbectol	s p ɛ k t ɔ l
sbwriel	s p ʊ r j a lˠ
sbwriel	s p ʊ r j ɛ l
sbwriel	s p ʊ r j ɛ lˠ
sgandinafaidd	s k a n d ɪ n a v a i̯ ð
sgandinafia	s k a n d ɪ n a v j a
sgarff	s k a r f
sgert	s k ɛ r t
sgiwen	s k i u̯ ɛ n
sgrech	s k r eː χ
sgrechian	s k r eː χ a n
sgrechian	s k r eː χ ɛ n
sgrechian	s k r ɛ χ a n
sgrechian	s k r ɛ χ j a n
sgrechian	s k r ɛ χ ɛ n
sgrechian	s ɡ r ɛ χ j a n
sgwrs	s k ʊ r s
sgwrsio	s k ʊ r s j o
sgwrsio	s k ʊ r ʃ o
sgwâr	s k w aː r
sgôr	s k oː r
siwgr	ʃ ʊ ɡ r̩
stafell	s t a v a ɬ
stafell	s t a v ɛ ɬ
stafell	s t aː v ɛ ɬ
stopi	s t ɔ p i
stopiem	s t ɔ p j ɛ m
stopio	s t ɔ p j ɔ
stori	s t oː r i
stori	s t ɔ r i
stryd	s t r iː d
stryd	s t r ɨː d
stŵr	s t uː r
teigr	tʰ e i̯ ɡ r̩
terfysgwr	tʰ ɛ r v ə s k ʊ r
theigr	θ e i̯ ɡ r̩
tyst	tʰ ɪ s t
tyst	tʰ ɨː s t
wfft	ʊ f t
wybr	ʊ i̯ b r̩
wybr	ʊ ɨ̯ b r̩
wysg	uː ɨ̯ s k
wysg	ʊ i̯ s k
wystl	w ɪ s t l̩
wystl	w ɨ̞ s t l̩ˠ
wystl	ʊ i̯ s t l̩
wystl	ʊ i̯ s t ɪ l
ydw	n d u
ydw	n̩ d u
ydy	n d i
ydy	n̩ d i
ymherodr	ə m h ɛ r ɔ d r̩
ysboncio	ə s p ɔ ŋ k j ɔ
ysbryd	ə s b r ɪ d
ysbryd	ə s p r ɨ̞ d
ysbrydol	ə s p r ə d ɔ l
ysbrydoli	ə s p r ə d oː l i
ysbrydoli	ə s p r ə d ɔ l i
ysbyty	ə s p ə t i
ysbyty	ə s p ə t ɨ
ysgaw	ə s k a u̯
ysgawen	ə s k a u̯ a n
ysgawen	ə s k a u̯ ɛ n
ysglodyn	s k l oː d ɪ n
ysglodyn	s k l ɔ d ɪ n
ysglodyn	s k l ɔ d ɨ̞ n
ysglodyn	ə s k l oː d ɪ n
ysglodyn	ə s k l ɔ d ɪ n
ysglodyn	ə s k l ɔ d ɨ̞ n
ysgrifen	s k r ɪ v a n
ysgrifen	s k r ɪ v ɛ n
ysgrifen	ə s k r ɪ v ɛ n
ysgrifennu	s k r ɪ v ɛ n i
ysgrifennu	s k r ɪ v ɛ n ɨ
ysgrifennu	ə s k r ɪ v ɛ n i
ysgrifennu	ə s k r ɪ v ɛ n ɨ
ysgubor	ə s k iː b ɔ r
ysgubor	ə s k ɪ b ɔ r
ysgubor	ə s k ɨ̞ b ɔ r
ysguthan	s k ɪ θ a n
ysguthan	s k ɨ̞ θ a n
ysguthan	ə s k ɪ θ a n
ysguthan	ə s k ɨ̞ θ a n
ysgwydd	ə s k w ɪ ð
ysgwydd	ə s k w ɨ̞ ð
ysgwydd	ə s k ʊ i̯ ð
ystafell	s t a v a ɬ
ystafell	s t a v ɛ ɬ
ystafell	s t aː v ɛ ɬ
ystafell	ə s t a v ɛ ɬ
ystafell	ə s t aː v ɛ ɬ
ystifflog	ə s t ɪ f l ɔ ɡ
ystiflogod	ə s t ɪ f l oː ɡ ɔ d
ystiflogod	ə s t ɪ f l ɔ ɡ ɔ d
ystlum	ə s t l ɪ m
ystlum	ə s t l ɨ̞ m
ystradwel	ə s t r a d w ɛ l
ystyr	ə s t ɪ r
ystyr	ə s t ɨ̞ r
ystyried	ə s t ə r j ɛ d
