abbé	abbɛː
angström	aŋɡstrœm
angström	aŋɡstrɛm
ani	aɲi
anjel	aɲi̯ɛɫ
anna	anna
annu	annu
antimón	antimɔːn
antisemita	antisɛmita
anton	antɔn
antónia	antɔːnia
aperitív	apɛritiːw
apríl	apriːɫ
arabčina	arapt͡ʃina
aragonit	araɡɔnit
archeológia	arxɛɔɫɔːɡia
architektúra	arxitɛktuːra
arcibiskup	art͡sibiskup
argón	arɡɔːn
aristoteles	aristɔtɛlɛs
arménsko	armɛːnskɔ
arménčina	armɛːnt͡ʃina
arno	arnɔ
arnold	arnɔld
arpád	arpaːt
artritída	artritiːda
artúr	artuːr
arzén	arzɛːn
astronóm	astrɔnɔːm
astronómia	astrɔnɔːmia
astát	astaːt
ateizmus	atɛizmus
atrament	atramɛnt
atény	atɛːni
atóm	atɔːm
atómový	atɔːmɔviː
augustín	au̯ɡustiːn
aurel	au̯rɛːɫ
aurélia	au̯rɛːlia
auta	au̯ta
autami	au̯tami
aute	au̯cɛ
auto	au̯tɔ
autobus	au̯tɔbus
autom	au̯tɔm
autu	au̯tu
autách	au̯taːx
autám	au̯taːm
azda	azda
baba	baba
babona	babɔna
baht	baːt
baktéria	baktɛːria
baktérie	baktɛːriɛ
baleáry	balɛaːri
bambus	bambus
bambusový	bambusɔviː
banka	banka
bankami	baŋkami
banke	baŋkɛ
bankovka	bankɔu̯ka
banku	baŋku
banky	baŋki
banán	banaːn
baníctvo	baɲiːt͡svɔ
baník	baɲiːk
bara	bara
baran	baran
barbara	barbara
barbora	barbɔra
bartolomej	bartɔɫɔmɛj
bača	bat͡ʃa
baňa	baɲa
bažant	baʒant
bedminton	bɛːdmintɔn
bedro	bɛːdrɔ
beh	bɛx
behať	bɛɦac
bejrút	bɛjruːt
belasý	belasiː
belgicko	bɛɫɡit͡ʃkɔ
belo	bɛɫɔ
benjamín	bɛnjamiːn
benzín	bɛnziːn
benzínka	bɛnziːnka
berkélium	bɛrkɛːlium
berlín	bɛrliːn
bernard	bɛrnard
berta	bɛrta
berýlium	bɛriːlium
beskydy	bɛskidi
beta	bɛta
betón	bɛtɔːn
bez	bɛs
bezcharakterný	bɛsxaraktɛrniː
beznádej	bɛznaːɟɛj
bezo	bɛzɔ
bezpečnosť	bɛspɛt͡ʃnɔsc
beáta	bɛaːta
beátka	bɛaːtka
beňadik	bɛɲaɟik
bežať	bɛʒac
beňo	bɛɲɔ
bianka	bi̯aŋka
bibiána	bibiaːna
bicykel	bit͡sikɛɫ
bielizeň	bi̯ɛlizɛɲ
bielizník	bi̯ɛlizɲiːk
bielorusko	bi̯ɛɫɔruskɔ
bieloruština	bi̯ɛɫɔruʃcina
biely	bi̯ɛli
biológia	biɔɫɔːɡia
biotit	biotit
birmovanie	birmɔvaɲi̯ɛ
birmovka	birmɔu̯ka
bisexualita	bisɛksualita
biskup	biskup
bislama	bisɫama
bizmut	bizmut
blahoslav	bɫaɦɔsɫau̯
blamáž	blamaːʃ
blanka	bɫaŋka
blažej	bɫaʒɛj
blažena	bɫaʒɛna
blcha	bɫ̩xa
bližší	bliʃʃiː
blázon	bɫaːzɔn
bobona	bɔbɔna
bocian	bɔt͡si̯an
bodka	bɔtka
bodkočiarka	bɔtkɔt͡ʃi̯arka
bodliak	bɔdli̯ak
bodnúť	bɔdnuːc
boh	bɔx
bohatý	bɔɦatiː
bohdan	bɔɦdan
bohdana	bɔɦdana
bohemizmus	bɔɦɛmizmus
bohrium	bɔrium
bohumil	bɔɦumiɫ
bohumír	bɔɦumiːr
bohuslav	bɔɦuslau̯
bohuslava	bɔɦuslava
bohuš	bɔɦuʃ
bohužiaľ	bɔɦuʒi̯aʎ
bohyňa	boɦiɲa
boháč	bɔɦaːt͡ʃ
bojovať	bɔjɔvac
boleslav	bɔlɛslau̯
bolesť	bɔlɛsc
bologna	boloɲa
bomba	bɔmba
bombardovať	bɔmbardɔvac
bonifác	bɔnifaːt͡s
borec	bɔrɛt͡s
boris	bɔris
borovicový	bɔrɔvit͡sɔviː
bosorák	bɔsɔraːk
botanika	bɔtanika
botanizovať	bɔtanizɔvac
bozk	bɔsk
bozkať	bɔskac
bože	bɔʒɛ
božena	bɔʒɛna
božica	bɔʒit͡sa
božidara	bɔʒidara
božtek	bɔʃcɛk
brada	brada
bradatý	bradatiː
branislav	braɲisɫau̯
branislava	braɲislava
brat	brat
brata	brata
bratislava	bratislava
bratislave	bracisɫavɛ
bratislavou	bracisɫavɔu̯
bratislavu	bracisɫavu
bratislavy	bracisɫavi
bratislavčan	bracislau̯t͡ʃan
bratranec	bratranet͡s
brazílski	braziːɫski
braňa	braɲa
braček	brat͡ʃɛk
braňo	braɲɔ
brdo	br̩dɔ
breh	brɛx
breza	brɛza
brečtan	brɛt͡ʃtan
briadka	bri̯atka
brigita	briɡita
brita	brita
bronislava	brɔɲislava
broskyňa	brɔskiɲa
brucho	bruxɔ
bruchomluvec	bruxɔmluvɛt͡s
bruno	brunɔ
brusel	brusɛɫ
bruško	bruʃkɔ
bryndza	brind͡za
brzda	br̩zda
brány	braːni
brázda	braːzda
bróm	brɔːm
budapešť	budapɛʃc
budova	budɔva
budyšín	budiʃiːn
budúci	buduːt͡si
bukurešť	bukurɛʃc
bulharsko	buɫɦarskɔ
bulharčina	buɫɦart͡ʃina
bunda	bunda
bydgoszcz	bidɡɔʃt͡ʃ
bystrica	bistrit͡sa
bystrík	bistriːk
bystrý	bistriː
byt	bit
byť	bic
báb	baːp
bábika	baːbika
bábka	baːbka
bábok	baːbɔk
bárium	baːrium
báseň	baːsɛɲ
básnik	baːsɲik
bór	bɔːr
bôľ	bu̯ɔʎ
bĺch	bɫ̩ːx
bŕd	br̩ːt
bŕzd	br̩ːst
cadik	t͡sadik
cap	t͡sap
capina	t͡sapina
carihrad	t͡ʃariɦrat
cech	t͡sɛx
cecília	tse̞tsiːɫia
celebrita	t͡sɛlɛbrita
celý	t͡sɛliː
cena	t͡sɛna
cencúľ	t͡sɛnt͡suːʎ
cenník	t͡sɛnɲiːk
cep	t͡sɛp
ceruza	tsɛruza
ceruzka	t͡sɛruska
cesnak	t͡sɛsnak
cesta	t͡sɛsta
cesto	t͡sɛstɔ
cestovateľ	t͡sɛstɔvacɛʎ
cestovať	t͡sɛstɔvac
cestovina	t͡sɛstɔvina
cestár	t͡sɛstaːr
cez	t͡sɛs
cez	t͡sɛz
ch	x
chalan	xaɫan
chameleón	xamɛlɛɔːn
charakter	xaraktɛr
chcieť	xt͡sɪ̯ɛc
chladný	xɫadniː
chlap	xlap
chlapa	xɫapa
chlapec	xɫapɛt͡s
chlapi	xɫapi
chlapmi	xɫapmi
chlapoch	xɫapɔx
chlapom	xɫapɔm
chlapov	xɫapɔu̯
chlapovi	xɫapɔvi
chleba	xlɛba
chlm	xɫ̩m
chlp	xɫ̩p
chlór	xɫɔːr
chmeľ	xmɛʎ
chodidlo	xɔɟidɫɔ
chodiť	xɔɟic
chodník	xɔdɲiːk
cholera	xɔlɛra
choroba	xɔrɔba
chorobný	xɔrɔbniː
chorou	xɔrɔu̯
chorvatistika	xɔrvatistika
chorvátsko	xɔrvaːtskɔ
chorý	xɔriː
chrabrý	xrabriː
chrbtica	xr̩pcit͡sa
chrbát	xr̩baːt
chren	xrɛn
chrobák	xrɔbaːk
chromozóm	xrɔmɔzɔːm
chrt	xr̩t
chrumkavý	xrumkaviː
chrípka	xriːpka
chróm	xroːm
chrúst	xruːst
chrček	xr̩t͡ʃɛk
chudnúť	xʊdnuːc
chudobný	xudɔbniː
chudý	xudiː
chuj	xuj
chujovina	xujɔvina
chuligán	xuliɡaːn
chvastúň	xvastuːɲ
chvost	xvɔst
chvíľa	xviːʎa
chvíľka	xviːʎka
chvíľočka	xviːʎɔt͡ʃka
chyža	xiʒa
chémia	xɛːmia
chí	xiː
chýr	xiːr
cibuľa	t͡sibuʎa
cica	t͡sit͡sa
cicavec	t͡sit͡savɛt͡s
cicka	t͡sit͡ska
cieľ	t͡si̯ɛʎ
cigara	t͡siɡara
cigareta	t͡siɡarɛta
cikať	t͡sikac
cintorín	t͡sintɔriːn
cirkev	t͡sirke̞u̯
cisár	t͡sisaːr
cisárstvo	t͡sisaːrstvɔ
citoslovce	t͡sitɔsɫɔvt͡sɛ
cmar	t͡smar
cnosť	t͡snɔsc
cop	t͡sɔp
cti	tsci
ctibor	t͡scibɔr
ctí	t͡sciː
cuda	t͡suda
cudová	t͡sudɔvaː
cudzina	t͡sud͡zina
cudzinec	t͡sud͡ziɲɛt͡s
cudzinka	t͡sud͡ziŋka
cudzí	t͡sud͡ziː
cukor	t͡sukɔr
cunami	t͡sunami
curium	kyrium
cvikla	t͡svikla
cyprián	t͡sipriaːn
cyril	t͡siriɫ
cár	t͡saːr
cárovič	t͡saːrɔvit͡ʃ
cér	t͡sɛːr
cézium	tseːzium
cín	t͡siːn
cól	t͡sɔːɫ
dabing	dabiŋɡ
dagmara	daɡmara
dalibor	dalibɔr
dalimil	dalimiɫ
damask	damask
dana	dana
dani	daɲi
danica	daɲit͡sa
daniel	daniɛɫ
daniela	daɲiela
danka	daŋka
dano	danɔ
danuta	danuta
dar	dar
dardanely	dardanɛli
darina	darina
darmstadtium	darmʃtatium
databáza	databaːza
dav	daw
dať	dac
daň	daɲ
daňo	daɲɔ
dcéra	t͡sɛːra
dcérenka	t͡sɛːrɛŋka
dcérečka	t͡sɛːrɛt͡ʃka
dcérka	t͡sɛːrka
dcérsky	t͡sɛːrski
deaktivovať	dɛaktivɔvac
debna	ɟɛbna
debrecín	ɟɛbrɛt͡siːn
december	dɛt͡sɛmbɛr
dedina	ɟɛɟina
dedinka	ɟɛɟiŋka
dedinôčka	ɟɛɟinu̯ɔt͡ʃka
dedinčan	ɟɛɟɪntʃan
dedinčania	ɟɛɟint͡ʃaɲi̯a
dedinčanka	ɟɛɟint͡ʃaŋka
dedko	ɟɛtkɔ
dedo	ɟɛdɔ
deista	dɛista
deizmus	dɛizmus
dejepis	ɟɛjɛpis
dejiny	ɟɛjini
delfín	dɛlfiːn
demeter	dɛmɛtɛr
denis	dɛnis
denisa	dɛnisa
denník	ɟɛnɲiːk
denný	ɟɛnniː
derviš	dɛrviʃ
desať	ɟɛsac
desiaty	ɟɛsi̯ati
determinant	dɛtɛrminant
deti	ɟɛci
detí	ɟɛciː
deva	ɟɛva
deviaty	ɟɛvi̯ati
devätnásť	ɟɛvætnaːsc
devätnásť	ɟɛvɛtnaːsc
deväť	ɟevæc
dezider	dɛzidɛr
deň	ɟɛɲ
dežo	dɛʒɔ
diabol	ɟi̯abɔɫ
diana	diana
diaľnica	ɟi̯aʎɲit͡sa
dielo	ɟi̯ɛɫɔ
diera	ɟi̯ɛra
dievča	ɟi̯ɛu̯t͡ʃa
dievčinka	ɟi̯ɛu̯t͡ʃiŋka
dieťa	ɟi̯eca
dionýz	dioniːs
diéta	diɛːta
dlaň	dɫaɲ
dlh	dɫ̩x
dlhý	dl̩ɦiː
dlátko	dɫaːtkɔ
dláto	dɫaːtɔ
dne	dɲɛ
dnes	dɲɛs
dni	dɲi
dní	dɲiː
do	dɔ
dobre	dɔbrɛ
dobrej	dɔbrɛj
dobro	dobro
dobrom	dɔbrɔm
dobromil	dɔbrɔmiɫ
dobromila	dɔbrɔmiɫa
dobroslav	dɔbrɔsɫau̯
dobroslava	dɔbrɔsɫava
dobrou	dɔbrɔu̯
dobruša	dɔbruʃa
dobrá	dɔbraː
dobré	dɔbrɛː
dobrého	dɔbrɛːɦɔ
dobrému	dɔbrɛːmu
dobrí	dɔbriː
dobrú	dɔbruː
dobrý	dɔbriː
dobrých	dɔbriːx
dobrým	dɔbriːm
dobrými	dɔbriːmi
dojča	dɔjt͡ʃa
doktor	dɔktɔr
doktora	dɔktɔra
doktormi	dɔktɔrmi
doktoroch	dɔktɔrɔx
doktorom	dɔktɔrɔm
doktorov	dɔktɔrɔu̯
doktorovi	dɔktɔrɔvi
dokázať	dɔkaːzac
dolinôčka	dɔlinu̯ɔt͡ʃka
dom	dɔm
doma	dɔma
dominik	dɔminik
dominika	dɔminika
dominikánsky	dɔminikaːnski
domorodec	dɔmɔrɔɟɛt͡s
domov	dɔmɔu̯
domáci	dɔmaːt͡si
domček	dɔmt͡ʃɛk
dopyt	dɔpit
dorota	dɔrɔta
dosiaľ	dɔsi̯aʎ
dostať	dɔstac
doteraz	dɔtɛras
dovolenka	dɔvɔlɛŋka
draha	draɦa
drahokam	draɦɔkam
drahomír	draɦɔmiːr
drahomíra	draɦɔmiːra
drahoslav	draɦɔsɫau̯
drahoslava	draɦɔsɫava
drahoš	draɦɔʃ
drahuša	drahuʃa
drahý	draɦiː
draslík	drasliːk
drevo	drɛvɔ
drozd	drɔst
drozdí	drɔzɟiː
druhý	druɦiː
drumbľa	drumbʎa
drviť	dr̩vic
dráždec	draːʒɟɛt͡s
dráčik	draːt͡ʃik
drážďany	draːʒɟani
drôt	dru̯ɔt
drž	dr̩ʃ
držať	dr̩ʒac
držgroš	dr̩ʒɡrɔʃ
dub	dup
duba	duba
dube	dubɛ
dubmi	dubmi
dubnium	dubnium
duboch	dubɔx
dubom	dubɔm
dubov	dubɔu̯
dubu	dubu
duby	dubi
dudy	dudi
dunaj	dunaj
dunajec	dunajɛt͡s
dunajskí	dunajskiː
dunajský	dunajskiː
dunčo	dunt͡ʃɔ
dusík	dusiːk
duša	duʃa
dušan	duʃan
dušana	duʃana
duše	duʃɛ
dva	dva
dvadsať	dvatsac
dvaja	dvaja
dvakrát	dvakraːt
dvanásť	dvanaːsc
dvanásťročný	dvanaːscrɔt͡ʃniː
dve	dvɛ
dvere	dvɛrɛ
dvojbodka	dvɔjbɔtka
dvojitý	dvɔjitiː
dym	dim
dymami	dimami
dyme	dimɛ
dymoch	dimɔx
dymom	dimɔm
dymov	dimɔu̯
dymu	dimu
dymy	dimi
dysprózium	disprɔːzium
dáma	daːma
dán	daːn
dánka	daːŋka
dánsko	daːnskɔ
dánsky	daːnski
dánčina	daːnt͡ʃina
dávid	daːvit
dáša	daːʃa
dážď	daːʃc
dážďovka	daːʒɟɔu̯ka
dôležitý	du̯ɔlɛʒitiː
dôstojný	du̯ostojniː
dúha	duːɦa
dýchať	diːxac
dž	d͡ʒ
džamija	d͡ʒamija
džbán	d͡ʒbaːn
džem	d͡ʒɛm
džez	d͡ʒɛs
džin	d͡ʒin
džudo	dʒudo
džungľa	d͡ʒuŋɡʎa
džíp	d͡ʒiːp
džús	d͡ʒuːs
dŕžava	dr̩ːʒava
dŕžavní	dr̩ːʒavniː
dĺžeň	dɫ̩ːʒɛɲ
dĺžka	dɫ̩ːʃka
edita	ɛdita
edmund	ɛdmund
eduard	ɛduard
egreš	ɛɡrɛʃ
egypt	ɛɡipt
egyptský	ɛɡiptskiː
egypťan	ɛɡipcan
egypťanka	ɛɡipcanka
einsteinium	ajnʃtajnium
ejakulácia	ejakulaːt͡sia
ela	ɛɫa
elektrina	ɛlɛktrina
električka	ɛlɛktrit͡ʃka
elektromagnetický	ɛlɛktrɔmaɡnɛtit͡skiː
elena	ɛlɛna
eleonóra	ɛlɛɔnɔːra
eliška	ɛliʃka
elvíra	ɛlviːra
em	ɛm
ema	ɛma
emanuel	ɛmanuɛɫ
embólia	ɛmbɔːlia
embólie	ɛmbɔːliɛ
emil	ɛmiɫ
emília	ɛmiːlia
encyklopédia	ɛnt͡siklɔpɛːdia
epikuros	ɛpikurɔs
epir	ɛpir
erb	ɛrb
erbium	ɛrbium
erik	ɛrik
erika	ɛrika
ernest	ɛrnɛst
erno	ɛrnɔ
ervín	ɛrviːn
esbjerg	ɛzbjɛr
esbjerg	ɛzbjɛrk
esej	ɛsɛj
ester	ɛstɛr
estera	ɛstɛra
estónsko	ɛstɔːnskɔ
estónčina	ɛstɔːnt͡ʃina
eta	ɛta
etela	ɛtɛɫa
etymológia	ɛtimɔɫɔːɡia
eufrat	ɛu̯frat
eugen	ɛu̯ɡɛn
eugénia	ɛu̯ɡɛːnia
euro	ɛu̯rɔ
európa	ɛu̯rɔːpa
európe	ɛu̯rɔːpɛ
európium	ɛu̯rɔːpium
európou	ɛu̯rɔːpɔu̯
európsky	ɛu̯rɔːpski
európu	ɛu̯rɔːpu
európy	ɛu̯rɔːpi
eutanázia	ɛu̯tanaːzia
eva	ɛva
evanjelium	ɛvaɲi̯ɛlium
exodus	ɛksɔdus
extáza	ɛkstaːza
extáze	ɛkstaːzɛ
ezdráš	ɛzdraːʃ
ešte	ɛʃcɛ
faerský	faɛrskiː
faerčan	faɛrt͡ʃan
faerčanka	faɛrt͡ʃaŋka
faerčina	faɛrt͡ʃina
fagot	faɡɔt
fajka	fajka
fajočka	fajɔt͡ʃka
fajčenie	fajt͡ʃɛɲi̯ɛ
fajčiar	fajt͡ʃi̯ar
fajčiť	fajt͡ʃic
fakt	fakt
faktami	faktami
fakte	fakce
faktoch	faktox
faktom	faktom
faktov	faktou̯
faktu	faktu
fakty	fakti
fakľa	fakʎa
faraón	faraoːn
farba	farba
farbu	farbu
farmakológia	farmakɔlɔːɡia
fazuľa	fazuʎa
fašistický	faʃistit͡skiː
fašizmus	faʃizmus
február	fɛbruaːr
fedor	fɛdɔr
fenícia	feniːt͡sia
ferdinand	fɛrdinand
fermium	fɛrmium
fero	fɛrɔ
feudalizmus	fɛu̯dalizmus
fidži	fid͡ʒi
figa	fiɡa
figovník	fiɡɔu̯ɲiːk
filip	filip
film	fiɫm
filoména	filɔmɛːna
filozofia	filɔzɔfia
finančný	finant͡ʃniː
finále	finaːlɛ
fjord	fjɔrd
flauta	fɫau̯ta
flerovium	flɛrɔvium
fliačik	fʎi̯at͡ʃik
florida	florida
florián	fɫɔriaːn
fluór	fluɔːr
fonéma	fɔnɛːma
fosfor	fɔsfɔr
fotogenický	fɔtɔɡɛnit͡skiː
fotograf	fɔtɔɡraf
fotografia	fɔtɔɡrafia
fotografiami	fɔtɔɡrafiami
fotografista	fɔtɔɡrafista
fotografií	fɔtɔɡrafiiː
foxtrot	fɔkstrɔt
foyer	fɔajɛː
francium	frant͡sium
francúzsko	frant͡suːsskɔ
francúzština	frant͡suːsʃcina
františek	franciʃɛk
františka	francɪʃka
frederik	frɛdɛrik
fridrich	fridrix
fruštik	fruʃcik
fruštik	fruʃtik
fujara	fujara
fujarôčka	fujaru̯ɔt͡ʃka
futbal	fudbaɫ
fyzik	fizik
fyzika	fizika
fyzikálni	fizikaːɫni
fyzikálny	fizikaːlni
fám	faːm
félix	fɛːliks
fén	fɛːn
fí	fiː
fín	fiːn
fínsko	fiːnskɔ
fínsky	fiːnski
fínčina	fiːnt͡ʃina
föhn	føn
fön	føn
fúkať	fuːkac
fľaša	fʎaʃa
gaba	ɡaba
gabriel	ɡabriɛɫ
gabriela	ɡabriɛɫa
gadolínium	ɡadɔliːnium
gajdy	ɡajdi
galaktický	ɡaɫaktit͡skiː
galaxia	ɡalaksia
galaxiami	ɡalaksiami
galaxie	ɡalaksie
galaxii	ɡalaksii
galaxiou	ɡalaksiou̯
galaxiu	ɡalaksiu
galaxiách	ɡalaksiaːx
galaxiám	ɡalaksiaːm
galaxií	ɡalaksiiː
galina	ɡalina
garbiar	ɡarbi̯ar
garáž	ɡaraːʃ
gaskonsko	ɡaskɔnskɔ
gauč	ɡau̯t͡ʃ
gazda	ɡazda
gazdinka	ɡazɟiŋka
gazdiná	ɡazɟinaː
gašpar	ɡaʃpar
gdansk	ɡdansk
gdynia	ɡdiɲa
gejza	ɡɛjza
genovéva	ɡɛnɔvɛːva
geológia	ɡɛɔlɔːɡia
georgína	ɡɛɔrɡiːna
germánium	ɡɛrmaːnium
gertrúda	ɡɛrtruːda
gibon	ɡibɔn
gizela	ɡizɛɫa
glg	ɡɫ̩k
glóbus	ɡɫɔːbus
golier	ɡɔʎi̯ɛr
gombík	ɡɔmbiːk
graz	ɡrat͡s
gregor	ɡrɛɡɔr
grinda	ɡrinda
grinde	ɡrinɟɛ
groznyj	ɡrɔzni
gruzínsko	ɡruziːnskɔ
grécko	ɡrɛːt͡skɔ
grécky	ɡrɛːtski
grék	ɡrɛːk
grékyňa	ɡrɛːkiɲa
gréčtina	ɡrɛːt͡ʃcina
grínd	ɡriːnt
grónsko	ɡrɔːnskɔ
gunár	ɡunaːr
guru	ɡuru
gustáv	ɡustaːu̯
guľa	ɡuʎa
guľôčka	ɡuʎu̯ɔt͡ʃka
győr	ɟøːr
győr	ɟɛːr
győrsky	ɟeːrski
győrsky	ɟøːrski
gálium	ɡaːlium
gól	ɡoːɫ
gýč	ɡiːt͡ʃ
had	ɦat
hadž	ɦat͡ʃ
hafnium	ɦafnium
hajzel	ɦajzɛɫ
hala	ɦaɫa
halier	ɦaʎi̯ɛr
hana	ɦana
handra	ɦandra
hanoj	ɦanɔj
harfa	ɦarfa
harmanček	ɦarmant͡ʃɛk
haruspex	ɦaruspeks
hassium	ɦasium
havaj	ɦavaj
havran	ɦavran
hebrejčina	ɦɛbrɛjt͡ʃina
heda	ɦɛda
hedviga	ɦɛdviɡa
hej	ɦɛj
helena	ɦɛlɛna
helga	ɦɛɫɡa
heliometer	ɦɛliɔmɛtɛr
helsinki	ɦɛɫsiŋki
hematológia	ɦɛmatɔlɔːɡɪja
hemendex	ɦɛmɛndɛks
henrich	ɦɛnrix
henrieta	ɦɛnri̯ɛta
hentam	ɦɛntam
henten	ɦɛntɛn
herakles	ɦɛraklɛs
heraldika	ɦɛraɫdika
herec	ɦɛrɛt͡s
herečka	ɦɛrɛt͡ʃka
herkules	ɦɛrkulɛs
hermína	ɦɛrmiːna
heterosexualita	ɦɛtɛrɔsɛksualita
hier	ɦi̯er
hierarchia	ɦi̯ɛrarxia
hilda	ɦiɫda
historický	ɦistɔrit͡skiː
hlad	ɦɫat
hlahol	ɦɫaɦɔɫ
hlaholika	ɦɫaɦɔlit͡sa
hlas	ɦɫas
hlava	ɦɫava
hlavní	ɦɫavniː
hlavný	ɦɫavniː
hlboký	ɦɫ̩bɔkiː
hlina	ɦlina
hliník	ɦliɲiːk
hloh	ɦɫɔx
hlt	ɦɫ̩t
hmla	ɦmɫa
hmotnosť	ɦmɔtnɔsc
hnačka	ɦnat͡ʃka
hnedý	ɦɲɛdiː
hnida	ɦɲida
hniezdo	ɦɲi̯ɛzdɔ
hnilý	ɦɲiliː
hnoj	ɦnɔj
hnutie	ɦnuci̯ɛ
hnutí	ɦnuciː
ho	ɦɔ
hoci	ɦɔt͡si
hod	ɦɔt
hodina	ɦɔɟina
hodváb	ɦɔdvaːp
hodža	hɔd͡ʒa
hodža	ɦɔd͡ʒa
hodžová	hɔd͡ʒɔvaː
hojdačka	ɦɔjdat͡ʃka
holandsko	ɦɔɫandskɔ
holandsky	ɦɔɫandski
holandský	ɦɔɫandskiː
holandčina	ɦɔɫandt͡ʃina
holmium	ɦɔɫmium
holub	ɦɔɫup
holubí	ɦɔɫubiː
holí	ɦɔliː
holí	ɦɔʎiː
holúbä	ɦɔɫuːbæ
holúbä	ɦɔɫuːbɛ
holý	ɦɔɫiː
homosexualita	ɦɔmɔsɛksualita
homár	homaːr
hora	ɦɔra
horký	ɦɔrkiː
hortenzia	ɦɔrtɛnzia
horúci	ɦɔruːt͡si
horúčava	ɦɔruːt͡ʃava
horší	ɦɔrʃiː
horčík	ɦɔrt͡ʃiːk
hosť	ɦɔsc
hovno	ɦɔvnɔ
hovoriť	ɦɔvɔric
hovädina	ɦɔvæɟina
hovädina	ɦɔvɛɟina
hovädo	ɦɔvædɔ
hovädo	ɦɔvɛdɔ
hovädzie	ɦɔvæd͡zi̯ɛ
hovädzie	ɦɔvɛd͡zi̯ɛ
hovädzí	ɦɔvæd͡ziː
hovädzí	ɦɔvɛd͡ziː
hoľa	ɦoʎa
hra	ɦra
hrab	ɦrap
hrach	ɦrax
hrad	ɦrat
hradba	ɦradba
hranica	ɦraɲit͡sa
hranice	ɦraɲit͡sɛ
hrať	ɦrac
hrb	ɦr̩p
hrdina	ɦr̩ɟina
hrdinami	ɦr̩ɟinami
hrdinka	ɦr̩ɟiŋka
hrdinoch	ɦr̩ɟinɔx
hrdinom	ɦr̩ɟinɔm
hrdinov	ɦr̩ɟinɔu̯
hrdinovi	ɦr̩ɟinɔvi
hrdinovia	ɦr̩ɟinɔvi̯a
hrdinu	ɦr̩ɟinu
hrdlo	ɦr̩dɫɔ
hrdzavý	ɦr̩d͡zaviː
hrdý	ɦr̩diː
hrianka	ɦr̩i̯aŋka
hriech	ɦri̯ex
hriva	ɦriva
hrivna	ɦrivna
hrob	ɦrɔp
hroch	ɦrɔx
hrozienko	ɦrɔzi̯ɛŋkɔ
hrozný	ɦrɔzniː
hrsť	ɦr̩sc
hrudní	ɦrudniː
hruď	ɦruc
hruška	ɦruʃka
hrôza	ɦru̯ɔza
hrýzť	ɦriːsc
huba	ɦuba
hubert	ɦubɛrt
hudba	ɦudba
hugo	ɦuɡɔ
hurka	ɦurka
hus	ɦus
husi	ɦusi
husle	ɦuslɛ
hustý	ɦustiː
husí	ɦusiː
hviezda	ɦvi̯ɛzda
hybný	ɦibniː
hydina	ɦiɟina
hymen	ɦimɛn
hypnos	ɦipnɔs
hystéria	ɦistɛːria
hélium	ɦɛːlium
hôrka	ɦu̯ɔrka
hôľ	ɦu̯oʎ
hľadať	ɦʎadac
hŕb	ɦr̩ːp
hŕba	ɦr̩ːba
hĺbkomer	ɦɫ̩ːpkɔmɛr
hŕstka	ɦr̩ːstka
i	i
iba	iba
ich	ix
ida	ida
idea	idɛa
ideológia	idɛɔɫɔːɡia
idiot	idiɔt
ignác	iɡnaːt͡s
