abad	ɑbɑd
açmaq	ɑt͡ʃmɑχ
açılmaq	ɑt͡sɯɫmɑχ
açılmaq	ɑt͡ʃɯɫmɑχ
açılış	ɑt͡sɯlɯʃ
açılış	ɑt͡ʃɯlɯʃ
açıq	ɑt͡sɯχ
açıq	ɑt͡ʃɯχ
aş	ɑʃ
ağac	ɑɣɑd͡z
ağac	ɑɣɑd͡ʒ
ağac	ɑɣɑʃ
ağacdələn	ɑɣɑdʒdælæn
ağlabatmaz	ɑɣɫɑbaɯtmɑz
ağlamaq	ɑɣlɑmɑχ
ağlasığmaz	ɑɣɫasɯɣmɑz
aşpaz	ɑʃpɑz
ağqoval	ɑɣɡovɑɫ
ağrı	ɑɣrɯ
ağrımaq	ɑɣrɯmɑχ
ağrısız	ɑɣrɯsɯz
ağı	ɑɣɯ
ağıllı	ɑɣɯɫːɯ
ağız	ɑɣɯz
baba	bɑbɑ
bacanaq	bɑd͡zɑnɑχ
bacanaq	bɑd͡ʒɑnɑχ
bacanaq	bɑʒɑnɑχ
bacarmaq	bɑd͡zɑrmɑχ
bacarmaq	bɑd͡ʒɑrmɑχ
bacı	bɑd͡zɯ
bacı	bɑd͡ʒɯ
bacı	bɑʒɯ
badımcan	bɑdɯmd͡zɑn
badımcan	bɑdɯmd͡ʒɑn
baha	baha
bahadır	bɑhɑdɯr
bahalı	bɑhɑɫɯ
bahar	bɑhɑr
bahar	bɑhɑr̥
bal	bɑɫ
bala	bɑɫɑ
balaban	bɑɫɑbɑn
balaca	bɑɫɑd͡zɑ
balaca	bɑɫɑd͡ʒɑ
balalayka	bɑɫɑɫɑjkɑ
baldız	bɑɫdɯz
baltalamaq	bɑltɑlɑmɑχ
balıqçı	bɑlɯχt͡sɯ
balıqçı	bɑlɯχt͡ʃɯ
balış	bɑɫɯʃ
balışüzü	bɑɫɯʃyzy
bandaj	bɑndɑʒ
barmaq	bɑrmɑɣ
barmaqlamaq	bɑrmɑɣlɑmɑχ
barı	bɑrɯ
basdırmaq	bɑsdɯrmɑχ
basmaq	bɑsmɑχ
basılmaz	bɑsɯɫmɑz
bataq	bɑtɑχ
baxmaq	bɑχmɑχ
baxmayaraq	bɑχmɑjɑrɑχ
baxmayaraq	bɑχmɯjɑrɑχ
bayaq	bɑjɑχ
bayraq	bɑjrɑχ
bazarlıq	bɑzɑrɫɯχ
baş	bɑʃ
bağana	bɑɣɑnɑ
bağban	bɑːbɑn
bağlamaq	bɑɣɫɑmɑχ
başlanğıc	bɑʃtɑnɣɯd͡z
başlanğıc	bɑʃtɑnɣɯd͡ʒ
başlanğıc	bɑʃɫɑnɣɯd͡z
başlanğıc	bɑʃɫɑnɣɯd͡ʒ
bağlı	bɑɣlɯ
başçı	bɑʃt͡sɯ
başçı	bɑʃt͡ʃɯ
bağırmaq	bɑɣɯrmɑχ
bağışlamaq	bɑɣɯʃtɑmɑχ
bağışlamaq	bɑɣɯʃɫɑmɑχ
belibağlı	belibɑɣɫɯ
belə	belæ
beyin	bein
beyin	bejin
beynəlxalq	bejnælχɑlɡ
beynəlxalq	bejnælχɑlχ
beynəlxalq	bejnɑɫχɑlɡ
beynəlxalq	bejnɑɫχɑlχ
bezmək	bezmæj
bezmək	bezmæk
beşinci	beʃind͡ʒi
bibi	bibi
bibər	bibæɾ
bilmək	bilmej
bilmək	bilmæj
bilmək	bilmæk
bilmək	bilmɑχ
bioloji	bioloʒɯ
bir	bir
biraz	birɑz
birgə	birɡæ
birinci	birimd͡zi
birinci	birind͡zi
birinci	birind͡ʒi
birlikdə	birlikdæ
birlikdə	birliktæ
birləşdirmək	birlæʃdirmæj
birləşdirmək	birːæʃdirmæj
birləşmək	birlæʃmæj
birləşmək	birːæʃmæj
bit	bit
bitişik	bitiʃik
bitmək	bitmej
bitmək	bitmæj
bitmək	bitmæk
bitmək	bitmɑχ
biçin	bit͡ʃin
bişirmək	biʃirmæk
bişirmək	piʃirmej
bişirmək	piʃirmæk
bişirmək	piʃirmɑχ
bişmək	biʃmæk
bişmək	piʃmej
bişmək	piʃmæk
bişmək	piʃmɑχ
bolluq	boɫːuχ
boran	borrɑn
borc	bord͡z
borc	bord͡ʒ
boyamaq	bojɑmɑχ
boyaqotu	bojɑɣotu
bozbaş	bozbɑʃ
boş	boʃ
boşanmaq	boʃɑmːɑχ
boğaz	boɣɑz
boşqab	boʃɡɑb
boşqab	boʃɡɑb̥
brilyant	bɾɪljɑnt
budaq	budɑχ
bugün	buɡyn
bugün	byjyn
bugün	byɡyn
bulamaq	bʊɫɑmɑχ
bulanlıq	buɫɑnɫɯχ
bulanlıq	buɫɑnːɯχ
bulanıq	bulɑnɯχ
burada	burɑdɑ
buraxmaq	burɑxmɑχ
burda	buɾdɑ
burun	burun
burğac	burɣɑd͡z
burğac	burɣɑd͡ʒ
buynuz	bujnuz
buyurmaq	bujurmɑχ
böhran	bœhrɑn
böyürtkən	bœjyɾtkæn
bülbül	bylbyl
bütöv	py̥tœv
bütün	py̥tyn
bədbin	bædbin
bədən	bædæn
bəlkə	bælkæ
bəlkə	bælkæm
bəlkə	bærkæ
bənna	bænːɑ
bənövşə	bænœvʃæ
bənövşəyi	bænœvʃæji
bənək	bænæj
bənək	bænæç
bərabər	bærɑbær
bərbər	bærbæɾ
bərbər	bærbæɾ̥
bərk	bærk
bərkdən	bærkdæn
bərkdən	bærktæn
bərpa	bærpɑ
bətn	bætn̩
bəz	bæz
bəzi	bæzi
bəzi	bæːzi
bəzən	bæːzæn
bıçaq	bɯt͡ʃɑχ
bıçaq	pɯt͡sɑχ
bıçaq	pɯt͡ʃɑχ
camaat	d͡zɑmɑhɑt
camaat	d͡zɑmɑɑt
camaat	d͡ʒɑmɑhɑt
camaat	d͡ʒɑmɑɑt
casus	d͡zɑːsus
casus	d͡ʒɑːsus
cavab	d͡zɑvɑb
cavab	d͡ʒɑvɑb
cavablandırmaq	d͡zɑvɑbɫɑndɯrmɑχ
cavablandırmaq	d͡ʒɑvɑbɫɑndɯrmɑχ
cavan	d͡zɑvɑn
cavan	d͡ʒɑvɑn
cavanlıq	d͡zɑvɑnɫɯχ
cavanlıq	d͡ʒɑvɑnɫɯχ
ciddi	d͡ʒidːi
cinsi	d͡zinsi
cinsi	d͡ʒinsi
cümlə	d͡zymlæ
cümlə	d͡ʒymlæ
cəmiyyət	d͡zæmijæt
cəmiyyət	d͡ʒæmijæt
cırmaq	d͡zɯrmɑχ
cırmaq	d͡ʒɯrmɑχ
cırıq	d͡zɯrɯχ
cırıq	d͡ʒɯrɯχ
cəza	d͡zæzɑ
cəza	d͡ʒæzɑ
cəzalandırmaq	d͡zæzɑɫɑndɯrmɑχ
cəzalandırmaq	d͡ʒæzɑɫɑndɯrmɑχ
cəzalandırıcı	d͡zæzɑɫɑndɯrɯd͡zɯ
cəzalandırıcı	d͡ʒæzɑɫɑndɯrɯd͡ʒɯ
cəzalanmaq	d͡zæzɑɫɑnmɑχ
cəzalanmaq	d͡ʒæzɑɫɑnmɑχ
cığal	d͡ʒɯɣɑɫ
dad	dɑd
dad	dɑːd
dadı	dɑdɯ
daha	dɑhɑ
dalbadal	dɑɫbɑdɑɫ
dalğa	dɑɫɣɑ
damar	dɑmɑr
danimarkalı	dɑnimɑrkɑlɯ
danmaq	dɑmːɑχ
danmaq	dɑnmɑχ
danışdırmaq	dɑnɯʃdɯr
danışmaq	danɯʃmɑχ
danışıq	dɑnɯʃɯχ
dar	dɑr
daramaq	dɑrɑmɑχ
daraq	dɑrɑχ
dartmaq	dɑrtmɑχ
darvaza	dɑrvɑzɑ
darılmaq	dɑrɯɫmɑχ
dava	dɑvɑ
davamçı	dɑvɑmt͡sɯ
davamçı	dɑvɑmt͡ʃɯ
davar	dɑvɑr
dayamaq	dajɑmɑχ
dayanacaq	dɑjɑnɑd͡ʒɑχ
dayandırmaq	dɑjɑndɯrmɑχ
dayanmaq	dajɑmːɑχ
dayanmaq	dajɑnmɑχ
dayı	dɑjɯ
daz	dɑz
dağılmaq	dɑɣɯɫmɑχ
dağıntı	dɑɣɯntɯ
devirmək	devirmæj
devirmək	devirmæk
deşik	deʃij
deşik	deʃiç
diktor	diktor
dil	dil
dilçi	dilt͡si
dilçi	dilt͡ʃi
dincəlmək	dind͡zælmæj
dincəlmək	dind͡zælmæk
dincəlmək	dind͡ʒælmæj
dincəlmək	dind͡ʒælmæk
dinləmək	dinlæmej
dinləmək	dinlæmæj
dinləmək	dinlæmæk
dinləmək	dinlæmɑχ
dinozavr	dinɔʐɑːvɾ
diqqət	diɡːæt
dirçəliş	dirt͡sæliʃ
dirçəliş	dirt͡ʃæliʃ
diş	diʃ
dişləmək	diʃtæmæj
dişləmək	diʃtæmæk
dişləmək	diʃtæmɑχ
dolamac	doɫɑmɑd͡z
dolu	doɫu
dondurma	dondurmɑ
donuz	donuz
doqquz	doɡɡuz
doqquzuncu	doɡɡuzund͡ʒu
dost	dost
dostluq	dostɫuχ
doxsanıncı	doxsɑnɯnd͡ʒɯ
doğramaq	doɣrɑmɑχ
doğrudan	doɣrudɑn
doğrudan	doɣurdɑn
duman	dumɑn
durmaq	durmɑχ
durna	durnɑ
duymaq	dujmɑχ
duyğu	dujɣu
dönmək	dœmːæj
dönmək	dœmːæk
dönmək	dœnmæj
dönmək	dœnmæk
dönər	dœnær
dönərxana	dœnærχɑnɑ
dördüncü	døɾdynd͡ʒy
dövlət	devlæt
dövlət	dœvlæt
dövr	dœvr
döymək	dœjmæj
döymək	dœjmæk
döymək	dœjmɑχ
döymək	dœɡmej
döymək	dœɡmæk
döyüş	dœjyʃ
dözmək	dœzmæj
dözmək	dœzmæk
dözülməz	dœzylmæz
dözümlü	dœzymly
dözümlülük	dœzymlylyj
dözümlülük	dœzymlylyk
dözümsüz	dœzymsyz
dözümsüzlük	dœzymsyzlyj
dözümsüzlük	dœzymsyzlyk
döşək	dœʃæj
döşək	dœʃæk
döşəkağı	dœʃæjɑɣɯ
dükan	dykan
dükan	dyt͡ʃan
dükan	tykan
dükan	tyt͡ʃan
dülgər	dylɡæɾ
dünyəvi	dynjæːvi
dünən	dynæn
düyü	dyjy
düz	dyzʲ
düzgün	dyzɡyn
düzəlmək	dyzælmej
düzəlmək	dyzælmæj
düzəlmək	dyzælmæk
düzəlmək	dyzælmɑχ
düzəltmək	dyzæltmej
düzəltmək	dyzæltmæj
düzəltmək	dyzæltmæk
düzəltmək	dyzætmɑχ
düşmək	dyʃmæk
düşmək	tyʃmæk
düşünmək	dyʃymːæj
düşünmək	dyʃymːɑχ
dəftər	dæftær
dəfə	dæfæ
dəli	dæli
dəlixana	dæliχɑnɑ
dəmiryol	dæmirjoɫ
dəmirçi	dæmirt͡si
dəmirçi	dæmirt͡ʃi
dənə	dænæ
dəqiqə	dæɡiɡæ
dəqiqə	dæɡiːɡæ
dəqiqə	dæɡːæ
dəqiqə	dæːɡæ
dəqiqə	dɑɣɑ
dərhal	dærhɑɫ
dəri	dæri
dərin	dærin
dərinlik	dærinlij
dərman	dærmɑn
dırnaq	dɯrnɑχ
dərs	dærs
dəstək	dæstæj
dəstək	dæstæç
dəyirman	dæjirmɑn
dəyişdirmək	dæjiʃdirmæj
dəyişdirmək	dæjiʃdirmæk
dəyişdirmək	dæjiʃtirmæj
dəyişdirmək	dæjiʃtirmæk
dəyişmək	dæjiʃmæj
dəyişmək	dæjiʃmæk
dəymək	dæjmæj
dəymək	dæjmæk
dəymək	dæjmɑχ
dəyməz	dæjmæz
dəyə	dæjæ
dəyər	dæjær
dığa	dɯɣɑ
elə	elæ
etimoloji	etimoloʒɯ
etiraf	eːtirɑf
etiraz	eːtirɑz
ev	ev
evlənmək	evlæmːæj
evlənmək	evlæmːæk
fahişə	fɑhiʃæ
fahişəlik	fɑhiʃælik
fahişəxana	fɑhiʃæχɑnɑ
ferma	fermɑ
fikirləşmək	fikirlæʃmæj
fikirləşmək	fikirːæʃmæj
film	film
fit	fit
fonoloji	fonoloʒɯ
futbolçu	futboɫtʃu
fəaliyyət	fæɑlijæt
fəhlə	fæhlæ
fəlsəfə	fælsæfæ
fırtına	fɯɾtɯnɑ
fəsil	fæsil
gec	ɡed͡ʒæ
geniş	d͡ʒeniʃ
geniş	ɡeniʃ
geri	ɡeri
getmək	d͡ʒetmɑχ
getmək	ɡetmæj
getmək	ɡetmæk
geyinmək	d̟͡ʒiːnmɑχ
geyinmək	ɡejinmæj
geyinmək	ɡejinmæk
geymək	d̟͡ʒiːmɑχ
geymək	ɡejmæj
geymək	ɡejmæk
gic	ɡid͡z
gic	ɡid͡ʒ
giriş	ɡiriʃ
girmək	d͡ʒirmɑχ
girmək	ɡʲiɾmej
girmək	ɡʲiɾmæk
gizləmək	ɡizdæmæk
gizləmək	ɡizlæmæk
gizlənmək	ɡizdænmæj
gizlənmək	ɡizdænmæk
gizlənmək	ɡizlænmæj
gizlənmək	ɡizlænmæk
gizlətmək	ɡizdætmæj
gizlətmək	ɡizdætmæk
gizlətmək	ɡizlætmæj
gizlətmək	ɡizlætmæk
göbələk	ɡœbælæj
göbələk	ɡœbælæk
göl	d͡ʒœl
göl	ɡœl
göndərmək	ɡœndærmæj
göndərmək	ɡœndærmæk
görmək	ɡœrmæj
görmək	ɡœrmæk
görüş	ɡœryʃ
görə	d͡ʒœræ
görə	ɡœræ
göstəriş	ɡœstæriʃ
göstərmək	ɡœstærmæj
göstərmək	ɡœstærmæk
göstərmək	ɡœstærmɑχ
göt	ɡœt
götvərən	ɡœtværæn
götvərənlik	ɡœtværænlij
götvərənlik	ɡœtværænlik
gövdə	ɡœvdæ
göy	ɡœj
göyərçin	ɡɶjært͡ʃin
gözləmək	ɡœzdæmej
gözləmək	ɡœzdæmæk
gözləmək	ɡœzdæmɑχ
gözləmək	ɡœzlæmæk
gözlənilməz	ɡœzlænilmæz
gözlənti	ɡœzlænti
gözüaçıq	ɡœzyɑt͡sɯχ
gözüaçıq	ɡœzyɑt͡ʃɯχ
gözəl	d͡ʒœzæl
gözəl	ɡœzæl
güc	ɟ͡ʝyd͡z
güc	ɟ͡ʝyd͡ʒ
güllə	ɡylːæ
güllələmək	ɡylːælæmæj
güllələmək	ɡylːælæmæk
güllələmək	ɡylːælæmɑχ
gülmək	ɡylmæk
gülüş	ɡylyʃ
gün	d͡ʒyn
gün	ɡyn
gündəlik	d͡ʒyndælij
gündəlik	d͡ʒyndælik
gündəlik	ɡyndælij
gündəlik	ɡyndælik
günorta	ɡynortɑ
günəbaxan	ɡynæbɑxɑn
günəş	ɡʲynæʃ
gürcü	d͡ʒyrd͡zy
gürcü	ɡyrd͡ʒy
gürcüstan	d͡ʒyɾd͡zystɑn
gürcüstan	ɡʲyɾd͡ʒystɑn
güvənmək	ɡyvæmːæj
gəlin	ɡælin
gəlmə	ɡælmæ
gəmi	d͡ʒæmi
gəmi	ɡæmi
gəmirici	ɡæmirid͡zi
gəmirmək	ɡæmirmæj
gənc	ɡænd͡z
gənc	ɡænd͡ʒ
gərək	ɡæræj
gərəkmək	ɡærækmæk
gəzdirmək	d͡ʒæzdirmɑχ
gəzdirmək	ɡæzdirmej
gəzdirmək	ɡæzdirmæj
gəzdirmək	ɡæzdirmæk
gəzmək	d͡ʒæzmɑχ
gəzmək	ɡæzmej
gəzmək	ɡæzmæj
gəzmək	ɡæzmæk
hadisə	hɑˑdisæ
halbuki	hɑɫbuki
hamilə	hɑmilæ
hamı	hɑmːɯ
hamısı	hɑmsɯ
hamısı	hɑmːɯsɯ
hansı	hɑnsɯ
hanı	hɑnɯ
haqqında	hɑkːɯndɑ
haqqında	hɑɢːɯndɑ
hara	hɑrɑ
harada	hɑrɑda
haraya	hɑrɑjɑ
harda	hɑrda
hava	hɑvɑ
heykəltəraş	hejkæltærɑʃ
heç	het͡s
heç	het͡ʃ
homoseksuallıq	homoseksuaɫːɯχ
hoppanmaq	hopːɑmːɑχ
hörmətli	hœrmætli
hörümçək	hœrymt͡ʃæj
hörümçək	hœrymt͡ʃæk
hüceyrə	hyd͡ʒejræ
hündür	hyndyr
hündür	hyndyr̥
hüquq	hyɡuɡ
hüquq	hyɡuɡ̊
həkim	hækim
həmdilli	hæmdilːi
həmişə	hæmiʃæ
həmişə	hæmːiʃæ
həmkar	hæmkʲɑr
həmsöhbət	hæmsœhbæt
həmsöhbət	hæmsœhb̥æt
həmsöhbət	hæmsœjbæt
həmsöhbət	hæmsœːbæt
həqarət	hæɡɑːræt
həqiqi	hæɡiːɡi
hər	hær
hər	hær̥
hərbi	hærbi
hərbçi	hærbt͡si
hərbçi	hærbt͡ʃi
hərəkət	hærækæt
həyat	hæjɑːt
həzm	hæzm
həştərxan	hæʃtærχɑn
ibrə	ibræ
iclas	id͡zɫɑs
iclas	id͡ʒɫɑs
idi	idi
idmançı	idmɑnt͡sɯ
idmançı	idmɑnt͡ʃɯ
igidlik	iɡidlij
igidlik	iɡidlik
ikiarvadlı	ikiɑrvɑdɫɯ
ikiarvadlılıq	ikiɑrvɑdɫɯlɯχ
ikinci	icind͡ʒi
ilbiz	ilbiz
ildırım	iɫdɯrɯm
ilk	ilk
ilə	ilæ
ilıq	iɫɯχ
imkan	imkʲɑn
imkan	imt͡ʃɑn
inad	inɑd
inadkar	inɑdt̝͡ɕɑr
inadkarlıq	inɑdt̝͡ɕɑrlɯχ
inanc	inɑnd͡z
inanc	inɑnd͡ʒ
inanmaq	inɑmːɑχ
indi	indi
insan	insɑn
intihar	intihɑr
inşaatçı	inʃɑɑtt͡sːɯ
inşaatçı	inʃɑɑt͡ʃːɯ
iri	iri
irin	irin
irlandiyalı	irɫɑndijɑlɯ
irəli	iræli
islandiyalı	isɫɑndijɑlɯ
istedadlı	istedɑdɫɯ
istedadsız	istedɑdsɯz
isti	isti
isti	isːi
istifadə	istifɑːdæ
istiot	istiot
istirahət	istirɑːhæt
istəmək	istæmej
istəmək	istæmæj
istəmək	istæmæk
istəmək	istæmɑχ
isveçli	isvet͡sli
isveçli	isvet͡ʃli
isveçrəli	isvet͡sræli
isveçrəli	isvet͡ʃræli
itaət	itɑæt
itaətsizlik	itɑætsizlik
itburnu	itburnu
itirmək	itirmej
itirmək	itirmæj
itirmək	itirmæk
itirmək	itirmɑχ
itələmək	itælæmæj
itələmək	itælæmæk
iyirmi	ijirmi
iyirmi	iɡirmi
iyirminci	ijiɾmind͡ʒi
iynə	ijnæ
izləmək	izlæmej
izləmək	izlæmæj
izləmək	izlæmæk
izləmək	izlæmɑχ
içizdirmək	it͡sizdirmæk
içizdirmək	it͡ʃizdirmæj
içizdirmək	it͡ʃizdirmæk
içkili	it͡st͡ʃili
içkili	it͡ʃkili
içmək	itʃmæc
içəri	it͡særi
içəri	it͡ʃæri
işləmək	iʃlæmæk
işləmək	iʃlæmɑχ
işləmək	iʃtæmej
işləmək	iʃtæmæj
iştibah	iʃtibɑh
iştirak	iʃtirɑk
işçi	iʃt͡si
işçi	iʃt͡ʃi
işıq	iʃɯχ
jasmin	ʒɑsmin
jurnalist	ʒurnalist
kamança	t͡ʃɑmɑnt͡sɑ
karp	kɑrp
katib	kʲɑːtib
katib	kʲɑːtɯb
katib	t͡ʃaːtib
katib	t͡ʃaːtɯb
katibə	kʲɑːtibæ
katibə	t͡ʃaːtibæ
kağız	kʲɑɣɯz
kağız	t͡ʃɑɣɯz
keçi	kʲet͡ʃi
keçi	t͡ʃet͡si
keçmək	ket͡ʃmej
keçmək	ket͡ʃmæj
keçmək	ket͡ʃmæk
keçmək	ɡeʃmɑx
ki	ki
ki	kin
kilsə	kilsæ
kim	kim
kimdənsə	kimdænsæ
kimdəsə	kimdæsæ
kimi	kimi
kimi	t͡ʃimi
kiminsə	kiminsæ
kimisə	kimisæ
kimsə	kimsæ
kimsədə	kimsædæ
kimsədən	kimsædæn
kimsəni	kimsæni
kimsənin	kimsænin
kimsəyə	kimsæjæ
kimya	kimja
kimya	t͡ʃimja
kimyaçı	kimjat͡ʃɯ
kimyaçı	t͡ʃimjat͡sɯ
kimyəvi	kimjæːvi
kimyəvi	t͡ʃimjæːvi
kiməsə	kimæsæ
kirli	kirli
kirpi	kirpi
kirpik	kirpij
kirpik	kirpik
kirpik	kirpiç
kitabxana	kitɑbχɑnɑ
kitabxanaçı	kitɑbχɑnɑt͡si
kitabxanaçı	kitɑbχɑnɑt͡ʃi
kiçik	kit͡sit͡ʃ
kiçik	kit͡ʃik
kişibaz	kiʃibɑz
kişibazlıq	kiʃibɑzɫɯχ
kobud	kʲobud
kobud	t͡ʃobud
kor	kʲor
köhnə	kœhnæ
köhnə	kœjnæ
kök	kœk
kölgə	kœlɡæ
kömür	kœmyr
kömür	t͡ʃʂœmyr
kömək	kœmæj
kömək	kœmæk
kömək	kœmæt͡ʃ
könül	kœnyl
köpük	kœpyj
köpük	kœpyk
körpü	kœrpy
kösöv	kœsœv
kösöv	t͡ʃœsœv
köynək	kɶjnæk
köçmək	kœt͡ʃmæk
köşək	kœʃæj
köşək	kœʃæk
kürəkən	kyrækæn
küsmək	kysmæj
küsmək	kysmæk
küçə	kyt͡sæ
küçə	kyt͡ʃæ
kəfgir	kæfɡir
kəlbətin	kælbætin
kənd	kænd
kənd	kæt
kənd	t͡ʃ̟æt
kəpənək	kæpænæk
kərtənkələ	kærtænkælæ
kərə	kæræ
kəsdirmək	kæsd̥irmæj
kəsdirmək	kæsd̥irmæk
kəsdirmək	t͡ʃæsd̥irmɑχ
kəsilmək	kæsilmej
kəsilmək	kæsilmæj
kəsilmək	kæsilmæk
kəsilmək	t͡ʃæsilmɑχ
kəsmək	kæsmej
kəsmək	kæsmæj
kəsmək	kæsmæk
kəsmək	t͡ʃæsmɑχ
lahiyə	ɫɑːhijæ
lakin	laːkin
layihə	ɫɑːjihæ
lazım	ɫɑzɯm
lazım	ɫɑɑzɯm
lazımsız	ɫɑzɯmsɯz
lövbər	lœvbær
lütfən	lytfæn
ləzgi	læzɡi
mahnı	mɑhnɯ
makedoniya	mɑkʲʰedonijɑ
makedoniya	mɑt͡ʃedonijɑ
mal	mɑɫ
masa	mɑsɑ
matç	mɑtt͡ʃ
mehrab	mɛhɾɑb
memar	memɑr
memar	meːmɑr
meydan	mejdɑn
meyvə	mɛjvæ
milad	miɫɑd
min	min
minbər	minbær
minmək	mimːæk
minmək	minmej
minmək	minmæk
minmək	minmɑχ
minnətdar	minːætdɑr
mismar	mismɑɾ
mişar	miʃɑr
mişar	mɯʃɑr
molekul	molekuɫ
morfoloji	morfoloʒɯ
musiqi	muˑsiɡi
musiqiçi	muˑsiɡit͡si
musiqiçi	muˑsiɡit͡ʃi
muxtar	muχtɑr
muştuluq	muʃtuluχ
muştuluqçu	muʃtuɫuχt͡su
muştuluqçu	muʃtuɫuχt͡ʃu
möcüzə	mœːd͡ʒyzæ
mübarizə	mubɑːrizæ
mübarizə	mybɑːrizæ
müddət	mydːæt
müharibə	myhɑribæ
mühəndis	myhændis
müjdə	myd͡ʒdæ
müjdə	myʒdæ
müjdəçi	myʒdæt͡si
müjdəçi	myʒdæt͡ʃi
mükafat	mykʲɑːfɑt
münaqişə	mynɑːɡiʃæ
münaqişə	mynɑːɢiʃæ
müqayisə	myɡɑːjisæ
müqəddəs	myɡædːæs
müqəssir	myɢæsːiɾ̥
müsabiqə	mysɑːbiɡæ
müstəqillik	mystæɡillij
müstəqillik	mystæɡillik
müəllif	myælːif
müəllif	mʷælːif
müəllim	myælːim
müəllimə	myælːimæ
müştəri	myʃtæri
müəzzəm	myæzːæm
məcazi	mæd͡zɑːzi
məcazi	mæd͡ʒɑːzi
məclis	mæd͡zlis
məclis	mæd͡ʒlis
mədrəsə	mædræsæ
məfhum	mæfhum
məhəlli	mæhælːi
məhşur	mæhʃur
məktub	mæhtub
məktub	mæktub
məktəb	mæktæb
məktəb	mæçtæb
mələfə	mælæfæ
məmur	mæmur
məmur	mæːmur
məna	mæːnɑ
mənasız	mæːnɑsɯz
mənfəət	mænfææt
mənimsəmə	mænimsæmæk
mənimsəmək	mænimsæmæj
mənimsəmək	mænimsæmæk
mənzərə	mænzæɾæ
mərasim	mærɑːsim
mərkəzi	mærkæzi
məsafə	mæsɑːfæ
məsləhət	mæslæhæt
məsələn	mæsælæn
mıx	mɯχ
məxəz	mæχæz
məzuniyyət	mæzunijæt
namaz	nɑmɑz
namə	nɑːmæ
natamamlıq	nɑtɑmɑmɫɯχ
natamamlıq	nɑtɑmɑnɫɯχ
natəmiz	nɑːtæmiz
nazir	nɑːzir
nazir	nɑːzir̥
nazirlik	nɑːzirlij
nazirlik	nɑːzirlik
necə	ned͡zæ
necə	ned͡ʒæ
neynəmək	nejnæmæj
neynəmək	nejnæmæk
neyçün	nejt͡ʃyn
neçiyədir	net͡sjædir
neçiyədir	net͡ʃjædir
