abl	a b l̩
leidr	l e i̯ d r̩
lestr	l ɛ s t r̩
lifft	l ɪ f t
llawysgrif	ɬ a u̯ ə s k r ɪ v
lledr	ɬ ɛ d r̩
lleidr	ɬ e i̯ d r̩
llestr	ɬ ɛ s t r̩
lloegr	ɬ ɔ ɨ̯ ɡ r̩
llosg	ɬ ɔ s k
llosgi	ɬ ɔ s k i
llost	ɬ ɔ s t
llwybr	ɬ ʊ ɨ̯ b r̩
llyfr	ɬ ɨ̞ v r
loegr	lˠ ɔ ɨ̯ ɡ r̩
lyfr	lˠ ɨ̞ v r
maestref	m e ɨ s t r ɛ v
masnachdy	m a s n a χ t ɨ
melyster	m ɛ l ə s t ɛ r
mhobl	m̥ʰ ɔ b l̩ˠ
mollt	m oː ɬ t
nabl	n a b l̩
neidr	n e i̯ d r̩
nest	n ɛ s t
nghastell	ŋ̊ʰ a s t a ɬ
nghastell	ŋ̊ʰ a s t ɛ ɬ
nghestyll	ŋ̊ʰ ɛ s t ɨ̞ ɬ
ngwystl	ŋ w ɨ̞ s t l̩ˠ
nheigr	n̥ e i̯ ɡ r̩
ocr	ɔ k r̩
odl	ɔ d l̩
pasg	pʰ aː s k
pedr	pʰ ɛ d r̩
pedrongl	pʰ ɛ d r ɔ ŋ l̩
pedrsill	pʰ ɛ d r̩ s ɪ ɬ
phobl	f ɔ b l̩ˠ
plastig	p lʰ a s t ɪ ɡ
pobl	pʰ ɔ b l̩ˠ
post	pʰ oː s t
pysgod	pʰ ə s k ɔ d
pysgodyn	p ə s k ɔ d ɨ̯ n
rhestr	r̥ʰ ɛ s t r̩
rhisgl	r̥ ɪ s k l̩
rhwystro	r̥ʰ ʊ ɨ̯ s t r ɔ
salamandr	s a l a m a n d r̩
sawdl	s a u̯ d l̩
sbectol	s p ɛ k t ɔ l
sbwriel	s p ʊ r j a lˠ
sbwriel	s p ʊ r j ɛ lˠ
sgandinafaidd	s k a n d ɪ n a v a i̯ ð
sgandinafia	s k a n d ɪ n a v j a
sgarff	s k a r f
sgert	s k ɛ r t
sgiwen	s k i u̯ ɛ n
sgrech	s k r eː χ
sgrechian	s ɡ r ɛ χ j a n
sgwrs	s k ʊ r s
sgwrsio	s k ʊ r ʃ o
sgwâr	s k w aː r
sgôr	s k oː r
siwgr	ʃ ʊ ɡ r̩
stafell	s t a v a ɬ
stafell	s t a v ɛ ɬ
stopi	s t ɔ p i
stopiem	s t ɔ p j ɛ m
stopio	s t ɔ p j ɔ
stori	s t ɔ r i
stryd	s t r ɨː d
stŵr	s t uː r
teigr	tʰ e i̯ ɡ r̩
terfysgwr	tʰ ɛ r v ə s k ʊ r
theigr	θ e i̯ ɡ r̩
tyst	tʰ ɨː s t
wfft	ʊ f t
wybr	ʊ ɨ̯ b r̩
wysg	uː ɨ̯ s k
wystl	w ɨ̞ s t l̩ˠ
ydw	n d u
ydw	n̩ d u
ydy	n d i
ydy	n̩ d i
ymherodr	ə m h ɛ r ɔ d r̩
ysboncio	ə s p ɔ ŋ k j ɔ
ysbryd	ə s b r ɪ d
ysbryd	ə s p r ɨ̞ d
ysbrydol	ə s p r ə d ɔ l
ysbrydoli	ə s p r ə d ɔ l i
ysbyty	ə s p ə t ɨ
ysgaw	ə s k a u̯
ysgawen	ə s k a u̯ a n
ysgawen	ə s k a u̯ ɛ n
ysglodyn	s k l ɔ d ɨ̞ n
ysglodyn	ə s k l ɔ d ɨ̞ n
ysgrifen	s k r ɪ v a n
ysgrifen	s k r ɪ v ɛ n
ysgrifen	ə s k r ɪ v ɛ n
ysgrifennu	s k r ɪ v ɛ n ɨ
ysgrifennu	s k w ɛ n ɨ
ysgrifennu	ə s k r ɪ v ɛ n ɨ
ysgubor	ə s k ɨ̞ b ɔ r
ysguthan	s k ɨ̞ θ a n
ysguthan	ə s k ɨ̞ θ a n
ystafell	s t a v a ɬ
ystafell	s t a v ɛ ɬ
ystafell	ə s t a v ɛ ɬ
ystifflog	ə s t ɪ f l ɔ ɡ
ystradwel	ə s t r a d w ɛ l
ystyr	ə s t ɨ̞ r
ystyried	ə s t ə r j ɛ d
