চ	s ɔ
ꠘꠣ	n a
ꠘꠣꠁꠇꠟ	n a i k ɔ l
ꠘꠣꠁꠝꠥꠠꠣꠟ	n a i m u ɽ a l
ꠘꠣꠅ	n a ʊ
ꠘꠣꠇ	n a x
ꠘꠤꠝꠣꠔꠞꠣ	n i m a t̪ ɾ a
ꠘꠤꠞꠣꠁ	n i ɾ a i
ꠙꠅꠞ	ɸ ɔ ɔ́ ɾ
ꠙꠔꠣ	ɸ ɔ t̪ a
ꠙꠣꠇ	ɸ a x
ꠙꠣꠈꠣ	ɸ a x á
ꠙꠣꠌ	ɸ a s
ꠙꠣꠔ꠆ꠕꠞ	ɸ a t̪ː ɔ ɾ́
ꠙꠣꠘꠤ	ɸ a n i
ꠙꠣꠟꠋ	ɸ a l ɔ ŋ
ꠙꠤꠑ	ɸ i ʈ
ꠙꠤꠙꠠꠣ	ɸ i ɸ ɽ a
ꠙꠥꠀ	ɸ u a
ꠙꠥꠎꠣꠁꠟ	ɸ u z a i l
ꠙꠥꠟ	ɸ u l
ꠙꠥꠠꠤ	ɸ u ɽ i
ꠙꠥꠡ	ɸ u ʃ
ꠙꠦꠇ	ɸ e x
ꠙꠦꠌꠣ	ɸ e s a
ꠚꠟ	f ɔ́ l
ꠚꠣꠟ꠆ꠇꠥꠘ	f á l k u n
ꠚꠥꠟ	f ú l
ꠛꠂꠡꠣꠉ	b ɔ i ʃ a ɡ
ꠛꠇꠞꠤ	b ɔ x ɾ i
ꠛꠞꠔꠘ	b ɔ ɾ t̪ ɔ n
ꠛꠣꠊ	b a ɡ
ꠛꠣꠔ	b a t̪
ꠛꠣꠔ꠆ꠔꠤ	b a t̪ː i
ꠛꠣꠔꠔꠤ	b a t̪ t̪ i
ꠛꠣꠔꠤꠀꠞꠣ	b a t̪ i a ɾ a
ꠛꠣꠖ	b a d̪
ꠛꠤꠀꠘ	b i á n
ꠛꠤꠀꠟ	b i a l
ꠛꠤꠌꠣꠟ	b i s a l
ꠛꠤꠍꠘꠣ	b i s n a
ꠛꠤꠟꠣꠁ	b i l a i
ꠛꠤꠠꠣ	b i ɽ a
ꠛꠤꠡ	b i ʃ
ꠛꠥꠞꠣ	b u ɾ a
ꠛꠦꠐꠣ	b e ʈ a
ꠛꠦꠐꠤ	b e ʈ i
ꠜꠂꠘ	b ɔ́ i n
ꠜꠂꠘꠣꠞꠤ	b ɔ́ i n a ɾ i
ꠜꠣꠔ	b á t̪
ꠜꠣꠖꠧ	b á d̪ o
ꠜꠣꠟꠣ	b á l a
ꠜꠣꠟꠣꠙꠣꠅꠀ	b á l a ɸ a o a
ꠝꠞꠣ	m ɔ ɾ a
ꠝꠣꠊ	m a ɡ
ꠝꠣꠗꠣꠘ	m a d̪ á n
ꠝꠤꠍꠣ	m i s á
ꠝꠤꠑꠣ	m i ʈ á
ꠝꠥꠁ	m u i
ꠝꠥꠈ	m u k
ꠝꠦꠇꠥꠞ	m e k u ɾ
ꠞꠂꠖ	ɾ ɔ i d̪
ꠞꠃꠘ	ɾ ɔ ú n
ꠞꠇ꠆ꠔ	ɾ ɔ x t̪ ɔ
ꠞꠋ	ɾ ɔ ŋ
ꠞꠍꠤ	ɾ ɔ s i
ꠞꠣꠁꠔ	ɾ a i t̪
ꠞꠣꠎꠣꠁ	ɾ a z a i
ꠞꠤꠡꠇꠣ	ɾ i ʃ k a
ꠟꠃ	l ɔ ú
ꠟꠦꠈꠞꠣ	l e x ɾ a
ꠡꠞꠛꠔ	ʃ ɔ ɾ b ɔ t̪
ꠡꠥꠁꠘ꠆ꠘ	ʃ u i nː ɔ
ꠡꠥꠘ꠆ꠖꠞ	ʃ u n d̪ ɔ ɾ
ꠡꠥꠘꠖꠞ	ʃ u n d̪ ɔ ɾ
ꠢꠃꠞ	ɦ ɔ ú ɾ
ꠢꠇꠟ	ɦ ɔ x ɔ l
ꠢꠎꠣꠉ	ɦ ɔ z a ɡ
ꠢꠞꠥ	ɦ ɔ ɾ u
ꠢꠞꠥꠔꠣ	ɦ ɔ ɾ u t̪ a
ꠢꠠꠤ	ɦ ɔ ɽ i
ꠢꠣꠅꠘ	ɦ a o n
ꠢꠣꠉ	ɦ a ɡ
ꠢꠣꠌꠣ	ɦ a s a
ꠢꠣꠔ	ɦ a t̪
ꠢꠣꠔꠇꠞꠣ	ɦ a t̪ x ɔ ɾ a
ꠢꠣꠙ	ɦ á ɸ
ꠢꠤꠀꠟ	ɦ i a l
ꠢꠤꠞꠛꠣꠞ	ɦ i ɾ b a ɾ
ꠢꠤꠟ	ɦ i l
ꠢꠥꠈꠂꠘ	ɦ u k ɔ́ i n
ꠢꠥꠐꠇꠤ	ɦ u ʈ k i
ꠢꠥꠔꠣ	ɦ u t̪ a
ꠢꠥꠘꠣ	ɦ u n a
ꠢꠥꠞꠂꠘ	ɦ u ɾ ɔ i n
ꠢꠥꠞꠥ	ɦ u ɾ u
ꠢꠥꠞꠥꠔꠣ	ɦ u ɾ u t̪ a
