अ	ə
अनुप्रयुक्त	ə.nʊ.pɾə.jʊkt̪
अनुप्रास	ə.nʊp.ɾɑːs
अनुभूति	ə.nʊ.bʱuː.t̪iː
अनुमानतः	ə.nʊ.mɑːn.t̪əʰ
अनुमानित	ə.nʊ.mɑː.nɪt̪
अनुमोदन	ən̪ʊmod̪ən̪
अनुरक्षण	ə.nʊ.ɾək.ʃən
अनुवाद	ə.nʊ.ʋɑːd̪
अनुवादित	ə.nʊ.ʋɑː.d̪ɪt̪
अनुशासन	ə.nʊ.ʃɑː.sən
अनुशीलन	ə.nʊ.ʃiː.lən
अनुसरण	ə.nʊ.sə.ɾən
अनूठा	ə.nuː.ʈʰɑː
अनूदित	ə.nuː.d̪ɪt̪
अनेक	ə.neːk
अनौपचारिक	ə.nɔːp.t͡ʃɑː.ɾɪk
अन्दर	ən.d̪əɾ
अन्न	ənn
अन्य	ənj
अन्यथा	ən.jə.t̪ʰɑː
अपत्य	ə.pət̪j
अपदेश	əp.d̪eːʃ
अपना	əp.nɑː
अपने-आप	əp.neː.ɑːp
अपमान	əp.mɑːn
अपमानित	əp.mɑː.nɪt̪
अपराधी	əp.ɾɑː.d̪ʱiː
अपरिचित	ə.pə.ɾɪ.t͡ʃɪt̪
अपरिपक्व	əp.ɾɪ.pəkʋ
अपरिरुद्ध	ə.pə.ɾɪ.ɾʊd̪d̪ʱ
अपवाद	əp.ʋɑːd̪
अपवित्र	ə.pə.ʋɪt̪ɾ
अपशकुन	əp.ʃə.kʊn
अपसामान्य	əp.sɑː.mɑːnj
अपहरण	ə.pʰə.ɾən
अपहर्ता	ə.pʰəɾ.t̪ɑː
अपितु	ə.pɪ.t̪uː
अपुष्ट	ə.pʊʃʈ
अपूर्ण	ə.puːɾn
अपेक्षा	ə.peːk.ʃɑː
अपेक्षित	ə.peːk.ʃɪt̪
अपॉइंटमेंट	ə.pɔːɪnʈ.meːnʈ
अप्रत्याशित	əp.ɾət̪.jɑː.ʃɪt̪
अप्रैल	əp.ɾɛːl
अफ़सर	əf.səɾ
अफ़साना	əf.sɑː.nɑː
अफ़सोसजनक	əf.soːs.d͡ʒə.nək
अफ़ीम	ə.fiːm
अफ़्साना	əf.sɑː.nɑː
अबटाबाद	əb.ʈɑː.bɑːd̪
अबाबील	ə.bɑː.biːl
अबिचल	ə.bɪ.t͡ʃəl
अबिवात्त	ə.bɪ.ʋɑːt̪t̪
अबीर	ə.biːɾ
अब्बा	əb.bɑː
अब्र	əbɾ
अब्रू	əb.ɾuː
अभिकलित्र	ə.bʱɪ.kə.lɪt̪ɾ
अभिकारक	ə.bʱɪ.kɑː.ɾək
अभिक्रिया	ə.bʱɪk.ɾiː.jɑː
अभिगम	ə.bʱɪ.ɡəm
अभिदृश्यक	ə.bʱɪd̪.ɾɪʃ.jək
अभिनय	ə.bʱɪ.nəj
अभिनेता	ə.bʱɪ.neː.t̪ɑː
अभिनेत्री	ə.bʱɪ.neːt̪.ɾiː
अभिप्राय	ə.bʱɪp.ɾɑːj
अभिभावक	ə.bʱɪ.bʱɑː.ʋək
अभियंता	ə.bʱiː.jən.t̪ɑː
अभियंत्रिकी	ə.bʱiː.jənt̪.ɾɪ.kiː
अभियांत्रिकी	ə.bʱiː.jɑːnt̪.ɾɪ.kiː
अभियान	ə.bʱiː.jɑːn
अभियोग	ə.bʱiː.joːɡ
अभियोजक	ə.bʱiː.joː.d͡ʒək
अभिलाषा	ə.bʱɪ.lɑː.ʃɑː
अभिव्यक्ति	ə.bʱɪʋ.jək.t̪iː
अभी	əbʱiː
अभूतपूर्व	ə.bʱuːt̪.puːɾʋ
अभ्यासक्रम	əbʱ.jɑːs.kɾəm
अभ्यासवश	əbʱ.jɑːs.ʋəʃ
अभ्रक	əbʱ.ɾək
अमन	ə.mən
अमरावती	əm.ɾɑː.ʋə.t̪iː
अमरीका	əm.ɾiː.kɑː
अमरूद	əm.ɾuːd̪
अमल	ə.məl
अमीर	ə.miːɾ
अमेरिका	ə.meː.ɾɪ.kɑː
अमेरिकी	ə.meː.ɾɪ.kiː
अम्बर	əm.bəɾ
अम्मा	əm.mɑː
अम्मी	əm.miː
अम्ल	əml
अम्लता	əml.t̪ɑː
अम्लता	əm.lə.t̪ɑː
अम्लपित्त	əml.pɪt̪t̪
अम्लपित्त	əm.lə.pɪt̪t̪
अम्लीय	əm.liːj
अयस्	ə.jəs
अयोध्या	ə.joːd̪ʱ.jɑː
अरगनी	ə.ɾəɡ.niː
अरब	ə.ɾəb
अरबिंद	əɾ.bɪnd̪
अरमान	əɾ.mɑːn
अरविंद	əɾ.ʋɪnd̪
अरिहंत	ə.ɾɪ.ɦənt̪
अरुचि	ə.ɾʊ.t͡ʃiː
अरुणोदय	ə.ɾʊ.noː.d̪əj
अरे	ə.ɾeː
अर्ज़	əɾz
अर्ज़ी	əɾ.ziː
अर्जेंटीना	əɾ.d͡ʒeːn.ʈiː.nɑː
अर्थ	ˈəɾt̪ʰ
अर्थमिति	əɾ.t̪ʰə.mɪ.t̪iː
अर्थव्यवस्था	əɾ.t̪ʰəʋ.jə.ʋəs.t̪ʰɑː
अर्थशास्त्री	əɾ.t̪ʰə.ʃɑːst̪.ɾiː
अर्थात	əɾ.t̪ʰɑːt̪
अर्ध	əɾd̪ʱ
अर्धतत्सम	əɾ.d̪ʱə.t̪ət̪.səm
अलंकार	ə.ləŋ.kɑːɾ
अलग-थलग	ə.ləɡ.t̪ʰə.ləɡ
अलगाव	əl.ɡɑːʋ
अलगाववादी	əl.ɡɑːʋ.ʋɑː.d̪iː
अलम	ə.ləm
अलविदा	əl.ʋɪ.d̪ɑː
अलापना	ə.lɑːp.nɑː
अलाव	ə.lɑːʋ
अल्पकारी	əl.pə.kɑː.ɾiː
अल्पसंख्यक	əlp.səŋkʰ.jək
अल्लाह	əl.lɑːʱ
अवकलज	əʋ.kə.ləd͡ʒ
अवक्षेपण	əʋ.kʃeː.pən
अवगुण	əʋ.ɡʊn
अवज्ञा	ə.ʋəɡ.jɑː
अवध	ə.ʋəd̪ʱ
अवधारण	əʋ.d̪ʱɑː.ɾən
अवधी	əʋ.d̪ʱiː
अवधी	ə.ʋə.d̪ʱiː
अवपंक	əʋ.pəŋk
अवयव	əʋ.jəʋ
अवलोकन	əʋ.loː.kən
अवशोषण	əʋ.ʃoː.ʃən
अवशोषित	əʋ.ʃoː.ʃɪt̪
अवश्य	ə.ʋəʃj
अवहट्ठ	əʋ.ɦəʈʈʰ
अवहेलना	əʋ.ɦeːl.nɑː
अवाई	ə.ʋɑːiː
अवाम	ə.ʋɑːm
अवार्ड	ə.ʋɑːɾɖ
अविकारी	ə.ʋɪ.kɑː.ɾiː
अविलंब	ə.ʋɪ.ləmb
अविवाहित	ə.ʋɪ.ʋɑː.ɦɪt̪
अशक्त	ə.ʃəkt̪
अशरफ़ी	ə.ʃəɾ.fiː
अशिष्ट	ə.ʃɪʃʈ
अशुभ	ə.ʃʊbʱ
अश्लील	əʃ.liːl
अश्व	əʃʋ
अश्विनी	əʃ.ʋɪ.niː
अष्टकोण	əʃʈ.koːn
असंगत	ə.səŋ.ɡət̪
असंतुष्ट	ə.sən.t̪ʊʃʈ
असंवैधानिक	ə.səm.ʋɛː.d̪ʱɑː.nɪk
असत्य	ə.sət̪j
असत्याभास	ə.sət̪.jɑː.bʱɑːs
असफल	ə.sə.pʰəl
असम	ə.səm
असर	ə.səɾ
असली	əs.liː
असहयोग	ə.səʱ.joːɡ
असहाय	əs.ɦɑːj
असहिष्णु	ə.sə.ɦɪʃ.nuː
असहिष्णुता	ə.sə.ɦɪʃ.nʊ.t̪ɑː
असाधारण	ə.sɑː.d̪ʱɑː.ɾən
असुरक्षित	ə.sʊ.ɾək.ʃɪt̪
असैनिक	ə.sɛː.nɪk
अस्तबल	əs.t̪ə.bəl
अस्त्र-शस्त्र	əst̪ɾ.ʃəst̪ɾ
अस्थायी	əs.t̪ʰɑː.jiː
अस्थि	əs.t̪ʰiː
अस्पताल	əs.pə.t̪ɑːl
अस्पृश्य	əˈspɾɪʃ.jə
अस्सी	əs.siː
अहं	ɛːʱm
अहंकार	eː.ɦeːŋ.kɑːɾ
अहबाब	ɛːʱ.bɑːb
अहम	ɛːʱm
अहमियत	ɛːʱ.miː.jət̪
अहाता	ə.ɦɑː.t̪ɑː
अहिच्छत्र	ə.ɦɪt͡ʃ.t͡ʃʰət̪ɾ
अहिनाह	ə.ɦɪ.nɑːʱ
अहिर्बुश्न	ə.ɦɪɾ.bʊʃn
अहिवात	ə.ɦɪ.ʋɑːt̪
अहिवाद	ə.ɦɪ.ʋɑːd̪
आ	aː
आ	a
आ	ɑː
आँख	ɑ̃ːkʰ
आँगन	ɑ̃ː.ɡən
आँच	ɑ̃ːt͡ʃ
आँसू	ɑ̃ː.suː
आंकड़ा	ɑːŋk.ɽɑː
आंगन	ɑːŋ.ɡən
आंदोलन	ɑːn.d̪oː.lən
आंवला	ɑ̃ːʋ.lɑː
आंशिक	ɑːn.ʃɪk
आइंदा	ɑːɪn.d̪ɑː
आइस्ड	ɑːɪsɖ
आई	ɑːiː
आईला	ɑːiː.lɑː
आक	ɑːk
आकर्षक	ɑː.kəɾ.ʃək
आकर्षण	ɑː.kəɾ.ʃən
आकर्षित	ɑː.kəɾ.ʃɪt̪
आकलन	ɑː.kə.lən
आकस्मिक	ɑː.kəs.mɪk
आकांक्षा	ɑː.kɑːŋk.ʃɑː
आकार	ɑː.kɑːɾ
आकाशवाणी	ɑː.kɑːʃ.ʋɑː.niː
आकृति	ɑːk.ɾɪ.t̪iː
आक्रामक	ɑːk.ɾɑː.mək
आक्रामकता	ɑːk.ɾɑː.mək.t̪ɑː
आख़िर	ɑː.kʰɪɾ
आख़िर	ɑː.xɪɾ
आख़िरी	ɑːkʰ.ɾiː
आख़िरी	ɑːx.ɾiː
आख़िरी	ɑː.kʰɪ.ɾiː
आख़िरी	ɑː.xɪ.ɾiː
आग	ɑːɡ
आग़ोश	ɑː.ɡoːʃ
आग़ोश	ɑː.ɣoːʃ
आगाह	ɑː.ɡɑːʱ
आगाही	ɑː.ɡɑː.ɦiː
आग्नेय	ɑːɡ.neːj
आग्रह	ɑːɡ.ɾəʱ
आघ	ɑːɡʱ
आछा	ɑː.t͡ʃʰɑː
आज	ɑːd͡ʒ
आज़माना	ɑːz.mɑː.nɑː
आज़ाद	ɑː.zɑːd̪
आज्ञा	ɑːɡ.jɑː
आडवाणी	ɑːɖ.ʋɑː.niː
आड़ू	ɑː.ɽuː
आतंकमय	ɑː.t̪əŋk.məj
आतंकित	ɑː.t̪əŋ.kɪt̪
आतमीयता	ɑːt̪.miː.jə.t̪ɑː
आतिशबाज़ी	ɑː.t̪ɪʃ.bɑː.ziː
आतिशबाजी	ɑː.t̪ɪʃ.bɑː.d͡ʒiː
आत्मघात	ɑːt̪.mə.ɡʱɑːt̪
आत्मविश्वास	ɑːt̪.mə.ʋɪʃ.ʋɑːs
आत्मसमर्पण	ɑːt̪m.sə.məɾ.pən
आत्मसात	ɑːt̪.mə.sɑːt̪
आत्मसात्	ɑːt̪.mə.sɑːt̪
आत्मस्तुति	ɑːt̪.məs.t̪ʊ.t̪iː
आदतन	ɑː.d̪ə.t̪ən
आदमी	ɑːd̪.miː
आदर	ɑː.d̪əɾ
आदरपूर्वक	ɑː.d̪əɾ.puːɾ.ʋək
आदर्श	ɑː.d̪əɾʃ
आदान	ɑː.d̪ɑːn
आदान-प्रदान	ɑː.d̪ɑːn.pɾə.d̪ɑːn
आदाब	ɑː.d̪ɑːb
आदिभाषा	ɑː.d̪ɪ.bʱɑː.ʃɑː
आदिम	ɑː.d̪ɪm
आदेश	ɑː.d̪eːʃ
आधारभूत	ɑː.d̪ʱɑːɾ.bʱuːt̪
आधिक	ɑː.d̪ʱɪk
आधिपत्य	ɑː.d̪ʱɪ.pət̪j
आध्यात्मिक	ɑːd̪ʱ.jɑːt̪.mɪk
आपत्ति	ɑː.pət̪.t̪iː
आपदा	ɑːp.d̪ɑː
आपस	ɑː.pəs
आपेक्षिक	ɑː.peːk.ʃɪk
आफ़ताब	ɑːf.t̪ɑːb
आफ़्रीदी	aːfriːd̪iː
आब	ɑːb
आब-ए-चश्म	ɑːb.eː.t͡ʃəʃm
आबदस्त	ɑːb.d̪əst̪
आमदनी	ɑː.məd̪.niː
आमाशय	ɑː.mɑː.ʃəj
आमुख	ɑː.mʊkʰ
आयन	ɑː.jən
आयुक्त	ɑː.jʊkt̪
आयुर्वेद	ɑː.jʊɾ.ʋeːd̪
आयोग	ɑː.joːɡ
आयोजित	ɑː.joː.d͡ʒɪt̪
आरंभिक	ɑː.ɾəm.bʱɪk
आरज़ू	ɑːɾ.zuː
आर्थिकी	ɑːɾ.t̪ʰɪ.kiː
आर्मेनियन	ɑːɾ.meː.niː.jən
आर्यमन	ɑːɾ.jə.mən
आलस	ɑː.ləs
आलीशान	ɑː.liː.ʃɑːn
आलेख	ɑː.leːkʰ
आवंटित	ɑː.ʋən.ʈɪt̪
आवक	ɑː.ʋək
आवर्धन	ɑː.ʋəɾ.d̪ʱən
आवाहन	ɑː.ʋɑː.ɦən
आविष्कार	ɑː.ʋɪʃ.kɑːɾ
आवृत्ति	ɑːʋ.ɾɪt̪.t̪iː
आवेदनकर्ता	ɑː.ʋeː.d̪ən.kəɾ.t̪ɑː
आवेश	ɑː.ʋeːʃ
आवेशित	ɑː.ʋeː.ʃɪt̪
आव्यूह	ɑːʋ.juːʱ
आशना	ɑːʃ.nɑː
आशय	ɑː.ʃəj
आशावाद	ɑː.ʃɑː.ʋɑːd̪
आशिक़मिज़ाज	ɑː.ʃɪk.mɪ.zɑːd͡ʒ
आशिक़मिज़ाज	ɑː.ʃɪq.mɪ.zɑːd͡ʒ
आशिक़ी	ɑː.ʃɪ.kiː
आशिक़ी	ɑː.ʃɪ.qiː
आशियाना	ɑː.ʃiː.jɑː.nɑː
आशीर्वाद	ɑː.ʃiːɾ.ʋɑːd̪
आश्चर्य	ɑːʃ.t͡ʃəɾj
आश्रम	ɑːʃ.ɾəm
आश्रय	ɑːʃ.ɾəj
आश्वासन	ɑːʃ.ʋɑː.sən
आस	ɑːs
आस-पास	ɑːs.pɑːs
आसन	ɑː.sən
आसरा	ɑːs.ɾɑː
आसवन	ɑː.sə.ʋən
आस्तीन	ɑːs.t̪iːn
आह	ɑːʱ
आहत	ɑː.ɦət̪
आहिस्ता	ɑːɪs.t̪ɑː
आहिस्ता	ɑː.ɦɪs.t̪ɑː
इ	ɪ
इ	i
इंगलिस्तान	ɪŋɡ.lɪs.t̪ɑːn
इंजन	ɪɲ.d͡ʒən
इंजीनियरी	ɪɲ.d͡ʒiː.niː.jə.ɾiː
इंटरव्यू	ɪn.ʈəɾʋ.juː
इंडस्ट्री	ɪn.ɖəsʈ.ɾiː
इंडोनेशियन	ɪn.ɖoː.neː.ʃiː.jən
इंडोनेशिया	ɪn.ɖoː.neː.ʃiː.jɑː
इंतक़ाम	ɪn.t̪ə.kɑːm
इंतक़ाम	ɪn.t̪ə.qɑːm
इंतक़ाल	ɪn.t̪ə.kɑːl
इंतक़ाल	ɪn.t̪ə.qɑːl
इंतिफ़ादा	ɪn.t̪ɪ.fɑː.d̪ɑː
इंदौर	ɪn.d̪ɔːɾ
इंद्रिय	ɪnd̪.ɾɪj
इंफाल	ɪm.pʰɑːl
इंस्पेक्टर	ɪns.peːk.ʈəɾ
इक	ɪk
इकट्ठा	ɪ.kəʈ.ʈʰɑː
इकतालीस	ɪk.t̪ɑː.liːs
इकपहिया	ɪ.kə.pʰiː.jɑː
इकसिंगा	ɪk.sɪŋ.ɡɑː
इकहत्तर	ɪ.kʰət̪.t̪əɾ
इकहत्तर	ɪ.kət̪.t̪əɾ
इक्कीस	ɪk.kiːs
इक्यानवे	ɪk.jɑːn.ʋeː
इक्यावन	ɪk.jɑː.ʋən
इक्यासी	ɪk.jɑː.siː
इख़्तियार	ɪkʰ.t̪iː.jɑːɾ
इख़्तियार	ɪx.t̪iː.jɑːɾ
इग्लू	ɪɡ.luː
इच्छा	ɪt͡ʃ.t͡ʃʰɑː
इज़ाफ़ा	ɪ.zɑː.fɑː
इडली	ɪɖ.liː
इतर	ɪ.t̪əɾ
इतिहास	ɪ.t̪ɪ.ɦɑːs
इतिहासकार	ɪ.t̪ɪ.ɦɑːs.kɑːɾ
इत्तेला	ɪt̪.t̪eː.lɑː
इत्र	ɪt̪ɾ
इनकार	ɪn.kɑːɾ
इनको	ɪn.koː
इनसाफ़	ɪn.sɑːf
