а	a
болгар	p ɔ ɮ ɡ a r
болд	p ɔ ɮ t
боломж	p ɔ ɮ ə m t͡ɕ
болор	p ɔ ɮ ə r
болох	p ɔ ɮ ə x
больниц	p ɔ ɮʲ nʲ ə t͡sʰ
бомбо	p ɔ m p ʊ̆
боов	p ɔː w
боол	p ɔː ɮ
боомт	p ɔː m t
боорцог	p ɔː r t͡sʰ ə ɡ
боошиг	p ɔː ʃ i ɡ
борной	p ɔ r n ɔ i
бороо	p ɔ r ɔː
бослого	p ɔ s ɮ ə ɢ
босох	p ɔ s ə x
боть	p ɔ tʲʰ
бохь	p ɔ xʲ
бразил	p r ä t͜s iˑ ɮ
бразил	p r ɛ t͜s iˑ ɮ
будда	p ʊ t t a
буйдан	p ʊ i t a ŋ
буйл	p ʊ i ɮ
булаацалдах	p ʊ ɮ aː t͡s a ɮ t a x
булга	p ʊ ɮ ə ɢ
булчирхай	p ʊ ɮ t͡ɕʰ ə r x a i
бумба	p ʊ m p
бурхан	p ʊ r x a ŋ
бутан	p ʊ tʰ a ŋ
буу	p ʊː
буудал	p ʊː t a ɮ
бууз	p ʊː t͡s
бууралтах	p ʊː r ə ɮ tʰ ə x
бух	p ʊ x
буян	p ʊ j ə ŋ
бэрс	p e r s
бэх	p e x
бээжин	p eː t͡ʃ i ŋ
бяруу	pʲ a r ʊ
бясалгал	pʲ a s ə ɮ ɢ ə ɮ
бясалгах	pʲ a s ə ɮ ɢ ə x
бүжигчин	p u t͡ɕ ə ɡ t͡ɕʰ ə ŋ
бүйлс	p u i ɮ s
бүр	p u r
бүрхүүл	p u r x u ɮ
бүс	p u s
бүх	p u x
бүхэн	p u x ə ŋ
бөднө	p o t ə n
бөс	p ɵ s
бөө	p oː
бөөлжих	p oː ɮ t͡ɕ ə x
бөөс	p oː s
ваар	w̜ aː r
вагон	w̜ a ɢ ɔˑ ŋ
вакцин	w̜ a kʰ t͡s i ŋ
ван	w a ŋ
википедиа	w̜ i kʰ i pʰ e t i a
вирус	w̜ iˑ r u s
вьетнам	w̜ e tʰ n a m
гавал	ɢ a w ə ɮ
гадил	ɢ a tʲ ə ɮ
гадна	ɢ a t ə n
газарч	ɢ a t͡s ə r t͡ʃʰ
гайхалтай	ɢ a i x ə ɮ tʰ a i
гал	ɢ a ɮ
галдах	ɢ a ɮ t ə x
галт	ɢ a ɮ tʰ
галуу	ɢ a ɮ ʊ
ган	ɢ a ŋ
ганжин	ɢ a n t͡ɕ ə ŋ
ганц	ɢ a n t͡sʰ
гар	ɢ a r
гарал	ɡ a r a ɮ
гарах	ɢ a r ə x
гарчиг	ɢ a r t͡ɕʰ ə ɡ
гатлах	ɢ a tʰ ɮ ə x
герман	ɡ e r m a ŋ
говь	ɢ œ w̜
гоймон	ɢ ɔ i m ə ŋ
гол	ɡ ɔ ɮ
голланд	ɡ ɔ ɮ a n t
грек	ɡ e r e kʰ
гудамж	ɢ ʊ t ə m t͡ɕ
гуйх	ɢ ʊ i x
гулууз	ɢ ʊ ɮ ʊ t͡s
гурав	ɢ ʊ r ə w
гурил	ɢ ʊ rʲ ə ɮ
гутаах	ɢ ʊ tʰ a x
гутал	ɢ ʊ tʰ ə ɮ
гууль	ɢ ʊː ɮʲ
гэдэс	ɡ i t i s
гэлэн	ɡ i ɮ ə ŋ
гэлэнмаа	ɡ i ɮ ə m m a
гэмших	ɡ i m ʃ ə x
гэр	ɡ i r
гэргий	ɡ i r ɡ iː
гэрэл	ɡ i r i ɮ
гүзээлзгэнэ	ɡ u t͡s e ɮ d͡z ɡ ə n
гүн	ɡ u ŋ
гүнж	ɡ u n t͡ʃ
гүрвэл	ɡ u r w̜ i ɮ
гүүр	ɡ uː r
даваа	t a w a
давс	t a w s
давхар	t a w̜ x ə r
дайгдах	t a i ɡ t ə x
дайн	t a i ŋ
дайсан	t a i s a ŋ
дайх	t a i x
далавч	t a ɮ a w̜ t͡ʃʰ
далай	t a ɮ a i
далбаа	t a ɮ p a
дамнах	t a m n ə x
дани	t äˑ n
дани	t ɛˑ n
данс	t a n s
дарангуйлагч	t a r a ŋ ɡ ʊ i ɮ a ɡ t͡ʃʰ
дарс	t a r s
дарь	t ɛ r
дасах	t a s ə x
дасгал	t a s ɢ ə ɮ
дахин	t a x i ŋ
дахин	t a xʲ ə ŋ
динозавр	t i n t͡s a w ə r
динозавр	t i n ɔ z a w ə r
довжоо	t ɔ w̜ t͡ɕ ɔ
догшин	t ɔ ɡ ʃ ə ŋ
долоо	t ɔ ɮ ɔː
долоох	t ɔ ɮ ɔ x
дорно	t ɔ r n
доромжлох	t ɔ r ɔ m t͡ʃ ɮ ɔ x
дотор	t ɔ tʰ ə r
дох	t ɔ x
дохих	t ɔ xʲ ə x
дудран	t ʊ t r ə ŋ
дун	t ʊ ŋ
дурдах	t ʊ r t ə x
дуудлага	t ʊː t ɮ ə ɢ
дуулга	d u ɮ ɢ a
дуулгавар	t ʊː ɮ ɢ ə w ə r
дуурь	t ʊː rʲ
дуусгах	t ʊː s ɢ ə x
дуучин	t ʊː t͡ɕʰ ə ŋ
дэвтэр	t i w̜ tʰ i r
дэвшил	t i w ʃ ə ɮ
дэвшилт	t i w ʃ ə ɮ tʰ
дэвших	t i w ʃ ə x
дэл	t i ɮ
дэлгүүр	t i ɮ ɡ uː r
дэлхий	t i ɮ x iː
дэлэн	t e ɮ ə ŋ
дэлүү	t e ɮ u
дэнлүү	t e n ɮ u
дэрс	t i r s
дээл	t eː ɮ
дээр	t eː r
дүнгэр	t u ŋ ɡ ə r
дүү	t uː
дөрвөд	t ɵ r w̜ u t
дөрвөл	t ɵ r w̜ u ɮ
дөрөв	t ɵ r u w̜
евровидение	j e w̜ r ɔ w̜ i t e n i e
европ	j e w̜ r ɔˑ pʰ
египет	e ɡ i f tʰ
ер	j e r
ерөнхийлөгч	j o r ə ŋ x i ɮ ə ɡ t͡ɕʰ
ес	j ɵ s
еэвэн	j eː w ə ŋ
жаал	t͡ɕ aː ɮ
жад	t͡ɕ a t
желон	d͡ʒ e l ɔ ŋ
женев	d ʒ ɛ n ɛ f
жигнэмэг	t͡ɕ i ɡ n ə m ə ɡ
жигүүр	t͡ʃ i ɡ uː r
жижүүр	t͡ɕ i t͡ɕ u r
жимс	t͡ɕ i m s
жор	t͡ɕ ɔ r
жорлон	t͡ɕ ɔ r ɮ ə ŋ
жууцай	t͡ɕ ʊː t͡sʰ a i
заан	t͡s aː ŋ
заар	t͡s aː r
заах	t͡s aː x
завод	t͜s ä w̜ ɔˑ t
завь	t͡s a wʲ
заг	t͡s a ɡ
загас	t͡s a ɢ ə s
зайдуу	t͡s a i t ʊ
залах	t͡s a ɮ ə x
залбирал	t͡s a ɮ p i r a ɮ
залгамал	t͡s a ɮ ɢ ə m ə ɮ
залгах	t͡s a ɮ ɢ ə x
залгуур	t͡s a ɮ ɢ ʊ r
залуу	t͡s a ɮ ʊ
залуур	t͡s a ɮ ʊ r
зам	t͡s a m
замбага	t͡s a m p ə ɢ
зан	t͡s a ŋ
занах	t͡s a n ə x
зангилаа	t͡s a ŋ ɡʲ ə ɮ a
зангуу	t͡s a ŋ ɢ ʊ
зандах	t͡s a n t ə x
зардаг	t͡s a r t ə ɡ
зарим	t͡s a rʲ ə m
заримдаа	t͡s a rʲ ə m t a
зарлал	t͡s a r ɮ a ɮ
зарц	t͡s a r t͡s
засаг	t͡s a s ə ɡ
зах	t͡s a x
захиа	t͡s a x j a
захчин	t͜s a χ t͜ɕʰ ə ŋ
зовлон	t͡s ɔ w ɮ ə ŋ
зогсох	t͡s ɔ ɡ s ə x
золбин	t͡s ɔ ɮʲ pʲ ə ŋ
золгох	t͡s ɔ ɮ ɢ ə x
зориг	t͡s ɔ rʲ ə ɡ
зориглох	t͡s ɔ rʲ ə ɡ ɮ ə x
зоригоор	t͡s ɔ rʲ ə ɡ ɔ r
зоригт	t͡s ɔ rʲ ə ɡ tʰ
зорилго	t͡s ɔ rʲ ə ɮ ə ɢ
зорилт	t͡s ɔ rʲ ə ɮ tʰ
зоримгой	t͡s ɔ rʲ ə m ɢ ɔ i
зоримог	t͡s ɔ rʲ ə m ə ɡ
зориуд	t͡s ɔ rʲ ʊ t
зориулах	t͡s ɔ rʲ ʊ ɮ ə x
зорих	t͡s ɔ rʲ ə x
зочин	t͡s ɔ t͡ʃʰ i ŋ
зугтах	t͡s ʊ ɡ tʰ ə x
зузаан	t͡s ʊ t͡s a ŋ
зул	t͡s ʊ ɮ
зулзага	t͡s ʊ ɮ t͡s ə ɢ
зун	t͡s ʊ ŋ
зураач	t͡s ʊ r aː t͡ʃʰ
зураг	t͡s ʊ r a ɡ
зурагт	t͡s ʊ r ə ɡ tʰ
зурагчин	t͜s ʊ r x̠ t͜ɕʰ ə ŋ
зурвас	t͡s ʊ r w ə s
зууж	t͡s ʊː t͡ɕ
зуух	t͡s ʊː x
зэвсэг	t͡s i w s ə ɡ
зэрлэг	t͡s e r ɮ ə ɡ
зэрэг	t͡s i r ə ɡ
зэс	t͡s i s
зээ	t͡s eː
зээр	t͡s eː r
зээргэнэ	t͡s eː r ɡ ə n
зүй	t͡s u i
зүйр	t͡s u i r
зүйрлэл	t͡s u i r ɮ ə ɮ
зүйрлэх	t͡s u i r ɮ ə x
зүс	t͡s u s
зүү	t͡s uː
зүүд	t͡s uː t
зүүдлэх	t͡s uː t ɮ ə x
зүүн	t͡s uː ŋ
зүүнгар	t͡s uː ŋ ɡ a r
зүүнтэн	t͜s uː n tʰ ə ŋ
зөвлөгөө	t͡s o w ɮ ə ɡ o
зөвшөөрөх	t͡s o w ʃ o r ə x
зөрүүдлэх	t͡s o r u t ɮ ə x
ивээл	i w eː ɮ
идэх	i t ə x
израиль	i t͡s r a i ɮʲ
ил	i ɮ
илгээх	i ɮ ɡ eː x
илд	i ɮ t
илдэх	i ɮ t ə x
иллэг	i ɮ ɮ i ɡ
илтгэл	i ɮ tʰ ɡ ə ɮ
илтгэх	i ɮ tʰ ɡ ə x
илхэн	i ɮ x ə ŋ
имрэх	i m r ə x
индонез	i n t ɔ n e t͡s
индүү	i n t uː
инээмсэглэх	i n eː m s i ɡ ɮ i x
иран	i r a ŋ
ирвэс	i r w ə s
ирц	i r t͡sʰ
ирэх	i r ə x
ирээдүй	i r e t u i
исланд	i s ɮ a n t
испани	i s pʰ aˑ n
итали	i tʰ a ɮ
их	i x
ихэр	i x ə r
казахстан	kʰ ä t͜s ə ɡ s t äˑ ŋ
календарь	k a ɮ e n d a rʲ
канад	kʰ a n a t
каучук	kʰ a ʊ t͡ʃʰ ʊ kʰ
кафе	k ä f e̞ˑ
кафе	k ä fʲ e̞ˑ
кино	kʰ i n ɔ
кинотеатр	kʰ i n ɔ tʰ e a tʰ r
компьютер	kʰ ɔ m pʰ j ʊ tʰ ə r
кофе	kʰ ɔ f
лал	ɮ a ɮ
лам	ɮ ä m
латви	ɮ äˑ tʰ ə w̜
лийр	ɮ iː r
лифт	ɮ i f tʰ
лондон	ɮ ɔ n t ɔ ŋ
луу	ɮ ʊː
лууван	ɮ ʊː w̜ ə ŋ
лхагва	ɬ a w ə ɡ
лхас	ɬ a s
лхас	ɮ x a s
маажих	m aː t͡ɕ ə x
маань	m ɛː n
магтаал	m a x t a ɮ
магтаал	m a ɡ tʰ a ɮ
магтах	m a x t ă
мал	m a ɮ
малайз	m a ɮ a i t͡s
малгай	m a ɮ ɢ a i
маллах	m a ɮ ɮ ə x
малчин	m a ɮ t͡ɕʰ ə ŋ
манан	m a n ə ŋ
манж	m a n t͡ɕ
мануул	m a n ʊ ɮ
маргах	m a r ɢ a x
марк	m ä r k
массаж	m a s a t͡ʃ
мастурбаци	m ə s t ʊ r b a t͡s ɨ
мах	m a x
махийх	m a xʲ i x
махчин	m a x t͡ɕʰ ə ŋ
маш	m a ʃ
машин	m a ʃ i ŋ
мексик	m e kʰ s i kʰ
металл	m e tʰ a ɮ
миний	m i n iː
минут	m i n ʊ tʰ
минь	m i n
мисир	m i s i r
могой	m ɔ ɢ ɔ i
мод	m ɔ tʰ
модоч	m ɔ t ə t͡ɕʰ
мойл	m ɔ i ɮ
молтогчин	m ɔ ɮ tʰ ə ɣ t͡ɕ ə n
монгол	m ɔ ŋ ɢ ə ɮ
морилох	m ɔ rʲ ɮ ə x
морь	m ɵ r
москва	m ɔ s kʰ w̜ a
мотоцикл	m ɔ tʰ ɔ t͡s i kʰ ɮ
мохоо	m ɔ x ɔ
мохох	m ɔ x ə x
муж	m ʊ t͡ɕ
мусульман	m ʊ s ʊ ɮʲ m a ŋ
муу	m õː
мушгирах	m ʊ ʃ ɡʲ ə r ə x
мэдэрхэх	m i t ə r x ə x
мэдэх	m i t ə x
мэдээ	m i t eː
мэдээлэл	m i t e ɮ ə ɮ
мэлхий	m i ɮ x i
мэндлэх	m i n t ɮ i x
мэндчилгээ	m i n t t͡ʃʰ i ɮ ɡ eː
мэргэжил	m i r ə ɡ t͡ɕ ə ɮ
мэргэжилтэн	m i r ə ɡ t͡ɕ ə ɮ tʰ ə ŋ
мэс	m i s
мэт	m i tʰ
мэхээр	m i x e r
мянга	mʲ ä ɴ q
мөн	m o ŋ
мөнгө	m o ŋ ɡ
мөндөр	m ɵ n t ɵ r
мөндөрлөх	m ɵ n t ɵ r ɮ ə x
мөнх	m o ŋ x
мөр	m o r
мөрөвч	m o r ə w t͡ɕʰ
мөрөн	m ɵ r ɵ ŋ
мөрөөдөл	m o r o t ə ɮ
мөс	m o s
мөчир	m o t͡ɕʰ ə r
надад	n a t ə t
най	n a i
найдах	n a i t ə x
найз	n a i t͡s
наймалж	n a i m a ɮ t͡ʃ
найтаах	n a i tʰ a x
нам	n a m
намар	n a m a r
намтар	n a m tʰ ə r
нарийн	n a rʲ i ŋ
начин	n ɑ t͡ɕ i n
непал	n e pʰ a ɮ
нидерланд	n i t e r ɮ a n t
нийгэм	n iː ɡ i m
нийтгэх	n iː tʰ ɡ e x
нийх	n iː x
нил	n i ɮ
ном	n ɔ m
норвеги	n ɔ r w̜ e ɡ
нохой	n ɔ x ɔ i
ноён	n ɔ j ə ŋ
нугалам	n ʊ ɢ ɮ ə m
нурам	n ʊ r ə m
нус	n ʊ s
нутаг	n ʊ tʰ ə k̠
нуур	n ʊː r
нууц	n ʊː t͡s
нь	n
нь	ə n
нэг	n i ɡ
нэмэр	n i m ə r
нэмэх	n i m ə x
нэр	n i r
нэхмэл	n i x m ə ɮ
нээлттэй	n eː ɮ tʰ tʰ e
нээх	n eː x
нялх	nʲ a ɮ x
нүдүүр	n u t u r
нүүдэлчин	n uː t i ɮ t͡ʃʰ i ŋ
нөгөө	n ə ɡ o
нөлөө	n o ɮ o
нөхцөл	n o x t͡sʰ ə ɮ
нөхөр	n ɵ x ɵ r
нөөц	n oː t͡sʰ
нөөцлөх	n oː t͡sʰ ɮ ə x
овьёос	ɔ w j ɔ s
огих	ɔ ɡʲ ə x
оготор	ɔ ɢ tʰ ə r
огурцы	o ɡ ə r t͡sʰ i
одоо	ɔ t ɔ
озох	ɔ t͡s ɔ x
ойлгох	ɔ i ɮ ɢ ə x
оймс	o i m s
ойрад	œː r t
олон	ɔ ɮ ə ŋ
омог	ɔ m ə ɡ
онгоц	ɔ ŋ ɢ ə t͡sʰ
онигоо	ɔ nʲ ɢ ɔ
оноо	ɔ n ɔ
онь	ɔ nʲ
оньс	ɔ nʲ s
оочир	ɔː t͡ɕʰ ə r
опер	ɔ pʰ e r
ор	ɔ r
орой	ɔ r ɔ i
оройвч	ɔ r ɔ i w t͡ɕʰ
ором	ɔ r ə m
орон	ɔ r ə ŋ
орос	ɔ r ɔ s
орос	ɔ r̩̆ s
орох	ɔ r ə x
орчим	ɔ r t͡ɕʰ ə m
орчуулах	ɔ r t͡ʃʰ ʊː ɮ a x
орчуулга	ɔ r t͡ʃʰ ʊː ɮ ɡ
оффис	ɔ f f i s
охин	œ χ ə ŋ
очих	ɔ t͡ɕʰ ə x
оюутан	ɔ j ʊ tʰ ə ŋ
оёдол	ɔ j t ə ɮ
пальто	pʰ a ɮʲ tʰ ɔ
парламент	pʰ a r ɮ a m e n tʰ
паспорт	pʰ a s pʰ ə r tʰ
перс	pʰ e r s
пигүүж	pʰ i ɡ u t͡ɕ
пиджак	pʰ i t t͡ʃ a kʰ
пийшин	pʰ iː ʃ ə ŋ
подвоолк	pʰ ɔ t w̜ ɔː ɮ kʰ
польш	pʰ œˑ ɮ ʃ
польш	pʰ ɔˑ ɮ ʃ
португал	pʰ ɔ r tʰ ʊ ɡ a ɮ
програм	pʰ r ɔ ɡ r a m
пулемёт	pʰ u ɮ mʲ ɔˑ tʰ
пуужин	pʰ ʊː t͡ɕ ə ŋ
размер	r a t͡s m e r
резин	i r t͡s eː ŋ
резин	r e t͡s i ŋ
ресторан	e r s tʰ r äˑ ŋ
рубль	r ʊ p ɮʲ
саатал	s aː tʰ ə ɮ
саваа	s a w a
саван	s a w̜ a ŋ
савар	s a w ə r
сайд	s a i t
сайн	s ɛ̃ː ŋ
сайхан	s a i x a ŋ
салах	s a ɮ ə x
салхи	s a ɮʲ xʲ
сам	s a m
самбар	s a m p ə r
сампин	s a m pʰ i ŋ
сан	s a ŋ
санах	s a n ə x
сансар	s a n s ə r
сар	s a r
сарлаг	s a r ɮ ə ɡ
сармис	s a r mʲ ə s
симфони	s i m f ɔˑ n
сири	s iˑ r
сойз	s ɔ i t͡s
солих	s ɔ ɮʲ ə x
солонго	s ɔ ɮ ə ŋ ɢ
солонгос	s ɔ ɮ ɔ ŋ ɡ ə s
сонгох	s ɔ ŋ ɢ ə x
сонгууль	s ɔ ŋ ɢ ʊ ɮʲ
сонин	s œ n ə ŋ
сонирхол	s ɔ nʲ ə r x ə ɮ
сонсох	s ɔ n s ə x
сорих	s ɔ rʲ ə x
соруул	s ɔ r ʊ ɮ
соруулах	s ɔ r ʊ ɮ ə x
соёл	s ɔ j ə ɮ
соёо	s ɔ j ɔː
судар	s ʊ t ə r
сул	s o ɬ
сум	s ʊ m
суралцах	s ʊ r a ɮ t͡s a x
сурах	s ʊ r ə x
сурвалж	s ʊ r w ə ɮ t͡ɕ
сургах	s ʊ r ɡ a x
сургууль	s ʊ r ɢ ʊ ɮʲ
суух	s ʊː x
сэжиг	s i t͡ɕ ə ɡ
сэлэх	s e ɮ ə x
сэрэх	s e r ə x
сэтгэл	s i tʰ ɡ ə ɮ
сэтгүүл	s e tʰ ɡ u ɮ
сүмс	s u m s
сүнс	s u n s
сүрчиг	s u r t͡ʃʰ i k
сүрэг	s u r ə ɡ
сүх	s u x
сүү	s uː
сүүдэр	s uː t ə r
та	tʰ a
таах	tʰ aː x
тав	tʰ ä w̜
тавин	tʰ ɛ w̜ ə ŋ
тавих	tʰ a wʲ ə x
тавхай	tʰ a w x a i
тавь	tʰ ɛ w̜
тайван	tʰ a i w̜ a ŋ
тайланд	tʰ a i ɮ a n t
такси	tʰ a kʰ s i
талбай	tʰ a ɮ p a i
талх	tʰ a ɮ x
тамах	tʰ a m ə x
тамга	tʰ a m ə ɢ
танц	tʰ a n t͡sʰ
тарвага	tʰ a r w ə ɢ
тархах	tʰ a r x ə x
тархи	tʰ a rʲ xʲ
татаар	tʰ ä tʰ äː r
татах	tʰ a tʰ ə x
татвар	tʰ a tʰ w̜ ə r
тахиа	tʰ a xʲ a
таяг	tʰ a j ə ɡ
тб	tʰ ɪ r p ʊ m
театр	tʰ e a tʰ r
тегеран	t ɪ ɡ ɪ r ɑ ŋ
телевиз	tʰ e ɮ e w̜ i t͡s
телевизор	tʰ e ɮ e w̜ i t͡s ɔ r
телефон	tʰ e ɮ e f ɔ ŋ
тив	tʰ i w̜
товч	tʰ ɔ w t͡ɕʰ
тоглоом	tʰ ɔ ɡ ɮ ɔː m
тогос	tʰ ɔ ɢ ə s
тогтоол	tʰ ɔ ɡ tʰ ɔ ɮ
тогтоомж	tʰ ɔ ɡ tʰ ɔ m t͡ɕ
тогтоох	tʰ ɔ ɡ tʰ ɔ x
тойруу	tʰ ɔ i r ʊ
толгой	tʰ ɔ ɮ ɢ ɔ i
толь	tʰ œ ɮ
том	tʰ ɔ m
томох	tʰ ɔ m ə x
томсох	tʰ ɔ m s ə x
тоншуул	tʰ ɔ ŋ ʃ ʊ ɮ
тоор	tʰ ɔː r
тоормос	tʰ ɔː r m ə s
тоосго	tʰ ɔː s ə q
тор	tʰ ɔ r
торго	tʰ ɔ r ə ɢ
тос	tʰ ɔ s
тоть	tʰ œ tʰ
трактор	tʰ r a kʰ tʰ ə r
трамвай	tʰ r a m w̜ a i
тува	tʰ ʊ w̜ äˑ
тулуй	tʰ ʊ ɮ ʊ i
тунадас	tʰ ʊ n t ə s
туршлага	tʰ ʊ r ʃ ɮ ə ɢ
тусламж	tʰ ʊ s ɮ ə m t͡ɕ
туулай	tʰ ʊː ɮ a i
тухай	tʰ ʊ x a i
тухайд	tʰ ʊ x a i t
тухайн	tʰ ʊ x a i ŋ
тэвнэ	tʰ i w ə n
тэвэр	tʰ i w ə r
тэг	tʰ i ɡ
тэд	tʰ e tʰ
тэмцэх	tʰ i m t͡s i x
тэмцээн	tʰ i m t͡s eː ŋ
тэмээ	tʰ i m e
тэнгис	tʰ i ŋ ɡ ə s
тэнгэр	tʰ i ŋ ɡ i r
тэр	tʰ i r
тэрс	tʰ i r s
тэрэг	tʰ i r ə ɡ
тэс	tʰ i s
түймэр	tʰ u i m ə r
түлхэх	t u ɮ x ə x
түлэгдэлт	tʰ u ɮ ə ɡ t ə ɮ tʰ
түмэд	tʰ u m ə t
түүнийх	tʰ uː n iː x
түүх	tʰ uː x
төвөд	tʰ ɵ w̜ u t
төгрөг	tʰ ɵ ɡ r ə ɡ
төр	tʰ ɵ r
төстэй	tʰ o s tʰ e
төсөвлөх	tʰ o s ə w ɮ ə x
уг	ʊ ɡ
удаа	ʊ t a
удган	ʊ t ɢ ə ŋ
удирдамж	ʊ t i r t a m t͡ʃ
удирдах	ʊ tʲ ə r t ə x
удирдлага	ʊ tʲ ə r t ɮ ə ɢ
украин	ʊ kʰ r a i ŋ
улаан	ʊ ɮ aː ŋ
улаанбаатар	ʊ ɮ aː m p aː tʰ ə r
улаанцав	ʊ ɮ a n t͡sʰ ə w
уламжлалт	ʊ ɮ ə m t͡ɕ ɮ ə ɮ tʰ
улиас	ʊ ɮʲ a s
унах	ʊ n ə x
унгах	ʊ ŋ ɡ a x
унших	ʊ n ʃ ə x
урвах	ʊ r w ə x
урлаг	ʊ r ɮ a ɡ
уруул	ʊ r ʊ ɮ
ус	ʊ s
ус	ʊ s ʊ
утаа	ʊ tʰ a
утас	ʊ tʰ ə s
утга	ʊ tʰ ə ɢ
уу	ʊː
уул	ʊː ɮ
уур	ʊː r
уурга	ʊː r ə ɢ
уурхай	ʊː r x a i
уух	ʊː x
уучлаарай	ʊː t͡ʃʰ ɮ aː r a i
уушги	ʊː ʃ ə ɡʲ
файл	f a i ɮ
факс	f a kʰ s
факсдах	f a kʰ s t a x
ферм	f e r m
фильм	f i ɮʲ m
финланд	f i n ɮ a n t
финлянд	f i n ɮ j a n t
фото	f ɔ tʰ ɔˑ
фото	pʰ ɔ tʰ ɔˑ
франц	f r äˑ n t͜sʰ
фронт	f r ɔˑ n tʰ
фронт	pʰ r ɔˑ n tʰ
футболк	f ʊ tʰ p ɔ ɮ kʰ
хаалга	x aː ɮ ə ɢ
хаан	x aː ŋ
хаана	x aː n
хаах	x aː x
хавар	x a w̜ ə r
хавирга	x a wʲ r ə ɢ
хавч	x a w t͡ɕʰ
хавчих	x a w t͡ɕʰ ə x
хаг	x a ɡ
хага	x a ɢ
хагарах	x a ɢ r ə x
хад	x a t
хадаас	x a t aː s
хадаг	x a t ə ɡ
хадуур	x a t ʊ r
хазаар	x a t͡s a r
хазах	x a t͡s ə x
хайлмаг	x a i ɮ m ə ɡ
хайнаг	x a i n ə ɡ
хайр	x a i r
хайрлах	x a i r ɮ ə x
хайх	x a i x
