abbé	a b eː
génius	ɡ eː n i̯ u s
gúľ	ɡ uː ʎ
hada	ɦ a d a
hadoch	ɦ a d o x
hadom	ɦ a d o m
hadov	ɦ a d o f
hadovi	ɦ a d o v i
halucinácia	ɦ a l u t͡s i n aː t͡s i̯ a
hanička	ɦ a n i t͡ʃ k a
hanka	ɦ a n k a
harvan	ɦ a r v a n
helma	ɦ e l m a
herca	ɦ e r t͡s a
hercami	ɦ e r t͡s a m i
herci	ɦ e r t͡s i
hercoch	ɦ e r t͡s o x
hercom	ɦ e r t͡s o m
hercov	ɦ e r t͡s o f
hercovi	ɦ e r t͡s o v i
heslo	ɦ e s l o
hladký	ɦ l a d k iː
hlave	ɦ l a v e
hlien	ɦ l i̯ e n
hliva	ɦ l i v a
hliva	ɦ ʎ i v a
hlt	ɦ l̩ t
hlucháň	ɦ l u x aː ɲ
hluk	ɦ l u k
hlučný	ɦ l u t͡ʃ n iː
hlísta	ɦ l iː s t a
hnojník	ɦ n ɔ j n iː k
hnus	ɦ n u s
hnusný	ɦ n u s n iː
ho	ɦ o
hodváb	ɦ ɔ d v aː b
hodváb	ɦ ɔ d v aː p
hodvábnica	ɦ ɔ d v aː b ɲ i t͡s a
hole	ɦ o l e
holej	ɦ o l e j
holi	ɦ o l i
holom	ɦ o l o m
holá	ɦ o l aː
holé	ɦ o l eː
holú	ɦ o l uː
holý	ɦ o l iː
hora	ɦ o r a
horkí	ɦ o r k iː
horkú	ɦ o r k uː
horskí	ɦ o r s k iː
hrb	ɦ r̩ p
hrdza	ɦ r̩ d͡z a
hre	ɦ r e
hrnček	ɦ r n̩ t͡ʃ e k
hrobár	ɦ r o b aː r
hrozno	ɦ r o z n o
hrsť	ɦ r̩ s c
hrubý	ɦ r u b iː
hrádza	ɦ r aː d͡z a
hríb	ɦ r iː b
hríb	ɦ r iː p
hríbová	ɦ r iː b o v aː
huba	ɦ u b a
hudobný	ɦ u d o b n iː
huriska	ɦ u r i s k a
husenica	ɦ u s e n i t͡s a
husita	ɦ u s i t a
husitstvo	ɦ u s i t s t v o
hustú	ɦ u s t uː
hvezdárstvo	ɦ v e z d aː r s t v o
hymen	ɦ i m e n
hádanka	ɦ aː d a n k a
hádať	ɦ aː d a c
hádzaná	ɦ aː d͡z a n aː
hák	ɦ aː k
háveď	ɦ aː v e c
híkať	ɦ iː k a c
hôrkach	ɦ u̯ o r k a x
hôrkam	ɦ u̯ o r k a m
hôrkami	ɦ u̯ o r k a m i
hôrkou	ɦ u̯ o r k o u
hôrku	ɦ u̯ o r k u
hôrky	ɦ u̯ o r k i
hôrok	ɦ u̯ o r o k
húštie	ɦ uː ʃ t i̯ e
hľadať	ɦ ʎ a d a c
hŕb	ɦ r̩ː p
hŕba	ɦ r̩ː b a
imel	i m e l
imela	i m e l a
imele	i m e l e
imelo	i m e l o
imelu	i m e l u
imágo	i m aː ɡ o
infant	i n f a n t
inom	i n o m
iná	i n aː
inú	i n uː
iných	i n iː x
iným	i n iː m
istej	i s t e j
istom	i s t o m
istou	i s t o u
istá	i s t aː
isté	i s t eː
istému	i s t eː m u
istí	i s t iː
istú	i s t uː
itália	i t aː l i̯ a
iveta	i v e t a
jabloň	j a b l o ɲ
jadrami	j a d r a m i
jahňacina	j a ɦ ɲ a t͡s i n a
jama	j a m a
jamka	j a m k a
jariem	j a r i̯ e m
jarma	j a r m a
jarme	j a r m e
jarmu	j a r m u
jaspis	j a s p i s
jatka	j a t k a
jazva	j a z v a
jazykolam	j a z i k o l a m
je	j e
jede	j e d e
jeden	j e d e n
jedia	j e d i̯ a
jediná	j e d i n aː
jedináčik	j e d i n aː t͡ʃ i k
jediné	j e d i n eː
jediní	j e d i n iː
jedinú	j e d i n uː
jedla	j e d l a
jedle	j e d l e
jedlom	j e d l o m
jedlu	j e d l u
jedlá	j e d l aː
jedlí	j e d l iː
jedlý	j e d l iː
jedmi	j e d m i
jedoch	j e d o x
jedom	j e d o m
jedov	j e d o f
jedovatý	j e d o v a t iː
jedu	j e d u
jedy	j e d i
jedál	j e d aː l
jedľa	j e d ʎ a
jem	j e m
jeme	j e m e
jete	j e t e
ješ	j e ʃ
jež	j e ʃ
ju	j u
juhom	j u ɦ o m
juhu	j u ɦ u
jurek	j u r e k
jurka	j u r k a
jurko	j u r k o
kabát	k a b aː t
kacír	k a t͡s iː r
kajúcny	k a j uː t͡s n i
kalkulačka	k a l k u l a t͡ʃ k a
kamelot	k a m e l o t
kanalizácia	k a n a l i z aː t͡s i̯ a
kanva	k a n v a
kanvica	k a n v i t͡s a
kanál	k a n aː l
kaňa	k a ɲ a
kedže	k e d͡ʒ e
kgb	k aː ɡ eː b eː
kilami	k i l a m i
klase	k l a s e
klasmi	k l a s m i
klasoch	k l a s o x
klasom	k l a s o m
klasov	k l a s o f
klasu	k l a s u
klasy	k l a s i
klenba	k l e n b a
klenot	k l e n o t
kliešť	k l i̯ e ʃ c
klitoris	k l i t o r i s
klk	k l̩ k
klystír	k l i s t iː r
kláštor	k l aː ʃ t o r
kníh	k n iː x
knôt	k n u̯ o t
kobre	k o b r e
kobrou	k o b r o u
kobrám	k o b r aː m
kocian	k o t͡s i̯ a n
kodaň	k o d a ɲ
kolesár	k o l e s aː r
kolofónia	k o l o f oː n i̯ a
kolár	k o l aː r
koláča	k o l aː t͡ʃ a
koláče	k o l aː t͡ʃ e
koláči	k o l aː t͡ʃ i
koláčik	k o l aː t͡ʃ i k
koláčom	k o l aː t͡ʃ o m
koláču	k o l aː t͡ʃ u
kolíska	k o l iː s k a
komplic	k o m p l i t͡s
konexia	k o n e k s i̯ a
kopať	k o p a c
kopytník	k o p i t n iː k
korbáč	k o r b aː t͡ʃ
korenie	k o r e n i̯ e
korunovácia	k o r u n o v aː t͡s i̯ a
kosier	k o s i̯ e r
kostra	k o s t r a
kosák	k o s aː k
kováč	k o v aː t͡ʃ
koza	k o z a
kozub	k o z u p
kozák	k ɔ z aː k
kočan	k o t͡ʃ a n
koša	k o ʃ a
koše	k o ʃ e
koši	k o ʃ i
košice	k o ʃ i t͡s e
košmi	k o ʃ m i
košoch	k o ʃ o x
košom	k o ʃ o m
košov	k o ʃ o f
košu	k o ʃ u
košút	k o ʃ uː t
kožami	k o ʒ a m i
kože	k o ʒ e
koži	k o ʒ i
kožou	k o ʒ o u
kožu	k o ʒ u
koží	k o ʒ iː
kra	k r a
krakova	k r a k o v a
krami	k r a m i
kre	k r e
krematórium	k r e m a t oː r i̯ u m
kresadlo	k r e s a d l o
kritizovať	k r i t i z o v a c
krivec	k r i v e t͡s
krk	k r̩ k
krkavec	k r̩ k a v e t͡s
krmelec	k r m e l e t͡s
krmivo	k r m i v o
kroch	k r o x
krom	k r o m
krona	k r o n a
krona	k r uː n a
krov	k r o f
krst	k r̩ s t
krstiť	k r̩ s t i c
krt	k r̩ t
kru	k r u
krv	k r̩ f
kry	k r i
krypta	k r i p t a
krá	k r aː
krádež	k r aː d e ʃ
kráľ	k r aː ʎ
kráľovná	k r aː ʎ o v n aː
krídel	k r iː d e l
krík	k r iː k
kríček	k r iː t͡ʃ e k
krčmár	k r̩ t͡ʃ m aː r
kuriatko	k u r i̯ a t k ɔ
kuru	k u r u
kučera	k u t͡ʃ e r a
kuša	k u ʃ a
kvetina	k v e t i n a
kvetináč	k v e t i n aː t͡ʃ
káfir	k aː f i r
kávovar	k aː v o v a r
kázanie	k aː z a n i̯ e
kázeň	k aː z e ɲ
kôň	k u̯ o ɲ
kúkoľ	k uː k o ʎ
kýchať	k iː x a c
kýchnuť	k iː x n u c
kĺb	k l̩ː p
kľučka	k ʎ u t͡ʃ k a
kŕmiť	k r̩ː m i c
kŕč	k r̩ː t͡ʃ
labuti	l a b u t i
lampa	l a m p a
langue	l aː n k
lavína	l a v iː n a
lepidlo	l e p i d l o
lepiť	l e p i c
leví	l e v iː
lichva	l i x v a
lona	l o n a
lonami	l o n a m i
lone	l o n e
lono	l o n o
lonom	l o n o m
lonu	l o n u
loná	l o n aː
lonách	l o n aː x
lonám	l o n aː m
luhať	l u ɦ a c
luhár	l u ɦ aː r
lukmi	l u k m i
lukoch	l u k o x
lukom	l u k o m
lukov	l u k o f
luku	l u k u
luky	l u k i
lunami	l u n a m i
lunou	l u n o u
lunu	l u n u
luny	l u n i
lunách	l u n aː x
lunám	l u n aː m
lupina	l u p i n a
láskavý	l aː s k a v iː
látka	l aː t k a
lístok	l iː s t o k
lôn	l u̯ o n
lúk	l uː k
lúkach	l uː k a x
lúkam	l uː k a m
lúkami	l uː k a m i
lúke	l uː k e
lúkou	l uː k o u
lúku	l uː k u
lúky	l uː k i
lún	l uː n
lúpež	l uː p e ʃ
lúčka	l uː t͡ʃ k a
lúčny	l uː t͡ʃ n i
ma	m a
macek	m a t͡s e k
mach	m a x
machom	m a x o m
machov	m a x o f
machu	m a x u
maj	m a j
majme	m a j m e
majte	m a j t e
maják	m a j aː k
majú	m a j uː
mal	m a l
mala	m a l a
mali	m a l i
malo	m a l o
malte	m a l t e
maltou	m a l t o u
maltu	m a l t u
malty	m a l t i
manžel	m a n ʒ e l
manželka	m a n ʒ e l k a
marena	m a r e n a
martin	m a r t i n
masliak	m a s ʎ i̯ a k
matrioška	m a t r i o ʃ k a
mechúr	m e x uː r
mede	m e ɟ e
medi	m e ɟ i
medom	m e d o m
medu	m e d u
medvede	m e d v e d e
medvedi	m e d v e d i
medveďa	m e d v e ɟ a
medveďom	m e d v e ɟ o m
medúza	m e d uː z a
menovec	m e n o v e t͡s
menovkyňa	m e n o v k i ɲ a
meter	m e t e r
meďou	m e ɟ o u
michaela	m i x a e l a
miestenka	m i̯ e s t e n k a
miešačka	m i̯ e ʃ a t͡ʃ k a
miešok	m i̯ e ʃ o k
mikrometer	m i k r o m e t e r
mikrosekunda	m i k r o s e k u n d a
mincovňa	m i n t͡s o v ɲ a
mlč	m l̩ t͡ʃ
modrák	m ɔ d r aː k
modráky	m ɔ d r aː k i
mokrí	m o k r iː
mokrý	m o k r iː
most	m o s t
močiar	m o t͡ʃ i̯ a r
močový	m o t͡ʃ o v iː
mrkvička	m r̩ k v i t͡ʃ k a
mrzák	m r̩ z aː k
mrľa	m r ʎ a
mucha	m u x a
mucholapka	m u x o l a p k a
mumifikovať	m u m i f i k o v a c
munícia	m u n iː t͡s i̯ a
mučenie	m u t͡ʃ e n i̯ e
muž	m u ʃ
málo	m aː l o
máte	m aː t e
mäkké	m æ k eː
mäkkí	m æ k iː
mäkkú	m æ k uː
mäsa	m æ s a
mäsami	m æ s a m i
mäse	m æ s e
mäso	m æ s o
mäsom	m æ s o m
mäsožravec	m æ s o ʒ r a v e t͡s
mäsožravý	m æ s o ʒ r a v iː
mäsu	m æ s u
mäsá	m æ s aː
mäsách	m æ s aː x
mäsám	m æ s aː m
méta	m eː t a
múdra	m uː d r a
múdri	m uː d r i
múdru	m uː d r u
múroch	m uː r o x
mňa	m ɲ a
mňaukať	m ɲ a u k a c
mŕľ	m r̩ː ʎ
naberačka	n a b e r a t͡ʃ k a
nabíjačka	n a b iː j a t͡ʃ k a
nadojčiť	n a d o j t͡ʃ i c
nahú	n a ɦ uː
nakladateľstvo	n a k l a d a t e ʎ s t v o
nehoda	n e ɦ o d a
nemej	n e m e j
nemoc	n e m o t͡s
nemocnica	n e m o t͡s n i t͡s a
nemá	n e m aː
nemé	n e m eː
nemí	n e m iː
nemú	n e m uː
nenápadný	n e n aː p a d n iː
nenávisť	n e n aː v i s c
neplodnosť	n e p l o d n o s c
neplodný	n e p l o d n iː
nepravda	n e p r a v d a
nepriateľka	n e p r i̯ a t e ʎ k a
nepriateľský	n e p r i̯ a t e ʎ s k iː
nerovnosť	n e r o v n o s c
nevoľa	n e v o ʎ a
nevôľa	n e v u̯ o ʎ a
nohami	n o ɦ a m i
nohe	n o ɦ e
nohou	n o ɦ o u
nohu	n o ɦ u
nohy	n o ɦ i
nohách	n o ɦ aː x
nohám	n o ɦ aː m
nos	n o s
nosmi	n o s m i
nosoch	n o s o x
novovek	n o v o v e k
nozdra	n o z d r a
nočník	n o t͡ʃ n iː k
nádor	n aː d o r
náhly	n aː ɦ l i
náhrada	n aː ɦ r a d a
nános	n aː n o s
nápadný	n aː p a d n iː
náprotivok	n aː p r o t i v o k
náprstok	n aː p r̩ s t o k
náušnica	n aː u ʃ n i t͡s a
návnada	n aː v n a d a
ním	n iː m
objať	o b j a c
obojživelník	o b o j ʒ i v e l n iː k
obriezka	o b r i̯ e z k a
obrna	o b r n a
obsidián	o b s i d i aː n
občan	o b t͡ʃ a n
občianka	o b t͡ʃ i̯ a n k a
oca	o t͡s a
ocami	o t͡s a m i
oceľ	o t͡s e ʎ
ococh	o t͡s o x
ocom	o t͡s o m
ocot	o t͡s o t
ocov	o t͡s o f
ocovi	o t͡s o v i
odpor	o d p o r
odporný	o d p o r n iː
odvaha	o d v a ɦ a
odvážnosť	o d v aː ʒ n o s c
odvážny	o d v aː ʒ n i
ohne	o ɦ n e
ohni	o ɦ n i
ohorok	o ɦ o r o k
ohňa	o ɦ ɲ a
ohňami	o ɦ ɲ a m i
ohňoch	o ɦ ɲ o x
ohňom	o ɦ ɲ o m
ohňov	o ɦ ɲ o f
ohňu	o ɦ ɲ u
oka	o k a
okami	o k a m i
okolo	o k o l o
okom	o k o m
okruhliak	o k r u ɦ l i̯ a k
oku	o k u
oká	o k aː
okách	o k aː x
okám	o k aː m
oman	o m a n
omanom	o m a n o m
ondrejka	o n d r e j k a
ondrejko	o n d r e j k o
ondrus	o n d r u s
ondrusek	o n d r u s e k
ondruš	o n d r u ʃ
ondrušek	o n d r u ʃ e k
ondruška	o n d r u ʃ k a
ondruško	o n d r u ʃ k o
opice	o p i t͡s e
opiť	o p i c
opíc	o p iː t͡s
oravec	o r a v e t͡s
orať	o r a c
orchidea	o r x i d e a
orech	o r e x
orlami	o r l a m i
orloch	o r l o x
orlom	o r l o m
ortuť	o r t u c
osiel	o s i̯ e l
osikáč	ɔ s i k aː t͡ʃ
oslami	o s l a m i
oslava	o s l a v a
oslavný	o s l a v n iː
osle	o s l e
oslou	o s l o u
oslu	o s l u
osly	o s l i
oslách	o s l aː x
oslám	o s l aː m
osám	o s aː m
osýpky	o s iː p k i
otca	o t t͡s a
otcom	o t t͡s o m
otcovi	o t t͡s o v i
otcu	o t t͡s u
ovcami	o v t͡s a m i
ovcu	o v t͡s u
ovdovieť	o v d o v i̯ e c
ozvať	o z v a c
ozvena	o z v e n a
oáza	o aː z a
očami	o t͡ʃ a m i
očenáš	o t͡ʃ e n aː ʃ
oči	o t͡ʃ i
očí	o t͡ʃ iː
očú	o t͡ʃ uː
ošetriť	o ʃ e t r i c
pakľúč	p a k ʎ uː t͡ʃ
palina	p a l i n a
palivo	p a l i v o
palka	p a l k a
palko	p a l k o
panien	p a n i̯ e n
panne	p a n e
pannách	p a n aː x
papagáj	p a p a ɡ aː j
partnerstvo	p a r t n e r s t v o
pasienok	p a s i̯ e n o k
pasta	p a s t a
pastvina	p a s t v i n a
paveda	p a v e d a
pašek	p a ʃ e k
paška	p a ʃ k a
paško	p a ʃ k o
paža	p a ʒ a
paže	p a ʒ e
paži	p a ʒ i
pažiť	p a ʒ i c
pažou	p a ʒ o u
pažu	p a ʒ u
paží	p a ʒ iː
pažítka	p a ʒ iː t k a
pehami	p e ɦ a m i
pehou	p e ɦ o u
pehu	p e ɦ u
pehy	p e ɦ i
pehách	p e ɦ aː x
pehám	p e ɦ aː m
pekne	p e k n e
pekná	p e k n aː
pekné	p e k n eː
percento	p e r t͡s e n t o
perga	p e r ɡ a
pero	p e r o
pečiarka	p e t͡ʃ i̯ a r k a
peľ	p e ʎ
piat	p i̯ a t
piata	p i̯ a t a
piate	p i̯ a t e
piatej	p i̯ a t e j
piatemu	p i̯ a t e m u
piati	p i̯ a t i
piatu	p i̯ a t u
piaď	p i̯ a c
piecť	p i̯ e t͡s c
pieh	p i̯ e x
piest	p i̯ e s t
pizza	p i t͡s a
piča	p i t͡ʃ a
pičami	p i t͡ʃ a m i
piče	p i t͡ʃ e
piči	p i t͡ʃ i
pičou	p i t͡ʃ o u
piču	p i t͡ʃ u
pičí	p i t͡ʃ iː
plachú	p l a x uː
placka	p l a t͡s k a
planú	p l a n uː
platom	p l a t o m
plavka	p l aː u̯ k a
plazma	p l a z m a
plch	p l̩ x
plienka	p l i̯ e n k a
plodnosť	p l o d n o s c
plodný	p l o d n iː
plomba	p l o m b a
plsť	p l̩ s c
pluh	p l u x
plyn	p l i n
plást	p l aː s t
plť	p l̩ c
podkova	p o d k o v a
podrážka	p o d r aː ʒ k a
pohára	p o ɦ aː r a
poháre	p o ɦ aː r e
poklad	p o k l a t
pokrok	p o k r o k
pokročilý	p o k r o t͡ʃ i l iː
pokrytec	p o k r i t e t͡s
poliak	p o l i̯ a k
polmesiac	p o l m e s i̯ a t͡s
polnoc	p o l n o t͡s
poloboh	p o l o b o x
polynok	p o l i n o k
popičovka	p o p i t͡ʃ o v k a
popola	p o p o l a
popole	p o p o l e
popolmi	p o p o l m i
popolník	p o p o l n iː k
popoloch	p o p o l o x
popolom	p o p o l o m
popolov	p o p o l o f
popolu	p o p o l u
popoly	p o p o l i
poprava	p o p r a v a
posol	p o s o l
posúvať	p o s uː v a c
potrat	p o t r a t
potvora	p o t v o r a
povolenie	p o v o l e n i̯ e
pozdech	p o z d e x
pozornosť	p o z o r n o s c
počítač	p o t͡ʃ iː t a t͡ʃ
pošva	p o ʃ v a
požívateľný	p o ʒ iː v a t e ʎ n iː
prababa	p r a b a b a
prah	p r a x
prahmi	p r a ɦ m i
prahoch	p r a ɦ o x
prahom	p r a ɦ o m
prahov	p r a ɦ o f
prahu	p r a ɦ u
prahy	p r a ɦ i
prak	p r a k
prakmi	p r a k m i
prakoch	p r a k o x
prakom	p r a k o m
prakov	p r a k o f
praky	p r a k i
prameň	p r a m e ɲ
pravek	p r a v e k
pravítko	p r a v iː t k o
prd	p r̩ t
prebudiť	p r e b u d i c
prebúdzať	p r e b uː d͡z a c
predlžovačka	p r e d l̩ ʒ o v a t͡ʃ k a
predpovedať	p r e d p o v e d a c
predsudok	p r e d s u d o k
prekážka	p r e k aː ʒ k a
prenasledovať	p r e n a s l e d o v a c
prievan	p r i̯ e v a n
prievidza	p r i̯ e v i d͡z a
priezor	p r i̯ e z o r
prilba	p r i l b a
priorita	p r i o r i t a
profík	p r o f iː k
proso	p r o s o
prosím	p r o s iː m
protilátka	p r o t i l aː t k a
prst	p r̩ s t
prstoklad	p r̩ s t o k l a t
prsť	p r̩ s c
pružina	p r u ʒ i n a
pružný	p r u ʒ n iː
prv	p r̩ f
príhoda	p r iː ɦ o d a
príhodný	p r iː ɦ o d n iː
príležitosť	p r iː l e ʒ i t o s c
prítok	p r iː t o k
príves	p r iː v e s
prívesok	p r iː v e s o k
prízemie	p r iː z e m i̯ e
prúd	p r uː t
psi	p s i
psoch	p s o x
psov	p s o f
pupienok	p u p i̯ e n o k
pytliak	p i t l i̯ a k
páchateľ	p aː x a t e ʎ
páde	p aː d e
pádmi	p aː d m i
pádoch	p aː d o x
pádom	p aː d o m
pádov	p aː d o f
pádu	p aː d u
pády	p aː d i
pána	p aː n a
pásť	p aː s c
páčidlo	p aː t͡ʃ i d l o
píla	p iː l a
píč	p iː t͡ʃ
pôda	p u̯ o d a
pôdorys	p u̯ o d o r i s
pĺž	p l̩ː ʃ
pňami	p ɲ a m i
pňoch	p ɲ o x
pňom	p ɲ o m
pňov	p ɲ o f
pňu	p ɲ u
pŕhľava	p r̩ː ɦ ʎ a v a
pŕhľaviar	p r̩ː ɦ ʎ a v i̯ a r
pŕs	p r̩ː s
radla	r a d l a
radlami	r a d l a m i
radlo	r a d l o
radlom	r a d l o m
radlu	r a d l u
rak	r a k
rakmi	r a k m i
rakoch	r a k o x
rakov	r a k o f
rakovan	r a k o v a n
rašelina	r a ʃ e l i n a
rebrami	r e b r a m i
rebrách	r e b r aː x
rebrám	r e b r aː m
registrovaný	r e ɡ i s t r o v a n iː
repica	r e p i t͡s a
rezať	r e z a c
rezák	r e z aː k
riasa	r i̯ a s a
riha	r i ɦ a
rite	r i t e
ritiam	r i t i̯ a m
rišo	r i ʃ o
rob	r o p
robiac	r o b i̯ a t͡s
robil	r o b i l
robila	r o b i l a
robilo	r o b i l o
robiť	r o b i c
robí	r o b iː
robím	r o b iː m
robíme	r o b iː m e
robíte	r o b iː t e
robíš	r o b iː ʃ
rojek	r o j e k
rojka	r o j k a
rojko	r o j k o
rosa	r o s a
rosina	r o s i n a
rovnodennosť	r o v n o d e n o s c
rovnosť	r o v n o s c
rozdelenie	r o z d e l e n i̯ e
rozkrok	r o z k r o k
rozmanitosť	r o z m a n i t o s c
rozmanitý	r o z m a n i t iː
rozmazaný	r o z m a z a n iː
rozmazať	r o z m a z a c
rozvinutý	r o z v i n u t iː
rudu	r u d u
rudám	r u d aː m
ruke	r u k e
rukojemník	r u k o j e m n iː k
ruky	r u k i
rusnak	r u s n a k
rusnák	r u s n aː k
ručne	r u t͡ʃ n e
ružomberok	r u ʒ o m b e r o k
rybe	r i b e
rybou	r i b o u
rybu	r i b u
ryby	r i b i
rybách	r i b aː x
rybám	r i b aː m
ryť	r i c
rásť	r aː s c
ráze	r aː z e
rázom	r aː z o m
rúd	r uː t
rúhať	r uː ɦ a c
rúk	r uː k
rýb	r iː p
rýdzik	r iː d͡z i k
rýle	r iː l e
rýli	r iː l i
